Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00135533",131,9,5,-,5,12,12,27
"S00135534",112,7,1,-,1,1,5,18
"S00135535",234,31,22,3,9,46,53,65
"S00135536",191,4,2,-,13,6,24,24
"S00135537",146,9,3,-,2,8,2,37
"S00135538",91,13,5,1,5,6,-,19
"S00135539",84,13,5,-,3,11,14,32
"S00135540",143,11,4,-,3,15,8,34
"S00135541",78,7,1,-,1,6,3,21
"S00135542",182,-,-,-,12,4,14,16
"S00135543",180,-,-,-,6,4,14,10
"S00135544",99,11,4,-,2,8,12,22
"S00135545",132,11,2,1,4,11,7,33
"S00135546",88,10,8,1,4,15,11,32
"S00135547",188,19,3,1,10,8,13,25
"S00135548",88,10,4,1,3,10,8,24
"S00135549",64,8,1,2,-,6,8,12
"S00135550",123,8,5,-,12,19,15,27
"S00135551",127,8,3,2,11,8,12,30
"S00135552",133,1,1,-,9,3,20,12
"S00135553",207,16,6,1,2,12,14,53
"S00135554",86,10,2,-,3,6,6,18
"S00135555",166,12,-,-,4,10,6,27
"S00135556",101,10,-,-,10,9,9,24
"S00135557",91,9,1,-,3,9,6,15
"S00135558",150,10,1,-,13,10,19,30
"S00135559",105,5,1,1,6,7,18,23
"S00135560",107,8,4,-,1,7,10,19
"S00135561",94,6,2,1,3,17,13,16
"S00135562",92,8,5,-,2,8,12,21
"S00135563",61,2,-,-,5,-,8,10
"S00135564",104,20,6,1,3,12,7,28
"S00135565",71,11,2,-,-,7,-,14
"S00135566",100,10,2,-,3,5,13,17
"S00135567",126,14,1,-,4,10,9,25
"S00135568",155,9,4,-,7,6,12,23
"S00135569",104,12,2,-,4,16,21,27
"S00135570",111,20,6,-,3,8,3,23
"S00135571",106,7,-,-,5,7,15,17
"S00135572",122,5,4,-,6,11,12,34
"S00135573",107,11,4,-,8,5,8,24
"S00135574",99,8,4,-,4,10,11,26
"S00135575",147,13,4,2,7,19,19,42
"S00135576",128,5,2,4,7,18,14,39
"S00135577",129,6,5,-,6,2,12,15
"S00135578",116,8,2,1,3,9,15,31
"S00135579",88,3,2,-,6,7,4,20
"S00135580",140,13,3,-,6,18,16,28
"S00135581",129,6,1,-,2,5,3,22
"S00135582",84,7,-,-,3,3,10,14
"S00135583",139,7,3,-,9,13,30,30
"S00135584",127,3,1,1,12,10,26,31
"S00135585",114,2,-,-,2,1,13,16
"S00135586",119,15,2,-,5,14,12,28
"S00135587",72,1,3,1,4,5,7,19
"S00135588",87,9,1,-,3,8,12,21
"S00135589",85,12,4,-,3,12,7,16
"S00135590",88,1,-,1,5,1,7,15
"S00135591",81,3,1,-,4,8,7,13
"S00135592",116,1,1,-,4,1,8,15
"S00135593",91,7,4,-,4,3,6,18
"S00135594",100,6,4,-,2,2,4,26
"S00135595",150,9,3,-,10,16,14,29
"S00135596",207,12,9,2,5,27,49,49
"S00135597",134,9,6,1,12,19,23,35
"S00135598",91,3,-,-,6,5,6,14
"S00135599",129,2,-,-,11,2,20,14
"S00135600",60,18,12,-,-,20,4,21
"S00135601",141,-,3,-,7,1,12,13
"S00135602",126,4,-,-,4,8,11,16
"S00135603",78,7,-,-,1,3,9,12
"S00135604",84,4,2,-,11,-,22,17
"S00135605",82,3,-,-,1,3,9,12
"S00135606",277,29,25,5,14,31,54,58
"S00135607",1720,24,67,-,169,36,378,136
"S00135608",98,6,1,-,4,3,6,20
"S00135609",108,7,2,-,1,11,7,21
"S00135610",157,26,13,2,13,33,28,49
"S00135611",90,3,3,-,8,12,14,25
"S00135612",156,1,5,-,9,9,23,22
"S00135613",121,4,-,-,6,1,8,14
"S00135614",111,5,2,-,10,11,17,33
"S00135615",167,4,4,-,3,-,7,14
"S00135616",73,-,1,-,2,1,11,8
"S00135617",108,7,2,-,2,3,6,22
"S00135618",76,8,-,1,1,5,6,14
"S00135619",62,2,-,-,3,4,6,10
"S00135620",131,2,2,2,13,5,13,17
"S00135621",135,11,2,-,6,20,21,34
"S00135622",91,3,-,-,6,1,15,12
"S00135623",129,2,4,-,7,6,9,25
"S00135624",94,7,3,-,4,7,8,22
"S00135625",132,2,1,-,1,5,5,11
"S00135626",66,1,5,-,4,7,12,12
"S00135627",134,9,4,-,3,4,15,27
"S00135628",155,14,4,-,8,17,19,41
"S00135629",168,3,2,1,10,5,13,25
"S00135630",114,5,1,-,7,11,9,26
"S00135631",166,4,5,-,16,15,29,28
"S00135632",167,13,7,-,8,27,21,34
"S00135633",66,4,1,-,2,6,3,13
"S00135634",76,4,1,-,8,3,14,14
"S00135635",120,3,1,-,7,10,39,23
"S00135636",103,13,6,2,7,9,8,19
"S00135637",129,5,1,-,5,13,12,33
"S00135638",77,10,1,-,3,7,3,23
"S00135639",71,-,2,-,6,4,6,13
"S00135640",127,9,6,-,5,13,20,39
"S00135641",93,9,4,-,2,16,13,21
"S00135642",186,2,1,-,12,12,23,26
"S00135643",95,9,1,-,6,8,9,15
"S00135644",74,9,2,-,2,6,7,17
"S00135645",82,7,2,-,1,18,8,23
"S00135646",73,13,2,-,5,15,10,26
"S00135647",151,13,5,1,5,25,13,41
"S00135648",117,3,-,-,2,9,15,19
"S00135649",90,3,3,-,2,8,12,13
"S00135650",110,7,2,-,13,16,16,30
"S00135651",115,5,4,1,3,11,16,26
"S00135652",87,8,4,-,3,11,11,24
"S00135653",87,2,1,-,10,4,16,13
"S00135654",73,4,-,-,1,6,8,13
"S00135655",105,7,2,-,3,6,5,24
"S00135656",105,3,1,-,3,9,16,22
"S00135657",121,8,1,3,12,21,24,31
"S00135658",90,1,2,-,5,1,9,12
"S00135659",135,4,4,1,5,9,15,17
"S00135660",112,4,2,-,3,11,15,19
"S00135661",66,8,1,-,-,9,7,15
"S00135662",119,10,1,-,3,7,15,25
"S00135663",115,10,6,-,7,13,14,27
"S00135664",174,6,4,2,13,14,17,32
"S00135665",102,9,6,-,10,34,20,45
"S00135666",87,9,1,-,2,16,1,24
"S00135667",165,10,-,-,16,12,26,38
"S00135668",138,2,4,2,13,12,13,23
"S00135669",137,11,7,-,5,21,20,31
"S00135670",157,5,1,-,6,7,30,26
"S00135671",85,6,5,1,-,4,11,19
"S00135672",103,6,4,-,4,8,18,24
"S00135673",87,10,5,1,10,11,7,16
"S00135674",96,8,5,-,5,6,5,15
"S00135675",144,5,-,-,13,12,14,19
"S00135676",73,6,7,-,3,12,18,11
"S00135677",76,2,3,-,3,6,17,8
"S00135678",104,7,4,-,4,9,11,16
"S00135679",77,6,1,-,4,5,4,15
"S00135680",114,6,-,-,4,15,11,20
"S00135681",120,9,4,1,8,7,15,22
"S00135682",87,4,-,-,-,12,8,21
"S00135683",101,5,5,-,6,8,17,19
"S00135684",70,5,1,-,10,15,22,23
"S00135685",152,6,2,-,2,14,7,28
"S00135686",103,36,14,1,2,38,8,47
"S00135687",119,2,5,-,7,10,23,21
"S00135688",121,17,4,-,6,19,26,37
"S00135689",97,8,1,1,6,7,18,15
"S00135690",120,10,4,-,10,24,25,34
"S00135691",120,7,4,1,2,11,16,24
"S00135692",72,2,-,-,1,7,10,17
"S00135693",108,9,5,-,6,8,12,11
"S00135694",90,9,3,-,1,11,9,19
"S00135695",75,5,2,-,7,7,11,18
"S00135696",56,-,2,-,5,-,7,10
"S00135697",121,4,1,1,1,8,15,21
"S00135698",139,15,7,2,6,10,21,30
"S00135699",152,6,5,-,4,14,11,37
"S00135700",66,4,2,-,1,6,8,8
"S00135701",97,5,1,-,1,10,14,18
"S00135702",104,19,5,-,6,33,27,40
"S00135703",68,1,-,-,7,4,15,12
"S00135704",62,1,1,-,2,15,19,17
"S00135705",100,1,1,-,5,5,13,8
"S00135706",149,4,4,-,15,14,21,17
"S00135707",65,-,-,-,5,6,13,12
"S00135708",125,8,2,-,7,11,17,23
"S00135709",122,4,3,-,10,11,17,19
"S00135710",70,-,-,-,7,10,12,16
"S00135711",90,1,1,-,14,8,16,7
"S00135712",135,6,4,-,11,17,17,20
"S00135713",85,-,-,-,7,6,17,16
"S00135714",120,6,2,-,5,13,18,25
"S00135715",117,5,1,-,8,7,10,24
"S00135716",121,9,1,1,7,20,27,25
"S00135717",108,5,1,-,5,9,22,27
"S00135718",71,1,1,-,1,4,8,18
"S00135719",183,5,6,-,16,19,19,28
"S00135720",204,18,8,1,9,19,10,45
"S00135721",161,6,3,-,11,14,22,38
"S00135722",75,3,2,-,2,8,10,11
"S00135723",77,10,4,-,2,19,4,18
"S00135724",88,4,3,-,5,16,13,19
"S00135725",128,6,8,-,18,10,20,31
"S00135726",169,5,4,1,16,15,34,25
"S00135727",135,6,2,-,8,3,16,14
"S00135728",100,9,-,-,7,12,21,20
"S00135729",96,14,9,-,6,19,25,36
"S00135730",107,9,4,-,8,11,6,19
"S00135731",85,3,-,-,7,7,12,25
"S00135732",98,5,-,-,6,12,15,22
"S00135733",84,7,2,-,8,12,13,18
"S00135734",192,6,4,2,17,18,28,21
"S00135735",102,4,2,-,5,10,8,20
"S00135736",81,6,5,-,10,12,25,21
"S00135737",89,3,1,-,4,7,8,5
"S00135738",185,9,1,1,7,13,16,32
"S00135739",120,1,1,2,8,6,10,13
"S00135740",98,7,3,-,2,12,11,20
"S00135741",69,3,2,-,4,14,13,19
"S00135742",99,8,5,-,6,18,14,27
"S00135743",100,6,4,1,8,11,13,19
"S00135744",98,1,4,-,9,15,13,19
"S00135745",116,8,1,-,5,14,18,25
"S00135746",61,9,1,-,5,4,9,7
"S00135747",90,4,3,-,1,9,10,23
"S00135748",121,15,4,1,6,17,13,35
"S00135749",63,-,3,-,11,15,21,15
"S00135750",101,10,1,1,3,10,14,25
"S00135751",120,7,1,-,8,27,26,36
"S00135752",92,1,1,-,6,4,12,14
"S00135753",97,4,2,-,9,17,21,17
"S00135754",119,9,6,2,12,11,14,30
"S00135755",166,4,5,-,9,9,12,12
"S00135756",86,2,1,-,2,10,8,16
"S00135757",111,2,3,-,4,20,13,30
"S00135758",108,14,4,1,9,29,17,30
"S00135759",83,-,1,-,2,3,10,9
"S00135760",72,2,-,-,1,4,11,12
"S00135761",114,6,1,1,11,12,24,21
"S00135762",110,8,5,1,10,16,19,21
"S00135763",86,3,4,-,5,4,14,14
"S00135764",103,7,4,1,10,14,13,25
"S00135765",141,2,2,-,4,8,20,18
"S00135766",103,7,3,-,5,7,17,15
"S00135767",137,6,8,-,12,18,22,23
"S00135768",218,8,3,-,23,18,29,41
"S00135769",130,2,-,-,10,9,17,27
"S00135770",111,2,-,-,6,10,14,20
"S00135771",124,2,-,-,4,12,13,20
"S00135772",185,9,5,1,12,24,31,43
"S00135773",171,8,3,-,9,9,37,18
"S00135774",78,1,-,-,13,5,6,10
"S00135775",189,4,-,-,12,6,16,18
"S00135776",96,2,4,-,13,5,14,29
"S00135777",159,11,2,5,18,28,40,45
"S00135778",75,7,4,-,4,7,6,15
"S00135779",110,14,5,-,6,18,13,28
"S00135780",105,1,2,-,3,4,10,16
"S00135781",134,8,4,4,11,12,10,42
"S00135782",96,9,6,1,3,12,15,23
"S00135783",158,13,4,-,14,22,29,32
"S00135784",89,5,1,1,5,6,10,15
"S00135785",66,2,4,-,6,6,14,7
"S00135786",162,10,7,-,11,23,21,31
"S00135787",60,2,3,-,5,6,7,5
"S00135788",105,7,3,-,7,17,18,36
"S00135789",101,3,6,-,5,16,8,27
"S00135790",115,3,-,1,9,9,13,24
"S00135791",165,10,6,-,16,16,33,34
"S00135792",102,6,4,1,5,8,13,14
"S00135793",99,-,1,-,5,3,9,19
"S00135794",151,3,2,-,4,2,8,23
"S00135795",92,3,1,-,2,7,4,9
"S00135796",107,6,2,-,2,10,11,20
"S00135797",211,3,3,-,5,3,19,23
"S00135798",77,3,1,-,3,7,15,22
"S00135799",201,12,3,1,20,31,30,41
"S00135800",109,9,3,-,2,13,8,27
"S00135801",78,3,2,-,2,8,17,17
"S00135802",84,6,1,1,5,9,13,14
"S00135803",102,7,4,-,10,18,11,32
"S00135804",109,8,-,-,13,10,3,18
"S00135805",73,7,2,2,5,21,21,25
"S00135806",128,8,2,-,12,15,11,16
"S00135807",104,3,4,-,4,7,16,21
"S00135808",121,5,4,-,6,16,12,26
"S00135809",101,8,1,-,6,14,12,20
"S00135810",129,7,1,-,6,2,11,8
"S00135811",182,6,3,2,12,16,17,31
"S00135812",117,6,4,-,7,13,21,21
"S00135813",113,4,3,-,6,14,17,22
"S00135814",71,2,2,2,4,5,13,10
"S00135815",70,8,4,-,-,19,11,30
"S00135816",106,9,2,2,4,10,10,26
"S00135817",122,4,5,-,7,9,17,24
"S00135818",102,6,1,1,5,14,16,22
"S00135819",116,2,5,-,9,8,17,23
"S00135820",190,8,3,-,10,23,29,30
"S00135821",77,8,7,1,3,13,6,19
"S00135822",141,10,5,4,23,12,10,24
"S00135823",182,-,1,-,6,11,15,25
"S00135824",187,8,2,1,7,21,24,30
"S00135825",107,6,3,1,8,11,12,19
"S00135826",100,-,-,1,6,4,13,22
"S00135827",71,2,1,-,5,9,3,16
"S00135828",139,5,1,1,7,6,13,24
"S00135829",85,8,2,-,5,20,11,23
"S00135830",68,4,2,-,1,10,11,16
"S00135831",115,5,7,-,6,13,17,30
"S00135832",171,12,4,-,12,20,31,24
"S00135833",118,9,5,2,9,19,13,26
"S00135834",104,4,3,-,5,5,6,21
"S00135835",155,7,4,-,7,13,21,27
"S00135836",110,4,2,-,6,11,14,23
"S00135837",143,3,6,-,5,13,12,30
"S00135838",164,10,1,-,9,4,13,23
"S00135839",266,6,7,5,20,19,48,35
"S00135840",166,2,-,-,3,9,13,17
"S00135841",62,5,5,1,4,8,4,19
"S00135842",86,10,3,-,3,9,6,10
"S00135843",80,11,6,-,10,25,11,36
"S00135844",69,9,6,1,6,15,12,17
"S00135845",79,2,-,-,3,10,7,16
"S00135846",113,14,4,-,2,8,10,17
"S00135847",218,3,6,-,20,15,32,22
"S00135848",119,5,2,-,7,10,28,27
"S00135849",68,8,1,-,2,14,20,33
"S00135850",87,1,-,-,2,-,4,11
"S00135851",126,6,-,-,8,9,14,23
"S00135852",71,3,2,-,11,2,19,6
"S00135853",78,17,7,-,9,21,14,27
"S00135854",75,7,1,-,3,5,4,18
"S00135855",94,18,7,-,12,23,21,28
"S00135856",64,5,-,-,8,6,14,16
"S00135857",62,2,1,1,5,3,7,11
