Scotland's Census 2022 - National Records of Scotland
Table UV304 - Long-term health conditions
All people
,"All people","Deaf or partially hearing impaired","Blind or partially vision impaired","Full/partial loss of voice or difficulty speaking","Has one or more of learning disability, learning difficulty or developmental disorder","Physical disability","Mental health condition","Long-term illness, disease or condition"
"S00162123",127,8,4,-,10,12,11,34
"S00162124",98,4,-,-,-,3,4,15
"S00162125",109,18,6,-,1,16,4,40
"S00162126",90,8,3,-,10,9,12,18
"S00162127",140,8,1,-,16,13,29,25
"S00162128",105,8,5,-,19,29,24,29
"S00162129",129,9,4,-,11,19,16,28
"S00162130",83,7,5,-,7,21,12,23
"S00162131",66,7,1,-,11,11,15,19
"S00162132",95,10,1,-,2,10,4,34
"S00162133",109,6,1,-,4,4,19,24
"S00162134",66,5,2,1,5,10,5,19
"S00162135",147,16,2,1,6,12,17,26
"S00162136",110,4,1,-,4,8,9,25
"S00162137",89,10,5,1,1,4,3,15
"S00162138",101,4,3,-,10,11,13,23
"S00162139",96,8,3,-,3,5,9,13
"S00162140",83,10,4,-,2,12,7,23
"S00162141",119,9,2,-,4,8,2,25
"S00162142",95,8,2,-,5,7,16,34
"S00162143",81,11,2,-,1,8,12,23
"S00162144",201,21,5,1,5,20,13,60
"S00162145",129,15,4,-,8,12,10,33
"S00162146",123,15,5,-,3,13,9,34
"S00162147",165,16,1,-,9,11,5,35
"S00162148",142,10,3,-,8,10,11,27
"S00162149",116,10,4,-,3,19,7,40
"S00162150",122,7,3,-,3,10,15,25
"S00162151",131,17,1,-,3,22,12,44
"S00162152",107,12,6,-,4,19,11,23
"S00162153",128,23,7,-,9,17,14,35
"S00162154",97,6,-,-,2,13,9,27
"S00162155",76,6,-,-,2,5,5,12
"S00162156",75,1,4,-,4,14,6,17
"S00162157",118,13,6,1,4,14,9,26
"S00162158",144,18,4,-,8,17,14,30
"S00162159",163,11,4,-,2,19,12,38
"S00162160",138,9,-,2,5,16,17,38
"S00162161",118,15,4,-,7,20,19,32
"S00162162",103,7,2,-,3,10,7,27
"S00162163",114,11,2,-,3,18,9,31
"S00162164",109,6,-,-,-,6,10,13
"S00162165",97,9,2,-,6,12,15,26
"S00162166",78,2,2,-,-,4,3,12
"S00162167",112,9,-,-,7,10,7,33
"S00162168",124,12,3,-,2,15,4,34
"S00162169",153,12,6,-,4,10,10,23
"S00162170",93,8,1,-,6,8,3,24
"S00162171",115,12,4,-,6,15,13,22
"S00162172",83,11,-,-,-,4,3,16
"S00162173",71,3,-,-,1,3,4,18
"S00162174",161,19,4,2,3,15,9,34
"S00162175",98,6,1,1,3,9,8,21
"S00162176",127,7,3,-,6,11,14,26
"S00162177",165,20,2,-,9,18,17,47
"S00162178",145,11,5,-,5,19,17,41
"S00162179",140,8,2,-,2,12,15,38
"S00162180",78,5,1,-,7,11,12,18
"S00162181",175,8,4,-,7,10,10,41
"S00162182",69,4,2,-,3,9,5,15
"S00162183",95,10,1,-,4,4,5,28
"S00162184",160,13,2,-,5,13,11,39
"S00162185",153,11,2,-,8,17,5,31
"S00162186",148,12,5,-,10,13,9,31
"S00162187",151,11,6,-,8,16,19,29
"S00162188",105,10,3,2,3,13,12,30
"S00162189",110,7,3,-,2,6,11,24
"S00162190",144,11,-,-,6,19,11,30
"S00162191",97,20,5,-,14,19,12,27
"S00162192",112,10,4,-,4,11,11,22
"S00162193",154,10,-,1,11,11,14,42
"S00162194",173,7,1,1,1,14,15,25
"S00162195",141,10,1,-,6,4,13,26
"S00162196",97,9,3,-,6,11,15,17
"S00162197",191,15,6,1,10,17,10,40
"S00162198",117,10,8,1,6,20,22,30
"S00162199",97,9,2,-,4,15,10,33
"S00162200",89,10,4,-,5,12,12,13
"S00162201",89,5,-,1,3,13,13,17
"S00162202",125,-,1,-,9,6,6,25
"S00162203",64,1,4,-,1,4,4,18
"S00162204",111,5,1,-,3,8,10,23
"S00162205",109,12,11,-,5,35,18,39
"S00162206",96,7,-,-,4,10,7,23
"S00162207",122,9,1,1,2,8,9,34
"S00162208",100,11,4,-,13,16,16,28
"S00162209",156,10,6,-,11,23,20,32
"S00162210",105,12,2,-,5,8,10,19
"S00162211",92,1,1,-,8,5,11,21
"S00162212",116,14,2,-,6,18,19,33
"S00162213",98,11,3,-,8,22,24,27
"S00162214",119,5,2,-,5,10,12,21
"S00162215",86,8,-,-,1,7,3,20
"S00162216",78,4,1,-,4,6,10,19
"S00162217",139,10,4,-,3,11,3,34
"S00162218",125,11,4,-,6,11,18,25
"S00162219",154,8,7,-,3,9,8,34
"S00162220",126,21,5,1,10,33,22,46
"S00162221",72,4,2,-,5,6,4,17
"S00162222",144,14,5,-,2,15,7,37
"S00162223",182,10,-,-,1,11,15,42
"S00162224",98,11,4,-,4,15,10,24
"S00162225",68,-,-,-,6,5,10,17
"S00162226",76,5,4,-,1,2,9,11
"S00162227",156,15,4,-,1,12,7,34
"S00162228",64,4,2,-,4,9,11,16
"S00162229",83,4,-,1,1,5,7,16
"S00162230",100,6,4,1,4,7,14,30
"S00162231",139,5,1,-,10,14,9,33
"S00162232",101,14,6,3,-,30,24,39
"S00162233",96,13,1,1,4,11,12,17
"S00162234",124,9,5,-,3,11,11,26
"S00162235",122,10,2,-,3,5,12,24
"S00162236",72,9,5,-,4,13,14,15
"S00162237",80,5,4,-,-,5,10,16
"S00162238",118,13,2,-,1,7,4,21
"S00162239",87,8,-,-,9,12,9,13
"S00162240",60,3,7,-,6,14,8,13
"S00162241",99,8,5,1,5,19,10,26
"S00162242",120,18,4,-,2,20,11,24
"S00162243",175,18,4,-,4,15,14,40
"S00162244",125,7,1,-,11,11,16,26
"S00162245",63,6,-,1,4,5,6,12
"S00162246",98,6,-,-,1,5,5,24
"S00162247",67,9,3,-,-,6,11,21
"S00162248",156,8,1,-,7,13,19,37
"S00162249",100,5,5,-,9,12,13,25
"S00162250",78,5,-,-,4,8,10,20
"S00162251",184,13,5,3,10,10,19,40
"S00162252",112,9,4,1,12,23,27,24
"S00162253",110,2,-,-,8,10,18,19
"S00162254",125,6,-,1,8,12,24,29
"S00162255",136,15,-,1,6,16,11,45
"S00162256",93,9,2,-,12,17,18,30
"S00162257",104,6,4,-,11,18,26,31
"S00162258",148,8,5,-,-,10,8,28
"S00162259",111,6,1,-,2,3,11,15
"S00162260",124,5,1,-,8,4,8,16
"S00162261",147,18,2,2,11,15,10,51
"S00162262",112,16,6,-,9,25,21,34
"S00162263",118,11,3,-,5,14,8,26
"S00162264",90,10,-,-,5,8,2,14
"S00162265",111,12,3,-,5,17,13,37
"S00162266",71,9,1,-,5,9,3,27
"S00162267",149,12,4,2,6,21,10,47
"S00162268",74,8,-,-,3,10,6,25
"S00162269",98,15,3,1,5,12,10,30
"S00162270",159,15,3,-,2,25,13,39
"S00162271",158,16,7,1,8,20,10,51
"S00162272",146,15,3,2,6,19,9,41
"S00162273",121,17,5,-,9,17,15,38
"S00162274",91,4,3,-,6,20,12,33
"S00162275",91,9,1,-,3,8,7,26
"S00162276",74,5,2,1,-,8,5,19
"S00162277",82,8,3,-,6,20,17,27
"S00162278",125,14,1,-,4,13,5,30
"S00162279",103,8,4,-,7,12,17,25
"S00162280",155,12,3,1,4,15,9,36
"S00162281",118,9,9,-,9,21,22,29
"S00162282",150,23,3,1,6,29,10,46
"S00162283",122,14,3,1,7,25,13,31
"S00162284",149,28,6,-,10,17,18,36
"S00162285",151,16,1,1,5,10,10,29
"S00162286",111,15,3,-,5,8,6,17
"S00162287",124,12,1,-,9,14,8,24
"S00162288",118,11,-,-,2,-,9,26
"S00162289",80,6,4,1,1,14,9,23
"S00162290",62,3,-,-,2,7,6,20
"S00162291",130,13,2,1,8,21,13,31
"S00162292",95,10,-,-,3,8,4,25
"S00162293",110,18,6,-,4,13,6,28
"S00162294",100,14,5,-,4,11,2,26
"S00162295",163,15,7,-,6,10,9,53
"S00162296",71,5,2,1,4,6,3,28
"S00162297",160,22,6,-,2,23,14,36
"S00162298",132,11,5,-,2,21,10,41
"S00162299",122,12,1,-,7,11,13,33
"S00162300",125,12,4,1,4,12,11,25
"S00162301",82,15,2,1,3,10,9,26
"S00162302",157,11,5,1,14,11,14,34
"S00162303",83,6,2,-,1,11,3,18
"S00162304",117,13,3,-,4,17,18,23
"S00162305",131,26,5,-,2,20,10,41
"S00162306",104,11,1,-,-,12,2,31
"S00162307",161,15,6,-,3,15,10,41
"S00162308",133,18,4,2,5,13,17,29
"S00162309",118,15,2,-,7,9,7,24
"S00162310",138,16,4,-,7,15,9,33
"S00162311",150,10,2,-,7,10,8,30
"S00162312",121,10,2,-,2,10,7,26
"S00162313",78,13,3,1,2,12,5,31
"S00162314",127,16,4,-,3,13,6,38
"S00162315",109,7,-,-,4,10,10,25
"S00162316",98,15,4,-,4,15,11,27
"S00162317",107,16,2,-,2,13,11,24
"S00162318",74,5,3,1,4,6,10,25
"S00162319",70,4,2,2,1,6,4,20
"S00162320",86,6,2,-,9,24,11,22
"S00162321",135,9,3,-,12,19,19,28
"S00162322",75,9,4,2,2,9,3,15
"S00162323",135,18,1,-,6,15,13,38
"S00162324",122,11,4,1,15,13,13,32
"S00162325",97,17,4,-,3,15,7,31
"S00162326",76,12,1,-,1,13,4,22
"S00162327",145,14,6,2,8,14,11,39
"S00162328",72,8,3,-,2,7,3,16
"S00162329",77,8,2,-,4,5,10,24
"S00162330",131,18,8,-,2,14,12,35
"S00162331",119,13,2,-,3,12,8,30
"S00162332",90,7,4,1,3,9,12,31
"S00162333",96,7,2,-,7,18,10,25
"S00162334",161,7,3,-,3,13,16,40
"S00162335",128,16,6,-,1,21,12,41
"S00162336",131,7,-,1,20,17,23,29
"S00162337",82,13,4,1,3,9,4,14
"S00162338",112,14,4,-,7,19,8,37
"S00162339",121,15,3,1,8,13,15,31
"S00162340",113,18,5,-,4,14,9,25
"S00162341",169,16,2,1,7,11,13,33
"S00162342",123,4,2,-,5,11,15,25
"S00162343",106,7,2,2,2,15,8,24
"S00162344",156,14,3,-,5,12,5,25
"S00162345",123,17,4,-,4,10,7,23
"S00162346",113,10,1,-,6,3,7,16
"S00162347",59,7,3,-,4,5,6,20
"S00162348",111,12,1,1,7,6,10,26
"S00162349",133,14,1,-,-,9,9,27
"S00162350",119,8,2,-,2,11,8,31
"S00162351",134,8,-,1,2,11,5,32
"S00162352",68,5,-,-,2,4,8,19
"S00162353",85,11,-,-,3,6,3,10
"S00162354",139,6,4,-,11,15,10,23
"S00162355",104,9,1,-,15,10,12,25
"S00162356",65,7,2,-,2,8,14,14
"S00162357",81,7,3,-,5,6,3,19
"S00162358",99,4,1,-,10,7,19,11
"S00162359",95,2,1,1,5,8,16,19
"S00162360",106,9,3,-,5,14,14,31
"S00162361",133,18,3,-,7,8,15,35
"S00162362",107,12,8,2,12,13,14,25
"S00162363",93,6,2,-,7,14,15,28
"S00162364",126,10,3,-,6,14,8,30
"S00162365",111,9,9,-,8,10,14,25
"S00162366",119,11,4,-,3,8,8,30
"S00162367",139,10,5,1,9,11,12,29
"S00162368",70,3,4,-,3,6,10,16
"S00162369",81,5,-,-,-,4,3,17
"S00162370",128,15,4,1,10,12,7,32
"S00162371",166,14,3,-,5,9,16,30
"S00162372",96,11,2,1,6,10,8,23
"S00162373",149,21,2,1,8,17,8,36
"S00162374",136,12,3,-,4,20,14,43
"S00162375",149,24,3,-,2,21,13,50
"S00162376",64,7,-,-,-,6,1,17
"S00162377",115,8,-,-,2,11,11,32
"S00162378",100,10,2,-,5,10,4,20
"S00162379",71,6,3,-,4,9,7,25
"S00162380",67,10,2,2,2,12,6,14
"S00162381",70,13,-,1,1,9,-,19
"S00162382",109,14,1,-,-,10,7,26
"S00162383",122,19,3,-,6,20,14,32
"S00162384",102,8,2,-,7,12,12,24
"S00162385",81,11,4,-,-,6,12,17
"S00162386",112,16,3,1,14,16,17,25
"S00162387",134,14,1,2,7,18,15,31
"S00162388",106,6,4,-,8,22,15,33
"S00162389",110,12,3,-,3,11,10,27
"S00162390",108,9,2,-,6,9,14,33
"S00162391",63,4,2,-,5,1,6,11
"S00162392",117,17,4,-,4,15,10,39
"S00162393",72,5,4,-,1,2,2,19
"S00162394",120,12,2,-,3,16,6,17
"S00162395",87,13,4,-,3,11,7,24
"S00162396",67,9,5,-,2,12,11,27
"S00162397",106,17,6,1,7,23,17,39
"S00162398",146,9,6,-,12,12,16,30
"S00162399",134,14,6,-,13,10,16,39
"S00162400",99,8,3,-,7,8,5,22
"S00162401",112,10,5,-,4,14,9,29
"S00162402",82,4,3,2,2,8,9,12
"S00162403",178,24,13,-,12,36,24,45
"S00162404",77,7,1,-,3,7,8,28
"S00162405",100,11,4,-,4,8,9,20
"S00162406",133,15,1,-,4,12,7,25
"S00162407",158,15,3,-,10,14,11,29
"S00162408",61,12,3,-,-,3,-,10
"S00162409",95,13,4,-,2,4,6,14
"S00162410",133,9,3,-,7,10,9,28
"S00162411",141,6,4,-,7,15,10,30
"S00162412",88,11,4,-,6,11,10,30
"S00162413",155,20,7,-,3,10,5,40
"S00162414",157,15,6,-,5,12,7,34
"S00162415",113,8,-,-,4,14,8,15
"S00162416",138,9,6,-,-,7,9,28
"S00162417",179,17,-,-,6,14,13,38
"S00162418",131,14,9,-,4,13,11,38
"S00162419",97,8,4,2,5,4,3,20
"S00162420",92,12,3,-,1,5,3,19
"S00162421",129,19,2,1,3,21,5,42
"S00162422",137,17,-,-,3,11,12,35
"S00162423",112,26,7,1,-,17,7,24
"S00162424",96,11,2,-,1,4,3,27
"S00162425",101,6,2,1,9,10,6,29
"S00162426",161,12,-,-,6,18,5,31
"S00162427",100,10,2,-,6,10,5,25
"S00162428",113,9,1,-,3,6,7,29
"S00162429",201,21,6,-,12,17,8,47
"S00162430",98,7,-,-,2,8,6,21
"S00162431",118,7,4,-,3,7,8,27
"S00162432",72,6,1,-,5,11,10,14
"S00162433",77,9,4,-,2,11,5,10
"S00162434",123,13,3,-,6,10,9,26
"S00162435",124,19,2,-,4,12,19,32
"S00162436",149,15,3,2,10,18,18,40
"S00162437",143,9,3,-,10,13,12,26
"S00162438",72,7,5,4,3,8,14,21
"S00162439",86,3,2,-,4,6,6,23
"S00162440",128,11,1,-,8,35,17,62
"S00162441",85,8,4,-,15,10,10,22
"S00162442",157,13,2,-,8,16,18,32
"S00162443",97,6,4,2,16,11,25,23
"S00162444",91,5,3,-,11,13,28,24
"S00162445",65,9,1,-,-,10,1,24
"S00162446",135,12,-,-,6,19,27,39
"S00162447",129,8,1,-,11,20,16,30
"S00162448",93,11,5,-,-,7,4,18
"S00162449",127,10,-,-,6,13,8,30
"S00162450",118,10,3,-,1,15,7,26
"S00162451",85,11,4,-,1,13,6,24
"S00162452",89,6,1,2,14,16,13,27
"S00162453",102,9,1,1,3,7,17,20
"S00162454",197,5,4,1,18,21,15,33
"S00162455",86,7,3,-,3,9,6,19
"S00162456",82,8,3,1,7,10,12,23
"S00162457",168,10,-,1,15,14,18,19
"S00162458",79,1,2,-,6,3,6,12
"S00162459",83,8,-,-,3,11,10,20
"S00162460",88,13,2,-,7,8,9,20
"S00162461",140,12,6,-,9,20,14,31
"S00162462",95,11,1,-,5,9,6,37
"S00162463",144,12,-,2,3,6,4,27
"S00162464",164,11,-,1,5,18,12,37
"S00162465",156,15,3,-,5,8,10,32
"S00162466",84,7,3,-,5,8,2,29
"S00162467",103,5,1,-,3,9,6,17
"S00162468",65,7,2,-,4,4,7,7
"S00162469",114,6,4,-,8,16,7,21
"S00162470",86,3,-,-,5,3,6,16
"S00162471",123,9,-,-,4,10,13,23
"S00162472",109,10,3,2,10,2,7,18
"S00162473",96,8,-,-,10,6,8,15
"S00162474",97,12,6,-,-,8,4,29
"S00162475",100,11,1,2,7,13,12,35
"S00162476",84,11,4,-,1,2,5,13
"S00162477",115,8,8,2,4,23,19,34
"S00162478",79,7,2,-,5,9,17,19
"S00162479",105,8,4,-,7,16,8,27
"S00162480",66,6,-,-,3,6,10,28
"S00162481",154,16,5,-,7,11,15,49
"S00162482",127,22,3,1,9,11,10,34
"S00162483",144,21,4,2,6,16,11,37
"S00162484",115,9,1,-,5,10,5,26
"S00162485",100,10,2,-,2,10,6,18
"S00162486",139,10,1,-,3,17,12,34
"S00162487",98,9,4,-,3,14,9,25
"S00162488",165,6,4,-,13,23,21,34
"S00162489",70,3,-,-,5,4,4,6
"S00162490",101,7,2,-,3,7,8,20
"S00162491",118,5,2,2,13,16,19,32
"S00162492",93,8,5,-,4,18,20,21
"S00162493",133,9,-,-,12,13,6,29
"S00162494",86,11,3,-,4,6,4,16
"S00162495",91,15,6,1,3,14,12,23
"S00162496",162,18,5,-,5,14,10,34
"S00162497",135,15,6,-,6,11,16,33
"S00162498",73,7,-,-,7,7,4,10
"S00162499",137,15,3,-,2,14,8,33
"S00162500",127,10,3,-,5,21,6,29
"S00162501",117,11,1,-,3,3,6,23
"S00162502",168,9,1,1,14,14,31,29
"S00162503",132,4,-,-,12,14,26,33
"S00162504",114,11,7,2,11,11,8,27
"S00162505",104,8,6,-,20,14,28,21
"S00162506",112,13,-,-,5,10,4,26
"S00162507",148,33,13,2,1,45,17,75
"S00162508",106,11,2,1,2,8,9,25
"S00162509",141,13,5,-,6,14,6,30
"S00162510",152,14,-,-,-,5,3,24
"S00162511",96,15,-,1,4,9,6,17
"S00162512",104,11,-,-,1,9,3,27
"S00162513",73,4,2,-,3,2,7,13
"S00162514",118,-,1,-,3,5,7,18
"S00162515",127,3,1,2,4,8,19,10
"S00162516",80,1,-,-,6,2,4,7
"S00162517",143,6,2,-,6,9,13,19
"S00162518",138,19,5,-,3,18,8,37
"S00162519",113,14,7,-,3,12,12,31
"S00162520",123,2,3,-,9,8,18,22
"S00162521",95,15,2,-,1,10,-,21
"S00162522",122,9,2,-,4,4,4,14
"S00162523",170,7,6,-,3,7,13,43
"S00162524",104,3,-,-,7,2,12,10
"S00162525",98,3,3,1,3,5,8,17
"S00162526",135,3,-,2,14,9,15,14
"S00162527",99,6,-,-,3,12,14,26
"S00162528",104,7,6,1,7,15,12,28
"S00162529",90,8,1,-,2,10,7,27
"S00162530",141,18,4,1,2,16,12,36
"S00162531",76,4,-,-,10,8,13,17
"S00162532",86,4,4,-,7,4,10,14
"S00162533",157,12,2,-,12,17,22,34
"S00162534",153,20,3,1,9,26,14,46
"S00162535",127,14,2,1,5,15,14,25
"S00162536",144,16,6,-,3,16,14,31
"S00162537",122,11,2,-,8,10,13,23
"S00162538",130,14,6,2,6,27,15,49
"S00162539",144,11,7,-,7,11,8,23
"S00162540",129,12,3,-,8,17,14,38
"S00162541",94,12,6,-,4,5,12,27
"S00162542",93,6,3,-,6,9,9,16
"S00162543",81,4,4,-,1,5,3,19
"S00162544",105,8,3,3,5,9,23,16
"S00162545",188,11,-,2,15,31,34,60
"S00162546",83,10,3,-,2,12,13,21
"S00162547",126,14,4,3,10,24,19,37
"S00162548",126,8,5,-,10,20,30,32
"S00162549",141,8,2,2,3,20,16,33
"S00162550",122,17,7,-,8,14,16,30
"S00162551",126,6,-,-,6,6,11,23
"S00162552",81,9,4,1,4,20,15,21
"S00162553",121,9,5,-,9,12,17,27
"S00162554",146,8,8,-,21,22,34,27
"S00162555",73,3,2,-,1,8,9,13
"S00162556",96,3,1,-,2,4,4,21
"S00162557",110,13,4,-,4,20,15,29
"S00162558",113,8,3,1,10,8,12,25
"S00162559",87,6,-,-,2,11,2,27
"S00162560",122,13,5,-,9,11,21,40
"S00162561",101,14,1,-,3,15,13,24
"S00162562",138,7,2,1,11,19,22,38
"S00162563",101,4,4,-,6,13,16,36
"S00162564",103,12,6,-,12,25,27,32
"S00162565",106,10,2,1,21,10,18,25
"S00162566",103,4,4,-,3,10,8,23
"S00162567",123,7,3,-,12,8,15,16
"S00162568",74,3,3,-,6,8,11,19
"S00162569",160,15,5,4,17,31,27,50
"S00162570",139,11,3,2,13,19,16,20
"S00162571",198,16,1,1,3,34,11,60
"S00162572",157,6,7,5,27,29,26,31
"S00162573",128,17,1,1,1,22,10,37
"S00162574",119,8,-,-,6,9,15,23
"S00162575",63,1,3,-,5,3,7,10
"S00162576",124,12,4,-,3,15,8,26
"S00162577",125,10,3,1,7,7,16,28
"S00162578",94,11,4,-,3,8,6,14
"S00162579",101,7,2,-,13,4,14,14
"S00162580",90,9,3,-,6,24,19,36
"S00162581",88,11,6,1,9,14,22,24
"S00162582",88,7,3,1,7,12,9,26
"S00162583",96,8,-,-,1,11,12,21
"S00162584",77,2,7,-,7,5,7,11
"S00162585",158,12,2,3,27,26,30,28
"S00162586",181,11,3,1,12,23,23,30
"S00162587",62,7,2,1,7,13,11,15
"S00162588",139,22,4,1,3,20,10,36
"S00162589",83,-,2,-,7,5,9,10
"S00162590",112,7,1,-,10,15,13,23
"S00162591",189,12,5,-,11,14,17,37
"S00162592",108,10,2,-,6,13,8,27
"S00162593",83,14,5,-,2,14,13,21
"S00162594",121,9,1,2,9,9,10,24
"S00162595",82,-,3,-,7,7,9,11
"S00162596",99,6,2,-,4,12,12,22
"S00162597",69,8,3,-,3,6,7,27
"S00162598",130,8,2,-,6,18,17,40
"S00162599",160,16,3,2,8,14,19,43
"S00162600",98,7,5,-,11,9,20,14
"S00162601",127,6,5,-,10,11,30,27
"S00162602",68,10,2,-,2,14,8,19
"S00162603",69,8,5,-,7,21,17,16
"S00162604",97,11,1,1,11,17,13,22
"S00162605",96,14,-,-,1,1,4,20
"S00162606",129,10,-,-,4,8,13,34
"S00162607",103,8,2,-,2,4,3,25
"S00162608",115,10,3,-,3,16,14,17
"S00162609",73,4,1,-,-,5,1,18
"S00162610",115,13,2,-,4,6,6,25
"S00162611",111,7,1,1,2,15,13,24
"S00162612",156,11,5,1,10,15,21,37
"S00162613",172,22,5,-,11,22,8,50
"S00162614",127,12,3,-,2,16,4,32
"S00162615",123,8,6,1,11,19,10,40
"S00162616",68,10,3,-,2,16,4,19
"S00162617",89,9,-,1,5,8,9,19
"S00162618",98,11,2,-,6,8,11,22
"S00162619",131,9,1,-,1,5,8,25
"S00162620",93,8,4,2,7,7,10,15
"S00162621",149,11,-,-,2,6,6,19
"S00162622",105,10,1,-,3,5,11,28
"S00162623",77,11,-,-,2,8,4,16
"S00162624",141,11,1,-,1,9,1,35
"S00162625",75,6,1,-,6,3,7,18
"S00162626",75,6,4,-,4,5,2,13
"S00162627",72,4,2,-,1,6,2,18
"S00162628",133,17,1,-,6,10,14,34
"S00162629",107,9,3,-,1,8,7,32
"S00162630",73,7,-,-,1,7,7,14
"S00162631",98,14,10,1,3,20,8,35
"S00162632",212,11,5,-,22,17,30,40
"S00162633",152,16,2,-,7,9,13,28
"S00162634",122,9,3,-,6,11,14,30
"S00162635",120,7,3,1,1,10,7,34
"S00162636",111,14,1,-,4,17,2,34
"S00162637",99,4,1,-,4,13,17,19
"S00162638",93,6,3,-,1,2,3,13
"S00162639",89,3,2,-,1,6,5,18
"S00162640",114,5,2,-,3,6,2,25
"S00162641",98,12,6,-,3,13,6,33
"S00162642",96,9,3,2,3,13,10,31
"S00162643",125,21,4,-,1,11,3,26
"S00162644",87,5,-,-,2,9,1,22
"S00162645",70,12,2,-,5,10,8,26
"S00162646",140,20,2,-,4,11,12,38
"S00162647",163,11,3,-,3,10,11,36
"S00162648",162,15,3,-,11,9,8,39
"S00162649",79,7,-,-,3,2,3,17
"S00162650",118,14,-,-,1,10,4,28
"S00162651",132,10,4,-,4,12,11,33
"S00162652",164,12,-,-,6,7,8,26
"S00162653",114,11,4,2,6,13,5,30
"S00162654",120,11,1,-,8,11,4,21
"S00162655",112,10,1,-,4,6,10,12
"S00162656",106,16,-,-,6,8,13,21
"S00162657",190,14,5,-,5,9,11,24
"S00162658",113,15,4,-,3,14,8,19
"S00162659",142,10,1,-,6,5,6,24
"S00162660",95,5,-,-,8,15,9,20
"S00162661",204,13,-,-,13,13,19,39
"S00162662",131,13,1,-,12,15,11,26
"S00162663",148,7,3,-,9,10,16,30
"S00162664",160,7,6,2,18,16,25,35
"S00162665",94,4,3,-,3,14,14,19
"S00162666",182,11,4,-,8,10,7,50
"S00162667",172,18,3,-,8,18,11,35
"S00162668",69,14,4,-,-,1,7,17
"S00162669",108,7,3,-,7,8,8,13
"S00162670",71,8,-,-,4,9,6,9
"S00162671",87,6,1,-,5,5,3,22
"S00162672",201,12,7,-,19,14,28,36
"S00162673",67,6,1,-,-,1,3,16
"S00162674",71,9,1,-,5,6,-,15
"S00162675",111,8,7,-,8,9,15,24
"S00162676",89,9,1,-,1,9,4,11
"S00162677",68,2,-,-,5,8,7,12
"S00162678",157,19,2,-,6,13,12,48
"S00162679",142,8,6,-,3,7,10,22
"S00162680",137,17,3,-,6,8,7,29
"S00162681",169,12,1,1,8,7,16,40
"S00162682",184,4,-,-,8,12,16,31
"S00162683",131,7,6,-,7,4,12,23
"S00162684",102,5,-,-,8,8,12,16
"S00162685",145,14,2,1,8,14,10,27
"S00162686",71,18,8,-,6,21,19,32
"S00162687",67,4,2,-,2,4,4,10
"S00162688",169,6,5,-,12,8,22,38
"S00162689",91,4,1,-,4,4,7,21
"S00162690",143,8,-,-,5,5,4,28
"S00162691",88,2,1,-,8,3,8,13
"S00162692",83,5,1,-,3,13,3,24
"S00162693",123,17,1,-,4,8,10,33
"S00162694",125,15,1,-,3,6,16,27
"S00162695",90,8,1,-,4,6,-,23
"S00162696",72,6,4,1,3,6,7,15
"S00162697",115,11,7,-,7,15,13,32
"S00162698",76,10,2,2,2,7,3,19
"S00162699",68,13,1,-,-,6,2,15
"S00162700",72,12,2,-,4,11,6,22
"S00162701",85,5,1,-,5,16,22,18
"S00162702",123,18,7,-,1,24,17,37
"S00162703",121,9,1,-,4,3,4,20
"S00162704",115,13,3,-,4,13,12,19
"S00162705",150,13,1,-,3,5,6,20
"S00162706",80,6,1,-,5,12,7,21
"S00162707",130,19,6,1,4,24,16,39
"S00162708",61,6,4,-,-,8,5,15
"S00162709",87,2,2,-,4,10,17,11
"S00162710",313,9,-,1,13,9,12,34
"S00162711",93,8,4,-,3,9,8,17
"S00162712",122,13,6,-,6,13,12,26
"S00162713",124,11,6,-,6,10,30,29
"S00162714",86,6,-,-,4,4,3,19
"S00162715",114,12,4,-,4,20,21,34
"S00162716",69,5,3,-,4,7,13,15
"S00162717",100,12,2,-,4,5,13,19
"S00162718",116,4,-,-,5,18,14,40
"S00162719",117,6,-,-,11,13,13,39
"S00162720",164,9,4,3,6,10,13,23
"S00162721",82,9,3,-,5,8,7,18
"S00162722",80,7,5,-,1,6,4,13
"S00162723",149,17,-,1,9,12,4,35
"S00162724",92,9,1,-,7,11,9,16
"S00162725",180,7,5,5,5,36,25,72
"S00162726",79,11,2,1,2,12,2,18
"S00162727",90,5,1,-,6,9,9,22
"S00162728",68,4,3,-,3,10,3,10
"S00162729",146,15,4,-,4,11,11,39
"S00162730",95,2,2,-,4,4,13,17
"S00162731",157,13,5,-,4,16,8,31
"S00162732",110,7,-,-,6,7,15,21
"S00162733",85,10,2,-,3,9,10,21
"S00162734",187,8,4,-,9,19,17,29
"S00162735",187,16,2,1,6,11,10,48
"S00162736",126,10,1,1,8,4,5,17
"S00162737",76,5,-,-,4,3,11,14
"S00162738",142,17,5,-,2,7,8,34
"S00162739",142,9,4,2,7,10,20,28
"S00162740",102,6,-,-,3,9,4,22
"S00162741",87,12,-,-,6,6,4,21
"S00162742",130,12,7,1,4,13,14,31
"S00162743",135,18,2,-,2,5,8,22
"S00162744",107,15,2,-,7,6,10,18
"S00162745",84,9,3,-,3,10,12,22
"S00162746",68,1,-,-,-,6,8,17
"S00162747",156,2,-,-,14,6,20,24
"S00162748",135,11,5,1,3,9,5,27
"S00162749",127,6,2,-,4,7,13,9
"S00162750",72,9,2,-,2,6,1,17
"S00162751",63,1,-,-,7,5,7,8
