Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV602 - Economic activity of Household Reference Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Household Reference Persons aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Household Reference Persons aged 16 and over,Economically Active (full-time students) - Total,Economically Active (full-time students) - Employee - Total,Economically Active (full-time students) - Employee - Part-time,Economically Active (full-time students) - Employee - Full-time,Economically Active (full-time students) - Self-employed with employees - Total,Economically Active (full-time students) - Self-employed with employees - Part-time,Economically Active (full-time students) - Self-employed with employees - Full-time,Economically Active (full-time students) - Self-employed without employees - Total,Economically Active (full-time students) - Self-employed without employees - Part-time,Economically Active (full-time students) - Self-employed without employees - Full-time,Economically Active (full-time students) - Unemployed - Available for work,Economically Active Full-time student - Total,Economically Active Full-time student - Employee - Total,Economically Active Full-time student - Employee - Part-time,Economically Active full-time student - Employee - Full-time,Economically Active Full-time student - Self-employed with employees - Total,Economically Active Full-time student - Self-employed with employees - Part-time,Economically Active Full-time student - Self-employed with employees - Full-time,Economically Active Full-time student - Self-employed without employees - Total,Economically Active Full-time student - Self-employed without employees - Part-time,Economically Active Full-time student - Self-employed without employees - Full-time,Economically Active Full-time student - Unemployed - Available for work,Economically inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00154728,48,36,32,5,27,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,12,9,-,-,5,-
S00154729,57,31,27,5,22,1,-,1,3,1,2,-,1,1,1,-,-,-,-,-,-,-,-,24,19,-,-,5,2
S00154730,73,41,33,6,24,1,-,1,4,-,4,3,1,-,-,-,-,-,-,-,-,-,1,31,13,2,3,9,3
S00154731,48,31,25,2,23,2,-,2,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,19,16,-,1,2,-
S00154732,68,36,30,8,22,1,-,1,3,-,3,-,2,-,-,-,-,-,-,-,-,-,1,30,22,-,3,3,2
S00154733,69,41,34,2,29,3,-,3,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,29,18,1,1,7,-
S00154734,47,29,29,6,23,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-
S00154735,53,14,12,4,8,-,-,-,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,39,30,-,1,4,2
S00154736,53,20,13,4,6,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,30,19,-,6,5,1
S00154737,81,45,36,6,30,2,-,2,4,3,1,3,-,-,-,-,-,-,-,-,-,-,-,33,20,2,-,8,2
S00154738,45,34,30,9,19,-,-,-,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,11,7,1,1,-,1
S00154739,41,22,20,7,14,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,18,3,-,6,7,-
S00154740,66,44,41,4,37,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,21,17,-,-,4,-
S00154741,39,23,16,4,9,-,-,-,5,2,1,1,1,1,-,1,-,-,-,-,-,-,-,15,7,-,2,6,-
S00154742,54,31,29,3,26,-,-,-,3,-,3,-,1,-,-,-,-,-,-,-,-,-,1,21,16,-,2,3,-
S00154743,31,23,19,5,19,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,12,10,1,-,1,-
S00154744,37,15,14,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,20,-,1,-,1
S00154745,70,34,24,6,18,-,-,-,2,-,2,8,-,-,-,-,-,-,-,-,-,-,-,36,17,1,7,10,3
S00154746,38,21,22,3,19,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,9,2,3,1,1
S00154747,56,38,35,6,28,-,-,-,4,-,4,2,-,-,-,-,-,-,-,-,-,-,-,18,18,-,-,2,2
S00154748,58,23,20,3,17,2,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,36,27,-,4,4,1
S00154749,80,37,33,3,30,2,-,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,43,40,-,-,1,-
S00154750,44,23,21,4,17,1,-,1,1,-,1,-,1,1,1,-,-,-,-,-,-,-,-,20,17,1,-,2,-
S00154751,37,19,16,3,13,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,18,7,-,2,4,1
S00154752,51,25,21,2,17,1,-,1,4,2,-,3,-,-,-,-,-,-,-,-,-,-,-,24,27,-,-,1,-
S00154753,58,41,34,2,32,2,-,2,5,1,6,1,-,-,-,-,-,-,-,-,-,-,-,17,13,-,1,4,1
S00154754,56,47,42,2,41,2,-,2,3,-,4,-,-,-,-,-,-,-,-,-,-,-,-,13,11,-,1,-,1
S00154755,80,41,32,5,27,1,1,-,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,39,38,-,-,1,-
S00154756,49,24,20,4,16,-,-,-,3,2,2,1,2,2,-,2,-,-,-,-,-,-,-,24,13,-,6,5,-
S00154757,69,24,20,3,17,-,-,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,45,35,-,-,6,1
S00154758,70,31,21,7,15,2,-,2,3,-,3,3,3,3,3,-,-,-,-,-,-,-,-,32,29,-,1,4,2
S00154759,40,19,17,2,15,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,21,19,-,1,1,-
S00154760,45,20,16,7,9,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,24,17,-,-,8,1
S00154761,70,15,8,6,8,-,-,-,4,-,4,1,-,-,-,-,-,-,-,-,-,-,-,55,52,-,1,3,-
S00154762,80,34,29,11,21,-,-,-,3,-,3,2,-,-,-,-,-,-,-,-,-,-,-,46,37,-,1,7,1
S00154763,59,33,25,5,20,-,-,-,5,2,1,4,-,-,-,-,-,-,-,-,-,-,-,27,18,-,-,6,2
S00154764,43,27,22,4,18,-,-,-,4,-,4,-,1,1,-,1,-,-,-,-,-,-,-,17,14,-,1,4,-
S00154765,51,29,26,10,16,-,-,-,2,-,2,-,2,2,2,-,-,-,-,-,-,-,-,21,15,1,-,6,1
S00154766,69,39,29,9,20,2,1,-,5,2,3,3,3,3,2,1,-,-,-,-,-,-,-,28,16,-,1,8,3
S00154767,58,25,26,6,17,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,33,21,3,-,9,-
S00154768,30,20,18,3,14,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,8,5,-,1,2,-
S00154769,75,36,36,7,25,1,-,1,2,-,2,3,-,-,-,-,-,-,-,-,-,-,-,37,31,-,4,3,2
S00154770,64,15,14,3,11,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,49,40,-,-,9,-
S00154771,44,17,16,3,17,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,26,-,-,1,-
S00154772,64,32,24,6,18,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,31,13,-,4,6,7
S00154773,63,40,34,11,23,1,-,1,3,1,2,2,1,1,-,1,-,-,-,-,-,-,-,22,18,-,-,3,1
S00154774,33,15,13,-,13,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,18,10,-,5,3,-
S00154775,50,28,16,3,15,3,-,3,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,25,25,-,-,-,-
S00154776,51,20,18,4,14,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,30,25,-,1,2,2
S00154777,50,30,22,4,19,3,-,3,6,-,6,2,1,1,1,-,-,-,-,-,-,-,-,17,18,-,1,-,-
S00154778,63,41,35,6,30,2,-,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,24,19,-,1,2,1
S00154779,70,27,15,4,7,1,-,1,2,-,2,13,-,-,-,-,-,-,-,-,-,-,-,43,21,3,1,11,6
S00154780,69,38,31,6,25,-,-,-,5,1,4,2,-,-,-,-,-,-,-,-,-,-,-,31,22,-,3,5,1
S00154781,39,16,15,3,12,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,21,12,-,7,-,2
S00154782,64,23,21,-,21,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,42,36,-,-,5,1
S00154783,46,14,13,2,11,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,32,22,-,-,9,-
S00154784,60,33,26,5,21,2,2,-,6,2,5,-,-,-,1,1,-,-,-,-,-,-,-,25,17,-,-,10,1
S00154785,46,30,27,7,23,-,-,-,3,1,2,-,2,-,-,-,-,-,-,-,-,-,2,19,9,-,1,4,2
S00154786,46,21,18,1,17,-,-,-,3,2,1,-,1,1,1,-,-,-,-,-,-,-,-,24,17,-,3,4,-
S00154787,45,20,23,4,15,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,25,13,1,-,8,3
S00154788,30,16,16,1,15,-,-,-,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-
S00154789,55,27,21,-,21,2,-,2,1,-,1,4,-,-,-,-,-,-,-,-,-,-,-,29,27,-,2,1,2
S00154790,42,27,22,3,19,-,-,-,5,3,2,2,-,-,-,-,-,-,-,-,-,-,-,15,10,-,2,3,1
S00154791,46,17,14,3,11,-,-,-,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,29,20,-,2,6,1
S00154792,76,42,41,7,34,-,-,-,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-,35,21,-,-,8,5
S00154793,50,23,18,4,12,-,-,-,6,1,4,2,1,-,-,-,-,-,-,-,-,-,1,26,23,-,-,1,-
S00154794,58,31,27,2,26,-,-,-,4,-,4,2,1,1,-,1,-,-,-,-,-,-,-,26,21,-,3,2,-
S00154795,47,25,21,-,19,3,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,22,21,-,-,-,-
S00154796,47,25,22,3,19,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,22,10,-,4,2,3
S00154797,58,30,28,8,20,-,-,-,1,-,1,1,1,1,-,1,-,-,-,-,-,-,-,29,16,3,2,7,-
S00154798,40,25,24,4,20,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,17,11,-,-,3,1
S00154799,66,40,34,6,28,-,-,-,5,-,5,2,2,1,1,-,-,-,-,-,-,-,1,24,16,-,1,7,2
S00154800,37,17,17,4,13,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,17,10,-,2,4,1
S00154801,49,24,21,5,16,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,27,27,-,-,-,-
S00154802,47,8,6,-,6,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,41,21,2,2,15,-
S00154803,69,42,31,4,27,-,-,-,3,3,1,6,-,-,-,-,-,-,-,-,-,-,-,28,17,1,-,5,2
S00154804,67,43,38,5,33,2,-,2,2,1,1,1,1,1,1,-,-,-,-,-,-,-,-,20,20,-,-,3,-
S00154805,82,37,36,10,27,1,-,1,-,-,-,1,6,6,6,-,-,-,-,-,-,-,-,39,20,5,1,11,-
S00154806,44,16,15,-,14,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,28,19,1,-,7,1
S00154807,52,31,31,5,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,17,-,1,4,-
S00154808,44,29,21,6,15,-,-,-,7,2,5,1,-,-,-,-,-,-,-,-,-,-,-,15,12,-,2,1,-
S00154809,45,26,23,8,15,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,19,14,-,1,4,-
S00154810,74,48,40,2,36,3,4,1,6,-,6,3,3,3,2,1,-,-,-,-,-,-,-,23,8,-,1,1,7
S00154811,40,24,16,2,17,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,18,11,-,-,5,2
S00154812,44,27,23,8,15,-,-,-,4,1,3,-,1,1,1,-,-,-,-,-,-,-,-,16,12,-,1,4,-
S00154813,67,38,37,6,31,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,28,20,-,1,7,-
S00154814,49,26,26,2,20,1,-,1,4,1,1,1,3,3,3,-,-,-,-,-,-,-,-,18,18,-,-,-,-
S00154815,38,24,21,7,13,-,-,-,1,1,-,4,-,-,-,-,-,-,-,-,-,-,-,14,8,-,2,1,3
S00154816,49,13,8,2,6,1,-,1,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,36,32,-,-,4,-
S00154817,53,25,21,7,14,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,32,18,2,6,2,1
S00154818,49,23,20,3,17,-,-,-,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,22,14,-,3,5,-
S00154819,44,22,21,3,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,20,-,1,1,2
S00154820,37,31,28,3,25,-,-,-,2,1,4,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-
S00154821,58,31,21,7,14,2,-,2,8,3,6,-,-,-,-,-,-,-,-,-,-,-,-,26,21,-,-,2,-
S00154822,31,10,7,1,6,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,21,19,-,-,2,1
S00154823,61,41,33,12,21,1,-,1,3,2,-,4,4,4,3,1,-,-,-,-,-,-,-,16,10,-,5,4,-
S00154824,84,79,76,4,74,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,4,2,1,-,-,-
S00154825,43,21,17,2,15,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,22,17,-,1,2,4
S00154826,66,42,33,8,28,4,-,4,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,20,20,-,-,-,-
S00154827,61,29,20,3,17,-,-,-,2,-,2,8,-,-,-,-,-,-,-,-,-,-,-,33,16,-,1,13,3
S00154828,54,32,29,5,24,1,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,22,10,-,2,9,2
S00154829,53,42,17,1,16,5,1,2,19,3,16,-,-,-,-,-,-,-,-,-,-,-,-,11,8,-,1,4,-
S00154830,72,42,28,2,26,-,-,-,6,1,6,7,-,-,-,-,-,-,-,-,-,-,-,30,21,1,3,7,1
S00154831,72,37,32,8,24,-,-,-,3,2,-,4,-,-,-,-,-,-,-,-,-,-,-,35,24,-,8,5,2
S00154832,46,24,23,6,17,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,22,19,-,2,2,-
S00154833,39,24,14,3,13,1,-,1,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,15,6,-,4,5,-
S00154834,69,62,55,4,51,2,-,2,6,3,4,-,-,-,-,-,-,-,-,-,-,-,-,7,7,1,-,-,-
S00154835,73,58,45,5,41,1,-,1,7,-,7,1,-,-,-,-,-,-,-,-,-,-,-,19,16,-,-,1,2
S00154836,30,17,16,1,12,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,13,15,-,2,-,-
S00154837,25,24,23,1,22,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,1,2,-,-,1,-
S00154838,59,28,27,4,23,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,30,24,-,-,2,1
S00154839,58,36,33,3,30,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,22,21,-,-,-,-
S00154840,59,31,25,4,21,3,-,3,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,28,21,-,3,4,-
S00154841,48,28,25,3,22,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,20,14,-,2,2,2
S00154842,66,51,40,9,31,6,-,6,7,1,6,-,-,-,-,-,-,-,-,-,-,-,-,15,12,-,2,1,1
S00154843,63,41,37,7,30,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,22,17,-,1,-,2
S00154844,60,26,21,7,14,1,-,1,2,1,1,2,1,1,1,-,-,-,-,-,-,-,-,33,14,-,6,8,3
S00154845,52,29,19,9,10,-,-,-,8,2,6,2,-,-,-,-,-,-,-,-,-,-,-,23,11,-,3,8,2
S00154846,46,31,25,-,25,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,16,14,-,-,-,-
S00154847,50,36,33,4,28,2,-,2,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,14,11,-,-,2,2
S00154848,54,24,20,2,18,-,-,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,26,18,1,4,1,1
S00154849,57,36,35,1,34,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,19,-,1,-,-
S00154850,80,47,37,6,31,3,-,3,5,3,2,-,2,2,2,-,-,-,-,-,-,-,-,33,24,1,-,8,2
S00154851,32,15,11,1,10,2,-,2,4,1,1,1,-,-,-,-,-,-,-,-,-,-,-,17,10,-,2,1,2
S00154852,47,33,30,3,26,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,14,11,-,3,-,-
S00154853,45,32,26,1,21,1,-,1,5,1,4,2,-,-,-,-,-,-,-,-,-,-,-,15,14,-,1,-,-
S00154854,36,25,10,2,8,5,-,5,11,1,10,-,-,-,-,-,-,-,-,-,-,-,-,11,6,-,-,1,1
S00154855,42,21,18,3,17,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,21,18,4,-,-,-
S00154856,49,26,23,5,18,2,-,2,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,24,18,1,-,1,2
S00154857,69,16,13,3,10,1,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,57,36,3,4,10,-
S00154858,67,37,29,3,26,1,-,1,1,1,-,6,2,2,1,1,-,-,-,-,-,-,-,24,20,1,1,4,-
S00154859,37,19,16,1,12,3,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,19,12,-,3,3,-
S00154860,57,37,32,9,23,-,-,-,4,-,4,1,-,-,-,-,-,-,-,-,-,-,-,20,18,-,1,-,1
S00154861,73,37,31,8,21,1,-,1,3,-,3,4,-,-,-,-,-,-,-,-,-,-,-,36,3,3,13,15,5
S00154862,74,48,39,5,34,3,1,2,5,-,5,1,-,-,-,-,-,-,-,-,-,-,-,26,17,1,-,5,3
S00154863,54,26,27,7,23,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,28,3,2,5,9,1
S00154864,40,19,14,5,9,-,-,-,-,-,-,5,1,1,-,1,-,-,-,-,-,-,-,20,6,-,6,7,1
S00154865,60,26,19,9,12,-,-,-,2,-,2,6,2,1,1,-,-,-,-,-,-,-,1,33,11,-,7,10,4
S00154866,54,31,19,5,14,1,-,1,2,1,1,7,-,-,-,-,-,-,-,-,-,-,-,30,4,-,6,10,5
S00154867,33,14,13,2,11,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,19,13,-,3,2,1
S00154868,56,36,25,2,25,2,-,2,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,20,10,-,2,4,2
S00154869,49,29,31,7,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,10,1,2,6,1
S00154870,64,33,24,8,16,-,-,-,2,1,2,7,-,-,-,-,-,-,-,-,-,-,-,31,14,-,5,6,3
S00154871,45,25,23,7,16,1,-,1,1,-,1,-,1,1,-,1,-,-,-,-,-,-,-,20,18,-,-,-,-
S00154872,81,48,38,7,31,2,-,2,3,1,4,3,-,-,-,-,-,-,-,-,-,-,-,30,16,-,8,3,2
S00154873,40,26,24,6,12,4,-,2,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,14,9,-,2,3,2
S00154874,52,34,27,3,23,2,2,-,4,2,1,2,1,1,-,1,-,-,-,-,-,-,-,14,11,-,1,5,-
S00154875,44,27,23,6,17,-,-,-,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,16,10,-,-,3,2
S00154876,34,18,18,3,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,13,1,-,2,-
S00154877,70,39,24,18,8,4,-,4,8,-,8,4,-,-,-,-,-,-,-,-,-,-,-,31,9,-,9,13,-
S00154878,75,50,45,5,38,1,-,1,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,25,23,-,-,2,1
S00154879,27,15,12,-,10,-,-,-,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,12,8,-,2,3,-
S00154880,64,41,32,9,22,-,-,-,7,4,4,1,-,-,-,-,-,-,-,-,-,-,-,23,11,2,3,5,2
S00154881,74,44,36,5,31,-,-,-,6,3,3,1,1,1,1,-,-,-,-,-,-,-,-,26,15,1,3,5,5
S00154882,45,29,21,4,19,4,-,4,4,3,1,-,1,1,-,1,-,-,-,-,-,-,-,17,8,-,3,3,-
S00154883,61,36,34,4,30,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,24,14,-,-,10,-
S00154884,63,38,34,5,26,2,-,2,-,-,-,2,3,3,1,2,-,-,-,-,-,-,-,22,11,-,5,5,1
S00154885,52,30,25,4,21,2,-,2,2,-,2,1,-,-,-,-,-,-,-,-,-,-,-,22,18,-,-,4,-
S00154886,59,29,25,5,18,1,-,1,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,31,19,-,-,10,1
S00154887,41,17,16,2,15,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,24,10,-,5,3,3
S00154888,64,44,40,7,33,-,-,-,4,-,4,-,2,-,-,-,-,-,-,-,-,-,2,19,18,-,4,2,-
S00154889,49,25,20,8,12,-,-,-,3,2,2,1,-,-,-,-,-,-,-,-,-,-,-,26,16,1,6,2,1
S00154890,47,27,22,5,17,-,-,-,4,-,4,1,-,-,-,-,-,-,-,-,-,-,-,20,10,-,8,2,-
S00154891,40,26,22,5,14,-,-,-,5,1,4,2,-,-,-,-,-,-,-,-,-,-,-,14,6,1,1,4,-
S00154892,42,32,28,5,26,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,16,8,-,3,4,-
S00154893,44,25,21,4,17,-,-,-,4,-,4,1,-,-,-,-,-,-,-,-,-,-,-,18,10,-,5,2,2
S00154894,32,16,12,5,7,3,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,19,6,-,6,6,1
S00154895,52,32,25,4,19,1,-,1,5,3,2,-,2,2,-,-,-,-,-,-,-,-,-,17,6,-,5,5,-
S00154896,61,32,27,4,23,3,-,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,29,15,1,4,7,2
S00154897,45,21,19,8,11,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,21,7,2,5,6,1
S00154898,31,16,15,2,13,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,14,10,-,-,2,1
S00154899,65,32,25,6,22,-,-,-,4,2,4,4,1,-,-,-,-,-,-,1,1,-,-,29,13,-,5,9,4
S00154900,38,21,12,1,11,1,-,1,2,-,2,3,2,2,2,2,-,-,-,-,-,-,-,15,6,1,2,7,3
S00154901,52,24,18,8,11,-,-,-,5,-,5,1,-,-,-,-,-,-,-,-,-,-,-,28,9,1,9,6,3
S00154902,37,24,22,2,20,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,10,-,-,3,1
S00154903,70,41,34,15,19,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,32,14,2,9,7,2
S00154904,42,20,18,5,13,-,-,-,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,21,4,-,4,11,2
S00154905,35,22,20,4,16,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,13,8,-,4,3,-
S00154906,55,36,31,6,25,1,-,1,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,19,7,2,2,6,3
S00154907,43,14,12,2,10,-,-,-,2,-,2,-,1,1,1,-,-,-,-,-,-,-,-,28,27,-,-,-,1
S00154908,64,41,35,5,30,-,-,-,-,-,-,4,2,2,2,-,-,-,-,-,-,-,-,21,13,-,1,6,1
S00154909,61,31,26,3,26,-,-,-,5,1,4,-,-,-,-,-,-,-,-,-,-,-,-,30,7,-,4,20,1
S00154910,39,22,15,5,11,1,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,17,3,2,7,4,2
S00154911,69,44,35,-,35,-,-,-,8,2,6,1,1,1,-,1,-,-,-,-,-,-,-,28,13,-,8,4,2
S00154912,59,38,33,5,28,2,-,2,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,21,11,-,3,-,2
S00154913,71,39,35,8,23,-,-,-,7,3,4,-,2,2,1,1,-,-,-,-,-,-,-,30,7,-,4,18,4
S00154914,58,44,26,3,25,4,-,4,11,1,9,-,-,-,-,-,-,-,-,-,-,-,-,19,16,-,1,1,2
S00154915,52,24,21,5,20,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,28,8,2,3,12,3
S00154916,87,46,41,10,31,-,-,-,5,4,2,-,-,-,-,-,-,-,-,-,-,-,-,41,17,-,6,15,3
S00154917,43,24,20,4,16,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,22,13,-,-,8,-
S00154918,56,33,26,2,24,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,27,16,-,1,8,2
S00154919,56,34,29,12,17,2,-,2,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,22,13,1,1,5,2
S00154920,28,21,19,-,19,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,-,5,1
S00154921,40,24,24,6,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,10,-,2,1,-
S00154922,29,12,7,3,6,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,16,13,-,1,1,1
S00154923,61,27,24,2,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,27,1,3,3,-
S00154924,35,22,21,2,19,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,13,10,-,2,1,-
S00154925,78,34,27,6,21,-,-,-,6,-,6,1,2,2,-,-,-,-,-,-,-,-,-,42,22,-,6,10,5
S00154926,56,27,26,8,18,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,32,20,-,3,7,4
S00154927,54,30,22,6,14,2,-,2,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,25,16,-,3,4,2
S00154928,62,35,27,3,25,-,-,-,8,2,4,2,-,-,-,-,-,-,-,-,-,-,-,30,22,-,1,7,2
S00154929,72,48,41,4,37,2,-,2,3,-,3,-,2,2,-,2,-,-,-,-,-,-,-,23,22,-,-,1,-
S00154930,51,40,33,2,31,3,-,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,13,12,1,-,-,-
S00154931,47,21,17,1,14,-,-,-,4,1,4,-,2,2,-,2,-,-,-,-,-,-,-,25,20,-,1,3,1
S00154932,46,26,24,5,19,2,-,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,19,12,-,2,2,1
S00154933,42,15,14,4,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,22,-,-,2,-
S00154934,54,33,30,2,27,-,-,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,22,16,1,1,4,-
S00154935,64,46,29,5,25,4,-,4,13,2,10,-,-,-,-,-,-,-,-,-,-,-,-,18,16,-,-,3,-
S00154936,56,25,23,5,18,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,30,26,-,-,5,-
S00154937,64,32,29,8,21,-,-,-,1,-,1,3,1,-,-,-,-,-,-,1,-,1,-,31,19,-,-,8,4
