Scotland's Census 2022 - National Records of Scotland
Table UV605 - Industry
All people aged 16 and over in employment the week before the census
,"All people aged 16 and over in employment the week before the census","Agriculture; Forestry; Fishing","Mining and Quarrying","Manufacturing","Electricity, Gas, Steam and Air Conditioning Supply","Water Supply; Sewage; Waste Management and Remediation activities","Construction","Wholesale and Retail trade; Repair of Motor Vehicles and Motorcycles","Transport and Storage","Accommodation and Food Service Activities","Information and Communication","Financial and Insurance Activities","Real Estate Activities","Professional Scientific and Technical Activities","Administrative and Support Service Activities","Public Administration and Defence; Compulsory Social Security","Education","Human Health and Social Work Activities","Arts, Entertainment and Recreation","Other Service Activities","Activities of Household as Employers; Undifferentiated Goods - and Services - Producing Activities of Households for Own Use","Activities of Extra-Territorial Organisations and Bodies"
"S00158664",44,-,-,2,4,-,1,8,1,1,2,3,-,8,2,4,4,2,2,2,-,-
"S00158665",46,-,-,5,-,-,2,1,9,6,3,2,-,2,3,3,1,9,1,1,-,-
"S00158666",69,-,-,4,-,-,-,4,1,3,13,7,2,11,2,3,9,7,2,4,-,-
"S00158667",95,-,-,3,-,-,5,11,2,13,12,5,-,13,1,2,8,11,11,1,-,1
"S00158668",31,-,-,5,-,-,2,2,5,3,-,-,-,-,4,3,1,2,2,1,-,-
"S00158669",63,-,-,4,-,-,3,6,-,3,6,-,1,9,1,6,1,8,6,6,-,-
"S00158670",85,1,2,3,-,-,12,11,2,8,2,3,1,2,4,15,6,10,1,2,-,-
"S00158671",42,-,-,4,-,1,7,6,1,4,1,1,-,1,5,5,-,5,1,-,-,-
"S00158672",70,1,-,3,-,1,4,9,4,12,1,-,-,4,9,-,4,8,3,-,1,-
"S00158673",50,-,-,3,-,-,1,3,2,3,1,5,-,7,-,7,7,6,2,2,-,-
"S00158674",250,-,4,4,-,-,2,50,-,63,4,4,-,13,6,6,21,22,43,5,-,-
"S00158675",47,-,-,2,-,-,2,13,5,5,1,1,-,4,4,3,1,6,1,-,-,-
"S00158676",31,-,-,-,-,-,-,-,7,2,3,-,-,-,2,2,2,6,2,3,-,-
"S00158677",38,-,-,1,-,-,4,6,3,2,-,-,-,1,10,5,1,3,-,-,-,-
"S00158678",77,-,-,6,-,-,3,10,7,6,3,10,-,1,4,8,5,13,-,1,-,-
"S00158679",25,-,-,3,-,-,3,2,3,1,2,4,-,-,1,3,2,4,-,-,-,-
"S00158680",56,-,-,4,-,1,3,9,2,4,2,2,-,2,-,3,1,12,-,5,-,-
"S00158681",116,-,-,4,-,-,4,14,1,11,9,4,-,21,-,4,19,19,-,1,-,-
"S00158682",48,1,-,1,2,-,4,8,1,16,-,1,-,-,-,2,1,3,5,4,-,-
"S00158683",24,-,-,1,-,-,1,5,-,3,1,1,-,1,-,2,2,3,-,3,-,-
"S00158684",33,-,-,1,-,-,-,6,2,5,-,2,-,-,4,7,2,-,-,3,-,-
"S00158685",207,-,-,9,1,-,6,21,4,52,8,8,1,17,7,21,24,16,5,13,-,4
"S00158686",26,-,-,-,-,-,-,5,4,3,1,-,-,-,2,3,1,2,1,3,-,-
"S00158687",37,-,-,4,-,-,5,7,1,-,-,-,-,1,5,-,3,3,3,-,-,1
"S00158688",64,-,-,3,1,-,2,7,2,3,7,5,-,1,3,4,10,12,2,2,-,-
"S00158689",61,-,1,2,-,-,1,7,-,8,5,5,-,6,4,6,6,6,2,2,-,-
"S00158690",81,1,-,6,-,-,7,24,5,6,4,-,-,3,6,2,-,12,-,1,-,-
"S00158691",77,-,1,5,-,-,4,5,1,6,5,4,-,2,5,2,9,19,-,3,-,-
"S00158692",754,-,8,23,-,1,5,159,11,261,28,11,-,26,42,15,49,70,20,24,-,-
"S00158693",53,-,-,1,-,1,2,11,4,3,-,2,1,3,4,2,5,8,-,4,-,-
"S00158694",49,-,-,2,-,-,3,6,-,-,-,2,2,1,3,6,6,12,1,2,-,-
"S00158695",73,-,-,9,1,-,3,1,2,7,3,2,-,4,1,5,12,14,4,-,-,-
"S00158696",49,-,-,7,-,2,2,8,6,1,-,3,1,2,7,3,2,7,-,1,-,-
"S00158697",72,-,-,2,-,-,3,3,3,5,4,8,-,4,-,7,8,12,4,4,-,-
"S00158698",84,-,-,3,1,-,2,6,3,3,2,10,-,8,4,7,5,24,2,3,-,-
"S00158699",89,-,-,9,-,-,1,5,4,4,8,-,1,17,5,5,7,18,-,2,-,-
"S00158700",33,-,-,5,-,-,1,3,1,-,-,2,1,-,1,6,-,7,-,4,-,-
"S00158701",59,-,-,3,2,-,10,7,5,4,-,-,-,1,7,4,5,6,-,4,-,-
"S00158702",33,-,-,2,-,-,-,4,2,6,2,2,-,1,5,3,1,1,3,-,-,-
"S00158703",26,-,-,3,-,2,2,5,-,-,-,-,-,1,-,2,-,8,1,-,-,-
"S00158704",60,-,-,3,-,-,-,5,1,6,6,8,-,1,5,7,10,4,3,1,-,-
"S00158705",61,-,-,1,-,-,4,3,4,8,1,2,2,2,8,4,2,13,-,4,-,-
"S00158706",27,-,-,2,-,-,4,4,2,3,1,-,-,1,-,1,3,4,-,-,-,-
"S00158707",66,-,-,2,-,-,7,17,8,-,1,4,1,2,6,6,7,10,-,2,-,-
"S00158708",69,-,-,4,-,-,6,10,2,16,3,1,-,6,7,5,8,6,1,-,-,-
"S00158709",51,1,-,1,-,1,3,10,2,6,2,2,2,4,4,3,3,8,4,1,-,-
"S00158710",41,-,-,5,-,-,2,5,1,4,1,2,-,1,1,2,5,7,2,2,1,-
"S00158711",48,-,-,-,-,-,4,4,1,-,6,2,4,1,3,5,4,12,1,5,-,-
"S00158712",33,-,-,4,-,-,1,7,1,1,1,-,-,1,6,2,4,5,2,1,-,-
"S00158713",73,-,-,4,-,1,6,8,7,6,4,1,-,2,3,-,4,15,5,-,-,-
"S00158714",39,-,1,1,-,1,1,8,1,-,-,-,2,3,2,4,3,7,3,2,-,-
"S00158715",38,-,-,1,-,2,4,2,-,2,3,2,-,3,2,6,-,-,4,4,-,-
"S00158716",87,1,-,-,-,-,-,12,1,13,6,9,-,6,5,2,6,13,4,3,-,-
"S00158717",78,-,-,5,-,-,2,7,-,3,7,5,-,6,3,8,4,25,2,2,-,-
"S00158718",68,-,-,-,1,-,13,7,2,3,-,5,2,4,4,5,4,16,3,-,-,-
"S00158719",62,-,-,8,-,-,6,11,3,9,1,-,-,1,5,4,2,7,1,6,-,-
"S00158720",65,-,1,2,-,-,4,5,1,8,4,2,-,7,5,4,3,13,1,2,1,-
"S00158721",46,-,-,1,-,1,3,3,6,6,-,3,-,2,5,4,1,2,-,6,-,1
"S00158722",45,-,-,2,1,-,2,4,1,3,2,2,1,5,2,2,6,11,-,1,-,-
"S00158723",42,-,-,2,1,-,1,4,1,1,7,1,-,9,2,4,6,5,3,-,-,-
"S00158724",63,2,-,1,-,-,3,3,2,6,5,3,2,5,5,3,10,7,5,-,-,-
"S00158725",40,-,-,2,-,-,3,6,3,5,9,2,-,6,-,1,2,3,2,2,-,-
"S00158726",39,-,-,2,-,2,3,9,1,2,-,-,-,-,6,3,-,8,1,2,-,-
"S00158727",68,-,-,8,-,-,4,7,-,9,5,3,-,11,2,2,7,6,2,4,-,-
"S00158728",36,-,-,1,-,-,2,6,3,1,1,-,1,-,5,1,4,8,-,1,-,-
"S00158729",30,-,-,4,-,-,1,8,2,5,-,2,-,1,1,-,5,6,1,-,-,-
"S00158730",31,-,-,-,-,-,1,3,1,5,-,1,2,2,5,2,-,6,-,1,-,-
"S00158731",25,-,-,-,-,1,1,3,1,2,1,-,2,2,-,5,2,3,-,1,-,-
"S00158732",36,-,-,4,-,-,3,-,3,5,10,-,-,1,3,3,4,3,2,-,-,-
"S00158733",20,-,-,1,-,-,1,4,-,2,3,-,-,-,1,-,2,2,-,-,-,-
"S00158734",37,-,-,2,-,-,2,4,2,4,2,-,-,-,11,6,-,5,1,-,-,-
"S00158735",47,-,-,2,-,-,4,10,4,7,-,2,-,-,5,1,-,7,1,4,1,-
"S00158736",63,-,-,5,-,-,1,5,-,2,8,3,-,8,4,6,8,5,4,4,1,-
"S00158737",98,-,-,5,1,-,3,8,3,14,5,4,-,14,2,7,10,17,5,1,-,-
"S00158738",36,-,-,5,-,-,1,3,-,2,4,6,-,5,-,3,1,7,1,-,-,-
"S00158739",48,-,-,2,-,-,1,5,-,4,2,3,-,4,2,4,5,8,2,5,-,1
"S00158740",63,-,-,5,-,-,7,13,2,3,1,1,1,-,7,2,4,13,2,3,1,-
"S00158741",81,-,-,6,-,3,6,9,4,1,1,5,1,5,2,12,6,11,-,1,-,-
"S00158742",41,-,-,3,-,-,4,8,-,6,-,-,4,1,1,2,1,11,-,4,-,-
"S00158743",31,-,-,1,-,-,3,2,2,5,-,1,1,1,2,1,-,4,2,-,1,-
"S00158744",26,1,-,2,-,-,4,4,-,7,-,-,3,-,1,4,-,-,1,1,-,-
"S00158745",50,-,-,5,-,-,5,5,5,-,4,4,1,-,4,3,4,6,1,2,-,-
"S00158746",53,-,-,-,1,-,1,4,6,4,4,5,1,9,1,4,8,5,2,-,-,-
"S00158747",62,-,-,3,-,2,3,5,3,12,-,7,2,6,-,6,5,5,3,3,-,-
"S00158748",65,1,1,5,-,-,-,4,2,4,9,1,1,6,5,3,12,4,3,2,-,-
"S00158749",44,-,-,-,-,-,3,2,3,3,3,5,-,8,-,2,5,6,2,3,-,-
"S00158750",70,-,-,4,-,-,2,7,1,11,9,3,-,3,2,10,4,9,2,3,-,-
"S00158751",68,-,1,2,-,-,2,4,-,3,6,-,2,8,1,6,8,13,5,3,-,-
"S00158752",25,-,-,-,-,-,3,1,1,1,1,1,-,-,6,2,1,6,2,-,-,-
"S00158753",16,-,-,-,-,-,2,1,5,2,1,1,-,-,-,-,2,1,-,-,-,-
"S00158754",51,-,-,2,-,-,11,5,3,2,1,2,-,-,1,6,5,2,5,5,-,-
"S00158755",34,-,-,2,-,-,1,10,2,2,-,2,-,-,4,3,1,7,-,-,-,-
"S00158756",59,-,-,10,-,-,3,6,5,3,-,2,-,3,4,6,-,7,1,3,-,-
"S00158757",41,-,-,1,1,-,1,2,1,-,2,-,-,8,1,3,7,8,1,1,-,-
"S00158758",53,-,-,3,-,1,3,5,-,1,5,-,2,5,2,4,6,10,2,-,-,-
"S00158759",71,2,-,-,2,-,4,4,-,6,8,2,-,11,4,8,1,14,5,-,-,-
"S00158760",53,-,2,5,-,-,2,3,-,-,3,11,1,4,4,6,4,9,-,4,-,-
"S00158761",48,-,-,-,-,-,5,6,5,1,-,3,-,2,3,10,4,6,2,-,-,-
"S00158762",90,-,1,2,-,3,6,11,11,6,1,2,-,4,4,10,2,14,4,5,2,-
"S00158763",43,-,1,2,2,-,1,2,1,1,6,1,-,8,3,-,4,10,5,6,-,-
"S00158764",69,-,-,8,3,-,1,6,1,1,5,2,-,12,-,7,11,4,1,3,-,-
"S00158765",41,-,-,5,-,-,6,7,1,3,2,-,-,-,2,6,4,5,1,1,-,-
"S00158766",68,-,-,4,-,-,-,4,1,14,5,3,1,4,3,3,5,11,5,4,-,-
"S00158767",40,-,-,3,-,-,4,8,2,3,-,-,-,-,1,4,2,6,3,3,-,-
"S00158768",71,-,-,-,-,1,1,8,-,6,6,5,-,6,-,9,8,7,6,5,-,-
"S00158769",102,-,-,6,-,-,3,11,-,10,8,11,2,5,1,7,10,7,7,3,-,-
"S00158770",47,-,-,2,-,-,3,6,1,5,6,2,-,4,2,1,2,4,4,6,-,1
"S00158771",26,-,-,3,-,-,1,4,1,1,-,1,-,1,2,2,4,4,-,-,-,-
"S00158772",26,-,-,3,-,2,-,4,2,-,-,-,-,1,5,2,2,4,1,1,-,-
"S00158773",54,-,-,1,-,1,3,9,9,4,2,1,1,-,3,7,-,10,1,1,-,-
"S00158774",32,-,-,4,-,-,1,4,7,5,3,3,-,1,2,4,-,1,1,-,-,-
"S00158775",88,-,1,10,-,-,4,5,4,4,4,5,7,15,-,10,5,10,2,2,-,-
"S00158776",31,-,-,4,-,-,2,1,-,2,-,1,-,-,6,1,3,7,-,-,-,-
"S00158777",33,-,-,4,-,-,3,8,2,3,-,4,-,1,2,4,2,1,-,-,-,-
"S00158778",38,-,-,2,-,-,1,6,2,8,1,4,-,-,5,1,5,4,-,-,-,-
"S00158779",43,-,-,3,-,-,-,6,5,9,1,3,2,-,1,3,3,3,4,-,-,-
"S00158780",32,-,1,4,-,-,-,3,1,2,2,-,-,2,-,2,3,8,-,-,-,-
"S00158781",43,-,-,-,-,-,2,7,-,5,4,3,-,1,-,4,4,5,4,3,-,-
"S00158782",91,-,1,3,1,-,2,6,4,24,8,5,2,4,4,-,15,11,5,3,-,-
"S00158783",71,1,-,4,-,-,-,7,-,11,8,5,-,5,5,3,6,8,-,5,-,-
"S00158784",89,-,-,3,-,-,2,7,3,11,12,6,-,10,-,5,11,11,1,2,-,1
"S00158785",131,-,-,2,-,-,3,25,2,31,16,7,-,10,12,7,5,9,-,6,-,1
"S00158786",51,-,2,6,-,-,1,11,2,4,2,3,-,-,2,1,3,11,1,1,-,-
"S00158787",40,-,-,1,1,-,2,3,1,5,3,1,-,6,-,1,6,7,1,3,-,-
"S00158788",166,-,-,5,-,-,2,10,2,37,10,10,-,20,7,7,20,20,14,2,-,-
"S00158789",37,-,-,2,-,-,1,5,1,3,3,-,1,5,4,3,4,7,4,-,1,-
"S00158790",36,-,-,2,-,1,-,6,1,2,4,4,-,4,-,3,-,2,4,2,-,-
"S00158791",90,-,2,5,-,1,4,5,2,6,3,5,3,14,-,5,11,15,4,1,-,2
"S00158792",75,-,-,1,-,1,1,10,3,22,2,2,-,6,5,8,7,3,4,-,-,-
"S00158793",82,-,-,7,-,-,7,2,2,13,2,3,5,3,5,9,5,12,2,3,-,-
"S00158794",31,-,-,2,-,2,2,7,1,4,-,1,-,2,2,3,-,5,2,-,-,-
"S00158795",43,-,-,4,-,2,3,2,4,5,-,1,-,2,2,5,3,7,-,3,-,-
"S00158796",38,-,-,2,-,-,1,1,4,2,4,5,1,-,2,1,4,2,1,3,-,-
"S00158797",41,-,-,2,-,-,7,7,4,8,2,2,-,-,1,2,1,5,3,-,1,-
"S00158798",43,-,-,-,-,1,1,5,2,4,-,1,2,-,6,2,3,14,2,3,-,-
"S00158799",40,-,-,3,-,1,4,6,-,7,-,-,-,-,2,4,1,5,-,-,-,-
"S00158800",27,-,-,1,-,-,1,1,1,6,1,3,-,6,1,-,1,4,1,1,-,-
"S00158801",50,-,-,4,-,-,1,10,4,-,-,2,1,4,2,6,2,7,-,-,-,-
"S00158802",67,-,-,5,-,-,-,11,2,3,-,2,-,6,3,4,12,6,5,3,-,-
"S00158803",35,1,-,3,-,-,4,7,3,3,2,-,-,3,-,3,2,1,2,-,-,-
"S00158804",58,-,-,3,-,-,1,15,3,5,3,-,-,5,3,3,11,8,-,1,-,-
"S00158805",56,-,-,2,-,-,2,4,6,7,-,1,-,2,5,6,7,9,3,-,-,-
"S00158806",90,1,-,2,-,-,4,8,-,7,10,3,3,10,2,4,12,11,7,1,-,-
"S00158807",39,-,-,3,-,-,1,5,-,3,5,-,1,8,3,1,3,5,1,-,-,-
"S00158808",74,-,1,2,1,-,-,11,1,6,3,3,-,10,1,13,6,8,3,2,-,-
"S00158809",90,-,-,1,1,-,2,8,1,22,3,8,1,6,4,4,7,10,5,4,-,-
"S00158810",65,-,-,7,-,-,5,8,2,6,-,3,-,8,8,4,3,12,-,2,-,-
"S00158811",61,-,-,4,-,1,3,10,2,3,1,1,-,-,11,9,4,11,1,1,-,-
"S00158812",52,-,-,2,-,-,3,3,4,6,4,3,-,7,-,-,4,10,3,4,-,-
"S00158813",67,-,-,2,-,-,1,10,1,10,3,3,-,3,5,4,8,6,4,7,-,-
"S00158814",82,-,-,6,-,-,2,16,4,7,2,1,1,3,4,8,6,16,-,1,2,1
"S00158815",58,-,-,4,-,-,6,10,2,5,-,-,-,3,3,8,5,8,2,-,1,-
"S00158816",36,-,-,1,1,-,2,2,-,10,4,4,-,-,1,1,-,2,4,1,-,-
"S00158817",57,-,-,4,-,1,5,8,2,7,2,-,-,2,7,5,-,9,-,1,2,-
"S00158818",44,-,-,6,-,-,2,6,2,3,1,-,-,1,8,4,1,8,4,2,-,-
"S00158819",40,-,-,-,-,1,-,4,-,6,3,-,2,3,-,8,6,3,3,3,-,-
"S00158820",60,-,-,-,1,-,-,3,1,13,6,1,-,11,3,2,4,6,3,2,-,-
"S00158821",58,-,-,3,-,-,2,4,1,4,3,2,-,10,2,1,1,8,8,4,-,-
"S00158822",67,-,-,6,1,-,2,11,-,6,8,3,-,5,5,4,5,8,2,2,-,-
"S00158823",125,-,1,2,-,-,-,11,2,17,10,5,-,7,4,9,36,17,2,2,-,-
"S00158824",61,-,-,4,-,-,2,8,2,7,2,2,2,1,5,6,7,8,4,2,1,-
"S00158825",60,-,-,2,-,-,3,6,1,4,8,-,1,6,3,5,4,13,-,4,-,-
"S00158826",104,2,-,6,-,-,-,10,1,24,5,10,-,8,2,7,7,10,8,6,-,-
"S00158827",50,-,-,-,-,-,6,6,7,4,1,1,2,1,2,4,6,7,3,-,-,-
"S00158828",53,-,-,3,-,1,9,4,-,3,1,2,-,-,9,5,3,9,-,5,-,-
"S00158829",63,-,2,2,1,-,2,3,3,4,7,4,2,8,-,5,3,16,3,1,-,1
"S00158830",28,-,-,1,-,-,4,4,1,-,2,1,-,1,7,1,-,4,1,-,-,-
"S00158831",40,-,-,1,-,-,5,6,-,6,-,3,1,-,4,3,2,4,1,-,-,-
"S00158832",40,-,-,-,-,-,1,5,2,5,-,2,-,2,5,2,7,5,1,3,1,-
"S00158833",62,-,-,1,-,-,4,16,-,3,1,1,1,4,3,2,8,16,1,2,-,-
"S00158834",56,-,-,1,1,2,4,5,2,4,3,4,-,-,5,10,4,12,3,2,-,-
"S00158835",42,-,1,2,-,-,-,4,1,4,3,2,-,3,5,3,4,6,-,2,-,-
"S00158836",61,-,5,3,-,2,3,3,3,4,5,3,1,10,2,5,5,8,1,1,-,-
"S00158837",44,-,-,-,2,-,-,5,-,-,1,4,1,2,3,4,6,3,5,1,-,-
"S00158838",65,-,-,-,-,-,2,9,-,9,2,-,3,4,5,5,6,8,10,3,1,-
"S00158839",73,-,-,6,-,-,15,6,3,8,4,1,-,4,4,9,6,7,3,2,-,-
"S00158840",99,-,-,6,3,1,6,3,2,3,7,11,3,12,-,9,14,12,5,3,-,-
"S00158841",49,-,-,2,-,-,2,8,-,8,4,2,-,5,2,-,7,5,4,-,-,-
"S00158842",50,2,-,3,-,-,5,6,4,2,-,3,1,7,2,4,3,10,1,2,-,-
"S00158843",44,-,-,2,-,-,1,1,2,10,4,-,-,3,1,2,6,7,1,2,-,-
"S00158844",98,-,-,1,-,-,-,15,-,10,14,2,-,4,3,5,17,12,7,10,-,-
"S00158845",41,-,-,3,-,-,1,4,-,8,1,2,-,-,9,5,2,1,6,-,-,-
"S00158846",38,-,1,-,1,-,2,12,1,-,3,2,-,3,-,4,3,6,3,3,-,-
"S00158847",67,-,1,7,-,-,9,10,2,3,1,3,-,1,6,11,1,9,1,-,1,-
"S00158848",42,-,-,3,-,1,9,5,5,2,-,1,1,-,1,5,1,7,-,-,1,-
"S00158849",27,-,-,1,-,-,-,6,1,5,-,4,-,-,-,2,-,5,1,2,-,-
"S00158850",19,-,-,1,-,-,-,3,-,2,1,-,-,-,1,2,4,-,1,-,-,-
"S00158851",17,-,-,-,-,-,2,-,-,1,-,-,-,-,3,-,4,4,-,-,-,-
"S00158852",50,-,-,5,-,-,-,6,-,11,2,5,2,7,2,1,4,4,2,1,-,-
"S00158853",56,-,-,3,-,1,1,11,5,4,2,1,-,1,5,5,5,6,2,3,-,-
"S00158854",36,-,-,6,-,1,4,8,1,3,3,2,-,-,-,1,-,4,2,-,-,-
"S00158855",28,-,1,1,-,-,2,3,-,1,1,-,-,-,1,6,6,2,-,1,-,-
"S00158856",45,-,-,3,-,1,2,5,5,3,2,3,1,-,4,3,4,4,1,3,-,-
"S00158857",89,-,1,4,3,-,2,12,4,5,5,4,1,8,2,6,17,12,2,1,-,-
"S00158858",100,-,-,3,-,-,1,16,4,26,7,5,-,7,7,5,5,11,-,6,-,-
"S00158859",38,-,-,-,1,-,1,5,-,7,4,3,-,8,1,5,1,-,3,3,-,-
"S00158860",37,-,-,4,-,-,1,-,-,7,1,4,-,5,1,3,4,5,1,1,-,-
"S00158861",38,-,-,4,-,-,4,8,5,2,1,3,-,1,5,4,-,2,1,1,-,-
"S00158862",53,-,-,1,-,-,-,6,1,8,6,7,-,6,-,3,6,5,4,3,-,-
"S00158863",101,-,-,4,-,-,2,7,1,10,7,14,-,10,1,5,13,20,5,4,-,-
"S00158864",108,-,1,4,-,-,6,8,2,24,5,4,-,2,4,7,16,10,5,6,-,-
"S00158865",51,-,-,3,-,1,10,9,4,-,2,1,-,1,-,4,2,9,1,1,-,-
"S00158866",88,-,-,6,-,-,-,6,4,13,9,2,-,11,2,5,11,13,3,6,-,-
"S00158867",39,-,-,1,-,1,2,-,-,1,-,1,1,1,2,8,7,8,2,2,-,-
"S00158868",46,-,-,3,-,-,1,3,2,9,2,2,-,5,-,3,3,8,2,-,-,-
"S00158869",55,-,-,1,-,-,4,6,4,6,1,4,-,4,5,5,3,11,3,-,-,-
"S00158870",45,-,-,3,-,-,3,4,3,4,2,1,-,4,3,8,3,5,2,2,-,-
"S00158871",61,-,-,1,-,-,2,7,2,7,3,7,-,6,2,1,6,8,1,6,-,-
"S00158872",54,-,-,4,1,-,7,9,2,3,4,1,1,3,1,3,3,11,1,-,-,-
"S00158873",50,-,-,4,-,-,3,-,4,7,1,4,-,10,-,6,4,6,-,1,-,-
"S00158874",32,-,-,-,-,-,3,2,2,4,-,2,-,1,5,5,5,3,2,2,-,-
"S00158875",69,-,-,1,-,-,3,5,1,10,12,11,-,5,4,2,4,8,-,2,-,-
"S00158876",41,-,-,-,-,1,1,6,-,7,5,6,-,3,5,1,-,8,-,1,-,-
"S00158877",53,-,-,1,-,1,2,7,3,6,3,2,-,3,3,1,2,12,-,-,-,-
"S00158878",53,-,-,2,-,-,3,5,5,8,1,2,-,2,4,2,5,8,1,1,-,-
"S00158879",58,-,-,7,-,-,-,1,1,5,4,7,1,4,4,2,7,8,4,5,-,-
"S00158880",51,-,-,8,-,1,2,8,-,6,2,-,-,2,6,2,1,4,-,8,-,-
"S00158881",64,-,-,3,1,-,2,2,1,8,9,2,4,14,1,2,4,6,3,-,-,-
"S00158882",87,-,-,19,1,2,8,9,8,4,2,4,-,1,10,5,2,9,-,3,-,-
"S00158883",55,-,-,2,-,-,2,8,-,5,8,10,-,5,2,6,1,7,1,2,-,-
"S00158884",65,-,1,3,-,2,1,4,4,22,5,2,-,5,2,5,4,3,1,4,-,-
"S00158885",78,-,2,6,-,-,-,7,4,15,10,9,-,7,3,3,2,5,3,-,1,-
"S00158886",36,-,-,2,-,-,-,5,1,2,-,-,2,2,-,7,1,10,-,1,-,-
"S00158887",47,-,1,-,-,3,5,4,4,1,-,1,2,2,7,4,3,6,3,1,-,-
"S00158888",45,1,-,6,1,-,5,7,2,4,-,-,-,2,5,3,-,5,4,1,-,-
"S00158889",28,-,-,2,-,-,4,1,-,6,2,2,1,5,4,-,3,-,-,-,-,-
"S00158890",41,-,-,2,-,1,2,1,5,8,1,4,-,-,4,2,1,4,2,-,-,-
"S00158891",32,-,-,-,-,-,2,3,1,4,7,1,-,-,4,-,4,3,1,-,-,-
"S00158892",116,-,2,1,-,2,4,24,3,31,6,5,-,6,6,3,5,14,2,6,-,-
"S00158893",73,-,-,5,-,-,1,6,2,16,6,6,1,7,-,6,9,11,5,-,-,-
"S00158894",31,-,-,2,-,-,1,3,2,6,2,-,3,-,2,3,3,6,-,-,-,-
"S00158895",51,-,-,6,-,-,4,4,3,3,2,4,-,3,-,8,3,7,1,1,-,-
"S00158896",27,-,-,3,-,-,2,5,2,2,1,-,1,-,2,-,-,9,-,-,-,-
"S00158897",47,-,-,1,-,3,2,6,1,3,5,6,-,5,2,1,3,2,2,4,-,-
"S00158898",48,-,-,3,-,1,4,7,4,4,1,2,1,4,6,2,4,6,-,2,-,-
"S00158899",92,-,-,4,2,-,3,9,4,17,4,-,-,8,5,6,12,10,2,4,-,-
"S00158900",27,-,-,4,-,-,6,2,1,4,1,1,2,-,2,2,-,2,3,-,-,-
"S00158901",25,-,-,2,-,1,1,8,-,1,-,-,-,-,1,1,5,1,1,1,-,-
"S00158902",54,-,-,4,-,-,2,5,9,12,2,-,-,3,5,4,5,4,-,-,-,-
"S00158903",77,-,-,7,7,-,2,9,-,2,6,5,2,4,-,3,8,10,5,3,-,-
"S00158904",66,1,-,6,-,3,6,10,6,6,2,-,2,1,7,3,3,6,3,1,1,-
"S00158905",50,-,-,2,-,-,4,3,3,12,-,2,1,-,2,13,-,9,1,-,-,-
"S00158906",99,-,-,5,2,-,-,21,-,30,6,5,-,4,10,1,6,9,6,-,-,-
"S00158907",52,-,-,2,-,-,3,4,4,3,1,1,1,4,4,8,-,10,1,-,-,-
"S00158908",32,-,-,1,-,-,3,6,-,4,1,-,-,2,3,-,3,5,1,4,1,-
"S00158909",41,-,-,4,-,-,-,6,-,4,1,2,1,2,7,1,1,9,1,-,-,-
"S00158910",29,-,-,-,-,-,-,10,-,7,-,2,-,-,-,1,-,6,-,-,-,-
"S00158911",52,-,-,3,-,-,3,5,-,8,6,2,2,5,2,4,-,8,1,3,-,-
"S00158912",15,-,-,-,-,-,2,1,2,2,-,-,-,1,1,1,-,4,-,-,2,-
"S00158913",80,-,-,1,-,-,3,6,5,11,5,6,-,11,6,7,6,7,5,1,-,-
"S00158914",67,-,-,2,-,-,1,12,2,16,3,3,1,5,3,3,4,11,4,1,-,-
"S00158915",33,-,-,-,-,-,3,2,5,3,1,2,2,-,5,3,-,2,-,-,1,-
"S00158916",49,-,-,6,-,1,4,1,3,2,-,3,-,2,1,4,2,12,1,3,-,-
"S00158917",46,-,-,2,-,-,2,1,2,5,1,-,-,6,3,4,5,9,4,2,-,-
"S00158918",24,-,-,-,-,-,-,6,1,2,1,3,-,3,-,1,1,3,-,-,-,-
"S00158919",62,-,-,6,1,-,-,4,2,7,6,2,-,6,3,5,3,9,4,5,-,-
"S00158920",28,-,-,-,-,-,-,10,1,7,1,-,-,-,4,5,-,1,1,3,-,-
"S00158921",66,-,1,5,1,3,6,7,2,4,2,11,2,4,3,7,6,3,3,4,-,-
"S00158922",68,-,-,10,-,-,10,9,7,7,4,-,-,2,7,2,1,6,3,5,-,-
"S00158923",69,-,-,4,-,-,1,3,9,10,1,4,3,10,7,8,1,10,1,2,-,-
"S00158924",36,1,-,2,-,-,-,2,5,2,-,3,-,-,3,4,2,11,1,-,-,1
"S00158925",19,-,-,1,-,-,2,4,-,4,-,-,-,-,-,2,3,2,-,-,-,-
"S00158926",42,-,-,1,-,-,3,2,2,13,1,2,-,8,2,-,2,2,1,2,-,-
"S00158927",41,-,-,6,-,-,2,5,2,7,4,2,-,1,3,1,3,8,-,1,-,-
"S00158928",31,-,-,4,-,-,2,5,3,3,-,2,-,-,2,6,-,1,2,-,-,-
"S00158929",28,-,-,5,-,-,2,7,1,4,1,4,-,-,-,3,2,4,-,2,-,-
"S00158930",48,-,-,5,-,-,2,5,4,8,1,2,-,4,10,2,1,3,-,2,-,-
"S00158931",41,-,-,5,-,1,4,4,3,2,1,4,-,1,4,3,-,3,1,1,-,-
"S00158932",172,3,2,5,-,-,-,26,-,68,7,5,-,9,4,2,15,12,8,4,-,-
"S00158933",65,-,-,7,-,-,4,6,2,14,8,5,1,7,3,-,4,5,-,4,-,-
"S00158934",39,1,-,1,-,-,-,7,1,6,2,-,-,-,-,4,3,10,-,-,-,-
"S00158935",57,-,-,6,1,-,4,4,2,11,2,4,-,4,4,-,3,9,-,2,-,-
