Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00161098",88,7,-,2,9,77,77,-,-,-
"S00161099",104,10,-,2,8,94,91,-,3,-
"S00161100",140,140,-,20,117,-,-,-,-,-
"S00161101",125,95,-,18,81,30,30,-,-,-
"S00161102",78,-,-,-,-,78,77,-,1,-
"S00161103",217,214,112,88,14,3,2,-,1,-
"S00161104",104,104,23,43,38,-,-,-,-,-
"S00161105",103,97,85,7,4,5,5,-,-,-
"S00161106",152,147,31,116,-,5,5,-,-,-
"S00161107",78,4,-,-,4,74,74,-,-,-
"S00161108",138,12,-,6,6,121,119,4,-,5
"S00161109",129,4,4,-,-,125,117,8,-,-
"S00161110",124,84,15,34,40,42,42,-,-,-
"S00161111",92,19,-,5,14,69,69,-,-,-
"S00161112",91,3,-,-,3,88,88,-,-,-
"S00161113",119,-,-,-,-,118,116,1,-,-
"S00161114",101,-,-,-,-,101,101,-,-,-
"S00161115",109,4,-,-,4,104,104,-,-,-
"S00161116",116,32,4,21,7,85,85,-,-,-
"S00161117",104,102,-,24,78,2,-,2,-,-
"S00161118",73,3,-,1,2,70,70,-,-,-
"S00161119",116,-,-,-,-,116,112,-,4,-
"S00161120",76,-,-,-,-,76,76,-,-,-
"S00161121",101,-,-,-,-,101,101,-,-,-
"S00161122",145,51,7,3,40,95,90,5,-,-
"S00161123",69,-,-,-,-,70,66,2,-,-
"S00161124",109,15,-,3,10,94,94,-,-,-
"S00161125",120,20,8,8,3,103,103,-,-,-
"S00161126",161,5,-,-,5,158,153,-,5,-
"S00161127",82,11,-,7,1,70,70,-,-,1
"S00161128",103,101,3,23,77,2,2,-,-,-
"S00161129",87,77,6,23,48,10,10,-,-,-
"S00161130",86,86,8,33,45,-,-,-,-,-
"S00161131",120,112,-,13,102,10,10,-,-,-
"S00161132",91,23,8,13,2,68,65,3,-,-
"S00161133",84,3,2,-,1,85,85,-,-,-
"S00161134",116,9,-,-,9,106,106,-,-,-
"S00161135",79,-,-,-,-,79,78,4,-,-
"S00161136",154,3,-,2,1,150,150,-,-,-
"S00161137",99,63,1,49,6,40,40,-,-,-
"S00161138",89,-,-,-,-,89,89,-,-,-
"S00161139",136,53,4,12,37,82,82,-,-,1
"S00161140",114,-,-,-,-,114,105,8,-,-
"S00161141",126,17,-,8,6,109,109,-,-,-
"S00161142",125,96,-,12,87,25,11,14,-,-
"S00161143",103,15,-,-,15,90,90,-,-,-
"S00161144",115,70,-,40,26,49,49,-,-,-
"S00161145",107,52,43,12,-,52,32,19,-,-
"S00161146",92,4,2,-,2,88,88,-,-,-
"S00161147",89,4,-,4,-,87,74,11,-,-
"S00161148",113,107,4,50,54,6,6,-,-,-
"S00161149",113,6,-,-,4,108,108,-,-,-
"S00161150",69,1,-,1,-,68,68,-,-,-
"S00161151",105,14,6,3,7,91,91,-,-,-
"S00161152",91,2,-,-,2,91,91,-,-,-
"S00161153",87,1,-,-,1,86,86,-,-,-
"S00161154",83,10,-,9,2,72,72,-,-,-
"S00161155",142,142,68,66,4,-,-,-,-,-
"S00161156",232,228,211,13,4,4,4,-,-,-
"S00161157",112,101,3,22,77,11,11,-,-,-
"S00161158",74,-,-,-,-,74,73,1,-,-
"S00161159",132,71,4,46,18,61,59,2,-,-
"S00161160",91,1,-,-,1,89,89,-,-,1
"S00161161",74,-,-,-,-,74,74,-,-,-
"S00161162",79,37,4,14,17,47,47,-,-,-
"S00161163",76,-,-,-,-,76,78,1,-,-
"S00161164",68,2,2,-,-,66,66,-,-,-
"S00161165",174,81,14,3,64,93,83,10,-,-
"S00161166",109,3,-,2,1,104,104,-,-,-
"S00161167",61,3,-,-,1,58,58,-,-,-
"S00161168",82,3,-,2,-,82,82,-,-,-
"S00161169",107,16,-,12,2,93,93,-,-,-
"S00161170",118,-,-,-,-,118,118,-,-,-
"S00161171",65,1,-,-,1,64,64,-,-,-
"S00161172",151,145,141,4,-,5,5,-,-,-
"S00161173",86,-,-,-,-,86,86,-,-,-
"S00161174",248,215,5,80,130,33,26,6,-,-
"S00161175",121,75,4,67,5,46,46,-,-,-
"S00161176",102,87,4,37,46,12,11,1,-,-
"S00161177",113,16,3,13,-,101,94,7,-,-
"S00161178",192,177,12,62,103,15,15,-,-,-
"S00161179",144,7,-,-,7,137,137,-,-,-
"S00161180",110,5,-,-,5,105,105,-,-,-
"S00161181",73,3,-,-,3,70,68,2,-,-
"S00161182",85,24,-,4,17,61,59,2,-,-
"S00161183",134,19,-,9,10,115,102,13,-,-
"S00161184",78,6,-,3,4,70,66,-,2,-
"S00161185",120,8,-,8,4,110,110,-,-,-
"S00161186",122,14,4,9,1,108,108,-,-,-
"S00161187",111,4,2,-,4,107,99,6,4,-
"S00161188",213,60,3,15,38,149,149,-,-,-
"S00161189",138,-,-,-,-,138,138,-,-,-
"S00161190",106,2,-,-,2,106,106,-,-,-
"S00161191",85,10,4,4,3,75,75,-,-,-
"S00161192",145,74,-,3,71,71,51,20,-,-
"S00161193",114,6,5,-,3,102,96,2,-,-
"S00161194",129,2,-,-,2,127,125,2,-,-
"S00161195",115,-,-,-,-,115,114,1,-,-
"S00161196",92,3,-,3,-,89,89,-,-,-
"S00161197",170,6,6,-,-,168,164,-,2,-
"S00161198",84,-,-,-,-,84,84,-,-,-
"S00161199",79,11,-,-,11,64,64,-,-,-
"S00161200",71,4,-,-,4,68,68,-,-,-
"S00161201",98,5,5,-,-,93,93,-,-,-
"S00161202",100,7,-,-,7,95,95,-,-,-
"S00161203",79,1,1,-,-,76,76,-,-,-
"S00161204",76,27,-,2,22,49,49,-,-,-
"S00161205",157,13,5,1,7,144,144,-,-,-
"S00161206",77,62,2,36,24,15,15,-,-,-
"S00161207",137,2,-,-,2,133,133,-,-,-
"S00161208",154,80,2,2,77,74,68,2,-,-
"S00161209",117,-,-,-,-,114,114,-,-,-
"S00161210",97,24,-,-,24,73,71,-,3,-
"S00161211",90,7,-,-,7,83,81,2,-,-
"S00161212",99,-,-,-,-,99,98,2,-,-
"S00161213",89,3,-,-,3,86,85,1,-,-
"S00161214",109,3,-,3,-,106,106,-,-,-
"S00161215",67,-,-,-,-,67,67,-,-,-
"S00161216",126,41,-,1,42,83,80,1,-,-
"S00161217",154,43,-,-,43,114,85,29,-,-
"S00161218",195,193,77,100,16,3,3,-,-,-
"S00161219",83,-,-,-,-,83,83,-,-,-
"S00161220",80,-,-,-,-,79,79,-,-,-
"S00161221",76,17,2,-,15,59,53,1,-,-
"S00161222",90,6,-,-,6,83,81,4,-,-
"S00161223",84,3,2,3,-,79,79,-,-,-
"S00161224",116,108,47,58,3,3,3,-,-,-
"S00161225",177,175,102,59,6,2,2,-,-,-
"S00161226",132,129,53,64,12,2,-,2,-,-
"S00161227",85,2,1,-,1,83,83,-,-,-
"S00161228",114,22,-,-,22,95,95,-,-,-
"S00161229",136,34,-,5,27,102,91,11,-,-
"S00161230",107,-,-,-,-,107,107,-,-,-
"S00161231",70,-,-,-,-,70,70,-,-,-
"S00161232",104,11,-,10,4,90,86,4,-,-
"S00161233",99,2,-,1,1,97,94,2,2,-
"S00161234",97,3,4,1,-,92,92,-,-,-
"S00161235",118,114,67,46,1,4,4,-,-,-
"S00161236",63,2,-,2,-,61,61,-,-,-
"S00161237",92,9,-,9,-,83,83,-,-,-
"S00161238",145,50,-,15,33,95,75,23,-,-
"S00161239",112,-,-,-,-,112,112,-,-,-
"S00161240",119,-,-,-,-,119,116,-,3,-
"S00161241",125,81,-,34,47,44,43,-,-,-
"S00161242",99,4,-,4,-,95,91,3,1,-
"S00161243",100,1,-,1,-,99,99,-,-,-
"S00161244",106,87,2,4,81,19,14,4,3,-
"S00161245",70,-,-,-,-,70,70,-,-,-
"S00161246",61,-,-,-,-,61,59,-,4,-
"S00161247",118,8,8,-,-,113,113,-,-,-
"S00161248",103,2,-,2,-,98,94,-,4,-
"S00161249",94,-,-,-,-,94,94,-,-,-
"S00161250",80,25,-,4,19,55,55,-,-,-
"S00161251",113,110,-,64,46,3,3,-,-,-
"S00161252",68,-,-,-,-,68,63,2,1,-
"S00161253",90,74,-,5,69,16,13,4,-,-
"S00161254",122,40,7,26,3,82,75,7,-,-
"S00161255",150,6,1,-,5,145,145,-,-,-
"S00161256",132,33,14,12,4,97,97,-,-,-
"S00161257",108,107,34,71,2,1,1,-,-,-
"S00161258",73,-,-,-,-,73,72,2,-,-
"S00161259",194,98,-,3,92,99,99,-,-,-
"S00161260",90,2,-,-,2,88,88,-,-,-
"S00161261",69,-,-,-,-,69,69,-,-,-
"S00161262",86,28,1,17,10,58,58,-,-,-
"S00161263",153,73,31,26,16,79,44,36,-,-
"S00161264",97,25,2,14,6,72,72,-,-,-
"S00161265",118,87,50,32,4,31,31,-,-,-
"S00161266",135,8,4,5,-,127,127,-,-,-
"S00161267",69,25,3,20,1,40,42,2,-,-
"S00161268",85,4,-,3,-,80,80,-,-,-
"S00161269",107,7,-,7,-,100,100,-,-,-
"S00161270",106,3,-,-,3,103,103,-,-,-
"S00161271",173,12,-,6,6,158,158,-,-,-
"S00161272",109,59,-,10,49,50,48,2,-,-
"S00161273",142,27,1,3,28,115,115,-,-,-
"S00161274",78,-,-,-,-,78,78,-,-,-
"S00161275",113,30,-,9,14,86,86,-,-,-
"S00161276",99,17,2,9,3,82,82,-,-,-
"S00161277",147,7,6,-,1,140,140,-,-,-
"S00161278",129,33,2,8,29,93,92,1,-,-
"S00161279",96,2,-,-,2,94,94,-,-,-
"S00161280",96,5,-,2,3,91,91,-,-,-
"S00161281",78,26,10,20,1,52,52,-,-,-
"S00161282",76,6,-,1,5,70,68,4,-,-
"S00161283",110,53,25,7,21,55,56,2,-,-
"S00161284",82,15,-,-,15,67,54,13,-,-
"S00161285",127,125,7,42,76,2,2,-,-,-
"S00161286",77,1,-,-,1,77,77,-,-,-
"S00161287",88,-,-,-,-,88,88,-,-,-
"S00161288",81,-,-,-,-,81,78,3,-,-
"S00161289",132,15,-,-,15,120,120,-,-,-
"S00161290",105,-,-,-,-,105,105,-,-,-
"S00161291",125,39,6,1,32,87,87,-,-,-
"S00161292",100,19,9,4,9,80,80,-,-,2
"S00161293",79,36,11,14,11,43,43,-,-,-
"S00161294",140,19,-,11,8,121,115,4,-,-
"S00161295",154,90,-,59,27,64,62,-,2,-
"S00161296",134,6,4,3,-,127,127,-,-,-
"S00161297",123,6,-,2,4,117,117,-,-,-
"S00161298",108,-,-,-,-,108,104,3,2,-
"S00161299",219,12,-,6,7,211,211,-,-,-
"S00161300",148,18,-,17,1,130,130,-,-,-
"S00161301",81,12,1,8,1,69,69,-,-,-
"S00161302",69,65,35,30,-,4,4,-,-,-
"S00161303",81,-,-,-,-,81,81,-,-,-
"S00161304",99,18,-,14,7,81,74,7,-,-
"S00161305",88,-,-,-,-,88,88,-,4,-
"S00161306",76,6,-,6,-,70,70,-,-,-
"S00161307",75,4,-,-,4,75,75,-,-,-
"S00161308",101,24,-,17,7,74,74,-,-,-
"S00161309",155,4,-,-,4,151,150,2,-,-
"S00161310",76,3,-,-,3,73,73,-,-,-
"S00161311",87,22,7,10,7,65,63,2,-,-
"S00161312",92,2,-,-,2,90,90,-,-,-
"S00161313",96,17,-,-,19,76,76,-,-,-
"S00161314",67,12,4,-,9,56,32,20,-,-
"S00161315",184,127,13,89,22,59,44,12,1,-
"S00161316",186,119,13,93,9,70,69,-,-,-
"S00161317",93,-,-,-,-,93,93,-,-,-
"S00161318",114,12,2,-,9,103,103,-,-,-
"S00161319",121,-,-,-,-,121,121,-,-,-
"S00161320",89,-,-,-,-,89,89,-,-,-
"S00161321",63,-,-,-,-,63,63,-,-,-
"S00161322",87,5,-,5,-,82,82,-,-,-
"S00161323",116,23,-,10,13,89,88,-,-,-
"S00161324",114,21,1,14,5,93,93,-,-,-
"S00161325",107,20,6,9,8,84,86,1,-,-
"S00161326",121,1,-,-,1,123,123,-,-,-
"S00161327",87,20,2,9,10,67,64,3,-,-
"S00161328",125,-,-,-,-,125,124,-,1,-
"S00161329",77,30,-,23,7,50,50,-,-,-
"S00161330",159,150,-,69,81,9,9,-,-,-
"S00161331",137,1,-,-,1,136,136,-,-,-
"S00161332",116,4,-,4,-,115,115,-,-,-
"S00161333",75,-,-,-,-,75,75,-,-,-
"S00161334",102,101,35,70,-,1,1,-,-,-
"S00161335",75,1,-,1,-,74,74,-,-,-
"S00161336",161,144,-,75,73,13,13,-,-,-
"S00161337",89,4,-,-,4,87,87,-,-,-
"S00161338",85,21,17,1,-,64,44,20,-,-
"S00161339",64,-,-,-,-,64,64,-,-,-
"S00161340",74,-,-,-,-,69,66,-,6,2
"S00161341",66,-,-,-,-,66,66,-,-,-
"S00161342",132,7,3,4,-,125,123,2,-,-
"S00161343",90,12,-,3,9,79,79,-,-,-
"S00161344",108,-,-,-,-,108,108,-,-,-
"S00161345",97,74,8,52,14,19,19,-,-,-
"S00161346",74,-,-,-,-,74,74,-,-,-
"S00161347",208,202,110,67,25,6,6,-,-,-
"S00161348",93,1,-,-,1,92,90,-,-,-
"S00161349",109,5,-,-,5,104,104,-,-,-
"S00161350",72,3,-,-,3,69,69,-,-,-
"S00161351",70,1,-,-,1,67,63,-,4,-
"S00161352",126,25,12,2,13,101,101,-,-,-
"S00161353",98,-,-,-,-,98,95,4,-,-
"S00161354",65,4,2,-,1,61,61,-,-,-
"S00161355",72,12,-,10,2,60,60,-,-,-
"S00161356",179,20,1,10,7,161,158,-,-,-
"S00161357",162,88,6,61,21,74,74,3,-,-
"S00161358",78,-,-,-,-,78,78,-,-,-
"S00161359",78,-,-,-,-,78,78,-,-,-
"S00161360",70,6,2,6,-,68,68,-,-,-
"S00161361",113,5,1,-,4,108,108,-,-,-
"S00161362",142,120,5,74,41,24,24,-,-,-
"S00161363",155,92,-,22,70,65,65,-,-,-
"S00161364",140,-,-,-,-,139,139,-,-,-
"S00161365",157,121,44,25,52,33,33,-,-,-
"S00161366",64,2,-,2,-,62,62,-,-,-
"S00161367",74,-,-,-,-,74,74,-,-,-
"S00161368",107,7,-,3,4,100,100,-,-,-
"S00161369",145,139,-,137,2,6,6,-,-,-
"S00161370",63,-,-,-,-,63,63,-,-,-
"S00161371",162,69,-,26,43,93,93,-,-,-
"S00161372",119,112,21,86,8,7,-,-,3,-
"S00161373",101,-,-,-,-,101,101,-,-,-
"S00161374",103,92,9,37,46,11,9,1,-,-
"S00161375",100,31,-,4,27,65,34,35,-,-
"S00161376",127,17,-,-,17,106,106,-,-,-
"S00161377",120,19,2,17,4,98,98,-,-,-
"S00161378",96,-,-,-,-,96,95,2,-,-
"S00161379",118,1,-,1,-,115,115,-,-,-
"S00161380",61,22,-,5,17,37,37,-,-,2
"S00161381",154,41,3,22,16,113,113,-,-,-
"S00161382",93,89,-,5,81,7,7,-,-,-
"S00161383",138,131,1,16,114,3,3,-,-,-
"S00161384",90,3,-,-,3,91,91,-,-,-
"S00161385",140,2,-,-,2,138,138,-,-,2
"S00161386",66,-,-,-,-,66,66,-,-,-
"S00161387",168,137,-,42,94,31,31,-,-,-
"S00161388",75,-,-,-,-,75,75,-,-,-
"S00161389",145,2,-,-,2,138,138,-,-,1
"S00161390",70,8,-,8,-,62,56,6,-,-
"S00161391",149,144,3,17,124,5,3,1,-,-
"S00161392",105,38,9,6,25,67,58,9,-,-
"S00161393",79,79,-,74,4,5,5,-,-,-
"S00161394",149,115,58,58,6,28,1,29,-,-
"S00161395",68,-,-,-,-,68,68,-,-,-
"S00161396",108,64,8,43,13,44,38,6,-,-
"S00161397",96,15,5,9,2,80,70,7,-,-
"S00161398",81,-,-,-,-,81,76,1,3,-
"S00161399",64,57,2,6,49,4,4,-,-,-
"S00161400",158,84,11,18,57,74,60,14,-,-
"S00161401",83,7,1,-,4,76,79,2,-,-
"S00161402",137,70,-,30,40,67,61,6,-,-
"S00161403",79,5,-,-,5,75,75,-,-,-
"S00161404",159,149,-,69,84,3,3,1,-,-
"S00161405",68,-,-,-,-,68,68,-,-,-
"S00161406",205,199,83,96,24,10,10,-,-,-
"S00161407",169,111,53,30,28,58,58,-,-,-
"S00161408",142,52,4,14,35,91,91,-,-,-
"S00161409",83,18,1,-,14,66,66,-,-,-
"S00161410",106,16,-,16,-,87,87,-,-,-
"S00161411",214,150,13,47,93,64,64,-,-,-
"S00161412",76,3,-,-,3,70,70,-,-,3
"S00161413",107,68,2,42,24,39,39,-,-,-
"S00161414",123,112,51,22,36,11,11,-,-,-
"S00161415",89,1,-,-,1,85,85,-,-,-
"S00161416",113,111,4,102,5,2,-,1,-,-
"S00161417",90,31,3,21,7,59,48,11,-,-
"S00161418",113,37,-,18,18,79,79,-,-,-
"S00161419",110,75,5,19,55,39,39,-,-,-
"S00161420",167,158,3,5,151,9,9,-,-,-
"S00161421",113,76,5,25,46,37,37,-,-,-
"S00161422",96,4,-,-,4,94,94,-,-,-
"S00161423",76,-,-,-,-,76,76,-,-,-
"S00161424",143,88,48,24,16,52,53,2,-,-
"S00161425",90,25,-,15,10,57,57,-,-,-
"S00161426",122,17,-,13,4,105,105,-,-,-
"S00161427",165,110,-,41,75,56,50,2,-,-
"S00161428",104,104,6,31,63,-,-,-,-,-
"S00161429",112,103,6,42,57,7,7,-,-,-
"S00161430",218,195,86,82,26,24,24,-,-,-
"S00161431",91,2,-,2,-,89,89,-,-,-
"S00161432",113,98,6,52,40,16,16,-,-,-
"S00161433",132,126,4,57,72,2,2,-,-,-
"S00161434",151,143,-,14,130,8,8,-,-,-
"S00161435",85,85,5,1,74,2,2,-,-,-
"S00161436",146,139,4,31,102,10,4,3,-,-
"S00161437",99,-,-,-,-,99,97,-,-,-
"S00161438",69,31,-,12,19,35,35,-,-,-
"S00161439",103,100,-,23,77,3,3,-,-,-
"S00161440",74,75,4,5,68,-,-,-,-,-
"S00161441",107,17,1,3,11,90,90,-,-,-
"S00161442",141,131,-,17,114,7,7,-,-,2
"S00161443",95,14,-,10,4,84,84,-,-,-
"S00161444",239,228,169,41,18,8,8,-,-,-
"S00161445",128,114,13,91,7,14,14,-,-,-
"S00161446",96,2,-,2,-,91,91,-,-,-
"S00161447",107,104,-,58,47,4,4,-,-,-
"S00161448",72,2,-,2,-,70,70,-,-,-
"S00161449",83,68,1,60,4,18,18,-,-,-
"S00161450",108,4,-,-,2,103,103,-,-,-
"S00161451",116,88,7,80,4,26,26,-,-,1
"S00161452",130,126,5,41,82,4,4,-,-,-
"S00161453",105,-,-,-,-,105,103,-,-,-
"S00161454",131,80,-,58,25,54,48,3,-,-
"S00161455",164,42,3,22,17,122,118,4,-,-
"S00161456",98,79,2,66,11,19,19,-,-,-
"S00161457",121,117,14,72,31,4,-,4,-,-
"S00161458",124,11,4,3,4,113,94,18,1,-
"S00161459",171,166,-,23,143,5,5,-,-,-
"S00161460",83,22,-,8,12,63,63,-,-,-
"S00161461",104,24,-,9,15,80,80,-,-,-
"S00161462",72,1,-,1,-,71,71,-,-,-
"S00161463",139,63,-,21,45,73,71,-,4,-
"S00161464",108,76,2,17,57,32,32,-,-,-
"S00161465",171,122,5,66,53,49,49,-,-,-
"S00161466",75,1,1,-,-,74,74,-,-,-
"S00161467",126,63,1,18,44,65,65,-,-,-
"S00161468",61,-,-,-,-,61,59,-,-,-
"S00161469",80,-,-,-,-,80,80,-,-,-
"S00161470",151,110,33,72,5,41,36,9,-,-
"S00161471",99,96,7,-,88,3,3,-,-,-
"S00161472",107,83,4,11,68,20,20,-,-,-
"S00161473",111,106,-,9,97,5,-,5,-,-
"S00161474",99,93,23,54,16,5,5,-,-,-
"S00161475",151,126,-,14,112,28,28,-,-,-
"S00161476",102,3,-,2,1,99,99,-,-,-
"S00161477",111,7,1,2,6,102,101,1,-,-
"S00161478",77,4,-,-,4,65,65,-,-,4
"S00161479",77,28,-,12,16,49,41,7,-,-
"S00161480",148,145,-,19,125,4,4,-,-,-
"S00161481",82,51,-,2,51,31,31,-,-,-
"S00161482",115,97,7,80,10,18,18,-,-,-
"S00161483",114,107,2,95,8,7,7,-,-,-
"S00161484",118,98,10,83,5,17,7,8,-,-
"S00161485",115,110,5,42,62,5,5,-,-,-
"S00161486",162,4,-,-,4,158,158,-,-,-
"S00161487",163,23,6,7,10,140,141,2,-,-
"S00161488",150,136,2,79,55,14,14,-,-,-
"S00161489",144,129,-,98,31,15,12,4,-,-
"S00161490",119,48,-,39,9,68,68,-,-,-
"S00161491",111,78,-,27,51,36,32,2,-,-
"S00161492",168,162,2,121,39,6,6,-,-,-
"S00161493",124,106,51,26,29,14,14,-,-,-
"S00161494",185,172,23,117,28,13,12,4,-,-
"S00161495",112,2,-,-,2,110,110,-,-,-
"S00161496",86,5,4,-,-,81,79,2,-,-
"S00161497",66,-,-,-,-,66,64,2,-,-
"S00161498",141,130,8,96,22,11,7,-,2,-
"S00161499",79,11,-,5,3,68,68,-,-,-
"S00161500",76,69,2,66,4,4,4,-,-,-
"S00161501",104,88,-,21,67,16,16,-,-,-
"S00161502",74,4,-,4,-,70,70,-,-,-
"S00161503",190,179,-,123,56,11,7,4,-,-
"S00161504",71,-,-,-,-,71,70,-,1,-
"S00161505",93,3,-,-,3,90,89,2,-,-
"S00161506",82,1,-,1,-,84,84,-,-,-
"S00161507",170,168,-,12,155,-,-,-,-,-
"S00161508",179,172,20,143,6,10,10,-,-,-
"S00161509",88,66,3,38,28,22,22,-,-,-
"S00161510",131,33,3,31,2,97,93,1,-,-
"S00161511",107,65,9,38,15,42,42,-,-,-
"S00161512",158,148,65,42,41,10,7,3,-,-
"S00161513",83,69,6,32,31,14,14,-,-,-
"S00161514",171,160,1,87,72,11,9,2,-,-
"S00161515",185,172,138,29,4,12,11,5,-,-
"S00161516",125,113,21,89,3,12,12,-,-,-
"S00161517",162,148,148,-,-,18,18,-,-,-
"S00161518",102,1,-,-,1,100,100,-,-,-
"S00161519",67,6,6,-,-,61,59,-,2,-
"S00161520",129,89,7,6,73,42,42,-,-,-
"S00161521",141,13,5,3,7,132,132,-,-,-
"S00161522",105,73,9,8,56,32,32,-,-,-
"S00161523",70,-,-,-,-,69,69,-,-,-
"S00161524",114,9,4,3,4,105,100,5,-,-
"S00161525",96,20,-,15,5,76,76,-,-,-
"S00161526",127,121,5,85,31,9,9,-,-,-
"S00161527",163,115,1,67,45,50,50,-,-,-
"S00161528",113,30,4,21,4,83,78,5,-,-
"S00161529",97,85,12,65,8,12,12,-,-,-
"S00161530",127,5,-,-,5,122,119,-,2,-
"S00161531",145,121,55,62,4,20,4,14,-,-
"S00161532",151,98,64,28,6,53,37,16,-,-
"S00161533",71,61,8,7,46,12,12,-,-,-
"S00161534",112,20,-,6,13,89,86,-,3,-
"S00161535",143,106,43,54,9,41,36,1,-,-
"S00161536",120,102,1,69,32,18,18,-,-,-
"S00161537",66,26,8,19,-,42,42,-,-,-
"S00161538",113,112,9,3,100,2,2,-,-,-
"S00161539",112,103,94,9,-,11,6,4,-,-
"S00161540",77,1,-,1,-,76,76,-,-,-
"S00161541",76,10,-,3,7,66,66,-,-,-
"S00161542",141,9,4,2,3,132,132,-,-,-
"S00161543",157,13,3,7,3,143,143,-,-,-
"S00161544",120,84,-,15,69,36,31,5,-,-
"S00161545",116,15,8,6,4,99,99,-,-,-
"S00161546",139,132,31,96,10,6,3,-,-,-
"S00161547",143,115,22,82,11,29,29,-,-,-
"S00161548",160,101,5,14,83,59,58,-,1,-
"S00161549",130,97,11,36,54,31,31,-,-,-
"S00161550",73,57,-,35,22,16,16,-,-,-
"S00161551",91,2,-,2,1,87,87,-,-,-
"S00161552",82,-,-,-,-,82,82,-,-,-
"S00161553",129,19,4,15,-,110,110,-,-,-
"S00161554",109,76,9,17,49,33,33,-,-,-
"S00161555",104,-,-,-,-,104,104,-,-,-
"S00161556",65,8,3,5,-,57,47,8,1,-
"S00161557",159,149,22,10,117,10,10,-,-,-
"S00161558",86,20,-,18,2,66,57,9,-,-
"S00161559",180,135,4,80,50,45,45,-,-,-
"S00161560",134,95,7,23,63,31,31,-,-,4
"S00161561",105,8,-,-,4,99,96,3,-,-
"S00161562",80,-,-,-,-,79,77,-,2,-
"S00161563",248,225,151,69,5,19,18,1,-,-
"S00161564",141,16,10,4,2,125,120,5,-,-
"S00161565",87,28,22,3,3,55,57,2,-,-
"S00161566",96,44,1,7,36,52,52,-,-,-
"S00161567",91,10,3,2,3,81,76,5,-,-
"S00161568",181,165,2,81,86,12,12,-,-,-
"S00161569",64,40,-,28,8,24,24,-,-,-
"S00161570",79,10,-,7,3,69,69,-,-,-
"S00161571",131,17,5,8,4,113,111,2,-,-
"S00161572",86,80,13,40,27,3,3,-,-,-
"S00161573",145,45,-,9,32,100,100,-,-,-
"S00161574",92,74,-,23,51,18,18,-,-,-
"S00161575",136,15,3,11,1,122,121,1,-,-
"S00161576",134,130,88,33,9,4,4,-,-,-
"S00161577",81,6,4,4,-,75,75,-,-,-
"S00161578",146,14,2,6,5,133,128,2,-,-
"S00161579",134,13,-,6,5,121,121,-,-,-
"S00161580",124,17,-,12,2,107,107,-,-,-
"S00161581",73,-,-,-,-,73,73,-,-,-
"S00161582",103,36,4,17,8,66,63,6,-,-
"S00161583",114,108,3,97,8,6,6,-,-,-
"S00161584",144,108,9,82,17,36,36,-,-,-
"S00161585",81,6,3,1,1,71,77,1,-,-
"S00161586",112,2,-,-,2,110,110,-,-,-
"S00161587",74,64,9,54,1,10,10,-,-,-
"S00161588",71,7,3,7,-,59,59,-,-,-
"S00161589",113,92,2,8,80,20,20,-,-,-
"S00161590",189,149,10,80,59,40,40,-,-,-
"S00161591",74,28,8,22,3,38,41,2,-,-
"S00161592",133,4,-,-,4,129,128,1,-,-
"S00161593",157,124,8,110,7,33,33,-,-,-
"S00161594",162,162,2,110,50,-,-,-,-,-
"S00161595",210,177,132,25,17,36,36,-,-,-
"S00161596",192,35,26,5,4,157,149,8,-,-
"S00161597",111,28,4,18,4,83,82,1,-,-
"S00161598",109,70,8,35,28,38,38,-,-,-
"S00161599",100,3,1,3,-,96,96,-,-,-
"S00161600",235,224,109,85,30,11,11,-,-,-
"S00161601",157,144,12,102,30,9,8,1,-,-
"S00161602",121,114,8,102,4,7,7,-,-,-
"S00161603",168,4,-,4,-,162,161,1,-,-
"S00161604",107,29,17,10,-,78,78,-,-,-
"S00161605",131,15,-,10,5,112,112,-,-,-
"S00161606",94,2,-,2,-,92,92,-,-,-
"S00161607",131,23,-,-,23,110,110,-,-,-
"S00161608",200,197,16,163,16,5,5,-,-,-
"S00161609",102,101,14,83,-,3,3,-,-,-
"S00161610",143,56,-,34,29,83,83,-,-,-
"S00161611",95,86,22,61,3,9,7,2,-,-
"S00161612",215,205,17,169,19,10,10,-,-,-
"S00161613",105,98,3,90,5,7,-,7,-,-
"S00161614",136,134,16,84,34,2,2,-,-,-
"S00161615",117,3,1,-,2,114,114,-,-,-
"S00161616",105,55,-,18,37,48,48,-,-,-
"S00161617",134,124,13,41,70,10,3,6,2,-
"S00161618",76,64,3,7,56,9,2,1,3,-
"S00161619",101,94,20,43,31,7,4,3,-,-
"S00161620",183,159,41,89,29,24,12,12,-,-
"S00161621",156,149,65,79,7,7,6,1,-,-
"S00161622",113,104,3,31,70,6,6,-,-,-
"S00161623",137,22,14,8,-,115,114,2,-,-
"S00161624",74,54,10,11,31,20,19,5,-,-
"S00161625",149,93,-,22,71,56,56,-,-,-
"S00161626",125,49,-,9,40,75,74,-,-,2
