Scotland's Census 2022 - National Records of Scotland
Table UV401 - Accommodation type - People
All people in households
,"All people in households","Whole house or bungalow: Total","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure"
"S00135473",128,128,25,90,13,-,-,-,-,-
"S00135474",122,113,3,49,63,9,9,-,-,-
"S00135475",102,102,1,41,58,-,-,-,-,-
"S00135476",108,105,38,66,1,3,-,-,3,-
"S00135477",120,112,64,26,22,6,6,-,-,-
"S00135478",95,17,-,4,17,81,78,3,-,-
"S00135479",125,125,82,43,-,-,-,-,-,-
"S00135480",132,110,30,56,24,20,17,5,-,-
"S00135481",132,128,52,74,-,4,4,-,-,-
"S00135482",83,83,12,63,8,-,-,-,-,-
"S00135483",118,118,17,94,7,-,-,-,-,-
"S00135484",82,82,72,10,-,-,-,-,-,-
"S00135485",163,153,45,105,2,10,10,-,-,-
"S00135486",115,115,106,13,-,-,-,-,-,-
"S00135487",160,155,132,16,7,5,2,3,1,-
"S00135488",118,118,32,49,33,-,-,-,-,-
"S00135489",144,53,7,8,35,91,91,-,-,-
"S00135490",131,131,19,77,33,-,-,-,-,-
"S00135491",130,56,-,13,43,73,73,-,-,-
"S00135492",130,130,50,29,51,-,-,-,-,-
"S00135493",166,124,41,38,41,46,46,-,-,-
"S00135494",98,98,12,83,4,-,-,-,-,-
"S00135495",110,106,11,27,69,4,4,-,-,-
"S00135496",105,105,24,84,1,-,-,-,-,-
"S00135497",236,233,228,-,7,3,3,-,-,-
"S00135498",150,7,-,2,6,143,143,-,-,-
"S00135499",129,125,37,78,10,4,4,-,-,-
"S00135500",120,118,89,17,5,5,5,-,-,-
"S00135501",136,130,60,70,3,6,3,3,-,-
"S00135502",133,10,5,2,3,123,123,-,-,-
"S00135503",86,78,2,78,1,8,8,-,-,-
"S00135504",141,141,35,100,4,3,3,-,-,-
"S00135505",167,131,68,23,40,36,30,3,-,-
"S00135506",90,82,-,8,74,8,8,-,-,-
"S00135507",183,175,164,3,5,11,11,-,-,-
"S00135508",67,27,9,11,7,40,25,15,-,-
"S00135509",125,122,29,32,61,2,2,-,-,-
"S00135510",111,78,20,33,25,32,30,3,-,-
"S00135511",120,84,15,50,19,36,36,1,1,-
"S00135512",120,112,15,63,34,8,8,-,-,-
"S00135513",111,42,13,9,18,71,71,-,-,-
"S00135514",113,66,7,53,9,47,46,5,-,-
"S00135515",167,159,12,144,3,6,6,-,-,-
"S00135516",152,106,22,43,41,44,44,-,-,-
"S00135517",113,45,1,11,33,68,56,12,-,-
"S00135518",83,80,4,61,18,3,3,-,-,-
"S00135519",143,143,80,40,18,-,-,-,-,-
"S00135520",145,95,31,37,27,54,49,2,5,-
"S00135521",118,24,1,20,3,94,93,2,-,-
"S00135522",92,87,31,44,14,5,2,3,-,-
"S00135523",71,67,10,42,15,1,-,1,-,-
"S00135524",111,70,28,39,3,41,37,4,-,-
"S00135525",117,111,80,18,14,6,6,-,-,-
"S00135526",106,77,13,31,36,29,15,16,-,-
"S00135527",72,72,6,26,39,-,-,-,-,-
"S00135528",165,121,5,82,34,46,46,-,-,-
"S00135529",139,134,6,121,4,5,1,4,-,-
"S00135530",87,62,1,56,5,25,25,-,-,-
"S00135531",99,68,21,42,5,31,30,1,-,-
"S00135532",103,88,45,15,27,15,14,2,-,-
"S00135533",131,89,16,44,29,42,39,4,-,-
"S00135534",112,107,38,59,11,5,5,-,-,-
"S00135535",139,137,18,113,6,2,2,-,-,-
"S00135536",191,164,81,54,29,30,30,-,-,-
"S00135537",146,141,23,102,17,5,5,-,-,-
"S00135538",91,91,17,65,12,-,-,-,-,-
"S00135539",84,43,1,25,17,41,41,-,-,-
"S00135540",143,142,5,114,23,-,-,-,-,-
"S00135541",78,70,29,41,-,7,7,-,-,-
"S00135542",182,86,-,27,58,96,96,-,-,-
"S00135543",180,148,65,30,50,32,32,-,-,-
"S00135544",99,47,10,31,8,52,40,12,-,-
