Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00135518",83,19,3,2,-,-,2,5,-,-,-,48,5
"S00135519",143,32,6,10,-,-,-,-,-,-,-,84,11
"S00135520",145,24,2,16,1,-,-,8,-,-,-,87,12
"S00135521",118,9,8,1,1,-,-,8,-,-,-,80,11
"S00135522",92,19,10,4,-,-,-,-,-,-,1,57,1
"S00135523",71,28,2,3,-,-,-,3,-,-,-,30,6
"S00135524",111,33,5,6,-,-,1,3,-,-,4,60,3
"S00135525",117,14,22,6,-,3,-,-,-,-,-,71,-
"S00135526",106,32,3,2,-,-,-,2,-,1,-,64,7
"S00135527",72,12,8,4,-,-,-,-,-,-,-,43,4
"S00135528",165,34,12,7,-,-,-,-,-,-,1,94,20
"S00135529",139,36,8,2,-,-,-,-,-,-,-,78,16
"S00135530",87,22,7,12,-,-,-,-,-,-,-,42,6
"S00135531",99,26,13,-,2,-,-,2,-,-,2,53,5
"S00135532",103,7,-,9,2,2,2,5,-,-,-,71,6
"S00135533",131,23,10,7,-,4,2,-,-,1,-,75,12
"S00135534",112,21,8,3,1,8,-,-,-,-,-,68,3
"S00135535",234,42,13,17,-,7,-,-,-,-,-,129,26
"S00135536",191,10,18,10,3,4,-,3,-,-,1,131,6
"S00135537",146,35,8,9,-,4,-,-,-,-,-,77,10
"S00135538",91,33,5,-,5,-,-,-,-,-,-,36,9
"S00135539",84,15,4,3,-,-,-,-,2,-,-,57,7
"S00135540",143,40,11,7,-,1,-,-,-,1,1,72,12
"S00135541",78,23,5,1,-,-,-,-,-,-,1,38,9
"S00135542",182,9,32,20,-,6,-,-,-,1,-,112,4
"S00135543",180,7,13,22,-,-,-,2,-,-,-,125,7
"S00135544",99,27,12,5,-,-,-,-,-,-,1,52,4
"S00135545",132,22,1,2,1,3,-,3,-,-,-,90,6
"S00135546",88,14,4,6,-,-,-,-,-,-,-,58,4
"S00135547",188,38,16,7,-,-,-,-,-,1,3,110,13
"S00135548",88,21,4,1,-,-,-,10,-,-,-,54,-
"S00135549",64,7,6,-,-,-,-,5,-,-,-,40,4
"S00135550",123,22,13,-,1,-,-,-,-,-,-,82,4
"S00135551",127,20,9,4,-,2,-,8,-,-,-,79,6
"S00135552",133,8,14,5,-,3,-,9,-,-,-,92,5
"S00135553",207,57,6,20,-,-,-,-,1,-,-,116,8
"S00135554",86,18,4,-,-,-,-,-,-,-,-,66,-
"S00135555",166,32,4,9,-,-,-,-,-,-,-,113,6
"S00135556",101,17,1,5,-,-,-,-,-,-,-,75,3
