Scotland's Census 2022 - National Records of Scotland
Table UV205 - Religion
All people

,"All people","Church of Scotland","Roman Catholic","Other Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Pagan","Other religion","No religion","Religion not stated"
"S00164602",91,20,40,3,-,-,-,-,-,-,-,21,7
"S00164603",79,20,29,3,-,-,-,-,-,-,-,21,6
"S00164604",61,11,34,-,-,-,-,-,-,-,-,18,-
"S00164605",78,5,40,6,-,-,-,-,-,2,-,19,2
"S00164606",117,23,61,1,-,-,-,-,2,1,-,23,6
"S00164607",78,12,45,-,-,-,-,-,-,-,-,17,6
"S00164608",113,25,51,4,-,-,-,-,-,1,-,30,8
"S00164609",130,20,59,3,-,-,-,-,-,-,1,35,11
"S00164610",108,19,44,3,-,-,-,-,-,-,-,35,6
"S00164611",85,14,26,3,-,-,-,-,-,2,-,36,6
"S00164612",88,25,32,1,1,-,-,-,-,-,-,29,2
"S00164613",117,26,46,4,-,-,-,-,-,-,-,40,4
"S00164614",93,24,53,3,-,-,-,-,-,-,-,9,2
"S00164615",160,36,49,7,-,1,-,-,1,-,-,53,14
"S00164616",102,20,40,2,-,2,-,-,-,-,-,29,6
"S00164617",121,34,40,1,-,-,-,-,-,-,-,29,17
"S00164618",164,25,57,15,-,-,-,-,-,2,-,62,3
"S00164619",91,22,44,4,-,-,-,-,-,-,-,16,3
"S00164620",78,28,31,1,-,-,-,-,-,-,-,18,-
"S00164621",101,16,53,5,-,-,-,-,-,-,-,21,8
"S00164622",83,13,43,2,-,-,-,-,-,-,-,19,4
"S00164623",68,11,30,8,-,-,-,-,-,-,-,14,5
"S00164624",157,49,81,1,-,-,-,-,-,-,-,24,4
"S00164625",100,21,51,-,-,-,-,4,-,-,-,19,5
"S00164626",92,8,42,4,-,-,-,-,-,-,-,39,-
"S00164627",139,14,64,3,-,-,-,-,-,-,-,41,18
"S00164628",146,20,72,8,-,-,-,-,-,-,-,31,13
"S00164629",183,50,81,8,-,-,-,-,-,1,-,41,7
"S00164630",102,22,50,4,-,-,-,-,-,-,1,21,8
"S00164631",156,28,71,4,-,-,-,-,-,-,-,41,14
"S00164632",89,14,31,5,-,-,-,-,-,-,-,19,23
"S00164633",136,34,53,10,-,-,-,-,-,-,-,27,6
"S00164634",166,20,65,11,-,6,-,-,-,-,-,54,13
"S00164635",131,28,57,5,-,-,-,1,-,-,-,28,16
"S00164636",80,12,33,4,-,-,-,-,-,-,-,20,7
"S00164637",121,23,38,5,-,4,-,-,-,-,-,43,8
"S00164638",127,29,61,3,1,-,-,5,-,-,-,23,4
"S00164639",124,39,53,2,-,-,-,-,-,2,-,28,1
"S00164640",129,23,75,7,-,-,-,-,-,-,1,22,-
"S00164641",109,35,45,3,-,-,-,-,-,-,-,26,1
"S00164642",117,26,40,3,-,-,-,-,-,-,-,40,4
"S00164643",91,28,28,4,-,-,-,-,-,1,-,25,2
"S00164644",69,14,30,7,-,4,1,5,-,-,-,9,-
"S00164645",84,26,31,-,-,-,-,-,-,-,-,25,2
"S00164646",119,19,64,2,-,-,-,-,-,-,4,17,12
"S00164647",130,30,60,5,-,-,-,-,-,-,-,28,7
"S00164648",114,23,49,-,-,6,-,-,-,-,2,33,1
"S00164649",178,44,95,-,-,-,-,-,-,-,-,29,14
"S00164650",183,34,67,13,-,-,-,-,-,1,-,57,11
"S00164651",111,33,41,2,-,-,-,-,-,-,-,33,-
"S00164652",154,22,61,3,-,-,-,4,-,-,-,59,8
"S00164653",128,28,49,7,-,-,-,-,-,-,-,32,11
"S00164654",106,17,52,5,-,-,-,-,-,-,-,25,3
"S00164655",117,15,58,7,-,-,-,-,-,-,-,28,6
"S00164656",148,35,43,5,-,-,-,-,-,-,-,46,19
"S00164657",95,21,48,4,-,-,-,-,-,-,-,20,3
"S00164658",111,24,45,4,-,-,-,-,-,-,-,41,-
"S00164659",114,23,51,7,-,-,-,-,-,-,-,21,12
"S00164660",129,42,55,3,-,-,-,-,-,-,-,24,8
"S00164661",153,43,53,6,-,-,-,-,-,-,-,45,5
"S00164662",117,31,46,-,-,-,-,-,-,-,-,32,8
"S00164663",94,14,41,2,-,-,-,-,-,-,-,31,6
"S00164664",114,22,47,6,-,-,-,-,-,-,-,34,6
"S00164665",72,15,26,4,-,-,-,-,-,-,1,19,6
"S00164666",136,21,75,2,1,-,-,-,-,-,-,35,2
"S00164667",92,18,38,2,-,-,-,-,-,-,-,28,6
"S00164668",107,27,38,-,-,1,-,-,-,1,-,37,3
"S00164669",68,13,13,-,-,-,-,-,-,-,-,33,8
"S00164670",109,24,58,2,-,-,-,-,-,-,-,18,4
"S00164671",136,28,68,4,-,-,-,-,-,-,1,22,10
"S00164672",135,20,58,4,-,-,-,-,-,-,-,43,14
"S00164673",142,25,57,7,-,-,-,-,-,-,-,42,12
"S00164674",66,10,40,1,-,-,-,-,-,-,-,15,6
"S00164675",109,26,42,-,-,-,-,-,-,-,-,35,6
"S00164676",110,35,54,1,-,-,-,-,-,-,-,17,6
"S00164677",80,16,38,-,-,-,-,-,-,-,-,23,3
"S00164678",104,23,53,-,-,-,-,-,-,-,1,26,2
"S00164679",124,26,39,-,-,-,-,-,-,-,-,60,5
"S00164680",118,22,56,1,-,-,-,-,-,-,-,29,11
"S00164681",119,34,47,9,-,-,-,-,-,-,-,17,10
"S00164682",171,39,72,3,-,-,-,-,-,-,-,41,17
"S00164683",75,9,25,-,-,1,-,-,-,-,-,30,10
"S00164684",93,22,17,4,-,-,-,-,5,-,-,35,7
"S00164685",79,4,50,-,-,-,-,-,-,-,1,20,1
"S00164686",73,8,38,4,-,-,-,-,-,-,-,19,7
"S00164687",67,11,27,1,-,-,-,-,-,-,-,30,2
"S00164688",138,17,84,3,-,-,-,-,-,-,-,28,6
"S00164689",105,24,39,5,-,-,-,-,-,-,-,32,4
"S00164690",60,11,30,4,-,-,-,-,-,-,-,14,-
"S00164691",80,10,57,-,-,-,-,-,-,-,-,9,4
"S00164692",99,22,44,2,-,-,-,-,-,-,-,22,7
"S00164693",89,17,26,4,-,-,-,8,-,-,1,32,5
"S00164694",106,37,22,2,4,-,-,3,-,-,1,31,3
"S00164695",191,65,43,8,-,-,-,-,-,-,-,65,10
"S00164696",175,36,47,2,-,-,-,-,-,-,-,87,4
"S00164697",66,21,24,-,-,-,-,-,-,-,-,20,3
"S00164698",65,11,24,8,-,-,-,-,-,-,-,22,7
"S00164699",89,23,19,6,-,-,-,-,-,-,-,39,1
"S00164700",100,26,32,7,-,-,-,-,-,-,-,31,1
"S00164701",149,40,42,2,-,-,-,-,-,1,-,64,4
"S00164702",151,37,24,9,1,-,2,2,-,-,-,55,20
"S00164703",120,39,18,15,-,-,-,-,-,-,-,43,2
"S00164704",92,37,15,2,-,-,-,-,-,-,2,30,6
"S00164705",87,33,19,4,-,-,-,-,-,-,2,27,1
"S00164706",119,48,31,-,-,-,-,-,-,-,-,33,10
"S00164707",88,32,28,1,-,-,-,-,-,-,-,27,-
"S00164708",137,48,20,10,1,-,-,-,-,2,2,48,5
"S00164709",101,34,32,2,-,-,-,-,-,-,-,27,6
"S00164710",93,44,12,1,-,-,-,-,-,-,-,29,3
"S00164711",100,18,20,-,1,-,-,-,-,-,-,49,9
"S00164712",156,38,41,1,1,-,-,-,-,-,-,62,15
"S00164713",72,13,1,9,2,-,-,-,-,-,-,37,8
"S00164714",145,46,24,9,1,-,-,-,2,-,1,62,1
"S00164715",107,35,25,4,-,-,-,-,-,-,-,45,-
"S00164716",93,17,34,1,-,-,-,-,-,-,-,44,-
"S00164717",109,21,31,-,-,-,-,-,-,-,-,52,5
"S00164718",286,55,86,11,-,-,-,-,-,-,-,116,18
"S00164719",81,24,21,7,-,-,-,-,-,-,-,25,2
"S00164720",158,38,51,7,-,-,-,1,-,-,-,61,4
"S00164721",134,23,39,10,-,-,-,4,-,-,-,47,11
"S00164722",120,37,19,9,1,-,-,-,-,-,1,46,7
"S00164723",92,19,17,4,-,-,-,-,4,-,-,36,8
"S00164724",163,34,60,8,-,-,-,-,-,3,1,51,9
"S00164725",121,42,31,3,-,-,1,-,-,-,-,37,5
"S00164726",146,55,33,12,2,-,-,-,-,-,-,43,2
"S00164727",218,42,64,6,3,-,-,-,-,1,-,78,21
"S00164728",126,39,21,6,-,-,-,-,3,-,-,46,14
"S00164729",141,30,26,18,-,-,-,-,-,-,-,63,4
"S00164730",122,36,17,4,-,-,-,-,-,-,-,59,5
"S00164731",182,53,30,6,-,2,2,-,-,-,-,61,24
"S00164732",167,39,44,2,-,-,-,-,-,-,-,61,18
"S00164733",143,41,26,8,-,-,-,-,-,-,2,55,11
"S00164734",91,34,11,3,-,-,-,-,-,-,-,36,5
"S00164735",66,22,26,-,-,-,-,-,-,-,-,17,1
"S00164736",129,29,13,10,-,-,-,-,-,-,-,54,27
"S00164737",132,30,46,4,-,2,-,-,-,-,1,46,3
"S00164738",100,21,14,11,-,-,-,-,-,1,-,46,5
"S00164739",139,57,5,12,-,-,-,-,-,-,-,51,8
"S00164740",66,16,5,11,-,-,-,-,-,-,-,32,2
"S00164741",99,38,16,1,-,-,-,-,-,-,-,28,13
"S00164742",151,50,7,19,-,-,-,-,-,-,1,56,14
"S00164743",177,57,24,6,-,-,-,-,-,-,-,56,30
"S00164744",190,47,61,6,-,-,-,-,1,-,1,57,12
"S00164745",108,41,4,5,-,-,-,-,-,-,-,51,7
"S00164746",148,39,8,17,3,-,-,-,-,2,-,73,6
"S00164747",111,28,9,8,-,-,-,-,-,-,-,60,6
"S00164748",97,31,7,6,-,-,-,-,-,-,-,42,11
"S00164749",98,19,17,6,2,-,-,-,-,-,2,42,7
"S00164750",105,28,27,4,-,-,-,-,-,-,-,40,5
"S00164751",173,51,13,7,3,-,-,-,-,-,-,89,10
"S00164752",68,23,6,8,-,-,-,-,-,-,-,26,4
"S00164753",85,22,20,6,-,-,-,3,-,-,-,33,1
"S00164754",80,24,4,3,-,-,-,-,-,-,-,42,6
"S00164755",140,48,18,8,2,-,-,-,-,-,-,61,4
"S00164756",150,33,32,12,-,-,-,-,-,-,-,65,10
"S00164757",136,46,25,7,-,-,-,-,-,-,-,49,9
"S00164758",63,15,7,3,-,-,-,-,-,1,-,30,7
"S00164759",201,65,35,8,-,-,-,-,2,-,1,75,17
"S00164760",83,32,14,5,-,-,-,-,-,-,-,27,11
"S00164761",73,40,11,7,-,-,-,-,-,-,-,13,2
"S00164762",58,17,7,-,-,-,-,-,-,-,-,31,5
"S00164763",133,52,19,-,-,-,-,-,-,-,-,53,9
"S00164764",81,27,9,4,-,-,-,-,1,-,-,33,5
"S00164765",103,37,10,1,-,-,1,-,-,-,-,47,7
"S00164766",77,21,22,3,-,-,-,-,-,-,-,29,2
"S00164767",134,46,13,6,-,-,1,-,-,-,-,51,17
"S00164768",98,21,2,18,-,-,-,-,-,-,1,47,7
"S00164769",84,30,27,-,-,-,-,-,-,-,-,26,-
"S00164770",144,36,45,8,-,3,-,-,-,-,-,41,9
"S00164771",156,51,9,12,1,-,-,-,-,-,-,63,18
"S00164772",88,26,12,2,-,-,-,-,-,-,-,45,2
"S00164773",114,44,10,12,-,-,-,1,-,-,-,41,11
"S00164774",165,55,11,12,-,2,-,5,-,-,-,67,13
"S00164775",118,34,16,10,-,-,-,-,-,-,-,49,9
"S00164776",82,31,8,8,-,-,-,-,-,-,-,35,-
"S00164777",87,27,16,1,1,-,-,-,-,-,-,38,4
"S00164778",130,26,20,8,2,-,-,-,-,-,2,60,16
"S00164779",107,26,22,3,-,-,-,-,-,-,-,54,3
"S00164780",149,41,21,17,1,-,-,-,-,-,-,66,2
"S00164781",139,36,23,6,-,-,-,1,-,-,-,65,10
"S00164782",111,38,15,11,-,-,-,-,-,-,-,40,7
"S00164783",124,14,8,4,-,-,-,7,-,-,-,89,5
"S00164784",92,18,12,-,-,-,-,-,-,1,-,53,9
"S00164785",130,19,17,5,-,-,-,6,-,-,1,74,13
"S00164786",196,46,11,16,-,-,-,-,-,-,-,106,21
"S00164787",108,14,14,3,-,-,-,-,-,-,-,67,4
"S00164788",75,14,7,2,-,4,-,-,-,1,-,39,8
"S00164789",125,23,17,5,-,4,-,-,-,-,-,73,5
"S00164790",73,27,7,-,-,-,-,-,-,-,-,37,2
"S00164791",168,22,13,9,-,1,-,5,-,-,-,109,12
"S00164792",92,28,12,3,-,-,-,-,-,-,-,48,2
"S00164793",129,36,8,-,-,-,-,-,-,-,-,74,15
"S00164794",96,16,9,3,-,-,-,-,-,-,-,66,-
"S00164795",115,23,14,2,-,-,-,-,-,-,-,73,5
"S00164796",117,25,5,-,-,-,-,-,-,-,-,73,8
"S00164797",82,13,8,-,-,-,-,6,-,-,-,47,8
"S00164798",126,23,12,-,-,-,-,1,-,-,-,80,6
"S00164799",169,25,20,4,-,-,-,8,-,1,-,103,5
"S00164800",147,22,18,8,-,4,-,8,4,-,-,74,7
"S00164801",94,35,8,1,-,-,-,1,-,-,-,47,2
"S00164802",200,15,21,15,1,1,-,-,-,1,-,138,8
"S00164803",110,20,10,-,1,-,-,6,-,-,-,71,4
"S00164804",104,20,9,-,-,-,-,-,-,-,-,69,6
"S00164805",148,26,9,16,-,-,-,3,-,2,1,91,5
"S00164806",69,18,5,-,-,-,-,3,-,-,-,41,-
"S00164807",160,8,12,7,1,-,-,5,-,-,-,109,15
"S00164808",115,8,11,3,2,2,-,5,-,-,-,78,7
"S00164809",111,20,10,2,-,-,-,-,-,-,-,77,2
"S00164810",161,35,8,6,-,-,-,5,-,-,-,97,10
"S00164811",131,15,20,8,-,3,-,-,-,-,-,77,5
"S00164812",133,12,13,-,-,-,-,1,-,-,-,89,15
"S00164813",207,23,18,5,-,7,-,7,-,-,-,133,8
"S00164814",173,9,10,6,1,-,-,3,-,-,-,132,9
"S00164815",159,28,26,18,-,-,-,1,-,-,1,85,8
"S00164816",107,26,7,-,-,-,-,7,-,1,-,63,3
"S00164817",71,12,8,-,-,-,-,-,-,-,-,44,3
"S00164818",91,34,7,3,-,-,-,-,-,-,-,38,4
"S00164819",90,41,9,2,-,-,-,-,-,-,-,36,7
"S00164820",215,52,12,13,-,-,-,-,-,1,-,121,14
"S00164821",108,36,11,6,-,-,-,1,-,-,-,44,10
"S00164822",100,13,13,4,1,1,-,-,-,-,-,69,1
"S00164823",91,18,19,1,-,-,-,4,-,-,-,45,4
"S00164824",87,13,6,4,-,-,-,-,-,1,-,63,3
"S00164825",162,31,15,12,-,-,-,9,-,-,-,80,14
"S00164826",226,15,27,11,-,1,-,15,-,2,-,147,9
"S00164827",176,36,21,12,-,2,-,-,-,-,-,104,8
"S00164828",208,20,24,6,-,-,-,14,3,2,1,136,6
"S00164829",192,18,23,6,-,5,-,5,-,-,-,120,14
"S00164830",104,23,11,8,-,-,-,-,-,-,-,63,3
"S00164831",152,24,4,6,-,5,-,14,-,-,-,102,-
"S00164832",201,29,25,4,-,-,-,-,-,-,1,137,2
"S00164833",143,36,10,7,-,-,-,-,-,-,1,73,16
"S00164834",96,16,7,2,-,-,-,-,-,1,-,64,6
"S00164835",132,18,13,15,-,-,-,6,-,1,-,69,6
"S00164836",208,21,13,5,-,-,-,4,-,-,-,155,7
"S00164837",109,24,7,4,-,-,-,-,-,1,-,55,16
"S00164838",141,40,4,5,-,-,-,4,-,4,-,76,6
"S00164839",86,11,6,2,-,2,-,5,-,1,-,54,3
"S00164840",183,12,11,25,-,-,-,9,-,2,1,109,5
"S00164841",220,24,39,11,1,-,-,4,-,-,-,137,6
"S00164842",163,21,20,12,-,-,-,1,-,-,-,92,17
"S00164843",101,26,10,2,-,-,-,-,-,-,1,57,4
"S00164844",112,7,17,4,-,-,-,2,-,3,-,76,4
"S00164845",157,35,13,1,-,-,-,-,-,-,-,96,12
"S00164846",94,14,8,10,-,-,-,4,-,-,-,47,1
"S00164847",140,14,11,6,-,7,-,-,-,-,1,88,11
"S00164848",205,10,13,-,-,-,-,4,-,-,-,152,27
"S00164849",156,34,13,2,-,-,-,-,-,1,-,84,21
"S00164850",84,10,6,7,-,-,-,-,-,2,1,57,-
"S00164851",174,35,14,7,1,-,-,-,4,-,-,106,8
"S00164852",106,17,11,9,-,-,-,-,4,5,-,57,1
"S00164853",78,11,6,4,-,-,-,1,-,-,1,42,13
"S00164854",88,17,12,-,-,-,-,-,-,-,-,55,3
"S00164855",60,6,8,8,-,-,-,1,-,-,-,36,4
"S00164856",141,20,8,14,3,-,-,8,-,-,-,82,6
"S00164857",132,18,8,7,-,-,-,7,-,2,-,89,2
"S00164858",146,31,2,15,-,-,-,-,-,1,2,91,3
"S00164859",116,27,7,-,-,-,-,1,-,-,-,74,1
"S00164860",149,18,13,20,-,-,-,-,-,-,-,91,5
"S00164861",81,12,6,4,-,-,-,-,-,4,-,56,1
"S00164862",118,21,13,-,-,-,-,4,4,-,1,67,9
"S00164863",159,12,19,7,-,-,-,5,-,-,-,104,10
"S00164864",86,6,10,3,-,-,-,2,-,-,-,55,6
"S00164865",106,35,13,11,-,-,-,-,-,3,-,42,8
"S00164866",90,14,13,5,-,-,-,-,-,-,-,52,7
"S00164867",111,18,14,-,-,-,-,6,6,-,-,63,6
"S00164868",130,25,14,-,1,-,-,1,-,-,-,83,10
"S00164869",82,24,8,3,-,-,-,-,-,1,-,42,4
"S00164870",179,49,8,4,1,-,-,-,-,-,-,107,6
"S00164871",91,9,15,8,-,1,2,-,-,-,-,51,4
"S00164872",87,13,5,20,-,-,-,-,-,-,1,45,4
"S00164873",123,23,12,5,-,-,-,1,-,-,1,71,9
"S00164874",86,12,-,6,-,-,-,-,-,-,-,60,12
"S00164875",119,14,13,-,-,2,-,2,-,-,-,80,5
"S00164876",147,28,17,6,-,-,-,7,-,-,2,83,6
"S00164877",100,14,9,7,-,-,-,-,-,-,-,62,8
"S00164878",98,10,12,-,-,-,-,-,-,2,-,61,11
"S00164879",139,11,13,11,-,-,-,8,-,-,2,81,8
"S00164880",129,28,9,4,-,-,-,-,-,-,-,83,5
"S00164881",182,29,33,9,-,-,-,-,-,-,-,99,10
"S00164882",133,22,24,8,-,4,-,6,-,-,1,52,13
"S00164883",114,20,10,4,-,-,-,6,-,-,-,74,4
"S00164884",238,30,30,13,2,2,-,10,-,-,-,117,34
"S00164885",117,17,10,-,-,-,-,-,-,-,-,81,4
"S00164886",136,18,11,12,1,7,-,9,-,-,-,76,4
"S00164887",105,32,10,-,-,-,-,-,-,-,-,61,-
"S00164888",76,26,9,10,-,-,-,1,-,-,-,27,4
"S00164889",140,27,25,12,-,-,-,-,-,3,-,68,3
"S00164890",99,20,17,7,1,-,-,-,-,-,-,50,6
"S00164891",121,11,11,3,1,-,-,-,-,1,2,78,13
"S00164892",110,18,9,-,-,1,-,-,-,-,-,74,8
"S00164893",179,61,16,9,-,-,-,-,-,-,-,77,12
"S00164894",135,19,12,5,-,-,-,-,-,-,1,87,9
"S00164895",83,26,11,6,-,3,-,-,-,-,-,39,1
"S00164896",184,45,21,5,1,-,-,3,-,-,-,107,2
"S00164897",86,17,11,4,-,-,-,-,-,1,-,51,4
"S00164898",94,18,14,3,-,-,-,-,-,-,-,52,10
"S00164899",104,21,7,6,-,-,-,3,-,-,2,61,6
"S00164900",73,16,4,3,-,4,-,6,-,-,-,38,-
"S00164901",180,48,7,10,-,2,-,2,4,-,-,98,13
"S00164902",174,19,46,7,-,-,-,4,-,-,-,85,11
"S00164903",95,20,3,12,-,-,-,2,-,-,-,51,5
"S00164904",70,17,10,-,-,-,-,-,-,1,-,39,3
"S00164905",127,23,14,8,3,2,-,-,-,-,-,69,10
"S00164906",117,19,19,6,1,-,1,-,-,-,-,66,3
"S00164907",130,56,13,5,-,-,-,-,-,-,-,49,9
"S00164908",65,25,8,9,-,-,-,-,-,-,-,22,4
"S00164909",101,23,5,1,-,-,-,4,-,-,-,48,21
"S00164910",132,26,13,5,-,-,-,2,-,-,3,77,6
"S00164911",63,7,1,5,-,-,-,-,-,-,-,41,7
"S00164912",101,23,9,9,-,-,-,4,1,-,-,55,5
"S00164913",83,14,12,1,-,-,-,-,-,-,2,52,2
"S00164914",105,16,4,3,2,-,-,-,-,-,-,76,-
"S00164915",120,21,17,6,-,-,-,-,-,-,1,65,10
"S00164916",94,16,7,5,-,5,-,-,-,-,-,55,2
"S00164917",93,12,8,3,-,3,-,-,-,1,-,61,5
"S00164918",61,21,9,7,-,-,-,-,-,-,-,23,4
"S00164919",86,18,7,3,4,3,-,-,1,-,-,46,6
"S00164920",148,20,8,-,6,-,-,6,-,-,-,108,4
"S00164921",146,36,17,6,-,-,-,-,-,-,-,83,2
"S00164922",139,42,10,7,-,-,-,-,-,-,-,77,1
"S00164923",135,47,26,9,-,2,-,-,-,-,-,43,10
"S00164924",84,25,4,10,-,-,-,-,-,-,-,45,-
"S00164925",112,17,10,4,1,-,-,-,-,-,-,73,6
"S00164926",79,11,7,6,-,-,-,-,-,-,-,52,3
"S00164927",127,9,10,2,3,4,-,8,-,-,-,93,-
"S00164928",85,32,6,7,-,1,-,-,-,1,-,33,3
"S00164929",114,21,2,9,-,-,-,9,-,-,-,47,25
"S00164930",97,36,5,2,-,-,-,-,-,-,1,51,-
"S00164931",76,16,6,4,-,-,-,-,-,-,-,45,6
"S00164932",77,24,23,7,-,-,-,-,-,-,-,25,1
"S00164933",128,15,20,5,7,13,-,4,-,1,-,60,5
"S00164934",174,19,10,9,3,10,-,24,-,-,1,91,8
"S00164935",105,17,10,5,-,-,-,-,2,-,-,63,5
"S00164936",132,18,17,5,1,-,-,5,-,-,1,83,2
"S00164937",169,27,17,14,-,5,1,10,-,1,-,90,4
"S00164938",109,38,12,-,-,-,-,-,-,-,-,58,2
"S00164939",126,26,14,3,-,-,-,-,-,-,-,74,9
"S00164940",224,31,27,2,-,8,1,17,-,-,-,115,17
"S00164941",127,28,6,5,-,-,-,-,-,-,-,82,6
"S00164942",123,33,9,9,-,-,-,-,-,-,-,69,4
"S00164943",124,34,5,8,1,1,-,-,-,-,-,69,9
"S00164944",98,32,9,8,-,-,-,-,-,-,-,40,10
"S00164945",101,25,16,4,1,-,-,-,-,3,-,40,8
"S00164946",103,25,7,8,-,2,-,-,-,-,-,56,2
"S00164947",111,9,21,3,-,-,-,-,-,-,4,74,-
"S00164948",110,39,9,6,-,-,-,-,-,-,-,49,7
"S00164949",117,18,6,3,-,-,-,3,-,-,-,77,13
"S00164950",93,17,9,4,-,-,3,-,-,-,-,49,11
"S00164951",134,19,18,4,-,-,-,-,-,-,-,86,7
"S00164952",95,29,8,1,-,-,-,2,-,-,3,45,5
"S00164953",158,17,5,7,1,5,-,-,-,-,-,117,9
"S00164954",97,26,10,-,-,-,-,-,-,-,-,57,3
"S00164955",99,26,13,3,-,-,-,-,-,-,-,51,6
"S00164956",169,30,17,5,-,-,-,-,-,-,4,101,16
"S00164957",153,26,25,6,-,-,-,-,-,-,-,90,7
"S00164958",111,29,10,6,-,-,1,-,-,2,-,52,12
"S00164959",113,32,12,2,-,-,-,-,-,-,-,51,13
"S00164960",87,19,11,7,1,-,-,-,-,-,-,51,3
"S00164961",128,25,6,2,-,-,-,-,-,-,-,81,12
"S00164962",126,28,15,7,4,4,-,-,-,-,-,65,5
"S00164963",217,68,24,18,-,-,-,6,-,-,-,84,18
"S00164964",95,35,11,6,-,-,-,-,-,-,-,39,4
"S00164965",136,33,25,3,-,-,-,1,-,-,-,66,11
"S00164966",198,32,6,-,-,-,-,-,-,-,4,146,10
"S00164967",204,39,2,20,-,-,-,4,-,2,-,121,12
"S00164968",129,12,15,3,-,-,-,-,-,-,-,84,7
"S00164969",112,32,15,10,1,-,-,-,-,-,-,49,6
"S00164970",74,22,5,-,-,-,-,-,-,-,-,44,3
"S00164971",180,61,13,18,-,-,-,-,-,-,-,93,2
"S00164972",174,32,8,15,1,-,-,-,-,-,-,115,6
"S00164973",159,20,8,1,-,-,-,-,-,-,-,120,5
"S00164974",120,68,3,3,-,-,-,-,-,-,-,39,7
"S00164975",122,36,6,3,-,-,-,-,-,1,2,71,2
"S00164976",89,35,11,-,-,-,-,-,-,-,-,35,7
"S00164977",142,29,20,21,-,-,-,-,-,-,-,70,4
"S00164978",186,28,24,1,-,-,-,-,-,-,-,105,27
"S00164979",90,13,8,-,-,-,-,5,-,-,-,57,9
"S00164980",112,48,15,3,-,-,-,-,-,-,-,37,8
"S00164981",126,8,17,2,-,-,-,6,-,4,-,88,7
"S00164982",98,43,13,2,-,3,-,-,-,-,-,35,2
"S00164983",133,40,13,6,-,-,-,6,-,-,-,62,6
"S00164984",117,18,23,7,-,-,-,-,-,-,-,71,2
"S00164985",145,22,11,16,-,-,-,-,-,-,-,98,-
"S00164986",114,44,11,7,-,-,-,-,-,-,-,48,6
"S00164987",129,21,16,7,-,-,-,-,-,-,-,78,5
"S00164988",182,19,8,6,1,-,1,-,-,1,1,136,9
"S00164989",131,37,8,2,-,-,-,-,-,-,-,71,10
"S00164990",66,16,4,1,-,-,-,-,-,-,-,41,3
"S00164991",146,44,12,1,-,-,-,-,-,-,-,80,8
"S00164992",67,36,7,-,-,-,-,-,-,-,-,16,8
"S00164993",191,31,21,2,-,2,-,-,-,-,-,118,20
"S00164994",149,27,22,8,-,-,-,5,-,-,1,80,8
"S00164995",149,42,11,11,1,-,-,-,-,1,1,70,11
"S00164996",107,22,11,1,-,-,-,-,-,1,-,67,3
"S00164997",153,5,4,-,-,3,-,-,2,-,-,134,6
"S00164998",114,24,14,5,-,2,-,-,-,-,-,57,9
"S00164999",109,30,12,6,-,-,-,-,-,1,-,50,9
"S00165000",116,37,4,6,1,-,-,1,-,-,-,61,3
"S00165001",181,20,15,3,-,4,-,7,-,-,2,111,17
"S00165002",133,12,10,1,1,-,-,-,-,-,-,101,5
"S00165003",100,20,8,3,1,-,-,-,-,-,-,58,5
"S00165004",79,24,4,3,-,-,-,-,-,-,-,43,6
"S00165005",129,32,12,9,-,-,1,-,-,-,-,71,1
"S00165006",95,28,11,10,-,-,-,1,2,-,-,44,4
"S00165007",109,10,18,3,-,-,-,-,-,-,1,73,3
"S00165008",105,37,4,4,-,-,-,-,-,-,1,54,6
"S00165009",116,30,14,9,-,-,-,-,-,-,1,56,6
"S00165010",94,25,9,4,-,-,-,-,-,1,-,50,-
"S00165011",65,14,2,2,-,-,-,-,-,-,-,45,3
"S00165012",120,25,8,4,-,-,-,4,-,-,-,70,9
"S00165013",101,18,7,7,4,-,-,-,-,-,-,60,3
"S00165014",169,42,7,2,-,-,-,1,-,-,-,101,14
"S00165015",196,23,22,6,-,-,-,3,-,-,2,120,17
"S00165016",98,27,7,6,2,-,-,-,-,1,-,54,1
"S00165017",116,12,6,6,-,-,-,-,-,2,-,90,5
"S00165018",84,21,5,3,-,-,-,-,-,2,-,47,7
"S00165019",108,37,3,3,4,1,-,5,-,-,-,46,10
"S00165020",153,26,4,14,-,-,-,4,-,-,-,92,12
"S00165021",66,16,4,-,-,-,-,-,-,-,-,32,8
"S00165022",155,32,20,8,-,1,-,4,-,-,-,76,15
"S00165023",160,60,11,1,-,1,-,2,-,-,1,69,15
"S00165024",156,24,19,-,-,-,-,2,-,-,-,108,7
"S00165025",174,38,13,4,1,-,-,5,-,-,1,107,7
"S00165026",102,16,14,-,-,-,-,-,-,-,-,68,1
"S00165027",200,16,20,12,1,-,-,-,-,-,-,133,19
"S00165028",72,21,8,5,1,-,-,2,-,-,-,27,5
"S00165029",131,19,33,-,-,-,-,3,-,-,-,67,9
"S00165030",72,6,5,2,-,-,-,2,-,-,-,51,7
"S00165031",103,29,2,6,-,-,-,-,-,-,-,58,7
"S00165032",140,26,17,1,-,-,-,-,-,-,-,78,16
"S00165033",79,13,6,7,-,-,-,-,-,-,-,51,-
"S00165034",176,37,19,4,-,-,-,-,-,-,-,97,22
"S00165035",81,15,8,-,-,-,-,-,-,-,-,57,1
