Scotland's Census 2022 - National Records of Scotland
Table UV211 - British Sign Language (BSL) skills
All people aged 3 and over

,"All people aged 3 and over","BSL User","Not a BSL user"
"S00135449",98,5,95
"S00135450",91,3,88
"S00135451",69,-,69
"S00135452",62,4,58
"S00135453",102,4,98
"S00135454",117,1,113
"S00135455",106,1,105
"S00135456",84,1,87
"S00135457",64,-,64
"S00135458",78,4,76
"S00135459",121,2,119
"S00135460",120,-,118
"S00135461",131,4,129
"S00135462",156,2,154
"S00135463",146,2,144
"S00135464",102,5,97
"S00135465",106,7,99
"S00135466",99,1,98
"S00135467",93,5,88
"S00135468",68,1,67
"S00135469",116,4,112
"S00135470",136,4,134
"S00135471",146,10,136
"S00135472",147,3,144
"S00135473",125,4,122
"S00135474",113,-,113
"S00135475",100,1,99
"S00135476",106,-,106
"S00135477",113,4,108
"S00135478",96,1,95
"S00135479",123,-,123
"S00135480",131,3,125
"S00135481",131,1,130
"S00135482",82,3,82
"S00135483",110,3,111
"S00135484",82,-,82
"S00135485",160,4,156
"S00135486",112,3,109
"S00135487",155,2,151
"S00135488",111,4,107
"S00135489",123,4,119
"S00135490",126,-,126
"S00135491",121,-,121
"S00135492",122,3,119
"S00135493",160,5,156
"S00135494",98,-,98
"S00135495",104,2,102
"S00135496",101,1,100
"S00135497",227,2,225
"S00135498",143,2,140
"S00135499",126,4,122
"S00135500",112,2,105
"S00135501",136,5,128
"S00135502",124,2,122
"S00135503",85,2,83
"S00135504",140,-,139
"S00135505",160,2,155
"S00135506",86,-,86
"S00135507",170,4,164
"S00135508",65,6,61
"S00135509",123,-,121
"S00135510",108,2,105
"S00135511",118,-,117
"S00135512",118,8,110
"S00135513",111,4,107
"S00135514",112,4,108
"S00135515",160,-,159
"S00135516",143,2,138
"S00135517",111,-,111
"S00135518",82,-,82
"S00135519",137,2,135
"S00135520",141,4,143
"S00135521",115,3,113
"S00135522",89,2,87
"S00135523",67,1,66
"S00135524",110,4,106
"S00135525",102,1,101
"S00135526",104,3,99
"S00135527",65,3,65
"S00135528",166,3,163
"S00135529",139,1,134
"S00135530",85,4,82
"S00135531",97,2,95
"S00135532",97,2,95
"S00135533",125,6,120
"S00135534",111,2,109
"S00135535",223,1,222
"S00135536",183,8,173
"S00135537",144,3,145
"S00135538",91,4,86
"S00135539",84,1,83
"S00135540",143,5,138
"S00135541",78,-,78
"S00135542",171,4,169
"S00135543",162,2,158
"S00135544",96,3,96
"S00135545",132,1,131
"S00135546",86,4,82
"S00135547",175,8,171
"S00135548",85,-,85
"S00135549",64,-,64
"S00135550",118,8,112
"S00135551",122,3,115
"S00135552",127,4,117
"S00135553",202,3,198
"S00135554",84,5,79
"S00135555",163,4,159
"S00135556",100,4,96
"S00135557",82,3,83
"S00135558",146,5,143
"S00135559",104,1,103
"S00135560",104,-,104
"S00135561",90,2,89
"S00135562",89,1,84
"S00135563",59,2,61
"S00135564",103,3,100
"S00135565",70,1,69
"S00135566",97,4,93
