Scotland's Census 2022 - National Records of Scotland
Table UV211 - British Sign Language (BSL) skills
All people aged 3 and over

,"All people aged 3 and over","BSL User","Not a BSL user"
"S00141671",74,1,73
"S00141672",75,-,75
"S00141673",129,2,124
"S00141674",121,2,121
"S00141675",160,1,158
"S00141676",123,1,122
"S00141677",174,7,167
"S00141678",111,1,110
"S00141679",70,6,64
"S00141680",124,2,123
"S00141681",112,4,108
"S00141682",74,-,72
"S00141683",108,16,93
"S00141684",140,2,138
"S00141685",87,5,82
"S00141686",71,-,71
"S00141687",88,2,88
"S00141688",140,3,137
"S00141689",90,2,89
"S00141690",70,3,67
"S00141691",115,1,114
"S00141692",90,-,90
"S00141693",143,1,140
"S00141694",125,2,124
"S00141695",89,-,89
"S00141696",79,1,78
"S00141697",107,4,105
"S00141698",79,2,78
"S00141699",136,-,136
"S00141700",121,2,116
"S00141701",107,3,107
"S00141702",66,-,66
"S00141703",157,1,154
"S00141704",77,5,70
"S00141705",108,4,104
"S00141706",100,3,96
"S00141707",150,3,147
"S00141708",97,2,95
"S00141709",127,7,123
"S00141710",153,7,146
"S00141711",82,1,81
"S00141712",114,-,114
"S00141713",153,-,153
"S00141714",136,-,136
"S00141715",98,3,95
"S00141716",95,3,95
"S00141717",105,3,103
"S00141718",107,2,102
"S00141719",93,2,91
"S00141720",181,2,179
"S00141721",171,2,169
"S00141722",115,1,113
"S00141723",95,2,96
"S00141724",94,1,93
"S00141725",92,1,95
"S00141726",80,2,78
"S00141727",214,1,213
"S00141728",116,1,111
"S00141729",118,-,118
"S00141730",178,1,177
"S00141731",104,2,102
"S00141732",69,-,69
"S00141733",62,1,61
"S00141734",146,-,146
"S00141735",102,7,92
"S00141736",155,3,149
"S00141737",75,6,69
"S00141738",117,3,113
"S00141739",93,4,90
"S00141740",139,10,129
"S00141741",136,3,133
"S00141742",100,2,98
"S00141743",75,4,72
"S00141744",158,1,157
"S00141745",58,-,58
"S00141746",90,3,87
"S00141747",108,2,106
"S00141748",86,4,86
"S00141749",79,1,78
"S00141750",103,2,101
"S00141751",135,7,127
"S00141752",106,3,103
"S00141753",70,-,70
"S00141754",113,1,111
"S00141755",156,3,153
"S00141756",149,-,147
"S00141757",132,6,126
"S00141758",111,6,105
"S00141759",133,-,132
"S00141760",99,4,95
"S00141761",133,-,133
"S00141762",106,2,105
"S00141763",127,4,123
"S00141764",93,5,88
"S00141765",146,6,140
"S00141766",124,-,122
"S00141767",113,3,110
"S00141768",123,4,115
"S00141769",112,2,111
"S00141770",70,-,70
"S00141771",80,2,78
"S00141772",124,5,120
"S00141773",125,-,124
"S00141774",91,-,91
"S00141775",68,-,68
"S00141776",88,1,84
"S00141777",173,1,172
"S00141778",122,6,115
"S00141779",66,4,64
"S00141780",120,3,117
"S00141781",111,2,110
"S00141782",128,-,128
"S00141783",127,2,126
"S00141784",122,4,120
"S00141785",96,-,96
"S00141786",131,2,129
"S00141787",120,2,118
"S00141788",131,5,126
"S00141789",62,1,64
"S00141790",108,1,107
"S00141791",59,1,58
"S00141792",114,2,113
"S00141793",78,2,76
"S00141794",62,2,60
"S00141795",119,5,114
"S00141796",111,-,111
"S00141797",80,1,81
"S00141798",96,4,92
"S00141799",107,2,105
"S00141800",127,1,123
"S00141801",86,2,84
"S00141802",140,9,131
"S00141803",76,-,76
"S00141804",173,3,170
"S00141805",99,-,100
"S00141806",107,3,104
"S00141807",161,5,156
"S00141808",103,1,101
"S00141809",89,2,87
"S00141810",93,-,92
"S00141811",101,-,100
"S00141812",198,21,177
"S00141813",133,1,131
"S00141814",107,3,104
"S00141815",64,-,64
"S00141816",78,-,78
"S00141817",129,3,123
"S00141818",134,3,134
"S00141819",73,1,71
"S00141820",84,-,84
"S00141821",80,-,80
"S00141822",87,-,85
"S00141823",92,1,91
"S00141824",98,-,98
"S00141825",93,1,92
"S00141826",100,4,98
"S00141827",76,-,76
"S00141828",108,-,108
"S00141829",148,9,139
"S00141830",94,-,94
"S00141831",83,2,78
"S00141832",112,2,110
"S00141833",96,1,95
"S00141834",130,-,128
"S00141835",94,5,89
"S00141836",68,-,68
"S00141837",112,2,106
"S00141838",72,-,71
"S00141839",101,-,101
"S00141840",102,2,94
"S00141841",83,1,82
"S00141842",117,7,110
"S00141843",109,-,108
"S00141844",75,-,75
"S00141845",130,2,128
"S00141846",107,6,101
"S00141847",104,5,99
"S00141848",71,1,70
"S00141849",99,1,98
"S00141850",115,1,112
"S00141851",162,-,162
"S00141852",69,6,65
"S00141853",136,4,134
"S00141854",86,1,85
"S00141855",105,2,103
"S00141856",160,2,159
"S00141857",99,-,99
"S00141858",103,1,101
"S00141859",115,1,113
"S00141860",130,1,130
"S00141861",150,-,150
"S00141862",114,4,108
"S00141863",118,2,116
"S00141864",125,9,116
"S00141865",91,-,90
"S00141866",122,5,116
"S00141867",96,5,91
"S00141868",60,1,59
"S00141869",68,1,67
"S00141870",86,2,84
"S00141871",72,-,72
"S00141872",145,3,142
"S00141873",123,1,121
"S00141874",130,1,129
"S00141875",72,-,72
"S00141876",121,5,120
"S00141877",189,6,184
"S00141878",80,2,79
"S00141879",84,2,82
"S00141880",78,7,71
"S00141881",185,15,170
"S00141882",141,1,138
"S00141883",116,2,115
"S00141884",112,2,111
"S00141885",66,2,64
"S00141886",120,3,118
"S00141887",79,2,73
"S00141888",117,4,115
"S00141889",184,5,181
"S00141890",63,1,62
"S00141891",68,-,68
"S00141892",68,-,68
"S00141893",112,-,112
"S00141894",90,4,82
"S00141895",91,-,91
"S00141896",220,12,207
"S00141897",92,3,88
"S00141898",100,-,100
"S00141899",116,1,115
"S00141900",80,3,78
"S00141901",123,5,120
"S00141902",145,2,143
"S00141903",115,3,109
"S00141904",106,6,101
"S00141905",91,-,91
"S00141906",99,2,97
"S00141907",147,2,145
"S00141908",81,2,79
"S00141909",97,-,97
"S00141910",62,1,61
"S00141911",143,2,141
"S00141912",90,1,89
"S00141913",68,1,67
"S00141914",155,1,155
"S00141915",81,3,79
"S00141916",81,1,80
"S00141917",61,-,61
"S00141918",91,1,90
"S00141919",113,1,112
"S00141920",113,2,112
"S00141921",72,1,71
"S00141922",163,4,156
"S00141923",67,1,66
"S00141924",64,3,64
"S00141925",101,3,98
"S00141926",143,4,137
"S00141927",126,-,126
"S00141928",143,3,140
"S00141929",97,2,94
"S00141930",90,2,88
"S00141931",124,4,120
"S00141932",126,-,126
"S00141933",89,2,87
"S00141934",104,-,104
"S00141935",644,14,631
"S00141936",125,1,120
"S00141937",135,-,135
"S00141938",61,3,59
"S00141939",126,4,124
"S00141940",115,3,112
"S00141941",79,3,76
"S00141942",87,2,86
"S00141943",65,1,64
"S00141944",80,-,80
"S00141945",136,7,129
"S00141946",94,1,89
"S00141947",97,1,96
"S00141948",116,3,113
"S00141949",116,3,114
"S00141950",65,2,63
"S00141951",127,3,124
"S00141952",119,1,117
"S00141953",142,5,137
"S00141954",91,1,90
"S00141955",119,3,116
"S00141956",109,4,107
"S00141957",83,1,82
"S00141958",176,7,165
"S00141959",96,2,91
"S00141960",75,4,74
"S00141961",66,1,65
"S00141962",101,1,97
"S00141963",108,8,104
"S00141964",115,2,114
"S00141965",69,-,69
"S00141966",121,-,121
"S00141967",91,2,91
"S00141968",159,4,155
"S00141969",111,5,106
"S00141970",137,4,135
"S00141971",89,1,88
"S00141972",74,3,71
"S00141973",62,1,66
"S00141974",120,2,122
"S00141975",109,3,108
"S00141976",127,2,126
"S00141977",134,-,134
"S00141978",87,1,83
"S00141979",75,2,73
"S00141980",115,5,110
"S00141981",66,2,64
"S00141982",61,2,59
"S00141983",87,1,86
"S00141984",74,3,71
"S00141985",111,2,110
"S00141986",146,1,145
"S00141987",141,3,137
"S00141988",104,2,102
"S00141989",102,2,98
"S00141990",115,9,106
"S00141991",88,3,85
"S00141992",149,2,148
"S00141993",105,2,107
"S00141994",140,4,136
"S00141995",123,-,123
"S00141996",175,3,172
"S00141997",92,-,92
"S00141998",164,5,158
"S00141999",116,1,115
"S00142000",59,3,57
"S00142001",73,4,69
"S00142002",87,4,83
"S00142003",135,1,134
"S00142004",126,-,126
"S00142005",76,4,72
"S00142006",63,2,61
"S00142007",128,3,120
"S00142008",133,4,129
"S00142009",107,-,107
"S00142010",130,3,127
"S00142011",93,2,90
"S00142012",116,2,114
"S00142013",88,2,90
"S00142014",108,1,107
"S00142015",66,-,66
"S00142016",105,3,101
"S00142017",106,-,104
"S00142018",120,1,120
"S00142019",58,2,57
"S00142020",125,4,123
"S00142021",92,4,88
"S00142022",84,2,82
"S00142023",88,2,87
"S00142024",77,1,74
"S00142025",90,-,90
"S00142026",112,2,109
"S00142027",113,-,113
"S00142028",81,1,80
"S00142029",164,3,161
"S00142030",121,8,113
"S00142031",75,-,73
"S00142032",97,2,92
"S00142033",68,-,68
"S00142034",77,-,76
"S00142035",96,3,94
"S00142036",101,13,86
"S00142037",90,3,87
"S00142038",117,-,116
"S00142039",70,-,70
"S00142040",80,-,80
"S00142041",96,-,95
"S00142042",117,11,103
"S00142043",104,2,102
"S00142044",85,-,83
"S00142045",85,2,83
"S00142046",142,-,140
"S00142047",75,-,75
"S00142048",60,1,59
"S00142049",118,5,114
"S00142050",81,1,77
"S00142051",129,2,124
"S00142052",142,2,140
"S00142053",67,1,65
"S00142054",104,-,104
"S00142055",104,4,100
"S00142056",63,3,60
"S00142057",85,2,89
"S00142058",73,1,72
"S00142059",64,-,64
"S00142060",108,2,106
"S00142061",146,1,145
"S00142062",98,-,98
"S00142063",126,5,119
"S00142064",96,2,94
"S00142065",91,1,90
"S00142066",79,2,76
"S00142067",107,5,101
"S00142068",101,2,99
"S00142069",116,5,111
"S00142070",109,3,106
"S00142071",167,2,166
"S00142072",133,2,131
"S00142073",95,1,93
"S00142074",130,2,128
"S00142075",184,5,179
"S00142076",77,1,76
"S00142077",66,2,64
"S00142078",128,4,124
"S00142079",101,2,100
"S00142080",113,2,111
"S00142081",98,1,97
"S00142082",88,1,87
"S00142083",75,-,75
"S00142084",156,3,153
"S00142085",64,-,64
"S00142086",80,1,79
"S00142087",60,6,51
"S00142088",123,11,115
"S00142089",103,-,106
"S00142090",91,4,87
"S00142091",63,-,62
"S00142092",62,2,56
"S00142093",134,1,133
"S00142094",158,-,157
"S00142095",61,1,57
"S00142096",464,21,443
"S00142097",116,5,111
"S00142098",141,2,142
"S00142099",89,1,92
"S00142100",62,2,63
"S00142101",156,2,153
"S00142102",111,1,110
"S00142103",143,1,142
"S00142104",107,5,102
"S00142105",75,2,74
"S00142106",72,2,67
"S00142107",155,1,154
"S00142108",122,2,120
"S00142109",149,2,147
"S00142110",67,-,67
"S00142111",115,-,115
"S00142112",109,-,109
"S00142113",98,4,91
"S00142114",81,-,81
"S00142115",79,2,78
"S00142116",71,-,70
"S00142117",102,4,100
"S00142118",119,3,117
"S00142119",109,5,106
"S00142120",91,-,91
"S00142121",123,-,123
"S00142122",109,5,104
"S00142123",86,-,86
"S00142124",106,-,106
"S00142125",104,3,101
"S00142126",108,-,108
"S00142127",133,-,136
"S00142128",117,3,114
"S00142129",173,1,170
"S00142130",116,1,115
"S00142131",92,1,91
"S00142132",82,4,78
"S00142133",86,5,86
"S00142134",96,2,94
"S00142135",58,2,56
"S00142136",84,1,83
"S00142137",61,2,59
"S00142138",87,1,86
"S00142139",70,-,70
"S00142140",85,-,85
"S00142141",130,3,127
"S00142142",123,-,123
"S00142143",72,1,71
"S00142144",60,2,58
"S00142145",82,-,81
"S00142146",87,6,81
"S00142147",99,1,98
"S00142148",213,-,211
"S00142149",116,2,115
"S00142150",64,2,62
"S00142151",173,1,175
"S00142152",145,-,145
"S00142153",133,-,133
"S00142154",106,-,106
"S00142155",81,4,78
"S00142156",85,2,83
"S00142157",114,3,111
"S00142158",113,6,107
"S00142159",69,2,65
"S00142160",154,-,154
"S00142161",97,3,93
"S00142162",157,-,157
"S00142163",83,-,83
"S00142164",157,3,152
"S00142165",88,-,89
"S00142166",84,2,82
"S00142167",106,4,102
"S00142168",125,5,120
"S00142169",130,4,129
"S00142170",139,-,139
"S00142171",91,2,89
"S00142172",94,2,89
"S00142173",116,2,109
"S00142174",128,1,123
"S00142175",104,1,103
"S00142176",113,2,111
"S00142177",116,2,114
"S00142178",128,1,127
"S00142179",61,2,59
"S00142180",82,2,80
"S00142181",77,1,76
"S00142182",89,-,89
"S00142183",99,-,98
"S00142184",78,-,78
"S00142185",167,2,165
"S00142186",111,3,108
"S00142187",127,1,126
"S00142188",120,9,111
"S00142189",61,3,58
"S00142190",95,3,92
"S00142191",113,1,112
"S00142192",83,-,83
"S00142193",91,4,93
"S00142194",130,1,127
"S00142195",96,4,92
"S00142196",111,3,105
"S00142197",77,-,77
"S00142198",156,4,152
"S00142199",60,-,60
"S00142200",141,-,141
"S00142201",110,1,109
"S00142202",123,1,123
"S00142203",61,1,59
"S00142204",100,3,97
"S00142205",101,2,100
"S00142206",74,-,74
"S00142207",85,1,87
"S00142208",104,5,99
"S00142209",111,2,103
"S00142210",109,2,108
"S00142211",67,1,66
"S00142212",89,1,88
"S00142213",130,3,127
"S00142214",90,2,89
"S00142215",129,3,127
"S00142216",109,-,109
"S00142217",89,3,86
"S00142218",100,-,100
"S00142219",94,-,94
"S00142220",79,2,78
"S00142221",67,2,65
"S00142222",96,3,93
"S00142223",345,7,335
"S00142224",92,3,86
"S00142225",101,2,99
"S00142226",89,2,85
"S00142227",122,1,121
"S00142228",112,6,102
"S00142229",144,5,139
"S00142230",57,5,56
"S00142231",73,4,69
"S00142232",164,5,155
"S00142233",66,-,66
"S00142234",70,-,70
"S00142235",111,-,111
"S00142236",116,6,111
"S00142237",149,4,145
"S00142238",66,2,64
"S00142239",115,-,115
"S00142240",91,2,89
"S00142241",153,4,151
"S00142242",69,-,69
"S00142243",108,-,108
"S00142244",112,4,108
"S00142245",104,2,101
"S00142246",133,10,126
"S00142247",77,1,77
"S00142248",63,1,62
"S00142249",109,1,108
"S00142250",158,5,153
"S00142251",95,3,98
"S00142252",101,1,100
"S00142253",93,-,93
"S00142254",161,4,160
"S00142255",162,1,164
"S00142256",97,2,95
"S00142257",94,-,94
"S00142258",83,2,79
"S00142259",117,-,116
"S00142260",59,3,59
"S00142261",99,1,98
"S00142262",84,1,80
"S00142263",116,3,113
"S00142264",182,-,182
"S00142265",115,2,113
"S00142266",64,1,67
"S00142267",83,-,83
"S00142268",106,4,103
"S00142269",93,-,93
"S00142270",95,3,92
"S00142271",103,6,97
"S00142272",109,-,109
"S00142273",107,1,107
"S00142274",137,3,134
"S00142275",105,-,105
"S00142276",61,1,60
"S00142277",154,2,152
"S00142278",77,-,77
"S00142279",88,1,87
"S00142280",104,1,104
"S00142281",88,1,87
"S00142282",73,-,73
"S00142283",81,2,79
"S00142284",120,2,118
"S00142285",474,6,468
"S00142286",84,3,81
"S00142287",71,6,65
"S00142288",75,-,75
"S00142289",155,3,153
"S00142290",105,-,103
"S00142291",71,2,69
"S00142292",123,3,122
"S00142293",124,5,119
"S00142294",100,4,96
"S00142295",87,2,85
"S00142296",78,4,75
"S00142297",87,2,85
"S00142298",87,-,87
"S00142299",60,2,59
"S00142300",76,-,76
"S00142301",124,4,120
"S00142302",108,3,105
"S00142303",72,1,71
"S00142304",97,1,96
"S00142305",68,-,68
"S00142306",82,4,75
"S00142307",77,-,77
"S00142308",142,3,139
"S00142309",230,7,223
"S00142310",73,-,73
"S00142311",119,2,117
"S00142312",120,1,119
"S00142313",72,3,69
"S00142314",122,3,119
"S00142315",92,1,91
"S00142316",89,-,87
"S00142317",90,2,88
"S00142318",113,2,109
"S00142319",68,4,64
"S00142320",107,4,103
"S00142321",92,1,91
"S00142322",139,6,133
"S00142323",92,-,92
"S00142324",77,2,76
"S00142325",105,1,104
"S00142326",129,1,128
"S00142327",109,-,111
"S00142328",135,4,129
"S00142329",97,2,95
"S00142330",126,4,122
"S00142331",65,-,65
"S00142332",91,3,88
"S00142333",164,2,162
"S00142334",99,3,96
"S00142335",119,5,114
"S00142336",79,1,76
"S00142337",175,4,172
"S00142338",104,5,97
"S00142339",113,1,112
"S00142340",148,3,145
"S00142341",63,4,63
"S00142342",76,-,76
"S00142343",67,2,66
"S00142344",109,3,104
"S00142345",119,-,117
"S00142346",123,2,121
"S00142347",157,1,156
"S00142348",174,3,171
"S00142349",114,5,111
"S00142350",134,2,131
"S00142351",143,-,143
"S00142352",84,1,83
"S00142353",82,-,82
"S00142354",261,3,260
"S00142355",95,1,97
"S00142356",68,3,62
"S00142357",119,4,115
"S00142358",107,-,107
"S00142359",102,2,100
"S00142360",168,5,163
"S00142361",171,4,169
"S00142362",119,-,119
"S00142363",141,4,137
"S00142364",104,2,103
"S00142365",104,3,101
"S00142366",104,-,105
"S00142367",142,-,142
"S00142368",76,8,67
"S00142369",170,1,167
"S00142370",92,-,92
"S00142371",122,-,122
"S00142372",146,7,139
"S00142373",98,2,96
"S00142374",105,2,103
"S00142375",154,7,146
"S00142376",101,2,98
"S00142377",86,4,83
"S00142378",107,1,106
"S00142379",112,-,112
"S00142380",152,3,149
"S00142381",115,-,115
"S00142382",166,1,165
"S00142383",118,-,117
"S00142384",93,3,90
"S00142385",64,-,64
"S00142386",77,-,77
"S00142387",101,4,97
"S00142388",104,3,103
"S00142389",88,4,84
"S00142390",119,2,118
"S00142391",111,-,111
"S00142392",106,3,103
"S00142393",71,3,68
"S00142394",64,5,55
"S00142395",82,1,81
"S00142396",74,1,73
"S00142397",100,2,98
"S00142398",126,2,121
"S00142399",92,2,90
"S00142400",117,2,116
"S00142401",79,1,78
"S00142402",113,3,110
"S00142403",110,-,113
"S00142404",127,-,127
"S00142405",79,2,75
"S00142406",103,1,102
"S00142407",100,1,101
"S00142408",102,4,104
"S00142409",69,1,67
"S00142410",188,10,182
"S00142411",104,5,99
"S00142412",77,-,77
"S00142413",72,2,70
"S00142414",97,1,95
"S00142415",133,6,128
"S00142416",85,2,84
"S00142417",150,3,147
"S00142418",102,-,102
"S00142419",54,3,51
"S00142420",82,1,79
"S00142421",94,-,94
"S00142422",91,-,91
"S00142423",77,1,76
"S00142424",78,2,80
"S00142425",155,-,155
"S00142426",114,2,112
"S00142427",93,4,91
"S00142428",108,2,106
"S00142429",158,2,153
"S00142430",184,-,184
"S00142431",134,3,131
"S00142432",103,2,102
"S00142433",108,4,104
"S00142434",72,3,70
"S00142435",64,-,64
"S00142436",67,-,66
"S00142437",96,1,95
"S00142438",68,2,67
"S00142439",106,2,102
"S00142440",137,3,131
"S00142441",127,4,124
"S00142442",115,2,114
"S00142443",90,3,87
"S00142444",130,1,129
"S00142445",98,3,98
"S00142446",100,-,100
"S00142447",172,5,167
"S00142448",78,-,78
"S00142449",116,-,115
"S00142450",98,2,93
"S00142451",236,11,225
"S00142452",335,14,321
"S00142453",101,1,100
"S00142454",89,5,87
"S00142455",112,-,112
"S00142456",76,6,70
"S00142457",95,2,93
"S00142458",102,2,101
"S00142459",102,1,101
"S00142460",64,1,63
"S00142461",102,-,102
"S00142462",93,-,93
"S00142463",105,1,107
"S00142464",140,1,139
"S00142465",108,3,106
"S00142466",94,1,93
"S00142467",118,-,115
"S00142468",58,1,59
"S00142469",142,-,142
"S00142470",77,-,77
"S00142471",74,2,69
"S00142472",134,2,132
"S00142473",87,1,86
"S00142474",77,2,71
"S00142475",134,2,133
"S00142476",103,-,103
"S00142477",113,-,109
"S00142478",197,2,195
"S00142479",86,1,85
"S00142480",108,8,100
"S00142481",113,-,113
"S00142482",167,2,165
"S00142483",134,1,134
"S00142484",73,-,73
"S00142485",96,1,90
"S00142486",96,-,96
"S00142487",88,-,87
"S00142488",122,4,122
"S00142489",124,-,124
"S00142490",101,8,93
"S00142491",90,2,88
"S00142492",109,-,109
"S00142493",84,2,84
"S00142494",72,-,72
"S00142495",108,1,107
"S00142496",78,-,78
"S00142497",81,2,79
"S00142498",120,2,118
"S00142499",94,3,91
"S00142500",81,1,80
"S00142501",123,1,122
"S00142502",64,1,64
"S00142503",95,-,95
"S00142504",70,1,69
"S00142505",85,2,83
"S00142506",73,2,71
"S00142507",86,5,85
"S00142508",114,5,109
"S00142509",108,2,107
"S00142510",120,1,119
"S00142511",82,-,82
"S00142512",75,2,73
"S00142513",61,1,60
"S00142514",119,1,119
"S00142515",67,-,67
"S00142516",83,-,85
"S00142517",97,2,94
"S00142518",110,-,110
"S00142519",121,-,121
"S00142520",102,2,101
"S00142521",100,2,98
"S00142522",66,7,62
"S00142523",106,-,106
"S00142524",137,6,131
"S00142525",80,1,82
"S00142526",89,2,88
"S00142527",188,5,183
"S00142528",92,-,92
"S00142529",87,-,87
"S00142530",82,2,78
"S00142531",89,2,88
"S00142532",115,3,110
"S00142533",58,-,58
"S00142534",122,4,118
"S00142535",61,-,61
"S00142536",100,-,100
"S00142537",86,-,86
"S00142538",119,1,118
"S00142539",98,-,98
"S00142540",92,7,87
"S00142541",63,-,63
"S00142542",77,-,77
"S00142543",65,2,63
"S00142544",254,3,249
"S00142545",270,9,261
"S00142546",95,-,95
"S00142547",116,-,116
"S00142548",110,3,107
"S00142549",71,2,70
"S00142550",81,4,77
"S00142551",112,1,107
"S00142552",71,-,71
"S00142553",85,4,81
"S00142554",93,-,93
"S00142555",94,2,92
"S00142556",112,8,104
"S00142557",115,-,115
"S00142558",62,2,60
"S00142559",131,3,128
"S00142560",70,-,70
"S00142561",60,1,59
"S00142562",96,2,94
"S00142563",69,1,67
"S00142564",112,1,111
"S00142565",75,3,72
"S00142566",169,-,169
"S00142567",137,2,132
"S00142568",84,1,86
"S00142569",90,-,90
"S00142570",71,-,71
"S00142571",75,3,76
"S00142572",111,3,111
"S00142573",76,-,76
"S00142574",103,3,97
"S00142575",145,2,143
"S00142576",149,3,146
"S00142577",83,3,80
"S00142578",77,1,76
"S00142579",96,1,95
"S00142580",68,-,68
"S00142581",101,7,94
"S00142582",154,3,152
"S00142583",96,-,95
"S00142584",113,1,112
"S00142585",91,-,91
"S00142586",107,4,101
"S00142587",72,-,72
"S00142588",115,3,112
"S00142589",97,-,97
"S00142590",126,-,126
"S00142591",93,5,88
"S00142592",146,4,142
"S00142593",95,1,94
"S00142594",129,4,128
"S00142595",112,1,111
"S00142596",80,-,80
"S00142597",108,-,108
"S00142598",76,4,72
"S00142599",77,2,75
"S00142600",97,3,94
"S00142601",59,2,57
"S00142602",159,1,158
"S00142603",145,2,143
"S00142604",111,2,109
"S00142605",91,4,90
"S00142606",172,-,172
"S00142607",107,1,106
"S00142608",139,2,137
"S00142609",72,1,71
"S00142610",102,4,96
"S00142611",98,-,101
"S00142612",121,3,118
"S00142613",68,3,59
"S00142614",83,-,83
"S00142615",145,1,144
"S00142616",157,-,156
"S00142617",120,5,115
"S00142618",72,2,70
"S00142619",71,2,69
"S00142620",95,2,96
"S00142621",92,6,86
"S00142622",168,1,167
"S00142623",159,4,153
"S00142624",175,2,171
"S00142625",85,-,85
"S00142626",82,2,83
"S00142627",143,3,133
"S00142628",63,3,60
"S00142629",79,-,78
"S00142630",85,1,82
"S00142631",86,-,86
"S00142632",80,1,79
"S00142633",127,2,126
"S00142634",74,-,74
"S00142635",74,1,73
"S00142636",63,1,60
"S00142637",77,3,74
"S00142638",86,2,80
"S00142639",81,2,79
"S00142640",118,3,117
"S00142641",84,4,78
"S00142642",128,-,128
"S00142643",97,-,97
"S00142644",99,-,99
"S00142645",86,5,85
"S00142646",100,4,97
"S00142647",86,-,86
"S00142648",180,2,179
"S00142649",72,1,71
"S00142650",101,-,100
"S00142651",93,-,93
"S00142652",115,-,115
"S00142653",117,1,116
"S00142654",94,-,94
"S00142655",132,3,129
"S00142656",78,3,74
"S00142657",61,-,61
"S00142658",83,-,83
"S00142659",95,2,93
"S00142660",111,-,110
"S00142661",124,1,123
"S00142662",85,2,83
"S00142663",71,1,69
"S00142664",84,4,82
"S00142665",86,2,83
"S00142666",97,-,97
"S00142667",71,-,71
"S00142668",83,3,74
"S00142669",100,4,96
"S00142670",100,3,97
"S00142671",77,2,76
"S00142672",122,2,119
"S00142673",94,5,89
"S00142674",88,-,88
"S00142675",91,4,87
"S00142676",98,2,96
"S00142677",102,5,98
"S00142678",74,1,73
"S00142679",59,2,60
"S00142680",85,-,85
"S00142681",110,5,105
"S00142682",77,-,77
"S00142683",74,2,71
"S00142684",115,1,113
"S00142685",133,1,132
"S00142686",76,3,73
"S00142687",120,2,119
"S00142688",84,-,84
"S00142689",124,-,124
"S00142690",145,-,144
"S00142691",76,3,73
"S00142692",101,2,99
"S00142693",77,2,73
"S00142694",96,-,94
"S00142695",89,-,89
"S00142696",80,-,80
"S00142697",105,-,104
"S00142698",136,-,136
"S00142699",86,4,82
"S00142700",114,2,112
"S00142701",103,2,101
"S00142702",134,2,128
"S00142703",74,-,74
"S00142704",84,-,84
"S00142705",73,-,73
"S00142706",332,8,323
"S00142707",132,3,129
"S00142708",82,1,81
"S00142709",69,1,68
"S00142710",75,3,72
"S00142711",63,-,63
"S00142712",81,1,80
"S00142713",92,-,91
"S00142714",99,4,95
"S00142715",63,5,60
"S00142716",83,-,83
"S00142717",57,-,57
"S00142718",141,5,136
"S00142719",95,4,97
"S00142720",89,-,89
"S00142721",126,3,120
"S00142722",96,3,93
"S00142723",116,-,115
"S00142724",110,3,108
"S00142725",98,6,92
"S00142726",96,4,96
"S00142727",108,3,107
"S00142728",63,-,63
"S00142729",89,3,86
"S00142730",77,2,75
"S00142731",65,-,65
"S00142732",88,-,88
"S00142733",77,4,74
"S00142734",65,1,64
"S00142735",154,3,151
"S00142736",141,6,135
"S00142737",150,5,148
"S00142738",102,-,102
"S00142739",59,1,61
"S00142740",162,2,158
"S00142741",84,-,83
"S00142742",110,-,110
"S00142743",132,3,129
"S00142744",91,-,91
"S00142745",81,2,79
"S00142746",98,6,92
"S00142747",79,3,76
"S00142748",101,3,97
"S00142749",90,1,89
"S00142750",87,2,86
"S00142751",106,17,89
"S00142752",99,1,98
"S00142753",65,-,65
"S00142754",131,2,129
"S00142755",173,2,171
"S00142756",158,2,155
"S00142757",64,4,60
"S00142758",151,4,147
"S00142759",123,-,121
"S00142760",103,1,102
"S00142761",66,-,66
"S00142762",111,5,103
"S00142763",129,-,127
"S00142764",113,3,110
"S00142765",132,3,127
"S00142766",102,2,97
"S00142767",96,2,94
"S00142768",477,19,458
"S00142769",106,-,106
"S00142770",67,1,66
"S00142771",94,1,93
"S00142772",144,5,140
"S00142773",79,2,77
"S00142774",72,3,70
"S00142775",102,2,100
"S00142776",81,-,81
"S00142777",88,2,86
"S00142778",78,-,78
"S00142779",78,1,77
"S00142780",96,-,96
"S00142781",110,2,104
"S00142782",64,2,62
"S00142783",84,-,84
"S00142784",83,1,82
"S00142785",129,3,130
"S00142786",101,-,101
"S00142787",108,3,104
"S00142788",96,-,96
"S00142789",101,1,103
"S00142790",87,-,87
"S00142791",131,1,129
"S00142792",132,1,131
"S00142793",95,2,93
"S00142794",112,-,112
"S00142795",102,4,99
"S00142796",123,1,123
"S00142797",103,2,100
"S00142798",67,-,69
"S00142799",108,3,105
"S00142800",74,-,74
"S00142801",77,-,77
"S00142802",146,3,143
"S00142803",108,-,108
"S00142804",141,-,141
"S00142805",64,-,64
"S00142806",103,5,98
"S00142807",116,2,118
"S00142808",131,2,133
"S00142809",85,3,82
"S00142810",112,2,110
"S00142811",100,3,99
"S00142812",118,-,118
"S00142813",136,2,133
"S00142814",121,2,118
"S00142815",63,3,60
"S00142816",110,4,106
"S00142817",198,3,195
"S00142818",85,3,82
"S00142819",121,1,120
"S00142820",87,4,83
"S00142821",157,3,154
"S00142822",93,6,87
"S00142823",85,-,85
"S00142824",85,3,82
"S00142825",123,1,122
"S00142826",59,-,59
"S00142827",109,2,107
"S00142828",119,5,114
"S00142829",85,1,80
"S00142830",108,4,104
