Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00135660",63,63,-
"S00135661",38,38,-
"S00135662",55,51,4
"S00135663",52,47,7
"S00135664",75,74,-
"S00135665",83,72,11
"S00135666",50,47,3
"S00135667",73,69,4
"S00135668",62,60,2
"S00135669",66,60,6
"S00135670",82,80,-
"S00135671",44,39,5
"S00135672",60,59,4
"S00135673",47,41,5
"S00135674",48,45,3
"S00135675",49,42,7
"S00135676",58,55,3
"S00135677",42,42,-
"S00135678",56,55,1
"S00135679",38,37,1
"S00135680",52,46,5
"S00135681",61,59,3
"S00135682",41,43,1
"S00135683",45,43,2
"S00135684",54,50,5
"S00135685",67,64,3
"S00135686",90,79,10
"S00135687",74,73,4
"S00135688",57,51,3
"S00135689",47,44,1
"S00135690",68,65,3
"S00135691",65,66,2
"S00135692",39,38,1
"S00135693",50,44,3
"S00135694",44,38,6
"S00135695",45,44,1
"S00135696",36,36,-
"S00135697",69,67,2
"S00135698",78,77,5
"S00135699",64,58,6
"S00135700",32,32,-
"S00135701",46,45,2
"S00135702",77,73,1
"S00135703",40,40,-
"S00135704",52,50,1
"S00135705",48,48,-
"S00135706",59,59,-
"S00135707",46,46,-
"S00135708",64,64,-
"S00135709",48,48,1
"S00135710",36,35,1
"S00135711",53,49,2
"S00135712",54,52,2
"S00135713",39,39,-
"S00135714",74,71,3
"S00135715",46,42,4
"S00135716",71,69,4
"S00135717",68,64,4
"S00135718",33,32,-
"S00135719",67,65,2
"S00135720",79,71,8
"S00135721",73,67,3
"S00135722",37,37,-
"S00135723",44,41,4
"S00135724",38,35,3
"S00135725",53,52,1
"S00135726",66,66,-
"S00135727",51,55,2
"S00135728",65,62,3
"S00135729",82,76,6
"S00135730",43,39,4
"S00135731",45,42,1
"S00135732",61,52,5
"S00135733",48,48,-
"S00135734",65,59,2
"S00135735",50,46,4
"S00135736",57,56,2
"S00135737",46,48,4
"S00135738",73,71,2
"S00135739",44,43,1
"S00135740",41,36,5
"S00135741",36,38,1
"S00135742",51,47,4
"S00135743",38,39,2
"S00135744",38,33,-
"S00135745",66,62,4
"S00135746",38,36,2
"S00135747",41,39,2
"S00135748",65,57,6
"S00135749",52,55,3
"S00135750",59,58,1
"S00135751",78,74,5
"S00135752",35,35,1
"S00135753",63,62,1
"S00135754",46,44,3
"S00135755",62,59,3
"S00135756",55,52,5
"S00135757",63,62,3
"S00135758",78,70,8
"S00135759",27,27,-
"S00135760",27,27,-
"S00135761",45,47,2
"S00135762",68,61,4
"S00135763",46,46,-
"S00135764",42,37,4
"S00135765",69,65,4
"S00135766",45,42,3
"S00135767",56,53,3
"S00135768",67,62,-
"S00135769",45,42,3
"S00135770",73,69,4
"S00135771",63,62,2
"S00135772",76,70,7
"S00135773",79,79,-
"S00135774",32,30,2
"S00135775",81,81,-
"S00135776",48,46,2
"S00135777",41,41,-
"S00135778",36,34,2
"S00135779",63,59,4
"S00135780",39,38,1
"S00135781",48,45,3
"S00135782",58,56,4
"S00135783",96,94,2
"S00135784",36,34,2
"S00135785",27,27,-
"S00135786",54,55,1
"S00135787",35,31,2
"S00135788",47,45,2
"S00135789",47,46,3
"S00135790",53,52,1
"S00135791",107,105,2
"S00135792",37,37,-
"S00135793",46,46,-
"S00135794",58,57,1
"S00135795",47,46,1
"S00135796",56,53,3
"S00135797",71,67,3
"S00135798",50,49,-
"S00135799",70,68,2
"S00135800",57,52,5
"S00135801",43,43,-
"S00135802",42,41,2
"S00135803",45,44,5
"S00135804",51,46,5
"S00135805",54,51,2
"S00135806",49,44,5
"S00135807",55,55,-
"S00135808",67,61,6
"S00135809",45,45,-
"S00135810",41,41,-
"S00135811",64,63,1
"S00135812",61,60,1
"S00135813",57,53,4
"S00135814",38,36,2
"S00135815",56,51,5
"S00135816",60,55,5
"S00135817",46,40,6
"S00135818",58,56,2
"S00135819",46,46,-
"S00135820",71,69,3
"S00135821",43,38,2
"S00135822",53,47,3
"S00135823",67,65,4
"S00135824",71,64,7
"S00135825",39,35,4
"S00135826",36,35,2
"S00135827",30,23,5
"S00135828",69,65,4
