Scotland's Census 2022 - National Records of Scotland
Table UV902 - UK Armed Forces veterans - Households
All households
,"Total","Household contains no UK Armed Forces veterans","Household contains at least one UK Armed Forces veteran"
"S00162965",43,38,3
"S00162966",68,62,5
"S00162967",34,32,3
"S00162968",67,62,5
"S00162969",54,48,6
"S00162970",34,32,2
"S00162971",48,38,10
"S00162972",55,50,5
"S00162973",63,58,5
"S00162974",56,51,5
"S00162975",28,24,4
"S00162976",38,35,4
"S00162977",59,53,4
"S00162978",58,53,7
"S00162979",41,40,1
"S00162980",80,75,7
"S00162981",64,66,6
"S00162982",38,37,4
"S00162983",58,53,5
"S00162984",51,50,1
"S00162985",39,38,1
"S00162986",65,63,2
"S00162987",65,63,2
"S00162988",40,35,5
"S00162989",68,65,7
"S00162990",71,66,5
"S00162991",54,50,4
"S00162992",37,37,-
"S00162993",51,44,7
"S00162994",43,39,4
"S00162995",47,44,3
"S00162996",59,55,4
"S00162997",48,43,5
"S00162998",81,73,8
"S00162999",82,69,7
"S00163000",41,38,3
"S00163001",46,43,3
"S00163002",29,25,4
"S00163003",43,40,4
"S00163004",53,53,4
"S00163005",67,66,1
"S00163006",48,43,4
"S00163007",37,34,3
"S00163008",68,63,5
"S00163009",60,54,6
"S00163010",72,64,8
"S00163011",77,71,6
"S00163012",59,52,7
"S00163013",93,86,7
"S00163014",77,68,9
"S00163015",33,30,3
"S00163016",65,62,3
"S00163017",42,38,4
"S00163018",60,53,5
"S00163019",76,73,3
"S00163020",63,61,2
"S00163021",75,72,2
"S00163022",34,34,-
"S00163023",45,40,5
"S00163024",73,66,7
"S00163025",66,59,7
"S00163026",50,46,5
"S00163027",59,59,-
"S00163028",46,44,-
"S00163029",53,46,7
"S00163030",74,66,8
"S00163031",38,36,2
"S00163032",44,39,5
"S00163033",34,28,5
"S00163034",60,55,5
"S00163035",62,53,9
"S00163036",60,55,5
"S00163037",85,71,10
"S00163038",57,46,7
"S00163039",47,41,6
"S00163040",44,41,3
"S00163041",39,33,6
"S00163042",55,50,5
"S00163043",53,46,7
"S00163044",61,57,4
"S00163045",81,77,4
"S00163046",49,44,5
"S00163047",73,67,6
"S00163048",46,43,6
"S00163049",41,42,5
"S00163050",42,39,3
"S00163051",56,53,3
"S00163052",76,68,5
"S00163053",45,41,3
"S00163054",59,56,3
"S00163055",64,60,4
"S00163056",89,78,11
"S00163057",53,47,6
"S00163058",48,42,6
"S00163059",61,59,2
"S00163060",59,51,8
"S00163061",76,68,7
"S00163062",52,48,4
"S00163063",57,54,3
"S00163064",49,46,5
"S00163065",69,63,6
"S00163066",41,34,4
"S00163067",58,59,1
"S00163068",55,47,8
"S00163069",50,44,6
"S00163070",50,46,6
"S00163071",54,53,1
"S00163072",55,52,3
"S00163073",49,46,3
"S00163074",62,57,2
"S00163075",72,67,5
"S00163076",51,48,5
"S00163077",38,36,5
"S00163078",51,47,1
"S00163079",55,48,7
"S00163080",47,43,7
"S00163081",64,61,5
"S00163082",51,48,3
"S00163083",70,61,9
"S00163084",63,56,9
"S00163085",74,68,6
"S00163086",47,42,5
"S00163087",81,79,2
"S00163088",40,40,1
"S00163089",57,53,4
"S00163090",42,41,2
"S00163091",56,55,5
"S00163092",69,62,6
"S00163093",72,62,10
"S00163094",34,30,4
"S00163095",64,55,9
"S00163096",75,68,6
"S00163097",68,65,3
"S00163098",56,51,5
"S00163099",48,42,2
"S00163100",81,72,9
"S00163101",77,72,6
"S00163102",76,70,6
"S00163103",95,85,10
"S00163104",41,38,1
"S00163105",67,60,9
"S00163106",34,32,2
"S00163107",54,52,2
"S00163108",76,68,8
"S00163109",53,53,-
"S00163110",70,67,5
"S00163111",48,46,6
"S00163112",71,61,7
"S00163113",64,59,4
"S00163114",36,35,1
"S00163115",77,68,9
"S00163116",66,61,6
"S00163117",39,35,4
"S00163118",54,49,5
"S00163119",54,52,2
"S00163120",68,64,4
"S00163121",58,53,5
"S00163122",55,49,6
"S00163123",79,78,1
"S00163124",61,57,4
"S00163125",76,73,3
"S00163126",40,33,7
"S00163127",70,66,4
"S00163128",45,41,4
"S00163129",60,55,5
"S00163130",66,65,3
"S00163131",34,32,2
"S00163132",65,58,7
"S00163133",46,40,6
"S00163134",54,47,7
"S00163135",41,41,-
"S00163136",48,45,2
"S00163137",76,66,10
"S00163138",76,67,9
"S00163139",51,45,2
"S00163140",79,79,-
"S00163141",72,64,8
"S00163142",63,61,-
"S00163143",39,35,4
"S00163144",56,48,8
"S00163145",57,54,3
"S00163146",77,72,5
"S00163147",60,55,5
"S00163148",73,68,5
"S00163149",60,56,6
"S00163150",66,62,8
"S00163151",27,24,3
"S00163152",62,57,6
"S00163153",87,76,8
"S00163154",76,68,8
"S00163155",31,32,2
"S00163156",47,50,-
"S00163157",51,46,8
"S00163158",57,50,8
"S00163159",70,67,4
"S00163160",61,58,6
"S00163161",67,51,12
"S00163162",67,63,4
"S00163163",38,29,7
"S00163164",85,71,13
"S00163165",51,46,5
"S00163166",49,46,3
"S00163167",34,33,-
"S00163168",51,49,2
"S00163169",38,35,3
"S00163170",41,37,4
"S00163171",68,62,6
"S00163172",43,40,3
"S00163173",72,65,7
"S00163174",32,31,1
"S00163175",69,60,9
"S00163176",61,54,3
"S00163177",72,70,2
"S00163178",39,35,3
"S00163179",75,72,3
"S00163180",43,38,5
"S00163181",82,78,4
"S00163182",72,70,2
"S00163183",70,59,11
"S00163184",65,55,10
"S00163185",69,62,7
"S00163186",48,46,2
"S00163187",70,62,6
"S00163188",63,60,5
"S00163189",52,48,1
"S00163190",67,62,2
"S00163191",64,55,6
"S00163192",46,40,8
"S00163193",44,34,2
"S00163194",67,64,3
"S00163195",30,31,2
"S00163196",63,56,7
"S00163197",61,59,2
"S00163198",60,54,6
"S00163199",49,48,3
"S00163200",54,50,5
"S00163201",70,66,4
"S00163202",64,59,5
"S00163203",37,34,1
"S00163204",68,68,3
"S00163205",66,61,5
"S00163206",63,58,9
"S00163207",51,50,1
"S00163208",48,40,8
"S00163209",78,66,12
"S00163210",43,42,-
"S00163211",39,36,3
"S00163212",62,56,6
"S00163213",69,64,5
"S00163214",63,53,10
"S00163215",46,38,8
"S00163216",56,49,7
"S00163217",58,55,3
"S00163218",60,59,1
"S00163219",71,66,4
"S00163220",73,71,6
"S00163221",42,40,3
"S00163222",77,69,7
"S00163223",56,44,12
"S00163224",48,45,4
"S00163225",78,71,7
"S00163226",43,40,7
"S00163227",32,29,3
"S00163228",85,78,6
"S00163229",67,60,8
"S00163230",57,58,4
"S00163231",69,62,7
"S00163232",64,61,4
"S00163233",65,62,1
"S00163234",50,46,4
"S00163235",81,65,16
"S00163236",34,31,3
"S00163237",42,36,6
"S00163238",44,40,4
"S00163239",73,69,4
"S00163240",52,50,2
"S00163241",48,44,7
"S00163242",53,49,5
"S00163243",51,42,5
"S00163244",64,57,7
"S00163245",54,50,4
"S00163246",61,56,5
"S00163247",60,59,1
"S00163248",54,49,5
"S00163249",51,47,4
"S00163250",41,37,3
"S00163251",49,42,7
"S00163252",32,28,4
"S00163253",37,35,2
"S00163254",38,37,-
"S00163255",45,40,7
"S00163256",55,54,2
"S00163257",70,64,6
"S00163258",49,45,4
"S00163259",44,43,1
"S00163260",71,64,7
"S00163261",42,41,-
"S00163262",48,44,5
"S00163263",54,48,6
"S00163264",42,40,2
"S00163265",38,32,2
"S00163266",61,52,9
"S00163267",61,59,2
"S00163268",39,34,5
"S00163269",36,36,-
"S00163270",54,53,1
"S00163271",66,61,6
"S00163272",53,49,4
"S00163273",60,54,4
"S00163274",72,64,8
"S00163275",62,64,2
"S00163276",37,35,2
"S00163277",38,38,1
"S00163278",74,69,5
"S00163279",80,79,1
"S00163280",43,40,3
"S00163281",47,40,2
"S00163282",54,51,3
"S00163283",41,39,2
"S00163284",72,67,5
"S00163285",45,41,4
"S00163286",36,34,1
"S00163287",42,40,2
"S00163288",52,49,3
"S00163289",49,45,4
"S00163290",59,52,7
"S00163291",57,50,7
"S00163292",77,72,5
"S00163293",37,36,1
"S00163294",54,52,2
"S00163295",44,43,1
"S00163296",47,42,5
"S00163297",48,46,1
"S00163298",64,56,8
"S00163299",54,54,-
"S00163300",39,42,1
"S00163301",40,32,2
"S00163302",44,39,5
"S00163303",49,47,2
"S00163304",34,33,2
"S00163305",75,69,6
"S00163306",40,41,1
"S00163307",77,71,2
"S00163308",53,47,8
"S00163309",47,42,5
"S00163310",49,42,7
"S00163311",59,57,4
"S00163312",57,50,10
"S00163313",54,49,2
"S00163314",64,59,5
"S00163315",67,55,18
"S00163316",60,53,6
"S00163317",63,63,-
"S00163318",38,37,1
"S00163319",52,47,5
"S00163320",61,54,7
"S00163321",54,46,8
"S00163322",58,53,6
"S00163323",53,44,11
"S00163324",72,71,4
"S00163325",38,34,2
"S00163326",49,42,7
"S00163327",56,53,3
"S00163328",61,57,3
"S00163329",33,28,5
"S00163330",72,65,7
"S00163331",63,65,4
"S00163332",47,43,4
"S00163333",36,33,1
"S00163334",29,30,2
"S00163335",57,56,2
"S00163336",43,39,6
"S00163337",74,70,4
"S00163338",49,48,-
"S00163339",56,52,2
"S00163340",70,62,8
"S00163341",44,42,4
"S00163342",48,40,7
"S00163343",55,52,2
"S00163344",45,38,7
"S00163345",72,65,6
"S00163346",73,70,3
"S00163347",57,57,4
"S00163348",47,46,-
"S00163349",42,39,6
"S00163350",55,52,3
"S00163351",36,35,2
"S00163352",45,41,4
"S00163353",59,61,1
"S00163354",42,40,2
"S00163355",44,43,2
"S00163356",62,59,3
"S00163357",46,42,4
"S00163358",47,42,4
"S00163359",60,52,7
"S00163360",59,57,2
"S00163361",46,41,5
"S00163362",43,40,4
"S00163363",79,71,5
"S00163364",67,60,7
"S00163365",59,51,8
"S00163366",41,37,7
"S00163367",52,42,4
"S00163368",29,27,2
"S00163369",61,58,4
"S00163370",64,58,9
"S00163371",52,48,6
"S00163372",67,57,10
"S00163373",49,45,4
"S00163374",40,37,3
"S00163375",59,56,3
"S00163376",41,36,5
"S00163377",36,36,-
"S00163378",28,28,-
"S00163379",46,44,1
"S00163380",74,71,3
"S00163381",65,61,2
"S00163382",46,42,4
"S00163383",46,41,9
"S00163384",68,67,1
"S00163385",45,43,4
"S00163386",46,43,3
"S00163387",42,38,4
"S00163388",80,71,9
"S00163389",38,32,6
"S00163390",75,68,7
"S00163391",41,32,8
"S00163392",73,69,2
"S00163393",48,39,5
"S00163394",60,58,2
"S00163395",63,55,8
"S00163396",77,72,4
"S00163397",65,63,2
"S00163398",43,40,3
"S00163399",43,36,4
"S00163400",70,69,1
"S00163401",45,38,7
"S00163402",62,60,1
"S00163403",48,43,4
"S00163404",61,58,1
"S00163405",40,40,-
"S00163406",30,31,3
"S00163407",83,78,6
"S00163408",77,61,13
"S00163409",62,58,4
"S00163410",35,31,1
"S00163411",78,74,4
"S00163412",74,70,4
"S00163413",57,57,3
"S00163414",51,47,4
"S00163415",70,64,4
"S00163416",31,29,2
"S00163417",66,60,10
"S00163418",73,65,8
"S00163419",40,35,5
"S00163420",61,51,10
"S00163421",35,32,3
"S00163422",37,38,2
"S00163423",43,41,4
"S00163424",82,77,5
"S00163425",40,36,4
"S00163426",41,37,7
"S00163427",62,63,2
"S00163428",50,49,1
"S00163429",61,53,8
"S00163430",44,40,2
"S00163431",47,47,-
"S00163432",52,52,-
"S00163433",58,54,4
"S00163434",55,55,4
"S00163435",68,55,14
"S00163436",49,42,9
"S00163437",38,31,7
"S00163438",70,63,5
"S00163439",55,47,8
"S00163440",64,62,3
"S00163441",51,45,1
"S00163442",66,60,6
"S00163443",39,38,1
"S00163444",43,37,6
"S00163445",51,50,1
"S00163446",71,72,2
"S00163447",41,35,6
"S00163448",72,65,7
"S00163449",48,41,6
"S00163450",34,32,2
"S00163451",42,34,8
"S00163452",53,50,2
"S00163453",36,33,1
"S00163454",34,33,1
"S00163455",47,40,7
"S00163456",27,24,3
"S00163457",55,49,6
"S00163458",46,40,3
"S00163459",44,39,2
"S00163460",40,41,2
"S00163461",31,28,3
"S00163462",43,42,3
"S00163463",46,43,3
"S00163464",50,44,6
"S00163465",45,45,1
"S00163466",81,75,6
"S00163467",36,32,4
"S00163468",59,56,5
"S00163469",57,53,3
"S00163470",77,66,12
"S00163471",43,42,1
"S00163472",41,36,5
"S00163473",42,38,4
"S00163474",42,39,3
"S00163475",47,45,2
"S00163476",57,55,-
"S00163477",43,37,6
"S00163478",53,51,2
"S00163479",68,67,1
"S00163480",46,42,4
"S00163481",34,28,6
"S00163482",78,75,3
"S00163483",54,47,7
"S00163484",62,53,11
"S00163485",33,30,2
"S00163486",40,38,2
"S00163487",50,39,10
"S00163488",57,52,2
"S00163489",42,39,2
"S00163490",62,59,3
"S00163491",70,64,3
"S00163492",51,45,6
"S00163493",50,44,3
"S00163494",32,30,3
"S00163495",35,31,4
"S00163496",57,53,4
"S00163497",53,46,7
"S00163498",31,30,1
"S00163499",47,44,5
"S00163500",42,39,3
"S00163501",51,44,7
"S00163502",62,60,8
"S00163503",54,50,4
"S00163504",46,38,8
"S00163505",38,36,4
"S00163506",40,39,1
"S00163507",50,46,4
"S00163508",53,49,4
"S00163509",73,69,4
"S00163510",69,62,6
"S00163511",56,46,10
"S00163512",51,48,3
"S00163513",70,66,6
"S00163514",35,27,4
"S00163515",48,44,4
"S00163516",52,49,5
"S00163517",67,62,5
"S00163518",38,34,4
"S00163519",60,53,5
"S00163520",39,37,2
"S00163521",65,59,6
"S00163522",65,57,8
"S00163523",47,44,3
"S00163524",75,76,3
"S00163525",48,45,3
"S00163526",72,63,5
"S00163527",79,73,8
"S00163528",69,69,-
"S00163529",74,71,6
"S00163530",46,45,-
"S00163531",71,66,5
"S00163532",70,63,9
"S00163533",59,53,5
"S00163534",34,25,6
"S00163535",45,45,-
"S00163536",78,77,1
"S00163537",70,63,5
"S00163538",50,47,5
"S00163539",68,64,4
"S00163540",43,37,6
"S00163541",47,43,5
"S00163542",45,42,3
"S00163543",39,37,-
"S00163544",66,61,5
"S00163545",53,51,2
"S00163546",65,59,6
"S00163547",48,46,2
"S00163548",87,83,4
"S00163549",66,61,5
"S00163550",72,64,8
"S00163551",77,67,10
"S00163552",43,40,3
"S00163553",44,40,6
"S00163554",34,29,5
"S00163555",43,41,5
"S00163556",44,40,1
"S00163557",61,60,4
"S00163558",44,44,3
"S00163559",39,35,4
"S00163560",51,42,9
"S00163561",68,62,6
"S00163562",48,44,2
"S00163563",37,32,5
"S00163564",31,27,4
"S00163565",63,58,5
"S00163566",46,43,3
"S00163567",39,31,6
"S00163568",67,64,3
"S00163569",48,44,4
"S00163570",48,45,4
"S00163571",39,36,3
"S00163572",69,63,6
"S00163573",40,37,3
"S00163574",42,38,4
"S00163575",69,59,10
"S00163576",41,38,3
"S00163577",65,61,6
"S00163578",57,56,4
"S00163579",63,53,9
"S00163580",58,58,-
"S00163581",78,68,10
"S00163582",36,32,4
"S00163583",74,68,6
"S00163584",61,48,12
"S00163585",44,41,7
"S00163586",41,36,5
"S00163587",77,69,8
"S00163588",46,43,4
"S00163589",29,28,1
"S00163590",59,55,2
"S00163591",35,31,5
"S00163592",57,55,2
"S00163593",43,38,8
"S00163594",40,35,5
"S00163595",42,41,1
"S00163596",44,39,5
"S00163597",68,65,3
"S00163598",46,41,5
"S00163599",54,43,5
"S00163600",39,33,2
"S00163601",56,48,2
"S00163602",46,46,-
"S00163603",39,35,2
"S00163604",64,61,5
"S00163605",63,55,6
"S00163606",54,50,1
"S00163607",44,42,3
"S00163608",28,24,4
"S00163609",28,26,2
"S00163610",65,63,4
"S00163611",66,63,4
"S00163612",47,43,6
"S00163613",52,46,7
"S00163614",61,54,4
"S00163615",35,32,3
"S00163616",43,42,1
"S00163617",51,54,1
"S00163618",42,33,5
"S00163619",43,37,5
"S00163620",56,47,6
"S00163621",51,45,4
"S00163622",62,57,5
"S00163623",51,47,2
"S00163624",56,55,1
"S00163625",59,53,7
"S00163626",71,66,5
"S00163627",34,31,3
"S00163628",47,43,4
"S00163629",44,38,6
"S00163630",76,70,6
"S00163631",67,63,3
"S00163632",65,56,9
"S00163633",45,44,1
"S00163634",52,50,-
"S00163635",67,58,9
"S00163636",79,73,6
"S00163637",49,44,5
"S00163638",71,70,1
"S00163639",63,61,5
"S00163640",58,58,-
"S00163641",49,47,2
"S00163642",46,41,5
"S00163643",54,49,5
"S00163644",43,42,1
"S00163645",59,57,2
"S00163646",41,36,2
"S00163647",36,33,3
"S00163648",80,77,3
"S00163649",61,55,6
"S00163650",50,49,1
"S00163651",63,60,3
"S00163652",47,47,-
"S00163653",72,62,9
"S00163654",74,69,7
"S00163655",51,48,3
"S00163656",33,30,3
"S00163657",69,65,4
"S00163658",49,45,4
"S00163659",34,35,3
"S00163660",41,41,-
"S00163661",50,49,1
"S00163662",49,45,4
"S00163663",66,55,7
"S00163664",75,69,6
"S00163665",80,74,6
"S00163666",72,69,3
"S00163667",63,63,-
"S00163668",59,57,2
"S00163669",67,60,7
"S00163670",77,72,5
"S00163671",70,60,7
"S00163672",33,30,3
"S00163673",79,76,3
"S00163674",59,55,4
"S00163675",68,61,10
"S00163676",67,58,9
"S00163677",27,24,3
"S00163678",76,73,4
"S00163679",34,32,1
"S00163680",46,39,8
"S00163681",34,30,4
"S00163682",61,57,4
"S00163683",39,37,2
"S00163684",55,53,2
"S00163685",60,56,4
"S00163686",42,40,2
"S00163687",52,49,1
"S00163688",44,41,3
"S00163689",53,54,5
"S00163690",47,50,1
"S00163691",41,37,5
"S00163692",72,68,4
"S00163693",61,48,13
"S00163694",33,25,8
"S00163695",57,54,3
"S00163696",75,66,9
"S00163697",32,25,7
"S00163698",43,39,4
"S00163699",59,45,9
"S00163700",55,50,5
"S00163701",59,54,7
"S00163702",81,73,8
"S00163703",68,64,4
"S00163704",77,66,14
"S00163705",63,57,6
"S00163706",79,72,11
"S00163707",34,31,3
"S00163708",59,53,6
"S00163709",72,61,11
"S00163710",58,52,5
"S00163711",40,34,8
"S00163712",29,26,1
"S00163713",67,55,12
"S00163714",36,34,2
"S00163715",61,49,10
"S00163716",47,40,2
"S00163717",39,36,3
"S00163718",50,42,8
"S00163719",66,60,6
"S00163720",52,50,2
"S00163721",53,46,7
"S00163722",72,65,7
"S00163723",80,75,5
"S00163724",46,43,3
"S00163725",51,45,9
"S00163726",34,30,4
"S00163727",29,25,4
"S00163728",33,26,3
"S00163729",77,68,9
"S00163730",72,63,8
"S00163731",44,41,3
"S00163732",57,55,2
"S00163733",63,55,8
"S00163734",78,71,5
"S00163735",72,67,8
"S00163736",74,70,4
"S00163737",48,43,5
"S00163738",47,44,4
"S00163739",61,52,9
"S00163740",60,55,5
"S00163741",49,47,2
"S00163742",51,51,-
"S00163743",58,54,5
"S00163744",75,69,6
"S00163745",79,71,7
"S00163746",29,27,1
"S00163747",50,45,5
"S00163748",34,30,4
"S00163749",54,51,3
"S00163750",62,62,-
"S00163751",78,64,14
"S00163752",53,48,4
"S00163753",62,59,6
"S00163754",78,71,10
"S00163755",51,46,5
"S00163756",40,37,3
"S00163757",52,50,2
"S00163758",63,58,5
"S00163759",73,71,1
"S00163760",50,44,6
"S00163761",44,42,2
"S00163762",45,47,1
"S00163763",51,49,1
"S00163764",78,76,2
"S00163765",67,62,5
"S00163766",38,34,4
"S00163767",32,30,4
"S00163768",38,38,-
"S00163769",43,37,7
"S00163770",56,51,5
"S00163771",53,44,5
"S00163772",39,35,6
"S00163773",43,42,1
"S00163774",55,43,12
"S00163775",50,46,4
"S00163776",77,71,8
"S00163777",30,24,6
"S00163778",60,59,5
"S00163779",41,36,7
"S00163780",52,47,5
"S00163781",37,35,2
"S00163782",52,43,5
"S00163783",74,66,9
"S00163784",43,41,2
"S00163785",32,32,-
"S00163786",59,49,9
"S00163787",81,70,11
"S00163788",67,60,7
"S00163789",48,44,4
"S00163790",52,37,11
"S00163791",71,65,9
"S00163792",71,69,5
"S00163793",45,42,3
"S00163794",51,48,2
"S00163795",47,43,4
"S00163796",67,57,7
"S00163797",52,50,4
"S00163798",61,57,5
"S00163799",81,69,6
"S00163800",54,49,5
"S00163801",44,40,4
"S00163802",54,47,7
"S00163803",97,92,5
"S00163804",62,54,8
"S00163805",74,64,10
"S00163806",62,54,9
"S00163807",90,81,9
"S00163808",66,60,5
"S00163809",49,43,2
"S00163810",67,60,7
"S00163811",30,22,8
"S00163812",76,70,6
"S00163813",56,42,10
"S00163814",36,32,6
"S00163815",49,46,3
"S00163816",56,47,8
"S00163817",29,28,1
"S00163818",43,33,8
"S00163819",42,39,3
"S00163820",48,42,3
"S00163821",40,35,8
"S00163822",48,41,7
"S00163823",57,58,2
"S00163824",56,51,5
"S00163825",68,60,8
"S00163826",32,30,2
"S00163827",57,49,7
"S00163828",60,54,6
"S00163829",35,34,3
"S00163830",31,28,5
"S00163831",48,46,2
"S00163832",40,34,4
"S00163833",38,37,4
"S00163834",38,35,4
"S00163835",39,34,7
"S00163836",66,60,3
"S00163837",73,67,6
"S00163838",53,48,5
"S00163839",54,50,5
"S00163840",45,39,6
"S00163841",70,65,5
"S00163842",32,28,5
"S00163843",49,49,-
"S00163844",52,48,4
"S00163845",68,64,5
"S00163846",29,26,3
"S00163847",36,31,5
"S00163848",44,40,4
"S00163849",55,47,4
"S00163850",52,47,6
"S00163851",43,43,-
"S00163852",48,44,4
"S00163853",38,35,1
"S00163854",79,70,9
"S00163855",62,59,2
"S00163856",79,73,9
"S00163857",44,43,5
"S00163858",37,31,3
"S00163859",67,63,2
"S00163860",41,35,3
"S00163861",80,77,3
"S00163862",66,62,3
"S00163863",56,50,9
"S00163864",70,64,6
"S00163865",59,51,8
"S00163866",41,36,6
"S00163867",36,31,5
"S00163868",36,33,3
"S00163869",80,71,10
"S00163870",44,39,3
"S00163871",46,43,5
"S00163872",78,75,3
"S00163873",66,61,2
"S00163874",63,54,10
"S00163875",49,44,5
"S00163876",31,29,2
"S00163877",64,56,4
"S00163878",50,51,3
"S00163879",28,27,3
"S00163880",35,32,3
"S00163881",67,58,7
"S00163882",47,42,3
"S00163883",44,42,2
"S00163884",51,40,10
"S00163885",49,43,5
"S00163886",31,25,4
"S00163887",70,62,8
"S00163888",33,27,2
"S00163889",31,26,2
"S00163890",78,73,5
"S00163891",89,88,5
"S00163892",46,41,5
"S00163893",47,41,6
"S00163894",53,49,7
"S00163895",71,63,8
"S00163896",71,66,5
"S00163897",70,64,6
"S00163898",57,52,5
"S00163899",64,62,2
"S00163900",56,48,11
"S00163901",46,43,3
"S00163902",67,63,4
"S00163903",37,36,2
"S00163904",59,53,6
"S00163905",34,31,-
"S00163906",46,41,5
"S00163907",71,65,6
"S00163908",81,73,12
"S00163909",55,45,7
"S00163910",72,64,8
"S00163911",32,28,4
"S00163912",42,38,3
"S00163913",63,56,7
"S00163914",48,44,6
"S00163915",60,53,7
"S00163916",47,43,3
"S00163917",65,65,4
"S00163918",30,28,1
"S00163919",47,42,5
"S00163920",50,47,2
"S00163921",61,56,8
"S00163922",66,64,2
"S00163923",38,35,3
"S00163924",48,41,7
"S00163925",58,55,3
"S00163926",36,35,1
"S00163927",72,65,7
"S00163928",60,57,3
"S00163929",46,46,-
"S00163930",37,33,4
"S00163931",38,35,-
"S00163932",63,63,3
"S00163933",57,54,3
"S00163934",32,30,6
"S00163935",86,73,13
"S00163936",38,36,2
"S00163937",55,47,7
"S00163938",52,47,5
"S00163939",60,52,8
"S00163940",71,65,6
"S00163941",69,60,7
"S00163942",79,74,5
"S00163943",40,36,4
"S00163944",71,67,4
"S00163945",43,41,4
"S00163946",70,67,5
"S00163947",80,75,5
"S00163948",90,81,9
"S00163949",65,55,10
"S00163950",66,63,3
"S00163951",84,81,3
"S00163952",43,38,5
"S00163953",59,46,9
"S00163954",55,52,3
"S00163955",66,59,7
"S00163956",56,51,3
"S00163957",82,71,15
"S00163958",45,40,2
"S00163959",74,68,6
"S00163960",52,48,4
"S00163961",49,44,5
"S00163962",47,42,5
"S00163963",77,66,11
"S00163964",57,51,8
"S00163965",79,72,7
"S00163966",36,33,3
"S00163967",46,42,4
"S00163968",70,66,4
"S00163969",60,52,8
"S00163970",34,30,4
"S00163971",42,39,3
"S00163972",50,44,8
"S00163973",36,36,-
"S00163974",52,50,-
"S00163975",47,44,3
"S00163976",55,50,5
"S00163977",55,51,6
"S00163978",42,40,4
"S00163979",58,56,5
"S00163980",50,46,4
"S00163981",32,30,2
"S00163982",33,28,5
"S00163983",47,45,2
"S00163984",53,49,4
"S00163985",58,52,4
"S00163986",49,45,5
"S00163987",44,44,-
"S00163988",71,65,6
"S00163989",44,40,4
"S00163990",45,45,3
"S00163991",75,70,2
"S00163992",36,32,4
"S00163993",46,43,3
"S00163994",52,51,3
"S00163995",44,43,1
"S00163996",59,57,2
"S00163997",60,58,3
"S00163998",54,52,2
"S00163999",65,63,1
"S00164000",50,45,4
"S00164001",64,59,5
"S00164002",41,38,3
"S00164003",76,69,7
"S00164004",41,33,7
"S00164005",55,55,2
"S00164006",38,33,5
"S00164007",67,60,8
"S00164008",72,69,2
"S00164009",71,64,5
"S00164010",69,68,2
"S00164011",76,72,4
"S00164012",78,74,4
"S00164013",62,56,6
"S00164014",30,29,1
"S00164015",39,34,5
"S00164016",57,50,7
"S00164017",51,46,7
"S00164018",67,58,5
"S00164019",56,59,1
"S00164020",65,65,-
"S00164021",78,71,8
"S00164022",64,54,8
"S00164023",50,46,4
"S00164024",36,36,-
"S00164025",55,52,4
"S00164026",63,58,5
"S00164027",63,59,4
"S00164028",33,33,-
"S00164029",42,40,3
"S00164030",56,48,4
"S00164031",41,36,5
"S00164032",77,72,5
"S00164033",53,52,1
"S00164034",33,35,2
"S00164035",57,53,4
"S00164036",32,32,-
"S00164037",45,38,7
"S00164038",61,58,3
"S00164039",67,63,4
"S00164040",53,51,2
"S00164041",52,49,3
"S00164042",46,46,2
"S00164043",41,38,3
"S00164044",75,68,7
"S00164045",48,44,4
"S00164046",48,44,4
"S00164047",78,66,12
"S00164048",50,54,3
"S00164049",36,34,2
"S00164050",45,43,6
"S00164051",44,41,3
"S00164052",70,66,4
"S00164053",73,68,5
"S00164054",60,53,7
"S00164055",89,84,5
"S00164056",87,77,12
"S00164057",52,46,1
"S00164058",30,26,4
"S00164059",47,41,6
"S00164060",37,36,1
"S00164061",56,52,6
"S00164062",41,37,4
"S00164063",44,46,2
"S00164064",52,47,5
"S00164065",53,46,7
"S00164066",39,33,7
"S00164067",43,37,3
"S00164068",54,45,6
"S00164069",43,40,4
"S00164070",47,47,-
"S00164071",50,37,13
"S00164072",91,82,7
"S00164073",36,36,3
"S00164074",68,59,9
"S00164075",67,61,6
"S00164076",55,49,6
"S00164077",76,69,6
"S00164078",54,52,2
"S00164079",45,43,-
"S00164080",56,53,3
"S00164081",66,57,9
"S00164082",49,47,2
"S00164083",38,38,-
"S00164084",34,34,-
"S00164085",60,51,9
"S00164086",69,62,4
"S00164087",33,30,3
"S00164088",54,47,7
"S00164089",54,50,5
"S00164090",55,51,2
"S00164091",58,56,2
"S00164092",36,41,1
"S00164093",42,42,4
"S00164094",72,68,4
"S00164095",71,66,6
"S00164096",55,51,4
"S00164097",41,38,2
"S00164098",56,53,3
"S00164099",56,55,-
"S00164100",58,56,2
"S00164101",74,74,4
"S00164102",84,78,2
"S00164103",77,74,3
"S00164104",53,50,4
"S00164105",55,53,2
"S00164106",57,51,6
"S00164107",46,45,1
"S00164108",26,24,3
"S00164109",65,60,5
"S00164110",53,49,6
"S00164111",41,40,2
"S00164112",44,35,4
"S00164113",78,73,5
"S00164114",47,43,5
"S00164115",80,78,2
"S00164116",57,55,2
"S00164117",75,74,1
"S00164118",36,33,1
"S00164119",44,45,-
"S00164120",55,60,3
"S00164121",49,44,4
"S00164122",58,55,3
"S00164123",36,33,2
