Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV601 - Economic activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 and over,Economically Active (excluding full time students) - Total,Economically Active (excluding full-time students) - Employee - Total,Economically Active (excluding full-time students) - Employee - Part-time,Economically Active (excluding full-time students) - Employee - Full-time,Economically Active (excluding full-time students) - Self-employed with employees - Total,Economically Active (excluding full-time students) - Self-employed with employees - Part-time,Economically Active (excluding full-time students) - Self-employed with employees - Full-time,Economically Active (excluding full-time students) - Self-employed without employees - Total,Economically Active (excluding full-time students) - Self-employed without employees - Part-time,Economically Active (excluding full-time students) - Self-employed without employees - Full-time,Economically Active (excluding full-time students) - Unemployed - Available for work,Economically Active full-time students - Total,Economically Active full-time students - Employee - Total,Economically Active full-time students - Employee - Part-time,Economically Active full-time students - Employee - Full-time,Economically Active full-time students - Self-employed with employees - Total,Economically Active full-time students - Self-employed with employees - Part-time,Economically Active full-time students - Self-employed with employees - Full-time,Economically Active full-time students - Self-employed without employees - Total,Economically Active full-time students - Self-employed without employees - Part-time,Economically Active full-time students - Self-employed without employees - Full-time,Economically Active full-time students - Unemployed - Available for work,Economically Inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00135433,110,57,49,18,31,-,-,-,6,-,6,1,1,2,2,-,-,-,-,2,2,-,-,50,42,2,4,-,2
S00135434,103,33,30,14,16,2,1,1,1,1,1,1,3,3,3,-,-,-,-,-,-,-,-,64,57,1,2,4,1
S00135435,71,31,26,2,23,1,-,1,3,-,3,1,1,1,1,-,-,-,-,-,-,-,-,39,37,1,1,-,-
S00135436,90,49,43,8,35,-,-,-,2,-,2,2,4,4,3,1,-,-,-,-,-,-,-,41,33,1,3,1,3
S00135437,102,70,66,16,50,-,-,-,4,4,1,1,2,2,2,-,-,-,-,-,-,-,-,25,11,1,4,8,1
S00135438,66,45,36,10,26,4,-,4,4,-,3,2,-,-,-,-,-,-,-,-,-,-,-,25,15,-,1,2,-
S00135439,80,39,35,9,26,-,-,-,3,1,2,1,-,-,-,-,-,-,-,-,-,-,-,41,35,-,2,-,4
S00135440,113,52,44,11,30,-,-,-,6,-,3,4,5,5,2,1,-,-,-,-,-,-,-,58,46,4,4,4,-
S00135441,110,65,52,9,43,-,-,-,11,5,6,-,4,3,3,-,-,-,-,-,-,-,2,43,35,1,5,-,-
S00135442,67,11,5,-,5,2,-,1,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,56,47,-,2,6,-
S00135443,84,60,53,9,44,-,-,-,6,-,3,-,4,4,3,1,-,-,-,-,-,-,-,25,19,1,1,1,1
S00135444,71,62,60,7,57,1,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,8,1,6,-,-,-
S00135445,120,68,59,18,37,2,-,2,7,4,5,2,3,1,1,-,-,-,-,-,-,-,1,49,42,-,2,4,2
S00135446,129,54,42,13,29,2,-,2,5,1,4,6,3,2,1,1,-,-,-,2,-,2,-,72,68,-,3,1,5
S00135447,111,79,66,14,52,2,1,1,8,4,6,1,6,6,6,-,-,-,-,-,-,-,-,24,13,3,4,3,1
S00135448,109,99,92,19,71,1,-,1,4,2,2,2,-,-,-,-,-,-,-,-,-,-,-,10,3,-,5,1,-
S00135449,95,17,17,1,13,-,-,-,1,-,1,-,2,2,2,-,-,-,-,-,-,-,-,76,68,-,-,7,1
S00135450,85,25,20,6,14,-,-,-,3,-,3,4,4,4,4,-,-,-,-,-,-,-,-,58,51,3,-,4,-
S00135451,68,28,20,5,23,1,1,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,40,34,4,3,2,2
S00135452,57,31,27,5,26,1,1,-,-,-,-,2,1,1,1,-,-,-,-,-,-,-,-,25,9,-,-,10,1
S00135453,93,71,67,8,56,-,-,-,2,-,2,1,2,2,2,-,-,-,-,-,-,-,-,20,10,2,2,4,1
S00135454,95,80,72,8,64,-,-,-,7,5,2,2,1,1,-,1,-,-,-,-,-,-,-,14,12,2,3,1,-
S00135455,95,58,47,7,43,4,1,1,7,2,4,1,5,3,1,1,-,-,-,-,-,-,1,34,29,1,1,2,-
S00135456,72,47,45,11,37,-,-,-,1,-,1,1,2,2,-,2,-,-,-,-,-,-,-,26,17,1,2,3,-
S00135457,61,28,24,4,17,-,-,-,4,2,1,-,1,1,-,1,-,-,-,-,-,-,-,32,26,-,-,3,-
S00135458,65,53,49,11,38,-,-,-,2,2,-,2,1,1,-,1,-,-,-,-,-,-,-,11,4,2,-,-,2
S00135459,113,57,40,8,34,2,-,2,9,4,7,5,2,2,2,-,-,-,-,-,-,-,-,52,44,-,1,4,3
S00135460,106,46,40,8,32,-,-,-,4,-,4,4,5,5,4,1,-,-,-,-,-,-,-,55,43,4,3,4,1
S00135461,104,57,52,15,39,-,-,-,5,1,1,-,9,5,5,-,-,-,-,-,-,-,4,38,31,2,-,-,-
S00135462,132,81,70,22,52,-,-,-,2,-,2,2,2,-,-,-,-,-,-,-,-,-,2,52,39,4,1,1,6
S00135463,129,72,65,17,50,-,-,-,7,3,4,-,2,2,2,-,-,-,-,-,-,-,-,55,42,5,4,-,6
S00135464,91,61,53,8,45,2,-,2,6,3,4,1,2,2,2,-,-,-,-,-,-,-,-,28,20,1,3,1,2
S00135465,96,49,46,11,35,-,-,-,-,-,-,2,4,4,4,-,-,-,-,-,-,-,-,43,38,-,-,4,-
S00135466,87,59,50,10,40,2,-,2,8,-,6,-,3,3,1,1,-,-,-,-,-,-,-,25,25,1,-,-,-
S00135467,80,51,47,18,29,-,-,-,4,1,3,-,4,3,3,-,-,-,-,1,1,-,-,25,20,2,1,2,-
S00135468,68,61,57,5,52,-,-,-,3,2,2,1,4,2,2,-,-,-,-,-,-,-,2,3,1,1,-,1,-
S00135469,113,48,40,10,30,-,-,-,4,1,4,4,1,1,1,-,-,-,-,-,-,-,-,64,56,3,2,3,1
S00135470,112,78,65,23,47,2,-,2,8,1,7,2,2,2,2,-,-,-,-,-,-,-,-,33,27,-,4,-,-
S00135471,124,76,72,11,61,-,-,-,2,2,-,5,7,5,5,-,-,-,-,-,-,-,1,38,24,8,4,5,-
S00135472,130,70,60,19,41,-,-,-,8,2,5,-,5,4,4,-,-,-,-,-,-,-,-,51,39,1,5,7,-
S00135473,103,61,53,12,41,2,-,2,6,1,5,-,4,4,4,-,-,-,-,-,-,-,-,38,28,1,1,4,2
S00135474,89,66,62,10,52,1,-,1,2,2,-,-,3,3,3,-,-,-,-,-,-,-,-,20,11,3,4,1,2
S00135475,81,52,46,11,35,-,-,-,6,3,3,-,3,3,3,-,-,-,-,-,-,-,-,30,22,3,2,2,-
S00135476,90,49,46,11,35,-,-,-,1,1,-,2,2,2,2,-,-,-,-,-,-,-,-,43,40,2,1,2,-
S00135477,94,77,64,10,54,4,3,2,8,3,5,1,2,2,2,-,-,-,-,-,-,-,-,16,10,3,1,2,1
S00135478,91,21,16,4,12,1,-,1,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,70,57,3,-,10,1
S00135479,111,71,59,15,44,2,-,2,6,1,5,2,2,2,2,-,-,-,-,-,-,-,-,40,30,2,6,1,1
S00135480,109,72,61,10,47,2,-,2,8,1,6,3,1,-,-,-,-,-,-,-,-,-,1,36,34,-,3,-,5
S00135481,114,44,35,9,26,1,-,1,6,-,4,4,4,4,4,-,-,-,-,-,-,-,-,66,56,-,4,3,1
