Scotland's Census 2022 - National Records of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table UV601 - Economic activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people aged 16 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people aged 16 and over,Economically Active (excluding full time students) - Total,Economically Active (excluding full-time students) - Employee - Total,Economically Active (excluding full-time students) - Employee - Part-time,Economically Active (excluding full-time students) - Employee - Full-time,Economically Active (excluding full-time students) - Self-employed with employees - Total,Economically Active (excluding full-time students) - Self-employed with employees - Part-time,Economically Active (excluding full-time students) - Self-employed with employees - Full-time,Economically Active (excluding full-time students) - Self-employed without employees - Total,Economically Active (excluding full-time students) - Self-employed without employees - Part-time,Economically Active (excluding full-time students) - Self-employed without employees - Full-time,Economically Active (excluding full-time students) - Unemployed - Available for work,Economically Active full-time students - Total,Economically Active full-time students - Employee - Total,Economically Active full-time students - Employee - Part-time,Economically Active full-time students - Employee - Full-time,Economically Active full-time students - Self-employed with employees - Total,Economically Active full-time students - Self-employed with employees - Part-time,Economically Active full-time students - Self-employed with employees - Full-time,Economically Active full-time students - Self-employed without employees - Total,Economically Active full-time students - Self-employed without employees - Part-time,Economically Active full-time students - Self-employed without employees - Full-time,Economically Active full-time students - Unemployed - Available for work,Economically Inactive - Total,Economically inactive - Retired,Economically inactive - Student,Economically inactive - Looking after home/ family,Economically inactive - Long term sick or disabled,Economically inactive - Other
S00162110,112,52,45,15,30,-,-,-,6,3,2,3,-,-,-,-,-,-,-,-,-,-,-,60,44,2,3,6,5
S00162111,109,57,38,16,22,5,-,5,14,9,11,-,1,1,1,-,-,-,-,-,-,-,-,55,42,1,2,6,-
S00162112,59,31,26,6,20,-,-,-,1,-,1,5,1,1,-,1,-,-,-,-,-,-,-,27,9,6,5,5,2
S00162113,68,45,39,11,28,1,-,1,4,-,4,-,3,3,3,-,-,-,-,-,-,-,-,20,10,-,1,5,3
S00162114,100,58,52,20,32,1,-,1,3,2,1,3,2,2,2,-,-,-,-,-,-,-,-,40,27,1,4,5,-
S00162115,93,48,44,9,35,-,-,-,4,1,3,-,3,2,-,2,-,-,-,1,1,-,-,43,21,1,3,14,4
S00162116,93,60,56,14,42,2,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,33,19,1,5,1,2
S00162117,84,59,54,14,36,-,-,-,2,1,-,3,1,1,1,-,-,-,-,-,-,-,-,24,22,-,1,1,3
S00162118,129,79,68,20,45,2,1,1,6,2,1,3,1,1,1,-,-,-,-,-,-,-,-,47,36,3,1,2,4
S00162119,68,20,12,6,9,2,-,2,3,-,3,-,2,1,1,-,-,-,-,1,-,1,-,46,36,1,3,5,2
S00162120,135,89,69,12,57,5,-,5,12,5,6,4,5,2,2,1,-,-,-,-,-,-,2,41,29,-,6,6,-
S00162121,95,51,46,13,33,-,-,-,2,1,2,5,3,2,2,-,-,-,-,1,1,-,-,41,28,2,3,4,4
S00162122,93,62,56,18,35,2,-,2,4,2,3,1,3,3,2,1,-,-,-,-,-,-,-,25,16,2,1,6,3
S00162123,94,54,47,19,28,1,-,1,5,2,3,5,3,3,3,-,-,-,-,-,-,-,-,33,20,1,4,4,4
S00162124,72,41,34,14,23,-,-,-,5,1,4,2,-,-,-,-,-,-,-,-,-,-,-,29,24,2,4,-,-
S00162125,98,38,36,13,23,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,60,47,-,6,6,1
S00162126,70,31,25,9,16,-,-,-,4,3,2,-,4,4,3,1,-,-,-,-,-,-,-,35,21,3,2,2,7
S00162127,113,68,60,20,39,1,-,1,7,4,3,1,4,4,4,-,-,-,-,-,-,-,-,41,7,5,4,11,14
S00162128,102,44,39,10,29,-,-,-,5,1,2,2,6,6,6,-,-,-,-,-,-,-,-,54,22,5,-,19,8
S00162129,106,52,47,16,31,1,-,1,1,-,1,3,2,1,1,-,-,-,-,-,-,-,1,52,22,4,5,14,4
S00162130,79,32,30,11,19,1,1,-,-,-,-,2,2,2,2,-,-,-,-,-,-,-,-,43,30,4,-,7,3
S00162131,60,34,29,9,19,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,26,12,-,-,11,2
S00162132,91,61,54,11,45,-,-,-,6,1,2,1,-,-,-,-,-,-,-,-,-,-,-,29,22,3,2,2,-
S00162133,105,75,60,20,40,2,1,1,7,-,6,6,4,1,1,-,-,-,-,1,-,1,-,28,19,-,1,6,3
S00162134,56,36,31,9,18,-,-,-,5,3,4,-,-,-,-,-,-,-,-,-,-,-,-,20,21,-,1,-,-
S00162135,125,71,56,14,41,3,-,3,13,4,9,-,-,-,-,-,-,-,-,-,-,-,-,54,39,3,7,4,-
S00162136,101,69,52,11,41,6,-,6,8,3,8,-,1,1,1,-,-,-,-,-,-,-,-,31,22,5,1,1,2
S00162137,73,45,41,8,33,1,-,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,28,24,2,2,1,-
S00162138,90,46,38,14,24,1,-,1,6,3,3,1,8,8,8,-,-,-,-,-,-,-,-,36,14,4,9,9,5
S00162139,78,59,55,19,43,1,2,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,15,7,-,2,4,4
S00162140,72,37,27,7,17,-,-,-,7,6,3,1,-,-,-,-,-,-,-,-,-,-,-,31,21,2,3,2,-
S00162141,95,61,55,16,41,2,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,33,24,3,2,2,2
S00162142,81,43,39,11,28,-,-,-,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-,37,35,2,2,-,-
S00162143,68,44,37,11,26,1,1,-,3,-,3,2,2,2,-,2,-,-,-,-,-,-,-,23,16,1,4,-,-
S00162144,169,88,71,14,52,6,2,4,12,2,8,3,1,1,-,1,-,-,-,-,-,-,-,79,57,6,4,7,6
S00162145,123,74,48,12,36,4,1,4,19,7,12,3,-,-,-,-,-,-,-,-,-,-,-,49,37,1,5,4,4
S00162146,114,63,50,12,38,4,-,2,8,2,6,-,1,-,-,-,-,-,-,1,-,1,-,50,35,4,3,3,3
S00162147,135,88,73,16,57,4,-,4,10,3,7,-,5,2,2,-,-,-,-,-,-,-,1,47,37,5,4,2,-
S00162148,116,75,55,8,47,5,2,3,15,2,11,-,-,-,-,-,-,-,-,-,-,-,-,41,30,4,5,5,1
S00162149,104,61,44,25,19,-,-,-,16,11,7,1,2,2,-,2,-,-,-,-,-,-,-,42,34,-,1,4,1
S00162150,100,51,34,11,23,6,-,6,10,2,8,1,3,3,1,2,-,-,-,-,-,-,-,46,27,2,6,5,5
S00162151,120,58,38,11,27,4,-,4,16,5,11,-,1,1,1,-,-,-,-,-,-,-,-,61,41,4,3,11,2
S00162152,95,42,30,7,23,1,-,1,8,4,7,-,3,1,-,1,-,-,-,1,-,1,-,51,36,4,2,4,8
S00162153,109,57,47,11,36,-,-,2,5,2,3,3,2,2,-,2,-,-,-,-,-,-,-,51,39,1,-,10,-
S00162154,81,43,32,8,24,1,-,1,9,2,5,1,-,-,-,-,-,-,-,-,-,-,-,38,32,3,2,2,1
S00162155,54,35,19,5,17,2,1,2,10,3,7,-,-,-,-,-,-,-,-,-,-,-,-,19,13,1,2,2,-
S00162156,65,38,32,10,22,-,-,-,5,-,5,-,2,2,-,2,-,-,-,-,-,-,-,27,17,2,-,6,2
S00162157,104,49,30,10,20,1,-,1,15,2,13,3,-,-,-,-,-,-,-,-,-,-,-,55,37,4,5,7,2
S00162158,121,63,38,14,25,5,1,4,15,7,8,4,4,4,3,-,-,-,-,-,-,-,-,54,42,4,-,3,1
S00162159,134,85,70,20,50,2,-,2,11,2,6,2,2,-,-,-,-,-,-,-,-,-,2,44,35,-,9,4,-
S00162160,117,56,49,21,28,3,-,3,5,1,4,-,7,7,8,1,-,-,-,-,-,-,-,54,33,1,7,9,7
S00162161,102,63,43,12,31,3,-,3,16,10,8,-,-,2,2,-,-,-,-,-,-,-,1,40,21,3,-,10,3
S00162162,87,54,32,13,19,8,-,8,15,1,14,4,-,-,-,-,-,-,-,-,-,-,-,35,25,4,3,4,-
S00162163,102,56,41,12,29,4,-,4,9,4,4,2,2,2,-,2,-,-,-,-,-,-,-,44,36,-,4,3,2
S00162164,91,60,47,10,37,6,1,5,8,2,5,-,2,2,1,1,-,-,-,-,-,-,-,29,23,-,3,-,2
S00162165,85,41,28,6,20,2,1,4,3,1,3,2,3,3,3,-,-,-,-,-,-,-,1,44,31,1,3,9,-
S00162166,67,42,36,8,28,4,-,4,4,-,4,-,4,4,4,-,-,-,-,-,-,-,-,20,15,4,-,2,1
S00162167,88,49,40,16,28,2,-,2,8,1,8,-,3,3,3,-,-,-,-,-,-,-,-,36,22,4,4,5,1
S00162168,114,64,46,13,33,1,-,1,16,2,15,-,1,-,-,-,-,-,-,-,-,-,1,49,35,3,2,4,3
S00162169,125,67,55,18,35,4,-,4,9,3,6,4,-,-,-,-,-,-,-,-,-,-,-,57,43,1,3,6,-
S00162170,75,42,33,10,23,4,-,4,6,1,4,-,2,2,2,-,-,-,-,-,-,-,-,31,22,4,3,3,1
S00162171,99,61,57,12,41,1,1,2,3,1,-,2,2,1,-,1,-,-,-,-,-,-,1,36,23,3,3,6,-
S00162172,71,44,40,12,25,3,-,3,4,1,2,1,1,-,-,-,-,-,-,1,1,-,-,25,23,-,2,-,1
S00162173,60,39,32,11,23,1,-,1,5,-,5,1,-,-,-,-,-,-,-,-,-,-,-,22,16,-,2,2,2
S00162174,141,79,54,16,38,6,-,6,18,4,9,3,1,1,1,-,-,-,-,-,-,-,-,61,42,2,8,1,2
S00162175,86,52,42,7,35,3,-,3,4,2,5,-,1,1,1,-,-,-,-,-,-,-,-,36,29,1,2,2,2
S00162176,104,59,49,8,41,1,-,1,5,5,3,4,2,2,2,-,-,-,-,-,-,-,-,43,20,4,5,10,4
S00162177,140,74,64,21,43,2,-,2,9,3,5,-,1,-,-,-,1,1,-,-,-,-,-,67,47,4,6,5,3
S00162178,139,81,69,12,59,5,-,5,6,-,5,2,3,3,2,-,-,-,-,-,-,-,-,55,48,4,1,2,-
S00162179,128,69,60,11,49,-,-,-,3,2,3,4,6,6,6,-,-,-,-,-,-,-,-,55,42,4,3,6,7
S00162180,67,40,35,10,28,1,-,1,2,-,2,2,2,2,2,-,-,-,-,-,-,-,-,19,14,2,2,1,3
S00162181,134,94,67,16,51,6,-,6,17,2,15,4,2,2,1,1,-,-,-,-,-,-,-,38,21,4,4,5,4
S00162182,63,35,19,7,11,4,1,3,12,-,10,-,-,-,-,-,-,-,-,-,-,-,-,22,17,-,-,1,3
S00162183,91,60,47,19,32,4,-,4,8,3,5,3,1,1,1,-,-,-,-,-,-,-,-,30,23,1,2,1,4
S00162184,130,91,74,23,53,-,-,-,15,6,9,-,2,2,2,-,-,-,-,-,-,-,-,37,28,2,3,2,4
S00162185,130,95,69,34,37,-,-,-,20,5,13,3,-,-,-,-,-,-,-,-,-,-,-,38,24,3,2,5,4
S00162186,131,78,52,14,38,3,-,3,25,5,18,-,3,3,3,-,-,-,-,-,-,-,-,50,38,4,4,3,2
S00162187,121,80,60,20,43,3,-,1,14,3,11,4,2,2,2,-,-,-,-,-,-,-,-,41,25,-,6,5,2
S00162188,86,40,37,10,25,1,-,1,5,3,2,1,1,1,-,1,-,-,-,-,-,-,-,42,32,2,4,8,1
S00162189,90,58,55,12,39,-,-,-,4,2,2,1,3,2,2,-,-,-,-,-,-,-,1,30,19,6,3,2,2
S00162190,123,76,61,29,35,-,-,-,11,1,8,3,3,3,2,1,-,-,-,-,-,-,-,44,32,2,2,4,4
S00162191,84,36,29,8,21,3,1,1,4,-,4,1,-,-,1,1,-,-,-,-,-,-,-,45,32,4,1,7,1
S00162192,96,60,41,12,26,2,-,2,24,8,12,-,1,1,-,1,-,-,-,-,-,-,-,39,24,2,4,4,2
S00162193,123,75,64,14,46,2,-,2,2,-,2,7,-,-,-,-,-,-,-,-,-,-,-,48,22,-,8,7,9
S00162194,141,97,83,25,56,7,-,7,9,3,4,-,1,1,1,-,-,-,-,-,-,-,-,45,31,6,2,-,4
S00162195,115,73,51,18,33,1,-,1,18,5,15,4,4,3,2,2,-,-,-,-,-,-,1,41,33,3,2,-,4
S00162196,90,52,43,10,32,4,-,4,6,3,3,-,2,2,2,-,-,-,-,-,-,-,-,35,21,-,6,5,2
S00162197,148,93,82,23,59,2,-,2,7,5,2,2,1,1,1,-,-,-,-,-,-,-,1,53,36,6,4,4,3
S00162198,96,53,42,9,29,4,-,4,4,-,4,3,-,-,-,-,-,-,-,-,-,-,-,44,25,3,3,13,4
S00162199,90,45,41,13,28,1,-,1,2,-,2,1,2,2,2,-,-,-,-,-,-,-,-,44,32,-,-,7,2
S00162200,79,42,37,11,29,1,-,2,2,-,2,1,1,-,-,-,-,-,-,-,-,-,1,36,19,1,-,9,4
S00162201,83,44,40,12,28,1,-,1,4,2,2,1,3,2,2,-,-,-,-,-,-,-,-,33,18,2,2,10,4
S00162202,111,69,44,7,37,6,1,5,17,7,7,2,2,2,2,-,-,-,-,-,-,-,-,40,18,5,7,6,2
S00162203,54,30,25,9,16,2,1,-,1,1,-,2,2,2,2,-,-,-,-,-,-,-,-,23,19,-,2,-,-
S00162204,86,44,40,8,32,-,-,-,-,-,-,4,3,3,1,1,-,-,-,-,-,-,-,40,21,4,5,5,5
S00162205,103,42,34,8,26,-,1,1,1,1,-,3,-,-,-,-,-,-,-,-,-,-,-,61,44,3,2,11,2
S00162206,81,44,35,11,24,3,-,2,3,2,1,3,2,1,1,-,-,-,-,-,-,-,1,35,18,1,6,11,-
S00162207,100,72,68,16,50,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,28,22,1,1,2,2
S00162208,84,41,32,10,20,4,-,4,4,2,3,2,4,2,2,-,-,-,-,-,-,-,2,41,21,3,2,10,4
S00162209,115,71,58,25,35,8,1,4,4,4,-,4,-,-,-,-,-,-,-,-,-,-,-,44,20,3,4,8,7
S00162210,85,44,44,16,26,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,41,29,1,2,4,4
S00162211,68,41,25,3,21,-,-,-,7,5,2,7,1,1,-,1,-,-,-,-,-,-,-,26,9,1,7,9,-
S00162212,92,50,37,11,26,1,1,3,6,3,2,4,1,-,-,-,-,-,-,-,-,-,1,41,27,2,6,5,4
S00162213,73,36,30,10,20,-,-,-,2,1,1,4,-,-,-,-,-,-,-,-,-,-,-,37,17,-,4,16,4
S00162214,87,48,44,17,27,-,-,-,1,-,1,1,2,1,-,1,-,-,-,-,-,-,1,37,20,2,7,3,5
S00162215,79,44,40,9,29,1,-,1,7,4,5,-,1,1,1,-,-,-,-,-,-,-,-,31,25,-,2,-,1
S00162216,60,43,31,12,19,5,1,4,4,1,2,3,1,-,-,-,-,-,-,-,-,-,1,16,8,-,-,4,2
S00162217,115,81,77,27,50,2,-,2,2,-,2,-,2,2,2,-,-,-,-,-,-,-,-,32,23,1,3,5,-
S00162218,109,61,53,9,39,-,-,-,4,2,5,1,2,2,2,-,-,-,-,-,-,-,-,47,26,3,7,10,-
S00162219,127,82,65,13,51,8,-,8,8,-,7,1,3,3,3,-,-,-,-,-,-,-,-,42,28,7,5,2,4
S00162220,108,46,37,12,26,2,-,2,7,-,2,3,-,-,-,-,-,-,-,-,-,-,-,62,46,2,3,10,1
S00162221,60,36,30,10,20,-,-,-,4,1,3,1,2,2,2,-,-,-,-,-,-,-,-,19,15,1,1,1,1
S00162222,125,43,33,6,27,3,-,3,4,3,2,2,1,1,1,-,-,-,-,-,-,-,-,81,69,2,2,1,6
S00162223,149,106,96,27,69,1,-,1,7,1,5,2,2,1,1,-,-,-,-,-,-,-,1,41,35,1,1,2,2
S00162224,84,42,35,9,26,2,-,2,5,4,2,-,3,3,3,-,-,-,-,-,-,-,-,40,26,1,2,4,6
S00162225,53,35,27,8,19,1,-,1,3,-,3,4,-,-,-,-,-,-,-,-,-,-,-,18,4,4,3,5,2
S00162226,64,43,36,4,32,3,-,3,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,20,12,3,2,-,2
S00162227,131,76,60,15,45,4,4,2,10,5,4,3,3,3,3,-,-,-,-,-,-,-,-,53,39,3,5,-,4
S00162228,59,39,28,2,28,2,-,2,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,21,13,-,1,3,5
S00162229,73,40,33,13,20,3,-,3,4,-,4,-,1,1,1,-,-,-,-,-,-,-,-,32,24,1,2,6,1
S00162230,75,41,37,15,22,1,1,-,2,-,2,3,1,1,1,-,-,-,-,-,-,-,-,31,21,-,2,5,3
S00162231,113,78,63,16,47,7,-,7,7,2,5,-,2,2,2,-,-,-,-,-,-,-,-,34,21,3,3,7,-
S00162232,91,36,31,15,16,1,1,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,54,37,2,1,11,2
S00162233,79,39,31,9,22,2,-,2,4,-,4,3,4,2,2,-,-,-,-,-,-,-,4,37,26,-,5,5,-
S00162234,108,72,65,16,45,2,-,2,4,1,3,1,3,3,2,1,-,-,-,-,-,-,-,33,28,-,1,4,2
S00162235,99,60,51,17,34,2,-,2,7,3,4,-,3,3,3,-,-,-,-,-,-,-,-,36,27,5,1,-,2
S00162236,67,32,31,10,21,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,1,-,2,32,20,-,1,4,7
S00162237,59,43,39,9,26,2,-,2,4,-,4,2,1,1,1,-,-,-,-,-,-,-,-,15,10,-,2,1,4
S00162238,95,66,58,20,39,2,1,1,4,-,4,-,1,-,-,-,-,-,-,-,-,-,1,29,17,3,6,2,2
S00162239,74,47,41,14,27,-,-,-,5,1,4,-,1,-,-,-,-,-,-,-,-,-,1,25,14,1,2,8,2
S00162240,51,21,21,4,14,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,27,19,2,2,7,1
S00162241,91,44,34,7,23,3,-,3,4,-,4,3,1,-,-,-,-,-,-,1,-,1,-,48,34,2,2,8,3
S00162242,110,50,45,17,28,3,1,2,-,-,-,2,4,4,4,-,-,-,-,-,-,-,-,57,38,4,6,8,1
S00162243,143,88,79,29,51,4,1,5,2,1,2,4,2,-,-,-,1,-,1,-,-,-,-,53,38,5,2,3,2
S00162244,105,60,49,12,37,2,-,2,6,6,2,4,1,1,1,-,-,-,-,-,-,-,-,43,29,6,2,7,-
S00162245,51,32,30,15,15,-,-,-,-,-,2,-,1,1,1,-,-,-,-,-,-,-,-,20,9,-,2,2,5
S00162246,79,55,49,15,28,3,-,3,8,3,1,-,-,-,-,-,-,-,-,-,-,-,-,24,20,2,2,-,-
S00162247,56,34,29,8,21,-,-,-,-,-,-,2,4,4,3,1,-,-,-,-,-,-,-,19,13,1,1,4,-
S00162248,124,85,68,27,41,2,-,2,12,5,7,5,3,2,1,1,-,-,-,2,2,-,-,35,19,3,10,4,4
S00162249,89,50,43,12,31,1,-,1,6,2,5,4,-,-,-,-,-,-,-,-,-,-,-,35,21,1,1,5,7
S00162250,64,40,33,12,21,2,1,1,5,4,2,-,3,1,1,-,-,-,-,-,-,-,2,21,6,6,1,5,-
S00162251,134,79,69,23,45,2,-,2,6,1,5,1,6,5,5,-,-,-,-,-,-,-,2,49,20,8,7,11,3
S00162252,87,30,28,10,18,-,-,-,2,-,2,-,3,-,-,-,-,-,-,-,-,-,1,54,20,1,9,10,12
S00162253,83,51,47,19,28,2,-,2,-,-,-,3,1,1,1,-,-,-,-,-,-,-,-,31,7,1,11,10,6
S00162254,98,63,56,23,31,-,-,-,3,-,3,4,-,-,-,-,-,-,-,-,-,-,-,32,12,1,1,14,4
S00162255,122,65,48,14,34,3,-,3,13,5,8,1,1,1,1,-,-,-,-,-,-,-,-,53,41,5,2,7,-
S00162256,73,33,29,13,16,1,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,40,19,3,8,8,1
S00162257,90,51,42,13,29,1,1,-,2,2,-,6,3,-,-,-,-,-,-,-,-,-,3,37,14,1,8,12,3
S00162258,121,84,73,19,54,2,-,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,37,19,2,7,5,4
S00162259,84,67,62,17,45,4,-,4,2,2,1,-,4,2,2,-,-,-,-,-,-,-,1,13,9,-,1,2,1
S00162260,96,80,71,11,60,2,-,2,5,3,2,2,3,3,1,2,-,-,-,-,-,-,-,13,3,2,7,1,1
S00162261,129,57,34,10,22,3,1,2,18,6,12,2,-,-,-,-,-,-,-,-,-,-,-,72,53,1,5,9,4
S00162262,98,53,36,13,23,1,-,1,13,5,5,3,-,-,-,-,-,-,-,-,-,-,-,43,29,3,4,7,1
S00162263,98,58,46,10,36,1,-,1,11,2,9,-,4,1,1,-,-,-,-,3,3,-,1,36,23,1,4,6,1
S00162264,75,54,36,6,28,2,1,5,14,8,6,-,1,1,2,1,-,-,-,-,-,-,-,19,15,-,1,1,2
S00162265,97,52,39,10,28,-,-,-,13,1,12,2,1,1,-,1,-,-,-,-,-,-,-,44,25,3,5,8,3
S00162266,68,41,26,6,20,2,-,2,12,1,11,-,-,-,-,-,-,-,-,-,-,-,-,27,19,3,2,4,-
S00162267,134,65,44,18,28,1,-,1,14,7,7,2,1,1,-,1,-,-,-,-,-,-,-,67,42,4,8,7,6
S00162268,67,37,30,7,23,4,-,4,6,1,5,1,-,-,-,-,-,-,-,-,-,-,-,26,21,4,1,3,2
S00162269,96,48,40,15,25,-,-,-,5,-,5,3,-,-,-,-,-,-,-,-,-,-,-,48,36,3,4,-,5
S00162270,132,63,46,20,26,4,-,4,10,-,8,3,2,1,-,1,-,-,-,-,-,-,1,69,60,1,3,4,1
S00162271,133,74,51,24,27,4,-,4,14,2,16,5,-,-,-,-,-,-,-,-,-,-,-,59,38,5,6,6,2
S00162272,123,55,39,17,22,-,-,-,13,9,2,5,2,2,2,-,-,-,-,-,-,-,-,64,45,5,3,8,1
S00162273,109,52,37,9,26,3,2,-,10,2,8,2,-,-,-,-,-,-,-,-,-,-,-,56,35,5,6,6,4
S00162274,82,46,33,13,14,5,-,5,9,3,8,1,1,1,1,-,-,-,-,-,-,-,-,31,25,1,-,7,-
S00162275,87,40,16,6,10,4,1,3,16,9,11,1,-,-,-,-,-,-,-,-,-,-,-,47,40,4,2,2,1
S00162276,71,38,18,6,12,2,-,2,16,4,12,1,-,-,-,-,-,-,-,-,-,-,-,27,23,-,2,2,2
S00162277,77,33,30,7,23,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,45,27,-,2,14,2
S00162278,113,70,36,4,32,5,-,5,27,4,22,4,-,-,-,-,-,-,-,-,-,-,-,46,27,3,6,3,3
S00162279,85,43,35,15,20,2,-,2,4,-,4,2,2,1,1,-,-,-,-,-,-,-,1,40,20,5,4,12,2
S00162280,139,80,51,17,34,7,3,4,20,12,8,1,2,1,-,1,-,-,-,-,-,-,-,56,42,3,7,2,2
S00162281,79,39,22,7,17,-,-,-,9,3,6,8,1,1,1,-,-,-,-,-,-,-,-,39,21,-,6,9,3
S00162282,138,66,45,20,27,5,1,2,15,6,7,1,-,-,-,-,-,-,-,-,-,-,-,72,54,1,3,11,3
S00162283,101,37,30,8,22,-,-,-,11,2,6,2,-,-,-,-,-,-,-,-,-,-,-,64,43,-,7,7,7
S00162284,136,57,44,12,32,-,-,-,9,3,4,4,-,-,-,-,-,-,-,-,-,-,-,79,58,-,4,8,5
S00162285,127,82,48,16,33,2,-,2,34,15,16,-,4,2,1,2,-,-,-,1,-,1,1,41,27,3,4,3,4
S00162286,100,65,40,17,23,1,-,1,19,4,15,3,3,3,3,-,-,-,-,-,-,-,-,31,22,2,3,2,2
S00162287,111,53,36,3,33,-,-,-,17,4,13,-,2,2,2,-,-,-,-,-,-,-,-,56,46,2,2,5,-
S00162288,107,75,46,10,33,3,1,-,23,3,20,-,2,2,-,2,-,-,-,-,-,-,-,33,28,-,3,-,3
S00162289,68,42,27,8,19,3,2,1,11,5,6,-,3,3,1,1,-,-,-,-,-,-,-,28,17,3,4,1,3
S00162290,57,38,23,3,17,1,-,1,17,3,14,1,-,-,-,-,-,-,-,-,-,-,-,11,9,-,-,2,4
S00162291,118,57,41,15,30,4,1,3,6,2,8,2,1,1,1,-,-,-,-,-,-,-,-,57,33,1,3,13,4
S00162292,78,44,29,7,22,2,-,2,13,10,1,-,-,-,-,-,-,-,-,-,-,-,-,34,31,-,1,2,-
S00162293,100,56,42,18,24,2,1,1,10,3,7,2,1,-,-,-,-,-,-,-,-,-,1,44,34,3,4,3,1
S00162294,94,61,41,11,30,2,-,2,19,3,13,-,3,2,2,-,-,-,-,1,-,1,-,34,25,-,2,-,-
S00162295,152,96,59,16,42,13,-,13,23,8,15,-,-,-,-,-,-,-,-,-,-,-,-,55,43,5,2,4,-
S00162296,68,31,25,11,17,-,-,-,6,6,4,-,-,-,-,-,-,-,-,-,-,-,-,37,36,1,2,-,3
S00162297,140,57,39,11,22,1,-,1,13,7,6,4,-,1,1,-,-,-,-,1,1,-,-,81,63,5,8,2,2
S00162298,114,67,55,16,40,-,-,-,8,3,5,3,4,4,1,-,-,-,-,-,-,-,-,45,28,2,3,11,2
S00162299,113,53,37,17,20,3,-,3,11,1,9,3,1,1,1,1,-,-,-,-,-,-,-,58,35,-,5,7,3
S00162300,100,68,53,21,32,2,-,2,11,2,8,3,3,3,2,2,-,-,-,-,-,-,-,28,18,3,3,4,-
S00162301,71,31,18,6,11,1,-,1,10,4,6,1,1,1,1,-,-,-,-,-,-,-,-,41,25,3,3,8,5
S00162302,131,88,59,18,37,12,-,12,23,10,13,-,-,-,-,-,-,-,-,-,-,-,-,40,27,-,5,4,-
S00162303,74,42,23,6,17,4,-,4,12,5,10,4,-,-,-,-,-,-,-,-,-,-,-,29,24,1,1,1,-
S00162304,101,56,39,17,22,3,-,3,14,6,10,-,-,-,-,-,-,-,-,-,-,-,-,47,33,-,5,4,4
S00162305,117,53,38,16,26,5,-,5,8,2,4,-,-,-,-,-,-,-,-,-,-,-,-,62,55,-,5,1,-
S00162306,95,42,28,6,21,-,-,-,13,2,11,2,-,-,-,-,-,-,-,-,-,-,-,56,40,2,4,4,2
S00162307,147,73,48,13,35,8,1,6,19,4,15,-,2,-,2,-,-,-,-,2,2,-,-,71,62,1,2,6,2
S00162308,107,55,51,17,31,-,-,-,5,2,2,2,3,2,-,2,-,-,-,-,-,-,-,49,29,-,2,12,2
S00162309,109,62,52,17,35,3,-,3,6,-,6,-,1,-,-,-,-,-,-,1,-,1,-,46,37,-,3,2,1
S00162310,107,66,56,18,37,3,1,1,6,-,5,1,2,2,-,2,-,-,-,-,-,-,-,40,29,-,6,4,1
S00162311,134,69,47,16,31,5,2,4,16,8,8,-,2,2,2,-,-,-,-,-,-,-,-,63,53,2,5,2,1
S00162312,113,70,43,13,30,5,1,1,21,7,16,1,2,-,-,-,-,-,-,-,-,-,2,42,37,2,1,7,1
S00162313,76,33,25,5,20,1,-,1,6,-,6,1,1,1,1,-,-,-,-,-,-,-,-,42,32,2,1,4,3
S00162314,119,53,36,11,24,2,-,2,20,6,14,2,-,-,-,-,-,-,-,-,-,-,-,63,53,2,1,6,1
S00162315,100,50,40,10,30,-,-,-,10,3,7,-,3,3,3,-,-,-,-,-,-,-,-,47,38,-,-,6,3
S00162316,84,36,28,9,15,1,-,1,5,-,4,2,-,-,-,-,-,-,-,-,-,-,-,48,36,1,3,3,5
S00162317,92,40,37,13,24,-,-,-,3,1,1,-,2,2,2,-,-,-,-,1,1,-,-,50,36,1,3,3,7
S00162318,65,35,31,8,21,3,-,3,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,31,26,-,5,2,1
S00162319,57,26,19,6,13,4,4,-,4,2,3,-,2,1,1,-,-,-,-,-,-,-,1,28,22,2,1,-,1
