Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00155575",123,26,32,7,9,22,30
"S00155576",137,10,15,20,6,16,67
"S00155577",75,12,11,4,9,9,30
"S00155578",152,46,23,16,19,15,34
"S00155579",78,10,12,6,4,15,29
"S00155580",104,28,24,6,17,16,15
"S00155581",82,22,20,12,6,18,10
"S00155582",74,17,17,9,6,8,17
"S00155583",91,24,21,8,12,17,16
"S00155584",80,13,18,8,4,11,26
"S00155585",76,19,21,11,7,10,10
"S00155586",177,41,29,13,14,25,55
"S00155587",72,20,7,3,7,14,25
"S00155588",55,8,10,5,11,15,13
"S00155589",85,7,14,7,7,26,27
"S00155590",63,18,11,4,9,8,16
"S00155591",99,6,9,16,6,11,51
"S00155592",107,57,22,2,-,10,16
"S00155593",142,33,38,10,18,28,15
"S00155594",132,35,27,9,23,11,28
"S00155595",67,5,5,4,7,12,35
"S00155596",82,19,25,6,9,17,8
"S00155597",65,12,12,5,4,8,24
"S00155598",140,33,35,16,12,16,23
"S00155599",92,42,21,4,8,7,10
"S00155600",88,9,19,10,9,14,28
"S00155601",140,6,14,13,6,22,78
"S00155602",69,16,17,8,7,7,19
"S00155603",123,40,25,8,14,9,21
"S00155604",77,19,34,6,5,11,6
"S00155605",101,7,17,13,3,24,33
"S00155606",86,16,9,-,5,13,41
"S00155607",81,1,7,7,4,6,51
"S00155608",66,21,8,4,7,10,19
"S00155609",79,20,16,8,10,16,4
"S00155610",69,8,16,6,11,12,10
"S00155611",102,11,10,11,4,15,52
"S00155612",69,10,15,8,3,13,22
"S00155613",86,17,23,3,9,18,14
"S00155614",66,15,19,8,8,13,6
"S00155615",68,26,14,8,8,8,4
"S00155616",74,27,21,8,3,4,11
"S00155617",72,3,5,1,2,15,46
"S00155618",54,9,4,4,3,15,23
"S00155619",72,14,16,9,11,8,15
"S00155620",77,15,21,11,4,12,15
"S00155621",66,13,30,6,1,9,11
"S00155622",126,5,10,15,12,19,66
"S00155623",53,13,12,2,4,10,15
"S00155624",61,20,15,5,6,6,9
"S00155625",87,17,27,4,10,11,13
"S00155626",92,5,5,6,5,15,53
"S00155627",92,10,12,8,6,16,40
"S00155628",115,30,34,15,11,13,16
"S00155629",89,23,32,5,6,9,10
"S00155630",70,13,15,9,4,13,14
"S00155631",105,5,10,10,8,18,52
"S00155632",120,27,29,14,12,18,20
"S00155633",116,12,9,17,5,12,61
"S00155634",60,4,5,4,3,6,39
"S00155635",62,4,12,9,5,11,19
"S00155636",109,26,36,6,10,15,12
"S00155637",117,25,32,15,10,18,17
"S00155638",56,15,9,5,5,10,18
"S00155639",143,48,31,15,16,15,18
"S00155640",99,32,24,5,7,15,17
"S00155641",66,23,9,7,13,8,5
"S00155642",54,16,11,5,2,7,11
"S00155643",95,21,22,14,6,18,11
"S00155644",67,20,3,6,4,10,20
"S00155645",90,8,12,7,12,13,36
"S00155646",65,17,20,4,4,13,6
"S00155647",128,7,21,21,17,12,46
"S00155648",89,30,15,5,1,6,29
"S00155649",121,19,14,7,9,25,47
"S00155650",84,28,27,5,8,8,8
"S00155651",140,36,31,14,12,24,23
"S00155652",138,39,38,8,20,24,11
"S00155653",52,8,11,6,6,12,9
"S00155654",65,18,18,3,10,9,7
"S00155655",148,28,50,17,13,26,13
"S00155656",121,7,12,13,6,21,65
"S00155657",99,3,14,17,3,13,54
"S00155658",89,25,18,11,9,12,14
"S00155659",115,13,13,14,13,16,46
"S00155660",170,36,28,10,12,15,68
"S00155661",103,16,14,10,10,22,31
"S00155662",90,20,30,4,5,17,16
"S00155663",81,36,14,3,6,12,13
"S00155664",80,15,33,4,9,9,10
"S00155665",85,12,16,8,10,10,29
"S00155666",112,36,31,11,7,16,13
"S00155667",83,31,17,9,3,16,8
"S00155668",98,33,22,6,2,17,18
"S00155669",102,32,30,4,5,17,12
"S00155670",108,29,25,6,13,22,15
"S00155671",80,18,11,11,6,9,25
"S00155672",87,12,14,8,8,9,36
"S00155673",97,31,26,8,14,15,11
"S00155674",125,25,31,11,14,21,23
"S00155675",72,10,10,5,4,11,32
"S00155676",69,9,25,6,9,14,6
"S00155677",90,22,20,10,8,15,19
"S00155678",95,27,37,4,3,13,14
"S00155679",123,25,19,19,8,19,26
"S00155680",137,35,33,19,11,19,18
"S00155681",52,22,12,3,3,6,6
"S00155682",66,13,19,5,8,8,16
"S00155683",57,20,15,5,1,8,8
"S00155684",57,19,15,3,4,10,5
"S00155685",140,46,45,14,7,13,15
"S00155686",57,14,9,8,3,12,10
"S00155687",77,29,17,8,2,9,14
"S00155688",58,17,18,7,3,7,5
"S00155689",65,16,11,8,8,8,14
"S00155690",131,32,27,10,17,18,24
"S00155691",61,22,17,4,6,2,7
"S00155692",59,19,14,3,9,4,12
"S00155693",66,18,20,7,5,7,9
"S00155694",87,19,19,5,10,10,22
"S00155695",110,6,21,13,6,20,44
"S00155696",81,19,21,11,9,8,13
"S00155697",64,24,16,5,2,10,8
"S00155698",111,8,24,12,10,21,37
"S00155699",82,19,8,10,10,10,26
"S00155700",83,11,30,5,9,15,13
"S00155701",62,4,12,10,9,11,16
"S00155702",65,5,13,7,3,22,16
"S00155703",57,1,8,7,6,16,19
"S00155704",125,34,27,15,11,18,18
"S00155705",75,23,17,4,5,13,13
"S00155706",107,23,11,13,11,18,31
"S00155707",74,6,19,10,8,11,22
"S00155708",104,32,26,7,22,6,9
"S00155709",106,9,20,14,8,19,39
"S00155710",85,22,18,13,7,9,12
"S00155711",99,3,11,12,12,23,39
"S00155712",79,15,14,7,8,10,27
"S00155713",69,9,24,3,5,9,17
"S00155714",49,11,8,7,4,8,13
"S00155715",110,31,33,8,7,12,20
"S00155716",106,11,22,8,10,20,33
"S00155717",146,12,30,28,7,27,46
"S00155718",125,21,31,13,9,25,26
"S00155719",96,25,19,10,2,18,22
"S00155720",115,34,33,14,9,18,14
"S00155721",71,14,14,9,6,12,18
"S00155722",67,4,12,6,9,13,25
"S00155723",112,26,31,13,15,11,16
"S00155724",90,4,16,10,6,12,42
"S00155725",135,20,30,16,8,21,40
"S00155726",64,7,9,6,5,15,22
"S00155727",106,35,24,4,18,12,15
"S00155728",113,30,32,14,6,12,19
"S00155729",68,12,24,2,8,17,10
"S00155730",97,27,14,8,15,9,24
"S00155731",73,4,14,10,7,14,24
"S00155732",86,16,13,15,11,18,9
"S00155733",66,5,11,7,9,18,14
"S00155734",178,39,37,16,19,24,43
"S00155735",54,21,16,3,3,3,7
"S00155736",102,33,17,11,7,19,15
"S00155737",66,13,16,5,8,7,13
"S00155738",113,7,18,13,15,15,45
"S00155739",76,8,7,8,3,8,42
"S00155740",81,12,18,12,5,14,26
"S00155741",80,14,20,9,6,14,16
"S00155742",104,21,8,14,5,21,34
"S00155743",83,21,13,9,11,13,16
"S00155744",127,36,34,15,12,20,15
"S00155745",104,31,31,8,10,9,15
"S00155746",97,14,23,11,5,20,19
"S00155747",55,19,11,4,4,9,9
"S00155748",83,22,22,8,6,9,16
"S00155749",114,36,17,9,18,17,19
"S00155750",129,33,41,11,11,22,12
"S00155751",82,10,23,5,7,12,27
"S00155752",49,4,23,3,5,6,8
"S00155753",71,6,27,6,1,18,13
"S00155754",152,13,20,20,13,24,60
"S00155755",133,10,40,8,18,19,38
"S00155756",67,9,17,9,4,12,13
"S00155757",97,21,39,7,3,15,10
"S00155758",62,14,13,8,4,10,13
"S00155759",133,26,21,12,16,14,41
"S00155760",44,15,12,-,8,7,2
"S00155761",106,18,14,12,7,21,36
"S00155762",89,17,28,13,5,18,12
"S00155763",83,18,13,6,5,17,24
"S00155764",81,21,18,7,4,17,10
"S00155765",105,33,24,11,11,16,15
"S00155766",79,9,8,7,2,9,35
"S00155767",61,18,19,5,4,5,13
"S00155768",79,9,12,4,4,2,45
"S00155769",135,15,24,17,12,27,48
"S00155770",143,41,35,11,17,21,17
"S00155771",77,19,19,11,6,9,13
"S00155772",95,26,23,8,10,16,15
"S00155773",123,31,33,15,7,23,12
"S00155774",149,12,25,24,13,22,50
"S00155775",71,18,16,4,6,17,13
"S00155776",143,21,25,24,13,18,40
"S00155777",190,8,31,22,16,27,84
"S00155778",94,7,11,10,7,15,44
"S00155779",101,12,21,8,10,21,28
"S00155780",141,3,17,19,12,30,60
"S00155781",148,14,27,13,19,23,56
"S00155782",134,44,34,18,9,15,14
"S00155783",73,8,7,12,8,9,26
"S00155784",116,28,27,5,7,25,23
"S00155785",123,13,27,12,16,18,37
"S00155786",97,21,27,3,7,15,21
"S00155787",121,8,18,11,11,20,53
"S00155788",137,21,34,14,12,20,34
"S00155789",102,10,13,11,7,19,39
"S00155790",103,4,22,10,16,27,31
"S00155791",126,32,43,9,12,24,10
"S00155792",67,3,10,10,5,7,32
"S00155793",86,20,27,7,9,13,9
"S00155794",129,19,17,15,3,25,50
"S00155795",114,4,10,14,11,20,54
"S00155796",103,21,26,10,12,18,8
"S00155797",68,2,10,10,6,13,24
"S00155798",75,14,27,6,5,8,17
"S00155799",87,24,26,5,9,13,10
"S00155800",126,17,17,20,10,32,30
"S00155801",63,5,9,9,7,17,16
"S00155802",65,11,8,5,8,8,25
"S00155803",135,36,43,13,20,15,11
"S00155804",86,16,18,13,4,9,26
"S00155805",149,20,19,21,8,17,61
"S00155806",101,16,30,10,7,10,26
"S00155807",102,20,29,13,12,14,14
"S00155808",113,29,38,6,8,18,12
"S00155809",109,13,18,10,17,14,35
"S00155810",129,16,23,10,8,14,54
"S00155811",58,4,7,7,4,8,24
"S00155812",81,23,25,6,8,15,7
"S00155813",79,15,18,10,3,7,26
"S00155814",127,29,22,14,17,21,24
"S00155815",60,7,24,7,4,7,13
"S00155816",112,18,21,4,18,11,37
"S00155817",160,30,14,14,16,20,66
"S00155818",148,12,27,13,10,27,65
"S00155819",140,28,26,24,12,16,38
"S00155820",109,8,22,14,8,12,49
"S00155821",68,4,17,4,3,15,28
"S00155822",80,3,13,12,6,14,35
"S00155823",175,11,30,15,22,49,48
"S00155824",155,15,30,20,15,36,39
"S00155825",142,19,25,14,12,25,48
"S00155826",131,28,28,13,11,20,27
"S00155827",65,2,9,4,4,17,28
"S00155828",60,19,14,6,9,2,15
"S00155829",97,17,43,6,3,12,16
"S00155830",104,14,20,14,13,18,26
"S00155831",163,21,16,21,16,28,64
"S00155832",100,4,13,11,7,19,45
"S00155833",119,13,18,12,12,23,44
"S00155834",166,38,29,9,18,20,49
"S00155835",124,6,27,9,15,32,35
"S00155836",61,18,9,7,6,8,13
"S00155837",76,19,13,7,14,10,11
"S00155838",91,10,18,12,10,15,29
"S00155839",91,21,14,9,10,15,22
"S00155840",70,12,12,2,10,8,26
"S00155841",130,14,23,18,11,22,48
"S00155842",83,18,15,11,10,11,20
"S00155843",143,8,22,19,17,30,47
"S00155844",100,4,17,7,14,18,43
"S00155845",75,12,15,12,10,6,25
"S00155846",67,14,14,8,4,15,10
"S00155847",101,3,11,9,6,22,46
"S00155848",118,33,32,9,6,22,24
"S00155849",147,10,39,18,9,26,45
"S00155850",79,18,21,4,4,11,11
"S00155851",111,24,14,12,6,16,40
"S00155852",81,4,13,11,12,8,34
"S00155853",159,21,31,18,12,28,49
"S00155854",65,1,7,7,6,13,31
"S00155855",54,14,16,3,4,6,13
"S00155856",85,9,17,10,9,19,23
"S00155857",115,12,26,17,14,23,32
"S00155858",97,18,29,8,19,8,18
"S00155859",124,18,21,17,6,29,37
"S00155860",69,11,8,9,3,12,27
"S00155861",99,4,21,17,5,12,37
"S00155862",112,17,36,10,8,17,26
"S00155863",146,37,24,14,10,19,42
"S00155864",173,10,25,14,18,27,79
"S00155865",70,5,7,9,6,10,33
"S00155866",131,15,29,13,18,16,39
"S00155867",151,7,15,16,9,27,76
"S00155868",71,24,11,7,7,6,11
"S00155869",132,17,21,19,10,14,50
"S00155870",75,13,18,10,6,11,19
"S00155871",162,26,31,21,18,19,47
"S00155872",97,19,33,6,6,20,19
"S00155873",109,45,24,7,7,9,17
"S00155874",101,31,23,11,9,11,16
"S00155875",113,10,22,15,12,19,39
"S00155876",172,13,22,32,15,31,59
"S00155877",72,28,11,7,7,7,4
"S00155878",110,31,28,10,8,17,16
"S00155879",80,22,27,6,5,6,12
"S00155880",95,25,29,12,4,19,8
"S00155881",108,6,12,14,7,26,47
"S00155882",115,24,23,9,11,15,28
"S00155883",85,8,16,6,7,20,30
"S00155884",86,19,16,7,6,17,21
"S00155885",95,21,29,5,7,11,19
"S00155886",118,28,25,14,7,18,26
"S00155887",108,22,29,16,9,13,19
"S00155888",52,7,7,4,-,8,24
"S00155889",105,21,18,14,8,10,34
"S00155890",138,40,25,10,10,22,32
"S00155891",87,10,21,1,14,16,23
"S00155892",76,32,20,3,4,4,9
"S00155893",121,14,25,15,8,24,39
"S00155894",79,31,19,6,4,7,12
"S00155895",91,21,24,10,4,13,17
"S00155896",96,26,23,9,6,19,8
"S00155897",55,12,17,4,8,6,8
"S00155898",107,18,20,7,6,18,34
"S00155899",70,12,9,7,8,10,24
"S00155900",101,8,11,13,5,20,44
"S00155901",103,20,19,9,4,15,35
"S00155902",99,33,17,8,7,13,19
"S00155903",126,21,38,11,7,19,30
"S00155904",67,5,14,8,9,11,21
"S00155905",74,8,10,9,8,6,31
"S00155906",150,31,24,18,15,17,45
"S00155907",68,18,22,4,2,10,13
"S00155908",95,18,21,8,8,16,21
"S00155909",78,2,13,9,3,13,39
"S00155910",76,12,15,5,10,13,21
"S00155911",107,5,18,14,8,16,45
"S00155912",80,29,13,3,6,7,22
"S00155913",111,13,18,12,11,9,45
"S00155914",105,15,22,11,14,21,21
"S00155915",87,5,12,11,4,14,40
"S00155916",85,5,17,17,12,13,24
"S00155917",67,14,24,6,4,13,9
"S00155918",93,18,17,9,9,16,26
"S00155919",82,20,12,17,7,6,20
"S00155920",152,24,20,14,8,19,67
"S00155921",115,13,16,19,9,15,42
"S00155922",64,14,19,5,3,7,12
"S00155923",115,6,11,15,4,9,66
"S00155924",81,9,15,13,8,18,16
"S00155925",65,3,15,3,7,21,14
"S00155926",70,1,14,6,4,12,33
"S00155927",68,5,4,1,5,13,40
"S00155928",57,12,13,8,2,12,9
"S00155929",59,4,8,10,9,10,19
"S00155930",95,10,17,10,10,14,31
"S00155931",75,13,13,6,3,15,27
"S00155932",103,18,15,8,16,11,38
"S00155933",86,25,29,9,3,12,9
"S00155934",105,7,9,17,6,26,40
"S00155935",90,9,21,12,8,16,25
"S00155936",90,4,12,14,4,12,42
"S00155937",89,14,14,8,4,9,40
"S00155938",92,4,8,12,10,15,41
"S00155939",69,13,12,5,7,7,25
"S00155940",64,30,9,8,4,5,8
"S00155941",83,8,11,7,3,19,36
"S00155942",111,37,27,11,3,18,15
"S00155943",86,9,19,6,8,9,38
"S00155944",138,15,14,15,15,16,64
"S00155945",89,10,9,15,3,16,36
"S00155946",74,2,16,8,5,8,43
"S00155947",89,6,11,5,5,17,45
"S00155948",81,10,25,13,16,7,13
"S00155949",104,13,22,12,7,15,32
"S00155950",82,9,23,9,8,11,22
"S00155951",107,4,12,16,14,17,38
"S00155952",62,6,12,5,4,17,19
"S00155953",118,9,17,9,10,19,49
"S00155954",76,24,18,4,3,16,13
"S00155955",92,25,14,10,11,13,21
"S00155956",103,21,21,6,5,9,45
"S00155957",113,5,15,9,10,17,59
"S00155958",99,12,14,8,6,11,46
"S00155959",71,17,17,8,3,11,13
"S00155960",119,2,16,9,8,17,63
"S00155961",67,8,16,9,1,12,25
"S00155962",80,8,22,11,12,15,16
"S00155963",56,1,8,8,2,8,29
"S00155964",95,11,11,9,-,11,51
"S00155965",159,7,31,20,9,19,75
"S00155966",78,8,18,4,4,18,22
"S00155967",113,20,34,16,9,15,19
"S00155968",99,10,31,4,2,34,21
"S00155969",119,11,20,9,4,19,54
"S00155970",105,9,11,14,7,22,40
"S00155971",75,2,5,8,8,15,40
"S00155972",90,8,17,7,5,11,38
"S00155973",82,4,16,5,7,9,37
"S00155974",99,14,10,10,1,17,45
"S00155975",81,6,15,19,3,8,29
"S00155976",84,9,22,8,3,16,24
"S00155977",118,10,18,12,12,27,35
"S00155978",126,8,14,17,4,16,66
"S00155979",72,3,12,6,4,13,34
"S00155980",107,9,18,9,4,16,50
"S00155981",66,10,13,13,2,14,17
"S00155982",152,41,46,18,8,24,19
"S00155983",99,8,12,10,9,19,41
"S00155984",62,7,19,6,8,10,12
"S00155985",84,9,13,15,5,7,35
"S00155986",141,3,20,21,10,23,64
"S00155987",165,9,19,30,6,31,68
"S00155988",142,12,21,16,16,25,57
"S00155989",57,7,22,7,2,10,12
"S00155990",114,14,39,8,7,30,16
"S00155991",139,12,17,21,9,16,64
"S00155992",103,7,18,22,7,19,34
"S00155993",100,9,19,9,14,15,34
"S00155994",121,12,8,11,10,24,60
"S00155995",118,16,35,12,12,17,25
"S00155996",125,2,16,15,6,16,66
"S00155997",75,11,13,6,8,9,32
"S00155998",142,6,23,19,10,19,65
"S00155999",77,2,12,10,3,11,39
"S00156000",109,2,15,16,4,13,52
"S00156001",116,6,13,23,9,19,48
"S00156002",73,11,10,3,13,17,22
"S00156003",71,20,17,5,6,3,20
"S00156004",54,13,16,6,3,6,10
"S00156005",65,7,15,2,2,8,35
"S00156006",89,3,12,8,2,20,46
"S00156007",83,7,25,9,7,15,19
"S00156008",136,5,14,13,11,29,64
"S00156009",167,9,27,22,9,30,70
"S00156010",67,23,10,3,4,16,11
"S00156011",113,7,29,7,12,26,28
"S00156012",75,2,17,11,1,12,37
"S00156013",81,21,22,11,5,13,10
"S00156014",92,20,26,2,13,11,12
"S00156015",70,16,22,2,4,14,9
"S00156016",103,13,12,6,9,20,43
"S00156017",194,14,29,29,9,25,92
"S00156018",101,11,12,14,7,14,43
"S00156019",85,8,13,7,13,18,26
"S00156020",91,23,27,6,2,13,20
"S00156021",98,9,27,14,10,11,25
"S00156022",84,22,29,5,10,12,8
"S00156023",125,15,30,23,6,16,35
"S00156024",92,12,24,7,13,16,21
"S00156025",56,16,9,7,2,11,14
"S00156026",136,9,18,15,3,15,76
"S00156027",90,6,6,6,7,9,50
"S00156028",67,8,13,12,4,15,13
"S00156029",85,7,12,10,6,18,31
"S00156030",89,12,17,5,8,20,33
"S00156031",97,8,17,10,5,21,43
"S00156032",114,13,16,14,13,15,43
"S00156033",154,10,23,20,20,26,55
"S00156034",99,11,11,12,8,18,38
"S00156035",97,20,28,9,11,18,13
"S00156036",73,15,12,9,12,5,24
"S00156037",139,23,32,12,10,21,42
"S00156038",91,15,21,15,9,21,12
"S00156039",91,10,15,8,10,13,38
"S00156040",98,19,22,13,15,9,16
"S00156041",58,14,10,6,2,14,12
"S00156042",97,8,21,15,8,14,30
"S00156043",98,8,12,20,3,17,32
"S00156044",69,5,7,5,7,13,37
"S00156045",119,11,41,16,6,15,27
"S00156046",84,21,9,7,4,2,36
"S00156047",158,15,16,15,6,30,77
"S00156048",75,13,12,6,9,12,21
"S00156049",97,20,16,12,12,17,20
"S00156050",124,19,26,17,10,24,32
"S00156051",51,12,15,-,6,5,11
"S00156052",82,15,10,10,14,10,22
"S00156053",107,37,23,9,12,13,18
"S00156054",110,2,15,6,10,19,52
"S00156055",136,12,12,15,5,32,59
"S00156056",74,5,19,7,3,13,30
"S00156057",97,11,12,11,7,19,40
"S00156058",150,3,17,21,6,20,83
"S00156059",105,13,18,13,11,20,31
"S00156060",104,3,10,11,2,12,69
"S00156061",94,3,5,16,5,9,52
"S00156062",143,4,14,20,5,24,77
"S00156063",74,5,11,7,6,7,38
"S00156064",98,3,19,10,3,20,43
"S00156065",101,4,22,9,8,16,42
"S00156066",126,31,29,15,17,17,17
"S00156067",122,58,17,4,6,12,23
"S00156068",113,14,22,8,6,14,48
"S00156069",91,29,11,5,12,16,18
"S00156070",60,19,11,7,5,11,3
"S00156071",94,4,13,5,9,11,52
"S00156072",57,4,10,6,4,8,23
"S00156073",92,17,15,11,6,13,30
"S00156074",119,48,29,10,6,12,15
"S00156075",72,14,16,10,6,9,17
"S00156076",73,-,14,3,5,11,39
"S00156077",139,6,30,19,11,17,56
"S00156078",124,30,40,16,9,23,18
"S00156079",125,25,24,6,12,25,28
"S00156080",103,2,15,10,8,9,56
"S00156081",87,19,15,7,14,13,23
"S00156082",75,1,10,5,3,9,45
"S00156083",148,2,24,19,9,15,77
"S00156084",94,9,19,10,7,20,26
"S00156085",96,8,9,10,13,10,49
"S00156086",119,12,32,5,8,24,38
"S00156087",64,16,16,7,2,14,10
"S00156088",104,9,17,10,6,20,42
"S00156089",125,36,24,9,16,19,21
"S00156090",129,36,35,9,4,24,22
"S00156091",87,17,26,13,10,10,14
"S00156092",114,31,32,7,12,12,19
"S00156093",113,23,17,17,10,8,38
"S00156094",103,3,13,9,9,19,50
"S00156095",109,22,37,9,11,17,13
"S00156096",71,20,19,2,3,16,9
"S00156097",117,33,27,17,8,16,16
"S00156098",81,17,22,6,6,8,17
"S00156099",66,17,17,7,4,8,11
"S00156100",101,27,31,7,6,12,18
"S00156101",149,19,23,17,8,25,53
"S00156102",88,19,25,10,6,11,16
"S00156103",58,14,19,3,4,8,11
"S00156104",96,10,14,14,6,14,42
"S00156105",125,6,16,15,2,18,64
"S00156106",78,4,10,9,-,11,42
"S00156107",134,11,18,23,8,16,59
"S00156108",58,2,5,8,4,16,29
"S00156109",92,7,10,10,1,16,48
"S00156110",108,24,35,11,6,18,14
"S00156111",82,10,21,7,11,19,19
"S00156112",61,16,17,3,7,8,10
"S00156113",71,4,13,7,5,14,24
"S00156114",91,2,12,13,5,14,43
"S00156115",54,4,5,6,-,9,27
"S00156116",85,8,37,5,8,15,12
"S00156117",71,12,24,5,3,12,12
"S00156118",112,54,19,11,4,20,7
"S00156119",59,6,4,10,4,11,24
"S00156120",76,5,6,9,9,4,43
"S00156121",45,7,15,5,4,8,6
"S00156122",101,8,21,11,4,20,37
"S00156123",108,21,25,7,9,26,20
"S00156124",134,13,23,15,8,14,57
"S00156125",74,19,20,2,4,18,14
"S00156126",147,14,35,21,6,18,50
"S00156127",112,7,21,11,9,26,38
"S00156128",125,23,45,12,5,19,18
"S00156129",106,4,12,15,9,28,40
"S00156130",78,4,11,9,5,13,37
"S00156131",96,12,16,9,10,21,34
"S00156132",91,9,16,12,4,20,30
"S00156133",65,3,7,6,7,4,34
"S00156134",83,3,14,14,3,12,37
"S00156135",115,7,18,9,15,21,49
"S00156136",101,12,13,7,4,20,42
"S00156137",92,12,21,16,4,11,28
"S00156138",99,18,27,8,10,13,24
"S00156139",110,4,21,18,5,14,50
"S00156140",94,27,22,12,12,13,8
"S00156141",61,12,18,2,3,8,17
"S00156142",114,8,10,16,4,14,58
"S00156143",96,5,12,10,4,15,46
"S00156144",125,1,29,16,10,20,49
"S00156145",110,24,34,6,11,18,17
"S00156146",127,6,17,16,11,18,61
"S00156147",65,3,13,7,7,6,28
"S00156148",79,20,22,11,7,5,11
"S00156149",66,-,5,8,7,11,39
"S00156150",80,32,19,3,11,7,10
"S00156151",120,18,29,13,5,21,34
"S00156152",125,24,44,9,11,14,19
"S00156153",146,15,18,10,6,28,65
"S00156154",79,36,22,2,6,8,3
"S00156155",79,26,20,5,6,6,12
"S00156156",96,18,18,9,6,17,20
"S00156157",66,20,22,3,3,9,9
"S00156158",76,28,27,4,9,3,6
"S00156159",67,7,15,9,5,15,16
"S00156160",76,13,12,12,8,10,21
"S00156161",119,22,28,11,10,20,30
"S00156162",91,25,26,10,9,11,13
"S00156163",126,30,37,13,5,17,24
"S00156164",91,16,27,8,7,19,15
"S00156165",76,13,22,7,8,9,15
"S00156166",85,13,24,7,10,17,16
"S00156167",155,2,16,23,2,16,92
"S00156168",122,35,32,12,6,20,20
"S00156169",77,3,3,8,8,14,35
"S00156170",96,19,34,11,5,18,10
"S00156171",101,22,19,15,6,14,22
"S00156172",100,11,20,20,14,18,12
"S00156173",76,23,22,7,5,10,9
"S00156174",137,7,28,14,8,18,58
"S00156175",61,6,13,-,3,7,30
"S00156176",86,5,13,8,8,16,43
"S00156177",81,26,19,6,5,11,19
"S00156178",64,14,11,2,9,8,19
"S00156179",120,28,32,11,7,14,28
"S00156180",128,12,7,15,4,13,77
"S00156181",81,21,17,10,9,12,11
"S00156182",101,40,21,15,8,10,10
"S00156183",81,5,10,11,7,13,33
"S00156184",139,15,19,13,15,18,59
"S00156185",112,25,27,16,10,12,22
"S00156186",68,15,17,6,11,6,14
"S00156187",109,17,22,9,9,21,31
"S00156188",84,18,20,5,8,11,18
"S00156189",126,14,25,13,11,17,44
"S00156190",96,45,20,7,9,7,8
"S00156191",77,9,8,8,4,14,31
"S00156192",103,21,26,10,12,16,20
"S00156193",91,21,25,10,8,11,17
"S00156194",81,14,22,3,2,17,23
"S00156195",69,12,14,6,8,15,15
"S00156196",70,4,17,8,4,10,27
"S00156197",82,7,17,8,8,16,26
"S00156198",123,13,24,14,10,20,42
"S00156199",98,12,15,9,7,15,43
"S00156200",52,15,11,1,5,11,9
"S00156201",119,10,15,10,7,34,44
"S00156202",94,22,25,11,9,15,13
"S00156203",152,35,20,12,14,23,48
"S00156204",109,11,18,4,14,21,41
"S00156205",154,8,24,23,14,34,51
"S00156206",83,11,7,8,4,8,45
"S00156207",93,3,13,10,8,8,51
"S00156208",137,14,24,26,12,20,41
"S00156209",101,17,31,12,6,18,18
"S00156210",93,13,27,7,8,20,18
"S00156211",93,11,10,8,17,14,23
"S00156212",126,18,36,8,16,19,26
"S00156213",99,11,17,4,8,17,37
"S00156214",54,9,10,4,6,7,18
"S00156215",77,15,19,7,5,9,22
"S00156216",91,9,15,18,12,19,25
"S00156217",93,8,12,7,3,25,38
"S00156218",81,6,12,12,8,14,27
"S00156219",85,7,12,10,12,10,31
"S00156220",97,11,16,13,7,13,38
"S00156221",100,12,8,4,9,17,45
"S00156222",108,21,29,4,10,21,23
"S00156223",83,10,21,9,12,14,17
"S00156224",124,35,50,5,11,16,7
"S00156225",103,22,16,10,11,25,17
"S00156226",99,17,21,15,12,20,17
"S00156227",80,18,24,7,4,6,20
"S00156228",146,8,15,18,8,39,58
"S00156229",64,16,12,5,7,10,14
"S00156230",71,25,16,7,-,10,11
"S00156231",70,5,9,5,5,8,38
"S00156232",80,13,18,12,7,8,23
"S00156233",70,17,25,3,3,11,11
"S00156234",140,30,25,20,15,20,30
"S00156235",65,18,20,7,4,4,8
"S00156236",85,11,24,8,9,13,24
"S00156237",60,14,15,8,6,9,8
"S00156238",102,24,27,8,8,17,18
"S00156239",72,18,18,8,5,9,16
"S00156240",111,20,21,14,15,19,22
"S00156241",118,16,11,11,12,15,53
"S00156242",87,33,25,2,8,10,11
"S00156243",103,30,29,7,9,13,15
"S00156244",52,13,17,8,3,3,6
"S00156245",91,2,6,7,4,13,60
"S00156246",62,7,15,10,5,13,11
"S00156247",112,18,37,16,7,16,19
"S00156248",112,20,19,9,16,17,33
"S00156249",163,14,30,21,9,23,68
"S00156250",59,11,17,6,6,5,17
"S00156251",77,19,19,8,9,13,8
"S00156252",71,13,24,5,11,18,9
"S00156253",125,11,13,5,10,12,73
"S00156254",95,4,19,12,10,13,34
"S00156255",59,2,10,-,5,6,33
"S00156256",87,11,14,14,9,15,24
"S00156257",87,14,19,12,8,8,25
"S00156258",109,23,21,12,10,21,18
"S00156259",81,13,7,10,11,17,24
"S00156260",78,7,11,6,13,11,22
"S00156261",53,16,15,2,2,8,6
"S00156262",100,19,22,9,9,22,23
"S00156263",139,35,29,11,9,20,37
"S00156264",86,10,13,11,7,7,38
"S00156265",76,7,16,12,12,13,19
"S00156266",127,28,23,19,11,11,36
"S00156267",97,14,21,9,4,11,38
