Scotland's Census 2022 - National Records of Scotland
Table UV501 - Highest level of qualification
All people aged 16 and over
,"All people aged 16 and over","No qualifications","Lower school qualifications","Upper school qualifications","Apprenticeship qualifications","Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs","Degree level qualifications or above"
"S00135566",87,18,17,10,9,9,24
"S00135567",98,16,23,8,10,12,31
"S00135568",136,24,37,8,15,19,33
"S00135569",89,20,34,6,7,12,10
"S00135570",102,16,20,12,12,9,32
"S00135571",91,21,28,8,8,9,21
"S00135572",103,14,26,12,19,7,23
"S00135573",86,15,23,3,9,9,22
"S00135574",69,18,17,2,14,6,18
"S00135575",126,28,37,11,10,13,27
"S00135576",111,32,34,8,14,7,21
"S00135577",105,5,27,11,10,14,41
"S00135578",101,14,22,15,4,10,35
"S00135579",76,12,7,3,5,17,32
"S00135580",122,20,33,12,14,14,26
"S00135581",105,8,15,14,12,19,39
"S00135582",77,2,13,15,7,11,25
"S00135583",106,11,21,5,7,13,49
"S00135584",97,15,26,11,7,15,19
"S00135585",82,7,13,9,9,12,30
"S00135586",95,11,23,6,10,15,28
"S00135587",67,7,15,7,9,10,19
"S00135588",82,15,19,4,10,12,19
"S00135589",75,11,17,-,13,4,28
"S00135590",62,3,10,8,4,12,23
"S00135591",68,8,22,6,10,11,12
"S00135592",81,1,17,10,3,14,32
"S00135593",78,8,19,9,7,17,19
"S00135594",85,4,12,10,13,8,37
"S00135595",119,28,37,7,12,13,24
"S00135596",185,29,34,13,9,25,78
"S00135597",113,30,27,14,12,8,22
"S00135598",79,7,13,12,11,5,27
"S00135599",110,4,31,9,7,15,36
"S00135600",59,26,9,2,7,5,12
"S00135601",96,4,16,12,4,19,40
"S00135602",115,14,31,20,5,15,31
"S00135603",69,3,14,14,7,5,23
"S00135604",74,1,23,6,6,16,20
"S00135605",72,8,29,3,6,9,17
"S00135606",216,33,56,20,11,15,81
"S00135607",1706,5,106,903,24,198,468
"S00135608",79,11,30,8,12,5,18
"S00135609",91,11,9,6,13,12,38
"S00135610",150,80,17,7,10,9,27
"S00135611",74,8,30,4,10,12,13
"S00135612",122,3,15,10,5,32,56
"S00135613",86,4,11,6,6,18,46
"S00135614",94,9,26,12,9,14,24
"S00135615",136,4,15,15,10,19,66
"S00135616",58,-,10,6,7,7,30
"S00135617",91,7,15,10,13,7,41
"S00135618",65,7,7,9,6,6,33
"S00135619",54,13,9,4,4,8,15
"S00135620",77,10,25,4,7,13,18
"S00135621",112,36,35,10,10,8,16
"S00135622",79,4,11,12,4,11,40
"S00135623",116,20,35,9,7,14,28
"S00135624",70,15,19,3,1,12,18
"S00135625",92,4,16,16,4,7,45
"S00135626",51,3,10,7,7,4,21
"S00135627",98,17,24,10,13,14,23
"S00135628",136,36,24,9,20,17,26
"S00135629",136,6,26,9,10,35,47
"S00135630",93,19,24,5,11,16,22
"S00135631",117,20,35,11,6,15,34
"S00135632",134,30,36,14,7,18,31
"S00135633",57,14,6,7,6,3,18
"S00135634",73,4,8,6,7,23,26
"S00135635",101,6,27,7,8,29,21
"S00135636",89,21,22,14,14,8,13
"S00135637",98,16,26,9,8,16,21
"S00135638",75,14,8,16,7,4,28
"S00135639",59,5,12,8,9,4,19
"S00135640",114,21,38,11,9,13,20
"S00135641",62,16,10,4,9,15,12
"S00135642",128,9,25,14,5,20,55
"S00135643",75,22,16,6,11,6,14
"S00135644",70,14,12,3,9,4,26
"S00135645",73,23,19,7,6,8,10
"S00135646",67,24,15,2,9,9,6
"S00135647",125,34,31,13,12,9,22
"S00135648",86,8,25,7,3,12,28
"S00135649",60,10,20,4,6,5,16
"S00135650",91,33,20,9,7,5,14
"S00135651",103,17,21,9,7,13,39
"S00135652",81,13,19,7,6,6,31
"S00135653",58,4,9,8,4,6,29
"S00135654",58,4,22,-,2,10,17
"S00135655",91,14,21,10,7,13,29
"S00135656",81,15,26,9,3,9,21
"S00135657",88,18,30,6,8,10,16
"S00135658",68,16,23,4,3,8,17
"S00135659",103,19,22,9,2,17,34
"S00135660",91,17,30,5,7,7,28
"S00135661",54,13,11,9,3,5,13
"S00135662",100,13,29,4,9,19,23
"S00135663",89,19,30,9,12,6,13
"S00135664",135,25,34,9,10,24,33
"S00135665",98,38,28,6,6,10,10
"S00135666",68,20,21,4,9,5,8
"S00135667",122,33,36,3,8,14,27
"S00135668",107,24,24,11,4,18,30
"S00135669",113,24,32,4,10,14,25
"S00135670",127,12,25,11,12,28,41
"S00135671",73,14,21,5,9,6,15
"S00135672",94,13,27,6,9,13,26
"S00135673",67,21,23,4,6,4,9
"S00135674",83,20,14,7,10,11,25
"S00135675",109,31,31,11,6,10,16
"S00135676",72,15,17,6,2,10,22
"S00135677",58,13,18,8,2,7,12
"S00135678",88,8,15,14,6,14,29
"S00135679",72,6,7,2,7,12,40
"S00135680",88,12,38,6,7,5,17
"S00135681",98,12,16,9,5,22,34
"S00135682",69,9,21,10,14,5,11
"S00135683",82,23,16,7,5,17,18
"S00135684",70,13,21,4,8,7,18
"S00135685",108,31,18,9,14,11,26
"S00135686",103,52,20,5,10,5,11
"S00135687",101,17,20,11,5,9,40
"S00135688",113,36,31,6,11,11,14
"S00135689",74,9,23,10,3,13,15
"S00135690",106,34,22,13,5,11,20
"S00135691",98,20,22,15,3,13,27
"S00135692",61,12,21,-,3,7,19
"S00135693",83,15,33,6,4,11,14
"S00135694",76,20,22,9,8,4,14
"S00135695",73,12,16,8,8,7,22
"S00135696",59,2,5,5,4,3,41
"S00135697",101,11,17,11,4,12,38
"S00135698",118,34,29,7,11,13,29
"S00135699",126,16,36,12,9,19,26
"S00135700",43,9,12,3,3,7,11
"S00135701",80,20,24,5,7,8,19
"S00135702",103,43,20,4,12,10,13
"S00135703",59,6,15,8,-,14,14
"S00135704",62,14,13,6,3,9,15
"S00135705",75,13,21,6,4,10,22
"S00135706",92,22,27,10,6,7,26
"S00135707",53,8,18,5,1,9,14
"S00135708",101,17,29,8,7,8,36
"S00135709",80,20,22,7,2,8,12
"S00135710",52,12,17,4,-,5,13
"S00135711",75,15,17,3,5,8,29
"S00135712",100,24,22,10,6,16,22
"S00135713",66,8,18,6,5,8,24
"S00135714",105,21,36,7,5,9,27
"S00135715",92,13,27,8,11,18,18
"S00135716",107,25,25,8,6,12,28
"S00135717",95,11,20,9,3,14,41
"S00135718",59,11,13,8,3,7,16
"S00135719",119,19,47,9,7,19,20
"S00135720",169,42,54,17,20,19,22
"S00135721",128,18,50,7,10,22,26
"S00135722",56,16,20,6,2,7,7
"S00135723",61,17,10,3,3,9,16
"S00135724",67,16,22,4,3,9,14
"S00135725",89,27,24,7,3,5,23
"S00135726",114,15,39,14,8,23,17
"S00135727",99,5,22,12,3,12,50
"S00135728",91,13,35,5,8,10,20
"S00135729",96,35,29,6,4,7,19
"S00135730",84,16,15,6,11,12,24
"S00135731",66,13,15,8,4,10,19
"S00135732",92,20,24,11,15,8,12
"S00135733",65,11,18,4,4,12,16
"S00135734",180,8,30,22,6,20,96
"S00135735",84,8,19,7,10,17,23
"S00135736",78,7,12,9,3,10,36
"S00135737",64,13,11,6,-,17,19
"S00135738",131,22,49,12,11,18,19
"S00135739",79,10,22,6,3,7,31
"S00135740",77,15,17,5,1,15,21
"S00135741",59,13,15,3,4,14,9
"S00135742",81,12,26,8,10,9,16
"S00135743",66,15,22,5,3,4,17
"S00135744",78,16,24,8,5,9,12
"S00135745",98,17,22,11,9,7,29
"S00135746",51,6,18,7,4,8,8
"S00135747",75,18,30,6,7,9,4
"S00135748",101,21,20,7,9,11,36
"S00135749",62,11,24,4,4,5,10
"S00135750",87,16,22,5,3,7,36
"S00135751",106,27,31,10,1,19,21
"S00135752",65,5,24,5,6,9,16
"S00135753",88,7,24,11,2,17,24
"S00135754",83,24,22,6,3,17,14
"S00135755",112,11,33,10,6,25,29
"S00135756",80,8,15,10,5,12,28
"S00135757",93,20,12,8,7,16,26
"S00135758",97,50,20,5,8,6,9
"S00135759",48,12,21,5,1,7,4
"S00135760",56,13,13,5,1,8,12
"S00135761",77,17,32,6,3,8,11
"S00135762",96,16,29,8,4,16,23
"S00135763",74,11,19,4,11,6,21
"S00135764",77,22,27,5,7,6,13
"S00135765",119,24,21,15,2,21,40
"S00135766",91,11,13,14,1,8,41
"S00135767",98,23,20,11,11,15,18
"S00135768",140,35,61,10,4,9,21
"S00135769",97,24,37,7,8,9,18
"S00135770",93,22,22,10,3,16,20
"S00135771",100,25,21,5,5,14,30
"S00135772",151,34,48,10,25,10,22
"S00135773",118,14,42,12,10,21,21
"S00135774",61,17,15,2,4,10,13
"S00135775",129,23,43,10,1,22,22
"S00135776",84,11,12,7,6,9,37
"S00135777",139,54,45,8,8,10,11
"S00135778",60,15,21,5,5,6,10
"S00135779",100,19,20,11,8,9,29
"S00135780",76,13,17,6,8,16,22
"S00135781",98,14,29,6,19,7,24
"S00135782",86,15,23,9,8,12,20
"S00135783",135,28,30,7,11,19,36
"S00135784",64,17,24,6,4,7,6
"S00135785",55,7,27,8,1,4,12
"S00135786",114,25,39,20,7,6,21
"S00135787",51,9,8,2,3,7,22
"S00135788",93,21,29,8,8,12,15
"S00135789",80,25,25,5,11,5,9
"S00135790",91,15,33,9,7,9,18
"S00135791",143,27,48,14,8,16,30
"S00135792",70,16,17,-,2,9,23
"S00135793",76,14,18,8,4,8,24
"S00135794",117,6,18,14,6,23,55
"S00135795",78,13,29,8,6,7,11
"S00135796",88,12,22,4,6,13,34
"S00135797",194,6,19,39,4,15,106
"S00135798",72,7,23,11,4,6,21
"S00135799",141,36,50,13,10,17,19
"S00135800",88,11,18,12,4,10,30
"S00135801",65,16,21,5,7,10,3
"S00135802",68,17,19,6,-,7,14
"S00135803",83,22,18,8,9,4,20
"S00135804",92,24,27,4,13,10,16
"S00135805",66,19,4,5,2,8,35
"S00135806",90,25,37,7,7,8,12
"S00135807",85,9,22,12,6,15,19
"S00135808",99,23,27,6,5,9,26
"S00135809",81,24,25,6,6,3,15
"S00135810",94,4,22,9,7,8,43
"S00135811",125,27,32,14,2,14,36
"S00135812",92,16,21,9,1,14,28
"S00135813",89,19,27,7,4,9,23
"S00135814",57,14,14,5,3,8,13
"S00135815",66,24,18,2,5,6,11
"S00135816",91,17,20,14,5,8,27
"S00135817",94,12,36,6,8,11,22
"S00135818",91,20,26,11,5,15,20
"S00135819",89,14,37,1,4,9,18
"S00135820",126,16,45,10,7,24,27
"S00135821",68,13,14,7,3,7,24
"S00135822",88,13,23,12,2,13,25
"S00135823",122,16,45,9,6,19,30
"S00135824",142,31,51,8,14,22,16
"S00135825",75,22,25,7,6,6,10
"S00135826",69,17,14,3,3,12,20
"S00135827",50,16,19,5,4,4,7
"S00135828",111,16,33,10,8,13,36
"S00135829",81,41,9,-,4,10,17
"S00135830",60,5,15,6,10,5,17
"S00135831",96,18,42,6,12,10,10
"S00135832",148,18,36,14,18,33,33
"S00135833",97,36,24,4,9,10,16
"S00135834",86,7,14,9,5,10,41
"S00135835",130,24,24,11,10,18,46
"S00135836",84,19,27,3,6,15,11
"S00135837",106,20,38,12,9,16,13
"S00135838",155,3,9,29,1,8,106
"S00135839",225,12,45,75,3,14,79
"S00135840",128,8,23,15,8,16,54
"S00135841",59,16,8,4,5,6,22
"S00135842",75,14,13,4,-,7,36
"S00135843",72,32,18,2,7,7,6
"S00135844",55,16,19,4,5,2,7
"S00135845",66,14,15,4,9,9,12
"S00135846",102,11,23,11,1,15,39
"S00135847",214,11,21,88,-,21,71
"S00135848",89,15,39,10,6,12,9
"S00135849",68,24,16,-,5,7,15
"S00135850",69,6,12,6,4,7,37
"S00135851",91,19,40,7,4,6,15
"S00135852",63,4,11,7,4,17,19
"S00135853",78,46,14,2,6,4,7
"S00135854",65,7,18,8,6,10,21
"S00135855",96,40,15,9,1,11,18
"S00135856",60,15,10,1,4,5,23
"S00135857",50,5,3,4,2,5,31
"S00135858",55,13,23,7,3,4,5
"S00135859",69,13,10,7,3,12,22
"S00135860",86,21,36,7,4,11,7
"S00135861",90,18,20,3,19,12,22
"S00135862",72,15,18,8,6,6,17
"S00135863",73,23,21,4,5,5,11
"S00135864",73,5,10,14,2,10,36
"S00135865",89,3,14,18,6,15,32
"S00135866",73,12,15,13,2,5,23
"S00135867",89,3,16,7,3,8,52
"S00135868",102,7,13,9,1,8,65
"S00135869",62,7,10,5,11,8,22
"S00135870",74,6,15,9,6,11,30
"S00135871",137,12,25,21,7,21,51
"S00135872",86,43,16,3,6,4,13
"S00135873",98,13,37,4,13,10,22
"S00135874",101,10,10,7,5,6,65
"S00135875",98,16,25,12,10,13,22
"S00135876",85,28,28,10,7,4,10
