Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00155095",16,-,4,2,4,1,-,-,-,-,-
"S00155096",22,2,8,6,3,2,-,1,-,-,-
"S00155097",26,3,6,13,-,-,5,2,-,-,-
"S00155098",22,1,19,1,-,-,1,-,-,-,-
"S00155099",35,5,9,16,3,-,-,2,-,-,-
"S00155100",30,4,21,4,1,-,-,1,-,-,-
"S00155101",46,3,22,19,1,1,-,-,-,-,-
"S00155102",18,3,5,7,-,-,-,2,-,-,-
"S00155103",21,1,11,5,-,2,-,-,-,-,-
"S00155104",31,15,9,6,2,-,-,-,-,2,-
"S00155105",24,-,18,1,-,-,-,1,-,-,-
"S00155106",19,1,7,7,3,-,-,-,1,-,-
"S00155107",13,2,8,2,-,-,-,-,-,2,-
"S00155108",46,6,27,1,4,5,3,2,-,-,-
"S00155109",10,2,3,4,2,-,-,-,-,-,-
"S00155110",7,4,5,-,-,-,-,-,-,-,-
"S00155111",27,6,8,7,4,1,-,-,2,-,-
"S00155112",34,1,27,-,1,5,-,-,-,-,-
"S00155113",12,-,11,-,-,-,-,-,-,-,-
"S00155114",26,3,12,6,-,4,1,-,-,-,-
"S00155115",17,2,12,4,-,-,-,-,-,-,-
"S00155116",45,6,9,10,8,3,5,2,-,-,-
"S00155117",27,4,10,4,2,4,-,2,3,-,-
"S00155118",22,5,16,1,-,-,-,2,-,-,-
"S00155119",42,7,27,-,-,5,2,-,-,-,-
"S00155120",9,2,4,1,1,-,-,-,-,-,-
"S00155121",57,12,17,13,1,2,5,5,1,-,-
"S00155122",16,-,13,2,1,-,-,-,-,-,-
"S00155123",13,3,9,-,-,2,-,-,-,-,-
"S00155124",41,3,17,7,8,4,-,-,3,-,-
"S00155125",21,7,11,-,-,1,-,-,-,-,-
"S00155126",10,3,7,-,-,-,1,-,-,-,-
"S00155127",21,10,9,-,2,-,-,4,-,-,-
"S00155128",8,-,6,-,1,-,2,-,-,-,-
"S00155129",22,4,10,6,1,-,-,-,-,-,-
"S00155130",4,-,-,-,-,2,-,-,-,-,-
"S00155131",8,1,4,-,-,3,-,-,-,-,-
"S00155132",17,5,10,-,-,5,-,-,-,-,-
"S00155133",17,6,9,-,-,1,1,-,-,-,-
"S00155134",7,3,1,4,-,-,-,-,-,-,-
"S00155135",31,18,7,11,-,-,2,-,-,-,-
"S00155136",39,3,20,2,-,14,4,-,-,-,-
"S00155137",24,4,12,7,-,1,-,-,-,-,-
"S00155138",10,4,6,-,1,2,-,-,-,-,-
"S00155139",27,1,14,6,-,1,2,1,-,-,-
"S00155140",32,8,12,5,4,2,-,-,-,-,-
"S00155141",8,-,4,2,-,1,-,-,-,-,-
"S00155142",22,5,8,4,1,2,4,-,-,-,-
"S00155143",29,4,15,2,1,6,-,-,1,-,-
"S00155144",8,-,-,-,-,2,1,-,-,-,-
"S00155145",10,-,10,-,-,-,-,-,-,-,-
"S00155146",19,2,12,2,-,-,-,-,-,-,-
"S00155147",17,5,9,2,1,-,-,-,-,-,-
"S00155148",12,3,5,1,-,-,-,1,-,-,-
"S00155149",22,3,7,9,-,-,2,-,-,-,-
"S00155150",10,5,5,1,-,-,-,1,-,-,-
"S00155151",15,5,7,5,-,-,-,-,-,-,-
"S00155152",6,4,-,2,-,-,-,-,-,-,-
"S00155153",28,12,16,3,-,1,-,-,-,-,-
"S00155154",7,1,4,2,-,-,-,-,-,-,-
"S00155155",14,1,4,1,1,7,-,-,-,-,-
"S00155156",19,2,9,5,-,-,-,-,-,-,-
"S00155157",10,3,4,1,4,-,-,-,-,-,-
"S00155158",18,2,3,11,-,-,-,1,-,-,-
"S00155159",4,-,4,-,-,-,-,-,-,-,-
"S00155160",14,-,7,3,4,-,-,-,-,-,-
"S00155161",19,7,11,-,-,-,1,-,-,-,-
"S00155162",14,4,9,1,-,1,-,-,-,-,-
"S00155163",12,1,9,-,-,-,-,-,-,1,-
"S00155164",15,2,8,7,2,-,-,-,-,-,-
"S00155165",9,2,6,1,-,1,-,-,-,-,-
"S00155166",7,2,4,-,-,-,-,-,-,-,-
"S00155167",29,7,12,-,-,5,-,-,2,-,-
"S00155168",12,2,7,3,1,-,-,-,1,-,-
"S00155169",19,2,17,-,-,-,-,-,-,-,-
"S00155170",23,7,12,2,-,1,-,-,-,-,-
"S00155171",44,12,23,4,2,4,-,1,1,-,-
"S00155172",16,4,6,5,1,-,1,-,-,-,-
"S00155173",21,5,6,6,1,2,-,-,-,-,-
"S00155174",22,4,15,-,4,-,-,-,-,-,-
"S00155175",11,3,5,-,1,2,-,-,-,-,-
"S00155176",16,2,13,2,-,-,-,-,-,-,-
"S00155177",15,-,12,-,-,-,1,4,-,-,-
"S00155178",7,-,7,-,-,-,-,-,-,-,-
"S00155179",19,2,15,-,2,-,1,-,-,-,-
"S00155180",29,6,6,5,2,-,1,10,-,-,-
"S00155181",11,2,5,1,2,-,-,-,-,-,-
"S00155182",11,4,4,3,-,-,-,-,-,-,-
"S00155183",10,1,1,7,1,-,-,-,-,-,-
"S00155184",17,7,3,4,1,2,2,-,-,-,-
"S00155185",45,4,26,9,-,4,2,-,-,-,-
"S00155186",15,4,8,-,-,2,-,-,-,-,-
"S00155187",24,5,9,10,-,-,-,4,-,-,-
"S00155188",31,5,18,6,2,-,-,-,-,-,-
"S00155189",5,1,1,-,-,-,1,2,-,-,-
"S00155190",22,2,8,5,-,3,-,4,-,-,-
"S00155191",25,3,20,1,-,-,-,-,-,-,-
"S00155192",21,4,14,1,1,1,-,-,-,-,-
"S00155193",9,2,4,-,-,-,-,2,-,-,-
"S00155194",33,12,12,8,-,-,3,-,1,-,-
"S00155195",5,-,4,-,-,-,-,-,-,-,-
"S00155196",10,3,6,-,-,2,-,-,-,-,-
"S00155197",2,1,1,-,-,-,-,-,-,-,-
"S00155198",16,1,-,4,2,2,-,-,4,-,-
"S00155199",30,10,13,1,2,2,-,-,-,-,-
"S00155200",20,2,4,10,1,-,2,-,-,-,-
"S00155201",20,4,8,4,1,2,-,-,-,-,-
"S00155202",19,3,11,2,1,2,-,-,-,-,-
"S00155203",13,7,5,2,-,-,1,-,-,-,-
"S00155204",15,5,5,-,4,1,-,-,-,-,-
"S00155205",32,12,17,1,2,-,-,-,-,-,-
"S00155206",18,-,8,2,-,5,-,-,-,-,-
"S00155207",32,5,15,4,-,4,-,2,-,-,-
"S00155208",42,11,15,15,-,-,-,-,-,4,-
"S00155209",16,2,9,1,-,-,-,2,-,1,-
"S00155210",16,-,14,-,-,1,-,-,-,-,-
"S00155211",20,3,11,-,1,1,3,-,-,-,-
"S00155212",20,2,10,4,-,4,-,2,-,-,-
"S00155213",9,3,5,-,1,-,1,1,-,-,-
"S00155214",38,3,26,5,3,-,-,1,-,-,-
"S00155215",12,2,3,-,4,2,1,-,-,-,-
"S00155216",27,1,15,5,4,5,-,-,-,-,-
"S00155217",11,2,4,3,-,2,2,-,-,-,-
"S00155218",23,4,13,1,3,-,4,-,-,-,-
"S00155219",16,8,6,2,-,-,-,-,-,-,-
"S00155220",5,-,5,-,-,-,-,-,-,-,-
"S00155221",11,4,6,2,-,-,-,-,-,-,-
"S00155222",15,10,1,1,2,2,-,1,-,-,-
"S00155223",24,4,14,1,2,2,-,-,-,-,-
"S00155224",13,5,4,4,-,-,-,-,-,-,-
"S00155225",26,14,7,6,4,-,2,-,-,-,-
"S00155226",33,5,19,5,-,1,-,-,-,-,-
"S00155227",25,5,15,3,2,-,-,-,-,-,-
"S00155228",34,7,15,8,2,2,5,-,-,-,-
"S00155229",58,10,38,1,1,4,3,-,-,-,-
"S00155230",12,4,5,2,2,-,-,-,-,-,-
"S00155231",17,2,10,3,4,-,-,-,-,-,-
"S00155232",9,-,1,5,2,-,-,-,2,-,-
"S00155233",21,8,10,5,-,-,-,-,-,-,-
"S00155234",22,5,9,1,-,5,1,-,-,-,1
"S00155235",23,9,9,3,-,-,-,2,-,-,-
"S00155236",13,4,11,-,-,-,-,-,-,-,-
"S00155237",28,14,10,2,-,1,-,2,-,-,-
"S00155238",7,-,3,6,-,-,-,-,-,-,-
"S00155239",22,6,12,5,2,-,-,-,-,-,-
"S00155240",19,6,7,3,1,1,-,-,-,-,-
"S00155241",15,7,5,5,-,-,-,-,-,-,-
"S00155242",22,2,-,4,7,-,8,-,1,-,-
"S00155243",41,8,23,8,-,-,-,3,-,-,-
"S00155244",19,6,10,2,-,-,-,-,4,-,-
"S00155245",36,12,15,8,2,1,-,-,1,-,-
"S00155246",33,8,16,4,-,1,-,-,-,1,-
"S00155247",14,2,4,5,1,-,-,-,1,-,-
"S00155248",23,3,9,3,-,-,-,-,-,-,-
"S00155249",30,-,19,6,1,-,-,2,-,1,-
"S00155250",20,5,5,7,-,1,3,-,-,-,-
"S00155251",16,6,5,6,-,-,-,-,-,-,-
"S00155252",7,2,5,-,-,-,-,-,-,-,-
"S00155253",45,10,30,1,3,-,1,-,-,-,-
"S00155254",32,3,14,12,1,-,-,-,-,-,-
"S00155255",15,2,10,1,-,1,-,1,-,-,-
"S00155256",20,3,5,8,1,-,2,-,-,-,-
"S00155257",19,6,10,2,-,-,-,-,-,1,-
"S00155258",5,-,-,-,1,4,-,-,-,-,-
"S00155259",43,12,17,7,2,2,1,-,-,-,-
"S00155260",23,11,8,1,3,-,-,-,-,-,-
"S00155261",22,5,12,-,-,3,-,-,-,-,1
"S00155262",30,5,15,7,-,1,1,1,-,-,-
"S00155263",9,-,3,4,-,-,1,-,-,1,-
"S00155264",14,3,3,5,1,-,1,-,1,-,-
"S00155265",36,9,25,3,-,-,1,-,-,-,-
"S00155266",15,-,11,3,1,-,-,-,-,-,-
"S00155267",16,5,4,8,-,1,-,-,-,-,-
"S00155268",49,14,26,10,1,-,-,-,-,-,-
"S00155269",30,4,17,1,1,6,-,1,-,-,-
"S00155270",28,5,20,4,-,-,1,1,-,-,-
"S00155271",12,4,7,-,-,-,1,-,-,-,-
"S00155272",17,-,7,6,2,2,-,-,-,1,-
"S00155273",62,17,26,11,2,4,1,1,-,-,-
"S00155274",16,1,6,2,3,2,-,-,-,-,-
"S00155275",37,6,23,5,4,1,-,-,-,-,-
"S00155276",21,3,5,3,1,3,1,4,-,-,-
"S00155277",16,3,10,2,-,-,-,-,-,-,-
"S00155278",26,-,13,10,-,-,1,-,-,-,-
"S00155279",16,4,10,-,-,1,-,-,1,-,-
"S00155280",22,9,5,7,1,-,-,1,-,-,-
"S00155281",7,-,2,5,2,-,-,-,-,-,-
"S00155282",10,-,7,3,-,-,-,-,-,-,-
"S00155283",21,4,10,1,-,2,-,-,-,1,-
"S00155284",13,-,7,-,1,4,-,-,2,-,-
"S00155285",24,8,5,10,2,-,-,2,-,1,-
"S00155286",26,8,10,8,2,-,-,2,-,-,-
"S00155287",24,7,9,-,-,-,-,2,1,-,-
"S00155288",16,6,5,4,-,-,-,-,-,-,-
"S00155289",12,2,7,3,1,-,-,-,-,-,-
"S00155290",29,5,13,9,-,-,2,-,-,-,-
"S00155291",14,-,6,6,1,-,-,-,-,-,-
"S00155292",17,8,10,3,1,-,-,-,-,-,-
"S00155293",31,11,11,5,3,-,3,-,-,-,-
"S00155294",16,2,7,-,5,-,1,1,2,-,-
"S00155295",30,6,17,4,-,1,-,-,-,-,-
"S00155296",17,6,6,4,-,-,-,-,-,-,-
"S00155297",42,9,26,3,2,-,2,-,-,-,-
"S00155298",25,1,11,8,2,-,-,-,-,-,-
"S00155299",9,-,6,2,-,-,1,-,-,-,-
"S00155300",12,11,1,1,2,-,-,-,-,-,-
"S00155301",25,6,15,3,-,3,-,2,-,-,-
"S00155302",8,3,2,-,-,1,-,-,-,-,-
"S00155303",15,5,3,-,4,1,-,-,4,-,-
"S00155304",16,1,10,-,-,-,-,1,-,-,-
"S00155305",12,-,5,-,-,4,-,-,-,-,-
"S00155306",15,1,-,4,5,2,-,1,-,-,-
"S00155307",27,6,13,2,1,2,-,-,-,-,-
"S00155308",14,-,8,4,-,-,-,-,-,-,-
"S00155309",15,3,8,1,-,-,-,-,-,-,-
"S00155310",13,-,4,2,-,3,-,3,2,-,-
"S00155311",20,4,6,6,-,-,1,2,-,-,-
"S00155312",5,-,-,4,-,2,1,1,-,-,-
"S00155313",28,9,13,5,1,-,-,-,-,-,-
"S00155314",29,8,12,9,-,-,-,-,-,-,-
"S00155315",4,1,2,-,1,-,-,-,-,-,-
"S00155316",6,1,-,4,-,-,-,-,-,-,-
"S00155317",23,1,5,8,-,3,4,4,-,-,-
"S00155318",28,4,16,1,-,1,3,3,-,-,-
"S00155319",14,3,7,-,-,-,-,-,-,1,-
"S00155320",7,-,3,5,1,-,-,-,-,-,-
"S00155321",24,5,6,1,11,-,-,1,-,-,-
"S00155322",17,6,5,3,-,2,-,-,-,-,-
"S00155323",8,2,4,-,-,-,-,1,-,-,-
"S00155324",21,5,6,5,2,1,3,-,-,-,-
"S00155325",14,4,7,4,-,-,-,-,-,-,-
"S00155326",14,5,6,5,-,2,-,-,1,-,-
"S00155327",9,1,3,5,-,-,-,-,-,-,-
"S00155328",8,2,2,2,-,-,3,-,-,-,-
"S00155329",23,3,18,6,1,-,-,-,-,-,-
"S00155330",16,-,5,5,1,2,-,-,1,-,-
"S00155331",12,2,4,2,-,1,-,-,-,-,-
"S00155332",2,-,2,-,-,-,-,-,-,-,-
"S00155333",24,3,12,2,-,6,1,1,-,-,-
"S00155334",34,6,17,2,3,1,1,-,-,-,-
"S00155335",10,3,1,5,2,-,-,-,-,-,-
"S00155336",22,3,8,4,4,3,1,-,1,-,-
"S00155337",17,4,11,2,1,-,-,-,-,-,-
"S00155338",31,9,10,8,2,1,-,-,-,-,-
"S00155339",25,6,7,7,2,1,-,-,-,-,-
"S00155340",45,11,17,6,4,-,-,-,-,-,-
"S00155341",15,4,14,-,-,-,-,-,-,-,-
"S00155342",5,3,-,2,-,-,-,-,-,-,-
"S00155343",24,6,6,9,-,2,-,1,-,-,-
"S00155344",18,1,6,11,-,1,-,-,-,-,-
"S00155345",17,3,10,-,-,-,2,-,-,-,-
"S00155346",12,4,5,-,2,-,-,-,-,-,-
"S00155347",32,8,9,11,3,1,3,1,-,-,-
"S00155348",35,7,17,3,1,-,4,-,2,1,-
"S00155349",9,3,1,1,1,3,-,-,-,-,-
"S00155350",30,8,11,8,-,1,-,-,-,-,-
"S00155351",24,5,4,1,10,-,1,1,1,-,-
"S00155352",10,5,1,2,2,-,-,-,-,-,-
"S00155353",29,5,14,5,1,-,1,4,-,-,-
"S00155354",4,-,4,-,-,-,-,-,-,-,-
"S00155355",27,11,10,2,-,1,2,-,-,-,-
"S00155356",21,4,12,2,2,-,1,-,-,-,-
"S00155357",17,5,4,8,-,3,-,-,-,-,-
"S00155358",12,5,6,2,-,-,-,-,-,-,-
"S00155359",50,10,20,13,-,-,-,4,-,-,-
"S00155360",10,2,2,1,2,1,1,-,-,-,-
"S00155361",29,7,10,7,2,3,-,-,-,-,-
"S00155362",14,3,5,2,2,-,3,-,-,-,-
"S00155363",14,8,7,2,-,-,-,-,-,-,-
"S00155364",39,9,14,7,1,4,4,-,-,-,-
"S00155365",15,7,8,-,-,-,-,-,-,-,-
"S00155366",36,16,14,6,2,-,2,-,-,-,-
"S00155367",13,-,9,5,-,-,-,-,-,-,-
"S00155368",30,7,16,5,-,2,-,-,-,-,-
"S00155369",26,10,11,-,-,-,-,2,-,1,-
"S00155370",16,4,13,1,-,2,-,-,-,-,-
"S00155371",33,6,13,7,-,1,-,-,-,1,-
"S00155372",30,4,20,4,-,2,-,-,-,-,-
"S00155373",39,7,14,9,-,1,-,7,-,-,-
"S00155374",11,3,8,2,1,-,-,-,-,1,-
"S00155375",26,3,12,3,1,1,1,2,-,-,-
"S00155376",13,2,4,4,1,-,-,4,-,-,-
"S00155377",15,-,6,-,1,2,-,-,-,-,-
"S00155378",24,8,12,5,1,-,-,-,-,-,-
"S00155379",12,4,4,5,-,-,-,-,-,-,-
"S00155380",28,6,13,4,-,1,1,-,-,-,-
"S00155381",10,-,6,6,1,-,-,-,-,-,-
"S00155382",12,-,4,8,-,-,-,-,-,-,-
"S00155383",11,-,1,1,-,3,1,-,-,1,-
"S00155384",26,7,10,6,-,-,-,3,1,-,-
"S00155385",16,9,3,1,2,-,-,-,-,-,-
"S00155386",50,13,21,13,3,-,-,2,-,-,-
"S00155387",18,10,6,2,-,-,1,-,-,-,-
"S00155388",16,5,8,3,2,-,-,-,-,-,-
"S00155389",12,4,3,4,-,1,-,-,-,-,1
"S00155390",23,8,8,8,1,2,-,-,-,-,-
"S00155391",17,3,1,10,1,-,1,-,-,-,-
"S00155392",10,2,7,2,-,-,-,-,-,-,-
"S00155393",29,8,9,5,6,-,-,1,-,-,-
"S00155394",7,1,5,-,-,2,-,-,-,-,-
"S00155395",36,10,17,6,-,1,1,2,-,-,-
"S00155396",11,3,2,1,1,3,2,-,-,-,-
"S00155397",19,6,9,6,1,-,-,-,-,-,-
"S00155398",20,3,14,6,1,-,-,-,1,-,-
"S00155399",23,2,18,2,-,-,-,-,-,-,1
"S00155400",33,8,2,2,14,-,-,4,-,-,-
"S00155401",24,2,16,8,1,-,-,-,-,-,-
"S00155402",14,6,5,2,2,-,2,-,-,-,-
"S00155403",6,-,1,3,1,-,-,-,-,-,-
"S00155404",25,4,6,9,-,-,2,1,-,-,-
"S00155405",23,6,2,10,2,-,-,-,-,-,-
"S00155406",25,9,12,4,-,-,-,2,-,-,-
"S00155407",26,7,11,6,-,1,-,-,1,-,-
"S00155408",28,9,2,10,5,1,1,-,-,-,-
"S00155409",6,2,1,-,-,-,-,-,1,-,-
"S00155410",12,5,5,1,-,-,-,1,-,-,-
"S00155411",31,7,8,5,6,3,-,-,-,-,-
"S00155412",11,4,4,1,-,-,-,-,-,-,-
"S00155413",32,13,11,6,3,-,-,-,-,-,-
"S00155414",11,1,5,3,-,-,-,-,-,1,-
"S00155415",16,-,11,4,2,-,-,1,-,-,-
"S00155416",17,-,8,3,2,3,-,-,-,-,-
"S00155417",17,3,6,5,4,-,-,-,-,1,-
"S00155418",30,11,5,9,4,1,-,-,-,-,-
"S00155419",13,3,6,-,1,-,-,-,-,-,-
"S00155420",12,2,1,6,-,-,-,1,-,-,-
"S00155421",37,6,19,5,1,2,-,-,3,1,-
"S00155422",14,-,8,4,-,-,1,-,-,-,-
"S00155423",5,2,2,2,-,-,-,-,-,-,-
"S00155424",27,5,11,6,2,1,1,-,1,-,-
"S00155425",22,1,10,9,-,2,-,1,-,-,-
"S00155426",22,3,7,4,1,1,-,4,-,-,-
"S00155427",9,-,7,1,-,-,-,-,-,-,-
"S00155428",15,5,2,3,-,2,-,-,-,1,-
"S00155429",20,2,9,5,-,-,2,3,-,-,-
"S00155430",43,14,16,11,2,-,-,-,-,-,-
"S00155431",17,2,2,1,6,5,-,-,-,-,-
"S00155432",11,2,4,2,2,1,-,-,-,-,-
"S00155433",10,1,4,7,-,-,-,-,-,-,-
"S00155434",11,6,2,2,-,-,-,1,-,-,-
"S00155435",11,6,5,-,-,3,-,-,-,-,-
"S00155436",18,6,9,2,-,-,2,-,-,-,-
"S00155437",13,5,4,-,1,-,-,3,-,-,-
"S00155438",42,12,15,9,1,3,1,1,-,-,-
"S00155439",42,4,31,-,1,1,2,-,3,-,-
"S00155440",19,6,9,4,-,-,-,-,-,-,-
"S00155441",48,11,22,10,-,4,-,2,-,-,-
"S00155442",34,8,10,11,1,4,-,-,-,1,-
"S00155443",14,-,6,2,-,-,-,1,3,-,-
"S00155444",15,7,3,4,-,-,2,-,-,-,-
"S00155445",14,-,9,4,-,-,-,-,-,-,-
"S00155446",44,11,17,16,-,1,1,-,-,-,-
"S00155447",26,6,12,6,1,-,-,-,2,-,-
"S00155448",54,3,40,2,1,4,1,1,-,1,-
"S00155449",12,1,1,1,2,1,2,2,-,-,-
"S00155450",70,15,38,2,9,6,-,-,-,-,-
"S00155451",17,2,7,4,-,-,1,-,-,-,-
"S00155452",19,5,5,4,2,3,-,2,-,-,-
"S00155453",12,3,8,-,-,-,1,-,-,-,-
"S00155454",16,4,3,-,7,-,1,-,1,-,-
"S00155455",-,-,-,-,-,-,-,-,-,-,-
"S00155456",4,2,1,1,-,-,-,-,-,-,-
"S00155457",21,7,6,-,3,3,-,-,-,1,-
"S00155458",7,-,5,1,-,-,-,4,-,-,-
"S00155459",7,-,1,-,1,-,4,-,-,-,-
"S00155460",11,2,5,3,-,-,-,-,-,-,1
"S00155461",4,1,2,-,-,-,1,-,-,-,-
"S00155462",25,3,12,10,-,1,-,-,-,-,-
"S00155463",1,-,1,-,-,-,-,-,-,-,-
"S00155464",12,1,10,-,2,-,1,-,-,-,-
"S00155465",4,3,-,-,-,-,1,-,-,-,-
"S00155466",8,3,3,1,-,-,-,1,-,-,-
"S00155467",21,6,14,-,1,-,1,-,-,-,-
"S00155468",12,5,-,4,-,1,-,-,-,-,-
"S00155469",24,4,12,6,1,-,1,-,-,-,-
"S00155470",44,8,14,15,7,1,-,2,-,-,-
"S00155471",13,7,3,5,-,-,-,-,-,-,-
"S00155472",13,1,8,2,-,-,1,-,1,-,-
"S00155473",5,-,4,1,-,-,-,-,-,-,-
"S00155474",33,5,17,7,-,3,-,-,-,1,-
"S00155475",12,2,6,2,-,4,1,-,-,-,-
"S00155476",31,6,19,-,1,2,1,3,-,-,-
"S00155477",8,1,5,1,-,-,-,-,1,-,-
"S00155478",2,-,-,2,-,-,-,-,-,-,-
"S00155479",3,-,-,2,-,-,-,-,-,-,-
"S00155480",15,2,3,11,1,-,-,-,-,-,-
"S00155481",12,4,8,-,-,-,-,-,-,-,-
"S00155482",51,6,37,3,2,1,1,1,1,-,-
"S00155483",28,2,11,12,-,1,1,2,-,-,-
"S00155484",18,2,7,6,2,1,-,-,-,-,-
"S00155485",4,1,1,-,-,-,-,-,-,-,-
"S00155486",30,8,8,-,11,2,1,1,1,-,-
"S00155487",22,6,8,2,1,1,1,-,-,-,-
"S00155488",8,4,4,1,-,1,-,-,-,-,-
"S00155489",13,1,5,1,-,2,-,1,2,-,-
"S00155490",9,2,-,-,2,1,3,-,-,-,-
"S00155491",24,3,17,-,2,-,1,2,-,-,-
"S00155492",19,5,5,2,-,-,-,6,-,-,-
"S00155493",16,3,14,-,-,-,-,-,-,-,-
"S00155494",34,4,20,6,2,1,-,1,-,-,-
"S00155495",11,1,5,1,1,-,-,1,-,-,-
"S00155496",13,6,-,2,-,-,4,1,-,-,-
"S00155497",16,3,7,-,4,2,-,-,-,-,-
"S00155498",4,1,2,-,-,-,1,-,1,-,-
"S00155499",20,1,6,8,1,1,-,-,1,-,-
"S00155500",12,3,7,2,1,1,-,-,-,-,-
"S00155501",21,7,10,2,-,-,-,-,1,-,-
"S00155502",16,1,9,-,8,-,1,-,-,-,-
"S00155503",16,4,5,5,-,-,-,-,1,1,-
"S00155504",40,11,7,9,6,7,1,4,-,-,-
"S00155505",28,5,10,10,1,-,-,-,-,-,-
"S00155506",12,3,1,5,-,-,4,-,1,-,-
"S00155507",5,-,-,5,-,-,-,-,-,-,-
"S00155508",31,6,19,2,3,-,-,-,-,-,-
"S00155509",10,1,2,4,2,1,1,-,-,-,-
"S00155510",14,3,1,9,-,2,-,-,4,1,-
"S00155511",31,2,19,-,3,1,-,-,-,-,-
"S00155512",11,-,4,6,-,1,-,-,-,-,-
"S00155513",9,2,4,-,2,1,1,-,-,-,-
"S00155514",14,5,3,4,2,-,-,-,-,-,-
"S00155515",32,1,5,13,1,8,2,-,-,2,2
"S00155516",19,3,3,6,3,2,-,1,2,-,-
"S00155517",18,1,15,-,-,-,-,-,-,-,-
"S00155518",10,5,2,-,2,-,-,1,-,-,-
"S00155519",11,-,1,5,-,1,2,-,-,-,-
"S00155520",11,2,8,-,-,-,-,-,-,-,-
"S00155521",8,2,-,1,2,2,-,-,-,-,-
"S00155522",28,1,24,2,1,-,-,-,-,-,-
"S00155523",12,4,3,3,2,-,-,1,-,-,-
"S00155524",26,6,9,-,11,1,-,-,-,-,-
"S00155525",42,10,17,-,13,2,1,-,-,-,-
"S00155526",28,8,9,6,-,5,-,-,-,-,-
"S00155527",6,-,2,5,-,-,-,-,-,1,-
"S00155528",13,1,1,1,-,6,-,1,-,-,-
"S00155529",14,2,7,-,-,1,-,-,2,1,-
"S00155530",10,-,4,2,-,-,-,1,-,1,-
"S00155531",7,2,1,3,-,-,-,-,-,-,-
"S00155532",9,1,1,3,1,-,1,2,-,-,-
"S00155533",14,1,5,3,4,1,-,-,-,-,-
"S00155534",43,7,17,19,-,-,-,-,1,-,-
"S00155535",7,-,1,2,-,1,-,1,-,1,-
"S00155536",22,1,14,1,8,-,-,-,-,-,-
"S00155537",13,-,4,3,-,-,2,-,-,-,-
"S00155538",51,9,19,2,16,2,3,3,-,-,-
"S00155539",19,5,5,12,-,2,1,-,-,-,-
"S00155540",17,3,6,10,-,-,-,-,-,-,-
"S00155541",25,3,11,9,1,1,-,-,-,-,-
"S00155542",13,3,4,5,-,-,-,-,-,-,-
"S00155543",19,-,2,-,8,4,-,-,-,1,-
"S00155544",6,3,6,-,-,-,-,-,-,-,-
"S00155545",23,-,7,13,1,-,2,-,-,-,-
"S00155546",25,8,11,-,4,-,1,-,-,-,-
"S00155547",27,7,11,1,4,2,1,-,1,1,-
"S00155548",16,3,6,-,6,1,-,-,-,-,-
"S00155549",3,1,-,1,-,-,-,1,-,-,-
"S00155550",18,6,11,1,-,1,1,-,-,-,-
"S00155551",38,7,22,11,-,1,-,-,-,-,-
"S00155552",7,1,4,1,-,-,-,-,1,-,-
"S00155553",14,1,6,3,-,3,2,-,2,-,-
"S00155554",10,1,1,8,-,-,-,-,-,-,-
"S00155555",38,12,17,6,1,3,-,-,2,-,-
"S00155556",20,2,12,-,-,-,-,4,-,-,-
"S00155557",10,4,4,-,-,-,-,2,-,-,-
"S00155558",34,6,9,12,-,1,1,1,1,-,-
"S00155559",32,2,13,13,-,4,3,-,-,-,-
"S00155560",18,-,6,8,1,2,-,1,-,2,-
"S00155561",7,2,4,1,-,-,-,-,-,-,-
"S00155562",10,1,6,1,2,1,-,-,-,-,-
"S00155563",20,-,13,2,-,4,-,-,-,-,-
"S00155564",6,-,3,-,-,-,1,1,1,-,-
"S00155565",6,5,1,-,-,-,-,-,-,-,-
"S00155566",15,6,3,1,-,2,1,4,-,-,-
"S00155567",15,4,2,-,2,1,3,-,-,-,-
"S00155568",13,2,9,-,2,1,-,-,-,-,-
"S00155569",18,7,8,2,1,-,-,-,-,-,-
"S00155570",28,6,13,3,3,5,-,-,-,-,-
"S00155571",16,-,6,5,-,2,-,1,1,-,-
"S00155572",8,3,2,2,-,-,-,1,-,-,-
"S00155573",13,1,4,4,-,-,1,-,-,-,-
"S00155574",8,1,1,6,-,1,-,-,-,-,-
"S00155575",32,6,18,2,4,-,2,-,1,-,-
"S00155576",34,5,11,10,3,5,-,-,-,-,-
"S00155577",3,1,2,1,-,-,-,-,-,-,-
"S00155578",16,3,10,-,-,3,1,-,-,-,-
"S00155579",8,3,1,-,-,-,2,-,1,-,-
"S00155580",10,2,6,-,-,1,-,-,1,-,-
"S00155581",13,1,10,1,3,-,-,-,1,-,-
"S00155582",12,5,1,1,2,2,-,-,2,-,-
"S00155583",13,-,9,2,-,1,-,1,1,-,-
"S00155584",10,-,6,2,-,-,-,-,-,-,-
"S00155585",14,5,7,-,-,1,2,-,-,-,-
"S00155586",19,4,4,1,-,3,-,5,-,-,-
"S00155587",4,-,4,-,-,-,-,-,-,-,-
