Scotland's Census 2022 - National Records of Scotland
Table UV704 - Distance travelled to place of study
All people aged 4 and over studying the week before the census
,"All people aged 4 and over studying the week before the census","Mainly study from home","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Other - No fixed place of study or studying outside the UK"
"S00135485",24,1,15,3,2,4,-,-,-,1,-
"S00135486",23,5,13,2,2,1,-,-,-,-,-
"S00135487",20,1,-,7,11,1,-,-,-,1,-
"S00135488",21,2,20,3,5,-,-,-,-,1,-
"S00135489",22,5,5,3,9,-,-,-,-,-,-
"S00135490",14,1,12,1,-,-,-,-,-,-,-
"S00135491",16,2,4,-,10,-,-,-,-,-,-
"S00135492",17,2,14,3,-,-,-,-,-,-,-
"S00135493",39,4,14,12,8,1,-,-,-,-,-
"S00135494",17,-,7,4,5,-,-,-,-,-,-
"S00135495",22,7,15,1,3,-,-,-,-,-,-
"S00135496",15,-,11,-,2,-,-,-,-,-,1
"S00135497",49,6,30,6,7,-,-,-,-,-,-
"S00135498",20,9,9,-,2,-,-,-,-,-,-
"S00135499",21,4,9,4,4,-,-,-,-,-,-
"S00135500",28,2,16,5,4,-,-,-,-,-,-
"S00135501",15,3,9,2,-,-,-,-,-,-,-
"S00135502",17,8,4,3,6,-,-,-,-,-,-
"S00135503",11,3,4,4,3,-,-,-,-,-,-
"S00135504",7,1,-,4,2,-,-,-,-,-,-
"S00135505",34,2,14,9,7,-,-,-,-,-,-
"S00135506",13,2,9,3,-,-,-,-,-,-,-
"S00135507",38,-,19,10,9,1,-,-,-,1,-
"S00135508",5,-,2,-,2,-,-,-,-,-,-
"S00135509",19,-,21,1,-,-,-,-,-,-,-
"S00135510",9,-,2,7,-,-,-,-,-,-,-
"S00135511",7,1,4,2,-,-,-,-,-,-,-
"S00135512",10,2,3,3,2,-,-,-,-,-,-
"S00135513",17,-,13,1,3,-,-,-,-,-,-
"S00135514",16,8,7,-,-,-,-,-,-,-,-
"S00135515",29,8,13,6,2,-,-,-,-,-,-
"S00135516",36,10,15,5,6,-,-,-,-,-,-
"S00135517",17,-,11,2,-,1,-,-,-,1,-
"S00135518",7,-,5,2,1,-,-,-,-,-,-
"S00135519",13,3,4,4,2,-,-,-,-,-,-
"S00135520",20,2,5,9,4,-,-,-,-,-,-
"S00135521",19,8,6,1,3,-,-,-,-,-,2
"S00135522",6,1,3,-,2,-,-,-,-,-,-
"S00135523",2,-,1,1,-,-,-,-,-,-,-
"S00135524",7,2,3,4,-,-,-,-,-,-,-
"S00135525",12,4,3,1,4,-,-,-,-,-,-
"S00135526",11,2,8,-,1,-,-,-,-,-,-
"S00135527",9,-,8,-,2,-,-,-,-,-,-
"S00135528",16,-,13,2,2,-,-,-,-,-,-
"S00135529",11,4,4,2,1,-,-,-,-,-,-
"S00135530",15,4,13,-,-,-,-,-,-,-,-
"S00135531",13,-,2,5,6,-,-,-,-,-,-
"S00135532",22,-,13,4,2,1,2,-,-,-,-
"S00135533",16,5,9,4,-,-,-,-,-,-,-
"S00135534",23,4,11,6,2,-,-,-,-,-,-
"S00135535",33,4,16,11,6,-,-,-,-,-,-
"S00135536",55,9,26,5,13,1,-,-,-,-,2
"S00135537",17,3,8,4,-,-,-,-,-,-,-
"S00135538",12,-,6,8,-,-,-,-,-,1,-
"S00135539",19,-,11,4,4,-,-,-,-,-,-
"S00135540",23,6,15,-,2,-,-,-,-,-,-
"S00135541",6,-,2,3,2,-,-,-,-,-,-
"S00135542",44,5,18,8,8,-,-,-,-,1,-
"S00135543",29,1,5,10,8,-,-,-,-,-,-
"S00135544",14,2,10,1,-,-,-,-,-,-,-
"S00135545",15,4,8,4,-,-,-,-,-,-,-
"S00135546",13,3,7,1,2,-,-,-,-,-,-
"S00135547",37,8,22,1,6,-,-,-,-,-,-
"S00135548",13,2,10,1,-,-,-,-,-,-,-
"S00135549",10,5,3,-,2,-,-,-,-,-,-
"S00135550",29,7,14,4,1,-,-,-,-,1,-
"S00135551",19,-,12,1,3,-,-,-,-,-,-
"S00135552",21,9,7,2,3,-,-,-,-,-,-
"S00135553",37,4,13,13,8,-,-,-,-,-,-
"S00135554",14,5,10,-,-,-,-,-,-,1,-
"S00135555",24,2,5,12,5,-,-,-,-,-,-
"S00135556",4,2,-,-,-,-,-,-,-,-,-
"S00135557",10,7,4,2,1,-,-,-,-,-,-
"S00135558",26,1,11,7,3,1,-,-,-,-,-
"S00135559",12,1,4,-,4,-,-,-,-,3,-
"S00135560",16,4,8,6,-,-,-,-,-,-,-
"S00135561",23,10,10,2,2,1,-,-,-,-,-
"S00135562",14,7,7,-,-,-,-,-,-,-,-
"S00135563",13,4,5,-,-,-,-,-,-,-,-
"S00135564",13,3,2,-,8,-,-,-,-,-,-
"S00135565",11,1,5,-,1,2,-,-,-,-,-
"S00135566",14,-,13,-,-,-,-,-,-,-,-
"S00135567",25,6,12,4,2,-,-,-,-,-,-
"S00135568",17,1,17,2,-,-,-,-,-,1,-
"S00135569",19,5,11,-,3,-,-,-,-,-,-
"S00135570",10,-,5,4,1,-,-,-,-,-,-
"S00135571",13,4,6,2,-,-,-,-,-,-,-
"S00135572",17,3,7,-,5,-,-,-,-,-,-
"S00135573",20,5,12,2,1,-,-,-,-,-,-
"S00135574",24,-,15,4,5,1,-,-,-,-,-
"S00135575",23,6,11,6,-,-,-,-,-,-,-
"S00135576",20,4,9,4,1,-,-,-,-,1,-
"S00135577",24,1,8,9,2,-,-,-,-,1,-
"S00135578",18,6,10,3,2,-,-,-,-,-,-
"S00135579",8,-,6,1,-,-,-,-,-,-,-
"S00135580",17,4,10,3,-,-,-,-,-,-,-
"S00135581",29,3,16,7,3,-,-,-,-,1,-
"S00135582",12,-,4,6,2,-,-,-,-,-,-
"S00135583",25,7,9,5,6,-,-,-,-,-,-
"S00135584",20,2,15,3,-,-,-,-,-,-,-
"S00135585",20,6,3,10,-,-,-,-,-,-,-
"S00135586",20,4,15,1,1,-,-,-,-,-,-
"S00135587",1,-,-,1,1,-,-,-,-,-,-
"S00135588",6,2,-,1,1,-,-,-,-,-,-
"S00135589",8,1,6,-,1,-,-,-,-,-,-
"S00135590",20,4,8,7,1,-,-,-,-,-,-
"S00135591",15,10,6,-,2,-,-,-,-,-,-
"S00135592",16,2,5,7,3,-,-,-,-,-,-
"S00135593",14,5,4,2,-,-,-,-,-,-,-
"S00135594",11,1,8,-,-,-,-,-,-,-,-
"S00135595",28,11,11,-,3,-,-,-,-,-,-
"S00135596",16,4,2,11,3,-,-,-,-,-,-
"S00135597",25,2,12,3,9,-,-,-,-,-,-
"S00135598",11,1,8,1,-,-,-,-,-,-,-
"S00135599",15,6,-,6,3,-,-,-,-,-,-
"S00135600",1,-,1,-,-,-,-,-,-,-,-
"S00135601",38,4,4,23,4,-,-,-,-,2,1
"S00135602",34,7,19,7,1,-,-,-,-,-,-
"S00135603",13,1,5,7,-,-,-,-,-,-,-
"S00135604",5,-,6,1,-,-,-,-,-,-,-
"S00135605",9,1,5,-,2,-,-,-,-,-,-
"S00135606",57,4,21,26,5,-,-,-,-,-,-
"S00135607",1583,222,1184,117,11,-,-,-,-,4,44
"S00135608",10,2,4,1,5,-,-,-,-,-,-
"S00135609",16,2,1,9,1,-,-,-,-,-,-
"S00135610",7,2,2,3,-,-,-,-,-,-,-
"S00135611",18,6,10,1,-,-,-,-,-,1,-
"S00135612",29,5,3,17,2,-,1,-,-,1,-
"S00135613",32,7,5,11,8,1,-,-,-,-,-
"S00135614",22,8,7,3,6,-,-,-,-,1,-
"S00135615",28,5,12,7,1,-,-,-,3,-,-
"S00135616",15,7,4,3,2,-,-,-,-,-,-
"S00135617",18,4,3,6,4,-,-,-,-,-,-
"S00135618",16,4,1,6,2,-,-,-,-,-,-
"S00135619",12,4,8,-,3,-,-,-,-,-,-
"S00135620",44,15,20,7,3,-,-,-,-,-,-
"S00135621",21,9,10,2,1,-,-,-,-,-,-
"S00135622",22,9,1,5,7,-,-,-,-,-,-
"S00135623",14,2,-,6,8,1,-,-,-,-,-
"S00135624",18,4,17,-,-,-,-,-,-,-,-
"S00135625",46,8,15,17,6,-,-,-,-,-,-
"S00135626",12,6,2,2,3,-,-,-,-,1,-
"S00135627",33,1,21,4,4,-,-,-,-,-,-
"S00135628",17,4,12,1,-,-,-,-,-,-,-
"S00135629",30,8,10,7,4,-,-,-,-,2,-
"S00135630",23,3,10,5,5,-,-,-,-,-,-
"S00135631",49,7,24,14,7,-,-,-,-,-,-
"S00135632",30,7,12,5,4,1,-,-,-,1,-
"S00135633",14,3,6,5,-,-,-,-,-,-,-
"S00135634",4,4,-,2,-,-,-,-,-,-,-
"S00135635",13,10,4,-,1,-,-,-,-,-,-
"S00135636",14,6,4,-,6,-,-,-,-,-,-
"S00135637",28,3,20,1,3,-,-,-,-,1,-
"S00135638",14,5,8,-,-,-,-,-,-,-,-
"S00135639",10,-,3,5,-,-,-,-,-,-,-
"S00135640",13,2,10,-,-,-,-,-,-,-,-
"S00135641",18,1,16,1,-,-,-,-,-,-,-
"S00135642",58,13,31,15,2,-,-,-,-,1,-
"S00135643",13,5,5,1,-,-,-,-,-,-,-
"S00135644",10,4,-,5,-,-,-,-,-,-,1
"S00135645",10,2,4,-,3,-,-,-,-,-,-
"S00135646",5,1,-,1,3,-,-,-,-,-,-
"S00135647",17,4,13,-,-,-,-,-,-,-,-
"S00135648",26,2,11,8,-,-,-,-,-,1,-
"S00135649",21,9,10,2,-,-,-,-,-,-,-
"S00135650",19,5,8,5,1,-,-,-,-,-,-
"S00135651",14,2,10,-,-,-,-,-,-,-,-
"S00135652",4,5,2,1,-,-,-,-,-,-,-
"S00135653",34,9,22,4,2,-,-,-,-,-,-
"S00135654",11,4,5,2,-,-,-,-,-,-,-
"S00135655",18,3,2,12,2,-,-,-,-,-,-
"S00135656",22,4,14,3,1,-,-,-,-,-,-
"S00135657",30,9,8,9,4,-,-,-,-,-,-
"S00135658",19,7,9,4,1,-,-,-,-,-,-
"S00135659",28,8,18,2,1,-,-,-,-,-,-
"S00135660",19,1,10,3,1,-,-,-,-,-,-
"S00135661",11,2,5,3,3,-,-,-,-,-,-
"S00135662",14,-,1,7,4,-,-,-,-,-,-
"S00135663",19,5,9,-,2,-,-,-,-,-,-
"S00135664",52,12,17,16,2,-,-,-,-,2,-
"S00135665",5,1,1,1,1,-,-,-,-,-,-
"S00135666",17,1,12,1,-,-,-,-,-,-,-
"S00135667",47,13,10,15,6,-,-,-,-,-,-
"S00135668",32,9,6,9,6,1,-,-,-,2,-
"S00135669",30,7,12,4,4,-,-,-,-,-,-
"S00135670",40,11,28,-,1,-,-,-,-,-,-
"S00135671",11,3,3,8,-,-,-,-,-,-,-
"S00135672",9,1,2,5,-,-,-,-,-,-,-
"S00135673",19,2,12,2,4,-,-,-,-,-,-
"S00135674",8,1,3,5,-,-,-,-,-,-,-
"S00135675",43,11,14,10,1,-,-,-,-,-,-
"S00135676",1,-,-,1,-,-,-,-,-,-,-
"S00135677",11,2,7,6,-,-,-,-,-,-,-
"S00135678",18,7,4,5,2,-,-,-,-,-,-
"S00135679",9,1,8,-,-,-,-,-,-,-,-
"S00135680",23,12,4,6,2,-,-,-,-,-,-
"S00135681",28,4,15,8,-,-,-,-,-,-,-
"S00135682",15,4,12,-,3,-,-,-,-,-,-
"S00135683",20,6,6,3,1,-,-,-,-,-,1
"S00135684",4,-,2,-,4,-,-,-,-,-,-
"S00135685",35,4,19,8,4,-,-,-,-,-,-
"S00135686",1,-,-,-,-,-,-,-,-,1,-
"S00135687",26,3,8,10,1,-,-,-,-,-,-
"S00135688",12,2,6,-,3,-,-,-,-,-,-
"S00135689",21,12,4,4,1,-,-,-,-,-,-
"S00135690",16,8,3,4,-,-,-,-,-,-,-
"S00135691",30,15,5,2,3,-,-,-,-,-,-
"S00135692",13,3,8,-,-,-,-,-,-,-,-
"S00135693",23,5,9,8,1,-,-,-,-,-,-
"S00135694",7,-,7,-,-,-,-,-,-,-,-
"S00135695",5,-,1,4,-,-,-,-,-,-,-
"S00135696",19,6,12,-,1,-,-,-,-,-,-
