Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00135525",87,29,54,-,3,1
"S00135526",96,43,36,-,14,7
"S00135527",58,14,18,6,7,9
"S00135528",152,54,65,1,13,19
"S00135529",130,27,75,2,14,15
"S00135530",73,22,40,2,5,4
"S00135531",86,28,39,7,5,6
"S00135532",77,30,45,-,2,2
"S00135533",110,41,51,3,12,5
"S00135534",97,32,51,2,8,4
"S00135535",194,42,87,-,10,56
"S00135536",124,50,62,4,9,1
"S00135537",129,26,89,-,7,7
"S00135538",81,18,42,1,9,11
"S00135539",72,24,20,1,10,17
"S00135540",124,30,72,-,6,16
"S00135541",73,18,36,2,13,5
"S00135542",124,71,44,6,5,1
"S00135543",131,73,51,-,7,-
"S00135544",83,27,31,6,9,10
"S00135545",125,53,58,3,6,4
"S00135546",76,23,26,2,15,10
"S00135547",146,43,78,4,13,8
"S00135548",71,25,21,3,10,12
"S00135549",55,15,22,-,11,4
"S00135550",98,47,17,9,16,12
"S00135551",104,44,50,-,6,4
"S00135552",104,75,19,3,5,2
"S00135553",175,42,115,2,7,7
"S00135554",72,23,28,2,10,7
"S00135555",142,29,94,2,12,6
"S00135556",98,57,22,5,7,7
"S00135557",74,17,44,2,5,6
"S00135558",124,46,59,1,8,6
"S00135559",95,45,34,5,8,3
"S00135560",91,35,30,5,11,12
"S00135561",73,34,24,3,7,8
"S00135562",78,32,30,4,8,5
"S00135563",44,25,6,4,7,-
"S00135564",94,15,62,1,1,12
"S00135565",59,11,32,2,6,8
"S00135566",87,30,42,2,2,8
"S00135567",98,32,39,4,16,8
"S00135568",136,53,51,2,14,16
"S00135569",89,32,30,3,18,7
"S00135570",102,20,64,-,5,12
"S00135571",91,43,29,3,11,5
"S00135572",103,33,60,3,4,7
