Scotland's Census 2022 - National Records of Scotland
Table UV104 - Marital and civil partnership status
All people aged 16 and over
,"All people aged 16 and over","Never married and never registered in a civil partnership","Married or in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership","Divorced or civil partnership dissolved","Widowed or surviving civil partnership partner"
"S00164238",135,51,60,1,17,10
"S00164239",94,19,65,-,1,7
"S00164240",119,30,76,-,2,12
"S00164241",138,57,44,9,22,6
"S00164242",68,31,28,-,5,2
"S00164243",69,23,27,2,8,8
"S00164244",60,7,47,1,1,4
"S00164245",66,28,28,2,5,4
"S00164246",56,22,25,5,3,1
"S00164247",103,54,10,1,22,16
"S00164248",99,22,50,1,21,7
"S00164249",127,46,57,1,13,7
"S00164250",60,33,11,1,8,5
"S00164251",54,13,40,-,1,2
"S00164252",118,51,40,2,15,10
"S00164253",72,34,21,1,12,4
"S00164254",88,47,22,3,11,8
"S00164255",126,20,72,-,9,25
"S00164256",103,29,60,3,4,10
"S00164257",93,12,64,1,5,8
"S00164258",121,45,47,3,11,18
"S00164259",76,40,12,7,7,6
"S00164260",68,40,9,2,10,5
"S00164261",98,38,33,3,18,8
"S00164262",72,42,18,3,8,1
"S00164263",153,43,95,1,8,6
"S00164264",86,42,24,4,9,7
"S00164265",87,44,22,4,10,8
"S00164266",71,32,19,3,13,4
"S00164267",90,55,28,2,4,1
"S00164268",55,27,16,-,5,4
"S00164269",77,29,27,-,12,6
"S00164270",57,28,19,2,5,3
"S00164271",116,60,27,4,17,8
"S00164272",96,23,65,1,2,5
"S00164273",110,23,70,2,4,9
"S00164274",78,35,14,10,19,5
"S00164275",56,27,16,2,8,3
"S00164276",85,61,18,-,7,4
"S00164277",86,21,54,2,1,7
"S00164278",81,23,7,3,15,36
"S00164279",105,42,33,1,9,20
"S00164280",114,46,52,6,11,5
"S00164281",166,41,99,5,9,13
"S00164282",71,31,29,2,6,6
"S00164283",114,26,45,2,21,17
"S00164284",91,45,24,2,12,5
"S00164285",116,61,32,2,12,9
"S00164286",82,37,31,-,5,7
"S00164287",91,52,20,8,8,2
"S00164288",84,49,11,3,11,9
"S00164289",182,70,35,1,18,55
"S00164290",78,19,44,3,8,4
"S00164291",85,38,26,3,9,4
"S00164292",109,63,14,3,19,10
"S00164293",132,46,56,4,7,19
"S00164294",76,36,27,3,8,2
"S00164295",94,50,9,2,21,12
"S00164296",101,55,13,4,20,10
"S00164297",84,43,21,1,9,6
"S00164298",86,22,50,-,7,5
"S00164299",60,14,41,-,5,1
"S00164300",82,44,14,3,11,6
"S00164301",188,47,129,3,8,4
"S00164302",84,50,23,3,7,1
"S00164303",79,46,18,1,12,3
"S00164304",75,38,14,2,15,6
"S00164305",97,47,22,5,15,10
"S00164306",79,31,28,1,12,7
"S00164307",91,48,19,1,11,13
"S00164308",157,70,52,9,9,17
"S00164309",123,57,41,6,14,9
"S00164310",109,42,35,1,15,16
"S00164311",95,47,18,2,18,12
"S00164312",109,46,31,4,13,10
"S00164313",99,27,24,5,23,16
"S00164314",89,44,17,3,18,7
"S00164315",59,33,18,2,3,2
"S00164316",97,46,33,-,10,11
"S00164317",123,60,32,7,11,14
"S00164318",64,35,16,4,3,7
"S00164319",69,23,27,3,12,7
"S00164320",81,39,29,5,6,3
"S00164321",86,53,13,1,8,7
"S00164322",148,61,59,6,15,7
"S00164323",114,53,43,-,13,3
"S00164324",116,61,36,5,9,12
"S00164325",75,56,2,3,10,2
"S00164326",96,48,25,1,17,5
"S00164327",91,41,36,1,4,9
"S00164328",67,32,19,3,8,5
"S00164329",84,50,12,5,6,9
"S00164330",51,17,15,7,7,5
"S00164331",83,25,32,7,9,9
"S00164332",84,31,36,3,8,8
"S00164333",91,43,34,2,5,3
"S00164334",65,35,22,3,7,4
"S00164335",63,29,16,5,7,6
"S00164336",101,61,13,3,12,9
"S00164337",71,33,28,1,10,-
"S00164338",54,34,8,-,9,1
"S00164339",145,70,46,2,23,7
"S00164340",67,32,21,3,7,6
"S00164341",108,61,23,3,20,1
"S00164342",81,38,32,-,5,8
"S00164343",86,40,18,2,15,11
"S00164344",71,26,15,1,18,11
"S00164345",81,45,16,2,13,5
"S00164346",121,53,43,4,9,12
"S00164347",110,45,45,2,14,4
"S00164348",104,44,27,1,16,18
"S00164349",94,37,19,3,17,19
"S00164350",83,37,31,2,7,5
"S00164351",81,38,25,6,9,1
"S00164352",130,63,47,-,8,8
"S00164353",97,33,44,2,7,8
"S00164354",124,68,32,5,9,9
"S00164355",75,12,21,-,17,21
"S00164356",91,50,22,5,10,5
"S00164357",95,45,25,6,14,5
"S00164358",70,31,22,-,12,7
"S00164359",79,37,26,5,5,2
"S00164360",75,32,24,1,5,10
"S00164361",130,71,42,1,9,7
"S00164362",65,41,17,2,4,2
"S00164363",57,31,15,2,9,-
"S00164364",112,54,39,4,12,7
"S00164365",100,63,26,1,10,-
"S00164366",89,46,27,-,14,3
"S00164367",97,42,33,5,13,7
"S00164368",60,40,8,2,8,3
"S00164369",71,27,31,1,4,9
"S00164370",100,40,39,2,9,10
"S00164371",107,26,36,4,16,29
"S00164372",73,36,24,3,9,1
"S00164373",122,49,45,7,12,10
"S00164374",75,43,16,3,8,10
"S00164375",88,55,19,4,10,3
"S00164376",137,42,69,5,10,12
"S00164377",104,51,34,1,13,5
"S00164378",64,37,12,4,8,4
"S00164379",51,25,20,2,4,1
"S00164380",75,36,18,3,15,7
"S00164381",104,59,16,2,17,7
"S00164382",85,44,16,4,18,5
"S00164383",58,27,13,1,10,7
"S00164384",80,40,22,-,18,2
"S00164385",111,23,80,-,4,2
"S00164386",120,52,48,5,9,4
"S00164387",123,61,45,3,7,4
"S00164388",90,37,39,3,4,6
"S00164389",105,36,47,-,12,8
"S00164390",70,33,11,2,15,9
"S00164391",73,38,23,4,7,4
"S00164392",114,56,19,6,17,17
"S00164393",211,126,42,4,24,10
"S00164394",142,36,97,1,6,1
"S00164395",111,33,20,4,31,26
"S00164396",90,21,38,4,19,7
"S00164397",98,35,36,4,20,7
"S00164398",90,25,42,1,11,5
"S00164399",78,34,18,5,18,8
"S00164400",89,44,29,3,6,7
"S00164401",63,26,30,1,-,5
"S00164402",105,35,42,1,7,16
"S00164403",87,21,54,4,7,8
"S00164404",117,28,64,2,7,12
"S00164405",140,66,35,7,24,4
"S00164406",84,56,16,2,13,5
"S00164407",118,66,27,-,16,7
"S00164408",103,52,26,6,12,7
"S00164409",73,32,26,2,11,2
"S00164410",168,57,46,3,16,42
"S00164411",83,27,39,2,6,10
"S00164412",105,64,14,1,16,9
"S00164413",53,24,17,1,6,7
"S00164414",92,38,30,1,18,5
"S00164415",82,38,23,2,10,8
"S00164416",75,39,16,1,14,4
"S00164417",79,37,26,2,7,3
"S00164418",67,23,34,-,3,5
"S00164419",109,52,44,-,8,5
"S00164420",109,57,16,4,20,10
"S00164421",105,53,28,3,9,7
"S00164422",115,54,39,4,9,9
"S00164423",117,48,49,2,7,11
"S00164424",91,39,36,3,5,8
"S00164425",75,26,38,-,2,5
"S00164426",90,38,37,3,4,8
"S00164427",78,28,33,1,4,8
"S00164428",97,43,38,-,8,7
"S00164429",74,27,41,1,-,4
"S00164430",54,12,26,3,8,6
"S00164431",72,40,9,5,14,6
"S00164432",104,44,22,4,16,18
"S00164433",112,47,53,4,4,6
"S00164434",88,30,26,7,14,11
"S00164435",78,33,32,-,8,8
"S00164436",130,65,38,6,13,8
"S00164437",88,31,48,1,3,5
"S00164438",72,23,31,-,5,10
"S00164439",73,26,36,4,5,7
"S00164440",110,65,29,9,7,6
"S00164441",70,24,32,1,5,8
"S00164442",99,50,28,3,9,9
"S00164443",115,50,31,5,12,19
"S00164444",92,35,41,2,3,11
"S00164445",88,34,34,-,8,6
"S00164446",102,15,18,7,47,17
"S00164447",80,40,19,4,7,10
"S00164448",60,29,19,1,4,8
"S00164449",90,23,50,5,7,5
"S00164450",104,41,42,3,8,10
"S00164451",108,45,24,7,11,21
"S00164452",124,33,81,-,4,6
"S00164453",80,29,33,-,7,11
"S00164454",207,75,88,2,10,31
"S00164455",107,58,30,2,10,7
"S00164456",67,36,18,2,8,2
"S00164457",69,21,35,-,6,10
"S00164458",83,35,34,3,3,8
"S00164459",88,28,36,5,6,15
"S00164460",93,55,17,7,10,3
"S00164461",76,31,30,-,1,12
"S00164462",175,47,114,1,9,5
"S00164463",135,39,76,2,9,9
"S00164464",86,39,28,4,14,3
"S00164465",182,55,110,4,7,6
"S00164466",93,45,34,3,4,6
"S00164467",65,21,29,3,3,10
"S00164468",83,38,34,2,4,5
"S00164469",106,58,30,2,16,3
"S00164470",80,30,32,3,10,5
"S00164471",115,71,28,3,9,3
"S00164472",109,54,39,3,7,6
"S00164473",100,41,34,4,14,10
"S00164474",106,41,50,1,8,9
"S00164475",145,62,65,5,6,4
"S00164476",94,46,34,4,6,4
"S00164477",77,36,17,3,14,8
"S00164478",75,37,18,2,11,-
"S00164479",89,37,28,1,12,14
"S00164480",140,57,57,3,16,7
"S00164481",145,61,69,3,7,13
"S00164482",97,49,27,3,14,9
"S00164483",99,37,24,7,26,5
"S00164484",58,27,20,1,4,6
"S00164485",138,44,70,2,9,13
"S00164486",106,57,10,6,21,12
"S00164487",124,35,82,2,2,3
"S00164488",139,48,70,1,7,13
"S00164489",63,31,15,1,6,10
"S00164490",116,53,50,4,5,4
"S00164491",110,42,47,4,10,9
"S00164492",83,29,38,1,6,11
"S00164493",84,35,30,5,2,9
"S00164494",107,58,21,2,14,5
"S00164495",102,46,30,1,9,17
"S00164496",120,41,50,-,6,17
"S00164497",132,51,50,1,16,9
"S00164498",51,19,22,3,3,4
"S00164499",82,14,62,-,4,2
"S00164500",56,20,30,2,3,-
"S00164501",152,51,69,3,10,19
"S00164502",82,23,51,3,4,1
"S00164503",94,38,33,2,9,17
"S00164504",120,32,76,-,3,8
"S00164505",50,19,22,-,8,2
"S00164506",68,23,34,1,2,4
"S00164507",129,44,58,2,14,11
"S00164508",108,53,39,4,5,7
"S00164509",154,68,68,1,8,5
"S00164510",80,29,36,1,8,8
"S00164511",98,27,57,3,4,5
"S00164512",66,28,32,-,1,5
"S00164513",144,47,72,2,6,13
"S00164514",86,42,19,2,11,11
"S00164515",102,60,20,1,10,11
"S00164516",60,24,18,1,10,4
"S00164517",96,52,28,-,9,5
"S00164518",61,24,29,-,4,4
"S00164519",107,66,18,2,10,11
"S00164520",112,37,50,4,8,14
"S00164521",126,41,71,2,6,6
"S00164522",123,54,32,2,21,14
"S00164523",58,31,15,3,3,6
"S00164524",125,44,66,-,2,12
"S00164525",57,22,32,-,2,1
"S00164526",66,38,15,2,14,1
"S00164527",93,19,65,-,3,-
"S00164528",115,39,63,2,10,4
"S00164529",118,46,54,3,8,8
"S00164530",69,50,10,6,5,-
"S00164531",94,50,28,5,8,5
"S00164532",127,64,45,1,11,6
"S00164533",101,32,55,2,9,-
"S00164534",78,51,16,-,4,7
"S00164535",123,45,60,2,7,9
"S00164536",133,34,86,3,5,4
"S00164537",90,47,21,5,13,6
"S00164538",133,32,80,2,10,9
"S00164539",137,52,63,3,7,10
"S00164540",134,86,19,4,17,8
"S00164541",124,70,16,2,28,5
"S00164542",63,26,28,1,4,7
"S00164543",55,39,6,-,1,6
"S00164544",115,50,39,3,14,9
"S00164545",47,25,13,-,4,3
"S00164546",93,48,26,-,11,10
"S00164547",73,25,33,5,8,4
"S00164548",84,34,36,5,5,5
"S00164549",92,45,25,4,9,9
"S00164550",109,60,42,3,4,3
"S00164551",119,58,38,4,11,6
"S00164552",93,42,42,-,8,1
"S00164553",83,24,22,1,11,21
"S00164554",122,48,62,-,6,6
"S00164555",98,28,58,-,3,8
"S00164556",55,33,6,-,8,4
"S00164557",127,71,36,4,14,4
"S00164558",87,24,57,1,4,-
"S00164559",98,42,42,2,5,5
"S00164560",67,36,22,1,12,2
"S00164561",118,37,60,4,12,4
"S00164562",53,32,9,4,6,4
"S00164563",114,36,37,6,11,22
"S00164564",73,38,15,1,9,10
"S00164565",75,44,20,2,1,8
"S00164566",74,34,24,1,6,9
"S00164567",69,28,38,-,3,-
"S00164568",64,29,22,1,7,5
"S00164569",93,43,24,2,13,8
"S00164570",83,35,36,-,-,8
"S00164571",64,29,16,5,7,9
"S00164572",114,61,36,5,7,6
"S00164573",70,43,7,1,11,8
"S00164574",109,42,48,2,9,7
"S00164575",116,42,53,1,4,16
"S00164576",139,42,79,2,5,10
"S00164577",67,42,14,1,6,4
"S00164578",132,68,35,3,11,10
"S00164579",72,37,24,1,2,3
"S00164580",66,34,9,3,8,8
"S00164581",126,72,18,1,29,6
"S00164582",77,36,30,2,-,7
"S00164583",82,34,27,3,5,14
"S00164584",81,39,28,4,7,3
"S00164585",61,26,17,-,8,11
"S00164586",134,55,35,6,16,20
"S00164587",80,40,28,4,8,-
"S00164588",108,43,52,-,9,6
"S00164589",60,18,17,1,7,18
"S00164590",139,31,90,2,5,11
"S00164591",62,45,5,5,5,2
"S00164592",65,24,7,2,8,21
"S00164593",90,39,29,6,5,4
"S00164594",87,30,48,2,4,3
"S00164595",126,37,74,3,3,10
"S00164596",117,35,73,1,-,4
"S00164597",119,68,30,4,11,5
"S00164598",94,40,28,3,8,9
"S00164599",58,23,30,1,3,-
"S00164600",110,36,60,3,3,11
"S00164601",94,20,50,1,9,7
"S00164602",78,32,30,6,5,5
"S00164603",79,27,43,-,-,7
"S00164604",48,24,16,-,4,3
"S00164605",66,30,29,-,4,6
"S00164606",102,44,42,1,7,6
"S00164607",60,31,11,5,3,7
"S00164608",100,41,49,-,6,9
"S00164609",113,50,37,6,15,7
"S00164610",96,37,42,2,7,8
"S00164611",65,32,14,3,9,7
"S00164612",85,23,46,-,6,6
"S00164613",92,33,44,3,4,8
"S00164614",77,32,27,6,6,6
"S00164615",134,50,66,4,5,7
"S00164616",91,30,56,1,5,3
"S00164617",88,40,32,1,2,10
"S00164618",135,41,82,3,3,4
"S00164619",79,30,38,-,3,6
"S00164620",73,13,35,5,6,12
"S00164621",81,42,30,1,4,5
"S00164622",73,23,37,1,6,6
"S00164623",56,17,25,-,7,11
"S00164624",130,47,58,-,10,14
"S00164625",81,37,28,4,9,5
"S00164626",71,33,28,-,7,4
"S00164627",108,47,42,1,10,4
"S00164628",119,60,34,4,7,15
"S00164629",159,51,72,1,22,13
"S00164630",89,30,40,6,4,11
"S00164631",137,38,37,2,14,46
"S00164632",73,37,23,1,4,7
"S00164633",115,34,59,3,11,5
"S00164634",123,57,56,2,5,8
"S00164635",105,35,45,3,9,12
"S00164636",71,21,39,1,5,5
"S00164637",98,35,52,1,6,4
"S00164638",110,48,46,2,4,6
"S00164639",108,34,51,2,11,13
"S00164640",112,54,37,2,10,9
"S00164641",90,26,52,1,4,6
"S00164642",99,21,69,1,5,3
"S00164643",71,40,23,1,8,3
"S00164644",61,7,15,3,12,25
"S00164645",65,35,20,-,7,3
"S00164646",106,29,46,-,7,22
"S00164647",111,43,47,3,7,8
"S00164648",91,35,41,2,5,11
"S00164649",139,61,50,4,14,14
"S00164650",154,59,74,-,10,8
"S00164651",93,35,46,-,7,5
"S00164652",114,79,19,3,13,2
"S00164653",106,29,61,3,8,5
"S00164654",89,33,32,6,10,7
"S00164655",96,34,50,2,4,6
"S00164656",118,53,47,2,8,10
"S00164657",83,35,31,1,6,9
"S00164658",86,40,28,1,8,7
"S00164659",101,37,44,3,4,13
"S00164660",111,42,46,2,7,8
"S00164661",135,52,59,-,8,15
"S00164662",84,45,25,-,7,4
"S00164663",73,27,31,4,8,3
"S00164664",88,30,47,1,5,4
"S00164665",60,20,26,1,5,8
"S00164666",117,43,46,1,16,11
"S00164667",83,33,25,1,5,14
"S00164668",89,59,22,1,6,5
"S00164669",49,18,22,1,5,3
"S00164670",95,41,25,4,11,11
"S00164671",121,44,51,2,11,12
"S00164672",111,52,47,2,9,1
"S00164673",125,57,50,-,15,9
"S00164674",64,14,41,-,4,3
"S00164675",80,41,30,-,1,6
"S00164676",93,32,35,3,13,9
"S00164677",64,35,22,-,5,3
"S00164678",88,28,45,2,4,10
"S00164679",93,47,30,6,4,8
"S00164680",101,43,36,2,9,12
"S00164681",101,38,42,-,10,10
"S00164682",139,53,69,1,4,12
"S00164683",56,32,18,-,2,4
"S00164684",72,30,27,-,4,8
"S00164685",65,33,23,2,2,4
"S00164686",64,27,23,4,2,10
"S00164687",53,30,12,2,7,3
"S00164688",124,46,41,1,12,24
"S00164689",94,37,31,1,7,22
"S00164690",57,24,12,-,16,8
"S00164691",71,30,26,1,5,9
"S00164692",83,38,21,1,9,19
"S00164693",73,26,31,1,9,6
"S00164694",84,21,56,-,5,2
"S00164695",159,33,113,1,7,7
"S00164696",141,39,96,-,4,3
"S00164697",57,33,12,-,8,3
"S00164698",57,30,14,1,6,8
"S00164699",83,13,46,-,12,10
"S00164700",80,28,48,-,4,-
"S00164701",131,57,57,3,6,8
"S00164702",141,31,84,3,13,13
"S00164703",103,19,70,-,11,8
"S00164704",86,19,38,1,15,13
"S00164705",78,12,42,2,9,8
"S00164706",102,17,71,1,6,6
"S00164707",74,15,51,1,1,6
"S00164708",121,41,47,6,13,15
"S00164709",88,25,49,1,6,7
"S00164710",84,16,52,-,5,9
"S00164711",87,25,41,1,16,5
"S00164712",134,15,102,3,5,3
"S00164713",55,10,42,-,2,-
"S00164714",113,35,69,2,4,4
"S00164715",77,17,58,-,2,-
"S00164716",65,13,48,1,2,-
"S00164717",88,26,60,-,3,-
"S00164718",192,47,130,1,12,1
"S00164719",54,8,40,-,2,-
"S00164720",131,33,76,3,12,7
"S00164721",109,35,70,-,4,1
"S00164722",97,24,63,-,7,3
"S00164723",86,23,54,4,3,3
"S00164724",129,41,78,1,10,-
"S00164725",110,34,53,4,9,12
"S00164726",121,35,54,6,20,7
"S00164727",172,55,104,3,6,5
"S00164728",109,30,66,2,4,8
"S00164729",113,31,56,4,13,9
"S00164730",101,24,56,2,6,12
"S00164731",151,50,82,2,5,6
"S00164732",137,38,86,4,7,2
"S00164733",120,23,73,3,11,7
"S00164734",83,26,34,1,9,13
"S00164735",53,13,36,1,-,3
"S00164736",110,24,80,-,3,3
"S00164737",113,31,70,2,5,5
"S00164738",78,15,44,4,12,7
"S00164739",123,18,67,-,4,31
"S00164740",54,19,18,1,9,7
"S00164741",92,24,56,-,9,3
"S00164742",131,27,93,3,4,2
"S00164743",148,14,118,-,5,11
"S00164744",159,38,97,1,12,11
"S00164745",85,19,45,2,6,13
"S00164746",125,24,77,1,12,11
"S00164747",97,34,49,1,6,11
"S00164748",91,29,42,2,15,9
"S00164749",90,20,32,7,22,11
"S00164750",100,21,60,1,10,8
"S00164751",141,30,88,-,9,11
"S00164752",60,23,26,7,6,6
"S00164753",73,32,22,2,10,6
"S00164754",69,7,54,-,1,5
"S00164755",110,19,77,4,-,9
"S00164756",115,31,77,1,3,5
"S00164757",131,17,77,2,17,18
"S00164758",56,15,27,3,8,1
"S00164759",169,39,110,-,10,10
"S00164760",82,20,35,1,12,14
"S00164761",72,9,17,2,5,38
"S00164762",55,14,18,3,7,10
"S00164763",98,19,65,2,5,7
"S00164764",69,12,45,3,3,7
"S00164765",84,16,52,4,3,10
"S00164766",73,16,50,2,1,5
"S00164767",114,14,82,-,6,13
"S00164768",89,25,42,1,10,7
"S00164769",74,14,52,-,4,4
"S00164770",116,19,84,-,7,6
"S00164771",130,20,98,-,4,9
"S00164772",80,21,42,3,6,9
"S00164773",94,13,72,-,1,9
"S00164774",123,15,96,2,3,6
"S00164775",95,14,63,-,5,16
"S00164776",67,10,55,-,1,1
"S00164777",79,25,38,1,7,6
"S00164778",117,35,63,1,12,2
"S00164779",89,39,41,3,3,3
"S00164780",130,48,47,2,10,23
"S00164781",123,37,73,3,5,5
"S00164782",100,9,77,2,6,7
"S00164783",112,37,56,1,11,7
"S00164784",78,23,41,1,6,4
"S00164785",112,37,56,4,10,3
"S00164786",171,44,105,1,10,10
"S00164787",83,34,36,1,6,6
"S00164788",64,24,32,2,3,3
"S00164789",107,34,54,2,12,6
"S00164790",70,17,32,1,13,3
"S00164791",152,64,70,3,11,8
"S00164792",72,31,37,1,3,4
"S00164793",101,36,43,1,9,12
"S00164794",77,31,28,1,9,4
"S00164795",99,37,59,2,1,3
"S00164796",94,41,36,4,7,6
"S00164797",63,17,38,2,6,3
"S00164798",100,32,50,3,7,7
"S00164799",132,56,53,2,17,4
"S00164800",119,46,48,3,6,9
"S00164801",92,30,37,3,10,10
"S00164802",138,73,44,10,11,4
"S00164803",85,34,30,5,5,12
"S00164804",89,32,34,4,8,12
"S00164805",111,56,46,-,9,-
"S00164806",60,20,26,1,8,5
"S00164807",114,32,66,1,7,-
"S00164808",85,39,34,3,8,4
"S00164809",84,22,48,-,6,9
"S00164810",130,42,61,1,7,19
"S00164811",96,45,34,1,13,4
"S00164812",106,42,49,4,5,8
"S00164813",162,50,103,-,6,2
"S00164814",127,69,53,2,5,-
"S00164815",127,39,66,2,10,7
"S00164816",84,26,44,3,6,7
"S00164817",56,22,28,1,4,1
"S00164818",81,18,42,1,10,10
"S00164819",91,25,40,2,8,14
"S00164820",173,45,108,1,8,11
"S00164821",101,21,68,1,4,7
"S00164822",83,38,32,3,8,1
"S00164823",62,18,42,-,3,-
"S00164824",82,53,18,1,7,1
"S00164825",126,25,81,3,4,6
"S00164826",157,41,98,3,11,4
"S00164827",125,35,78,6,5,1
"S00164828",137,38,79,7,13,5
"S00164829",117,22,94,-,2,-
"S00164830",88,23,57,-,6,-
"S00164831",113,27,76,1,8,3
"S00164832",150,70,61,3,18,3
"S00164833",131,59,44,4,13,9
"S00164834",91,32,42,2,2,13
"S00164835",108,44,51,-,6,7
"S00164836",143,64,64,3,9,1
"S00164837",96,27,49,2,9,9
"S00164838",121,39,54,1,17,7
"S00164839",73,41,21,-,8,1
"S00164840",122,39,78,1,2,2
"S00164841",152,48,91,-,9,2
"S00164842",142,76,38,7,13,8
"S00164843",95,39,20,2,11,24
"S00164844",88,36,36,2,10,6
"S00164845",140,57,65,3,7,8
"S00164846",77,28,32,4,4,5
"S00164847",100,33,59,-,9,-
"S00164848",133,77,25,11,18,-
"S00164849",122,49,42,7,15,7
"S00164850",69,43,9,1,7,8
"S00164851",142,24,94,3,10,11
"S00164852",89,45,31,-,7,7
"S00164853",65,15,41,-,2,6
"S00164854",80,40,20,1,5,14
"S00164855",51,23,18,-,8,2
"S00164856",117,59,32,4,19,4
"S00164857",104,53,35,1,8,7
"S00164858",120,33,64,2,6,13
"S00164859",95,29,41,1,10,14
"S00164860",109,38,52,-,12,7
"S00164861",71,21,28,3,5,11
"S00164862",85,31,37,1,9,7
"S00164863",117,47,52,3,11,2
"S00164864",77,45,14,-,15,1
"S00164865",90,23,52,-,4,12
"S00164866",68,36,14,3,9,6
"S00164867",91,41,43,2,6,3
"S00164868",113,73,17,9,11,7
"S00164869",61,16,33,-,12,3
"S00164870",166,67,62,4,18,11
"S00164871",85,50,17,3,14,2
"S00164872",68,36,23,2,8,4
"S00164873",97,33,51,1,8,3
"S00164874",73,34,22,2,9,6
"S00164875",96,31,50,4,8,3
"S00164876",120,37,65,2,6,9
"S00164877",83,43,12,1,20,3
"S00164878",79,36,36,-,4,4
"S00164879",110,45,42,3,16,4
"S00164880",101,38,48,3,8,7
"S00164881",136,48,63,2,11,13
"S00164882",111,44,40,2,16,9
"S00164883",80,37,26,3,10,6
"S00164884",173,49,112,3,6,3
"S00164885",91,30,45,-,10,5
"S00164886",107,37,53,2,9,6
"S00164887",91,31,37,2,13,8
"S00164888",76,17,22,3,6,30
"S00164889",126,52,48,5,17,6
"S00164890",93,23,58,2,5,2
"S00164891",97,38,33,9,7,8
"S00164892",85,34,32,3,8,4
"S00164893",162,33,65,-,14,50
"S00164894",119,44,49,3,16,3
"S00164895",78,24,45,-,3,6
"S00164896",131,39,81,3,3,5
"S00164897",77,30,30,-,12,9
"S00164898",77,22,35,2,12,7
"S00164899",92,37,33,5,12,6
"S00164900",62,19,27,2,7,7
"S00164901",142,32,96,4,8,2
"S00164902",135,41,80,2,8,2
"S00164903",79,26,44,-,3,3
"S00164904",64,31,16,7,11,4
"S00164905",104,28,65,2,5,3
"S00164906",99,29,60,2,4,4
"S00164907",121,14,83,-,1,19
"S00164908",61,9,41,1,6,6
"S00164909",84,30,33,1,8,13
"S00164910",114,49,36,3,17,9
"S00164911",55,30,10,1,10,3
"S00164912",90,18,61,2,6,3
"S00164913",64,16,36,3,5,5
"S00164914",96,41,32,3,6,10
"S00164915",104,28,39,6,14,15
"S00164916",90,25,31,5,18,12
"S00164917",84,44,23,2,11,5
"S00164918",55,6,26,1,5,17
"S00164919",83,35,25,2,7,9
"S00164920",123,44,53,7,12,9
"S00164921",132,36,86,-,5,5
"S00164922",122,20,84,4,6,9
"S00164923",130,30,74,1,8,14
"S00164924",69,12,48,-,3,6
"S00164925",89,51,29,1,5,3
"S00164926",73,21,39,4,4,7
"S00164927",99,36,50,2,5,6
"S00164928",82,21,41,1,3,12
"S00164929",81,14,62,-,2,2
"S00164930",80,8,58,1,6,5
"S00164931",66,12,41,1,9,6
"S00164932",67,12,45,4,2,7
"S00164933",98,20,68,1,8,4
"S00164934",128,35,78,4,7,4
"S00164935",94,17,61,-,13,3
"S00164936",95,30,48,2,9,5
"S00164937",129,47,73,4,7,6
"S00164938",98,26,55,-,7,12
"S00164939",109,33,54,2,9,14
"S00164940",152,44,101,3,6,1
"S00164941",105,20,69,-,4,7
"S00164942",113,21,77,-,7,6
"S00164943",101,11,78,1,1,11
"S00164944",87,20,61,-,2,4
"S00164945",84,17,48,-,11,8
"S00164946",94,17,56,2,1,14
"S00164947",84,31,46,-,3,3
"S00164948",101,25,59,1,9,6
"S00164949",80,19,55,3,6,1
"S00164950",84,25,30,2,6,17
"S00164951",94,27,61,-,4,4
"S00164952",84,18,54,-,12,4
"S00164953",128,43,72,1,8,4
"S00164954",88,30,46,4,2,5
"S00164955",83,30,42,-,2,9
"S00164956",150,36,82,5,15,10
"S00164957",129,42,76,-,3,7
"S00164958",97,24,55,2,10,5
"S00164959",97,21,63,1,8,4
"S00164960",76,14,58,-,3,4
"S00164961",122,41,60,2,14,8
"S00164962",97,25,66,1,3,-
"S00164963",205,42,104,2,13,42
"S00164964",90,18,40,3,12,17
"S00164965",119,23,60,1,10,24
"S00164966",134,22,104,4,5,-
"S00164967",171,35,122,1,5,8
"S00164968",106,32,57,1,15,3
"S00164969",104,21,55,5,6,9
"S00164970",70,29,25,1,8,7
"S00164971",155,39,97,-,7,7
"S00164972",127,24,87,1,3,9
"S00164973",113,39,63,1,5,5
"S00164974",110,15,77,2,5,11
"S00164975",98,23,64,4,4,5
"S00164976",79,11,54,1,-,12
"S00164977",128,38,62,4,14,14
"S00164978",138,55,53,7,14,9
"S00164979",69,20,43,-,4,2
"S00164980",98,23,56,6,7,8
"S00164981",97,38,36,3,13,7
"S00164982",84,12,68,-,2,4
"S00164983",115,25,78,5,5,4
"S00164984",90,37,37,4,9,7
"S00164985",108,54,51,2,6,1
"S00164986",106,22,68,2,3,10
"S00164987",110,26,70,4,5,5
"S00164988",133,59,62,1,4,7
"S00164989",110,31,54,3,9,10
"S00164990",63,30,20,-,7,3
"S00164991",119,21,73,3,5,16
"S00164992",61,3,47,-,4,7
"S00164993",147,61,60,5,13,8
"S00164994",130,54,63,4,7,3
"S00164995",128,28,83,1,9,7
"S00164996",105,47,39,4,11,4
"S00164997",91,57,27,-,3,4
"S00164998",86,29,30,1,9,13
"S00164999",100,21,56,2,8,10
"S00165000",106,23,52,3,20,10
"S00165001",137,63,64,5,3,-
"S00165002",97,53,30,1,11,2
"S00165003",83,27,28,-,15,13
"S00165004",75,27,28,2,8,9
"S00165005",109,24,69,-,7,9
"S00165006",78,18,37,5,11,7
