Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00160100",115,21,15,56,18,5,3,-,-,1,-,2,112,21,15,55,18,3
"S00160101",63,2,11,14,27,12,-,2,-,1,-,-,61,1,11,13,27,12
"S00160102",90,13,13,57,6,1,5,-,-,4,1,-,85,13,13,53,5,1
"S00160103",146,30,13,39,36,25,6,1,1,1,4,-,135,29,12,41,33,25
"S00160104",96,4,9,41,20,26,-,-,1,1,-,-,94,4,8,40,20,26
"S00160105",115,7,8,45,30,22,6,-,-,-,4,-,109,7,8,43,26,22
"S00160106",92,21,4,44,17,6,1,-,-,1,-,-,91,21,4,43,17,6
"S00160107",146,47,31,43,22,3,9,3,2,4,-,-,139,44,29,39,22,3
"S00160108",131,18,11,38,35,29,4,-,-,-,3,2,127,18,11,38,33,24
"S00160109",79,6,7,22,10,32,6,-,-,1,3,2,75,6,7,17,10,31
"S00160110",124,10,8,29,31,49,-,-,-,-,-,-,124,10,8,29,31,49
"S00160111",74,-,5,23,22,28,3,-,-,1,1,1,71,-,5,22,13,27
"S00160112",70,6,3,21,16,24,2,-,-,2,-,-,68,6,3,19,16,24
"S00160113",125,18,10,40,38,20,-,-,-,-,-,-,125,18,10,40,38,20
"S00160114",90,11,7,42,14,15,-,-,-,-,-,-,90,11,7,42,14,15
"S00160115",143,6,20,79,24,14,3,-,2,1,-,-,141,6,18,81,24,14
"S00160116",86,11,7,37,19,10,1,-,-,-,1,-,85,11,7,37,18,10
"S00160117",77,10,11,36,12,8,-,-,-,-,-,-,77,10,11,36,12,8
"S00160118",106,17,3,35,41,12,-,-,-,-,-,-,106,17,3,35,41,12
"S00160119",204,60,40,65,28,10,4,-,4,-,-,-,206,60,38,65,28,10
"S00160120",78,12,13,22,19,12,3,-,-,1,1,-,75,12,13,20,15,12
"S00160121",71,3,7,9,15,37,-,-,-,-,-,-,71,3,7,9,15,37
"S00160122",70,1,7,43,9,10,3,-,-,3,-,-,67,1,7,40,9,10
"S00160123",101,9,7,52,18,15,-,-,-,-,-,-,101,9,7,52,18,15
"S00160124",126,10,14,78,18,6,5,-,-,4,-,-,121,9,14,74,18,6
"S00160125",115,15,14,27,37,22,1,-,1,-,-,-,114,15,15,27,37,22
"S00160126",154,8,14,48,48,39,1,-,-,-,1,-,153,8,14,48,47,39
"S00160127",99,7,11,25,30,26,2,-,-,-,-,2,100,7,11,25,30,28
"S00160128",94,12,8,61,8,5,3,-,2,1,-,-,91,12,6,60,8,5
"S00160129",98,9,14,30,30,17,1,-,-,-,-,1,99,9,14,30,30,14
"S00160130",119,19,13,45,30,12,2,2,-,-,-,-,118,18,13,45,30,12
"S00160131",70,11,7,22,19,12,2,1,-,-,1,-,71,8,7,22,18,12
"S00160132",120,11,8,49,26,20,5,-,1,1,3,-,113,11,7,49,26,20
"S00160133",127,16,13,36,30,32,6,1,-,4,-,-,123,15,13,33,30,32
"S00160134",167,19,12,47,49,42,5,-,-,2,2,1,165,19,12,45,46,41
"S00160135",112,7,10,46,20,27,-,-,-,-,2,1,110,7,10,46,19,26
"S00160136",114,14,6,29,31,34,2,-,-,-,-,1,112,14,5,29,31,33
"S00160137",123,13,7,33,33,39,1,-,-,-,1,-,122,13,7,33,32,39
"S00160138",99,4,15,70,8,4,5,-,2,3,-,-,94,4,9,67,8,4
"S00160139",163,49,6,90,16,4,7,3,-,6,-,-,156,47,6,85,16,4
"S00160140",67,4,14,29,15,5,2,-,-,-,2,-,68,4,14,29,15,5
"S00160141",111,19,11,56,12,14,2,-,-,1,1,-,109,19,11,54,11,14
"S00160142",110,12,15,55,15,7,12,-,-,10,-,-,98,12,15,46,17,7
"S00160143",117,13,10,59,18,19,1,-,-,1,-,-,116,13,10,58,18,19
"S00160144",82,14,9,27,12,20,3,-,-,1,3,-,83,14,9,26,10,20
"S00160145",154,33,17,55,27,21,6,-,-,3,3,1,148,33,17,52,25,20
"S00160146",125,24,13,55,26,7,10,-,4,8,2,-,112,24,9,50,27,7
"S00160147",73,10,9,24,19,14,4,2,2,-,-,-,69,6,7,23,19,14
"S00160148",78,5,3,35,7,30,2,-,-,-,2,-,77,5,3,35,6,30
"S00160149",59,4,10,40,2,-,2,-,1,4,-,-,56,4,9,38,2,-
"S00160150",169,21,22,44,40,42,2,-,-,-,2,-,168,21,22,44,39,42
"S00160151",88,9,10,34,33,6,2,-,-,2,-,-,86,9,10,32,33,6
"S00160152",129,12,13,56,32,16,7,2,-,3,2,-,122,10,13,53,30,16
"S00160153",124,21,12,32,40,19,2,-,-,-,2,-,121,21,12,32,37,19
"S00160154",157,8,13,27,47,62,6,-,1,-,3,2,151,8,12,27,44,60
"S00160155",99,5,2,76,10,8,3,-,1,1,1,-,100,5,1,75,9,8
"S00160156",125,11,18,88,6,2,2,-,-,2,-,-,123,11,18,89,6,2
"S00160157",103,13,13,57,15,6,3,-,2,2,1,-,100,13,12,56,17,6
"S00160158",95,7,6,24,33,29,2,-,-,-,1,1,93,7,6,24,28,28
"S00160159",154,25,19,55,35,19,5,-,1,2,1,-,149,25,18,52,34,19
"S00160160",87,11,14,55,4,-,3,1,-,2,-,-,84,10,14,54,4,-
"S00160161",172,28,22,40,45,37,2,1,-,-,1,-,170,27,22,40,47,37
"S00160162",135,16,13,39,43,25,5,-,1,1,1,2,127,16,12,37,42,24
"S00160163",141,14,10,100,13,7,3,-,-,3,-,-,142,14,10,98,13,7
"S00160164",69,2,9,51,5,-,2,2,-,-,-,-,65,3,9,51,5,-
"S00160165",147,24,10,53,42,18,4,-,-,4,-,-,143,24,10,49,42,18
"S00160166",105,5,6,34,26,34,-,-,-,-,-,-,105,5,6,34,26,34
"S00160167",97,15,5,23,23,25,1,1,-,-,-,-,96,14,5,23,23,25
"S00160168",137,19,2,54,28,32,2,-,-,2,-,-,134,19,2,49,28,32
"S00160169",65,2,8,20,22,11,-,-,-,-,-,-,65,2,8,20,22,11
"S00160170",98,3,8,19,23,47,1,-,-,-,-,1,97,3,8,19,23,44
"S00160171",90,5,6,12,21,46,-,-,-,-,-,-,90,5,6,12,21,46
"S00160172",71,3,12,36,13,8,1,-,-,-,1,-,70,3,12,36,12,8
"S00160173",63,1,2,4,28,27,-,-,-,-,-,-,63,1,2,4,28,27
"S00160174",67,5,10,18,17,20,4,-,-,1,1,2,63,5,10,14,16,18
"S00160175",103,17,12,39,20,12,-,-,-,-,-,-,103,17,12,39,20,12
"S00160176",79,17,3,28,18,17,3,-,-,1,2,-,79,17,3,26,17,17
"S00160177",90,24,12,32,12,10,5,2,-,2,4,-,82,22,12,31,10,10
"S00160178",128,16,19,41,32,20,1,-,-,-,1,-,127,16,19,41,31,20
"S00160179",93,4,14,22,31,24,1,-,-,-,1,-,92,4,14,22,33,24
"S00160180",177,51,11,97,13,1,4,3,-,-,-,-,173,46,11,100,13,1
"S00160181",84,10,7,17,28,23,-,-,-,-,-,-,81,10,7,17,28,22
"S00160182",117,18,17,35,16,31,2,-,-,2,-,-,114,18,17,32,16,31
"S00160183",134,22,11,31,31,40,3,-,-,2,1,-,131,22,11,29,30,40
"S00160184",89,9,11,26,15,26,1,-,-,1,-,-,88,9,11,25,15,26
"S00160185",111,17,7,46,26,18,5,-,1,2,2,-,106,17,8,44,24,18
"S00160186",62,2,1,3,27,30,-,-,-,-,-,-,62,2,1,3,27,30
"S00160187",85,20,4,53,6,3,2,4,-,-,-,-,81,18,4,51,4,3
"S00160188",122,14,10,32,31,31,1,-,-,-,1,-,121,14,10,32,30,31
"S00160189",81,1,7,41,20,13,1,-,-,-,-,1,80,1,7,41,20,12
"S00160190",122,10,9,37,38,27,6,-,-,5,-,1,116,10,9,36,38,26
"S00160191",76,5,7,15,15,34,4,-,-,-,4,-,74,5,7,15,13,34
"S00160192",128,19,13,64,20,8,4,-,-,4,-,-,120,19,13,64,20,8
"S00160193",202,31,32,44,61,34,1,-,-,1,-,-,201,31,32,43,61,34
"S00160194",97,-,20,62,4,4,2,-,2,1,-,-,95,-,23,61,4,4
"S00160195",233,47,35,92,41,22,1,-,-,-,1,-,232,47,35,92,40,22
"S00160196",84,7,6,29,23,21,-,-,-,-,-,-,84,7,6,29,23,21
"S00160197",125,18,12,34,19,39,-,-,-,-,-,-,125,18,12,34,19,39
"S00160198",94,9,10,21,25,28,1,-,2,-,1,-,90,9,5,21,24,28
"S00160199",78,9,8,36,7,13,1,-,-,-,-,1,77,9,8,36,7,12
"S00160200",136,21,25,48,34,16,3,1,-,-,2,-,131,20,25,48,28,16
"S00160201",111,13,7,47,19,25,-,-,-,-,-,-,111,13,7,47,19,25
"S00160202",141,32,15,67,17,6,3,-,1,2,-,-,138,32,14,65,17,6
"S00160203",89,13,7,40,13,14,1,-,-,-,1,-,88,13,7,40,14,14
"S00160204",66,1,6,13,28,18,3,1,-,1,1,-,63,-,6,12,27,18
"S00160205",105,3,12,79,9,-,-,-,-,-,-,-,105,3,12,79,9,-
"S00160206",123,16,9,50,26,23,1,-,-,1,-,-,122,16,9,47,26,23
"S00160207",70,2,3,12,12,37,1,-,-,-,-,1,69,2,3,12,12,36
"S00160208",107,16,12,35,19,21,1,-,-,-,1,-,106,16,12,35,20,21
"S00160209",106,29,16,31,16,12,6,6,-,-,-,-,100,22,16,31,16,12
"S00160210",103,17,8,36,22,17,5,-,-,2,-,2,95,16,8,34,22,16
"S00160211",137,26,5,72,15,13,1,-,-,1,-,-,133,26,5,71,15,13
"S00160212",84,10,2,28,23,20,1,-,-,1,-,-,83,10,2,27,23,20
"S00160213",103,12,6,36,19,29,1,-,-,1,3,-,97,12,6,35,17,29
"S00160214",82,11,4,42,9,15,-,-,-,-,-,-,82,11,4,42,9,15
"S00160215",155,21,22,67,28,25,9,2,4,-,3,-,146,19,14,67,21,25
"S00160216",121,25,16,48,13,20,6,-,-,5,-,-,117,25,16,43,12,20
"S00160217",103,4,7,24,34,35,-,-,-,-,-,-,103,4,7,24,34,35
"S00160218",129,12,14,70,23,6,2,-,-,1,1,-,127,12,14,72,22,6
"S00160219",144,40,8,76,16,4,1,-,-,1,-,-,143,40,8,75,16,4
"S00160220",79,4,14,31,21,5,4,-,-,3,-,1,73,4,14,30,19,4
"S00160221",130,24,25,43,29,9,5,1,-,-,3,2,124,23,25,43,26,8
"S00160222",111,9,5,19,25,52,1,1,-,1,-,-,109,8,5,19,25,52
"S00160223",195,49,23,64,30,33,6,-,-,4,1,1,191,49,23,62,32,28
"S00160224",106,5,11,76,16,1,2,-,-,-,2,-,104,5,11,76,14,1
"S00160225",100,15,6,34,28,21,-,-,-,-,-,-,99,14,6,34,28,21
"S00160226",63,3,9,34,11,6,-,-,-,-,-,-,63,3,9,34,11,6
"S00160227",65,9,5,31,15,2,2,-,-,1,4,-,61,9,5,30,12,2
"S00160228",93,9,5,28,24,27,-,-,-,1,1,-,91,9,5,27,23,27
"S00160229",95,9,4,16,28,35,1,-,-,1,-,-,94,9,4,18,28,35
"S00160230",137,39,20,36,26,19,1,1,-,-,-,-,136,38,20,36,26,19
"S00160231",111,5,17,61,22,13,4,-,1,1,-,-,109,5,16,54,22,13
"S00160232",137,19,10,33,35,38,-,-,-,-,-,-,137,19,10,33,35,38
"S00160233",61,9,9,27,9,9,-,-,-,-,-,-,61,9,9,27,9,9
"S00160234",92,2,13,46,13,18,-,-,-,-,-,-,92,2,13,46,13,18
"S00160235",109,27,30,32,14,3,2,-,-,-,2,-,102,27,30,32,12,3
"S00160236",96,11,13,18,27,29,3,-,-,1,1,-,93,11,13,17,26,28
"S00160237",95,13,6,34,21,27,1,-,-,1,-,-,94,13,6,33,21,27
"S00160238",61,6,12,27,15,5,2,2,-,-,-,-,60,5,12,27,15,5
"S00160239",148,21,23,66,25,16,7,1,2,4,1,-,141,16,24,62,21,16
"S00160240",196,61,21,60,30,24,8,-,1,5,4,-,188,61,20,55,28,24
"S00160241",77,13,3,36,16,9,-,-,-,-,-,-,77,13,3,36,16,9
"S00160242",117,12,16,52,32,5,2,-,-,2,-,-,116,12,16,51,32,5
"S00160243",85,6,6,27,21,24,2,-,-,-,2,-,84,6,6,27,18,24
"S00160244",125,14,8,31,48,27,4,-,-,-,4,-,121,14,8,31,46,27
"S00160245",115,33,13,39,20,13,4,-,-,1,1,-,113,33,13,40,19,13
"S00160246",115,21,9,28,17,40,2,-,1,2,-,1,112,21,8,27,17,39
"S00160247",123,19,8,51,22,24,1,-,-,1,-,-,123,19,8,52,22,24
"S00160248",86,13,9,27,19,19,6,3,1,4,-,-,80,10,8,22,19,19
"S00160249",125,10,17,41,26,25,-,-,-,-,-,-,125,10,17,41,26,25
"S00160250",60,7,6,25,20,9,-,-,-,-,-,-,60,7,6,25,20,9
"S00160251",83,3,12,28,23,13,5,-,1,1,1,-,79,3,12,27,22,13
"S00160252",106,6,9,47,24,22,1,-,1,-,-,-,105,6,8,47,24,22
"S00160253",128,16,8,45,31,27,4,-,-,3,-,-,124,16,8,43,34,27
"S00160254",127,3,-,12,6,105,1,-,-,-,-,1,126,3,-,12,6,104
"S00160255",89,5,4,26,23,34,3,-,-,-,1,1,86,5,4,25,20,30
"S00160256",101,16,4,29,19,34,3,-,-,-,1,2,96,16,4,29,18,36
"S00160257",76,8,4,14,21,25,1,-,-,-,-,1,73,8,4,14,21,24
"S00160258",136,5,6,31,32,62,4,-,-,2,2,1,132,5,6,29,31,61
"S00160259",60,-,-,29,18,13,-,-,-,-,-,-,60,-,-,29,18,13
"S00160260",99,10,11,17,27,31,-,-,-,-,-,-,99,10,11,17,27,31
"S00160261",68,6,4,25,13,22,-,-,-,-,-,-,68,6,4,25,13,22
"S00160262",78,12,5,27,16,23,-,-,-,-,-,-,78,12,5,27,16,23
"S00160263",74,6,8,28,17,15,1,1,-,-,-,-,73,4,8,28,17,15
"S00160264",77,12,3,21,8,33,1,-,-,-,1,1,75,12,3,21,7,32
"S00160265",99,7,8,25,21,38,1,-,-,-,1,-,99,7,8,25,20,38
"S00160266",227,43,33,75,45,34,3,-,-,3,-,-,225,43,33,69,45,34
"S00160267",131,18,14,68,23,6,2,-,-,2,-,-,129,18,14,66,23,6
"S00160268",65,-,-,8,21,37,2,-,-,-,-,2,64,-,-,8,21,35
"S00160269",118,3,7,11,32,65,-,-,-,-,-,-,118,3,7,11,32,65
"S00160270",81,9,7,20,24,21,3,-,-,3,-,-,79,9,7,18,24,21
"S00160271",93,15,11,34,15,18,1,-,-,1,-,-,92,15,11,33,15,18
"S00160272",93,11,13,32,22,15,-,-,-,-,-,-,93,11,13,32,22,15
"S00160273",86,13,12,27,14,17,-,-,-,-,-,-,86,13,12,27,14,17
"S00160274",116,22,21,45,18,12,4,2,2,3,-,-,115,21,18,43,18,12
"S00160275",101,14,4,37,15,31,5,-,-,4,1,2,96,9,4,35,14,30
"S00160276",83,18,7,26,12,23,4,2,-,2,1,-,79,16,7,25,11,23
"S00160277",85,9,6,24,25,22,2,-,1,-,-,-,84,9,5,20,25,22
"S00160278",127,13,14,28,36,36,7,-,1,2,4,1,120,13,13,25,36,35
"S00160279",124,24,17,74,6,4,7,3,-,5,1,-,117,21,17,71,4,4
"S00160280",86,8,12,30,23,9,-,-,-,-,-,-,86,8,12,30,23,9
"S00160281",108,23,10,45,14,16,6,3,-,3,-,-,104,20,10,42,14,16
"S00160282",152,26,23,45,25,31,1,-,-,-,1,-,149,26,23,45,24,31
"S00160283",70,5,8,24,16,17,3,-,-,3,-,-,68,5,8,19,16,17
"S00160284",93,6,5,46,21,15,5,-,-,5,-,-,88,6,5,41,21,15
"S00160285",94,12,13,28,11,32,2,-,-,2,-,-,93,12,13,27,11,32
"S00160286",65,10,4,19,11,14,5,-,-,1,2,-,62,9,4,18,13,14
"S00160287",163,18,16,69,32,23,-,-,-,-,-,-,161,18,14,69,32,23
"S00160288",73,6,4,21,24,18,1,-,-,-,1,-,72,6,4,21,21,18
"S00160289",211,24,27,42,47,69,1,1,-,-,-,-,209,19,27,42,47,69
"S00160290",140,21,13,31,33,38,4,-,-,-,3,1,136,21,13,31,34,37
"S00160291",71,15,1,43,10,4,-,-,-,-,-,-,71,15,1,43,10,4
"S00160292",84,1,8,40,20,17,6,-,-,2,1,-,78,1,8,35,19,17
"S00160293",95,8,15,25,21,24,6,-,2,2,1,2,89,8,13,25,20,27
"S00160294",66,11,4,34,15,4,3,-,1,-,1,-,65,11,2,34,14,4
"S00160295",105,9,7,49,23,21,1,-,-,-,-,1,104,9,7,49,23,19
"S00160296",99,16,12,45,16,7,2,-,-,2,-,-,97,16,12,46,16,7
"S00160297",135,15,9,42,37,28,5,2,1,3,2,-,127,13,12,39,35,28
"S00160298",153,26,16,73,33,5,-,-,-,-,-,-,152,26,16,72,33,5
"S00160299",156,26,15,49,36,28,4,-,-,3,-,2,152,26,15,48,36,27
"S00160300",89,5,2,21,20,45,3,-,-,2,1,-,86,5,2,19,19,45
"S00160301",98,12,11,39,20,20,7,-,4,4,-,3,91,12,6,38,20,18
"S00160302",175,24,23,66,38,24,2,-,-,1,-,-,173,24,26,65,38,24
"S00160303",69,8,2,18,27,14,2,-,-,2,-,-,67,8,2,16,27,14
"S00160304",111,16,5,27,23,42,1,-,1,-,-,-,110,16,4,27,23,42
"S00160305",70,5,7,10,27,23,5,1,1,2,1,-,65,5,6,5,27,23
"S00160306",113,27,14,41,18,17,3,1,-,-,-,-,114,30,14,39,18,17
"S00160307",104,12,8,75,7,2,1,-,-,1,-,-,103,12,8,74,7,2
"S00160308",105,19,14,54,14,9,-,-,-,-,-,-,105,19,14,54,14,9
"S00160309",112,24,15,50,14,9,6,5,-,1,-,-,106,19,15,48,14,9
"S00160310",91,7,-,29,15,42,3,2,-,1,-,-,86,5,-,28,15,42
"S00160311",105,9,6,52,24,19,-,-,-,-,-,-,105,9,6,52,24,19
"S00160312",116,27,11,31,25,25,2,-,1,1,-,-,114,27,10,30,25,25
"S00160313",89,3,5,30,23,25,-,-,-,-,-,-,89,3,5,30,23,25
"S00160314",148,39,21,64,16,8,2,2,-,-,-,-,146,37,21,64,16,8
"S00160315",154,51,25,55,18,5,-,-,-,1,-,1,152,51,25,54,18,4
"S00160316",371,96,34,90,29,119,9,6,-,-,-,-,359,90,33,90,29,117
"S00160317",82,4,4,11,35,27,2,-,-,-,1,1,80,4,4,11,31,26
"S00160318",191,43,17,112,17,-,2,2,-,1,-,-,189,44,17,111,17,-
"S00160319",81,11,5,50,13,-,1,-,-,1,-,-,80,11,5,49,13,-
"S00160320",68,9,5,28,14,10,3,-,-,3,-,-,66,9,5,26,14,10
"S00160321",142,10,19,36,48,29,5,-,-,1,4,-,137,10,19,35,44,29
"S00160322",100,9,17,26,21,27,8,1,2,4,-,-,92,6,15,19,20,27
"S00160323",75,11,10,21,11,22,3,-,-,-,-,3,76,11,10,21,11,21
"S00160324",98,6,11,24,22,34,2,-,1,-,-,-,96,6,8,24,22,33
"S00160325",78,14,8,26,15,15,9,1,-,2,3,1,68,13,7,24,10,14
"S00160326",90,3,8,44,24,15,7,-,-,4,2,-,87,3,7,34,21,15
"S00160327",71,6,-,37,18,11,1,-,-,-,1,-,73,6,-,37,17,11
"S00160328",92,13,7,25,22,23,-,-,-,-,-,-,92,13,7,25,22,23
"S00160329",142,18,12,67,30,15,2,-,-,1,-,1,140,18,12,67,30,14
"S00160330",87,10,4,20,27,30,2,-,-,-,2,-,87,10,4,20,27,30
"S00160331",65,8,14,39,6,-,1,-,1,-,-,-,64,8,13,39,6,-
"S00160332",60,6,6,13,16,19,-,-,-,-,-,-,60,6,6,13,16,19
"S00160333",104,11,8,31,37,19,-,-,-,-,-,-,104,11,8,31,37,19
"S00160334",104,20,6,67,5,6,3,-,-,3,-,-,100,20,6,63,5,6
"S00160335",128,27,17,52,23,10,14,-,6,8,-,-,114,27,11,43,23,10
"S00160336",67,7,4,31,14,11,2,-,-,2,-,-,65,7,4,31,14,11
"S00160337",201,35,20,45,45,55,4,-,-,4,-,-,197,35,20,42,45,55
"S00160338",95,16,4,33,25,17,7,-,-,2,3,1,88,15,4,31,22,16
"S00160339",145,9,11,29,38,56,2,-,-,-,2,-,139,9,11,29,36,56
"S00160340",100,5,12,39,32,10,4,-,-,-,4,-,96,5,12,39,28,10
"S00160341",93,13,4,33,21,22,1,-,-,1,-,-,92,13,4,32,21,22
"S00160342",92,12,9,32,22,14,11,-,5,4,2,-,82,12,6,29,24,14
"S00160343",132,11,27,59,23,9,4,1,-,3,-,-,128,13,27,56,23,9
"S00160344",83,5,3,26,19,36,-,-,-,-,-,-,83,5,3,26,19,36
"S00160345",119,10,14,37,32,26,1,-,-,1,-,-,118,10,14,36,32,26
"S00160346",68,7,11,33,11,9,2,-,-,2,-,-,67,7,11,31,11,9
"S00160347",87,8,9,23,29,18,2,-,-,-,-,2,86,8,9,23,29,17
"S00160348",104,8,9,23,26,35,5,-,1,1,1,1,96,8,10,22,24,34
"S00160349",89,3,14,29,28,15,-,-,-,-,-,-,88,3,13,29,28,15
"S00160350",136,16,15,36,45,20,3,-,-,1,2,-,133,16,15,37,47,20
"S00160351",108,13,4,28,30,33,1,-,1,-,-,-,107,13,3,28,30,33
"S00160352",72,4,2,52,10,4,-,-,-,-,-,-,72,4,2,52,10,4
"S00160353",128,12,10,22,33,49,3,-,1,1,-,-,126,12,9,21,33,49
"S00160354",110,8,19,33,33,17,3,-,-,2,1,-,104,8,19,31,33,17
"S00160355",92,14,8,39,18,9,4,-,2,2,1,-,84,14,6,38,17,9
"S00160356",74,9,8,29,13,11,-,-,-,-,-,-,74,9,8,29,13,11
"S00160357",150,18,18,45,45,24,7,3,-,3,2,-,142,15,18,42,41,24
"S00160358",84,3,24,54,1,4,3,-,-,3,-,-,81,3,24,51,1,4
"S00160359",85,11,27,43,6,3,3,-,1,2,1,-,82,11,26,42,5,3
"S00160360",90,8,16,54,8,4,2,-,-,2,-,-,88,8,16,52,8,4
"S00160361",103,17,13,31,21,19,1,-,-,-,-,1,99,17,13,31,21,22
"S00160362",183,61,25,78,14,5,2,2,-,1,-,-,181,59,25,77,14,5
"S00160363",126,21,10,49,20,28,5,2,-,3,-,-,119,16,10,47,21,28
"S00160364",97,4,14,46,17,12,1,-,-,-,1,-,96,4,14,46,16,12
"S00160365",94,10,7,17,22,36,3,-,2,-,2,-,92,10,5,17,20,36
"S00160366",126,9,12,33,32,41,-,-,-,-,-,-,126,9,12,33,32,41
"S00160367",198,39,29,108,19,3,3,2,-,4,-,-,195,39,29,106,19,3
"S00160368",97,7,7,19,26,37,2,-,2,-,-,-,96,7,6,19,26,37
"S00160369",104,13,13,44,18,16,11,4,-,5,1,1,93,9,13,38,17,15
"S00160370",81,8,10,26,22,13,3,1,-,1,-,-,78,7,11,25,22,13
"S00160371",89,12,2,24,26,22,2,-,-,1,-,1,87,12,2,23,26,24
"S00160372",194,67,19,81,19,2,5,2,1,1,1,-,189,65,20,80,19,2
"S00160373",162,31,10,62,27,29,4,-,1,1,1,1,158,31,9,61,29,28
"S00160374",64,6,9,23,14,15,4,-,-,2,1,1,63,6,9,21,13,14
"S00160375",118,14,7,50,22,25,2,1,-,-,1,-,116,13,7,50,21,25
"S00160376",106,13,15,66,6,4,8,3,1,4,-,-,98,8,13,62,6,4
"S00160377",144,13,14,48,36,33,3,1,-,1,-,-,142,10,14,47,36,33
"S00160378",127,13,8,42,30,34,3,-,-,1,-,2,124,13,8,41,30,32
"S00160379",180,32,33,46,44,18,-,-,-,-,-,-,180,32,33,46,44,18
"S00160380",132,20,9,51,20,36,3,2,1,-,1,-,129,15,8,51,19,36
"S00160381",88,12,4,35,21,20,-,-,-,-,-,-,88,12,4,35,21,20
"S00160382",131,13,13,42,28,40,2,-,-,1,1,-,131,13,13,41,25,40
"S00160383",136,25,13,47,33,14,-,-,-,-,-,-,134,25,13,47,31,14
"S00160384",148,37,9,48,35,22,10,5,-,5,-,-,138,31,9,47,35,22
"S00160385",67,15,5,22,14,8,2,-,-,2,-,-,65,15,5,23,14,8
"S00160386",88,12,9,27,19,20,1,-,-,-,1,-,87,12,9,27,21,20
"S00160387",123,23,11,53,23,16,5,2,-,1,2,-,118,21,11,52,18,16
"S00160388",196,51,15,119,10,4,7,4,-,2,-,-,192,47,15,116,10,4
"S00160389",165,23,26,75,25,16,3,-,-,1,1,-,162,23,25,74,24,16
"S00160390",87,8,9,21,25,23,2,1,-,-,2,-,84,7,9,21,23,23
"S00160391",96,14,17,26,23,14,7,-,-,5,-,1,89,14,16,21,23,13
"S00160392",93,2,12,28,37,13,4,-,-,-,2,1,90,2,12,28,35,13
"S00160393",172,26,18,52,27,51,2,1,-,2,-,-,170,25,18,51,27,51
"S00160394",79,9,11,43,9,5,-,-,-,-,-,-,79,9,11,43,9,5
"S00160395",73,10,6,20,20,17,3,-,-,2,-,1,73,10,6,18,20,16
"S00160396",69,19,5,26,15,5,8,3,1,2,2,-,60,16,6,23,10,5
"S00160397",166,20,13,40,46,47,2,-,-,1,-,1,164,20,13,43,46,50
"S00160398",145,26,23,56,30,14,-,-,-,-,-,-,145,26,23,56,30,14
"S00160399",76,3,3,24,20,26,2,-,-,-,1,1,74,3,3,24,19,25
"S00160400",88,6,5,27,29,18,-,-,-,-,-,-,88,6,5,27,29,18
"S00160401",80,11,10,16,21,16,1,-,-,-,1,-,77,11,10,16,24,16
"S00160402",92,28,10,40,9,2,3,-,-,1,-,2,90,28,10,41,9,1
"S00160403",215,49,38,92,26,10,3,-,2,-,2,-,212,49,36,92,25,10
"S00160404",140,19,12,36,35,37,2,-,-,2,-,-,138,19,12,34,35,37
"S00160405",68,2,16,30,15,9,2,-,-,2,-,-,70,2,16,28,15,9
"S00160406",133,23,21,37,27,26,-,-,-,-,-,-,133,23,21,37,27,26
"S00160407",143,17,8,43,37,38,3,-,-,-,2,-,140,17,8,41,36,38
"S00160408",154,26,16,41,43,28,6,1,-,3,1,-,148,25,16,38,41,28
"S00160409",148,20,7,51,42,24,-,-,-,-,-,-,148,20,7,51,42,24
"S00160410",104,21,7,30,29,17,-,-,-,-,-,-,104,21,7,30,29,17
"S00160411",119,16,11,50,15,24,2,-,-,2,-,-,118,16,11,49,15,24
"S00160412",130,14,17,42,46,9,2,-,-,2,-,-,128,14,17,40,46,9
"S00160413",136,29,12,71,17,6,12,4,-,6,1,-,124,28,11,65,16,6
"S00160414",123,23,15,77,8,-,2,2,-,2,-,-,119,21,15,75,8,-
"S00160415",120,21,8,28,28,36,2,-,-,-,-,1,118,21,7,28,28,35
"S00160416",92,12,4,31,24,22,2,-,-,1,-,1,93,12,4,30,24,21
"S00160417",64,-,4,49,8,2,4,-,-,4,-,-,60,-,4,48,8,2
"S00160418",78,13,9,25,14,10,5,-,-,4,2,-,71,13,9,21,13,10
"S00160419",83,10,4,27,18,24,-,-,-,-,-,-,83,10,4,27,18,24
"S00160420",238,54,27,108,39,8,17,4,3,10,-,-,221,50,26,98,39,8
"S00160421",67,2,5,27,21,12,4,-,-,1,1,4,63,2,5,29,23,10
"S00160422",159,40,18,70,25,6,4,-,-,4,-,-,155,40,18,66,25,6
"S00160423",80,7,7,17,25,24,2,-,-,-,2,-,82,7,7,17,21,24
"S00160424",147,30,13,50,32,21,2,-,-,-,1,-,145,26,13,50,31,21
