Scotland's Census 2022 - National Records of Scotland
Table UV211b - British Sign Language (BSL) skills by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","BSL User","BSL User","BSL User","BSL User","BSL User","BSL User","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user","Not a BSL user"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 49","50 - 64","65 and over"
"S00135418",168,39,7,73,36,13,10,4,-,2,5,-,158,34,7,71,36,13
"S00135419",76,4,9,34,24,5,2,-,-,2,-,-,74,4,9,28,24,5
"S00135420",143,14,6,44,24,57,4,-,-,2,-,2,139,14,6,42,24,55
"S00135421",116,14,7,49,28,18,5,2,-,2,-,-,111,12,7,46,28,18
"S00135422",102,10,6,49,24,13,-,-,-,-,-,-,101,10,6,48,24,13
"S00135423",184,34,11,69,38,36,4,-,-,1,1,-,182,34,11,64,37,36
"S00135424",115,15,10,24,36,34,3,-,-,2,-,-,112,12,10,22,36,34
"S00135425",115,13,5,41,22,34,6,3,-,4,1,1,105,11,5,39,24,33
"S00135426",136,18,17,32,40,28,1,-,-,-,1,-,135,18,17,32,39,28
"S00135427",125,7,6,7,33,72,4,-,2,-,-,3,121,7,5,7,33,69
"S00135428",73,17,6,25,20,7,-,-,-,-,-,-,72,17,6,25,20,7
"S00135429",83,9,8,16,21,30,-,-,-,-,-,-,83,9,8,16,21,30
"S00135430",112,14,10,22,27,35,-,-,-,-,-,-,111,14,10,22,28,35
"S00135431",106,24,10,39,18,19,1,-,-,-,-,1,108,24,10,39,18,18
"S00135432",117,11,5,20,31,49,5,-,-,3,1,-,111,11,5,17,30,49
"S00135433",126,18,5,30,34,45,2,-,-,2,-,-,126,18,5,29,34,45
"S00135434",111,5,3,13,26,62,-,-,-,-,-,-,107,4,3,13,26,62
"S00135435",79,4,4,9,20,35,-,-,-,-,-,-,79,4,4,9,20,35
"S00135436",107,13,6,26,32,30,-,-,-,-,-,-,107,13,6,26,32,30
"S00135437",117,16,5,62,18,12,9,5,-,3,-,-,108,17,5,59,16,12
"S00135438",79,13,3,26,21,17,7,3,-,4,-,-,72,10,3,22,21,17
"S00135439",89,9,2,13,30,33,-,-,-,-,-,-,89,9,2,13,30,33
"S00135440",125,15,4,34,29,43,1,-,-,1,-,-,127,15,4,33,29,43
"S00135441",124,14,13,31,31,35,1,1,-,-,-,-,123,13,13,31,31,35
"S00135442",67,-,-,3,11,53,-,-,-,-,-,-,67,-,-,3,11,53
"S00135443",97,10,10,34,19,24,-,-,-,-,-,-,97,10,10,34,19,24
"S00135444",89,18,6,60,2,1,-,-,-,-,-,-,89,18,6,60,2,1
"S00135445",134,14,7,42,28,46,2,-,-,2,-,-,132,14,7,40,28,46
"S00135446",156,28,6,30,33,59,4,-,-,2,-,-,155,28,6,29,33,58
"S00135447",130,23,15,52,28,12,7,5,-,2,-,-,123,18,15,52,28,12
"S00135448",151,44,5,91,7,4,3,-,1,1,1,-,148,44,4,90,8,4
"S00135449",98,5,3,10,10,72,5,-,2,-,2,-,95,5,1,10,5,71
"S00135450",91,6,5,15,16,47,3,2,-,2,-,-,88,4,5,13,16,47
"S00135451",69,1,4,16,14,36,-,-,-,-,-,-,69,1,4,16,14,36
"S00135452",62,5,6,17,18,14,4,-,1,4,1,-,58,5,4,15,21,14
"S00135453",102,9,4,57,19,12,4,3,-,1,-,-,98,6,4,56,19,12
"S00135454",117,22,7,69,12,8,1,-,1,-,-,-,113,22,6,69,12,8
"S00135455",106,13,12,30,20,33,1,-,-,-,-,1,105,13,12,30,20,32
