Scotland's Census 2022 - National Records of Scotland
Table UV209 - Scots language skills
All people aged 3 and over

,"All people aged 3 and over","Understands but does not speak, read or write Scots","Speaks, reads and writes Scots","Speaks but does not read or write Scots","Speaks and reads but does not write Scots","Reads but does not speak or write Scots","Other combination of skills in Scots","No skills in Scots"
"S00153357",106,22,27,3,-,3,-,55
"S00153358",95,12,26,1,4,4,-,48
"S00153359",70,11,24,3,2,-,1,29
"S00153360",182,36,53,5,8,6,2,76
"S00153361",156,23,46,11,11,6,1,60
"S00153362",147,31,32,1,9,6,-,68
"S00153363",115,8,40,5,3,1,-,57
"S00153364",174,18,21,5,7,9,-,114
"S00153365",128,10,46,3,3,7,-,61
"S00153366",119,19,39,7,1,6,-,45
"S00153367",90,22,27,-,2,2,-,34
"S00153368",143,24,36,5,7,2,-,68
"S00153369",116,19,35,11,4,2,-,46
"S00153370",127,38,56,-,2,2,-,27
"S00153371",227,22,28,10,11,19,1,141
"S00153372",230,28,30,5,5,19,-,144
"S00153373",198,18,34,12,11,9,2,113
"S00153374",68,12,16,6,3,4,-,26
"S00153375",116,17,36,5,4,4,-,50
"S00153376",98,6,31,4,3,4,-,51
"S00153377",131,21,35,9,4,5,-,57
"S00153378",176,26,36,4,9,17,1,83
"S00153379",58,8,18,-,1,9,-,29
"S00153380",142,17,27,-,11,11,-,76
"S00153381",174,18,37,12,10,4,1,94
"S00153382",143,19,31,6,2,-,-,85
"S00153383",112,17,22,4,6,5,-,60
"S00153384",238,29,53,13,9,11,-,124
"S00153385",111,11,24,7,9,4,-,56
"S00153386",84,20,21,5,2,3,-,41
"S00153387",106,9,28,6,-,5,-,57
"S00153388",66,12,21,1,1,-,-,31
"S00153389",121,17,26,4,4,13,-,61
"S00153390",121,11,34,6,4,6,-,56
"S00153391",83,5,8,1,1,3,-,60
"S00153392",126,15,40,6,2,8,-,57
"S00153393",105,11,30,7,7,5,2,47
"S00153394",85,9,21,7,5,3,-,36
"S00153395",109,18,20,2,3,10,-,53
"S00153396",93,14,17,5,1,3,-,53
"S00153397",331,26,78,7,4,13,2,201
"S00153398",133,21,29,3,9,6,-,69
"S00153399",69,6,14,-,-,2,-,44
"S00153400",133,6,43,-,4,7,-,70
"S00153401",280,31,52,3,10,18,2,162
"S00153402",81,10,15,4,-,2,-,49
"S00153403",148,39,49,3,3,6,-,45
"S00153404",230,23,41,8,11,11,-,139
"S00153405",181,29,44,3,2,5,-,95
"S00153406",170,23,34,3,8,5,1,96
"S00153407",225,33,37,5,16,9,1,125
"S00153408",105,22,18,2,3,4,-,50
"S00153409",70,6,11,2,4,4,1,44
"S00153410",77,15,14,4,10,2,-,31
"S00153411",114,18,23,7,9,-,-,57
"S00153412",63,15,3,-,2,1,-,39
"S00153413",116,36,24,5,2,5,1,45
"S00153414",102,8,21,8,7,6,-,52
"S00153415",150,21,47,3,8,4,1,66
"S00153416",120,15,34,7,7,2,-,52
"S00153417",83,7,16,4,2,5,1,48
"S00153418",140,13,19,5,6,10,-,81
"S00153419",69,8,13,1,1,3,-,39
"S00153420",247,24,29,17,19,12,-,148
"S00153421",85,24,29,2,4,-,-,26
"S00153422",108,11,35,-,4,5,-,53
"S00153423",123,5,28,1,6,2,-,81
"S00153424",96,2,27,5,3,11,-,51
"S00153425",78,19,13,5,4,1,1,33
"S00153426",81,11,28,4,5,1,2,31
"S00153427",160,26,26,-,2,12,-,94
"S00153428",187,33,42,4,9,12,-,90
"S00153429",114,24,22,2,4,-,-,63
"S00153430",103,13,33,2,4,2,-,49
"S00153431",137,18,18,6,7,6,1,81
"S00153432",97,13,16,3,9,-,1,53
"S00153433",172,19,47,12,5,8,-,80
"S00153434",130,16,27,6,13,4,1,65
"S00153435",107,12,37,1,7,3,-,53
"S00153436",61,16,12,2,8,1,-,29
"S00153437",193,29,30,15,8,13,2,97
"S00153438",87,14,22,-,1,4,-,45
"S00153439",143,26,25,1,5,7,1,80
"S00153440",172,24,50,-,2,7,-,89
"S00153441",198,27,19,8,8,15,1,123
"S00153442",144,21,33,5,4,2,2,77
"S00153443",70,5,25,-,5,-,-,37
"S00153444",91,14,16,2,3,6,1,47
"S00153445",119,23,28,5,4,5,1,53
"S00153446",188,38,46,6,5,8,-,85
"S00153447",108,23,28,1,8,12,-,40
"S00153448",202,32,36,6,10,4,-,116
"S00153449",147,30,11,3,4,9,-,91
"S00153450",114,32,10,4,5,12,1,48
"S00153451",69,2,20,2,2,4,-,36
"S00153452",164,21,18,4,2,6,1,109
"S00153453",147,25,43,9,8,1,2,59
"S00153454",104,16,11,3,6,12,-,56
"S00153455",70,14,14,-,-,-,2,38
"S00153456",126,15,41,6,3,2,-,64
"S00153457",118,23,10,3,7,6,-,69
"S00153458",64,10,19,2,1,-,2,30
"S00153459",135,25,23,4,2,1,-,80
"S00153460",212,42,41,8,8,12,2,103
"S00153461",113,15,14,5,2,7,3,65
"S00153462",119,14,30,-,3,4,1,66
"S00153463",84,8,24,1,-,3,-,47
"S00153464",97,5,19,2,7,1,-,65
"S00153465",161,27,38,-,6,4,-,84
"S00153466",143,23,25,6,9,2,-,86
"S00153467",156,15,40,4,10,5,-,82
"S00153468",98,10,25,1,3,4,2,52
"S00153469",121,7,44,6,8,2,-,57
"S00153470",110,22,30,4,3,3,-,48
"S00153471",110,22,32,4,6,3,-,43
"S00153472",173,32,62,6,5,5,-,63
"S00153473",115,19,21,2,-,4,4,69
"S00153474",91,17,23,-,-,-,-,53
"S00153475",142,12,63,6,11,-,-,50
"S00153476",170,22,40,10,4,-,2,90
"S00153477",104,16,24,8,4,4,-,49
"S00153478",164,27,48,7,3,2,-,80
"S00153479",108,14,43,6,1,-,1,43
"S00153480",175,52,46,14,4,5,-,50
"S00153481",211,32,67,10,4,7,-,83
"S00153482",62,15,22,3,4,-,-,22
"S00153483",117,17,37,7,8,3,2,45
"S00153484",148,13,44,2,9,6,-,78
"S00153485",157,30,43,8,4,4,2,61
"S00153486",91,9,31,3,3,3,-,36
"S00153487",92,18,19,5,5,5,1,41
"S00153488",112,32,36,2,3,2,2,38
"S00153489",140,7,38,2,4,10,-,78
"S00153490",98,16,27,7,5,9,-,37
"S00153491",128,17,44,9,7,3,-,47
"S00153492",108,16,44,1,2,2,-,39
"S00153493",103,23,36,3,2,-,-,34
"S00153494",115,11,25,3,6,13,1,55
"S00153495",115,15,40,8,2,8,-,42
"S00153496",164,21,50,4,7,2,-,86
"S00153497",120,8,32,4,9,8,-,57
"S00153498",95,7,27,6,1,4,-,47
"S00153499",115,14,38,3,2,4,2,52
"S00153500",59,9,17,4,-,5,-,24
"S00153501",85,10,22,2,4,4,-,44
"S00153502",68,10,14,1,1,-,-,39
"S00153503",91,15,27,3,3,-,-,41
"S00153504",163,30,59,10,2,1,2,60
"S00153505",95,9,20,8,4,-,-,50
"S00153506",120,8,17,7,5,2,-,82
"S00153507",133,23,24,2,8,1,-,75
"S00153508",105,12,31,6,2,2,-,51
"S00153509",86,19,19,1,4,2,-,41
"S00153510",131,19,45,4,4,2,2,56
"S00153511",166,33,58,7,2,1,-,64
"S00153512",100,16,35,4,-,1,-,44
"S00153513",176,19,71,9,2,-,1,69
"S00153514",160,26,38,4,5,6,-,81
"S00153515",104,24,28,1,1,3,-,45
"S00153516",182,27,43,1,5,9,-,91
"S00153517",103,11,16,4,8,7,-,59
"S00153518",101,14,23,6,10,8,-,41
"S00153519",156,25,58,5,6,6,-,55
"S00153520",149,17,26,4,8,5,-,89
"S00153521",79,21,31,2,8,1,-,21
"S00153522",67,15,16,2,-,3,1,32
"S00153523",147,21,29,-,5,5,-,85
"S00153524",125,14,29,6,1,7,1,67
"S00153525",96,19,32,3,-,2,-,41
"S00153526",130,20,41,3,3,10,1,55
"S00153527",111,11,28,5,3,4,-,62
"S00153528",108,16,38,12,6,-,-,37
"S00153529",114,26,29,5,2,-,-,52
"S00153530",106,22,31,-,4,-,-,47
"S00153531",134,15,53,9,2,-,-,55
"S00153532",68,5,26,3,3,1,1,33
"S00153533",108,6,30,4,-,-,-,66
"S00153534",109,16,52,12,1,-,-,35
"S00153535",105,9,17,4,4,14,2,51
"S00153536",95,7,39,7,7,-,2,34
"S00153537",127,24,33,7,1,3,-,62
"S00153538",127,16,20,2,3,10,-,74
"S00153539",76,12,16,1,-,5,-,44
"S00153540",129,22,14,4,5,9,-,73
"S00153541",155,16,37,4,8,11,-,79
"S00153542",140,18,30,6,3,3,-,80
"S00153543",145,15,33,2,2,9,-,84
"S00153544",138,17,35,5,3,2,1,78
"S00153545",104,21,27,4,3,1,-,46
"S00153546",79,14,17,2,5,3,2,37
"S00153547",121,13,28,2,4,7,2,65
"S00153548",142,23,42,11,1,3,-,63
"S00153549",66,3,14,1,6,4,-,36
"S00153550",104,10,22,2,4,5,-,63
"S00153551",163,17,27,-,8,10,2,99
"S00153552",63,9,6,2,2,2,-,44
"S00153553",170,29,45,5,15,1,-,79
"S00153554",100,16,20,3,7,7,-,50
"S00153555",84,15,19,3,6,1,1,38
"S00153556",82,9,18,1,4,4,1,45
"S00153557",107,13,14,2,4,7,1,63
"S00153558",128,21,26,2,5,6,1,66
"S00153559",128,20,9,-,3,9,-,81
"S00153560",65,7,17,1,-,-,-,39
"S00153561",108,18,26,1,5,7,-,50
"S00153562",91,7,30,-,5,6,-,42
"S00153563",170,19,32,2,9,16,4,90
"S00153564",153,24,43,-,4,12,1,63
"S00153565",70,8,13,-,-,5,-,46
"S00153566",97,9,18,3,3,2,-,62
"S00153567",95,20,21,4,4,7,2,37
"S00153568",94,9,18,-,1,8,1,60
"S00153569",97,15,19,-,3,1,-,58
"S00153570",166,19,18,6,10,5,-,106
"S00153571",83,8,29,4,4,3,-,35
"S00153572",143,13,3,1,8,11,-,103
"S00153573",110,20,27,7,3,3,2,51
"S00153574",80,3,16,1,5,8,2,43
"S00153575",110,21,24,-,4,3,-,56
"S00153576",83,18,21,2,3,3,-,35
"S00153577",75,9,19,4,4,1,-,39
"S00153578",146,15,45,4,2,10,-,72
"S00153579",85,11,32,1,-,7,1,32
"S00153580",87,9,13,2,5,5,4,51
"S00153581",153,16,36,1,3,4,-,91
"S00153582",108,22,23,6,-,-,-,55
"S00153583",68,12,16,1,5,4,-,30
"S00153584",66,10,15,2,3,4,1,34
"S00153585",96,16,16,1,5,12,-,51
"S00153586",81,17,6,4,5,4,2,46
"S00153587",77,8,23,-,-,1,-,45
"S00153588",90,8,16,3,4,9,-,52
"S00153589",114,25,12,3,4,16,1,56
"S00153590",73,13,16,2,-,3,-,40
"S00153591",87,19,16,2,7,7,-,31
"S00153592",63,7,18,4,3,3,-,34
"S00153593",160,26,27,2,10,9,1,86
"S00153594",150,27,33,6,5,2,-,75
"S00153595",103,12,12,-,1,7,-,69
"S00153596",100,3,15,3,10,7,-,60
"S00153597",159,24,20,2,5,13,-,94
"S00153598",88,14,12,3,3,9,1,41
"S00153599",109,33,13,-,-,1,-,65
"S00153600",129,27,22,3,4,8,-,69
"S00153601",106,18,13,-,-,6,-,66
"S00153602",65,10,3,-,-,5,-,47
"S00153603",112,21,6,-,3,10,-,71
"S00153604",90,19,18,6,2,5,-,42
"S00153605",100,16,7,1,1,12,1,63
"S00153606",141,18,22,6,2,8,-,84
"S00153607",154,18,14,5,7,6,-,103
"S00153608",156,23,28,5,4,5,-,92
"S00153609",97,13,16,1,2,10,2,54
"S00153610",187,21,22,2,7,22,-,111
"S00153611",131,15,17,5,3,9,-,79
"S00153612",70,17,-,2,-,3,-,44
"S00153613",160,16,27,6,9,8,2,94
"S00153614",117,17,15,-,5,7,-,72
"S00153615",137,17,22,4,6,5,-,86
"S00153616",119,20,22,5,4,12,-,60
"S00153617",120,25,13,-,1,8,-,79
"S00153618",167,22,33,5,1,8,2,96
"S00153619",154,34,37,1,4,7,3,68
"S00153620",140,36,18,4,5,17,-,62
"S00153621",72,8,8,5,1,7,1,44
"S00153622",138,18,33,2,7,4,2,73
"S00153623",145,14,34,5,8,7,1,71
"S00153624",94,15,25,2,4,2,-,48
"S00153625",130,23,36,6,7,9,2,50
"S00153626",107,23,16,5,1,7,-,55
"S00153627",91,11,10,2,6,10,-,54
"S00153628",110,16,18,4,4,3,2,61
"S00153629",341,11,71,-,2,9,-,249
"S00153630",114,13,26,7,5,-,-,63
"S00153631",92,11,22,-,4,2,-,55
"S00153632",126,19,33,2,5,5,-,64
"S00153633",99,11,15,3,3,3,-,68
"S00153634",120,10,14,3,12,-,1,80
"S00153635",179,18,43,6,2,5,-,106
"S00153636",137,19,23,7,5,6,1,80
"S00153637",92,24,22,-,4,3,-,37
"S00153638",115,20,28,3,2,9,-,53
"S00153639",107,19,-,1,1,3,-,84
"S00153640",103,10,31,-,2,5,-,53
"S00153641",107,14,23,5,1,-,-,64
"S00153642",111,24,14,5,2,11,1,60
"S00153643",104,17,33,7,2,4,1,41
"S00153644",89,11,23,-,-,4,1,46
"S00153645",132,7,4,2,-,1,-,116
"S00153646",99,5,6,2,1,5,-,79
"S00153647",130,14,36,5,4,3,-,73
"S00153648",94,22,7,5,7,7,-,50
"S00153649",80,8,24,5,3,4,2,36
"S00153650",141,14,17,4,2,2,-,104
"S00153651",92,13,13,3,2,4,1,62
"S00153652",120,20,23,6,4,6,-,61
"S00153653",140,20,35,7,3,6,1,73
"S00153654",85,8,9,-,-,3,-,62
"S00153655",153,9,40,8,13,16,1,64
"S00153656",64,9,20,2,2,6,2,16
"S00153657",87,5,7,-,1,8,-,67
"S00153658",162,29,30,2,2,12,1,88
"S00153659",75,5,11,2,1,1,-,58
"S00153660",70,9,12,4,4,3,2,39
"S00153661",91,15,19,1,3,4,-,49
"S00153662",159,26,28,6,7,2,-,90
"S00153663",92,11,12,1,-,6,-,62
"S00153664",125,21,23,3,2,5,-,70
"S00153665",149,21,31,3,5,13,-,75
"S00153666",101,9,38,4,1,9,-,37
"S00153667",63,12,17,4,6,5,1,18
"S00153668",90,5,13,4,7,5,-,54
"S00153669",101,11,11,3,2,5,-,69
"S00153670",137,10,17,4,4,10,-,91
"S00153671",111,17,25,3,8,2,1,51
"S00153672",230,41,42,2,3,8,-,132
"S00153673",78,10,9,2,1,4,-,52
"S00153674",105,18,9,-,-,4,1,73
"S00153675",86,10,23,-,2,2,1,46
"S00153676",124,22,28,2,2,8,-,65
"S00153677",110,25,27,4,5,1,-,47
"S00153678",116,19,26,9,4,5,-,53
"S00153679",153,17,42,15,13,5,1,56
"S00153680",125,20,40,2,4,5,-,57
"S00153681",81,10,29,-,2,-,-,40
"S00153682",96,12,15,4,5,6,2,51
"S00153683",91,18,29,2,4,3,1,34
"S00153684",143,20,36,1,4,6,2,77
"S00153685",90,13,29,8,8,4,-,30
"S00153686",77,12,16,2,3,6,-,40
"S00153687",126,15,32,4,6,3,-,65
"S00153688",66,4,25,4,1,-,-,36
"S00153689",98,21,29,4,2,-,-,42
"S00153690",116,17,20,1,3,7,3,66
"S00153691",88,12,27,1,3,5,2,39
"S00153692",120,17,24,4,8,7,-,60
"S00153693",114,28,15,3,3,11,-,54
"S00153694",96,15,27,4,7,3,-,44
"S00153695",113,13,16,1,10,16,1,60
"S00153696",78,11,21,2,6,2,-,36
"S00153697",84,11,28,2,3,-,-,40
"S00153698",90,19,18,-,5,8,1,43
"S00153699",91,8,12,4,1,5,1,63
"S00153700",86,8,14,-,1,7,-,53
"S00153701",161,25,25,11,5,9,-,80
"S00153702",154,23,23,3,10,8,-,87
"S00153703",152,5,8,-,1,13,-,126
"S00153704",71,10,10,-,4,1,-,45
"S00153705",453,24,15,-,10,19,2,381
"S00153706",119,19,19,2,5,3,2,69
"S00153707",76,8,16,1,9,2,-,38
"S00153708",90,12,4,-,3,5,-,70
"S00153709",106,18,17,2,9,3,-,56
"S00153710",208,12,3,2,2,15,-,172
"S00153711",2990,172,96,15,38,161,14,2490
"S00153712",92,10,6,-,4,2,-,70
"S00153713",376,17,12,2,5,25,2,311
"S00153714",78,11,15,1,1,4,-,50
"S00153715",131,1,4,3,-,3,-,117
"S00153716",134,9,2,-,2,10,-,113
"S00153717",119,5,3,-,-,11,-,98
"S00153718",171,9,12,-,1,5,-,146
"S00153719",512,32,17,3,8,23,-,431
"S00153720",146,13,9,4,-,4,-,119
"S00153721",127,16,7,-,-,10,-,94
"S00153722",115,15,28,2,3,-,-,68
"S00153723",102,4,4,1,-,6,-,88
"S00153724",135,6,3,2,-,5,2,115
"S00153725",135,8,2,4,-,9,-,114
"S00153726",88,5,2,-,-,7,-,74
"S00153727",69,8,11,1,2,6,-,36
"S00153728",81,13,10,6,-,6,-,52
"S00153729",178,28,11,2,3,10,-,125
"S00153730",94,6,5,1,2,8,-,73
"S00153731",75,5,7,3,3,7,-,49
"S00153732",344,22,13,2,3,20,1,283
"S00153733",126,10,4,1,-,4,-,107
"S00153734",113,6,6,-,2,12,-,84
"S00153735",128,13,11,4,1,5,-,99
"S00153736",133,11,10,-,3,15,-,89
"S00153737",146,18,8,1,1,5,-,113
"S00153738",87,5,6,-,-,6,1,71
"S00153739",77,14,15,3,4,1,-,40
"S00153740",67,5,4,-,-,3,-,54
"S00153741",170,40,29,4,2,8,5,79
"S00153742",104,9,25,1,5,6,1,53
"S00153743",106,10,25,4,2,8,-,54
"S00153744",102,8,17,2,3,6,-,64
"S00153745",106,13,13,-,4,6,-,75
"S00153746",162,21,18,3,3,9,-,108
"S00153747",195,34,23,-,9,11,2,117
"S00153748",132,13,7,-,1,11,-,100
"S00153749",111,8,9,5,4,4,-,81
"S00153750",85,9,21,2,3,2,-,48
"S00153751",83,4,2,-,-,9,-,68
"S00153752",111,16,12,1,3,3,3,78
"S00153753",106,15,17,4,4,1,-,65
"S00153754",87,16,14,2,3,8,-,44
"S00153755",100,9,17,-,-,2,-,71
"S00153756",160,11,16,1,4,17,-,108
"S00153757",131,12,7,-,1,6,3,100
"S00153758",103,15,13,2,3,6,-,62
"S00153759",64,7,6,2,2,6,4,39
"S00153760",170,19,11,4,-,11,-,122
"S00153761",124,10,8,-,1,4,-,96
"S00153762",133,15,22,1,6,18,-,75
"S00153763",68,5,3,1,4,5,-,51
"S00153764",212,37,56,2,6,12,-,97
"S00153765",106,15,7,2,5,11,4,61
"S00153766",121,17,20,4,2,4,-,70
"S00153767",97,14,10,-,3,8,-,61
"S00153768",134,11,29,4,3,2,-,84
"S00153769",63,4,5,-,3,11,-,40
"S00153770",94,11,9,1,4,7,-,60
"S00153771",92,15,11,3,1,8,-,54
"S00153772",233,23,20,12,3,8,1,163
"S00153773",162,12,24,-,2,9,2,112
"S00153774",91,15,10,3,8,6,-,50
"S00153775",107,18,10,3,4,3,-,67
"S00153776",77,6,16,1,-,6,-,46
"S00153777",92,4,13,2,1,14,1,57
"S00153778",129,5,35,3,5,10,-,78
"S00153779",89,6,11,-,5,11,1,54
"S00153780",55,6,6,1,-,7,1,34
"S00153781",108,6,12,-,4,2,-,84
"S00153782",104,12,23,3,4,4,-,59
"S00153783",79,6,14,3,4,4,-,47
"S00153784",98,13,24,-,4,6,2,44
"S00153785",105,13,26,4,-,3,-,60
"S00153786",64,9,4,-,-,12,-,39
"S00153787",156,21,6,2,1,8,-,118
"S00153788",77,4,21,2,4,5,-,35
"S00153789",97,16,8,2,2,-,-,67
"S00153790",103,21,12,3,2,5,-,57
"S00153791",139,23,16,4,-,24,1,75
"S00153792",125,16,29,4,5,7,-,66
"S00153793",127,5,23,3,7,4,-,83
"S00153794",66,13,14,-,1,3,-,32
"S00153795",76,10,12,-,2,6,-,47
"S00153796",136,11,12,3,10,14,1,90
"S00153797",111,20,7,1,7,11,-,64
"S00153798",147,16,31,5,5,8,-,80
"S00153799",90,8,11,4,4,5,-,59
"S00153800",86,6,19,2,3,8,-,44
"S00153801",133,10,7,2,5,6,1,103
"S00153802",116,20,16,9,4,4,1,61
"S00153803",99,12,10,-,4,9,-,63
"S00153804",96,22,12,3,6,4,-,47
"S00153805",69,5,10,1,1,6,-,43
"S00153806",100,8,29,5,4,5,-,49
"S00153807",66,7,16,-,4,2,1,34
"S00153808",103,13,15,1,3,13,-,55
"S00153809",145,25,21,3,1,5,-,88
"S00153810",76,9,17,3,-,6,-,41
"S00153811",91,13,15,4,6,1,-,56
"S00153812",112,11,30,-,2,7,1,62
"S00153813",125,12,22,6,4,2,1,76
"S00153814",81,18,7,5,1,4,-,40
"S00153815",93,14,21,5,6,9,-,40
"S00153816",102,12,17,-,4,13,-,52
"S00153817",98,14,8,-,5,5,-,65
"S00153818",111,3,23,-,1,5,1,73
"S00153819",104,10,22,-,4,8,1,56
"S00153820",118,19,19,5,2,7,-,67
"S00153821",90,13,25,-,3,7,1,39
"S00153822",121,20,18,6,3,5,-,71
"S00153823",167,25,31,7,10,6,5,86
"S00153824",125,23,17,-,6,6,-,71
"S00153825",103,18,24,3,5,2,1,51
"S00153826",82,15,11,7,6,7,-,36
"S00153827",105,12,18,2,3,5,-,65
"S00153828",123,5,32,-,3,3,-,76
"S00153829",97,10,10,1,1,8,-,64
"S00153830",77,9,26,1,1,5,-,35
"S00153831",148,20,26,6,-,9,-,87
"S00153832",92,7,25,6,2,11,-,44
"S00153833",89,16,16,-,-,10,-,42
"S00153834",142,13,16,4,3,6,1,97
"S00153835",120,16,27,2,5,10,2,61
"S00153836",87,14,6,3,8,13,1,45
"S00153837",140,21,48,10,6,8,-,45
"S00153838",155,34,29,16,-,5,-,70
"S00153839",154,28,25,4,14,8,2,72
"S00153840",126,21,34,6,1,1,-,63
"S00153841",83,7,25,3,2,6,3,34
"S00153842",124,10,29,3,8,6,-,67
"S00153843",88,17,25,-,3,3,-,36
"S00153844",150,28,16,2,7,19,1,77
"S00153845",79,25,13,-,2,5,-,36
"S00153846",116,19,34,4,10,5,1,43
"S00153847",109,22,31,8,2,-,1,47
"S00153848",141,19,23,4,5,10,3,75
"S00153849",135,26,34,5,2,6,-,68
"S00153850",61,16,16,-,-,-,-,28
"S00153851",99,22,24,-,2,5,-,47
"S00153852",121,23,32,3,2,7,-,53
"S00153853",148,16,29,-,8,9,-,85
"S00153854",83,6,21,1,2,-,1,53
"S00153855",85,15,20,4,4,3,-,40
"S00153856",81,5,26,2,2,1,-,45
"S00153857",110,17,34,10,4,7,-,35
"S00153858",116,31,32,2,2,-,-,49
"S00153859",95,9,24,8,-,4,-,50
"S00153860",110,10,24,4,2,3,2,65
"S00153861",144,19,41,7,6,10,-,67
"S00153862",80,24,13,3,5,2,3,29
"S00153863",84,7,15,2,4,13,-,46
"S00153864",123,25,31,6,3,9,-,50
"S00153865",96,15,22,-,2,5,-,52
"S00153866",114,15,22,2,3,7,2,62
"S00153867",85,12,23,3,1,7,-,39
"S00153868",215,24,40,8,14,16,2,111
"S00153869",105,12,21,6,7,3,1,59
"S00153870",121,21,25,6,6,4,-,58
"S00153871",129,12,34,3,7,6,-,70
"S00153872",97,12,22,3,3,10,1,45
"S00153873",93,10,26,4,3,3,1,41
"S00153874",158,17,34,6,10,14,-,79
"S00153875",62,12,10,3,2,5,-,31
"S00153876",70,13,13,-,-,5,2,35
"S00153877",121,20,37,8,3,4,2,47
"S00153878",91,18,13,3,8,6,-,47
"S00153879",145,20,28,2,2,16,1,78
"S00153880",179,29,35,12,8,17,-,82
"S00153881",75,9,7,5,5,6,2,42
"S00153882",58,6,21,-,2,4,-,27
"S00153883",116,24,25,1,6,2,-,59
"S00153884",102,15,13,1,3,9,1,60
"S00153885",117,18,21,3,1,2,2,69
"S00153886",96,11,28,3,-,5,-,48
"S00153887",148,13,31,7,2,14,-,77
"S00153888",86,21,15,2,5,9,3,36
"S00153889",129,20,19,9,11,9,-,66
"S00153890",139,20,34,6,5,4,1,73
"S00153891",99,9,21,1,5,11,-,53
"S00153892",145,21,25,3,10,6,-,85
"S00153893",86,20,24,2,6,1,-,33
"S00153894",115,6,25,7,2,1,-,72
"S00153895",124,23,18,-,11,10,-,63
"S00153896",178,30,32,4,8,14,-,92
"S00153897",156,21,37,1,11,9,-,81
"S00153898",111,18,23,4,4,7,-,55
"S00153899",60,10,8,3,2,4,-,31
"S00153900",121,16,47,5,8,-,-,42
"S00153901",109,12,16,4,6,4,-,67
"S00153902",92,12,25,6,1,8,-,40
"S00153903",84,18,21,-,6,4,1,27
"S00153904",156,32,32,-,3,9,-,80
"S00153905",105,13,24,-,4,8,-,56
"S00153906",95,14,16,3,1,6,-,55
"S00153907",125,21,24,6,11,8,-,55
"S00153908",168,25,27,5,4,14,2,93
"S00153909",96,17,17,2,7,14,-,42
"S00153910",98,18,30,3,11,8,-,32
"S00153911",78,14,11,2,6,6,-,40
"S00153912",92,13,26,4,3,3,-,43
"S00153913",125,27,29,-,3,5,-,59
"S00153914",121,29,27,3,6,5,-,48
"S00153915",115,9,25,6,3,10,-,58
"S00153916",97,26,22,3,4,8,-,46
"S00153917",141,13,35,7,5,2,1,82
"S00153918",122,13,12,7,5,8,1,76
"S00153919",105,18,28,2,6,6,-,46
"S00153920",118,17,24,8,5,2,-,62
"S00153921",98,7,29,10,9,6,1,36
"S00153922",112,21,14,-,11,7,1,53
"S00153923",129,16,20,7,2,14,1,69
"S00153924",71,7,20,4,5,4,2,33
"S00153925",175,34,43,4,4,5,-,88
"S00153926",132,23,32,7,8,7,1,53
"S00153927",137,27,23,1,8,7,-,71
"S00153928",97,20,24,2,5,2,-,44
"S00153929",105,12,20,2,2,16,2,54
"S00153930",69,8,15,7,4,5,-,27
"S00153931",67,10,12,6,4,5,-,27
"S00153932",106,15,16,5,5,8,-,57
"S00153933",149,14,31,3,5,11,1,84
"S00153934",104,11,28,2,4,10,-,49
"S00153935",78,7,15,3,11,4,4,35
"S00153936",135,23,32,2,5,7,2,61
"S00153937",96,9,14,7,11,9,1,39
"S00153938",150,31,40,17,3,6,-,54
"S00153939",68,8,24,4,1,7,1,27
"S00153940",95,15,33,4,-,8,-,36
"S00153941",145,12,55,8,8,2,-,59
"S00153942",68,9,26,2,4,2,-,26
"S00153943",150,29,50,7,6,3,2,56
"S00153944",137,17,56,14,7,2,-,41
"S00153945",111,17,23,1,3,4,-,64
"S00153946",118,26,36,6,2,1,-,48
"S00153947",210,28,49,7,12,9,1,105
"S00153948",140,16,33,3,7,9,3,70
"S00153949",98,13,20,6,4,6,-,56
"S00153950",127,21,34,3,3,5,-,64
"S00153951",163,27,59,8,4,5,-,63
"S00153952",110,12,23,12,3,1,-,58
"S00153953",66,4,23,6,5,3,1,24
"S00153954",177,22,47,1,7,10,-,90
"S00153955",140,19,44,-,4,4,4,63
"S00153956",89,7,36,1,5,4,-,40
"S00153957",85,6,36,6,2,-,1,41
"S00153958",75,10,31,3,4,4,-,27
"S00153959",104,11,26,2,3,11,1,54
"S00153960",107,16,24,4,1,10,1,51
"S00153961",110,9,27,6,3,2,2,61
"S00153962",87,13,15,-,7,2,1,49
"S00153963",166,16,49,10,4,14,1,72
"S00153964",129,17,21,1,3,14,-,76
"S00153965",117,15,20,10,4,3,-,65
"S00153966",155,19,28,2,5,16,-,85
"S00153967",130,16,25,5,4,5,-,76
"S00153968",101,13,32,-,2,4,-,47
"S00153969",158,32,24,-,5,8,1,89
"S00153970",164,30,35,12,6,8,-,74
"S00153971",87,12,16,3,2,6,-,51
"S00153972",82,10,23,7,-,8,1,33
"S00153973",64,4,16,6,2,7,-,29
"S00153974",79,6,30,5,-,1,-,36
"S00153975",179,25,31,6,4,18,3,92
"S00153976",99,22,19,4,4,5,-,46
"S00153977",60,16,16,-,6,-,-,24
"S00153978",81,13,20,3,5,1,-,41
"S00153979",85,18,17,-,5,4,-,43
"S00153980",134,22,20,6,13,5,1,63
"S00153981",122,20,26,6,6,10,-,55
"S00153982",88,27,18,3,5,3,2,32
"S00153983",147,24,45,8,4,2,1,63
"S00153984",109,10,40,-,3,2,-,53
"S00153985",136,24,42,10,2,8,-,50
