Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00135466",99,12,7,10,15,29,26,-,-,-,-,-,-,-,99,12,7,10,15,29,26
"S00135467",93,13,7,11,15,25,21,-,-,-,-,-,-,-,93,13,7,11,15,25,21
"S00135468",68,-,22,30,8,6,1,-,-,-,-,-,-,-,68,-,22,30,8,6,1
"S00135469",116,5,8,6,10,30,61,2,-,-,-,-,-,2,115,5,8,6,10,30,58
"S00135470",136,24,8,16,25,40,26,1,1,-,-,-,-,-,135,23,8,16,25,40,26
"S00135471",146,26,21,25,31,21,26,3,-,2,-,1,-,-,144,26,18,25,30,21,26
"S00135472",147,21,10,11,32,35,38,3,1,-,-,-,-,1,145,20,10,11,32,35,37
"S00135473",125,23,10,20,26,18,33,1,-,-,-,1,-,-,125,23,10,20,25,18,33
"S00135474",113,24,11,24,32,8,13,3,1,-,-,-,-,-,112,23,11,22,32,8,13
"S00135475",100,19,6,15,22,14,24,4,-,-,-,1,-,-,102,19,6,15,21,14,23
"S00135476",106,13,8,10,13,22,40,3,-,-,-,2,-,-,102,12,8,10,7,22,40
"S00135477",113,19,3,27,34,17,10,4,-,-,1,1,1,-,105,19,3,26,33,15,10
"S00135478",96,5,3,5,12,10,61,2,-,1,-,-,2,2,88,5,2,5,12,10,59
"S00135479",123,9,13,6,16,53,20,3,-,-,2,-,2,-,120,9,13,7,16,52,20
"S00135480",131,18,8,16,34,26,28,1,1,-,-,-,-,-,127,21,8,16,34,26,28
"S00135481",131,17,8,7,15,26,55,1,-,-,-,-,-,1,130,17,8,7,15,26,57
"S00135482",82,19,2,-,23,12,35,2,1,-,-,-,-,1,80,15,2,-,23,12,31
"S00135483",110,15,8,16,20,25,41,-,-,-,-,-,-,-,110,15,8,16,20,25,41
"S00135484",82,4,4,9,5,20,31,-,-,-,-,-,-,-,82,4,4,9,5,20,31
"S00135485",160,21,4,18,30,36,55,6,-,-,-,1,1,3,158,21,4,17,29,32,48
"S00135486",112,24,5,8,33,21,25,5,3,-,-,-,-,-,107,21,5,8,27,21,25
"S00135487",155,11,10,11,24,42,53,1,-,-,-,-,-,1,155,11,10,11,24,42,52
"S00135488",111,18,9,17,25,20,28,3,-,-,-,-,1,1,106,18,9,17,25,17,26
"S00135489",123,18,22,48,19,11,-,3,-,2,1,-,-,-,120,18,16,47,19,11,-
"S00135490",126,9,9,16,18,36,40,-,-,-,-,-,-,-,126,9,9,16,18,36,40
"S00135491",121,9,15,36,29,26,6,5,-,-,4,3,-,-,116,9,15,35,26,26,6
"S00135492",122,14,6,10,26,33,36,-,-,-,-,-,-,-,122,14,6,10,26,33,36
"S00135493",160,34,27,39,39,15,10,4,-,-,-,1,4,2,158,34,27,39,38,13,6
"S00135494",98,11,8,8,11,30,30,-,-,-,-,-,-,-,98,11,8,8,11,30,30
"S00135495",104,22,4,17,22,19,24,2,-,1,1,-,-,-,102,22,3,15,22,19,24
