Scotland's Census 2022 - National Records of Scotland
Table UV208b - Gaelic language skills (2) by age (6)
All people aged 3 and over

,"All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","All people aged 3 and over","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","Understands, speaks, reads or writes Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic","No skills in Gaelic"
,"All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over","All people aged 3 and over","3 - 15","16 - 24","25 - 34","35 - 49","50 - 64","65 and over"
"S00163789",114,20,7,15,21,24,28,7,-,-,-,3,1,2,107,20,6,15,21,23,26
"S00163790",101,14,2,13,16,24,32,21,-,-,2,3,6,9,79,10,2,15,13,18,22
"S00163791",156,20,13,18,29,37,43,2,-,-,-,-,2,-,155,20,13,18,29,36,43
"S00163792",139,9,8,18,33,28,43,27,1,1,1,3,4,17,112,8,7,17,30,24,26
"S00163793",81,14,5,7,24,18,13,23,3,3,2,5,5,5,59,11,3,6,19,13,8
"S00163794",114,17,10,18,22,33,21,28,5,5,5,4,3,7,82,10,6,9,21,33,15
"S00163795",77,17,8,14,6,27,8,29,8,4,8,-,9,1,48,6,2,6,6,16,7
"S00163796",136,12,6,5,18,41,44,50,11,4,-,13,11,13,82,3,2,5,9,32,31
"S00163797",96,8,6,6,15,35,27,12,-,1,-,1,3,5,84,7,1,6,13,32,22
"S00163798",140,12,9,20,18,34,42,53,12,3,6,6,7,17,87,-,10,15,12,27,25
"S00163799",167,12,12,15,21,52,58,6,1,-,-,1,1,1,157,12,12,15,20,49,53
"S00163800",118,19,3,2,17,34,41,28,4,1,1,5,5,12,89,15,1,3,12,29,29
"S00163801",89,7,3,9,16,24,24,5,-,1,-,3,3,-,79,7,2,9,14,21,23
"S00163802",107,14,7,11,15,30,27,2,-,-,1,-,-,1,105,14,7,16,15,30,26
"S00163803",144,7,7,22,20,38,52,39,4,-,8,6,11,10,105,2,7,14,12,27,42
"S00163804",135,8,7,7,21,44,48,50,6,3,3,5,10,19,89,2,4,4,16,34,29
"S00163805",151,21,4,8,25,43,47,59,16,1,-,12,11,10,96,6,3,7,15,32,38
"S00163806",134,12,21,4,28,38,31,14,1,7,1,2,5,-,120,11,15,1,23,34,31
"S00163807",174,10,16,12,32,51,50,53,9,7,6,4,12,14,121,5,9,3,28,38,36
"S00163808",104,6,3,15,22,34,25,22,4,1,4,5,4,3,82,-,1,7,15,30,25
"S00163809",100,19,6,22,19,21,13,5,-,-,1,-,1,-,97,19,6,21,19,19,13
"S00163810",120,13,7,10,17,37,37,7,2,-,-,1,6,-,111,11,6,10,16,31,37
"S00163811",64,3,4,4,7,20,24,-,-,-,-,2,1,-,62,3,4,4,8,19,24
"S00163812",142,28,14,16,35,25,26,42,15,7,3,3,7,9,100,13,6,13,31,14,17
"S00163813",114,16,3,12,21,29,31,-,-,-,-,-,-,-,113,16,3,11,21,29,31
"S00163814",85,18,9,15,22,15,15,19,3,3,2,5,2,6,62,11,8,9,11,8,9
"S00163815",103,5,11,10,12,31,37,18,-,3,1,1,4,9,85,5,8,8,12,27,26
"S00163816",108,5,7,7,11,28,47,-,-,-,-,-,-,-,108,5,7,7,11,28,47
"S00163817",70,10,-,3,14,19,17,30,11,-,-,10,2,11,36,-,-,3,6,18,8
"S00163818",93,8,6,1,11,34,32,11,5,-,-,3,1,2,84,3,6,1,8,33,30
"S00163819",95,12,8,5,20,22,25,5,2,-,-,1,-,1,90,10,8,6,19,22,27
"S00163820",112,17,5,8,19,29,34,5,2,-,-,1,-,1,107,15,5,8,18,31,31
"S00163821",80,8,7,6,12,21,22,5,-,1,-,-,2,2,78,8,7,6,10,23,20
"S00163822",83,10,7,1,15,23,22,9,-,5,1,-,1,4,74,10,4,1,15,24,16
"S00163823",102,5,7,11,10,37,32,9,-,2,-,-,2,5,93,5,8,11,9,35,27
"S00163824",83,2,11,3,20,28,17,5,-,-,-,2,-,-,78,2,9,3,18,28,16
"S00163825",137,11,6,15,26,37,42,1,-,-,-,-,1,-,136,11,6,15,26,36,42
"S00163826",75,9,12,6,12,20,14,11,-,6,2,-,1,1,64,9,7,6,12,17,13
"S00163827",133,15,11,6,26,36,39,10,1,-,-,-,1,6,126,14,11,6,26,33,36
"S00163828",117,9,4,4,15,24,60,1,-,-,-,1,1,2,113,9,4,4,14,21,58
"S00163829",65,5,1,-,-,10,44,2,-,-,-,-,-,2,64,5,1,-,-,10,43
"S00163830",71,8,4,-,15,17,24,-,-,-,-,-,-,-,71,8,4,-,15,17,24
"S00163831",88,12,6,5,26,17,22,2,-,-,-,-,-,1,86,12,6,4,26,17,20
"S00163832",92,17,7,9,17,24,21,1,-,-,-,-,-,1,91,17,7,9,17,24,20
"S00163833",73,6,9,5,14,23,16,14,4,1,1,3,4,2,59,3,8,2,11,17,14
"S00163834",72,7,2,12,6,25,18,14,3,-,2,1,4,6,56,3,2,11,4,22,12
"S00163835",62,5,2,1,3,10,40,5,-,-,-,1,-,2,59,5,2,1,2,10,38
"S00163836",125,19,2,7,28,33,33,9,4,-,1,1,1,4,112,17,2,3,27,32,28
"S00163837",165,22,8,14,38,39,39,8,2,1,-,3,-,2,157,21,9,14,35,39,37
"S00163838",110,17,9,9,26,29,20,5,-,-,-,3,-,2,105,17,9,9,23,29,19
"S00163839",117,10,9,3,22,34,39,6,-,-,-,4,1,1,114,10,9,3,18,33,39
"S00163840",96,9,5,11,10,26,37,6,-,-,-,-,4,-,91,9,5,11,10,22,35
"S00163841",162,25,6,11,41,39,40,3,-,2,-,-,-,-,159,25,4,11,40,39,40
"S00163842",85,2,9,4,11,30,28,-,-,-,-,-,-,-,85,2,9,4,11,30,28
"S00163843",103,9,6,16,9,37,23,35,3,2,4,3,14,9,68,6,3,16,10,21,14
"S00163844",107,14,7,4,19,30,33,49,14,4,3,6,9,12,58,-,3,1,13,18,21
"S00163845",150,20,9,19,27,27,44,7,2,-,1,1,1,2,143,22,9,18,26,26,42
"S00163846",72,10,15,9,20,15,6,3,1,-,1,1,-,-,69,9,15,5,18,15,6
"S00163847",68,7,4,6,16,20,15,3,-,-,-,1,2,-,65,7,4,6,15,18,15
"S00163848",108,25,17,14,29,16,7,7,-,2,1,-,4,1,101,25,16,13,29,12,6
"S00163849",119,20,12,14,32,27,15,1,-,-,1,-,-,-,119,20,12,13,32,27,15
"S00163850",117,23,13,10,25,22,23,-,-,-,-,-,-,-,116,23,13,10,25,21,23
"S00163851",104,17,14,13,22,34,3,6,1,1,-,-,4,-,94,10,13,12,22,30,3
"S00163852",105,17,8,7,23,27,23,7,-,-,2,-,-,3,98,17,8,5,23,25,20
"S00163853",86,19,9,14,25,13,5,1,-,-,1,-,-,-,85,19,9,13,25,13,5
"S00163854",154,26,15,30,35,33,9,6,-,-,-,2,2,4,144,26,15,30,37,33,7
"S00163855",103,6,9,5,23,38,22,1,-,-,-,-,-,1,102,6,9,5,23,38,21
"S00163856",157,17,9,20,37,36,42,8,3,-,2,1,1,1,149,14,9,18,32,35,41
"S00163857",73,3,5,6,15,20,24,1,-,-,-,-,-,1,69,3,5,6,15,20,23
"S00163858",62,5,2,6,13,17,17,1,-,-,-,-,-,1,61,5,2,6,13,17,16
"S00163859",144,22,9,24,37,31,24,7,-,-,-,4,-,1,137,20,9,24,34,31,23
"S00163860",68,4,4,8,5,26,17,5,2,1,1,-,2,-,59,1,2,11,5,25,16
"S00163861",129,12,10,17,39,32,19,3,-,-,-,1,-,2,126,12,10,17,38,32,17
"S00163862",126,17,7,16,18,28,44,1,-,-,-,-,1,-,125,17,7,16,18,27,44
"S00163863",106,16,3,9,26,28,21,1,-,-,-,-,1,-,105,16,3,9,26,27,21
"S00163864",139,13,9,23,24,40,27,1,1,-,-,-,1,1,132,9,9,23,24,39,26
"S00163865",129,13,10,5,25,35,46,7,1,-,2,-,4,-,122,12,10,1,25,31,41
"S00163866",72,2,5,4,5,30,26,1,-,-,-,-,1,-,71,2,5,4,5,29,26
"S00163867",68,9,8,7,14,8,20,5,4,-,-,-,-,2,63,7,8,10,14,8,19
"S00163868",65,5,1,8,15,14,23,1,1,-,-,-,-,-,64,1,1,8,15,14,23
"S00163869",143,19,6,15,32,25,46,10,1,-,2,-,2,5,133,18,6,13,32,23,41
"S00163870",81,1,5,2,6,28,43,5,-,-,-,-,3,3,76,1,5,2,6,22,40
"S00163871",68,6,3,4,17,6,31,3,-,-,-,-,-,3,65,6,3,4,17,6,28
"S00163872",180,29,17,27,43,32,39,3,-,1,-,-,2,-,177,29,16,27,42,31,39
"S00163873",139,18,4,13,19,43,40,71,17,4,6,14,12,18,68,1,-,7,7,31,22
"S00163874",117,9,9,12,14,39,32,9,-,3,5,-,2,2,106,9,6,9,14,37,31
"S00163875",139,20,25,11,32,24,27,12,4,2,4,-,2,2,127,16,23,9,32,22,25
"S00163876",63,15,5,10,21,8,4,1,-,-,-,1,-,-,64,15,5,10,20,8,4
"S00163877",128,13,7,10,18,33,41,11,3,-,1,5,2,-,117,10,7,13,13,31,41
"S00163878",106,18,1,6,22,19,42,60,15,-,3,11,11,24,36,3,1,3,7,8,18
"S00163879",68,10,3,7,15,17,16,3,-,-,-,-,2,-,65,10,2,7,15,15,16
"S00163880",70,10,6,3,11,19,19,4,-,-,-,-,1,1,68,10,6,3,11,18,18
"S00163881",142,18,10,9,22,44,39,57,11,2,2,9,23,8,85,7,6,7,13,21,30
"S00163882",102,13,12,12,21,27,19,3,2,-,-,-,-,1,99,11,12,12,21,27,16
"S00163883",99,15,5,10,16,24,32,7,2,-,-,4,1,5,91,13,5,10,14,23,29
"S00163884",101,8,4,10,16,31,29,3,-,-,-,2,2,1,96,8,4,10,16,29,32
"S00163885",162,17,44,14,20,26,41,92,14,37,7,6,12,14,71,1,6,8,18,13,28
"S00163886",69,11,6,16,14,13,11,2,-,1,-,1,-,-,70,11,5,16,13,13,11
"S00163887",121,14,9,11,19,31,39,9,2,-,-,-,2,7,114,11,9,11,20,29,34
"S00163888",66,9,7,4,9,19,17,-,-,-,-,-,-,-,65,11,7,4,9,19,17
"S00163889",64,8,6,5,9,23,17,5,-,-,-,2,4,1,59,8,6,5,7,21,16
"S00163890",163,11,17,13,29,50,42,14,2,3,-,1,4,1,151,9,14,12,27,48,41
"S00163891",167,27,7,16,42,29,42,43,10,1,1,7,11,7,124,17,6,13,31,22,35
"S00163892",92,15,5,4,17,35,14,2,-,-,-,-,2,-,91,15,5,4,17,34,14
"S00163893",86,7,6,7,17,26,23,32,3,3,2,5,11,7,54,4,3,4,12,15,16
"S00163894",118,16,13,9,18,29,33,3,-,1,-,-,2,1,115,16,12,9,18,28,32
"S00163895",137,19,8,7,31,33,39,17,-,-,2,6,2,8,120,18,8,6,26,31,31
"S00163896",156,23,5,17,21,36,54,11,2,1,-,-,6,1,145,21,4,17,21,30,52
"S00163897",133,16,7,14,25,34,35,50,6,2,7,7,12,11,84,5,5,4,18,26,24
"S00163898",113,15,17,11,23,38,15,5,-,-,-,-,3,-,108,15,17,10,23,36,14
"S00163899",149,25,10,9,32,38,40,14,3,3,-,4,2,3,135,18,8,9,24,36,36
"S00163900",128,16,10,11,20,37,32,5,2,-,2,1,-,2,123,18,10,10,19,37,30
"S00163901",105,19,11,9,19,26,17,3,1,-,2,-,-,-,102,21,11,7,19,26,17
"S00163902",140,17,9,14,24,38,38,11,-,-,2,5,-,1,135,16,8,16,21,38,37
"S00163903",92,20,11,11,17,15,19,10,3,-,2,1,1,1,84,18,11,9,16,16,18
"S00163904",135,15,15,11,29,36,29,11,-,-,-,3,3,3,124,14,14,11,23,33,26
"S00163905",83,18,4,12,14,22,15,4,-,1,-,-,1,5,76,18,1,12,14,23,10
"S00163906",93,11,8,16,25,24,14,4,1,-,1,1,-,1,89,10,8,11,24,24,13
"S00163907",111,11,16,20,17,22,29,7,4,-,1,-,2,2,104,9,16,19,17,20,27
"S00163908",127,9,6,12,21,38,35,7,1,-,1,1,1,3,121,12,6,13,20,37,33
"S00163909",104,8,6,10,16,28,38,10,2,-,3,-,3,2,94,4,6,9,16,22,36
"S00163910",151,12,6,14,22,47,51,16,4,-,-,4,3,6,135,5,6,14,18,44,47
"S00163911",63,12,7,4,13,14,13,4,-,-,-,1,1,-,59,10,7,4,12,13,13
"S00163912",95,13,8,-,19,36,19,10,3,-,1,4,-,-,85,10,8,1,13,35,18
"S00163913",125,16,-,9,18,25,50,5,3,-,-,2,-,1,120,10,-,9,21,25,52
"S00163914",101,12,7,2,18,25,35,11,-,2,-,-,2,5,88,12,5,2,17,22,30
"S00163915",143,31,10,20,24,25,31,18,13,3,2,-,-,-,125,19,5,18,23,25,31
"S00163916",94,17,6,11,16,25,19,11,5,-,4,1,-,3,83,15,6,9,15,25,16
"S00163917",143,20,9,10,23,43,38,14,6,-,-,3,6,2,129,14,9,10,21,39,36
"S00163918",64,12,1,11,12,12,13,5,3,-,1,2,-,-,59,10,1,10,13,12,13
"S00163919",96,10,4,8,24,20,30,7,2,-,1,-,1,3,89,8,4,7,24,19,26
"S00163920",81,2,2,1,11,16,49,5,-,1,-,-,-,4,78,2,1,1,11,16,45
"S00163921",140,10,10,19,28,26,47,15,5,4,-,1,2,3,125,5,7,19,27,24,44
"S00163922",128,14,1,12,19,38,44,10,3,-,-,2,2,3,115,11,1,12,17,36,41
"S00163923",82,11,5,4,16,18,33,8,2,2,-,-,1,1,74,8,3,4,15,14,32
"S00163924",107,17,7,8,12,32,28,30,7,-,2,7,4,4,77,8,5,3,9,28,24
"S00163925",133,19,15,18,26,37,18,31,7,7,5,2,7,3,102,13,8,13,21,26,15
"S00163926",83,17,3,14,21,17,12,20,6,-,2,1,6,5,63,11,3,8,16,11,7
"S00163927",144,15,10,8,17,55,37,4,2,1,-,-,4,-,137,12,9,8,17,51,37
"S00163928",113,10,11,15,17,24,30,16,6,3,4,-,3,1,97,4,11,12,17,24,29
"S00163929",82,6,4,10,20,17,25,9,1,-,2,-,2,4,73,8,4,8,20,15,21
"S00163930",80,9,9,15,15,19,13,11,-,1,3,2,3,1,69,8,8,12,10,20,7
"S00163931",72,11,3,12,13,18,15,12,3,-,3,2,1,4,60,8,3,9,11,17,16
"S00163932",130,20,12,13,21,36,31,26,7,3,-,3,2,7,105,10,9,13,16,33,24
"S00163933",120,21,9,14,15,28,33,14,3,-,5,1,1,5,106,18,9,11,14,26,28
"S00163934",77,9,9,4,10,24,27,13,-,1,-,1,5,2,67,9,5,4,9,18,24
"S00163935",183,20,14,13,37,57,43,12,3,-,-,1,3,3,171,15,14,13,39,54,40
"S00163936",77,6,3,6,13,26,23,13,2,-,2,-,2,7,64,4,3,7,12,24,18
"S00163937",114,20,6,14,29,25,22,11,3,-,-,3,5,2,103,15,6,14,26,22,20
"S00163938",115,15,5,9,23,38,27,17,4,1,4,2,2,4,99,11,4,5,16,36,23
"S00163939",127,18,5,8,22,28,46,12,1,-,-,-,2,4,115,16,5,8,20,26,42
"S00163940",133,8,7,12,19,46,41,17,3,1,1,1,2,7,116,5,6,11,18,43,33
"S00163941",139,18,9,14,18,50,34,28,8,2,3,7,4,5,111,10,8,11,11,42,33
"S00163942",194,19,16,18,38,63,33,26,7,6,2,2,8,-,171,15,10,15,40,55,33
"S00163943",81,18,3,15,18,10,19,8,-,-,3,1,2,-,73,15,3,12,17,9,17
"S00163944",156,17,16,8,29,41,45,27,6,5,1,5,5,3,129,11,15,7,21,40,45
"S00163945",79,11,2,11,11,23,17,9,-,-,2,-,3,4,67,11,2,12,11,20,17
"S00163946",157,24,15,10,32,44,33,16,2,1,3,2,4,5,141,22,12,8,30,37,32
"S00163947",177,26,3,13,40,39,55,15,2,2,2,2,3,3,162,22,4,11,36,39,52
"S00163948",186,13,12,13,27,56,64,13,2,1,2,1,3,5,171,10,12,11,26,52,55
"S00163949",149,28,9,9,41,27,35,20,8,4,1,3,3,2,129,20,4,8,38,25,33
"S00163950",131,20,8,7,26,35,32,9,-,-,-,2,4,4,119,20,7,7,24,28,30
"S00163951",157,14,12,18,26,44,46,11,3,-,-,2,3,3,149,11,12,18,24,41,43
"S00163952",87,10,7,11,12,28,15,15,8,-,-,-,6,1,72,9,7,12,12,22,9
"S00163953",114,9,9,6,20,40,28,9,3,-,1,2,4,1,105,7,9,4,21,37,29
"S00163954",127,10,16,20,19,39,23,18,3,2,5,1,2,3,109,7,12,19,18,37,19
"S00163955",116,6,7,10,14,36,45,26,5,3,5,5,2,6,91,1,4,6,9,34,37
"S00163956",113,7,10,10,22,32,30,18,5,-,1,3,7,-,99,4,10,9,19,31,30
"S00163957",181,22,23,19,29,34,54,14,3,1,-,2,2,8,166,19,22,19,28,32,46
"S00163958",96,10,11,26,17,23,11,6,1,1,4,-,-,-,91,9,10,21,17,23,11
"S00163959",197,23,23,17,27,61,49,33,8,4,2,1,7,8,161,16,15,15,26,51,41
"S00163960",121,13,10,8,33,23,27,17,5,1,-,3,-,-,104,11,8,8,30,21,26
"S00163961",99,16,8,16,19,20,20,6,-,-,-,-,4,3,92,16,8,16,19,16,17
"S00163962",111,21,8,10,23,26,24,14,3,2,2,1,1,5,97,17,6,8,22,23,21
"S00163963",147,13,13,16,16,32,57,12,3,1,1,-,2,3,135,10,12,15,14,30,51
"S00163964",123,26,9,24,20,19,21,9,-,2,2,2,-,3,114,25,11,22,21,19,18
"S00163965",174,21,7,12,29,41,57,30,6,4,2,3,2,9,147,12,9,7,29,39,49
"S00163966",64,10,-,6,10,18,20,6,1,-,1,3,2,-,58,6,-,8,6,16,20
"S00163967",90,5,12,6,12,28,27,10,1,1,-,2,3,2,81,4,7,6,10,25,25
"S00163968",157,41,21,21,32,25,22,9,4,4,-,1,-,-,148,37,17,21,30,25,20
"S00163969",116,17,5,19,19,26,31,12,4,1,3,-,2,2,104,15,4,16,19,23,29
"S00163970",78,11,5,10,13,31,11,4,-,-,-,-,4,-,75,11,5,10,13,24,11
"S00163971",78,13,6,8,18,19,7,6,-,-,-,3,-,4,72,13,6,8,15,19,8
"S00163972",103,7,13,10,22,27,23,14,-,3,4,-,2,6,89,7,12,6,22,25,17
"S00163973",71,4,3,4,9,29,26,13,1,1,-,2,3,4,61,2,2,2,8,26,18
"S00163974",103,15,6,12,11,35,25,8,2,-,-,-,3,4,95,17,6,12,11,32,25
"S00163975",87,17,5,7,23,18,18,8,2,-,-,2,3,2,78,15,5,7,21,15,16
"S00163976",119,17,12,10,31,24,25,11,2,-,-,1,5,5,104,15,12,10,30,15,22
"S00163977",115,20,10,10,24,25,26,15,3,2,-,1,1,4,102,16,8,10,23,24,22
"S00163978",99,16,10,5,19,31,16,11,6,-,3,4,1,4,84,10,10,4,15,28,17
"S00163979",143,31,16,18,17,29,30,12,6,-,3,2,-,1,131,25,16,15,17,29,29
"S00163980",119,17,16,16,28,22,19,9,3,2,2,2,1,-,110,14,14,13,27,21,21
"S00163981",78,11,9,10,16,19,17,10,5,-,-,-,2,3,72,6,9,10,16,15,11
"S00163982",70,10,8,14,10,14,10,6,2,-,3,3,-,2,62,11,8,11,8,14,10
"S00163983",100,19,2,14,15,21,22,15,3,1,3,1,4,3,81,16,4,11,16,17,23
"S00163984",124,18,17,10,20,33,23,18,5,5,1,-,7,-,106,15,10,9,20,26,22
"S00163985",119,21,16,12,29,24,21,12,5,-,3,1,-,-,107,16,15,9,27,24,16
"S00163986",123,29,10,17,24,26,13,8,2,-,-,6,1,1,115,27,10,17,20,29,12
"S00163987",100,14,9,18,20,30,12,12,2,1,1,2,4,1,89,12,11,17,15,26,11
"S00163988",163,37,21,15,27,34,29,14,4,-,-,4,1,5,149,33,21,13,25,33,24
"S00163989",69,10,5,3,8,12,31,4,-,-,-,-,1,2,65,10,5,3,8,11,28
"S00163990",107,14,7,6,14,39,25,14,1,2,2,2,4,4,93,13,5,7,12,34,21
"S00163991",177,19,6,9,21,31,89,37,2,-,2,2,7,26,135,17,6,7,19,29,63
"S00163992",79,10,8,8,12,15,25,9,3,1,2,1,2,-,69,7,7,6,11,11,25
"S00163993",93,7,5,21,14,22,18,10,4,1,1,-,-,3,83,7,4,20,15,22,15
"S00163994",95,11,2,13,16,28,27,12,5,-,1,1,-,3,83,6,2,9,13,28,25
"S00163995",107,18,11,19,22,23,18,6,3,-,2,2,-,1,100,15,11,17,19,23,15
"S00163996",113,31,19,16,30,13,4,14,8,2,1,1,2,-,99,23,15,17,31,11,4
"S00163997",114,8,11,14,18,32,31,11,2,1,4,5,4,1,99,6,10,12,13,28,30
"S00163998",107,8,10,10,19,41,20,14,5,-,3,1,3,2,93,5,10,7,18,39,18
"S00163999",124,10,20,11,16,39,28,8,1,1,1,1,1,2,119,9,19,10,15,37,26
"S00164000",114,22,8,17,28,21,22,12,-,-,4,-,4,3,104,22,8,12,28,17,19
"S00164001",115,9,11,20,21,24,33,6,-,1,1,-,1,-,111,9,10,18,21,22,33
"S00164002",256,13,152,32,31,28,1,48,-,41,4,1,-,-,208,13,111,29,29,26,1
"S00164003",171,17,24,20,31,52,27,20,8,1,5,2,3,1,151,9,24,15,29,49,26
"S00164004",69,5,6,11,6,19,22,10,-,-,3,-,3,4,59,5,6,8,6,14,18
"S00164005",93,16,6,9,26,27,10,7,4,-,1,-,1,1,86,12,6,8,26,24,9
"S00164006",73,13,3,6,9,18,24,11,3,-,1,3,-,4,62,10,3,3,6,18,20
"S00164007",125,19,15,18,21,31,21,20,6,1,4,1,5,5,105,15,13,14,21,28,16
"S00164008",157,19,41,30,22,30,11,12,-,7,1,-,-,-,145,17,34,29,22,32,11
"S00164009",119,7,12,16,29,33,19,6,-,-,-,4,2,3,113,7,12,16,27,31,14
"S00164010",106,18,11,25,25,18,12,6,-,-,3,-,3,-,100,18,11,22,25,12,12
"S00164011",158,17,24,20,36,31,28,22,3,2,4,1,1,4,137,17,20,16,34,29,24
"S00164012",122,10,8,26,31,27,20,10,-,1,4,1,3,-,111,10,6,23,31,26,18
"S00164013",112,6,9,11,8,14,66,17,1,-,-,-,1,11,97,5,8,8,8,13,55
"S00164014",72,10,5,-,10,20,22,12,3,1,-,1,3,4,60,12,4,-,7,17,18
"S00164015",76,7,2,17,10,21,18,5,2,-,-,-,1,1,71,6,2,17,10,19,16
"S00164016",96,7,11,16,21,28,13,11,3,1,1,3,3,1,85,2,10,15,18,25,14
"S00164017",84,7,18,12,12,17,18,2,-,-,2,-,-,2,80,7,18,10,12,17,16
"S00164018",127,17,21,17,25,30,17,10,3,-,1,2,1,2,117,14,21,22,21,28,15
"S00164019",118,31,10,18,34,23,9,11,4,1,3,2,-,1,107,27,8,15,30,23,8
"S00164020",131,28,16,18,29,26,16,23,7,4,3,2,-,4,112,21,10,13,28,26,12
"S00164021",99,4,4,24,12,33,21,6,-,-,3,-,-,2,93,3,4,21,12,33,15
"S00164022",103,13,20,11,20,14,25,12,1,2,-,2,2,7,91,12,18,11,18,13,19
"S00164023",104,11,8,18,16,29,25,7,2,1,-,4,-,1,97,8,7,18,14,29,20
"S00164024",76,24,4,6,20,10,9,9,7,-,-,2,-,-,67,13,4,6,18,10,9
"S00164025",110,14,26,15,22,19,22,8,2,4,2,1,1,1,102,12,24,10,21,18,17
"S00164026",108,14,17,17,33,17,17,10,-,3,1,2,-,5,98,14,13,13,29,17,12
"S00164027",111,12,24,15,14,18,28,7,1,4,-,-,2,4,100,10,20,15,14,18,21
"S00164028",84,14,5,5,18,18,21,13,4,-,1,4,2,1,71,11,5,1,17,15,20
"S00164029",92,12,9,18,12,19,21,9,3,2,1,3,1,-,86,8,7,17,11,21,21
"S00164030",102,17,6,15,23,21,18,25,8,3,9,5,1,4,77,10,3,9,18,20,14
"S00164031",79,6,6,15,14,25,15,10,-,-,3,-,-,4,72,6,6,12,14,25,13
"S00164032",176,40,16,21,47,29,23,16,6,1,1,2,5,-,160,32,15,20,44,24,23
"S00164033",96,16,14,13,22,23,8,9,4,-,-,-,4,1,87,12,14,13,22,23,7
"S00164034",84,19,10,7,17,14,17,11,2,-,-,-,1,3,74,13,10,7,15,13,14
"S00164035",97,12,11,24,18,17,15,12,3,1,2,-,-,3,85,9,8,22,18,15,12
"S00164036",80,15,16,9,21,13,4,5,4,-,-,-,1,-,75,11,16,9,21,12,4
"S00164037",93,12,9,2,11,31,29,35,8,5,-,2,10,9,58,4,4,1,9,21,19
"S00164038",126,23,18,17,22,28,10,17,5,3,4,1,5,1,109,22,19,15,21,23,9
"S00164039",146,23,6,16,28,33,39,21,3,2,4,1,4,8,123,21,4,16,27,29,31
"S00164040",101,15,13,24,25,18,8,6,-,-,1,2,-,2,97,15,13,22,23,18,6
"S00164041",111,7,4,5,12,32,49,14,2,-,-,-,5,6,99,5,4,5,12,28,43
"S00164042",93,9,9,12,19,19,15,8,2,2,2,1,-,1,85,5,7,12,22,19,14
"S00164043",100,14,16,8,12,39,11,46,10,8,2,4,12,10,54,4,4,6,8,27,5
"S00164044",175,35,26,31,32,27,21,15,3,8,-,1,1,1,160,32,18,31,30,28,19
"S00164045",111,17,10,16,13,24,31,11,4,-,2,2,-,7,96,12,10,16,11,24,24
"S00164046",113,22,15,12,25,20,14,6,2,2,-,-,1,-,107,20,14,12,27,20,14
"S00164047",163,16,2,14,25,49,61,24,7,-,2,6,5,7,139,8,2,13,21,41,54
"S00164048",109,14,7,8,16,27,37,6,-,-,-,2,-,4,103,14,7,8,14,27,33
"S00164049",91,15,1,3,28,11,31,8,1,-,-,3,1,1,83,12,1,3,25,10,30
"S00164050",102,4,12,16,15,25,30,13,2,2,1,1,1,5,89,2,9,15,14,21,24
"S00164051",87,12,4,9,14,25,23,34,15,4,2,3,3,6,53,3,-,7,8,22,17
"S00164052",143,14,4,10,27,46,42,8,2,-,1,-,5,6,132,13,4,9,27,43,36
"S00164053",183,29,15,15,32,47,43,19,4,-,2,4,4,4,164,25,14,13,30,43,39
"S00164054",125,19,10,21,19,23,32,41,10,5,8,6,5,5,86,6,5,13,15,22,27
"S00164055",199,31,7,10,33,58,61,50,14,5,3,8,6,11,149,17,5,8,24,43,50
"S00164056",169,16,10,17,18,53,55,46,5,6,7,2,15,9,123,11,-,10,16,39,50
"S00164057",87,12,7,-,16,22,29,19,4,2,-,4,4,-,71,8,5,-,12,18,28
"S00164058",61,7,3,1,11,20,18,14,4,2,-,1,2,5,45,3,-,1,11,19,14
"S00164059",135,12,10,26,26,32,29,17,6,4,1,2,2,4,118,6,8,24,24,30,26
"S00164060",80,17,7,4,19,22,12,13,-,4,1,2,5,1,67,16,4,2,17,17,11
"S00164061",122,15,8,5,21,33,41,13,1,1,-,1,5,3,109,12,7,5,19,29,38
"S00164062",77,3,4,9,8,27,26,3,-,-,-,-,3,-,74,3,4,9,8,24,26
"S00164063",98,13,6,7,16,21,31,10,3,2,-,2,1,-,88,12,4,5,15,22,31
"S00164064",105,15,8,11,18,30,23,7,2,-,2,-,4,2,99,13,8,9,18,26,22
"S00164065",91,7,3,11,19,31,18,5,-,-,-,-,1,2,86,7,3,11,20,28,17
"S00164066",67,6,3,3,1,27,24,3,-,1,-,-,-,-,64,6,-,3,1,25,24
"S00164067",70,6,10,6,16,10,24,2,-,1,-,-,-,1,68,6,9,6,16,10,23
"S00164068",79,5,9,7,7,21,30,3,-,-,-,-,1,2,76,5,9,7,7,20,28
"S00164069",86,16,5,6,12,26,21,7,3,-,1,-,1,-,79,12,5,6,12,25,19
