Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00152009",44,14,12,6,1,5,11,3,1,8,2,-,1,10,1,-,1,4,1,-,3
"S00152010",33,16,4,3,1,2,3,4,-,-,-,1,-,10,-,-,1,4,1,2,2
"S00152011",40,11,7,2,2,2,5,1,-,2,2,1,-,17,-,-,-,6,2,4,2
"S00152012",81,66,7,7,-,3,5,1,-,1,-,1,1,7,-,-,-,-,1,-,5
"S00152013",62,19,12,6,-,6,8,3,2,2,-,-,1,23,-,2,-,7,2,6,10
"S00152014",59,14,11,4,2,4,12,2,1,2,1,2,1,26,3,1,1,4,2,3,10
"S00152015",49,10,3,1,-,4,5,2,-,1,-,-,-,31,-,1,1,9,3,3,14
"S00152016",78,15,7,4,-,3,21,2,-,-,5,11,-,36,-,1,-,8,-,6,19
"S00152017",38,14,5,2,4,2,6,2,1,-,1,1,1,13,-,-,-,3,-,3,9
"S00152018",37,11,8,4,1,3,7,1,2,2,3,-,-,11,-,3,-,-,1,2,6
"S00152019",61,23,8,5,1,4,8,1,1,2,2,4,-,20,1,2,2,4,3,6,-
"S00152020",50,13,5,3,1,1,8,1,-,3,1,1,2,21,-,1,-,7,-,7,6
"S00152021",46,15,18,8,6,2,6,-,-,1,2,-,2,8,-,1,-,1,-,1,2
"S00152022",45,21,8,4,-,4,8,-,3,-,1,4,-,8,-,1,-,3,-,-,4
"S00152023",67,64,8,3,3,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
"S00152024",40,13,13,5,1,4,10,3,2,3,3,-,-,4,-,-,-,1,-,2,2
"S00152025",59,26,11,7,1,3,11,1,-,6,4,2,-,11,-,1,-,2,-,2,6
"S00152026",72,26,11,5,2,4,9,2,1,2,-,2,1,26,-,-,3,6,2,2,9
"S00152027",70,23,9,5,-,3,15,5,-,3,6,-,-,27,-,2,-,7,3,8,8
"S00152028",52,13,9,5,1,3,8,1,-,1,1,4,1,25,1,1,1,5,5,3,10
"S00152029",70,19,12,7,4,3,10,5,1,1,3,2,1,29,1,1,-,9,1,5,12
"S00152030",70,18,21,8,9,4,13,4,2,3,5,-,1,18,-,1,2,6,-,3,6
"S00152031",76,31,14,6,2,6,14,6,3,1,4,2,3,13,-,-,-,2,4,2,5
"S00152032",59,32,10,5,1,5,9,1,-,2,1,-,1,12,-,-,-,5,1,5,3
"S00152033",56,46,4,-,4,-,2,-,-,-,-,1,1,4,-,3,1,1,-,-,-
"S00152034",47,8,9,6,-,5,10,2,-,1,2,5,-,20,-,-,-,5,-,8,6
"S00152035",55,4,7,4,1,2,16,2,2,4,1,5,1,29,2,1,1,7,1,2,14
"S00152036",32,13,4,2,-,2,9,2,-,2,-,-,2,8,1,-,-,2,-,-,6
"S00152037",54,14,8,5,-,5,11,-,-,4,5,3,-,21,1,2,1,6,2,3,8
"S00152038",34,14,5,3,1,1,5,-,-,-,2,1,-,7,-,-,-,1,-,2,3
"S00152039",54,6,5,-,-,4,19,3,1,1,4,9,3,24,-,1,-,7,-,4,11
"S00152040",73,26,12,4,2,6,13,3,-,3,3,3,2,22,-,1,-,4,-,10,9
"S00152041",69,16,9,6,1,6,11,2,-,2,-,1,2,26,2,2,-,8,1,7,6
"S00152042",70,30,15,8,-,5,10,2,-,3,-,4,2,22,1,-,-,4,1,7,10
"S00152043",40,14,6,4,1,1,6,-,1,2,-,3,-,14,-,-,-,8,-,4,7
"S00152044",45,15,5,1,-,2,7,-,1,2,2,1,-,18,-,1,-,5,4,3,7
"S00152045",51,11,5,3,-,3,9,5,-,-,-,2,2,26,2,-,1,6,3,7,8
"S00152046",40,18,13,4,6,2,4,2,-,-,-,-,-,5,-,-,-,-,-,2,4
"S00152047",43,14,8,4,-,2,6,1,-,2,-,1,-,15,-,2,-,4,-,4,4
"S00152048",45,4,5,-,2,-,8,-,-,1,3,1,-,30,1,-,2,3,2,7,15
"S00152049",66,31,15,9,1,5,10,2,2,-,3,-,-,7,-,2,-,3,2,2,1
"S00152050",51,7,9,3,-,7,10,1,2,3,2,3,2,23,-,-,-,9,-,7,3
"S00152051",55,12,13,5,1,7,9,1,-,2,-,4,-,17,-,1,1,6,2,5,4
"S00152052",83,64,2,2,-,-,5,1,-,-,2,-,2,10,-,-,-,3,-,1,3
"S00152053",46,7,4,1,1,6,11,2,-,2,1,3,2,20,-,-,2,4,1,5,8
"S00152054",47,15,8,4,-,2,6,2,-,2,1,-,-,18,-,-,4,2,4,6,5
"S00152055",49,26,5,3,1,3,7,2,-,-,2,1,1,11,-,1,-,6,1,1,3
"S00152056",55,14,8,6,1,2,13,-,-,3,6,4,-,16,-,-,1,7,-,1,7
"S00152057",42,15,1,-,1,-,7,-,1,3,-,-,1,21,-,-,-,7,5,5,4
"S00152058",55,33,9,6,-,4,6,2,-,1,-,4,-,8,1,-,-,1,-,-,5
"S00152059",42,5,14,5,1,8,14,3,3,-,-,1,3,9,-,-,-,7,-,-,2
"S00152060",49,18,4,2,1,2,7,1,-,2,1,3,-,22,2,-,1,8,1,5,5
"S00152061",44,32,4,1,-,3,8,1,-,3,1,2,-,1,-,-,-,1,-,-,-
"S00152062",52,16,11,2,5,4,9,1,1,-,2,3,2,14,-,-,-,3,-,4,7
"S00152063",77,11,12,6,-,6,24,8,1,4,4,5,2,30,1,-,-,7,5,6,11
"S00152064",43,12,4,2,-,2,11,1,-,2,-,4,2,16,-,-,-,2,3,3,9
"S00152065",60,9,17,6,7,5,14,4,2,2,1,5,1,19,-,2,-,5,3,2,7
"S00152066",83,23,28,10,3,16,23,9,3,2,5,5,3,8,-,1,1,3,-,-,3
"S00152067",48,3,5,4,1,2,10,2,2,1,4,3,-,28,1,-,-,9,6,2,10
"S00152068",79,14,16,8,3,8,11,3,-,1,1,3,5,33,-,2,-,10,2,10,13
"S00152069",55,26,15,4,2,5,6,2,-,-,2,3,1,12,1,2,-,7,-,-,2
"S00152070",51,21,14,8,1,5,5,2,-,-,-,2,2,11,-,-,-,3,-,2,3
"S00152071",64,32,22,8,6,8,10,2,1,2,-,1,2,4,-,-,-,-,1,1,-
"S00152072",53,22,5,3,1,2,8,4,1,-,1,2,-,17,-,-,-,8,-,4,7
"S00152073",66,13,15,8,-,4,18,3,1,3,3,10,-,23,3,1,1,5,-,5,6
"S00152074",49,27,6,2,1,2,4,-,1,-,-,1,-,12,1,3,-,2,-,-,5
"S00152075",38,8,9,3,1,3,11,2,-,4,-,3,2,14,2,1,-,6,-,2,3
"S00152076",65,32,5,2,-,4,7,-,-,1,3,3,3,25,-,2,-,9,3,5,5
"S00152077",53,14,7,1,5,2,14,2,1,3,2,3,3,18,-,-,1,5,1,6,5
"S00152078",69,8,11,8,2,3,15,5,4,3,-,6,-,37,-,-,3,10,3,6,16
"S00152079",48,19,10,3,3,2,6,-,2,3,1,1,-,13,1,-,1,3,1,5,2
"S00152080",41,16,8,4,2,1,4,1,-,-,4,-,1,11,-,2,-,-,-,5,3
"S00152081",44,9,5,4,-,2,11,-,4,3,1,2,1,15,1,-,-,6,2,5,2
"S00152082",47,19,8,4,3,2,7,1,1,-,2,4,1,11,1,2,-,6,-,4,2
"S00152083",67,23,21,9,6,6,11,1,-,-,7,1,-,16,-,1,2,4,-,4,5
"S00152084",48,10,4,-,-,4,9,1,-,3,-,1,4,28,1,-,2,5,2,7,13
"S00152085",66,11,8,2,1,5,16,4,2,3,-,3,1,35,-,1,4,14,5,6,9
"S00152086",55,17,4,1,-,3,16,7,-,4,1,2,-,16,1,-,-,5,2,5,3
"S00152087",42,14,12,7,2,4,5,2,-,-,-,-,-,11,-,3,-,3,-,-,4
"S00152088",49,25,7,1,-,4,6,2,-,1,2,-,2,11,-,-,1,3,-,-,7
"S00152089",70,40,17,11,4,-,6,-,2,2,1,-,3,7,-,-,-,1,-,2,4
"S00152090",56,22,5,4,-,2,15,5,-,-,2,5,1,16,-,-,1,9,-,1,6
"S00152091",62,31,22,6,11,5,7,-,-,1,3,1,-,6,-,-,-,-,-,2,1
"S00152092",60,29,8,6,1,-,13,-,1,4,3,1,1,10,-,1,1,3,-,-,2
"S00152093",64,26,10,4,1,3,8,1,1,5,3,-,-,22,-,-,-,5,3,2,9
"S00152094",53,22,2,4,-,-,9,3,-,-,2,-,2,18,-,1,-,3,2,4,8
"S00152095",77,32,8,2,2,2,8,2,-,-,1,2,2,29,-,-,-,6,5,4,14
"S00152096",31,4,12,5,3,6,14,3,-,2,4,3,-,5,-,-,-,1,-,4,4
"S00152097",51,2,4,-,1,2,9,3,-,2,1,-,1,35,-,2,1,10,1,6,13
"S00152098",61,25,5,2,1,-,7,2,-,1,-,3,1,21,-,-,1,3,3,7,4
"S00152099",51,17,3,3,-,2,8,-,1,1,2,4,1,22,-,3,-,5,2,3,9
"S00152100",61,59,2,2,-,-,1,1,-,-,-,-,-,4,-,-,-,3,-,-,1
"S00152101",51,14,7,3,1,3,11,3,-,4,1,3,1,23,1,1,1,4,-,6,9
"S00152102",49,25,6,3,-,2,6,-,4,1,-,-,1,16,-,-,-,1,-,7,5
"S00152103",62,19,8,5,4,1,9,-,-,2,2,2,3,26,-,1,1,13,-,6,7
"S00152104",82,22,21,10,2,9,17,6,3,2,1,1,1,19,-,4,-,12,1,3,4
"S00152105",68,19,3,3,-,1,15,1,2,4,2,3,-,28,-,-,1,9,3,5,6
"S00152106",46,21,7,2,4,1,5,1,-,-,-,5,-,13,1,1,2,3,1,-,3
"S00152107",68,20,7,4,2,2,13,1,-,3,5,3,1,28,-,1,2,3,-,6,15
"S00152108",62,16,4,2,1,1,10,6,-,-,1,2,2,32,1,-,-,12,-,13,6
"S00152109",45,19,2,-,-,2,7,2,1,1,4,2,1,14,-,1,1,7,-,3,4
"S00152110",53,26,11,4,1,6,11,-,3,2,2,1,2,8,1,-,1,-,1,1,2
"S00152111",76,23,18,7,4,4,11,2,4,1,4,-,1,18,-,1,-,7,1,1,9
"S00152112",82,11,22,8,2,12,17,1,2,1,9,5,4,29,-,4,1,8,2,12,6
"S00152113",51,20,3,2,-,-,11,2,-,2,3,-,-,20,-,1,1,3,-,8,7
"S00152114",54,16,17,6,2,8,10,-,2,2,4,4,1,7,-,1,-,3,-,2,1
"S00152115",73,30,13,9,-,4,15,4,1,3,2,6,-,15,1,-,-,1,2,3,8
"S00152116",51,28,10,4,-,5,6,4,-,-,-,2,-,8,-,-,-,4,-,2,3
"S00152117",38,10,6,7,-,1,-,-,-,-,-,-,-,23,-,-,1,8,-,3,6
"S00152118",46,-,6,4,1,1,14,1,1,-,3,-,5,25,-,3,-,2,1,5,12
"S00152119",51,16,9,2,2,7,11,3,-,-,4,3,1,15,1,2,-,5,-,3,4
"S00152120",46,15,8,3,1,4,9,2,-,4,2,2,1,9,-,-,1,1,-,5,7
"S00152121",44,11,8,4,-,1,8,3,-,2,2,1,-,16,-,-,-,4,2,3,7
"S00152122",41,8,5,-,-,4,7,3,-,-,-,3,-,21,-,-,-,11,-,4,8
"S00152123",52,21,12,6,2,4,8,1,-,2,3,2,-,12,1,-,-,5,-,4,4
"S00152124",52,22,5,3,-,2,7,1,-,-,2,1,2,18,-,-,1,3,4,3,9
"S00152125",72,22,14,7,2,6,9,3,-,-,1,1,1,21,-,1,-,5,6,1,8
"S00152126",54,8,19,3,1,10,16,2,3,5,1,4,2,13,-,2,1,2,3,-,4
"S00152127",76,19,10,5,1,5,24,8,-,3,4,3,6,23,-,-,1,7,1,5,7
"S00152128",54,22,7,-,1,3,13,4,-,4,-,4,1,13,1,1,1,6,-,3,1
"S00152129",52,3,8,6,2,-,15,1,3,3,-,6,3,26,1,1,-,11,-,7,8
"S00152130",41,-,8,3,1,4,13,5,1,3,1,2,1,18,-,2,1,4,-,3,7
"S00152131",40,12,9,3,-,6,8,3,-,2,-,1,-,11,-,-,-,5,-,5,3
"S00152132",39,21,3,2,1,-,6,1,-,-,2,-,1,9,1,-,-,-,-,5,4
"S00152133",38,14,7,3,-,7,6,4,1,2,-,1,-,9,-,-,-,2,1,-,5
"S00152134",50,14,4,4,-,-,9,2,1,2,3,1,-,22,-,1,-,8,3,6,6
"S00152135",49,11,6,2,3,2,11,3,-,3,1,2,-,17,-,-,-,8,-,2,7
"S00152136",57,34,12,5,2,5,5,-,-,1,3,-,1,6,-,1,1,-,-,1,1
"S00152137",41,15,7,2,-,5,5,2,-,3,-,-,2,14,-,-,-,3,-,5,6
"S00152138",44,20,9,3,1,5,4,1,-,2,2,1,-,16,-,-,1,4,-,2,4
"S00152139",55,22,5,3,2,1,6,2,-,3,-,2,-,21,1,-,-,5,3,11,5
"S00152140",58,2,8,5,-,3,11,1,-,2,1,5,-,35,-,-,1,10,-,8,14
"S00152141",35,24,5,2,-,3,5,1,-,1,1,-,1,1,-,-,-,1,-,-,-
"S00152142",43,8,4,1,1,1,8,2,-,1,3,2,2,23,2,-,-,7,4,2,9
"S00152143",33,20,6,1,-,5,5,2,1,-,1,-,-,5,1,-,-,-,-,2,-
"S00152144",43,6,7,3,1,3,8,1,2,-,-,5,1,22,1,1,1,10,2,3,8
"S00152145",68,29,8,4,-,4,13,6,1,2,1,1,2,18,-,-,1,5,-,5,7
"S00152146",68,35,3,2,-,4,5,1,-,1,3,-,-,22,-,-,-,3,4,7,7
"S00152147",36,6,3,1,-,2,7,2,-,2,2,-,1,20,1,-,2,3,2,3,6
"S00152148",74,20,9,-,4,2,12,-,-,2,3,6,-,33,2,1,-,8,5,8,10
"S00152149",55,14,13,6,4,5,11,3,1,-,1,4,1,18,1,-,1,5,1,2,7
"S00152150",56,19,4,2,-,2,15,2,-,4,-,6,3,15,2,-,-,4,1,1,8
"S00152151",46,16,7,2,2,3,10,-,1,2,2,3,3,17,1,-,-,7,1,-,4
"S00152152",45,1,6,3,1,2,16,5,1,2,4,1,3,22,-,-,-,4,4,9,7
"S00152153",48,13,9,6,-,3,15,6,-,3,-,4,2,11,2,-,-,-,2,3,5
"S00152154",61,20,9,6,1,3,14,6,1,5,1,5,2,14,1,-,2,1,-,2,8
"S00152155",45,4,4,1,1,1,6,2,-,1,-,1,-,31,-,1,2,8,4,4,13
"S00152156",59,4,4,1,1,2,13,5,-,2,5,1,1,38,-,-,2,15,-,8,14
"S00152157",61,9,6,1,1,1,28,6,-,4,3,9,5,21,-,1,-,6,-,1,10
"S00152158",53,34,11,6,2,3,6,3,-,1,-,-,-,2,-,1,-,-,1,-,-
"S00152159",44,-,3,2,1,-,17,7,-,1,3,3,2,20,-,-,1,9,2,8,3
"S00152160",57,1,-,-,-,-,24,11,-,3,-,6,4,31,-,4,2,8,-,10,8
"S00152161",82,17,11,6,-,3,29,9,2,6,8,3,-,21,-,2,1,5,-,9,4
"S00152162",51,29,4,2,-,-,6,1,-,1,3,1,1,14,2,-,1,3,2,1,3
"S00152163",45,9,9,3,2,4,18,7,2,2,3,6,-,9,-,-,-,5,-,1,4
"S00152164",58,13,13,7,1,6,11,-,1,2,2,4,-,21,-,1,-,1,1,6,12
"S00152165",57,20,12,8,2,4,14,1,2,4,2,4,2,11,-,-,-,1,1,-,8
"S00152166",28,5,4,1,-,3,6,-,-,-,3,3,2,12,-,-,-,1,-,5,8
"S00152167",62,20,10,7,2,-,7,3,-,2,2,2,-,26,2,-,1,4,7,5,9
"S00152168",51,17,5,1,1,3,7,1,-,2,1,3,2,17,-,1,-,7,-,1,10
"S00152169",41,16,12,6,1,5,6,3,1,1,1,1,-,7,-,-,1,1,-,-,5
"S00152170",43,12,6,5,-,-,9,6,-,1,-,3,1,14,1,-,1,4,1,3,6
"S00152171",61,17,12,7,-,3,10,4,-,2,3,-,2,24,-,1,2,1,-,9,10
"S00152172",51,23,10,7,1,5,6,3,-,4,-,-,-,12,-,-,-,2,1,-,6
"S00152173",61,27,13,8,3,2,10,3,-,3,2,6,-,10,-,-,-,2,1,4,3
"S00152174",62,33,2,-,-,1,9,1,1,-,4,4,-,18,-,-,-,2,4,3,9
"S00152175",90,32,18,4,1,13,16,5,-,2,-,4,3,26,1,-,-,5,2,6,14
"S00152176",31,14,5,2,1,-,6,1,-,1,1,1,-,8,-,1,-,-,1,1,3
"S00152177",32,20,4,-,2,2,-,-,-,-,-,-,-,7,-,-,-,3,1,-,3
"S00152178",44,10,6,4,1,1,9,4,2,-,4,1,-,17,1,-,-,2,2,5,9
"S00152179",85,33,30,15,2,13,11,3,-,2,2,2,4,11,2,-,1,2,-,3,4
"S00152180",57,30,9,7,1,1,7,4,4,4,-,2,-,7,-,-,-,2,-,1,8
"S00152181",46,25,7,1,1,3,7,2,-,-,1,3,1,7,-,-,-,2,-,-,3
"S00152182",49,21,3,-,-,3,9,5,-,-,-,3,3,14,-,-,1,2,-,5,6
"S00152183",44,7,11,6,3,3,11,1,1,2,2,4,1,12,-,-,1,4,1,5,4
"S00152184",68,27,11,4,4,5,9,5,-,2,1,3,-,21,-,-,-,2,2,3,14
"S00152185",56,9,17,6,5,6,15,-,-,3,7,6,1,17,2,-,1,3,1,1,9
"S00152186",62,7,22,9,2,10,17,3,-,3,5,3,2,16,-,-,-,2,1,4,9
"S00152187",34,11,10,8,2,1,9,1,4,2,2,2,1,6,3,1,-,-,-,-,-
"S00152188",36,16,8,5,-,3,7,2,-,-,2,3,-,5,-,-,-,-,1,-,4
"S00152189",59,35,14,10,1,3,3,2,-,-,2,-,-,9,-,-,-,-,1,1,4
"S00152190",111,22,10,5,-,4,19,6,-,1,4,5,-,61,1,-,2,14,4,12,27
"S00152191",40,22,6,4,2,3,5,1,-,1,2,-,1,5,-,1,-,-,2,-,1
"S00152192",61,21,16,8,2,6,8,2,2,1,2,-,1,16,-,-,1,4,1,2,4
"S00152193",50,15,10,5,4,2,15,4,1,2,4,3,-,10,-,-,-,3,1,4,-
"S00152194",41,18,7,1,2,-,8,2,3,-,3,-,-,12,-,-,-,4,2,-,7
"S00152195",39,16,5,1,3,1,2,2,-,-,1,-,-,20,-,-,2,2,-,6,10
"S00152196",52,16,12,5,3,4,15,3,1,3,1,6,-,6,-,-,-,1,2,-,4
"S00152197",51,14,17,9,2,6,13,6,-,6,1,5,1,4,-,-,-,1,-,1,-
"S00152198",65,24,16,9,2,4,13,6,-,3,-,2,-,13,1,-,-,5,1,-,5
"S00152199",42,25,8,3,3,-,1,-,1,1,-,-,-,8,-,-,-,-,-,1,7
"S00152200",57,17,18,8,3,7,13,2,-,1,5,2,-,9,-,1,-,-,-,1,6
"S00152201",40,20,10,2,3,6,6,3,-,1,2,-,2,4,-,-,-,3,-,-,-
"S00152202",59,36,9,3,-,6,14,4,1,2,2,-,-,-,-,-,-,-,-,-,-
"S00152203",34,11,9,5,3,1,5,3,-,-,2,-,-,9,-,-,-,5,-,5,3
"S00152204",55,19,12,7,3,-,11,2,2,1,2,1,1,11,-,2,2,3,-,-,5
"S00152205",45,5,10,4,-,5,8,4,-,1,1,3,1,22,1,-,-,4,4,2,8
"S00152206",55,12,15,5,2,7,10,4,-,5,2,-,-,25,1,-,-,10,2,3,4
"S00152207",42,20,6,2,1,3,8,1,1,1,2,1,-,6,-,-,-,6,-,-,3
"S00152208",50,25,10,4,3,-,9,5,-,-,1,1,-,6,1,1,2,2,-,2,2
"S00152209",63,16,21,10,3,9,22,7,-,6,-,-,3,11,-,1,-,2,1,3,4
"S00152210",74,11,12,3,-,8,20,5,1,3,7,5,2,35,-,2,-,7,4,4,18
"S00152211",45,11,8,7,-,1,7,4,-,-,1,2,-,19,2,-,-,5,-,5,6
"S00152212",59,11,9,6,1,2,24,9,-,5,4,6,-,15,2,-,2,2,2,-,7
"S00152213",43,12,9,4,1,4,11,1,-,2,1,3,-,13,-,-,-,2,2,4,7
"S00152214",44,16,12,6,-,7,9,3,-,2,-,1,-,6,-,-,-,1,2,1,1
"S00152215",31,7,10,1,2,6,7,3,-,2,-,1,-,7,-,-,-,4,-,-,2
"S00152216",55,11,13,5,5,3,8,3,-,1,-,4,-,19,1,-,1,6,2,3,6
"S00152217",49,15,10,4,2,4,12,7,-,-,2,3,-,12,-,-,-,6,2,5,3
"S00152218",79,17,20,10,-,10,17,7,-,4,4,2,-,25,-,-,-,6,-,8,14
"S00152219",66,1,5,3,1,-,21,11,1,3,2,4,2,39,1,1,1,11,3,11,11
"S00152220",59,2,13,7,1,4,27,16,-,4,-,5,-,17,1,-,1,3,1,4,6
"S00152221",47,2,15,6,1,5,22,9,2,-,3,5,-,11,-,-,1,5,1,-,3
"S00152222",67,9,23,13,1,9,20,7,-,3,3,6,-,15,1,-,1,9,-,1,3
"S00152223",36,-,4,2,-,1,18,4,-,4,3,5,-,14,-,-,-,6,3,1,4
"S00152224",82,19,26,12,3,8,17,5,1,3,1,1,1,20,1,-,-,7,3,3,9
"S00152225",48,18,12,6,1,4,8,2,1,1,-,3,2,9,2,-,2,3,-,7,2
"S00152226",56,3,7,2,1,4,26,7,-,7,4,5,3,20,-,-,-,7,1,7,6
"S00152227",53,2,7,2,2,1,21,11,-,5,1,5,1,23,-,-,-,9,2,5,6
"S00152228",43,2,1,1,-,-,5,-,2,1,1,1,1,34,1,-,-,12,-,8,11
"S00152229",41,-,4,3,-,-,9,-,-,3,-,1,2,31,-,-,2,13,1,8,4
"S00152230",47,4,3,3,-,-,19,5,2,6,2,6,4,17,-,-,-,8,2,4,4
"S00152231",58,2,2,1,-,1,16,8,1,3,-,3,1,38,-,-,1,19,1,10,7
"S00152232",70,12,7,3,2,2,13,4,1,2,2,2,4,41,-,1,5,19,1,5,7
"S00152233",71,3,10,5,-,5,22,10,-,1,2,6,1,36,-,-,-,18,1,8,8
"S00152234",78,5,4,2,1,-,23,6,-,3,4,4,2,47,1,-,1,10,4,13,17
"S00152235",49,15,13,7,-,4,5,1,-,1,-,-,-,16,-,-,-,4,-,3,6
"S00152236",63,2,7,5,3,3,14,3,-,2,4,4,1,36,-,-,2,15,-,6,13
"S00152237",78,9,8,6,-,2,14,8,2,2,2,-,2,43,-,1,2,13,4,8,18
"S00152238",56,4,2,-,-,2,14,6,1,1,3,2,2,38,-,-,-,11,1,13,11
"S00152239",71,5,5,5,-,1,24,8,1,5,3,6,1,36,1,-,2,9,5,9,10
"S00152240",68,10,29,19,3,10,15,9,3,-,3,4,-,7,-,-,-,4,-,-,1
"S00152241",41,4,20,10,1,9,14,3,-,-,4,5,2,3,-,-,-,3,-,-,-
"S00152242",54,34,7,2,-,5,6,4,-,1,-,3,-,7,1,-,-,4,1,1,2
"S00152243",56,6,7,4,2,1,30,16,3,1,6,6,-,14,-,-,-,6,1,-,3
"S00152244",37,-,5,1,1,1,12,8,-,-,-,3,-,16,1,-,3,7,2,3,5
"S00152245",52,6,10,2,1,2,20,2,-,2,7,5,-,22,-,1,1,7,-,2,11
"S00152246",64,12,32,20,3,6,15,3,1,4,-,5,4,7,-,-,-,1,-,2,2
"S00152247",57,8,14,9,1,4,24,8,1,1,3,7,2,12,1,-,-,5,1,2,2
"S00152248",54,4,13,6,3,3,13,4,-,2,5,2,1,25,-,-,2,15,-,3,4
"S00152249",65,11,15,6,7,6,27,3,2,2,6,3,7,12,-,1,1,8,-,1,-
"S00152250",51,4,12,7,-,5,19,12,-,1,2,4,-,16,-,1,1,6,1,1,6
"S00152251",46,13,24,8,3,10,8,-,1,-,4,-,3,2,-,2,-,-,-,-,-
"S00152252",69,10,8,4,-,8,26,6,4,4,6,4,4,22,-,-,-,8,1,1,11
"S00152253",78,28,21,10,9,6,11,-,3,2,-,5,2,15,1,3,1,1,-,2,4
"S00152254",67,26,20,12,2,5,16,4,3,3,3,3,1,5,-,-,-,1,-,-,4
"S00152255",53,13,27,9,1,12,9,5,-,2,2,2,1,4,-,-,-,3,-,-,2
"S00152256",45,16,10,6,1,4,8,1,-,2,2,3,-,15,3,-,1,4,3,1,3
"S00152257",50,14,18,7,3,7,12,-,-,2,4,5,-,7,-,-,-,3,-,3,2
"S00152258",56,12,9,3,1,4,17,5,-,7,2,2,2,17,2,2,-,8,1,-,4
"S00152259",72,32,16,8,1,7,13,7,-,1,-,3,-,11,2,-,-,4,-,2,1
"S00152260",28,8,3,1,-,2,6,2,1,1,1,-,-,11,1,-,1,2,1,2,5
"S00152261",57,20,9,2,2,3,15,6,1,1,3,2,1,8,2,-,2,1,-,1,1
"S00152262",33,7,3,1,-,2,10,4,1,1,-,4,-,13,2,-,1,3,1,3,3
"S00152263",61,11,7,5,2,5,10,2,-,6,-,4,-,28,2,-,4,7,4,8,9
"S00152264",52,5,5,3,-,4,12,6,1,4,-,3,-,30,1,1,2,9,4,5,8
"S00152265",46,23,9,6,1,3,8,4,-,-,2,4,-,4,-,-,-,2,-,-,-
"S00152266",37,13,7,6,-,1,14,5,1,2,1,3,2,6,-,-,-,2,-,1,1
"S00152267",66,18,11,3,5,5,13,4,-,4,2,4,-,21,1,-,-,7,7,4,4
"S00152268",62,23,13,8,5,3,15,7,2,2,1,1,2,13,1,1,3,3,-,1,1
"S00152269",34,6,10,4,3,1,13,1,2,1,1,3,4,9,-,1,-,4,-,2,3
"S00152270",50,13,15,6,1,8,10,4,-,2,1,-,-,12,-,-,-,-,2,4,5
"S00152271",70,4,11,8,-,1,17,4,1,1,4,4,2,41,1,1,1,15,4,13,8
"S00152272",65,6,11,8,1,3,17,-,-,3,8,2,-,31,3,1,-,8,4,6,9
"S00152273",63,38,12,5,2,5,10,4,-,2,2,3,-,5,1,-,-,4,-,-,-
"S00152274",48,12,7,5,4,1,12,2,-,4,3,4,1,16,-,-,1,8,1,-,2
"S00152275",51,5,8,4,1,2,9,3,-,-,2,3,-,27,2,-,-,7,1,13,5
"S00152276",37,8,10,4,2,4,14,6,1,1,-,4,-,9,-,-,-,1,1,1,4
"S00152277",68,19,17,11,4,2,19,4,-,4,5,2,4,16,1,-,1,4,3,2,1
"S00152278",32,18,4,2,2,2,6,4,-,-,2,1,-,6,-,-,-,3,-,4,1
"S00152279",50,27,5,-,2,1,10,3,-,-,2,4,1,8,-,2,-,2,-,2,-
"S00152280",48,15,11,4,-,6,8,4,-,2,2,5,-,7,1,-,-,1,1,-,4
"S00152281",67,11,32,19,2,11,22,8,-,6,2,5,1,4,-,-,-,1,-,-,1
"S00152282",55,16,11,6,-,5,9,2,-,1,3,2,-,15,-,-,1,5,1,1,4
"S00152283",60,19,13,7,-,5,12,2,-,2,2,2,2,15,-,-,4,4,3,-,4
"S00152284",62,22,18,6,4,8,12,4,1,-,-,4,1,9,-,-,1,3,1,-,3
"S00152285",64,30,16,9,4,3,9,3,-,-,4,2,-,14,-,2,1,4,2,1,4
"S00152286",55,24,11,5,1,3,15,-,1,9,-,3,-,5,2,-,-,-,-,1,2
"S00152287",51,5,13,4,4,6,18,8,2,4,-,3,-,12,-,-,1,4,3,3,2
"S00152288",45,1,8,2,1,8,15,6,-,1,3,3,-,21,2,1,2,3,-,1,8
"S00152289",41,23,8,5,-,3,8,3,-,2,-,2,4,2,1,-,-,1,-,-,-
