Scotland's Census 2022 - National Records of Scotland
Table UV702 - Method of travel to work or study
All occupied households
,"All occupied households","No person working or studying in the household","One person working or studying in the household - Total","One person working or studying in the household - Driving a car or van","One person working or studying in the household - Other method of travel to place of work or study","One person working or studying in the household - Works or studies at home","Two people working or studying in the household - Total","Two people working or studying in the household - Both driving cars or vans","Two people working or studying in the household - Both other method of travel to place of work or study","Two people working or studying in the household - Both working or studying at home","Two people working or studying in the household - One driving a car or van, one other method","Two people working or studying in the household - One driving a car or van, one working at home","Two people working or studying in the household - One other method, one working at home","Three or more people working or studying in the household - Total","Three or more people working or studying in the household - All driving cars or vans","Three or more people working or studying in the household - All other method of travel to work","Three or more people working or studying in the household - All working at home","Three or more people working or studying in the household - Mixture of driving a car or van and other method","Three or more people working or studying in the household - Mixture of driving a car or van and working at home","Three or more people working or studying in the household - Mixture of other method and working at home","Three or more people working or studying in the household - Mixture of driving a car or van, other and working at home"
"S00135393",129,51,51,23,14,14,13,2,6,-,4,1,2,8,-,1,1,4,-,-,1
"S00135394",60,18,12,8,2,2,18,5,1,4,3,3,4,15,4,-,-,4,2,-,5
"S00135395",30,5,8,2,-,6,6,2,-,-,-,2,1,11,-,-,-,6,4,-,3
"S00135396",67,18,27,16,5,9,8,-,-,1,6,-,-,11,1,-,-,4,1,1,3
"S00135397",43,5,3,2,-,1,18,6,-,3,1,6,2,17,-,-,-,15,-,3,3
"S00135398",50,8,11,5,-,2,11,6,-,3,3,1,2,16,-,-,-,7,-,-,6
"S00135399",51,7,16,7,2,6,15,9,1,-,4,1,1,13,-,-,-,4,2,2,6
"S00135400",73,11,19,10,6,5,28,7,1,4,6,7,3,9,-,-,1,6,-,1,3
"S00135401",45,12,14,10,4,2,10,2,-,3,1,4,-,9,1,2,1,4,2,-,2
"S00135402",52,11,29,12,7,8,8,1,1,1,2,3,-,4,1,-,-,1,-,1,-
"S00135403",58,12,19,7,1,5,12,4,-,1,7,-,2,16,2,-,4,6,2,-,1
"S00135404",43,10,19,11,5,3,7,3,-,3,-,3,-,6,-,-,-,5,-,-,1
"S00135405",76,25,14,6,-,7,14,6,-,2,2,2,2,23,-,3,1,12,-,4,3
"S00135406",71,20,18,5,6,4,19,4,-,2,4,8,1,17,1,-,-,11,1,1,6
"S00135407",60,15,10,4,2,5,11,5,1,2,2,-,-,16,-,-,-,10,1,4,4
"S00135408",73,31,18,4,8,7,15,4,-,2,-,4,1,13,-,-,1,8,-,-,4
"S00135409",36,11,13,7,4,1,8,-,-,1,-,3,1,2,-,-,-,-,-,2,1
"S00135410",59,9,26,14,4,8,16,3,2,4,4,1,3,8,-,-,3,4,-,-,3
"S00135411",95,12,39,23,8,11,30,11,-,5,5,6,3,11,-,1,-,7,-,1,1
"S00135412",51,23,15,9,3,3,5,2,-,-,1,-,-,12,-,2,1,3,-,-,1
"S00135413",56,24,11,3,1,4,17,-,1,3,5,2,2,14,5,1,-,1,-,4,2
"S00135414",39,17,5,5,-,-,7,2,1,4,-,1,1,8,-,1,-,3,1,-,2
"S00135415",40,12,6,4,2,1,5,-,-,2,2,1,-,17,2,1,1,6,-,-,5
"S00135416",80,26,7,6,2,2,25,9,-,2,6,5,4,21,-,1,1,8,2,1,3
"S00135417",64,14,26,16,3,7,17,9,-,-,3,3,-,6,2,-,-,1,1,-,2
"S00135418",67,9,15,7,1,6,20,12,1,1,2,8,2,20,-,-,1,5,-,6,6
"S00135419",57,12,39,22,5,9,4,3,2,-,2,-,-,5,-,-,-,2,-,-,1
"S00135420",75,31,18,9,1,7,17,5,1,1,4,4,2,9,-,-,-,4,-,2,2
"S00135421",56,11,20,8,2,9,15,7,-,-,3,2,2,10,-,-,-,2,-,-,6
"S00135422",61,13,27,18,7,5,15,8,1,2,2,1,-,6,-,-,-,2,-,3,-
"S00135423",70,20,11,5,-,4,10,6,-,1,1,1,1,31,1,-,1,10,1,6,8
"S00135424",62,31,11,6,4,3,11,1,2,2,4,1,1,9,1,1,1,1,1,-,4
"S00135425",63,26,18,8,2,7,10,-,1,3,5,-,1,9,2,-,-,3,2,1,4
"S00135426",55,11,8,7,1,-,15,9,-,1,4,1,1,17,1,-,-,4,3,3,6
"S00135427",67,42,13,5,4,5,4,2,-,-,2,-,-,8,-,-,-,3,2,-,3
"S00135428",27,6,4,-,2,-,10,5,1,-,2,1,-,10,-,-,-,7,-,-,-
"S00135429",37,21,4,1,2,2,3,-,-,-,-,1,-,9,2,-,-,3,-,1,2
"S00135430",47,16,10,5,3,2,8,3,1,-,4,1,-,13,2,1,-,8,1,-,2
