Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00160244",128,14,8,13,17,48,27,24,3,-,1,2,8,8,20,1,-,-,1,14,3,87,14,8,12,14,26,16
"S00160245",118,31,13,15,24,20,13,26,-,1,1,10,9,5,13,-,-,2,3,6,2,79,31,12,12,11,5,6
"S00160246",117,23,9,17,9,17,40,24,-,-,-,-,6,18,15,-,4,-,2,-,10,78,23,7,16,10,9,16
"S00160247",133,27,8,24,29,22,24,36,1,2,3,5,11,11,15,1,-,1,3,-,6,86,26,4,16,21,9,5
"S00160248",86,13,9,6,21,19,19,11,-,-,-,-,5,8,18,4,1,1,6,4,2,58,9,8,5,15,13,8
"S00160249",127,11,17,14,32,26,25,52,2,7,1,16,14,13,22,2,-,4,8,3,4,53,10,12,6,8,11,10
"S00160250",64,9,6,13,12,20,9,17,2,-,2,1,7,6,12,-,-,3,6,2,1,37,7,4,9,6,7,1
"S00160251",84,7,12,15,13,23,13,7,-,3,-,-,4,1,10,-,2,1,-,4,3,65,7,8,14,13,18,9
"S00160252",115,15,9,23,22,24,22,21,-,-,1,4,5,9,22,1,-,3,4,7,6,72,14,9,19,14,12,7
"S00160253",129,17,8,14,31,31,27,19,-,-,1,3,6,10,24,6,1,1,4,4,8,85,11,7,12,24,22,9
"S00160254",127,3,-,7,8,6,105,62,1,-,-,2,-,57,37,-,-,3,-,1,34,27,1,-,4,4,3,12
"S00160255",93,9,4,15,11,23,34,14,-,-,-,1,4,10,12,-,-,2,-,3,7,67,9,4,13,10,17,14
"S00160256",104,19,4,16,13,19,34,10,1,-,-,-,2,3,12,-,-,1,1,3,7,82,18,4,14,8,12,21
"S00160257",73,11,4,6,8,21,25,15,-,-,-,-,6,9,10,1,-,-,5,-,5,49,13,4,6,4,15,11
"S00160258",137,6,6,18,13,32,62,38,-,-,-,3,2,31,24,-,1,1,-,15,13,75,6,5,17,10,19,18
"S00160259",60,-,-,10,22,18,13,15,-,-,-,6,5,5,14,-,-,1,5,4,4,31,-,-,6,11,14,1
"S00160260",102,15,11,6,11,27,31,13,2,3,-,-,-,9,11,-,2,-,5,3,3,78,11,10,6,8,24,23
"S00160261",72,10,4,18,7,13,22,25,1,-,3,2,8,8,13,1,-,4,3,1,7,31,8,4,12,-,4,3
"S00160262",82,14,5,11,19,16,23,20,-,-,3,-,3,13,10,-,-,-,2,4,5,52,14,5,8,17,7,1
"S00160263",76,8,8,12,16,17,15,19,-,-,-,3,5,8,12,-,-,1,2,5,5,49,8,8,11,12,8,2
"S00160264",79,14,3,5,16,8,33,13,1,-,-,1,1,10,13,-,-,-,2,1,9,53,13,-,5,13,6,14
"S00160265",102,10,8,7,14,21,38,9,-,-,-,-,-,9,18,-,-,-,3,2,17,73,10,8,7,11,18,16
"S00160266",236,51,33,26,49,45,34,30,2,-,2,6,10,12,19,-,3,-,3,6,5,186,50,28,20,40,32,15
"S00160267",134,24,14,31,37,23,6,24,-,5,-,3,12,3,15,3,2,2,7,2,1,98,22,6,29,28,10,2
"S00160268",65,-,-,3,8,21,37,20,-,-,-,-,4,16,11,-,-,-,-,1,10,34,-,-,3,8,16,10
"S00160269",122,2,7,6,6,32,65,32,-,-,2,2,8,21,11,-,2,-,1,4,9,72,2,6,4,2,20,35
"S00160270",85,9,7,8,12,24,21,7,-,-,-,1,3,1,12,-,1,-,2,5,8,64,9,8,8,10,16,13
"S00160271",96,18,11,10,25,15,18,16,-,-,1,2,5,8,16,-,2,1,7,2,5,64,18,10,9,10,8,5
"S00160272",97,15,13,16,16,22,15,15,1,-,-,2,2,7,9,1,-,4,3,2,2,75,13,13,14,11,18,6
"S00160273",86,13,12,12,15,14,17,21,-,1,2,2,5,11,15,3,1,1,1,3,4,48,9,13,9,7,6,2
"S00160274",120,26,21,23,25,18,12,22,-,-,-,7,8,3,16,2,-,-,7,4,4,82,24,14,19,12,8,3
"S00160275",104,17,4,13,21,15,31,10,-,-,-,-,3,7,12,-,-,-,3,1,7,82,17,4,15,18,8,18
"S00160276",85,20,7,14,12,12,23,21,-,-,4,2,5,10,8,1,-,2,-,1,4,56,18,7,9,10,6,6
"S00160277",88,12,6,13,11,25,22,17,-,-,-,-,8,10,18,1,-,1,3,6,7,53,10,6,12,8,11,6
"S00160278",133,19,14,14,16,36,36,13,-,1,-,-,6,6,19,-,2,2,1,7,8,100,19,11,11,15,23,22
"S00160279",128,28,17,41,33,6,4,6,1,-,-,1,-,3,13,4,3,4,3,1,-,109,22,14,37,28,4,1
"S00160280",90,14,12,17,13,23,9,19,-,1,-,2,9,6,18,-,5,5,2,4,4,50,11,8,12,9,10,5
"S00160281",123,38,10,27,18,14,16,14,3,-,6,2,2,4,16,1,1,6,-,4,4,93,35,9,17,17,8,8
"S00160282",154,30,23,14,27,25,31,18,2,-,-,5,3,9,21,2,1,1,4,1,8,115,27,21,13,22,18,14
"S00160283",75,11,8,15,9,16,17,26,-,3,1,-,8,11,14,2,1,4,-,2,4,35,6,3,13,6,4,4
"S00160284",93,6,5,21,27,21,15,22,1,2,-,9,7,7,10,-,-,4,-,5,2,54,5,4,19,15,9,9
"S00160285",94,12,13,13,15,11,32,24,2,-,1,-,4,17,14,-,-,1,1,2,8,56,10,10,11,14,4,7
"S00160286",66,11,4,10,9,11,14,12,-,-,-,-,2,8,16,2,4,-,1,1,7,40,8,1,10,8,7,4
"S00160287",172,31,16,38,33,32,23,14,-,1,2,2,6,3,18,-,1,1,4,4,8,140,31,10,35,27,22,11
"S00160288",74,7,4,6,15,24,18,12,2,-,-,-,4,7,11,-,-,-,2,5,5,50,6,4,6,12,15,5
"S00160289",215,24,27,19,31,47,69,56,-,-,-,1,1,51,17,2,-,-,-,5,10,142,22,26,17,29,48,7
"S00160290",140,21,13,10,21,33,38,13,-,-,-,2,4,7,24,4,-,-,1,10,9,103,19,13,10,16,23,22
"S00160291",72,16,1,10,29,10,4,2,-,-,-,-,2,-,7,-,-,-,1,3,1,62,16,1,10,26,5,-
"S00160292",86,2,8,16,24,20,17,15,-,-,1,1,4,8,13,-,-,1,4,4,4,59,2,8,15,19,12,5
"S00160293",97,10,15,3,24,21,24,21,-,2,-,1,6,12,10,-,2,-,1,3,5,63,10,12,3,22,12,7
"S00160294",68,11,4,21,13,15,4,13,-,2,-,-,6,2,3,1,-,2,-,4,-,52,10,2,20,13,6,-
"S00160295",111,14,7,25,26,23,21,32,-,-,3,8,8,13,22,5,-,5,2,5,4,57,9,7,17,14,10,3
"S00160296",104,21,12,25,20,16,7,15,1,2,1,5,3,4,10,-,-,1,3,3,1,81,20,10,23,12,11,5
"S00160297",138,18,9,18,24,37,28,35,1,-,-,4,16,14,14,-,-,4,-,5,5,89,17,9,14,20,16,11
"S00160298",154,30,16,46,31,33,5,8,1,-,2,1,2,2,17,-,3,1,-,8,1,129,28,13,38,28,23,2
"S00160299",163,33,15,20,31,36,28,9,1,-,-,4,-,3,15,-,-,1,2,6,9,135,33,15,19,29,29,19
"S00160300",89,5,2,5,16,20,45,28,-,-,-,3,8,17,13,-,-,1,-,5,8,48,5,2,5,9,7,17
"S00160301",107,18,11,15,24,20,20,15,-,-,1,1,6,6,13,-,1,-,6,1,6,78,18,8,9,17,13,8
"S00160302",183,32,23,29,41,38,24,17,-,1,-,1,6,9,22,2,2,-,4,6,6,144,30,20,24,36,25,9
"S00160303",69,8,2,9,7,27,14,17,1,-,1,-,10,6,17,2,-,1,-,7,8,35,5,2,6,7,11,3
"S00160304",114,17,5,8,19,23,42,9,-,-,2,1,-,7,17,-,-,-,3,3,9,92,17,5,6,16,21,22
"S00160305",70,5,7,3,7,27,23,22,-,1,-,1,9,13,7,-,1,-,-,2,4,41,5,5,3,6,13,8
"S00160306",123,33,14,11,26,18,17,25,-,2,4,2,9,8,31,8,6,-,7,4,6,67,25,6,9,11,7,3
"S00160307",107,15,8,36,39,7,2,2,-,-,-,1,-,1,7,-,-,4,-,-,2,101,15,6,32,37,7,-
"S00160308",122,29,14,22,30,14,9,26,1,-,-,8,8,8,15,2,2,6,5,3,-,78,25,12,18,19,3,2
"S00160309",113,25,15,26,24,14,9,15,-,-,3,5,2,5,23,5,2,4,4,8,1,75,20,13,20,15,4,2
"S00160310",95,11,-,15,14,15,42,33,-,-,1,-,4,28,21,1,-,5,1,1,12,44,9,-,12,13,8,2
"S00160311",109,13,6,33,26,24,19,18,-,2,-,-,10,6,10,-,-,-,3,4,7,83,13,2,33,19,12,3
"S00160312",117,29,11,8,20,25,25,17,-,-,-,2,7,8,16,-,1,2,6,3,4,84,27,10,9,13,15,10
"S00160313",92,9,5,15,15,23,25,21,-,-,-,5,6,10,18,-,-,2,3,7,6,53,9,5,13,8,10,9
"S00160314",162,53,21,25,39,16,8,30,2,1,4,7,8,3,23,4,-,3,8,4,4,111,47,16,18,24,4,2
"S00160315",160,57,25,25,30,18,5,18,-,3,-,5,5,1,20,3,3,6,4,3,1,122,52,19,19,21,10,-
"S00160316",380,105,34,19,74,29,119,133,5,2,-,9,16,98,36,7,3,2,6,2,16,214,93,29,17,59,11,5
"S00160317",82,4,4,8,3,35,27,22,1,-,-,-,9,10,16,-,2,2,-,4,9,44,3,4,5,3,23,6
"S00160318",205,59,17,63,49,17,-,4,1,-,-,1,4,-,20,3,3,7,1,6,-,181,55,14,56,47,9,-
"S00160319",86,14,5,30,23,13,-,8,-,-,2,4,1,1,9,1,1,3,3,2,-,69,14,4,26,14,11,-
"S00160320",71,10,5,13,15,14,10,6,-,-,-,1,2,4,13,2,-,1,4,4,-,52,12,5,12,10,9,3
"S00160321",144,12,19,11,25,48,29,17,-,-,1,-,4,12,17,1,-,-,1,10,5,112,11,19,10,24,34,12
"S00160322",102,15,17,4,24,21,27,7,-,-,-,1,-,5,15,-,1,1,2,3,7,79,15,15,3,18,17,19
"S00160323",78,13,10,6,19,11,22,13,-,-,2,-,-,11,13,-,2,1,-,2,7,48,13,8,4,13,9,5
"S00160324",98,6,11,6,19,22,34,11,-,-,-,-,5,7,16,-,2,-,1,4,9,71,6,7,6,18,14,18
"S00160325",82,18,8,11,15,15,15,17,4,1,-,3,3,7,15,-,2,3,6,2,3,50,15,5,8,7,10,2
"S00160326",95,5,8,29,12,24,15,21,1,1,-,1,11,7,24,2,2,11,3,4,5,50,3,8,18,9,11,5
"S00160327",80,12,-,19,21,18,11,17,-,-,1,4,9,3,8,1,-,-,-,5,4,55,11,-,18,14,6,4
"S00160328",92,18,7,9,16,22,23,16,-,-,2,2,-,9,17,1,2,1,5,4,4,59,12,4,6,11,18,8
"S00160329",144,20,12,25,41,30,15,33,2,2,3,6,8,11,16,2,-,-,3,4,2,95,16,9,21,31,14,4
"S00160330",87,10,4,11,9,27,30,19,-,-,2,-,4,12,16,1,-,2,2,6,7,52,11,4,8,8,16,7
"S00160331",68,9,14,31,8,6,-,2,-,-,-,2,1,-,8,-,-,5,-,-,-,56,9,12,25,5,5,-
"S00160332",65,11,6,7,5,16,19,8,-,-,-,1,4,7,13,-,2,1,1,7,3,36,11,4,7,3,5,9
"S00160333",105,12,8,12,17,37,19,23,-,1,1,1,16,8,14,3,-,-,-,5,1,68,9,7,10,15,20,7
"S00160334",115,31,6,45,22,5,6,5,1,-,2,-,-,3,12,1,1,2,2,2,1,98,29,4,40,19,4,2
"S00160335",136,34,17,20,31,23,10,26,-,1,4,7,9,5,18,4,-,1,4,5,5,92,31,15,15,17,9,2
"S00160336",68,5,4,17,11,14,11,18,-,-,-,1,4,10,7,-,1,3,-,3,-,43,5,5,14,13,4,2
"S00160337",206,40,20,18,28,45,55,41,4,1,1,-,10,22,31,1,5,1,8,5,13,134,38,16,16,20,34,17
"S00160338",95,19,4,10,23,25,17,18,-,1,1,-,10,6,10,-,-,-,5,1,4,70,19,3,9,18,14,7
"S00160339",146,10,11,8,21,38,56,10,-,-,1,-,1,5,20,-,-,-,-,5,11,116,10,11,7,21,32,37
"S00160340",107,12,12,18,21,32,10,17,-,-,-,1,12,5,19,-,-,-,4,11,2,70,12,12,16,20,9,3
"S00160341",96,16,4,18,15,21,22,12,1,-,-,-,4,5,15,-,1,3,1,5,5,71,15,3,12,18,12,12
"S00160342",93,16,9,9,20,22,14,18,-,1,-,5,5,11,15,4,1,3,4,5,3,53,13,7,8,11,12,1
"S00160343",140,18,27,31,28,23,9,20,1,6,5,2,6,1,20,-,5,6,2,7,-,95,17,16,20,25,10,8
"S00160344",83,5,3,12,11,19,36,20,1,-,-,-,4,15,17,3,-,-,2,6,6,46,2,3,12,10,12,10
"S00160345",120,11,14,18,19,32,26,21,-,2,2,-,6,12,13,1,-,1,2,5,4,86,10,17,15,17,21,10
"S00160346",68,7,11,14,17,11,9,12,-,-,-,4,3,5,3,1,2,-,1,3,-,51,6,8,14,12,5,4
"S00160347",87,8,9,9,14,29,18,18,-,-,-,1,3,11,8,-,-,-,2,5,2,61,9,8,9,12,20,5
"S00160348",102,11,9,10,13,26,35,21,-,-,2,2,4,16,18,-,-,-,-,6,10,63,11,8,8,9,16,13
"S00160349",91,5,14,11,18,28,15,27,-,5,-,3,11,10,14,-,-,2,-,7,2,53,5,10,9,15,10,4
"S00160350",137,14,15,18,17,45,20,26,2,2,-,4,8,11,14,1,-,2,-,5,5,99,14,14,17,14,36,4
"S00160351",111,15,4,10,18,30,33,34,2,-,-,8,10,14,14,2,-,-,-,5,8,62,12,4,6,11,12,9
"S00160352",77,9,2,32,20,10,4,3,-,-,-,-,1,-,7,-,-,6,3,-,-,68,9,-,28,17,9,4
"S00160353",130,16,10,2,20,33,49,18,-,-,-,-,4,14,24,1,-,1,3,5,13,88,12,10,1,17,21,24
"S00160354",109,10,19,16,17,33,17,15,-,-,-,2,5,6,16,2,1,-,3,8,5,76,8,14,16,12,19,9
"S00160355",97,16,8,23,16,18,9,18,-,2,1,5,6,4,14,-,-,4,4,3,4,62,16,6,18,7,9,2
"S00160356",77,13,8,13,16,13,11,22,-,2,1,2,4,10,3,-,-,3,-,-,-,52,15,6,9,13,7,-
"S00160357",152,20,18,21,24,45,24,13,-,-,1,-,5,5,24,4,2,-,1,9,8,112,13,17,20,24,29,9
"S00160358",87,6,24,46,12,1,4,4,-,1,-,2,-,1,3,-,2,1,-,-,-,80,6,21,41,10,1,1
"S00160359",89,10,27,37,6,6,3,4,1,1,2,-,-,1,7,-,4,1,1,-,-,77,9,21,34,5,6,2
"S00160360",92,10,16,33,21,8,4,5,-,-,-,3,-,-,13,-,4,4,4,-,-,74,10,12,29,14,7,1
"S00160361",106,20,13,15,16,21,19,27,-,1,1,3,11,9,12,2,1,4,2,-,2,69,17,11,12,11,10,8
"S00160362",185,63,25,19,59,14,5,31,8,2,3,9,5,4,34,7,7,5,14,2,1,120,49,16,13,36,7,-
"S00160363",126,21,10,15,31,20,28,12,-,-,3,2,-,6,19,-,2,2,2,4,10,95,21,12,10,27,16,12
"S00160364",102,9,14,24,26,17,12,12,-,2,-,2,6,4,14,-,1,3,2,4,4,72,9,12,21,22,7,4
"S00160365",95,9,7,8,10,22,36,14,-,-,-,1,5,8,8,2,-,1,-,-,6,73,10,7,6,9,17,24
"S00160366",128,12,12,13,20,32,41,31,-,-,3,1,7,17,18,-,-,-,3,4,11,80,12,12,10,14,19,13
"S00160367",206,45,29,51,60,19,3,9,-,4,-,3,1,-,19,2,5,1,7,4,-,179,45,21,47,49,12,3
"S00160368",98,10,7,8,11,26,37,17,2,-,-,-,3,13,9,-,1,-,1,5,2,71,8,6,8,8,18,22
"S00160369",112,17,13,19,28,18,16,11,-,2,-,2,3,3,17,2,2,2,4,3,4,80,15,8,13,19,11,9
"S00160370",85,12,10,11,15,22,13,24,-,4,1,1,14,5,12,1,1,2,-,5,1,49,13,9,8,13,3,6
"S00160371",91,14,2,14,10,26,22,33,3,-,3,-,13,13,17,-,1,4,1,1,8,45,12,2,9,9,16,2
"S00160372",204,75,19,23,58,19,2,31,3,2,4,12,11,3,24,9,3,1,6,4,2,149,65,16,19,40,5,2
"S00160373",166,38,10,24,38,27,29,9,-,1,2,2,1,3,28,3,1,4,3,5,8,136,35,8,18,33,24,18
"S00160374",64,6,9,11,12,14,15,16,-,-,-,-,6,10,9,-,2,-,-,6,-,42,6,10,11,11,3,4
"S00160375",123,23,7,28,21,22,25,32,-,-,5,4,10,16,24,1,-,2,7,7,7,66,18,5,23,10,4,6
"S00160376",111,20,15,39,29,6,4,6,-,1,-,-,-,4,3,-,2,3,2,-,-,101,20,12,38,26,6,-
"S00160377",148,17,14,20,27,36,33,15,-,-,-,4,3,6,17,-,-,-,5,6,11,113,17,16,19,19,27,19
"S00160378",132,16,8,16,26,30,34,16,-,-,-,-,4,10,10,-,-,-,-,3,7,106,16,8,16,26,23,17
"S00160379",184,36,33,24,26,44,18,39,6,3,2,-,15,13,33,5,6,8,5,9,3,108,25,27,17,20,20,3
"S00160380",136,20,9,21,30,20,36,31,-,-,-,2,9,20,27,1,2,3,5,5,11,78,19,7,15,23,6,5
"S00160381",95,18,4,22,14,21,20,13,-,-,1,-,7,6,18,-,-,5,-,4,6,64,20,4,15,14,6,8
"S00160382",138,18,13,17,25,28,40,35,-,2,1,4,10,18,16,4,-,2,8,4,5,83,16,8,12,14,14,17
"S00160383",138,27,13,20,34,33,14,16,1,1,2,7,3,3,17,4,1,-,1,3,4,104,22,11,12,21,26,12
"S00160384",156,44,9,24,29,35,22,16,2,-,-,3,8,4,24,4,1,2,4,5,6,114,38,8,21,22,16,9
"S00160385",70,18,5,11,14,14,8,17,-,-,2,4,7,4,5,-,-,1,2,-,-,48,18,5,8,8,6,5
"S00160386",86,13,9,10,17,19,20,23,-,1,1,1,8,9,14,-,-,4,3,6,2,56,13,9,4,11,6,10
"S00160387",130,30,11,20,33,23,16,31,-,-,3,10,9,10,15,4,2,-,6,4,4,80,26,7,15,18,7,4
"S00160388",222,73,15,70,49,10,4,8,1,-,2,-,2,1,9,4,1,2,2,-,1,203,69,14,67,47,8,-
"S00160389",172,33,26,28,47,25,16,19,-,-,2,7,3,10,17,4,-,1,8,6,3,136,26,26,26,35,18,4
"S00160390",88,9,9,4,17,25,23,15,1,-,-,1,3,10,15,2,-,-,-,5,4,58,6,7,4,16,17,7
"S00160391",99,17,17,10,16,23,14,19,-,-,-,4,10,4,10,-,-,1,2,6,1,70,17,17,9,10,8,9
"S00160392",96,3,12,19,11,37,13,27,1,2,2,-,13,10,12,1,-,1,1,6,3,57,3,9,16,7,18,4
"S00160393",175,29,18,15,37,27,51,20,3,1,-,-,3,14,18,-,1,1,4,6,9,134,27,16,14,33,18,25
"S00160394",82,12,11,23,20,9,5,5,-,2,-,-,-,2,10,-,1,1,3,1,4,69,11,6,19,17,8,2
"S00160395",76,13,6,8,12,20,17,10,-,-,-,3,2,5,6,-,-,2,3,1,2,62,13,6,6,8,13,11
"S00160396",73,24,5,3,26,15,5,5,2,2,-,-,2,-,6,-,-,-,2,2,3,62,21,6,3,21,8,1
"S00160397",172,25,13,16,24,46,47,20,1,-,-,3,3,14,29,4,-,-,5,8,14,122,21,12,16,17,37,19
"S00160398",151,28,23,27,28,30,14,21,-,1,-,2,4,11,22,2,2,3,5,10,1,108,21,20,24,22,15,1
"S00160399",76,3,3,8,16,20,26,10,-,-,-,3,1,6,13,-,-,-,4,4,7,53,3,3,8,10,15,13
"S00160400",90,10,5,13,14,29,18,22,-,-,4,1,9,8,12,4,2,-,4,1,4,55,9,6,10,10,17,6
"S00160401",83,13,10,11,5,21,16,15,3,-,1,-,5,6,8,-,1,2,2,2,3,53,11,7,9,4,18,7
"S00160402",91,30,10,11,29,9,2,3,-,-,-,1,3,2,14,2,1,2,4,6,-,75,27,9,6,24,5,1
"S00160403",228,62,38,37,55,26,10,21,-,3,3,2,7,7,32,3,2,7,8,7,1,175,58,29,27,41,12,2
"S00160404",142,24,12,10,26,35,37,19,-,-,1,1,3,14,17,-,1,-,4,4,10,109,24,11,9,23,29,13
"S00160405",79,9,16,21,9,15,9,6,-,-,-,-,1,1,13,-,3,2,-,5,2,61,9,13,23,8,8,2
"S00160406",132,26,21,10,27,27,26,17,-,1,-,3,1,7,28,1,7,-,2,8,9,88,24,13,10,22,18,4
"S00160407",146,20,8,18,25,37,38,16,1,2,-,-,9,5,21,1,1,1,-,5,11,109,18,5,17,23,24,24
"S00160408",157,29,16,13,28,43,28,32,2,1,-,4,9,16,23,2,1,2,1,10,5,105,25,14,12,23,26,7
"S00160409",150,22,7,21,30,42,24,14,1,-,-,4,7,4,20,-,1,2,3,7,8,116,21,13,19,26,28,13
"S00160410",106,23,7,6,24,29,17,8,-,1,-,-,5,4,15,1,-,1,8,6,3,83,22,6,5,19,21,10
"S00160411",126,23,11,22,28,15,24,8,-,-,-,1,2,4,18,-,1,2,7,5,6,102,23,10,21,21,10,17
"S00160412",138,24,17,14,28,46,9,10,-,1,1,-,4,4,18,-,-,-,5,9,3,111,24,14,13,23,33,3
"S00160413",147,43,12,37,38,17,6,10,3,-,1,1,2,2,15,1,-,5,6,3,2,122,39,10,31,29,16,2
"S00160414",129,29,15,44,33,8,-,2,-,-,-,1,1,-,15,2,3,6,2,3,-,112,27,12,38,31,4,-
"S00160415",122,23,8,7,23,28,36,17,-,-,-,-,5,11,13,-,-,-,1,5,7,92,23,10,7,21,16,18
"S00160416",94,13,4,16,16,24,22,6,-,-,1,1,2,2,14,1,-,-,2,5,5,78,12,4,15,9,14,16
"S00160417",64,-,4,34,15,8,2,6,-,1,4,3,-,-,8,-,-,6,-,-,2,50,-,2,26,11,8,-
"S00160418",77,13,9,11,14,14,10,20,-,2,-,4,7,5,12,2,1,1,3,2,1,48,13,5,11,7,5,8
"S00160419",86,13,4,9,18,18,24,10,-,-,1,1,4,7,24,1,1,3,5,7,9,49,12,3,3,14,7,8
"S00160420",250,68,27,33,75,39,8,25,3,2,3,5,7,4,35,1,5,6,13,10,2,192,67,22,24,57,23,-
"S00160421",68,3,5,14,13,21,12,25,1,1,-,6,13,5,13,-,1,5,1,1,5,30,2,5,9,7,7,3
"S00160422",174,55,18,30,40,25,6,34,1,2,4,11,11,2,20,-,4,4,6,4,2,121,53,12,22,23,10,2
"S00160423",82,9,7,2,9,25,24,12,-,-,-,-,4,8,10,2,2,-,1,7,1,60,7,6,2,11,15,15
"S00160424",155,38,13,19,32,32,21,19,2,-,2,2,8,8,26,2,-,2,8,6,8,110,34,13,15,22,29,5
"S00160425",112,13,14,17,17,24,24,18,2,1,1,1,4,10,16,-,2,2,1,5,6,78,8,11,13,19,19,5
"S00160426",212,60,14,29,67,37,5,9,2,-,-,-,3,2,24,7,2,2,7,7,3,179,55,12,27,58,27,-
"S00160427",105,32,9,14,13,12,22,20,-,-,-,1,7,11,11,2,-,-,4,2,3,75,30,9,13,12,3,8
"S00160428",64,7,9,17,14,9,5,7,-,-,-,-,3,2,6,-,2,1,-,2,2,55,7,7,16,12,5,1
"S00160429",112,11,11,8,22,26,35,6,-,-,-,1,2,4,6,-,-,1,1,2,2,100,11,11,6,20,23,29
"S00160430",97,20,5,13,20,17,26,26,3,1,2,4,5,14,12,2,-,1,1,4,5,57,17,4,10,15,8,3
"S00160431",67,6,6,3,9,30,22,13,-,-,-,2,-,9,16,4,1,-,2,6,3,38,4,1,3,5,16,10
"S00160432",132,24,7,21,31,34,17,34,-,-,-,3,12,11,20,4,-,2,5,5,-,85,19,7,17,21,17,4
"S00160433",233,41,45,54,45,35,12,30,-,3,6,3,14,3,31,-,5,7,11,8,3,176,41,39,42,33,13,4
"S00160434",90,3,12,20,14,34,10,16,1,1,2,-,7,5,9,-,-,1,2,4,1,65,-,9,14,13,23,4
"S00160435",67,15,1,15,9,8,11,11,-,-,-,3,4,7,4,3,-,-,-,-,3,50,13,1,15,6,4,8
"S00160436",68,6,5,19,16,15,8,6,1,-,1,1,2,1,10,-,1,1,3,1,3,51,5,4,18,9,8,4
"S00160437",112,13,3,21,20,38,15,6,2,-,-,-,4,1,23,-,-,3,4,13,4,83,12,1,16,16,25,11
"S00160438",127,31,10,26,19,26,11,16,2,-,-,-,4,10,17,4,-,5,1,7,-,94,25,13,21,14,16,1
"S00160439",62,5,7,9,5,18,16,10,-,-,-,1,5,6,11,-,-,-,-,3,7,38,5,6,9,4,10,6
"S00160440",76,17,7,9,17,15,13,12,1,-,-,3,4,4,14,1,1,-,5,-,6,50,15,4,9,7,10,3
"S00160441",84,14,8,5,13,21,27,10,-,-,1,1,2,5,14,2,-,-,2,2,8,60,10,8,4,9,17,12
"S00160442",115,13,17,22,24,21,18,17,-,1,2,7,4,3,21,-,2,4,5,3,7,77,13,14,16,12,10,8
"S00160443",127,18,16,14,28,29,18,13,-,-,1,-,3,9,11,1,-,-,5,-,4,103,17,16,15,23,25,5
"S00160444",76,3,1,9,13,28,21,24,-,-,1,1,12,10,13,-,-,1,3,1,5,39,3,1,7,8,13,6
"S00160445",130,24,16,20,19,30,18,13,1,-,1,3,5,4,15,-,1,2,4,3,7,102,19,12,17,18,22,7
"S00160446",71,14,1,17,14,22,6,9,-,-,2,-,4,1,11,-,-,-,2,6,1,53,14,1,15,10,12,4
"S00160447",104,25,14,5,24,21,13,22,4,1,2,5,2,7,18,3,2,-,4,4,5,65,18,13,2,16,17,2
"S00160448",65,7,8,8,10,20,12,12,-,2,-,2,5,2,6,-,-,1,4,4,1,43,7,6,7,6,14,6
"S00160449",149,32,10,7,31,38,31,10,-,-,-,3,2,6,17,2,-,1,2,2,8,122,31,8,6,26,34,17
"S00160450",74,10,4,4,9,15,30,12,1,-,-,1,-,10,7,-,-,-,-,2,4,53,11,4,4,8,15,16
"S00160451",77,10,2,8,16,16,23,25,-,-,-,5,5,13,6,-,-,-,1,4,1,46,10,2,8,11,7,7
"S00160452",105,23,3,14,14,28,22,16,-,-,2,-,8,7,17,1,-,2,1,7,6,73,21,3,10,13,9,8
"S00160453",201,57,8,76,44,13,3,6,1,-,4,1,1,1,10,-,-,4,4,2,-,185,55,7,70,40,10,2
"S00160454",77,4,5,15,20,19,15,22,-,2,2,11,6,1,18,2,-,3,3,6,7,36,2,3,10,10,8,3
"S00160455",137,36,11,22,29,21,12,12,2,2,1,-,3,3,17,2,-,3,3,7,1,105,36,12,17,25,11,8
"S00160456",127,50,10,21,26,9,9,11,1,-,1,7,-,6,14,4,3,2,1,3,1,97,45,8,16,18,6,1
"S00160457",88,16,13,8,18,14,19,12,-,1,-,3,3,3,18,-,6,-,3,3,6,59,15,7,6,9,16,10
"S00160458",124,22,7,3,29,47,15,11,-,-,-,1,8,-,12,1,1,-,3,5,3,104,23,6,3,26,39,10
"S00160459",123,20,10,15,28,31,19,20,-,1,-,2,6,8,17,3,-,-,2,9,5,86,18,8,15,24,15,6
"S00160460",70,6,6,10,19,19,13,20,-,1,2,3,8,6,11,-,-,3,2,4,2,39,6,4,3,14,7,5
