Scotland's Census 2022 - National Records of Scotland
Table UV303b - Disability by age (6)
All people
,"All people","All people","All people","All people","All people","All people","All people","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities limited a little","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited","Day-to-day activities not limited"
,"Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over","Total","0 to 15","16 to 24","25 to 34","35 to 49","50 to 64","65 and over"
"S00135384",61,10,11,13,13,16,-,2,-,2,-,-,-,-,1,-,-,1,-,-,-,58,10,8,11,13,15,-
"S00135385",90,25,8,17,25,11,-,7,2,1,-,4,1,-,11,-,-,2,4,3,-,72,26,7,15,17,7,-
"S00135386",113,8,3,8,16,26,59,52,1,3,-,6,10,32,22,1,-,1,3,-,15,39,6,-,7,7,10,9
"S00135387",171,16,13,11,17,60,46,11,-,1,1,-,3,7,24,-,4,-,6,8,11,136,16,10,14,12,50,30
"S00135388",200,54,17,8,59,37,25,8,-,2,-,1,1,4,13,-,4,-,1,5,4,179,54,12,8,57,31,17
"S00135389",132,16,10,6,20,28,52,8,-,-,-,-,1,7,6,-,-,2,-,-,7,119,16,10,4,20,29,38
"S00135390",85,17,12,10,29,14,7,6,1,-,-,-,3,-,9,-,-,-,2,2,2,72,15,12,9,24,9,8
"S00135391",203,49,17,33,48,48,10,6,-,-,-,1,3,4,19,3,-,3,4,5,2,184,44,16,30,45,40,7
"S00135392",70,9,12,16,19,17,5,6,1,-,-,1,1,4,8,2,4,1,2,-,1,55,10,8,10,16,12,1
"S00135393",207,45,50,50,31,23,8,27,-,4,5,17,4,1,24,3,8,5,-,5,3,156,42,39,40,17,12,4
"S00135394",152,21,12,22,27,39,31,6,-,-,-,-,2,4,11,-,-,2,2,4,2,135,21,12,20,24,33,25
"S00135395",79,15,5,7,12,22,12,2,-,-,-,-,1,-,10,1,-,-,1,2,4,67,10,5,7,14,20,7
"S00135396",133,23,6,13,28,31,29,8,-,-,-,-,3,5,14,-,-,1,-,4,8,111,23,6,15,27,28,16
"S00135397",121,35,6,22,40,15,3,5,-,2,-,-,2,-,5,-,-,-,-,1,4,111,35,4,20,39,12,1
"S00135398",129,19,15,24,30,19,17,3,-,-,-,-,1,2,10,1,-,-,1,3,4,113,20,15,24,28,15,12
"S00135399",243,26,7,29,36,8,133,107,-,-,1,2,1,104,24,-,2,1,1,-,19,112,26,5,27,34,6,10
"S00135400",162,21,16,15,40,46,27,11,-,-,-,3,5,4,18,2,1,1,8,3,4,136,20,13,13,25,42,19
"S00135401",99,12,10,12,16,33,13,5,1,-,1,-,1,1,13,-,-,2,4,1,3,84,7,10,11,12,30,12
"S00135402",80,12,4,13,23,22,9,2,-,-,2,-,-,-,10,1,1,1,1,3,3,71,13,3,11,20,19,6
"S00135403",131,24,9,14,29,31,20,2,1,-,-,-,-,2,12,-,2,2,2,4,3,116,23,11,13,27,27,15
