Scotland's Census 2022 - National Records of Scotland
Table UV301 - Provision of unpaid care
All people aged 3 and over
,"All people aged 3 and over","No","All unpaid carers","Yes, 1 to 19 hours a week","Yes, 20 to 34 hours a week","Yes, 35 to 49 hours a week","Yes, 50 or more hours a week"
"S00160631",95,77,11,6,2,3,3
"S00160632",129,109,23,4,3,2,13
"S00160633",124,113,14,-,-,-,10
"S00160634",164,145,15,7,-,5,7
"S00160635",198,171,23,15,1,5,8
"S00160636",92,73,19,11,4,2,3
"S00160637",96,84,11,3,4,-,7
"S00160638",129,108,22,12,4,3,4
"S00160639",153,147,9,3,1,-,5
"S00160640",110,86,21,8,4,2,6
"S00160641",107,92,15,11,-,-,4
"S00160642",106,85,17,3,5,7,3
"S00160643",100,77,21,11,1,2,9
"S00160644",140,125,13,5,5,1,4
"S00160645",105,98,9,4,-,2,3
"S00160646",83,77,8,5,2,-,2
"S00160647",104,88,17,6,-,1,6
"S00160648",181,151,27,18,-,-,7
"S00160649",150,131,19,8,1,5,7
"S00160650",90,72,18,7,4,3,3
"S00160651",80,73,7,2,2,-,3
"S00160652",164,146,18,3,3,5,7
"S00160653",84,74,10,6,1,-,1
"S00160654",118,104,18,11,2,1,2
"S00160655",65,58,7,5,-,4,-
"S00160656",208,185,25,20,-,2,3
"S00160657",80,66,14,8,2,4,-
"S00160658",75,67,8,3,-,2,4
"S00160659",107,94,17,12,-,-,5
"S00160660",109,94,15,3,5,3,4
"S00160661",94,82,12,8,5,2,-
"S00160662",114,94,21,7,6,3,3
"S00160663",133,120,13,12,-,-,1
"S00160664",237,204,36,6,5,6,16
"S00160665",113,96,17,11,2,-,4
"S00160666",119,106,13,6,7,1,1
"S00160667",118,101,17,5,2,3,6
"S00160668",80,65,11,6,-,2,3
"S00160669",219,201,22,11,2,4,2
"S00160670",170,147,23,13,5,2,4
"S00160671",123,108,15,8,1,-,3
"S00160672",120,101,19,9,-,-,8
"S00160673",106,96,13,4,-,2,3
"S00160674",120,100,19,10,-,4,6
"S00160675",86,78,8,-,4,-,3
"S00160676",77,67,10,2,3,1,4
"S00160677",144,121,23,8,-,3,10
"S00160678",117,100,17,6,4,4,5
"S00160679",63,53,6,4,-,-,-
"S00160680",100,84,18,12,1,5,2
"S00160681",120,112,8,4,-,-,3
"S00160682",58,51,7,4,2,-,2
"S00160683",129,106,23,5,3,5,6
"S00160684",148,141,11,4,1,3,3
"S00160685",135,109,26,20,-,2,4
"S00160686",192,174,18,8,-,4,5
"S00160687",98,85,13,5,2,-,6
"S00160688",98,91,8,4,3,-,1
"S00160689",88,82,7,1,2,1,3
"S00160690",298,262,36,19,1,5,10
"S00160691",87,76,12,10,-,-,2
"S00160692",58,53,3,2,-,-,2
"S00160693",108,93,16,9,2,4,-
"S00160694",117,89,28,12,1,10,5
"S00160695",106,93,9,8,-,-,5
"S00160696",175,149,26,16,4,4,2
"S00160697",150,133,15,3,1,6,5
"S00160698",129,122,7,7,-,4,-
"S00160699",60,54,6,5,-,-,1
"S00160700",163,137,26,10,4,2,12
"S00160701",150,133,12,8,-,3,4
"S00160702",77,73,4,1,1,4,-
"S00160703",165,152,11,4,1,-,6
"S00160704",102,91,11,9,4,-,-
"S00160705",76,68,8,4,-,1,3
"S00160706",227,195,32,12,7,5,13
"S00160707",111,84,27,14,1,3,9
"S00160708",198,178,20,6,4,1,9
"S00160709",105,93,12,7,3,-,2
"S00160710",78,69,8,4,1,-,5
"S00160711",118,110,8,5,-,1,1
"S00160712",139,116,22,7,5,2,3
"S00160713",93,79,14,6,2,2,4
"S00160714",113,95,14,3,3,-,4
"S00160715",81,69,9,8,-,1,-
"S00160716",163,139,26,8,8,1,4
"S00160717",114,98,20,8,2,4,4
"S00160718",72,62,10,6,-,1,1
"S00160719",116,104,15,3,2,4,3
"S00160720",90,84,6,4,-,-,2
"S00160721",124,97,23,13,4,2,7
"S00160722",58,48,13,6,2,-,4
"S00160723",108,82,23,4,4,6,11
"S00160724",155,132,23,12,3,4,5
"S00160725",125,114,11,4,2,1,2
"S00160726",95,89,10,5,3,2,-
"S00160727",71,55,16,8,3,1,4
"S00160728",244,228,13,10,-,2,3
"S00160729",146,134,12,7,-,2,-
"S00160730",60,50,10,4,-,1,2
"S00160731",144,124,20,5,3,5,7
"S00160732",136,106,30,18,2,1,7
"S00160733",89,77,12,7,-,2,4
"S00160734",114,100,14,6,2,3,3
"S00160735",155,136,18,4,2,1,11
"S00160736",109,89,24,6,2,6,10
"S00160737",128,112,16,8,3,1,5
"S00160738",113,101,12,9,-,1,3
"S00160739",110,107,2,2,-,-,-
"S00160740",125,116,6,8,-,1,-
"S00160741",67,52,12,7,1,2,2
"S00160742",115,102,17,9,-,1,6
"S00160743",99,88,12,8,-,2,4
"S00160744",105,90,15,6,5,-,1
"S00160745",118,109,9,7,1,-,4
"S00160746",174,160,10,8,2,1,3
"S00160747",108,102,9,4,2,2,2
"S00160748",139,111,25,22,1,1,5
"S00160749",89,81,11,2,2,3,5
"S00160750",107,90,17,12,-,-,5
"S00160751",81,58,19,11,1,2,8
"S00160752",122,109,13,8,-,4,3
"S00160753",192,169,23,16,4,-,4
"S00160754",139,130,9,8,-,1,-
"S00160755",150,129,21,10,4,2,9
"S00160756",86,79,7,7,-,-,-
"S00160757",109,88,24,6,4,1,10
"S00160758",161,133,28,18,3,1,5
"S00160759",163,145,19,7,3,4,5
"S00160760",81,73,8,2,3,-,2
"S00160761",80,68,10,2,-,-,8
"S00160762",130,117,13,8,-,-,5
"S00160763",131,114,14,12,-,-,2
"S00160764",72,68,4,1,-,-,3
"S00160765",170,145,25,22,-,1,2
"S00160766",151,132,19,8,1,2,8
"S00160767",78,64,17,6,2,7,3
"S00160768",162,151,11,3,2,2,4
"S00160769",95,87,8,3,-,1,1
"S00160770",225,199,24,15,2,-,2
"S00160771",74,68,4,4,1,-,1
"S00160772",83,73,10,6,1,1,2
"S00160773",60,53,6,5,-,1,-
"S00160774",128,117,11,9,-,4,1
"S00160775",111,97,13,9,2,1,4
"S00160776",93,80,13,8,2,2,3
"S00160777",136,122,20,4,6,-,8
"S00160778",125,120,5,1,-,3,1
"S00160779",122,109,13,7,2,1,4
"S00160780",100,88,9,9,1,2,-
"S00160781",104,97,7,2,1,3,1
"S00160782",81,75,5,3,-,2,-
"S00160783",167,150,17,9,3,1,4
"S00160784",83,73,11,6,3,2,-
"S00160785",142,117,25,15,3,1,6
"S00160786",119,105,14,11,-,-,2
"S00160787",72,67,5,3,-,-,1
"S00160788",123,109,14,5,2,-,9
"S00160789",71,52,16,3,1,6,6
"S00160790",137,123,15,5,2,3,4
"S00160791",147,135,12,5,1,3,4
"S00160792",72,66,6,6,-,-,-
"S00160793",148,119,30,15,2,5,7
"S00160794",141,117,21,9,3,3,6
"S00160795",183,150,33,13,4,3,15
"S00160796",59,51,9,6,2,1,-
"S00160797",84,72,12,7,-,3,2
"S00160798",79,73,7,5,-,1,-
"S00160799",100,90,10,5,3,2,-
"S00160800",84,70,14,10,1,-,3
"S00160801",63,55,8,7,-,-,-
"S00160802",61,56,5,3,2,-,-
"S00160803",150,125,25,7,5,7,8
"S00160804",67,63,4,4,-,-,-
"S00160805",81,69,12,7,1,-,4
"S00160806",128,105,20,10,3,-,2
"S00160807",117,101,13,7,1,4,5
"S00160808",120,103,17,5,2,3,7
"S00160809",130,114,17,5,-,3,6
"S00160810",89,79,10,4,1,-,-
"S00160811",105,87,18,12,-,1,5
"S00160812",110,87,23,12,-,3,8
"S00160813",125,115,10,8,1,1,-
"S00160814",104,85,18,13,5,-,4
"S00160815",180,162,18,7,2,4,5
"S00160816",130,114,12,7,-,1,4
"S00160817",60,52,8,8,-,-,-
"S00160818",119,97,22,14,1,3,4
"S00160819",73,66,7,4,2,-,1
"S00160820",70,63,4,1,-,1,3
"S00160821",81,73,10,8,-,-,3
"S00160822",165,148,17,8,1,3,2
"S00160823",62,59,6,8,-,2,-
"S00160824",109,99,10,7,-,1,2
"S00160825",119,103,17,4,-,2,8
"S00160826",88,80,8,6,2,-,-
"S00160827",121,99,22,19,2,1,-
"S00160828",152,134,18,10,1,1,5
"S00160829",122,110,12,-,2,-,7
"S00160830",91,84,7,6,-,1,-
"S00160831",73,65,5,5,-,-,-
"S00160832",70,53,14,6,2,4,2
"S00160833",84,74,10,5,2,1,1
"S00160834",77,70,7,6,2,-,-
"S00160835",201,167,34,17,2,5,11
"S00160836",66,62,4,2,-,1,-
"S00160837",117,108,9,3,-,3,-
"S00160838",60,54,6,4,-,1,1
"S00160839",89,75,10,5,2,2,1
"S00160840",133,120,13,9,2,-,2
"S00160841",124,122,6,5,-,-,1
"S00160842",106,80,26,13,2,5,5
"S00160843",76,73,3,-,-,1,-
"S00160844",154,129,25,13,1,2,9
"S00160845",86,72,11,2,2,3,2
"S00160846",89,79,9,7,1,1,-
"S00160847",137,122,12,5,4,3,3
"S00160848",95,84,9,5,-,1,3
"S00160849",165,147,18,14,3,2,1
"S00160850",87,75,12,6,-,-,4
"S00160851",115,103,14,6,3,2,2
"S00160852",218,187,29,16,4,2,9
"S00160853",129,101,28,16,2,1,8
"S00160854",111,103,12,6,2,-,2
"S00160855",154,139,15,5,8,2,3
"S00160856",127,104,23,9,-,3,15
"S00160857",189,171,18,9,2,5,2
"S00160858",161,139,22,13,1,3,6
"S00160859",69,63,7,1,1,-,2
"S00160860",86,84,2,2,-,-,-
"S00160861",191,174,17,11,4,3,-
"S00160862",70,65,5,4,-,-,1
"S00160863",174,148,26,11,-,2,12
"S00160864",194,170,24,15,4,-,7
"S00160865",134,113,21,14,-,-,7
"S00160866",129,112,14,8,3,1,3
"S00160867",101,87,14,7,-,5,1
"S00160868",93,83,10,3,-,3,3
"S00160869",97,88,11,2,4,2,1
"S00160870",259,228,31,11,1,7,10
"S00160871",131,114,17,12,-,-,2
"S00160872",162,140,19,12,1,2,2
"S00160873",90,79,11,2,2,3,4
"S00160874",79,69,10,7,1,2,1
"S00160875",109,101,8,5,-,3,-
"S00160876",120,106,14,10,-,2,1
"S00160877",145,116,29,13,1,2,14
"S00160878",142,124,18,7,6,1,4
"S00160879",140,116,24,15,2,2,8
"S00160880",130,110,20,16,-,3,2
"S00160881",119,99,22,17,2,-,3
"S00160882",91,79,12,8,1,2,1
"S00160883",74,63,11,7,2,1,1
"S00160884",92,77,15,7,-,5,3
"S00160885",112,102,10,9,-,1,-
"S00160886",156,145,15,6,2,2,5
"S00160887",130,115,15,5,3,3,4
"S00160888",59,55,4,4,-,-,-
"S00160889",89,77,14,4,3,1,3
"S00160890",122,103,15,6,2,1,3
"S00160891",66,61,5,4,-,1,-
"S00160892",115,93,18,10,3,2,3
"S00160893",81,79,2,1,-,1,-
"S00160894",112,102,14,5,5,1,2
"S00160895",145,139,10,4,-,3,1
"S00160896",95,85,13,6,-,-,4
"S00160897",66,59,7,6,-,-,1
"S00160898",146,130,16,14,3,-,-
"S00160899",121,107,14,8,1,3,4
"S00160900",115,98,13,8,3,-,4
"S00160901",150,121,27,21,4,1,3
"S00160902",108,96,11,10,1,1,3
"S00160903",148,123,22,8,4,3,9
"S00160904",103,98,6,3,1,1,-
"S00160905",99,79,20,9,1,2,11
"S00160906",80,73,6,9,-,1,-
"S00160907",78,69,8,6,-,-,2
"S00160908",101,95,7,6,-,1,-
"S00160909",115,110,6,5,-,-,-
"S00160910",103,92,10,8,-,4,-
"S00160911",143,124,19,12,1,1,5
"S00160912",146,133,13,8,2,5,-
"S00160913",191,175,16,7,3,2,4
"S00160914",114,96,18,8,5,2,4
"S00160915",129,112,17,4,7,2,1
"S00160916",92,83,9,3,1,2,3
"S00160917",84,66,17,10,4,3,-
"S00160918",140,113,27,14,7,4,4
"S00160919",127,116,7,1,2,1,3
"S00160920",90,76,10,2,-,4,4
"S00160921",95,87,9,3,3,-,-
"S00160922",91,78,13,4,-,2,5
"S00160923",96,89,10,8,1,-,3
"S00160924",122,108,15,4,1,1,8
"S00160925",78,74,4,1,-,-,1
"S00160926",265,236,25,16,-,2,7
"S00160927",301,269,32,9,7,10,7
"S00160928",110,97,13,11,-,1,-
"S00160929",142,125,17,7,-,5,3
"S00160930",202,172,27,6,4,2,13
"S00160931",131,121,10,-,-,1,7
"S00160932",89,82,8,6,-,-,-
"S00160933",132,109,23,13,-,-,8
"S00160934",98,89,10,2,4,-,4
"S00160935",137,126,11,6,-,1,4
"S00160936",72,65,7,7,-,-,-
"S00160937",127,108,19,9,3,-,6
"S00160938",155,132,23,10,3,6,6
"S00160939",161,138,23,16,4,2,2
"S00160940",63,60,5,5,-,-,-
"S00160941",117,109,8,6,-,-,2
"S00160942",171,157,11,7,2,-,-
"S00160943",81,69,9,3,-,3,1
"S00160944",124,119,12,4,-,-,3
"S00160945",103,98,5,5,-,-,-
"S00160946",94,89,5,4,-,1,-
"S00160947",185,144,45,21,5,9,10
"S00160948",178,157,21,12,4,4,1
"S00160949",63,52,12,4,-,-,7
"S00160950",71,67,1,1,-,-,-
"S00160951",116,101,15,8,2,1,4
"S00160952",64,58,6,3,-,1,2
"S00160953",253,220,30,15,6,4,5
"S00160954",126,103,20,11,4,5,2
"S00160955",174,160,14,9,1,2,2
"S00160956",73,68,5,4,-,-,1
"S00160957",164,146,18,6,4,4,10
"S00160958",151,127,24,10,3,3,10
"S00160959",101,91,10,6,-,3,1
"S00160960",97,85,12,3,-,4,5
"S00160961",134,123,11,9,1,1,-
"S00160962",84,73,11,5,3,2,1
"S00160963",126,119,10,5,-,-,2
"S00160964",210,179,35,21,2,2,7
"S00160965",139,127,12,10,2,-,5
"S00160966",121,102,19,6,2,1,9
"S00160967",122,101,20,9,4,1,6
"S00160968",128,110,18,15,-,3,-
"S00160969",186,168,15,13,2,2,1
"S00160970",113,87,23,10,2,1,11
"S00160971",115,103,12,6,1,3,3
"S00160972",85,79,6,5,-,1,-
"S00160973",80,77,1,4,-,-,1
"S00160974",109,103,6,3,1,1,1
"S00160975",101,80,19,4,3,1,7
"S00160976",82,70,12,7,1,3,2
"S00160977",85,79,6,5,-,2,-
"S00160978",160,136,24,11,4,3,4
"S00160979",80,76,5,5,-,-,-
"S00160980",137,117,20,6,3,6,5
"S00160981",99,90,9,-,-,-,7
"S00160982",69,56,13,4,1,5,3
"S00160983",163,146,16,10,4,-,2
"S00160984",103,89,14,10,1,-,5
"S00160985",79,73,8,1,2,-,3
"S00160986",174,159,18,11,3,4,2
"S00160987",138,116,22,10,6,1,7
"S00160988",123,112,11,9,2,1,-
"S00160989",106,93,15,8,5,1,1
"S00160990",133,125,8,6,1,1,-
"S00160991",65,56,9,6,1,2,-
"S00160992",67,63,2,2,-,-,2
"S00160993",89,74,15,1,1,5,7
"S00160994",81,65,16,5,1,2,6
"S00160995",86,81,9,5,1,1,2
"S00160996",75,69,6,4,-,-,2
"S00160997",117,106,11,7,1,1,-
"S00160998",109,99,10,5,2,-,5
"S00160999",116,105,14,4,3,-,4
"S00161000",92,81,8,3,1,4,-
"S00161001",95,86,9,7,2,-,-
"S00161002",108,97,15,7,2,-,10
"S00161003",96,90,6,6,-,-,-
"S00161004",95,89,6,5,2,-,-
"S00161005",118,100,20,7,1,7,6
"S00161006",105,87,17,5,1,3,8
"S00161007",88,81,7,4,-,1,1
"S00161008",80,75,5,5,-,-,-
"S00161009",222,197,25,9,3,3,6
"S00161010",157,143,16,6,3,1,8
"S00161011",70,64,6,5,1,-,-
"S00161012",207,185,22,15,1,2,2
"S00161013",93,89,3,3,-,-,-
"S00161014",108,86,22,13,5,-,3
"S00161015",103,92,11,7,3,-,2
"S00161016",152,142,10,4,-,-,6
"S00161017",131,106,25,8,2,2,18
"S00161018",97,83,14,12,-,-,1
"S00161019",125,119,9,2,1,2,3
"S00161020",80,74,6,2,-,3,-
"S00161021",149,137,12,6,1,1,3
"S00161022",192,172,20,15,2,-,4
"S00161023",112,85,27,14,2,5,6
"S00161024",173,144,29,8,3,4,12
"S00161025",166,150,16,6,2,4,4
"S00161026",88,81,7,6,-,-,1
"S00161027",100,90,8,4,-,1,2
"S00161028",120,101,19,9,3,2,5
"S00161029",173,151,22,9,3,1,7
"S00161030",87,77,10,5,2,-,1
"S00161031",121,111,13,6,2,-,2
"S00161032",118,93,29,20,1,5,5
"S00161033",121,113,10,5,1,2,2
"S00161034",70,55,15,4,-,2,6
"S00161035",83,76,11,6,-,4,-
"S00161036",166,142,24,15,-,4,5
"S00161037",70,65,5,1,2,-,2
"S00161038",96,98,8,2,2,-,1
"S00161039",86,76,14,2,1,1,6
"S00161040",172,145,29,26,1,-,-
"S00161041",100,92,10,5,2,1,2
"S00161042",157,130,27,19,2,2,4
"S00161043",123,106,17,7,2,5,5
"S00161044",79,72,7,6,-,-,1
"S00161045",58,46,9,2,2,1,4
"S00161046",118,101,17,14,3,1,1
"S00161047",75,64,11,4,3,-,2
"S00161048",140,119,21,5,6,3,8
"S00161049",173,154,13,8,1,5,3
"S00161050",92,82,10,3,-,1,6
"S00161051",178,142,36,23,2,3,8
"S00161052",231,195,36,19,2,5,6
"S00161053",199,185,14,3,4,8,3
"S00161054",132,112,20,11,-,5,8
"S00161055",97,85,12,7,1,2,3
"S00161056",139,117,18,5,4,4,9
"S00161057",173,158,15,7,-,1,6
"S00161058",102,83,21,9,5,-,3
"S00161059",76,66,10,7,-,-,-
"S00161060",67,61,6,7,-,1,-
"S00161061",86,80,6,4,1,-,1
"S00161062",118,107,11,6,2,-,4
"S00161063",80,68,12,1,4,1,8
"S00161064",169,150,19,13,2,3,-
"S00161065",115,99,16,9,2,2,10
"S00161066",115,96,19,7,4,2,7
"S00161067",145,114,27,9,3,5,10
"S00161068",147,128,19,11,5,-,4
"S00161069",124,118,6,3,2,-,1
"S00161070",121,102,19,10,5,1,1
"S00161071",123,117,6,6,2,-,-
"S00161072",155,144,11,9,2,1,-
"S00161073",111,100,10,7,-,-,3
"S00161074",124,115,9,3,-,1,1
"S00161075",100,86,14,9,-,-,6
"S00161076",189,168,21,13,4,2,1
"S00161077",108,93,15,6,-,6,4
"S00161078",166,141,22,7,4,4,10
"S00161079",133,118,12,4,-,4,3
"S00161080",61,57,5,5,-,-,-
"S00161081",81,73,8,5,-,1,2
"S00161082",99,94,4,2,2,-,1
"S00161083",97,88,9,4,-,1,4
"S00161084",96,72,24,5,2,1,13
"S00161085",125,104,21,12,4,-,5
"S00161086",166,153,12,5,4,2,2
"S00161087",93,73,20,5,3,7,5
"S00161088",109,87,24,15,2,1,6
"S00161089",106,103,3,2,-,-,1
"S00161090",90,74,16,4,2,2,8
"S00161091",117,105,14,11,-,-,3
"S00161092",97,87,10,4,1,1,4
"S00161093",169,152,19,14,3,-,-
"S00161094",121,100,21,7,3,1,8
"S00161095",114,103,11,4,4,1,-
"S00161096",79,72,10,5,2,-,-
"S00161097",87,75,12,11,-,-,1
"S00161098",86,75,11,10,-,-,1
"S00161099",96,82,10,4,-,1,6
"S00161100",133,116,17,8,-,3,3
"S00161101",123,102,21,11,7,-,3
"S00161102",77,77,3,3,-,-,-
"S00161103",205,170,38,24,1,10,1
"S00161104",102,83,19,12,2,1,4
"S00161105",105,84,17,8,2,2,5
"S00161106",145,126,22,9,4,6,1
"S00161107",76,66,10,8,-,3,-
"S00161108",133,114,19,7,7,4,1
"S00161109",127,122,4,3,-,-,1
"S00161110",123,105,18,10,4,6,-
"S00161111",83,71,12,8,-,-,4
"S00161112",91,77,14,13,-,1,-
"S00161113",110,98,15,8,1,2,4
"S00161114",103,99,4,1,2,-,-
"S00161115",108,103,4,3,-,-,-
"S00161116",115,97,18,14,-,-,1
"S00161117",104,92,12,5,1,-,8
"S00161118",73,69,4,3,-,-,1
"S00161119",115,106,9,6,-,2,1
"S00161120",72,62,11,5,-,1,4
"S00161121",100,91,9,3,3,2,2
"S00161122",143,133,10,7,2,-,2
"S00161123",69,55,14,3,3,3,7
"S00161124",106,86,16,6,4,4,2
"S00161125",118,98,20,3,-,5,14
"S00161126",155,147,10,6,1,1,2
"S00161127",82,75,7,5,-,1,1
"S00161128",101,85,19,6,3,1,6
"S00161129",87,76,15,4,1,1,5
"S00161130",83,67,18,10,1,2,5
"S00161131",118,107,11,6,1,-,1
"S00161132",88,79,10,8,-,-,2
"S00161133",84,84,3,1,-,-,2
"S00161134",112,106,6,5,-,-,-
"S00161135",78,73,5,3,2,1,-
"S00161136",148,128,20,9,9,1,1
"S00161137",99,84,14,6,-,-,5
"S00161138",89,81,4,2,1,-,-
"S00161139",183,169,11,4,-,-,9
"S00161140",111,111,2,2,-,-,-
"S00161141",124,107,15,5,4,2,5
"S00161142",120,88,35,25,3,2,5
"S00161143",105,92,7,4,1,2,-
"S00161144",113,92,20,6,-,5,8
"S00161145",116,109,8,6,1,-,1
"S00161146",90,75,19,8,4,-,3
"S00161147",88,71,21,10,3,2,4
"S00161148",110,100,10,3,2,-,5
"S00161149",112,102,10,4,2,1,3
"S00161150",68,64,4,3,-,-,-
"S00161151",102,91,9,5,-,-,4
"S00161152",92,89,3,3,-,-,-
"S00161153",85,76,7,8,-,-,1
"S00161154",82,67,15,5,4,2,3
"S00161155",134,119,15,6,1,2,5
"S00161156",216,192,24,16,4,1,2
"S00161157",109,90,21,4,4,4,7
"S00161158",69,60,9,7,2,-,-
"S00161159",129,106,23,10,1,1,11
"S00161160",91,80,10,6,5,-,-
"S00161161",73,66,7,1,-,-,4
"S00161162",78,71,7,1,1,-,5
"S00161163",76,70,13,10,-,1,-
"S00161164",62,56,6,4,-,1,2
"S00161165",170,144,26,21,2,-,3
"S00161166",101,87,14,9,-,4,1
"S00161167",63,55,5,3,-,1,1
"S00161168",84,77,10,2,-,1,4
"S00161169",108,91,13,9,2,2,1
"S00161170",115,106,9,6,-,5,-
"S00161171",64,54,11,1,2,1,4
"S00161172",143,128,15,9,4,-,2
"S00161173",85,76,9,8,-,-,3
"S00161174",240,209,29,19,1,4,5
"S00161175",119,99,19,10,-,6,4
"S00161176",98,87,11,7,-,2,1
"S00161177",113,98,15,11,-,-,3
"S00161178",186,160,25,14,3,4,2
"S00161179",140,130,9,5,1,1,1
"S00161180",108,100,8,7,1,-,-
"S00161181",72,67,6,2,2,-,4
"S00161182",83,79,1,1,1,-,-
"S00161183",127,112,15,10,1,-,4
"S00161184",77,60,17,3,8,2,3
"S00161185",119,107,12,11,-,2,1
"S00161186",119,111,8,1,-,2,-
"S00161187",108,105,3,2,-,1,-
"S00161188",201,180,21,8,1,6,6
"S00161189",136,121,15,11,-,-,4
"S00161190",106,83,19,8,2,9,2
"S00161191",85,72,12,4,2,1,6
"S00161192",138,127,13,5,1,-,2
"S00161193",114,102,8,6,-,-,2
"S00161194",127,116,12,8,-,-,-
"S00161195",113,104,6,7,-,1,1
"S00161196",94,88,6,4,2,-,-
"S00161197",163,138,25,6,6,1,10
"S00161198",81,75,6,5,-,-,1
"S00161199",79,70,9,8,1,-,4
"S00161200",68,61,7,4,-,1,2
"S00161201",92,78,13,12,1,1,-
"S00161202",96,80,11,6,3,-,6
"S00161203",75,66,9,7,1,-,-
"S00161204",78,69,6,4,-,-,3
"S00161205",153,134,16,11,3,1,9
"S00161206",75,58,15,10,-,-,6
"S00161207",131,118,13,9,2,2,1
"S00161208",150,135,16,13,3,-,-
"S00161209",113,101,9,9,-,-,-
"S00161210",97,84,13,9,-,2,2
"S00161211",88,74,14,8,-,-,6
"S00161212",97,91,6,4,1,-,1
"S00161213",84,77,7,7,-,-,-
"S00161214",107,98,9,5,1,-,4
"S00161215",67,61,4,-,1,-,-
"S00161216",123,104,22,6,1,7,4
"S00161217",150,132,18,9,2,-,10
"S00161218",187,152,35,27,1,3,7
"S00161219",82,79,3,2,-,-,-
"S00161220",80,72,8,6,1,-,-
"S00161221",75,67,8,6,1,-,1
"S00161222",89,74,17,9,1,5,2
"S00161223",83,72,11,7,-,-,5
"S00161224",116,98,20,11,2,2,-
"S00161225",175,150,25,13,4,2,7
"S00161226",129,106,23,14,2,1,7
"S00161227",85,77,8,6,2,-,1
"S00161228",103,98,9,3,-,-,3
"S00161229",134,120,14,11,1,1,1
"S00161230",104,95,9,7,1,-,1
"S00161231",71,64,4,2,1,2,-
"S00161232",103,90,13,4,3,2,3
"S00161233",99,99,1,2,-,1,1
"S00161234",89,82,11,9,-,1,1
"S00161235",114,96,16,12,2,1,2
"S00161236",61,57,4,4,-,2,-
"S00161237",92,83,9,4,-,1,4
"S00161238",141,125,21,15,2,-,2
"S00161239",108,97,13,11,1,1,-
"S00161240",116,110,5,3,1,-,-
"S00161241",121,99,22,12,1,4,8
"S00161242",96,89,11,7,1,-,5
"S00161243",123,114,10,4,3,1,-
"S00161244",103,93,10,5,-,-,4
"S00161245",70,62,8,5,-,2,-
"S00161246",61,57,2,3,2,-,-
"S00161247",115,107,10,5,1,1,3
"S00161248",102,91,11,6,1,-,2
"S00161249",91,86,8,8,-,-,-
"S00161250",80,65,15,4,1,5,5
"S00161251",112,92,16,9,3,-,7
"S00161252",66,57,9,1,1,3,1
"S00161253",89,79,10,8,-,-,5
"S00161254",117,103,14,6,1,7,-
"S00161255",147,131,16,5,2,2,7
"S00161256",126,113,14,6,2,1,5
"S00161257",101,88,13,5,2,4,2
"S00161258",68,61,7,5,-,-,2
"S00161259",184,168,14,10,1,1,4
"S00161260",89,86,3,1,-,-,2
"S00161261",67,65,6,3,2,1,-
"S00161262",81,68,13,2,-,1,10
"S00161263",149,133,16,10,1,-,3
"S00161264",97,85,12,5,-,2,3
"S00161265",117,100,14,5,2,2,6
"S00161266",133,123,14,7,1,2,1
"S00161267",68,59,9,6,1,2,-
"S00161268",85,69,13,-,4,-,9
"S00161269",103,89,14,9,-,2,3
"S00161270",101,86,15,9,1,4,4
"S00161271",168,143,25,10,-,6,7
"S00161272",108,100,8,6,-,1,1
"S00161273",134,118,16,12,-,2,5
"S00161274",75,67,9,4,3,1,-
"S00161275",111,92,19,11,2,4,4
"S00161276",98,84,13,5,1,3,6
"S00161277",144,130,14,10,1,-,1
"S00161278",123,106,16,9,4,1,2
"S00161279",93,88,5,4,-,-,1
"S00161280",86,81,5,3,-,1,-
"S00161281",80,67,13,4,6,2,3
"S00161282",73,64,9,6,-,-,3
"S00161283",104,87,16,11,2,1,3
"S00161284",82,71,8,8,-,3,-
"S00161285",123,103,20,3,2,5,10
"S00161286",76,71,5,4,-,1,-
"S00161287",88,71,17,12,-,4,1
"S00161288",76,70,6,6,-,-,-
"S00161289",128,114,14,7,1,2,6
"S00161290",101,94,11,5,1,-,-
"S00161291",123,98,25,12,2,1,9
"S00161292",95,94,11,2,1,3,4
"S00161293",82,69,11,3,-,1,7
"S00161294",137,126,7,3,2,1,2
"S00161295",152,134,18,8,-,2,8
"S00161296",130,119,11,6,1,1,1
"S00161297",123,113,10,6,-,2,1
"S00161298",107,98,9,5,1,3,-
"S00161299",212,191,21,9,2,4,6
"S00161300",141,127,13,5,-,5,6
"S00161301",79,66,13,9,-,1,3
"S00161302",68,50,14,8,1,1,4
"S00161303",81,72,4,3,1,-,-
"S00161304",98,87,11,8,2,1,-
"S00161305",91,84,7,4,-,-,-
"S00161306",79,67,8,1,-,3,5
"S00161307",75,66,10,3,1,3,1
"S00161308",99,83,16,2,-,7,9
"S00161309",150,132,22,4,1,1,11
"S00161310",74,65,9,5,4,-,-
"S00161311",81,69,12,6,2,-,4
"S00161312",91,77,14,12,-,1,-
"S00161313",93,86,7,7,-,-,-
"S00161314",67,57,7,6,-,-,2
"S00161315",181,157,24,16,6,-,6
"S00161316",181,155,24,9,3,5,7
"S00161317",91,85,8,3,-,2,1
"S00161318",111,103,8,5,1,-,3
"S00161319",117,103,14,8,2,-,4
"S00161320",85,79,7,4,-,-,1
"S00161321",60,55,5,5,-,-,-
"S00161322",85,78,7,3,2,2,2
"S00161323",110,95,12,5,3,1,-
