Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00135474",89,3,86
"S00135475",81,5,76
"S00135476",90,3,93
"S00135477",94,-,92
"S00135478",91,8,79
"S00135479",111,-,111
"S00135480",109,4,106
"S00135481",114,6,108
"S00135482",66,1,65
"S00135483",100,6,94
"S00135484",74,5,70
"S00135485",142,5,131
"S00135486",88,2,86
"S00135487",144,3,138
"S00135488",93,1,91
"S00135489",100,1,100
"S00135490",117,2,115
"S00135491",112,4,108
"S00135492",111,3,108
"S00135493",127,5,122
"S00135494",87,3,85
"S00135495",82,-,80
"S00135496",87,3,84
"S00135497",185,6,175
"S00135498",117,-,117
"S00135499",110,4,108
"S00135500",82,1,81
"S00135501",121,5,114
"S00135502",114,4,109
"S00135503",77,4,73
"S00135504",137,5,132
"S00135505",122,1,124
"S00135506",74,1,77
"S00135507",132,3,130
"S00135508",61,6,55
"S00135509",102,3,99
"S00135510",100,6,94
"S00135511",116,1,110
"S00135512",110,4,106
"S00135513",97,8,85
"S00135514",96,2,97
"S00135515",143,4,138
"S00135516",108,1,110
"S00135517",101,4,92
"S00135518",76,-,76
"S00135519",129,8,121
"S00135520",129,4,123
"S00135521",104,2,102
"S00135522",85,4,80
"S00135523",65,7,58
"S00135524",104,4,100
"S00135525",87,1,85
"S00135526",96,1,92
"S00135527",58,5,53
"S00135528",152,9,143
"S00135529",130,5,122
"S00135530",73,1,72
"S00135531",86,3,84
"S00135532",77,2,76
"S00135533",110,3,107
"S00135534",97,1,99
"S00135535",194,9,189
"S00135536",124,-,124
"S00135537",129,4,124
"S00135538",81,10,78
"S00135539",72,5,66
"S00135540",124,4,116
"S00135541",73,5,68
"S00135542",124,-,124
"S00135543",131,1,130
"S00135544",83,5,78
"S00135545",125,6,119
"S00135546",76,4,73
"S00135547",146,2,144
"S00135548",71,5,66
"S00135549",55,-,55
"S00135550",98,6,94
"S00135551",104,3,101
"S00135552",104,-,104
"S00135553",175,9,166
"S00135554",72,2,67
"S00135555",142,6,138
"S00135556",98,3,95
"S00135557",74,5,69
"S00135558",124,3,121
"S00135559",95,1,96
"S00135560",91,8,83
"S00135561",73,6,67
"S00135562",78,-,76
"S00135563",44,-,44
"S00135564",94,8,86
"S00135565",59,1,57
"S00135566",87,4,83
"S00135567",98,-,97
"S00135568",136,10,126
"S00135569",89,6,85
"S00135570",102,4,97
"S00135571",91,3,88
"S00135572",103,3,99
"S00135573",86,3,83
"S00135574",69,5,64
"S00135575",126,6,120
"S00135576",111,3,108
"S00135577",105,3,102
"S00135578",101,3,99
"S00135579",76,7,70
"S00135580",122,4,117
"S00135581",105,3,101
"S00135582",77,3,74
"S00135583",106,4,104
"S00135584",97,4,93
"S00135585",82,2,76
"S00135586",95,6,93
"S00135587",67,3,65
"S00135588",82,2,79
"S00135589",75,4,73
"S00135590",62,1,58
"S00135591",68,4,68
"S00135592",81,2,79
"S00135593",78,-,78
"S00135594",85,3,83
"S00135595",119,3,116
"S00135596",185,12,173
"S00135597",113,4,106
"S00135598",79,4,76
"S00135599",110,2,106
"S00135600",59,4,55
"S00135601",96,-,96
"S00135602",115,4,111
"S00135603",69,-,69
"S00135604",74,4,74
"S00135605",72,1,71
"S00135606",216,4,212
"S00135607",1706,6,1700
"S00135608",79,1,79
"S00135609",91,3,88
"S00135610",150,6,142
"S00135611",74,5,69
"S00135612",122,3,117
"S00135613",86,2,84
"S00135614",94,3,91
"S00135615",136,-,131
"S00135616",58,2,59
"S00135617",91,3,88
"S00135618",65,4,61
"S00135619",54,4,54
"S00135620",77,3,78
"S00135621",112,6,105
"S00135622",79,4,78
"S00135623",116,4,112
"S00135624",70,2,69
"S00135625",92,-,91
"S00135626",51,3,50
"S00135627",98,2,96
"S00135628",136,6,134
"S00135629",136,3,133
"S00135630",93,5,88
"S00135631",117,2,115
"S00135632",134,12,123
"S00135633",57,4,50
"S00135634",73,1,76
"S00135635",101,1,97
"S00135636",89,5,86
"S00135637",98,2,96
"S00135638",75,4,71
"S00135639",59,1,58
"S00135640",114,6,108
"S00135641",62,2,64
"S00135642",128,-,129
"S00135643",75,3,72
"S00135644",70,4,68
"S00135645",73,4,69
"S00135646",67,5,62
"S00135647",125,5,123
"S00135648",86,2,84
"S00135649",60,3,60
"S00135650",91,3,90
"S00135651",103,5,98
"S00135652",81,1,80
"S00135653",58,-,58
"S00135654",58,-,58
"S00135655",91,6,83
"S00135656",81,2,79
"S00135657",88,5,86
"S00135658",68,2,66
"S00135659",103,3,100
"S00135660",91,-,91
