Scotland's Census 2022 - National Records of Scotland
Table UV901 - UK Armed Forces veterans
All people aged 16 and over
,"All people aged 16 and over","UK Armed Forces veteran","Not a UK Armed Forces veteran"
"S00150083",93,-,93
"S00150084",91,5,85
"S00150085",52,-,52
"S00150086",105,2,104
"S00150087",84,-,84
"S00150088",110,10,100
"S00150089",87,-,87
"S00150090",166,6,160
"S00150091",77,2,75
"S00150092",129,5,127
"S00150093",85,4,81
"S00150094",92,3,89
"S00150095",57,-,57
"S00150096",131,3,128
"S00150097",89,2,87
"S00150098",136,7,126
"S00150099",85,4,84
"S00150100",104,4,102
"S00150101",158,18,139
"S00150102",98,2,96
"S00150103",65,3,62
"S00150104",82,2,80
"S00150105",190,-,188
"S00150106",82,2,80
"S00150107",89,-,89
"S00150108",81,3,74
"S00150109",68,2,70
"S00150110",142,-,140
"S00150111",118,1,117
"S00150112",83,5,79
"S00150113",101,3,98
"S00150114",98,1,97
"S00150115",113,-,111
"S00150116",60,-,63
"S00150117",101,6,95
"S00150118",142,10,130
"S00150119",138,8,126
"S00150120",61,3,59
"S00150121",118,1,117
"S00150122",93,2,90
"S00150123",141,4,138
"S00150124",161,3,156
"S00150125",158,5,153
"S00150126",91,-,91
"S00150127",80,-,80
"S00150128",61,-,61
"S00150129",82,3,79
"S00150130",78,-,78
"S00150131",134,3,136
"S00150132",126,2,125
"S00150133",116,4,112
"S00150134",109,4,105
"S00150135",100,-,100
"S00150136",126,3,123
"S00150137",107,6,101
"S00150138",137,5,128
"S00150139",127,1,126
"S00150140",122,6,115
"S00150141",100,2,101
"S00150142",125,1,124
"S00150143",57,3,54
"S00150144",74,-,74
"S00150145",48,1,47
"S00150146",84,2,82
"S00150147",95,7,91
"S00150148",169,5,164
"S00150149",100,-,100
"S00150150",74,3,68
"S00150151",99,2,97
"S00150152",96,5,91
"S00150153",80,-,80
"S00150154",129,9,120
"S00150155",97,4,94
"S00150156",104,7,96
"S00150157",96,-,96
"S00150158",116,2,115
"S00150159",105,2,103
"S00150160",163,3,160
"S00150161",151,3,150
"S00150162",98,5,95
"S00150163",156,1,152
"S00150164",663,37,626
"S00150165",146,5,141
"S00150166",81,3,79
"S00150167",149,5,144
"S00150168",135,2,132
"S00150169",156,6,154
"S00150170",75,-,74
"S00150171",108,5,100
"S00150172",106,4,104
"S00150173",138,3,135
"S00150174",133,-,132
"S00150175",88,3,85
"S00150176",106,5,101
"S00150177",139,6,136
"S00150178",103,2,101
"S00150179",74,-,74
"S00150180",118,5,114
"S00150181",141,5,136
"S00150182",149,2,147
"S00150183",106,4,105
"S00150184",93,3,87
"S00150185",49,-,49
"S00150186",78,1,77
"S00150187",72,-,72
"S00150188",137,8,127
"S00150189",94,-,94
"S00150190",109,2,107
"S00150191",140,3,138
"S00150192",85,2,84
"S00150193",103,6,94
"S00150194",119,3,116
"S00150195",106,2,102
"S00150196",90,-,90
"S00150197",149,10,141
"S00150198",94,4,90
"S00150199",75,1,73
"S00150200",97,8,92
"S00150201",84,1,83
"S00150202",98,2,96
"S00150203",100,4,96
"S00150204",102,5,97
"S00150205",88,4,80
"S00150206",147,-,148
"S00150207",98,2,95
"S00150208",88,-,88
"S00150209",70,-,68
"S00150210",164,2,161
"S00150211",79,2,78
"S00150212",108,5,103
"S00150213",88,1,88
"S00150214",122,5,117
"S00150215",104,5,99
"S00150216",88,3,85
"S00150217",93,1,92
"S00150218",155,6,148
"S00150219",133,7,126
"S00150220",92,1,87
"S00150221",114,5,109
"S00150222",62,-,62
"S00150223",107,3,104
"S00150224",60,-,65
"S00150225",106,4,102
"S00150226",192,8,184
"S00150227",77,5,71
"S00150228",90,-,90
"S00150229",72,-,72
"S00150230",124,-,124
"S00150231",83,2,81
"S00150232",66,-,66
"S00150233",114,5,108
"S00150234",88,-,88
"S00150235",109,-,109
"S00150236",105,5,101
"S00150237",125,4,121
"S00150238",107,1,102
"S00150239",98,2,96
"S00150240",131,4,125
"S00150241",82,4,80
"S00150242",98,3,93
"S00150243",102,6,93
"S00150244",112,9,99
"S00150245",106,-,106
"S00150246",117,1,116
"S00150247",149,3,146
"S00150248",61,3,61
"S00150249",68,3,65
"S00150250",116,3,113
"S00150251",132,1,131
"S00150252",86,1,85
"S00150253",70,5,65
"S00150254",119,7,112
"S00150255",122,4,119
"S00150256",129,-,127
"S00150257",100,3,99
"S00150258",56,3,53
"S00150259",69,-,69
"S00150260",126,-,126
"S00150261",85,1,87
"S00150262",94,-,94
"S00150263",100,2,99
"S00150264",121,5,116
"S00150265",95,6,86
"S00150266",100,5,98
"S00150267",99,4,96
"S00150268",111,2,109
"S00150269",91,3,88
"S00150270",91,-,91
"S00150271",121,-,121
"S00150272",68,2,66
"S00150273",114,5,109
"S00150274",115,5,108
"S00150275",128,6,125
"S00150276",107,4,102
"S00150277",130,7,123
"S00150278",91,2,89
"S00150279",99,4,97
"S00150280",114,6,108
"S00150281",142,2,140
"S00150282",130,2,131
"S00150283",61,-,61
"S00150284",91,3,88
"S00150285",133,6,129
"S00150286",141,4,140
"S00150287",95,5,92
"S00150288",96,6,94
"S00150289",107,4,103
"S00150290",84,3,81
"S00150291",103,1,104
"S00150292",129,3,123
"S00150293",97,2,95
"S00150294",80,3,71
"S00150295",121,4,119
"S00150296",137,5,133
"S00150297",81,1,80
"S00150298",100,5,97
"S00150299",104,3,98
"S00150300",89,4,85
"S00150301",158,1,157
"S00150302",55,2,53
"S00150303",82,4,78
"S00150304",108,5,104
"S00150305",92,4,89
"S00150306",111,1,108
"S00150307",78,2,73
"S00150308",62,-,61
"S00150309",122,2,120
"S00150310",50,1,50
"S00150311",95,4,91
"S00150312",117,3,116
"S00150313",80,3,75
"S00150314",51,1,50
"S00150315",93,2,89
"S00150316",96,2,94
"S00150317",78,2,76
"S00150318",80,4,76
"S00150319",95,-,95
"S00150320",137,5,132
"S00150321",72,1,71
"S00150322",91,8,83
"S00150323",107,1,103
"S00150324",90,6,84
"S00150325",137,3,134
"S00150326",129,6,122
"S00150327",147,-,145
"S00150328",97,-,95
"S00150329",98,2,96
"S00150330",93,5,91
"S00150331",93,4,89
"S00150332",158,5,153
"S00150333",105,4,102
"S00150334",137,-,137
"S00150335",153,10,143
"S00150336",97,1,96
"S00150337",103,-,102
"S00150338",116,2,116
"S00150339",79,4,75
"S00150340",91,9,84
"S00150341",85,1,84
"S00150342",85,1,84
"S00150343",100,2,103
"S00150344",138,3,135
"S00150345",173,2,170
"S00150346",123,5,116
"S00150347",120,4,116
"S00150348",126,2,124
"S00150349",73,1,71
"S00150350",150,1,149
"S00150351",126,5,121
"S00150352",150,5,145
"S00150353",106,4,102
"S00150354",83,4,80
"S00150355",59,2,56
"S00150356",87,4,83
"S00150357",77,2,75
"S00150358",136,2,133
"S00150359",102,-,102
"S00150360",107,1,106
"S00150361",106,5,101
"S00150362",153,7,147
"S00150363",95,5,90
"S00150364",108,-,107
"S00150365",97,1,96
"S00150366",99,5,96
"S00150367",145,-,145
"S00150368",75,2,72
"S00150369",88,4,84
"S00150370",116,2,114
"S00150371",123,7,116
"S00150372",112,6,106
"S00150373",138,4,134
"S00150374",89,1,88
"S00150375",82,4,79
"S00150376",101,3,102
"S00150377",139,7,132
"S00150378",109,5,102
"S00150379",91,6,87
"S00150380",84,-,84
"S00150381",160,5,155
"S00150382",92,1,91
"S00150383",89,5,84
"S00150384",107,7,96
"S00150385",93,2,91
"S00150386",156,5,153
"S00150387",82,2,80
"S00150388",77,-,77
"S00150389",98,6,94
"S00150390",149,10,139
"S00150391",102,5,101
"S00150392",94,5,89
"S00150393",93,2,91
"S00150394",73,1,72
"S00150395",101,1,100
"S00150396",114,3,112
"S00150397",77,2,78
"S00150398",128,4,125
"S00150399",72,7,66
"S00150400",94,4,93
"S00150401",146,6,140
"S00150402",61,-,59
"S00150403",108,2,106
"S00150404",99,4,95
"S00150405",84,-,84
"S00150406",89,6,83
"S00150407",101,4,100
"S00150408",147,4,143
"S00150409",129,5,124
"S00150410",89,3,86
"S00150411",86,6,81
"S00150412",71,-,71
"S00150413",133,6,127
"S00150414",66,3,63
"S00150415",92,-,92
"S00150416",55,-,55
"S00150417",105,1,102
"S00150418",94,5,93
"S00150419",193,-,192
"S00150420",129,2,131
"S00150421",61,1,60
"S00150422",103,3,100
"S00150423",78,-,73
"S00150424",131,2,131
"S00150425",108,1,107
"S00150426",82,1,81
"S00150427",79,4,75
"S00150428",145,4,141
"S00150429",115,6,108
"S00150430",134,5,129
"S00150431",96,5,91
"S00150432",100,2,99
"S00150433",106,4,104
"S00150434",105,1,104
"S00150435",124,4,120
"S00150436",101,4,97
"S00150437",79,2,78
"S00150438",143,4,139
"S00150439",89,-,89
"S00150440",154,4,146
"S00150441",87,4,83
"S00150442",64,-,64
"S00150443",107,4,103
"S00150444",95,7,90
"S00150445",71,1,66
"S00150446",79,1,78
"S00150447",106,-,106
"S00150448",110,4,106
"S00150449",80,-,80
"S00150450",104,1,105
"S00150451",99,-,99
"S00150452",109,4,105
"S00150453",121,-,121
"S00150454",72,10,64
"S00150455",102,3,99
"S00150456",115,3,108
"S00150457",165,2,159
"S00150458",144,6,141
"S00150459",122,9,117
"S00150460",78,2,76
"S00150461",101,3,100
"S00150462",89,2,86
"S00150463",125,2,123
"S00150464",78,8,73
"S00150465",123,1,118
"S00150466",116,1,112
"S00150467",83,2,81
"S00150468",100,4,100
"S00150469",104,2,102
"S00150470",146,6,140
"S00150471",75,5,70
"S00150472",105,2,105
"S00150473",64,5,62
"S00150474",97,12,78
"S00150475",98,3,95
"S00150476",158,3,155
"S00150477",128,6,122
"S00150478",103,1,106
"S00150479",123,1,121
"S00150480",59,-,59
"S00150481",65,3,62
"S00150482",138,-,138
"S00150483",124,2,122
"S00150484",134,3,131
"S00150485",99,-,99
"S00150486",81,5,76
"S00150487",135,8,124
"S00150488",93,4,89
"S00150489",94,2,92
"S00150490",112,2,106
"S00150491",107,5,104
"S00150492",85,4,84
"S00150493",114,-,114
"S00150494",82,3,79
"S00150495",100,3,97
"S00150496",115,2,108
"S00150497",151,5,149
"S00150498",113,5,108
"S00150499",99,2,97
"S00150500",125,7,118
"S00150501",71,2,70
"S00150502",123,3,120
"S00150503",62,-,60
"S00150504",76,4,72
"S00150505",81,3,78
"S00150506",119,12,111
"S00150507",127,5,122
"S00150508",136,8,128
"S00150509",191,-,191
"S00150510",127,4,123
"S00150511",156,4,152
"S00150512",83,6,79
"S00150513",64,1,63
"S00150514",81,5,76
"S00150515",174,3,174
"S00150516",131,5,128
"S00150517",92,-,90
"S00150518",91,6,87
"S00150519",118,2,117
"S00150520",98,1,97
"S00150521",91,1,92
"S00150522",87,6,81
"S00150523",106,2,104
"S00150524",122,3,119
"S00150525",91,1,90
"S00150526",85,2,84
"S00150527",79,2,77
"S00150528",117,6,111
"S00150529",87,1,84
"S00150530",70,5,67
"S00150531",121,5,116
"S00150532",72,-,72
"S00150533",114,1,111
"S00150534",103,1,98
"S00150535",70,4,65
"S00150536",103,1,104
"S00150537",124,6,118
"S00150538",78,4,74
"S00150539",84,2,87
"S00150540",110,1,108
"S00150541",106,2,107
"S00150542",116,6,110
"S00150543",57,4,53
"S00150544",123,-,122
"S00150545",106,4,102
"S00150546",78,10,68
"S00150547",94,5,89
"S00150548",86,5,83
"S00150549",115,6,113
"S00150550",84,3,81
"S00150551",60,2,61
"S00150552",154,6,151
"S00150553",93,4,89
"S00150554",117,1,114
"S00150555",78,3,75
"S00150556",83,7,73
"S00150557",102,5,97
"S00150558",174,4,169
"S00150559",110,7,103
"S00150560",70,3,69
"S00150561",112,-,106
"S00150562",102,4,98
"S00150563",77,4,73
"S00150564",75,3,72
"S00150565",116,3,109
"S00150566",99,-,93
"S00150567",106,8,95
"S00150568",75,3,74
"S00150569",145,8,137
"S00150570",144,-,143
"S00150571",83,2,81
"S00150572",114,2,115
"S00150573",72,1,71
"S00150574",66,2,63
"S00150575",109,4,105
"S00150576",54,-,54
"S00150577",67,6,61
"S00150578",150,11,136
"S00150579",61,4,57
"S00150580",75,2,73
"S00150581",70,-,70
"S00150582",70,1,68
"S00150583",96,4,89
"S00150584",142,5,139
"S00150585",114,13,102
"S00150586",74,4,70
"S00150587",126,2,124
"S00150588",85,2,86
"S00150589",104,2,102
"S00150590",112,1,106
"S00150591",126,5,121
"S00150592",127,7,120
"S00150593",150,4,146
"S00150594",86,3,82
"S00150595",103,5,98
"S00150596",83,5,78
"S00150597",66,5,61
"S00150598",78,5,73
"S00150599",112,2,113
"S00150600",96,5,89
"S00150601",85,5,80
"S00150602",141,5,137
"S00150603",113,4,111
"S00150604",74,4,69
"S00150605",78,4,76
"S00150606",66,4,58
"S00150607",87,1,86
"S00150608",101,3,98
"S00150609",113,3,110
"S00150610",68,4,65
"S00150611",109,5,104
"S00150612",76,4,73
"S00150613",127,2,126
"S00150614",97,5,92
"S00150615",92,4,88
"S00150616",126,1,125
"S00150617",102,1,101
"S00150618",115,5,112
"S00150619",77,3,75
"S00150620",90,5,82
"S00150621",106,8,98
"S00150622",84,3,84
"S00150623",130,4,126
"S00150624",72,5,70
"S00150625",103,5,100
"S00150626",76,7,69
"S00150627",123,1,120
"S00150628",108,2,106
"S00150629",92,3,89
"S00150630",81,3,76
"S00150631",91,-,91
"S00150632",97,5,92
"S00150633",79,4,75
"S00150634",83,1,86
"S00150635",97,3,94
"S00150636",77,7,70
"S00150637",62,2,60
"S00150638",87,5,86
"S00150639",105,-,105
"S00150640",120,4,116
"S00150641",69,7,64
"S00150642",104,4,95
"S00150643",97,8,91
"S00150644",73,2,72
"S00150645",139,8,131
"S00150646",184,21,165
"S00150647",91,6,82
"S00150648",112,10,104
"S00150649",96,1,97
"S00150650",71,1,70
"S00150651",64,2,64
"S00150652",153,7,146
"S00150653",86,3,83
"S00150654",88,5,83
"S00150655",145,3,142
"S00150656",117,-,117
"S00150657",89,3,86
"S00150658",100,4,92
"S00150659",83,2,82
"S00150660",77,5,72
"S00150661",137,5,132
"S00150662",119,6,111
"S00150663",98,7,91
"S00150664",78,-,78
"S00150665",75,5,70
"S00150666",52,-,52
"S00150667",126,-,126
"S00150668",98,4,94
"S00150669",129,-,129
"S00150670",92,4,88
"S00150671",83,2,81
"S00150672",122,10,112
"S00150673",81,5,76
"S00150674",78,4,80
"S00150675",66,3,63
"S00150676",89,3,87
"S00150677",118,-,117
"S00150678",102,5,97
"S00150679",58,1,57
"S00150680",107,3,104
"S00150681",105,-,104
"S00150682",68,5,66
"S00150683",104,6,98
"S00150684",77,4,71
"S00150685",74,2,72
"S00150686",68,2,66
"S00150687",126,11,115
"S00150688",131,2,129
"S00150689",123,3,120
"S00150690",62,4,58
"S00150691",59,4,55
"S00150692",144,6,138
"S00150693",94,6,89
"S00150694",94,4,90
"S00150695",97,4,93
"S00150696",81,5,78
"S00150697",62,-,61
"S00150698",87,7,76
"S00150699",118,7,111
"S00150700",103,8,95
"S00150701",52,2,53
"S00150702",49,3,46
"S00150703",69,2,63
"S00150704",100,3,97
"S00150705",103,7,96
"S00150706",125,1,121
"S00150707",68,-,68
"S00150708",102,6,96
"S00150709",57,7,50
"S00150710",117,8,109
"S00150711",88,1,82
"S00150712",101,6,97
"S00150713",69,8,61
"S00150714",103,5,98
"S00150715",156,3,153
"S00150716",150,6,142
"S00150717",93,8,89
"S00150718",63,3,60
"S00150719",128,1,129
"S00150720",90,5,85
"S00150721",136,5,131
"S00150722",89,5,82
"S00150723",97,2,95
"S00150724",82,3,79
"S00150725",76,8,70
"S00150726",176,8,168
"S00150727",143,8,134
"S00150728",86,1,85
"S00150729",60,4,56
"S00150730",113,3,110
"S00150731",113,6,107
"S00150732",98,6,92
"S00150733",64,3,61
"S00150734",82,5,80
"S00150735",105,8,96
"S00150736",143,5,138
"S00150737",135,8,126
"S00150738",101,6,93
"S00150739",82,2,73
"S00150740",102,2,100
"S00150741",106,7,104
"S00150742",73,2,71
"S00150743",99,2,96
"S00150744",107,1,106
"S00150745",68,3,65
"S00150746",178,4,174
"S00150747",197,11,186
"S00150748",146,7,139
"S00150749",134,4,132
"S00150750",101,4,97
"S00150751",79,2,77
"S00150752",182,9,173
"S00150753",108,3,105
"S00150754",71,4,67
"S00150755",175,6,168
"S00150756",71,-,71
"S00150757",126,6,122
"S00150758",118,-,118
"S00150759",102,2,96
"S00150760",89,4,86
"S00150761",97,2,95
"S00150762",64,2,62
"S00150763",105,8,99
"S00150764",88,5,83
"S00150765",106,3,103
"S00150766",73,3,67
"S00150767",83,6,77
"S00150768",97,3,94
"S00150769",109,4,105
"S00150770",85,5,80
"S00150771",90,11,81
"S00150772",131,3,125
"S00150773",177,6,171
"S00150774",78,3,75
"S00150775",68,3,65
"S00150776",83,4,81
"S00150777",90,1,85
"S00150778",70,6,64
"S00150779",90,2,88
"S00150780",91,3,88
"S00150781",96,-,97
"S00150782",67,4,67
"S00150783",74,1,73
"S00150784",109,6,100
"S00150785",76,4,72
"S00150786",115,4,115
"S00150787",56,1,55
"S00150788",62,1,61
"S00150789",56,9,48
"S00150790",156,7,149
"S00150791",143,1,141
"S00150792",137,11,127
"S00150793",94,3,91
"S00150794",125,5,117
"S00150795",64,-,62
"S00150796",123,8,115
"S00150797",80,6,76
"S00150798",153,5,147
"S00150799",113,23,90
"S00150800",82,-,81
"S00150801",103,12,93
"S00150802",114,4,110
"S00150803",101,5,96
"S00150804",101,6,100
"S00150805",75,3,76
"S00150806",71,2,69
"S00150807",68,10,59
"S00150808",65,5,64
"S00150809",83,6,77
"S00150810",142,8,130
"S00150811",112,11,102
"S00150812",72,3,65
"S00150813",75,-,75
"S00150814",117,3,114
"S00150815",97,4,96
"S00150816",132,4,128
"S00150817",107,4,103
"S00150818",117,4,113
"S00150819",112,9,102
"S00150820",91,3,87
"S00150821",114,4,110
"S00150822",101,10,88
"S00150823",96,3,93
"S00150824",127,6,123
"S00150825",82,9,73
"S00150826",112,2,110
"S00150827",65,3,62
"S00150828",62,1,61
"S00150829",102,5,97
"S00150830",120,4,116
"S00150831",101,4,97
"S00150832",65,-,65
"S00150833",71,7,66
"S00150834",143,7,136
"S00150835",86,3,86
"S00150836",91,4,90
"S00150837",143,5,138
"S00150838",139,5,134
"S00150839",119,10,109
"S00150840",60,3,55
"S00150841",109,1,110
"S00150842",106,3,103
"S00150843",116,9,111
"S00150844",78,5,73
"S00150845",78,8,72
"S00150846",83,4,79
"S00150847",85,1,84
"S00150848",69,4,65
"S00150849",98,4,95
"S00150850",68,3,65
"S00150851",175,2,174
"S00150852",107,6,101
"S00150853",115,7,108
"S00150854",79,4,73
"S00150855",78,1,80
"S00150856",129,5,124
"S00150857",138,8,133
"S00150858",99,2,97
"S00150859",64,6,60
"S00150860",82,2,79
"S00150861",112,6,105
"S00150862",96,5,91
"S00150863",112,5,107
"S00150864",45,-,45
"S00150865",74,1,73
"S00150866",141,3,138
"S00150867",104,4,100
"S00150868",123,3,120
"S00150869",123,4,121
"S00150870",135,6,129
"S00150871",158,5,153
"S00150872",121,4,117
"S00150873",90,6,84
"S00150874",115,5,110
"S00150875",131,2,128
"S00150876",74,-,74
"S00150877",75,4,71
"S00150878",129,1,127
"S00150879",145,6,142
"S00150880",85,8,77
"S00150881",81,3,78
"S00150882",98,4,96
"S00150883",85,-,85
"S00150884",126,6,120
"S00150885",88,2,87
"S00150886",109,5,106
"S00150887",102,4,98
"S00150888",74,2,72
"S00150889",92,3,89
"S00150890",104,2,101
"S00150891",98,1,94
"S00150892",176,7,171
"S00150893",71,3,68
"S00150894",121,8,111
"S00150895",79,2,77
"S00150896",123,5,118
"S00150897",86,5,85
"S00150898",122,3,119
"S00150899",63,5,58
"S00150900",103,-,101
"S00150901",103,5,98
"S00150902",122,10,112
"S00150903",153,6,147
"S00150904",92,4,88
"S00150905",120,7,111
"S00150906",90,4,86
"S00150907",74,3,68
"S00150908",82,4,78
"S00150909",107,7,99
"S00150910",115,10,105
"S00150911",85,7,75
"S00150912",103,5,99
"S00150913",79,2,77
"S00150914",136,13,123
"S00150915",88,7,81
"S00150916",98,1,97
"S00150917",93,9,84
"S00150918",130,3,126
"S00150919",48,2,46
"S00150920",69,4,65
"S00150921",93,-,92
"S00150922",59,1,57
"S00150923",111,7,104
"S00150924",69,4,67
"S00150925",140,1,137
"S00150926",65,2,64
"S00150927",114,6,108
"S00150928",99,4,95
"S00150929",81,5,76
"S00150930",85,3,82
"S00150931",85,4,79
"S00150932",89,6,83
"S00150933",95,5,93
"S00150934",114,2,112
"S00150935",75,-,72
"S00150936",83,-,83
"S00150937",68,5,63
"S00150938",116,6,110
"S00150939",58,2,56
"S00150940",124,3,125
"S00150941",81,-,81
"S00150942",87,4,79
"S00150943",75,6,66
"S00150944",109,8,101
"S00150945",57,4,53
"S00150946",76,-,76
"S00150947",114,5,109
"S00150948",157,5,152
"S00150949",80,3,77
"S00150950",99,7,92
"S00150951",97,2,94
"S00150952",91,11,81
"S00150953",122,5,121
"S00150954",117,10,107
"S00150955",78,3,75
"S00150956",99,7,92
"S00150957",84,4,79
"S00150958",96,7,85
"S00150959",106,1,105
"S00150960",98,4,94
"S00150961",109,3,108
"S00150962",96,5,87
"S00150963",102,2,100
"S00150964",63,6,57
"S00150965",79,3,76
"S00150966",87,7,80
"S00150967",90,6,84
"S00150968",93,5,85
"S00150969",64,4,60
"S00150970",108,4,105
"S00150971",96,10,89
"S00150972",128,5,123
"S00150973",78,1,77
"S00150974",62,4,61
"S00150975",106,7,99
"S00150976",73,1,72
"S00150977",78,1,78
"S00150978",92,5,84
"S00150979",111,4,111
"S00150980",58,5,55
"S00150981",97,9,88
"S00150982",119,5,111
"S00150983",113,4,110
"S00150984",91,6,85
"S00150985",91,4,87
"S00150986",76,3,73
"S00150987",90,4,86
"S00150988",143,5,138
"S00150989",64,1,63
"S00150990",120,4,116
"S00150991",84,2,82
"S00150992",111,8,103
"S00150993",102,4,97
"S00150994",106,1,105
"S00150995",125,7,121
"S00150996",83,3,80
"S00150997",89,-,89
"S00150998",65,-,68
"S00150999",71,1,70
"S00151000",56,1,58
"S00151001",92,-,92
"S00151002",93,15,78
"S00151003",94,1,90
"S00151004",101,9,92
"S00151005",121,1,120
"S00151006",56,3,51
"S00151007",122,4,118
"S00151008",143,4,133
"S00151009",62,5,57
"S00151010",106,5,101
"S00151011",123,15,111
"S00151012",79,3,74
"S00151013",80,2,78
"S00151014",78,2,76
"S00151015",99,-,99
"S00151016",94,1,93
"S00151017",82,2,84
"S00151018",133,7,125
"S00151019",182,11,174
"S00151020",73,1,72
"S00151021",64,2,62
"S00151022",67,1,66
"S00151023",104,5,101
"S00151024",83,3,80
"S00151025",78,4,76
"S00151026",128,6,126
"S00151027",85,3,82
"S00151028",78,-,78
"S00151029",104,6,98
"S00151030",106,1,104
"S00151031",115,2,112
"S00151032",113,4,109
"S00151033",58,2,59
"S00151034",130,3,127
"S00151035",95,7,92
"S00151036",140,1,137
"S00151037",90,1,89
"S00151038",73,12,60
"S00151039",86,7,82
"S00151040",135,5,130
"S00151041",125,7,118
"S00151042",99,3,95
"S00151043",149,6,141
"S00151044",144,10,138
"S00151045",92,2,90
"S00151046",114,6,108
"S00151047",146,2,142
"S00151048",103,4,99
"S00151049",96,2,94
"S00151050",120,4,119
"S00151051",81,7,74
"S00151052",107,3,102
"S00151053",193,10,181
"S00151054",93,3,90
"S00151055",139,8,131
"S00151056",137,5,132
"S00151057",154,3,152
"S00151058",122,1,121
"S00151059",164,4,161
"S00151060",115,5,110
"S00151061",159,3,156
"S00151062",62,4,58
"S00151063",93,3,91
"S00151064",161,8,153
"S00151065",135,4,130
"S00151066",93,4,89
"S00151067",98,3,95
"S00151068",103,4,98
"S00151069",86,2,84
"S00151070",112,2,110
"S00151071",131,2,129
"S00151072",141,3,138
"S00151073",183,7,176
"S00151074",115,3,112
"S00151075",155,4,151
"S00151076",112,4,105
"S00151077",136,3,133
"S00151078",68,5,63
"S00151079",117,4,113
"S00151080",141,5,137
"S00151081",130,5,125
"S00151082",127,6,121
"S00151083",148,5,143
"S00151084",71,-,71
"S00151085",141,1,139
"S00151086",84,1,83
"S00151087",61,1,59
"S00151088",72,6,66
"S00151089",68,1,71
"S00151090",89,5,83
"S00151091",81,3,78
"S00151092",71,3,68
"S00151093",101,5,99
"S00151094",77,-,77
"S00151095",91,5,85
"S00151096",102,7,94
"S00151097",69,2,68
"S00151098",131,2,129
"S00151099",87,3,87
"S00151100",133,6,127
"S00151101",120,1,119
"S00151102",109,2,106
"S00151103",88,2,86
"S00151104",76,-,70
"S00151105",95,6,87
"S00151106",80,3,77
"S00151107",239,5,230
"S00151108",147,3,141
"S00151109",140,12,127
"S00151110",71,3,72
"S00151111",78,-,78
"S00151112",86,-,86
"S00151113",120,5,114
"S00151114",60,-,58
"S00151115",88,5,87
"S00151116",96,3,94
"S00151117",108,10,95
"S00151118",75,1,71
"S00151119",124,5,119
"S00151120",65,2,60
"S00151121",59,-,59
"S00151122",112,2,110
"S00151123",104,5,99
"S00151124",93,5,91
"S00151125",115,9,106
"S00151126",106,3,101
"S00151127",101,1,100
"S00151128",129,4,126
"S00151129",75,-,75
"S00151130",104,6,98
"S00151131",130,5,125
"S00151132",70,1,69
"S00151133",59,-,57
"S00151134",110,3,107
"S00151135",103,1,100
"S00151136",141,3,139
"S00151137",75,-,75
"S00151138",120,4,117
"S00151139",82,4,78
"S00151140",89,-,84
"S00151141",68,4,60
"S00151142",87,3,84
"S00151143",88,4,84
"S00151144",69,1,66
"S00151145",98,1,97
"S00151146",50,1,52
"S00151147",119,8,111
"S00151148",74,-,74
"S00151149",110,3,107
"S00151150",98,8,90
"S00151151",111,3,107
"S00151152",104,5,99
"S00151153",123,4,119
"S00151154",83,-,83
"S00151155",85,3,82
"S00151156",56,4,52
"S00151157",92,-,93
"S00151158",101,2,99
"S00151159",66,7,60
"S00151160",80,2,78
"S00151161",60,2,59
"S00151162",74,6,69
"S00151163",52,1,51
"S00151164",72,2,69
"S00151165",139,3,136
"S00151166",108,-,106
"S00151167",112,4,108
"S00151168",133,4,126
"S00151169",85,2,81
"S00151170",105,7,98
"S00151171",132,5,129
"S00151172",99,1,98
"S00151173",71,4,67
"S00151174",70,4,62
"S00151175",104,4,100
"S00151176",80,3,77
"S00151177",92,3,89
"S00151178",115,3,109
"S00151179",112,2,107
"S00151180",70,3,67
"S00151181",87,6,81
"S00151182",78,3,74
"S00151183",101,2,99
"S00151184",67,4,64
"S00151185",105,2,103
"S00151186",97,5,92
"S00151187",150,7,144
"S00151188",63,2,60
"S00151189",70,1,69
"S00151190",101,4,99
"S00151191",60,-,60
"S00151192",102,5,100
"S00151193",66,-,65
"S00151194",97,6,91
"S00151195",64,1,63
"S00151196",77,2,75
"S00151197",99,4,93
"S00151198",97,1,93
"S00151199",127,5,122
"S00151200",92,4,86
"S00151201",135,2,133
"S00151202",111,7,100
"S00151203",103,13,89
"S00151204",80,2,79
"S00151205",77,4,73
"S00151206",107,6,101
"S00151207",88,2,84
"S00151208",135,4,131
"S00151209",110,3,111
"S00151210",94,2,92
"S00151211",57,-,55
"S00151212",62,-,62
"S00151213",90,3,87
"S00151214",86,4,82
"S00151215",102,5,97
"S00151216",68,4,64
"S00151217",96,5,91
"S00151218",89,2,90
"S00151219",109,2,107
"S00151220",101,3,98
"S00151221",107,5,102
"S00151222",74,3,75
"S00151223",69,5,66
"S00151224",66,2,64
"S00151225",80,3,78
"S00151226",87,-,84
"S00151227",122,2,114
"S00151228",83,3,80
"S00151229",111,5,106
"S00151230",83,3,81
"S00151231",126,4,122
"S00151232",76,8,65
"S00151233",84,8,76
"S00151234",104,1,103
"S00151235",147,2,145
"S00151236",96,2,94
"S00151237",107,3,104
"S00151238",70,1,73
"S00151239",128,-,127
"S00151240",106,3,103
"S00151241",103,4,99
