Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00135462",159,141,141,-,-,-,4,5,-,9,-
"S00135463",149,126,121,-,5,-,1,-,-,21,-
"S00135464",109,91,93,-,1,-,-,-,-,12,-
"S00135465",106,83,80,-,1,-,-,-,-,20,-
"S00135466",101,90,84,-,6,-,-,-,-,11,-
"S00135467",95,81,71,1,4,-,-,-,-,17,-
"S00135468",69,65,64,-,-,-,3,-,-,1,-
"S00135469",121,113,108,-,4,-,-,-,-,5,-
"S00135470",137,124,124,-,-,-,-,2,-,11,-
"S00135471",154,124,113,-,9,-,-,-,-,27,1
"S00135472",148,132,130,-,3,-,4,3,-,12,-
"S00135473",128,124,122,-,4,-,2,-,-,2,-
"S00135474",122,105,96,2,6,-,-,12,-,5,-
"S00135475",102,88,84,-,-,-,1,-,-,13,-
"S00135476",108,97,93,-,2,2,-,-,-,11,-
"S00135477",120,108,101,-,7,-,-,6,-,5,1
"S00135478",95,56,56,-,-,-,-,-,-,42,-
"S00135479",125,115,115,-,-,-,-,-,-,5,-
"S00135480",132,118,112,-,7,-,-,1,-,11,-
"S00135481",132,123,122,-,1,-,4,-,-,4,-
"S00135482",83,65,57,-,8,-,-,-,-,17,1
"S00135483",118,107,97,-,10,-,-,-,-,11,-
"S00135484",82,72,70,1,1,-,-,1,-,7,-
"S00135485",163,145,136,1,6,1,-,1,-,17,-
"S00135486",115,101,99,-,-,-,3,2,-,13,-
"S00135487",160,132,129,1,2,-,-,2,-,22,1
"S00135488",118,97,95,1,5,-,-,-,-,13,-
"S00135489",144,113,102,-,8,-,-,1,-,32,1
"S00135490",131,112,107,-,5,-,-,-,-,19,-
"S00135491",130,96,79,1,11,2,12,6,-,9,4
"S00135492",130,102,97,-,5,-,-,4,-,24,-
"S00135493",166,145,127,-,18,-,3,-,-,18,-
"S00135494",98,83,82,-,-,1,-,-,-,14,2
"S00135495",110,104,95,-,8,1,-,-,-,6,-
"S00135496",105,87,87,-,-,-,-,1,-,17,-
"S00135497",236,212,204,1,5,-,-,4,-,20,2
"S00135498",150,98,85,1,6,2,10,39,-,5,2
"S00135499",129,113,102,-,11,-,1,-,-,12,-
"S00135500",120,100,88,4,8,-,2,5,-,19,-
"S00135501",136,121,121,-,-,-,-,2,-,13,-
"S00135502",133,109,98,1,8,-,7,5,-,10,7
"S00135503",86,75,75,-,-,-,-,-,-,15,-
"S00135504",141,128,124,2,1,1,-,-,-,13,-
"S00135505",167,140,129,-,7,-,8,4,-,12,1
"S00135506",90,87,87,-,-,-,-,-,-,3,-
"S00135507",183,152,148,3,4,-,4,4,-,19,1
"S00135508",67,55,47,-,4,-,-,-,-,11,-
"S00135509",125,117,110,-,8,-,-,-,-,8,1
"S00135510",111,90,90,-,-,-,-,2,-,22,-
"S00135511",120,102,102,1,-,-,-,-,-,17,-
"S00135512",120,107,100,-,7,-,-,1,-,12,-
"S00135513",111,83,68,-,15,-,-,-,-,28,-
"S00135514",113,89,79,-,10,-,1,1,-,22,-
"S00135515",167,142,127,-,15,-,-,-,-,22,-
"S00135516",152,121,103,-,18,-,1,-,1,29,-
"S00135517",113,92,78,-,13,2,-,-,-,21,-
"S00135518",83,78,77,-,2,-,-,2,-,3,-
"S00135519",143,135,133,-,2,-,-,-,-,8,-
"S00135520",145,132,127,-,5,-,-,4,-,10,3
"S00135521",118,108,92,1,12,3,-,2,-,5,3
"S00135522",92,79,67,1,10,1,-,-,-,9,-
"S00135523",71,57,57,-,-,-,-,-,-,10,-
"S00135524",111,94,90,-,3,1,-,-,-,18,1
"S00135525",117,102,94,-,6,-,1,4,-,10,-
