Scotland's Census 2022 - National Records of Scotland
Table UV206 - Passports held
All people

,"All people","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: EU member countries","Europe: Rest of Europe","Africa","Middle East and Asia","Antarctica and Oceania","No Passport","The Americas and the Caribbean"
"S00162726",79,57,55,-,-,-,1,-,-,20,-
"S00162727",90,77,74,-,3,-,-,-,-,17,-
"S00162728",68,61,55,-,4,-,-,-,-,13,-
"S00162729",146,129,128,-,-,-,-,-,-,17,-
"S00162730",95,61,56,-,5,-,-,-,-,34,-
"S00162731",157,124,121,-,3,-,1,-,-,36,-
"S00162732",110,81,69,2,4,-,-,-,-,31,-
"S00162733",85,68,68,-,-,-,1,-,-,16,-
"S00162734",187,130,126,-,4,-,-,3,-,54,-
"S00162735",187,159,161,3,2,-,-,-,1,23,-
"S00162736",126,100,100,-,-,-,-,-,-,25,-
"S00162737",76,59,57,-,1,-,-,-,-,16,-
"S00162738",142,120,115,-,6,-,-,-,-,22,-
"S00162739",142,102,97,1,4,-,-,-,-,39,1
"S00162740",102,82,73,-,9,-,-,-,-,18,-
"S00162741",87,71,74,-,-,-,-,-,-,16,-
"S00162742",130,94,86,-,8,-,-,1,-,35,-
"S00162743",135,117,116,-,-,-,-,-,-,22,-
"S00162744",107,98,96,-,4,-,-,-,-,7,-
"S00162745",84,66,65,1,-,-,-,-,-,18,-
"S00162746",68,44,43,-,-,-,-,-,-,24,-
"S00162747",156,131,127,1,1,-,-,-,-,27,2
"S00162748",135,122,114,2,6,-,-,-,-,12,-
"S00162749",127,88,85,-,2,1,-,1,3,36,-
"S00162750",72,66,63,-,3,-,-,2,-,5,-
"S00162751",63,60,60,-,-,-,-,-,-,2,1
"S00162752",74,69,64,5,-,-,-,-,-,4,-
"S00162753",98,63,61,-,-,-,-,-,-,35,-
"S00162754",113,98,98,-,-,-,-,-,-,15,-
"S00162755",122,103,101,-,2,-,-,-,-,19,-
"S00162756",152,139,135,-,3,1,-,-,-,13,-
"S00162757",157,126,122,-,6,-,-,2,-,25,4
"S00162758",130,88,84,1,3,-,-,-,-,42,-
"S00162759",146,128,121,-,4,-,-,4,1,15,-
"S00162760",87,69,64,-,5,-,-,-,-,16,-
"S00162761",99,85,81,-,-,-,-,-,-,13,1
"S00162762",93,79,79,-,-,-,-,2,1,12,-
"S00162763",154,120,117,1,1,1,-,-,1,33,-
"S00162764",106,80,79,-,1,-,-,-,-,26,-
"S00162765",110,99,97,-,1,1,-,-,-,10,-
"S00162766",72,63,56,1,5,-,-,-,-,12,-
"S00162767",73,54,54,-,-,-,-,-,-,18,1
"S00162768",119,93,89,-,4,-,-,-,-,29,-
"S00162769",143,102,102,-,-,-,-,-,-,49,-
"S00162770",116,104,93,-,7,-,-,-,-,12,-
"S00162771",134,118,117,2,2,-,-,-,-,12,-
"S00162772",78,56,59,-,1,-,-,-,-,21,1
"S00162773",80,68,65,-,3,-,-,1,-,11,-
"S00162774",112,94,90,4,-,-,2,1,-,16,-
"S00162775",121,93,90,-,3,-,-,-,-,27,1
"S00162776",87,73,69,-,4,-,-,-,-,12,4
"S00162777",140,91,88,1,1,-,-,-,-,49,-
"S00162778",167,137,136,1,4,-,-,-,1,28,1
"S00162779",116,72,72,-,-,-,-,-,-,39,1
"S00162780",97,90,89,-,1,-,-,-,-,7,-
"S00162781",136,117,113,-,4,-,-,-,-,21,-
"S00162782",121,100,92,2,5,-,-,-,-,21,-
"S00162783",128,95,93,-,-,-,-,-,-,33,-
"S00162784",120,94,90,-,3,1,-,-,-,29,-
"S00162785",72,61,60,-,1,-,-,-,-,12,-
"S00162786",73,69,67,-,2,-,-,-,-,2,2
"S00162787",82,75,72,1,2,-,-,-,-,7,-
"S00162788",182,126,123,-,3,-,-,-,1,54,1
"S00162789",65,55,50,1,-,-,-,-,-,9,-
"S00162790",68,61,61,-,-,-,-,-,-,4,-
"S00162791",85,59,53,-,6,-,-,-,-,25,1
"S00162792",131,108,106,1,1,-,-,1,-,18,-
"S00162793",75,64,64,-,-,-,-,-,-,13,2
"S00162794",120,89,89,-,-,-,-,-,-,30,1
"S00162795",122,107,107,-,-,-,-,-,-,14,1
"S00162796",125,89,89,-,4,-,-,-,2,28,-
"S00162797",72,50,50,-,-,-,1,1,-,21,1
"S00162798",121,96,97,-,1,-,-,-,-,24,-
"S00162799",121,114,114,-,-,-,-,2,1,4,-
"S00162800",111,94,92,-,2,-,-,-,-,20,2
"S00162801",161,122,120,-,-,-,-,-,-,37,2
"S00162802",153,131,127,3,1,-,-,-,-,19,-
"S00162803",163,107,106,-,1,-,-,2,-,53,1
"S00162804",71,50,50,-,-,-,-,-,-,21,-
"S00162805",67,60,62,-,-,-,-,-,-,2,-
"S00162806",73,50,44,-,6,-,-,-,-,21,-
"S00162807",147,131,118,-,12,-,-,-,1,15,-
"S00162808",137,92,87,-,4,-,-,1,-,39,1
"S00162809",65,52,52,-,-,-,-,-,-,10,1
"S00162810",133,115,104,-,11,-,-,-,-,18,-
"S00162811",129,91,85,2,4,-,1,-,-,35,-
"S00162812",103,83,83,-,-,-,-,-,-,20,-
"S00162813",200,186,179,-,7,-,-,-,-,14,-
"S00162814",82,56,53,-,1,-,-,-,-,29,-
"S00162815",103,63,59,-,4,-,-,-,-,39,-
"S00162816",179,137,135,-,1,2,-,-,1,43,3
"S00162817",130,123,120,-,-,4,-,-,-,7,-
"S00162818",64,55,50,-,5,-,-,1,-,11,-
"S00162819",104,78,79,-,1,-,-,-,-,24,-
"S00162820",65,57,56,-,1,-,-,-,-,8,-
"S00162821",98,83,84,3,-,-,-,-,-,15,-
"S00162822",136,113,111,1,1,-,-,-,-,23,-
"S00162823",92,78,77,-,1,-,-,-,-,14,-
"S00162824",114,74,74,-,-,-,-,-,1,39,-
"S00162825",105,88,87,-,1,-,-,1,-,14,2
"S00162826",169,132,131,2,1,-,-,-,-,35,-
"S00162827",88,52,47,-,5,-,-,-,1,36,-
"S00162828",80,54,51,-,5,-,-,-,-,26,-
"S00162829",91,78,75,-,3,-,-,-,-,13,-
"S00162830",105,89,87,1,-,-,-,1,-,14,-
"S00162831",101,67,67,-,-,-,-,-,-,30,-
"S00162832",117,86,86,-,-,-,-,-,1,26,-
"S00162833",103,82,80,-,1,-,1,1,-,19,-
"S00162834",95,69,69,-,-,-,-,-,-,26,-
"S00162835",80,46,45,-,1,-,-,-,-,34,-
"S00162836",155,127,126,-,1,-,1,-,-,27,-
"S00162837",60,43,43,-,-,-,1,-,-,15,-
"S00162838",113,91,90,-,-,-,-,-,-,22,-
"S00162839",99,73,73,-,-,-,-,-,-,23,-
"S00162840",96,85,79,1,1,-,-,-,-,9,-
"S00162841",114,82,82,-,-,-,-,-,-,32,-
"S00162842",109,86,81,2,4,-,-,1,2,22,-
"S00162843",157,141,134,2,4,-,1,1,-,15,2
"S00162844",105,85,84,-,1,-,-,-,-,21,-
"S00162845",115,100,98,1,2,-,-,-,-,13,1
"S00162846",92,46,46,-,-,-,-,-,-,43,-
"S00162847",124,75,75,-,-,-,-,-,-,49,-
"S00162848",121,104,104,-,-,-,-,-,-,15,-
"S00162849",76,59,59,-,-,-,-,-,-,16,-
"S00162850",95,69,66,-,2,-,-,-,-,24,-
"S00162851",152,65,68,-,1,-,-,-,-,83,-
"S00162852",120,77,74,-,3,-,-,2,-,46,-
"S00162853",154,119,114,-,6,-,-,1,-,33,-
"S00162854",165,96,81,-,15,-,-,-,-,69,-
"S00162855",77,52,52,-,-,-,-,-,-,25,-
"S00162856",105,77,75,1,1,-,-,-,1,27,-
"S00162857",98,76,69,-,7,-,-,-,-,21,1
"S00162858",139,101,89,2,6,2,1,-,-,37,-
"S00162859",89,60,60,-,-,-,-,-,-,29,-
"S00162860",125,79,73,-,6,-,-,-,-,46,-
"S00162861",94,67,66,-,2,-,-,-,-,27,-
"S00162862",86,54,53,-,2,-,-,-,-,32,-
"S00162863",108,82,81,-,2,-,-,-,-,26,-
"S00162864",89,60,60,-,-,-,-,-,-,29,-
"S00162865",111,71,66,-,5,-,-,-,-,41,-
"S00162866",202,141,137,-,4,1,-,-,-,61,-
"S00162867",113,76,76,-,-,-,-,-,-,37,-
"S00162868",129,82,79,-,1,-,-,1,1,45,-
"S00162869",159,136,134,-,1,-,-,-,3,19,2
"S00162870",69,41,40,1,-,-,-,-,-,28,-
"S00162871",90,73,71,1,2,-,-,-,-,17,-
"S00162872",159,140,141,-,1,-,-,2,-,14,2
"S00162873",143,123,122,1,-,-,-,-,-,20,-
"S00162874",98,72,70,-,2,-,-,-,-,25,1
"S00162875",182,138,133,-,5,-,-,1,-,43,-
"S00162876",88,63,63,-,2,-,-,-,-,27,-
"S00162877",131,96,86,2,9,-,-,2,-,34,-
"S00162878",161,138,137,1,-,1,-,-,-,23,-
"S00162879",70,31,29,-,2,-,-,-,-,39,-
"S00162880",86,65,64,-,1,-,-,-,-,24,1
"S00162881",87,77,74,-,3,-,-,-,-,10,-
"S00162882",90,80,80,-,-,-,-,-,-,10,-
"S00162883",84,58,58,-,-,-,-,-,-,21,1
"S00162884",114,83,84,-,1,-,-,-,-,24,-
"S00162885",64,50,47,-,1,-,-,-,-,11,3
"S00162886",163,111,106,-,1,-,-,-,-,48,-
"S00162887",101,85,85,-,-,-,-,-,-,16,-
"S00162888",82,59,59,-,-,-,-,-,1,22,-
"S00162889",164,121,117,-,4,1,1,-,-,42,-
"S00162890",130,102,99,-,3,-,1,-,-,27,-
"S00162891",68,41,40,-,2,-,-,-,-,27,-
"S00162892",117,97,99,-,4,-,-,-,-,19,4
"S00162893",92,74,74,-,1,-,-,-,-,18,-
"S00162894",184,133,119,1,13,-,-,-,1,54,-
"S00162895",196,162,158,-,3,1,-,-,-,34,-
"S00162896",126,109,103,-,6,-,-,1,-,16,-
"S00162897",112,89,87,2,-,-,-,-,-,23,-
"S00162898",141,94,91,-,3,-,-,-,-,43,1
"S00162899",195,156,153,1,4,1,-,-,-,36,-
"S00162900",87,81,78,-,3,-,-,-,-,9,-
"S00162901",65,58,58,-,-,-,-,-,-,7,-
"S00162902",122,96,92,3,-,1,1,-,-,21,-
"S00162903",112,80,79,-,1,-,-,-,-,32,-
"S00162904",182,141,137,1,3,-,-,1,-,40,-
"S00162905",104,91,90,1,-,-,-,-,1,12,-
"S00162906",104,93,88,1,4,-,-,-,-,10,-
"S00162907",88,68,67,-,1,-,-,-,-,23,-
"S00162908",70,56,54,1,1,-,-,-,-,13,1
"S00162909",124,97,95,1,-,-,-,1,-,26,-
"S00162910",94,77,76,-,1,-,-,-,-,17,-
"S00162911",63,49,48,-,-,-,-,-,-,14,-
"S00162912",95,67,62,-,5,-,-,-,-,28,-
"S00162913",133,84,84,-,-,-,-,-,-,52,-
"S00162914",68,48,48,-,-,-,-,-,-,19,1
"S00162915",74,49,48,-,-,-,-,-,-,25,-
"S00162916",109,59,58,-,1,-,-,-,-,50,-
"S00162917",77,70,70,-,-,-,-,-,-,7,-
"S00162918",123,86,86,-,5,-,-,-,-,33,-
"S00162919",113,79,79,-,-,-,-,-,-,31,1
"S00162920",100,76,76,-,-,-,-,4,-,21,1
"S00162921",186,124,121,2,3,-,-,1,1,53,5
"S00162922",127,100,98,1,1,-,-,-,1,26,-
"S00162923",167,133,132,-,-,-,1,-,-,33,-
"S00162924",177,142,131,1,7,1,-,-,-,34,-
"S00162925",128,80,77,-,4,-,-,-,1,46,-
"S00162926",153,123,121,2,1,-,-,-,-,30,-
"S00162927",187,135,123,4,3,-,-,-,-,54,2
"S00162928",125,96,93,1,2,-,-,-,-,29,-
"S00162929",160,125,121,-,4,-,-,-,3,31,1
"S00162930",79,62,61,1,-,-,-,-,-,17,-
"S00162931",130,101,99,-,-,-,-,-,-,31,-
"S00162932",91,80,79,1,-,-,-,-,-,10,-
"S00162933",115,93,88,1,4,-,1,-,-,19,-
"S00162934",182,138,135,1,2,-,2,-,-,42,-
"S00162935",103,75,75,-,2,-,-,-,1,22,-
"S00162936",95,72,63,-,9,-,-,-,-,23,-
"S00162937",96,76,74,-,3,-,-,-,-,20,-
"S00162938",78,54,54,-,-,-,-,-,-,28,-
"S00162939",74,62,61,-,1,-,-,-,-,10,2
"S00162940",64,55,54,-,1,-,-,-,-,12,-
"S00162941",157,131,124,1,6,-,1,2,-,21,2
"S00162942",81,71,71,-,-,-,-,-,-,10,-
"S00162943",98,86,82,1,3,-,-,-,-,12,-
"S00162944",109,91,91,-,-,-,-,-,-,21,-
"S00162945",172,153,152,1,-,-,1,-,-,15,1
"S00162946",185,124,117,6,1,-,5,-,-,60,-
"S00162947",84,58,55,1,5,-,-,-,-,25,-
"S00162948",78,60,57,-,3,-,-,-,-,18,-
"S00162949",115,85,88,-,1,-,-,-,1,25,-
"S00162950",159,116,115,-,1,-,-,-,2,40,-
"S00162951",106,89,88,1,-,-,-,-,-,17,-
"S00162952",73,65,59,-,2,-,-,-,-,12,-
"S00162953",73,64,56,-,4,-,-,-,-,9,-
"S00162954",131,88,84,-,3,-,-,-,-,43,-
"S00162955",121,104,104,-,-,-,-,-,-,19,-
"S00162956",158,97,97,-,-,-,1,2,-,56,2
"S00162957",76,59,53,-,5,-,-,-,-,16,-
"S00162958",174,140,138,-,4,-,-,-,-,33,1
"S00162959",68,47,44,-,5,-,-,1,3,18,-
"S00162960",81,68,63,2,5,-,-,-,-,13,-
"S00162961",87,73,71,-,3,-,-,-,2,12,-
"S00162962",65,47,43,2,1,-,1,-,-,16,1
"S00162963",129,92,92,-,-,-,-,-,-,39,-
"S00162964",71,55,54,1,-,-,1,-,-,15,-
"S00162965",83,65,62,-,2,-,-,-,-,20,-
"S00162966",138,115,108,-,7,-,-,-,-,25,-
"S00162967",72,60,60,-,-,-,-,-,-,12,-
"S00162968",177,166,160,1,7,-,-,-,-,13,2
"S00162969",117,100,96,-,4,-,-,-,-,16,1
"S00162970",78,54,52,-,1,-,-,-,-,22,2
"S00162971",115,100,99,-,1,-,-,-,-,15,-
"S00162972",117,87,79,-,8,-,-,-,-,33,-
"S00162973",124,89,89,-,-,-,-,-,1,34,-
"S00162974",103,64,64,-,-,-,-,-,-,39,-
"S00162975",67,43,43,-,-,-,-,-,-,26,-
"S00162976",100,85,83,2,1,-,-,-,-,14,2
"S00162977",126,98,101,-,1,-,1,-,-,23,-
"S00162978",124,71,71,-,-,-,-,-,-,53,-
"S00162979",72,58,53,-,2,-,-,-,-,13,-
"S00162980",191,165,161,-,3,1,-,-,-,26,-
"S00162981",128,96,91,-,5,-,-,-,-,32,-
"S00162982",88,77,79,-,1,-,-,-,-,11,1
"S00162983",109,92,85,1,3,-,1,-,-,15,1
"S00162984",108,95,92,-,5,-,-,-,-,17,-
"S00162985",85,75,70,1,4,-,-,-,-,8,1
"S00162986",129,82,82,-,-,-,-,-,-,47,-
"S00162987",144,113,111,2,-,-,-,-,-,31,-
"S00162988",97,88,85,-,3,-,-,1,-,8,-
"S00162989",122,91,88,1,2,-,-,1,-,31,-
"S00162990",157,104,98,2,4,-,1,-,-,50,1
"S00162991",122,77,75,-,2,-,-,-,-,45,-
"S00162992",83,62,56,4,1,2,-,-,-,18,-
"S00162993",118,97,91,-,6,-,-,-,-,20,-
"S00162994",107,91,89,2,1,-,-,-,-,13,-
"S00162995",102,90,85,-,-,-,-,-,1,14,-
"S00162996",115,81,78,-,4,-,-,-,2,32,-
"S00162997",124,102,102,-,-,-,-,-,-,22,-
"S00162998",186,150,149,-,-,-,1,-,-,34,1
"S00162999",194,133,131,2,-,-,-,-,2,61,-
"S00163000",78,57,55,-,2,-,-,-,-,21,-
"S00163001",121,91,88,-,3,-,2,-,-,28,-
"S00163002",80,70,68,-,2,1,-,-,-,10,-
"S00163003",105,88,86,-,1,-,-,1,-,15,-
"S00163004",101,83,76,-,7,-,1,-,-,17,-
"S00163005",135,99,97,-,4,-,-,1,-,33,1
"S00163006",92,61,62,-,-,-,-,-,-,31,-
"S00163007",89,80,71,-,4,-,-,-,-,12,-
"S00163008",176,157,153,-,4,-,-,1,-,17,1
"S00163009",180,105,103,-,2,-,-,-,-,74,2
"S00163010",186,140,137,-,3,-,-,-,-,46,-
"S00163011",189,150,150,-,-,-,-,-,1,38,-
"S00163012",141,115,115,1,-,-,-,-,-,25,-
"S00163013",214,180,177,-,1,-,-,-,-,38,-
"S00163014",165,138,134,2,2,-,-,-,-,25,2
"S00163015",66,49,44,-,5,-,-,1,-,16,-
"S00163016",134,109,108,1,-,-,-,-,1,24,-
"S00163017",78,65,65,-,-,-,-,-,-,13,-
"S00163018",145,121,119,2,-,-,-,3,-,20,-
"S00163019",179,156,152,3,-,-,-,-,1,25,-
"S00163020",155,123,115,1,7,-,-,4,-,28,-
"S00163021",125,96,91,-,5,-,-,1,-,28,-
"S00163022",78,63,62,-,1,-,4,-,-,13,-
"S00163023",82,44,42,-,2,-,-,-,-,35,-
"S00163024",171,137,133,-,6,-,-,-,-,34,-
"S00163025",149,134,132,2,-,-,-,-,-,15,-
"S00163026",99,88,86,1,-,-,-,-,-,12,-
"S00163027",125,100,100,-,-,-,-,-,-,25,-
"S00163028",96,81,80,-,-,-,2,-,-,17,-
"S00163029",90,79,68,-,2,1,-,-,-,14,-
"S00163030",141,123,123,-,-,-,-,2,-,17,-
"S00163031",75,53,49,2,3,-,-,-,-,22,-
"S00163032",101,84,84,-,-,-,-,-,-,17,-
"S00163033",79,66,60,-,5,-,-,-,-,13,-
"S00163034",92,73,64,-,13,-,-,-,1,18,-
"S00163035",124,97,93,3,-,-,-,-,-,27,-
"S00163036",144,131,125,1,2,-,-,-,-,11,2
"S00163037",179,157,156,-,-,1,-,-,-,19,-
"S00163038",116,74,68,-,6,-,-,-,-,43,-
"S00163039",107,84,77,-,4,-,-,-,1,24,2
"S00163040",87,65,59,4,2,-,-,-,-,20,-
"S00163041",96,87,84,-,2,1,-,-,1,7,-
"S00163042",125,113,106,-,6,-,-,-,-,12,-
"S00163043",117,98,92,-,8,-,-,1,-,17,-
"S00163044",91,73,72,-,-,-,-,-,-,18,-
"S00163045",120,95,92,2,1,-,-,-,-,23,-
"S00163046",102,85,78,1,6,-,2,-,-,16,-
"S00163047",195,103,84,-,19,-,2,-,-,91,2
"S00163048",108,84,81,-,3,-,-,-,-,24,-
"S00163049",71,42,39,-,2,-,-,-,-,29,-
"S00163050",116,103,93,-,8,-,2,1,-,11,-
"S00163051",123,96,95,2,3,-,-,-,-,23,1
"S00163052",172,123,117,-,3,-,7,-,-,43,-
"S00163053",107,92,91,1,-,-,-,-,-,15,-
"S00163054",160,80,61,-,19,-,-,-,-,80,-
"S00163055",131,79,57,1,21,-,2,-,-,49,-
"S00163056",201,174,167,3,4,-,-,1,-,26,-
"S00163057",108,84,81,-,5,-,-,1,-,24,-
"S00163058",119,99,99,-,-,-,-,-,-,27,-
"S00163059",139,84,70,-,10,-,-,-,-,55,-
"S00163060",97,73,65,1,7,-,1,1,-,22,-
"S00163061",152,126,116,-,10,-,-,-,-,24,-
"S00163062",87,68,63,4,4,-,-,-,-,15,2
"S00163063",124,97,87,-,12,-,-,3,-,22,-
"S00163064",97,59,52,-,7,-,-,-,-,35,-
"S00163065",117,99,95,1,2,-,-,-,-,18,-
"S00163066",60,32,21,-,11,-,-,-,-,28,-
"S00163067",124,69,54,-,14,-,-,-,-,58,-
"S00163068",114,96,90,6,-,-,-,-,-,17,1
"S00163069",123,85,79,1,5,-,-,-,-,37,1
"S00163070",79,51,39,-,13,-,-,-,-,28,-
"S00163071",102,59,28,-,27,-,-,-,-,44,-
"S00163072",98,75,64,-,6,-,-,-,-,25,-
"S00163073",89,27,27,-,3,-,1,-,-,58,-
"S00163074",128,77,54,-,23,-,4,8,-,38,2
"S00163075",167,119,101,1,17,-,-,-,1,47,-
"S00163076",78,39,31,-,10,-,-,2,-,37,-
"S00163077",69,52,41,-,12,-,-,-,-,14,-
"S00163078",91,75,65,1,12,-,-,-,-,17,-
"S00163079",140,104,98,-,6,-,-,-,-,40,-
"S00163080",72,55,53,-,2,-,-,-,-,17,-
"S00163081",89,68,64,2,3,-,-,-,-,21,-
"S00163082",77,36,29,-,7,-,-,-,-,37,-
"S00163083",178,152,150,2,4,-,-,-,-,23,-
"S00163084",127,90,72,-,18,-,-,-,-,37,-
"S00163085",158,137,131,2,4,-,-,-,1,20,-
"S00163086",97,68,67,-,1,-,-,1,-,27,-
"S00163087",148,111,87,1,23,-,-,-,-,37,-
"S00163088",94,78,78,-,-,-,-,-,-,12,-
"S00163089",101,70,63,-,4,-,-,-,-,27,1
"S00163090",71,55,55,-,3,-,-,-,-,13,-
"S00163091",99,60,56,2,4,-,-,-,-,39,-
"S00163092",161,139,136,3,-,-,-,-,-,20,-
"S00163093",137,103,103,-,-,-,-,1,-,30,-
"S00163094",60,50,50,-,-,-,-,-,-,10,-
"S00163095",105,65,63,1,-,-,-,-,-,40,-
"S00163096",164,130,130,-,-,-,-,1,-,33,-
"S00163097",122,94,86,2,3,-,-,2,-,25,1
"S00163098",129,106,105,-,1,-,1,2,-,22,-
"S00163099",100,83,79,-,4,-,-,-,-,17,-
"S00163100",180,140,130,-,9,-,-,-,-,36,-
"S00163101",141,102,88,-,10,-,2,1,-,39,-
"S00163102",174,150,145,-,4,-,-,-,-,24,-
"S00163103",173,147,139,-,8,-,-,-,-,25,-
"S00163104",80,41,39,1,4,-,-,-,-,35,-
"S00163105",119,102,91,-,11,-,-,2,-,16,-
"S00163106",79,53,42,-,14,-,-,-,-,26,-
"S00163107",94,61,46,-,12,-,-,2,-,34,-
"S00163108",177,154,150,-,3,-,-,-,-,22,1
"S00163109",82,54,46,1,8,-,-,8,-,20,-
"S00163110",111,73,57,-,13,-,-,-,-,38,-
"S00163111",126,111,110,-,2,-,3,-,-,12,-
"S00163112",153,99,87,-,10,4,-,-,2,49,-
"S00163113",157,136,130,-,6,-,-,1,-,20,-
"S00163114",70,61,52,-,12,-,-,-,-,9,-
"S00163115",125,108,107,-,4,-,-,1,-,12,-
"S00163116",129,86,68,-,15,-,-,-,1,42,-
"S00163117",65,38,33,-,5,-,-,-,-,26,1
"S00163118",121,106,93,-,13,-,-,-,-,14,-
"S00163119",110,65,53,-,11,-,-,-,-,45,-
"S00163120",155,106,97,-,9,-,-,-,-,48,1
"S00163121",87,54,49,-,3,-,-,-,-,33,-
"S00163122",71,37,26,-,11,-,-,1,-,33,-
"S00163123",156,97,77,-,20,-,-,-,-,59,-
"S00163124",144,136,130,-,6,-,-,-,-,11,-
"S00163125",121,85,55,-,28,2,-,-,-,36,-
"S00163126",81,71,69,-,-,-,1,-,-,9,-
"S00163127",130,69,52,-,15,-,-,4,-,55,-
"S00163128",81,69,68,-,2,-,-,-,-,12,-
"S00163129",125,120,120,-,-,-,-,-,-,5,-
"S00163130",110,89,84,-,4,-,1,2,1,20,-
"S00163131",84,76,74,-,2,-,-,-,-,10,-
"S00163132",149,125,122,2,2,-,-,-,1,22,1
"S00163133",121,99,98,-,-,-,-,-,-,22,-
"S00163134",102,93,93,-,-,-,-,1,-,11,-
"S00163135",69,52,31,-,18,-,-,-,-,24,-
"S00163136",104,72,74,1,1,-,-,-,-,32,-
"S00163137",119,73,64,1,11,-,4,-,-,40,1
"S00163138",120,90,74,-,16,-,-,-,-,30,-
"S00163139",115,82,80,-,1,-,-,-,-,32,-
"S00163140",107,82,57,-,18,4,-,1,-,24,-
"S00163141",148,109,88,-,16,1,-,4,-,30,1
"S00163142",93,62,51,-,15,-,-,-,-,27,-
"S00163143",85,69,60,-,9,-,-,-,1,18,-
"S00163144",62,38,38,-,-,-,-,-,-,24,-
"S00163145",65,40,35,-,5,-,-,-,-,27,-
"S00163146",186,172,165,-,4,-,-,-,-,17,-
"S00163147",149,120,109,2,6,-,-,5,-,27,-
"S00163148",132,119,111,-,8,-,-,-,-,12,1
"S00163149",119,86,85,1,-,-,-,2,-,31,-
"S00163150",120,103,92,-,8,-,-,-,-,20,-
"S00163151",64,55,51,-,4,-,-,-,-,6,-
"S00163152",142,114,105,-,8,-,-,1,-,24,-
"S00163153",154,126,113,1,12,-,-,3,-,26,-
"S00163154",148,107,92,-,13,-,-,-,-,43,-
"S00163155",65,60,60,-,-,-,-,-,-,5,-
"S00163156",77,61,54,-,7,-,-,4,-,11,-
"S00163157",124,80,80,-,-,-,-,1,-,43,-
"S00163158",126,92,82,3,7,-,-,-,-,34,-
"S00163159",122,88,80,-,5,-,-,1,-,34,-
"S00163160",115,96,88,-,8,-,-,-,1,18,-
"S00163161",144,127,124,1,2,1,-,1,-,19,1
"S00163162",109,81,69,-,12,-,-,-,-,28,-
"S00163163",61,48,48,-,-,-,-,-,-,13,-
"S00163164",172,142,136,-,3,-,-,-,-,30,-
"S00163165",106,72,62,-,8,-,1,1,-,34,-
"S00163166",83,63,63,-,-,-,-,1,-,18,1
"S00163167",81,58,58,1,3,-,-,-,-,23,-
"S00163168",132,78,80,2,-,-,-,1,-,48,-
"S00163169",69,47,41,-,5,1,-,-,-,22,-
"S00163170",91,68,57,-,11,-,-,-,-,20,1
"S00163171",153,136,133,2,-,1,-,-,-,20,-
"S00163172",85,61,58,-,1,-,-,-,1,20,-
"S00163173",173,150,144,-,6,-,-,1,-,26,-
"S00163174",98,74,67,-,11,2,-,-,-,22,-
"S00163175",114,85,78,-,7,-,-,4,-,27,-
"S00163176",79,53,43,1,5,-,-,-,-,26,-
"S00163177",192,130,127,-,2,-,-,-,-,62,-
"S00163178",108,90,90,-,2,-,-,-,-,17,-
"S00163179",107,91,79,1,11,-,-,1,-,15,-
"S00163180",96,87,86,-,-,-,-,-,-,7,2
"S00163181",129,106,83,-,20,-,-,-,-,26,-
"S00163182",104,80,76,-,4,-,-,3,-,21,-
"S00163183",154,125,119,1,7,-,-,-,3,26,1
"S00163184",147,130,123,-,7,-,-,-,-,17,-
"S00163185",130,99,97,-,2,-,-,4,-,26,-
"S00163186",76,58,40,2,11,1,-,-,-,22,-
"S00163187",129,90,79,-,10,1,-,-,-,35,1
"S00163188",118,100,83,4,13,-,1,3,-,14,-
"S00163189",70,51,44,-,7,-,-,-,-,19,-
"S00163190",89,65,48,2,17,1,-,-,-,22,-
"S00163191",120,97,87,-,8,4,1,10,-,12,-
"S00163192",77,58,46,-,12,-,-,-,-,17,1
"S00163193",90,73,71,-,2,-,-,-,-,16,1
"S00163194",108,86,81,-,7,-,-,-,-,21,-
"S00163195",68,47,35,1,14,-,-,-,-,14,-
"S00163196",136,106,99,-,5,-,-,-,-,30,-
"S00163197",90,59,56,1,5,-,-,-,-,28,-
"S00163198",136,109,108,-,1,-,-,-,-,24,1
"S00163199",96,77,77,-,-,-,-,-,-,21,1
"S00163200",66,44,29,-,14,-,-,-,-,26,-
"S00163201",109,91,68,2,21,-,-,-,-,18,-
"S00163202",110,79,73,-,7,-,-,2,-,29,-
"S00163203",80,63,55,-,8,-,-,-,-,17,-
"S00163204",93,67,53,-,11,-,-,5,1,19,1
"S00163205",102,79,72,-,7,-,-,-,-,25,-
"S00163206",161,129,123,-,9,-,-,5,-,27,-
"S00163207",123,112,110,-,2,-,-,-,-,11,-
"S00163208",116,90,87,-,3,-,-,-,-,26,-
"S00163209",118,75,68,-,7,-,-,-,-,43,-
"S00163210",76,57,48,-,11,-,-,7,2,6,1
"S00163211",67,44,39,-,1,-,-,-,-,26,-
"S00163212",121,102,97,-,5,-,-,-,-,19,-
"S00163213",106,81,75,1,5,-,-,2,1,22,-
"S00163214",127,108,101,-,4,-,-,-,-,23,-
"S00163215",104,85,74,-,11,-,1,-,-,14,1
"S00163216",95,76,72,-,4,-,-,-,-,17,-
"S00163217",73,57,45,-,8,-,-,1,-,19,1
"S00163218",82,64,47,5,8,-,-,-,-,22,-
"S00163219",124,107,101,-,6,-,2,-,-,15,-
"S00163220",761,581,530,-,50,-,-,2,-,160,15
