OA_Code,Latitude,Longitude,All occupied Households,No Cars or Vans,One Car or Van,Two Cars or Vans,Three Cars or Vans,Four or More Cars or Vans
S00135467,57.18898059,-2.124748574,42,7,24,11,2,1
S00135468,57.188028,-2.206607789,45,3,30,14,2,-
S00135469,57.18772983,-2.107670528,59,1,36,18,2,1
S00135470,57.18797103,-2.128186423,53,1,18,25,3,3
S00135471,57.18782565,-2.120807095,69,12,41,15,-,1
S00135472,57.1881077,-2.117035856,69,10,35,14,2,1
S00135473,57.18763547,-2.112815548,53,4,21,26,1,-
S00135474,57.18810244,-2.131396526,49,1,28,17,2,-
S00135475,57.18736261,-2.116504079,40,8,16,11,1,1
S00135476,57.18739745,-2.107686103,49,3,23,24,1,-
S00135477,57.18677179,-2.205757024,47,1,20,22,4,-
S00135478,57.18287651,-2.110567811,72,42,23,6,1,-
S00135479,57.18691496,-2.124294909,50,-,11,29,9,-
S00135480,57.18369305,-2.13020632,69,9,38,14,4,-
S00135481,57.18611602,-2.114283294,60,5,39,14,4,-
S00135482,57.18634678,-2.11731152,41,11,18,11,1,-
S00135483,57.18619846,-2.112529915,57,10,33,17,-,-
S00135484,57.18562766,-2.127020249,37,2,21,12,5,2
S00135485,57.18504671,-2.114660479,78,6,45,20,3,2
S00135486,57.18631728,-2.129040961,44,-,14,27,3,-
S00135487,57.16014414,-2.251237615,71,4,23,26,16,7
S00135488,57.18634429,-2.119941974,48,1,26,15,2,1
S00135489,57.18455749,-2.202998561,78,24,41,12,1,-
S00135490,57.18619057,-2.100684594,58,10,25,23,5,-
S00135491,57.18474998,-2.176729186,72,13,44,14,1,-
S00135492,57.18526548,-2.120831809,61,5,34,16,6,-
S00135493,57.18470778,-2.204488264,79,7,40,27,4,2
S00135494,57.18495994,-2.100648152,42,8,18,14,1,-
S00135495,57.18495849,-2.102434809,43,4,20,17,-,2
S00135496,57.18524099,-2.118250976,41,4,18,12,5,2
S00135497,57.18468582,-2.125660481,85,4,26,44,12,1
S00135498,57.18465217,-2.176017368,79,11,53,15,-,-
S00135499,57.18463104,-2.117306071,51,8,24,13,5,2
S00135500,57.18191302,-2.193836411,41,3,14,22,1,-
S00135501,57.18475067,-2.1407149,66,6,32,21,3,-
S00135502,57.18426646,-2.175618502,82,13,55,14,-,-
S00135503,57.18448369,-2.100828826,47,10,25,9,2,1
S00135504,57.18348103,-2.143389951,75,10,44,14,6,-
S00135505,57.18106319,-2.11901505,69,6,38,22,3,-
S00135506,57.18409224,-2.134972047,43,5,22,13,3,-
S00135507,57.18310987,-2.088170191,58,2,23,32,4,3
S00135508,57.18419626,-2.180762992,38,4,25,12,-,-
S00135509,57.18382112,-2.136476439,54,7,24,23,2,1
S00135510,57.18364059,-2.14524334,65,7,45,12,1,-
S00135511,57.18387081,-2.132026641,81,13,52,14,1,2
S00135512,57.18404133,-2.113879848,57,9,26,18,5,1
S00135513,57.18243012,-2.184525945,63,23,27,11,4,-
S00135514,57.18347665,-2.181437717,62,14,35,8,2,1
S00135515,57.18340717,-2.0990393,82,15,40,24,2,3
S00135516,57.18358936,-2.20173601,64,4,30,30,1,-
S00135517,57.18357045,-2.178675569,66,11,40,14,-,-
S00135518,57.18355452,-2.094341616,41,6,24,8,2,1
S00135519,57.18101462,-2.147763855,54,-,16,29,6,1
S00135520,57.18046116,-2.086360879,70,6,34,19,4,3
S00135521,57.18379863,-2.176129102,74,21,35,14,3,1
S00135522,57.18343928,-2.132355949,51,2,36,13,4,-
S00135523,57.18154975,-2.096404198,42,15,25,3,1,-
S00135524,57.18260596,-2.146612269,72,9,42,18,5,-
S00135525,57.18268094,-2.202442367,45,1,13,35,-,-
S00135526,57.18220758,-2.176882452,63,10,40,14,2,-
S00135527,57.18304469,-2.102958854,40,12,21,6,1,-
