OA_Code,Latitude,Longitude,"All People, aged 3 and over","All People, 3 - 15","All People, 16 - 24","All People, 25 - 34","All People, 35 - 49","All People, 50 - 64","All People, 65 and over","Understands/Speaks/Reads/Writes Gaelic, Total","Understands/Speaks/Reads/Writes Gaelic, 3 - 15","Understands/Speaks/Reads/Writes Gaelic, 16 - 24","Understands/Speaks/Reads/Writes Gaelic, 25 - 34","Understands/Speaks/Reads/Writes Gaelic, 35 - 49","Understands/Speaks/Reads/Writes Gaelic, 50 - 64","Understands/Speaks/Reads/Writes Gaelic, 65 and over","No skills in Gaelic, Total","No skills in Gaelic, 3 - 15","No skills in Gaelic, 16 - 24","No skills in Gaelic, 25 - 34","No skills in Gaelic, 35 - 49","No skills in Gaelic, 50 - 64","No skills in Gaelic, 65 and over"
S00177027,55.77002062,-4.17558864,126,18,8,17,21,29,31,-,-,-,-,-,-,-,125,18,8,17,21,28,31
S00177028,55.77041495,-4.158838305,95,12,13,10,17,31,11,2,-,-,-,-,-,2,93,12,13,10,17,31,12
S00177029,55.77015045,-4.161103545,91,7,11,8,16,25,26,1,-,-,-,-,1,-,90,7,11,8,16,24,26
S00177030,55.76981455,-4.200783191,108,25,10,12,24,25,8,-,-,-,-,-,-,-,108,25,10,12,24,25,8
S00177031,55.77198648,-4.029734009,156,25,12,9,37,25,49,1,-,-,-,-,1,-,155,25,12,9,37,24,49
S00177032,55.76996631,-4.179667051,115,11,12,14,22,30,26,1,-,-,-,1,-,-,114,11,12,14,21,30,26
S00177033,55.77275759,-4.039069287,86,4,14,24,21,15,11,5,-,1,4,-,-,-,79,4,12,20,21,15,11
S00177034,55.77217395,-4.037412568,81,5,11,28,20,15,3,4,-,-,2,1,-,1,77,5,11,26,19,15,1
S00177035,55.77287301,-4.035902504,114,8,18,26,24,25,18,-,-,-,-,-,-,-,114,8,18,26,24,25,18
S00177036,55.76926174,-4.141540455,93,8,8,8,10,22,42,3,-,1,-,-,2,-,90,8,4,8,10,21,42
S00177037,55.77103251,-4.058445674,76,8,5,12,14,18,19,-,-,-,-,-,-,-,76,8,5,12,14,18,19
S00177038,55.77075099,-4.045166286,162,17,14,7,28,39,53,-,-,-,-,-,-,-,162,17,14,7,28,39,53
S00177039,55.77023954,-4.170833819,92,11,12,12,22,16,19,-,-,-,-,-,-,-,92,11,12,12,22,16,19
S00177040,55.77054666,-4.16259226,127,27,9,12,26,25,28,-,-,-,-,-,-,-,127,27,9,12,26,25,28
S00177041,55.77006499,-4.150608273,82,13,19,4,14,25,5,-,-,-,-,-,-,-,82,13,19,4,14,25,5
S00177042,55.7715728,-4.085561951,87,20,4,16,14,22,12,-,-,-,-,-,-,-,87,20,4,16,14,22,12
S00177043,55.77070057,-4.073908821,127,12,10,19,15,30,39,1,-,1,-,-,-,-,126,12,9,19,15,30,39
S00177044,55.76819617,-4.186726375,144,22,12,11,27,47,25,2,-,-,1,-,-,-,142,22,12,10,27,46,25
S00177045,55.77148675,-4.082687545,67,9,2,7,14,15,17,-,-,-,-,-,-,-,67,9,2,7,14,15,17
S00177046,55.7702106,-4.157168918,92,13,6,17,10,26,19,-,-,-,-,-,-,-,92,13,6,17,10,26,19
S00177047,55.76920629,-4.188042435,145,15,11,10,21,62,26,1,-,-,-,-,1,-,144,15,11,10,21,61,26
S00177048,55.77246505,-4.02633102,140,10,10,34,20,28,38,-,-,-,-,-,-,-,140,10,10,34,20,28,38
S00177049,55.77175494,-4.057702538,86,10,3,14,20,25,12,-,-,-,-,-,-,-,86,10,3,14,20,25,12
S00177050,55.76876071,-4.19085526,104,9,15,10,12,28,30,-,-,-,-,-,-,-,104,9,15,10,12,28,30
S00177051,55.77192798,-4.0419436,99,14,5,9,18,21,28,1,1,-,-,-,-,-,97,12,5,9,18,21,28
S00177052,55.77244834,-4.038208124,78,3,8,22,24,15,5,1,-,-,-,-,1,-,77,3,8,22,24,14,5
S00177053,55.743977,-4.106919903,163,20,8,13,30,49,43,4,-,-,-,-,-,4,161,20,8,13,30,49,41
S00177054,55.77104173,-4.079778089,97,10,5,13,23,20,26,4,-,-,-,1,-,-,95,10,5,13,18,20,24
