OA_Code,Latitude,Longitude,"All People, aged 3 and over","All People, 3 - 15","All People, 16 - 24","All People, 25 - 34","All People, 35 - 49","All People, 50 - 64","All People, 65 and over","Understands/Speaks/Reads/Writes Gaelic, Total","Understands/Speaks/Reads/Writes Gaelic, 3 - 15","Understands/Speaks/Reads/Writes Gaelic, 16 - 24","Understands/Speaks/Reads/Writes Gaelic, 25 - 34","Understands/Speaks/Reads/Writes Gaelic, 35 - 49","Understands/Speaks/Reads/Writes Gaelic, 50 - 64","Understands/Speaks/Reads/Writes Gaelic, 65 and over","No skills in Gaelic, Total","No skills in Gaelic, 3 - 15","No skills in Gaelic, 16 - 24","No skills in Gaelic, 25 - 34","No skills in Gaelic, 35 - 49","No skills in Gaelic, 50 - 64","No skills in Gaelic, 65 and over"
S00140369,56.48080491,-2.81655753,97,4,8,18,16,36,15,3,1,-,-,1,-,1,94,6,8,18,14,36,14
S00140370,56.4818973,-2.815752925,76,7,6,13,14,27,12,1,-,-,1,-,-,-,75,7,6,8,14,27,12
S00140371,56.48137613,-2.832010686,135,22,12,7,21,28,47,1,-,-,-,-,-,1,134,22,12,7,21,28,46
S00140372,56.48147858,-2.813844268,87,4,3,8,5,23,44,-,-,-,-,-,-,-,87,4,3,8,5,23,44
S00140373,56.48056512,-2.829687404,109,19,7,8,12,25,34,-,-,-,-,-,-,-,109,19,7,8,12,25,34
S00140374,56.48106981,-2.828107257,90,3,7,4,9,21,37,1,-,-,-,1,-,-,87,3,7,4,8,21,37
S00140375,56.48104189,-2.81877076,64,3,1,2,3,2,49,2,-,-,-,-,-,2,63,3,1,2,3,2,52
S00140376,56.47994478,-2.818925724,116,6,6,15,13,23,53,1,-,-,-,-,-,1,115,6,6,15,13,23,52
S00140377,56.47940848,-2.829337448,126,25,11,8,23,27,27,5,-,-,-,1,-,2,121,25,11,8,24,27,25
S00140378,56.47973597,-2.830075202,77,10,11,15,19,9,13,1,-,-,-,-,-,1,75,10,11,15,19,9,12
S00140379,56.47970363,-2.826843579,132,30,12,18,25,33,17,-,-,-,-,-,-,-,132,30,12,18,25,33,17
S00140380,56.47882578,-2.826451072,157,30,12,18,31,31,41,1,-,-,-,-,1,-,156,30,12,18,31,27,41
S00140381,56.47819277,-2.832444307,109,10,6,9,17,14,52,-,-,-,-,-,-,-,109,10,6,9,17,14,52
S00140382,56.47839982,-2.843034206,97,10,4,4,14,25,39,-,-,-,-,-,1,1,95,10,4,4,14,24,38
S00140383,56.4777822,-2.842695811,101,15,5,9,15,18,39,2,-,-,-,-,-,2,100,15,5,9,15,18,38
S00140384,56.47722287,-2.833721847,102,9,10,8,6,37,37,-,-,-,-,-,-,-,102,9,10,8,6,37,37
S00140385,56.4768673,-2.831814607,113,21,14,4,20,26,26,-,-,-,-,-,-,-,113,21,14,4,20,26,26
S00140386,56.47657023,-2.839909093,100,13,7,7,11,12,49,2,3,-,-,2,-,-,96,10,7,7,11,12,49
S00140387,56.47610104,-2.838875971,103,14,6,6,15,20,36,-,-,-,-,-,-,-,103,14,6,6,15,20,36
S00140388,56.47623343,-2.833894962,75,-,4,4,7,23,37,-,-,-,-,-,-,-,75,-,4,4,7,23,37
S00140389,56.47599084,-2.837899487,82,8,-,9,14,26,27,-,-,-,-,-,-,-,82,8,-,9,14,26,27
S00140390,56.47555001,-2.837987177,102,22,8,7,12,28,23,-,-,-,-,-,-,-,102,22,8,7,12,28,23
S00140391,56.6233934,-6.527556579,96,4,4,8,13,42,27,16,3,-,-,3,7,1,80,1,4,8,9,34,25
S00140392,56.60072038,-6.612752115,75,5,3,6,12,25,26,6,2,-,-,-,2,4,69,4,3,6,11,23,24
S00140393,56.6262294,-6.098779311,160,16,24,10,33,41,36,19,2,8,2,4,3,1,139,15,20,7,32,36,35
S00140394,56.59017268,-6.188116978,128,17,7,9,26,38,31,27,11,-,1,3,4,5,101,6,6,8,21,34,25
S00140395,56.62700352,-6.068110208,191,21,14,16,29,52,61,24,12,1,3,5,3,7,164,12,11,13,25,49,54
S00140396,56.62414893,-6.073169712,141,30,5,16,25,39,26,33,14,-,3,-,7,3,112,18,5,11,25,32,23
S00140397,56.6246696,-6.065509577,106,15,2,14,25,17,37,27,7,2,6,4,2,8,79,7,1,8,20,13,29
S00140398,56.62255685,-6.070436878,95,14,6,11,21,25,18,21,7,6,1,3,1,4,74,7,3,10,19,19,14
S00140399,56.62033089,-6.073051474,65,5,-,7,8,10,35,19,3,-,-,5,-,9,46,2,-,7,4,10,24
S00140400,56.61994839,-6.075391703,159,28,17,27,17,51,23,40,6,9,8,1,9,5,119,26,8,15,17,45,18
S00140401,56.58552275,-6.256884144,95,14,3,1,18,23,36,16,6,1,-,5,4,4,77,8,2,1,9,21,32
S00140402,56.61486831,-6.069330977,193,35,14,24,41,35,38,35,11,2,6,6,1,9,158,28,12,17,35,37,29
S00140403,56.61862289,-6.074677771,64,11,7,21,8,10,7,7,5,-,1,1,-,-,57,6,7,20,7,10,7
S00140404,56.5823557,-5.209341778,82,7,17,2,14,23,26,13,4,3,1,4,1,-,69,3,11,2,8,20,23
S00140405,56.58526581,-6.179473582,102,8,3,3,22,23,46,9,4,2,-,3,1,-,93,4,4,3,19,23,46
S00140406,56.57086588,-5.3742599,117,12,8,15,12,37,33,22,6,1,5,-,6,5,95,7,5,10,12,31,30
S00140407,56.55356679,-5.978282119,108,12,3,9,16,30,35,14,7,-,2,-,-,5,94,5,3,11,15,30,30
S00140408,56.53040781,-6.767015336,79,6,4,3,15,19,32,38,5,5,1,7,6,10,38,1,-,2,6,13,18
S00140409,56.43666678,-4.867728269,141,24,12,10,25,50,25,10,1,3,-,2,2,3,132,23,13,10,23,45,22
S00140410,56.5138796,-6.935342251,73,12,2,6,10,24,21,40,7,1,4,4,10,15,33,5,1,1,5,14,6
S00140411,56.48030712,-6.947411277,109,20,6,12,18,38,20,58,10,2,5,4,19,16,51,8,3,4,11,19,4
S00140412,56.51739624,-6.899995989,125,21,9,9,21,32,31,63,14,5,8,12,11,9,66,5,4,3,9,21,22
S00140413,56.49351524,-6.137674824,119,20,8,7,20,27,34,17,4,2,-,-,8,3,100,14,7,6,20,22,31
S00140414,56.50638852,-6.80289249,144,30,9,8,29,35,33,49,15,2,4,13,9,6,95,15,7,4,16,26,27
S00140415,56.53227214,-5.472374623,91,6,6,9,7,26,37,25,1,2,2,3,6,9,65,5,6,3,4,20,25
S00140416,56.55491507,-5.405639845,116,8,2,8,22,32,43,16,1,-,2,4,2,3,102,5,2,7,18,30,38
S00140417,56.53728564,-5.34445558,144,20,11,9,25,40,39,25,7,3,-,5,7,2,119,10,10,7,20,34,38
S00140418,56.47525863,-6.903770222,143,21,8,16,26,33,37,54,12,2,4,6,7,21,88,9,8,10,20,26,16
S00140419,56.55545887,-5.402856232,64,6,5,5,12,25,13,7,-,4,1,1,-,2,57,6,3,4,6,24,15
S00140420,56.51731108,-5.945002168,161,17,10,8,27,55,38,40,12,6,2,8,4,8,121,8,7,6,19,51,30
S00140421,56.52183736,-5.317119669,147,24,8,22,23,43,25,13,1,2,5,2,5,1,131,23,6,17,23,38,24
S00140422,56.43318383,-5.208335191,72,4,4,11,6,21,31,6,-,-,3,-,-,3,69,4,4,5,6,21,24
S00140423,56.46393326,-5.279619166,115,14,10,6,26,43,22,8,-,1,2,1,4,2,107,14,7,5,21,41,19
S00140424,56.52073166,-5.943194518,122,29,5,9,21,36,24,27,9,2,3,-,6,6,100,20,3,6,20,31,18
S00140425,56.50656716,-5.381936225,174,18,6,14,30,43,61,15,2,-,2,4,4,4,157,18,6,13,26,37,54
S00140426,56.51584549,-5.948672108,94,14,1,10,19,22,25,13,5,2,3,3,1,4,78,9,-,7,16,21,23
S00140427,56.52280143,-5.415815817,106,9,16,9,19,28,29,16,2,-,-,1,4,10,90,7,16,9,18,25,19
S00140428,56.47943703,-5.715868944,124,19,8,8,26,28,34,25,4,3,1,6,4,7,99,15,7,7,19,24,27
S00140429,56.49859255,-5.520918552,95,10,12,11,10,31,22,28,2,5,5,-,4,9,68,5,6,6,5,25,13
S00140430,56.51778348,-5.319789875,72,13,2,1,20,23,14,7,-,-,-,1,3,2,65,12,2,1,16,20,12
S00140431,56.50045727,-5.413658227,174,34,19,21,28,47,29,10,2,4,2,3,-,1,164,32,15,19,25,47,28
S00140432,56.46595844,-5.698746672,81,4,2,9,13,19,33,15,3,-,1,4,1,3,66,-,-,8,10,16,30
S00140433,56.49132015,-5.402972088,160,23,10,16,27,39,45,23,5,3,1,4,4,4,137,18,7,14,23,34,41
S00140434,56.48993802,-5.402230684,181,32,9,16,20,31,73,40,13,2,3,5,2,15,141,19,8,13,15,29,58
S00140435,56.47149562,-5.362473857,132,16,3,9,21,46,41,8,4,-,-,2,4,3,124,12,3,9,20,42,38
S00140436,56.40681829,-4.978545412,119,15,13,6,22,35,32,8,2,1,1,-,3,2,111,13,12,5,22,33,26
S00140437,56.3791049,-6.002532402,142,17,2,11,25,44,44,18,8,-,-,2,4,4,124,9,2,9,20,40,40
S00140438,56.46027224,-5.371223628,135,14,7,5,18,41,46,6,-,-,-,-,2,2,125,14,7,5,17,38,44
S00140439,56.45995625,-5.382497022,137,10,12,7,25,25,50,12,3,1,-,2,3,5,123,9,11,7,24,22,47
S00140440,56.45843658,-5.395010498,84,19,5,4,25,19,12,7,2,1,-,-,2,4,77,17,4,4,24,20,11
S00140441,56.43778616,-5.686154795,106,10,4,11,11,27,43,10,-,1,4,-,-,2,96,9,3,10,11,25,41
S00140442,56.44957393,-5.448374232,168,37,16,59,33,21,2,16,2,1,6,3,4,-,152,35,15,53,30,17,2
S00140443,56.45886062,-5.397581393,118,16,11,18,19,31,23,12,1,3,1,1,4,4,105,15,8,18,22,27,21
S00140444,56.45185718,-5.375201652,140,26,16,10,27,34,27,10,1,1,2,1,2,5,125,27,15,9,26,32,22
S00140445,56.45420507,-5.389648392,197,48,12,25,25,46,41,16,5,1,-,2,2,2,185,47,11,23,27,42,38
S00140446,56.45352331,-5.394523057,141,9,9,20,14,30,58,11,-,1,1,3,1,5,128,9,8,20,15,33,53
S00140447,56.45358761,-5.380323158,174,26,19,19,36,38,40,19,6,6,2,4,2,2,155,22,15,20,28,35,35
S00140448,56.43009691,-5.238202816,120,17,4,9,22,30,43,11,2,-,1,-,3,5,109,15,4,8,17,28,37
S00140449,56.43669807,-5.470981466,77,8,2,7,14,20,26,7,-,-,2,2,1,3,70,8,2,3,13,23,23
S00140450,56.44672752,-5.436591087,95,10,5,5,10,30,33,10,-,2,-,1,6,4,82,10,3,5,13,26,26
S00140451,56.43245109,-5.252324255,134,11,16,14,18,39,36,16,-,3,1,3,5,5,118,7,14,13,16,35,31
S00140452,56.4463868,-5.44368627,129,19,13,22,23,37,18,11,2,1,1,-,4,2,120,18,12,17,23,33,17
S00140453,56.44738662,-5.448792731,177,64,14,44,36,14,9,27,11,3,2,8,1,1,154,53,11,41,28,13,8
S00140454,56.4467534,-5.445699829,106,10,12,12,22,28,22,10,-,1,-,1,2,4,95,10,14,10,21,26,18
S00140455,56.44464445,-5.44718061,154,5,16,17,25,49,39,8,-,2,-,-,1,2,146,5,14,16,25,48,35
S00140456,56.44508972,-5.442156659,69,11,-,7,13,13,25,4,1,-,-,2,-,1,65,9,-,7,12,13,24
S00140457,56.43641964,-5.229816207,126,14,6,9,18,36,41,7,1,-,1,-,4,1,119,13,6,9,18,36,45
S00140458,56.43245401,-5.472606391,129,13,1,5,21,33,55,11,-,-,-,3,1,7,118,13,1,5,18,32,48
S00140459,56.41649606,-5.194538474,129,13,3,8,27,44,32,14,2,1,1,2,4,-,115,8,4,7,24,42,30
S00140460,56.41355878,-5.439305765,152,32,8,7,36,48,21,14,2,-,2,3,5,2,138,30,8,7,33,43,17
S00140461,56.43308735,-5.23281088,155,15,12,31,20,32,41,11,1,-,7,1,-,-,144,14,12,24,19,32,39
S00140462,56.40069663,-5.528710765,99,17,5,11,31,21,14,9,1,1,-,1,-,-,90,13,7,11,33,21,14
S00140463,56.43222888,-5.234360444,102,24,3,23,16,22,14,14,6,-,5,-,-,2,88,17,3,18,16,22,12
S00140464,56.41995115,-5.250088561,124,13,6,15,19,41,30,11,-,-,3,1,2,4,113,16,6,15,18,39,26
S00140465,56.42435909,-5.473052076,139,19,13,16,31,29,35,12,3,-,2,1,3,4,125,13,10,15,30,26,31
S00140466,56.42169277,-5.465849583,154,18,9,14,21,36,56,25,-,-,2,2,7,14,129,18,9,13,22,29,42
S00140467,56.42739835,-5.236545616,136,19,9,11,24,36,37,10,1,-,-,2,-,6,126,18,9,11,26,35,31
S00140468,56.42352779,-5.475766536,117,21,13,8,31,26,16,17,4,-,2,4,4,-,98,17,13,7,27,22,16
S00140469,56.42329189,-5.474560739,70,8,4,10,12,21,15,4,-,-,-,-,-,4,66,8,4,10,12,21,11
S00140470,56.42167868,-5.476944112,64,8,4,15,13,19,4,1,-,-,-,1,-,-,67,8,4,15,15,19,4
S00140471,56.42096071,-5.477219187,104,8,14,29,17,24,17,5,-,-,-,-,-,4,99,8,14,29,17,23,9
S00140472,56.42139648,-5.476107242,68,6,5,15,17,16,7,12,1,2,1,2,1,2,56,6,3,16,14,14,5
S00140473,56.38698418,-5.43408748,120,13,10,11,17,27,41,25,3,6,2,2,9,1,97,7,4,9,16,18,39
S00140474,56.42084568,-5.467848817,136,24,9,23,20,30,32,19,4,-,-,3,5,9,117,20,9,23,17,25,21
S00140475,56.42059712,-5.47575848,104,14,8,10,11,35,23,11,1,-,1,2,8,2,93,13,8,9,14,30,21
S00140476,56.41988876,-5.471200531,83,11,5,8,10,27,23,10,-,-,1,1,5,3,73,12,5,7,8,24,20
S00140477,56.4205876,-5.463575287,101,13,14,11,22,22,16,14,1,-,3,2,3,3,87,16,13,8,20,19,17
S00140478,56.4183429,-5.467328861,158,16,21,10,27,34,49,11,-,1,4,1,3,4,147,16,21,13,26,31,45
S00140479,56.41951841,-5.462585855,115,16,11,20,27,23,20,11,-,-,3,3,2,4,104,16,11,17,23,22,16
S00140480,56.41793544,-5.474493585,64,4,3,9,14,14,20,4,-,-,-,1,-,3,63,4,3,9,13,13,14
S00140481,56.41963123,-5.471728565,69,14,8,6,12,22,11,1,-,2,-,-,2,-,66,14,7,6,12,17,11
S00140482,56.41869659,-5.472357039,96,12,13,12,22,28,14,5,-,-,-,-,3,2,91,12,12,12,22,22,13
S00140483,56.41799979,-5.464167086,128,17,12,8,32,19,39,10,5,1,-,4,1,1,122,13,11,8,30,18,38
S00140484,56.41761277,-5.47253393,120,24,11,13,26,23,23,12,-,-,2,5,-,3,108,24,11,12,21,21,20
S00140485,56.41398635,-5.461725952,161,31,11,3,28,47,42,22,4,2,-,6,4,4,141,26,9,3,19,43,38
S00140486,56.41634033,-5.469173938,113,17,3,10,19,37,29,13,-,-,4,2,-,7,100,17,3,4,17,34,22
S00140487,56.41585166,-5.473460007,64,3,11,7,9,18,15,4,-,1,-,1,1,1,59,3,10,7,8,17,14
S00140488,56.41447015,-5.472068903,86,7,6,23,19,20,12,4,-,-,2,-,1,1,82,7,6,17,19,19,11
S00140489,56.41491457,-5.470325333,104,11,9,14,21,26,27,22,4,3,2,3,4,3,83,7,6,6,18,22,24
S00140490,56.41288908,-5.457555448,94,12,14,5,19,28,19,3,-,-,-,-,2,-,91,12,14,5,19,26,18
S00140491,56.41305231,-5.469085202,78,11,2,11,17,28,12,8,3,-,-,2,3,-,72,5,2,11,15,22,12
S00140492,56.41272403,-5.470855505,96,2,21,34,17,16,6,12,-,5,4,-,-,-,84,2,13,30,17,16,6
S00140493,56.41100824,-5.47593734,97,2,9,22,13,24,30,9,-,-,2,-,2,4,89,2,9,20,13,19,26
S00140494,56.41173358,-5.472192385,82,1,8,20,14,26,13,13,-,1,4,2,4,3,69,1,10,16,13,22,12
S00140495,56.3732085,-5.436119512,160,14,9,18,22,47,54,9,-,-,-,2,3,5,151,14,9,18,20,45,49
S00140496,56.40661739,-5.488217197,144,16,7,10,23,35,53,25,3,-,-,3,7,6,122,13,7,10,20,31,46
S00140497,56.41072589,-5.469651695,76,2,17,22,11,16,8,5,-,1,2,-,-,-,74,2,16,18,11,16,8
S00140498,56.41083022,-5.474591268,103,1,7,17,22,31,25,10,-,-,1,1,3,5,95,1,7,16,21,27,20
S00140499,56.41025749,-5.469041422,73,14,4,14,19,10,8,7,-,1,-,2,3,2,66,14,3,14,21,7,10
S00140500,56.40952975,-5.470629238,107,8,10,16,12,18,46,8,-,-,2,1,2,4,99,8,10,11,10,14,42
S00140501,56.39997939,-5.048345378,161,10,19,17,30,43,42,15,3,-,-,1,3,2,148,7,17,17,29,40,37
S00140502,56.4082781,-5.481915208,116,8,8,14,17,24,45,13,3,-,-,4,1,6,107,6,8,14,13,23,39
S00140503,56.4095647,-5.476438036,70,4,11,10,12,18,13,8,-,2,3,1,3,-,59,4,6,12,11,19,13
S00140504,56.40921579,-5.46417885,126,16,24,11,24,26,29,12,-,-,2,1,4,3,114,14,24,9,23,22,26
S00140505,56.40946678,-5.460666444,73,8,7,15,11,15,16,10,3,-,3,2,-,2,63,5,7,15,9,15,14
S00140506,56.40826016,-5.468129756,100,6,4,9,16,19,47,7,-,-,-,1,-,4,93,6,4,9,15,19,41
S00140507,56.40777852,-5.482096559,149,25,9,22,30,34,29,19,4,1,4,2,5,5,128,21,8,18,28,29,24
S00140508,56.40790348,-5.486924183,81,11,7,7,11,22,20,17,-,-,3,2,-,8,65,11,4,7,8,20,12
S00140509,56.40848132,-5.466009346,142,20,16,29,32,27,15,8,-,-,-,3,1,2,135,20,16,27,32,26,13
S00140510,56.40870146,-5.462315833,102,14,5,12,25,24,25,11,3,-,-,2,2,4,91,11,5,12,20,22,21
S00140511,56.40602095,-5.487368018,129,16,10,19,25,26,26,9,-,-,3,1,4,2,118,16,10,16,27,26,24
S00140512,56.40823883,-5.461819722,60,12,6,12,5,15,10,7,2,-,2,1,2,-,58,11,6,10,4,14,10
S00140513,56.40757365,-5.46278086,67,7,7,5,9,17,21,7,-,-,-,3,2,2,59,7,7,5,6,15,16
S00140514,56.40755457,-5.465714198,89,14,16,15,23,16,8,8,-,3,1,2,2,1,81,14,14,11,21,18,7
S00140515,56.40580304,-5.469511318,126,8,12,21,17,37,31,14,-,-,-,1,7,6,112,8,12,21,18,30,25
S00140516,56.40705021,-5.463495404,183,66,25,24,20,25,25,21,2,2,6,2,3,7,166,68,27,18,19,19,18
S00140517,56.40470476,-5.477259202,77,15,3,8,16,11,24,8,2,-,-,-,1,6,69,14,3,8,16,10,18
S00140518,56.40371838,-5.471396861,169,22,9,19,27,39,53,19,5,-,3,-,3,6,150,17,9,20,25,36,47
S00140519,56.40568447,-5.461214607,145,26,11,32,33,30,17,21,7,1,5,1,7,1,124,22,10,23,32,23,14
S00140520,56.40113732,-5.466930018,113,20,5,14,18,27,29,11,1,1,2,-,2,3,102,17,4,13,16,25,26
S00140521,56.40509345,-5.46338233,148,27,19,30,30,28,14,12,4,-,3,3,-,-,136,23,18,27,27,27,14
S00140522,56.40416548,-5.462487232,156,23,23,18,30,43,19,20,1,-,1,3,10,4,136,21,23,17,29,33,15
S00140523,56.40367817,-5.459978376,107,10,6,7,8,36,38,9,1,1,-,-,2,3,98,4,5,7,8,34,35
S00140524,56.40429699,-5.463893632,127,25,10,18,31,32,19,11,1,1,-,-,5,4,120,24,9,18,31,27,15
S00140525,56.40357133,-5.472794099,76,3,8,13,8,21,21,11,3,1,-,1,2,5,65,-,6,13,6,19,17
S00140526,56.40057817,-5.482378734,195,41,25,20,37,42,34,18,4,2,1,2,5,8,174,35,21,19,32,34,27
S00140527,56.40338799,-5.46617823,66,7,2,17,15,16,7,7,1,-,-,1,3,2,59,6,2,17,14,12,5
S00140528,56.40205303,-5.468261802,142,32,5,23,29,36,14,13,6,-,1,-,4,2,129,26,5,22,28,32,13
S00140529,56.39966891,-5.471530452,151,24,11,16,12,42,46,25,8,2,1,-,2,16,123,16,9,15,12,44,34
S00140530,56.40091904,-5.462840677,147,11,7,10,26,45,48,25,1,-,3,-,3,12,126,10,7,7,26,42,34
S00140531,56.40033348,-5.466419118,136,20,5,6,32,31,44,25,10,-,1,7,-,2,109,9,5,2,25,27,40
S00140532,56.36962002,-5.484427726,113,19,6,9,19,37,27,10,-,3,1,-,2,2,103,13,1,8,19,35,25
S00140533,56.39951535,-5.485005296,170,46,8,35,34,32,16,13,-,-,2,3,2,3,154,44,7,32,31,34,13
S00140534,56.39997491,-5.47921074,119,32,10,19,38,13,6,21,12,3,2,4,5,-,98,23,7,17,33,10,6
S00140535,56.39881841,-5.486449286,132,37,12,21,27,29,6,8,4,-,3,-,3,-,121,33,12,20,26,25,6
S00140536,56.39925544,-5.476016035,92,3,10,11,19,24,22,9,4,-,-,2,1,1,84,3,10,11,17,23,20
S00140537,56.39854288,-5.482500726,146,26,16,28,30,38,11,20,2,4,-,4,4,2,129,24,13,24,26,34,9
S00140538,56.39805483,-5.479392058,114,32,14,9,37,16,6,10,4,2,-,1,2,1,100,30,14,9,39,12,5
S00140539,56.39748847,-5.481950419,116,40,4,19,24,18,13,15,6,-,1,7,3,1,101,31,4,18,22,11,12
S00140540,56.35741527,-5.07130569,131,8,9,13,13,51,37,7,3,1,1,1,1,-,124,5,8,8,12,50,37
S00140541,56.40179364,-4.963919934,134,22,9,11,24,37,28,10,3,-,-,4,1,2,124,19,9,11,19,36,30
S00140542,56.3468447,-5.187931304,154,9,11,10,17,55,56,7,1,-,-,-,3,5,147,8,10,10,17,53,49
S00140543,56.33282623,-6.394742304,179,23,11,18,38,42,46,9,-,1,-,2,4,2,170,23,10,20,38,38,44
S00140544,56.33374318,-6.349722765,67,8,5,7,7,20,20,21,5,-,4,-,4,7,46,3,5,3,3,16,13
S00140545,56.31517517,-6.236108765,97,8,9,7,14,34,25,13,2,-,2,-,8,-,86,6,9,6,15,28,24
S00140546,56.32979183,-6.230008654,98,9,5,6,16,33,29,22,5,4,2,3,2,9,76,3,3,5,11,31,20
S00140547,56.32422485,-6.363579008,119,12,3,11,18,43,29,19,5,1,2,-,6,3,100,8,4,7,16,37,27
S00140548,56.25849451,-4.934107753,133,8,7,12,22,47,37,3,-,-,-,-,1,2,130,8,7,12,22,46,35
S00140549,56.33169735,-5.510211537,133,21,8,6,26,43,27,7,-,1,-,-,2,2,126,20,7,6,24,42,25
S00140550,56.31692576,-6.233050134,67,3,2,6,10,17,29,14,2,-,1,1,4,6,53,1,2,5,9,13,23
S00140551,56.2705172,-5.087176179,86,6,10,9,11,31,19,4,-,4,2,-,1,-,86,6,8,11,11,30,19
S00140552,56.31227693,-5.587026771,111,6,3,8,16,29,48,11,2,-,-,3,2,3,102,4,3,8,10,27,46
S00140553,56.21595008,-5.29878955,129,9,5,8,17,54,38,7,-,-,-,-,3,4,124,9,5,8,17,51,34
S00140554,56.30335047,-5.594404857,88,8,3,4,16,25,32,3,2,-,-,1,-,-,85,6,3,4,15,25,32
S00140555,56.29342791,-5.640700321,116,4,5,7,15,47,37,8,1,-,1,1,6,1,111,4,5,6,14,43,36
S00140556,56.20736548,-4.742346827,126,9,4,10,12,53,34,6,-,1,1,-,2,4,120,9,5,11,12,51,32
S00140557,56.26610253,-5.511740649,65,3,6,8,8,15,26,4,-,-,1,-,-,3,61,3,6,10,8,15,23
S00140558,56.26156715,-5.283527797,130,17,4,2,25,42,39,8,2,-,-,1,2,3,126,15,4,2,24,40,37
S00140559,56.29159207,-5.655691047,59,4,5,3,5,29,13,7,2,-,2,-,3,1,51,3,5,4,5,26,12
S00140560,56.29173272,-5.609577661,79,6,9,10,9,22,23,6,-,1,1,1,1,-,75,6,7,9,8,20,23
S00140561,56.2868016,-5.608481928,177,19,10,8,25,47,63,15,1,-,1,1,4,5,159,17,10,6,25,43,58
S00140562,56.25632244,-5.651322364,114,5,5,6,11,30,59,12,-,-,-,-,3,7,102,4,5,5,11,29,52
S00140563,56.25575889,-5.495076626,123,7,7,9,24,36,46,4,-,-,-,-,2,2,121,7,7,9,24,33,44
S00140564,56.25824495,-5.477697046,114,20,7,12,26,27,23,7,-,-,2,-,1,4,107,18,7,11,26,26,19
S00140565,56.20689584,-4.750537908,137,18,19,23,17,41,23,4,2,-,-,-,1,-,133,16,19,23,17,40,22
S00140566,56.21963276,-5.639001426,67,12,5,10,3,16,25,2,2,-,-,-,-,-,70,9,5,10,3,16,25
S00140567,56.1824733,-5.432644178,156,14,6,6,22,62,50,5,-,-,-,-,2,-,153,14,6,6,22,57,45
S00140568,56.18416591,-5.538633032,139,15,13,6,29,39,37,6,2,1,-,-,2,2,133,14,12,6,29,37,37
S00140569,56.20900252,-5.556039163,122,10,6,4,19,48,30,6,-,-,-,1,2,1,116,10,6,4,18,46,27
S00140570,56.23076911,-5.073001552,113,10,12,5,23,26,42,7,2,1,-,3,-,-,111,7,16,5,20,26,42
S00140571,56.19740041,-5.069040685,101,6,12,1,10,42,32,2,-,-,-,-,1,1,99,6,12,1,10,40,31
S00140572,56.22451581,-5.081536716,118,20,17,8,23,23,27,5,1,1,2,-,-,1,113,19,19,6,23,23,26
S00140573,56.22887189,-5.075189516,113,17,4,3,29,25,34,3,1,-,-,-,-,1,110,16,3,3,29,25,33
S00140574,56.19965539,-5.111147379,80,3,9,5,13,29,20,2,-,-,-,-,-,2,78,3,9,5,13,29,18
S00140575,56.22643339,-5.081061434,115,22,12,15,23,22,21,12,3,-,2,2,-,2,103,19,10,13,18,22,18
S00140576,56.22596646,-5.079958914,121,25,8,19,22,25,16,2,1,1,-,-,-,1,115,25,9,19,22,25,15
S00140577,56.15492088,-5.183907684,132,9,20,10,17,37,40,5,-,-,4,-,-,3,128,9,20,8,17,37,37
S00140578,56.17442502,-4.89932638,102,6,8,12,17,26,30,1,-,-,-,-,1,-,101,6,8,12,17,28,30
S00140579,56.17876399,-5.541085298,188,15,12,6,23,51,82,8,-,1,1,1,3,1,180,15,11,5,21,47,79
S00140580,56.21026583,-4.745715129,93,15,8,9,23,22,16,17,5,2,-,1,4,3,76,10,6,7,22,18,13
S00140581,56.1940162,-4.747681009,155,14,9,5,32,46,49,2,-,-,-,-,-,1,153,14,9,5,31,46,48
S00140582,56.16715561,-5.066335748,101,8,14,8,16,24,35,10,1,4,-,-,1,3,91,4,10,8,15,23,32
S00140583,56.20409134,-4.717634538,109,18,9,6,22,23,31,10,-,-,3,3,-,2,99,16,9,3,23,23,29
S00140584,56.13896403,-5.483799274,82,5,4,16,10,31,16,8,-,-,-,1,6,4,74,5,4,16,9,27,13
S00140585,56.19586968,-4.745169579,105,11,14,3,29,25,22,8,-,-,2,2,1,1,97,11,14,3,27,24,19
S00140586,56.19602306,-4.746357457,85,7,9,3,20,18,28,3,-,1,-,2,-,-,82,7,6,3,19,18,28
S00140587,56.17226388,-4.902933817,83,7,4,3,17,24,28,2,-,-,-,-,-,2,81,7,4,3,17,24,26
S00140588,56.17087139,-4.900605149,114,16,5,13,20,29,31,5,1,-,-,-,-,4,109,15,5,13,20,29,27
S00140589,56.02681336,-4.980947158,115,9,13,14,15,20,44,3,-,1,-,1,-,-,112,9,12,14,16,20,43
S00140590,56.12494899,-5.501846847,84,17,4,3,19,23,23,-,-,-,-,1,-,1,81,17,4,3,15,23,22
S00140591,56.16533167,-5.082188556,109,7,4,6,11,35,51,6,2,-,-,1,2,-,103,5,3,6,10,36,51
S00140592,56.16621625,-5.063618559,124,17,12,15,23,25,32,1,-,-,-,-,2,2,118,17,12,15,23,24,30
S00140593,55.87646474,-5.904834656,169,20,8,13,40,47,43,19,4,-,2,7,2,6,150,17,8,12,33,42,37
S00140594,56.16130831,-5.089228061,128,6,3,3,18,37,61,5,-,-,-,-,1,4,123,6,3,3,18,40,60
