Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00135611",51,21,4,20,2,2
"S00135612",76,2,53,7,13,-
"S00135613",43,-,9,20,12,-
"S00135614",45,-,7,32,7,-
"S00135615",78,2,40,13,24,2
"S00135616",46,8,28,7,1,-
"S00135617",45,1,18,15,10,1
"S00135618",34,1,6,17,6,3
"S00135619",45,10,25,8,3,-
"S00135620",54,11,31,6,-,-
"S00135621",75,30,21,26,-,2
"S00135622",59,10,40,7,1,-
"S00135623",71,11,45,12,-,1
"S00135624",42,5,23,13,2,1
"S00135625",35,-,1,5,21,8
"S00135626",36,11,14,5,6,-
"S00135627",50,1,5,40,-,-
"S00135628",82,18,43,20,4,1
"S00135629",86,2,64,11,8,-
"S00135630",48,-,25,19,4,-
"S00135631",74,13,43,15,2,2
"S00135632",78,37,23,16,2,2
"S00135633",36,11,12,9,4,-
"S00135634",57,29,30,-,1,-
"S00135635",71,10,56,2,-,-
"S00135636",49,2,29,16,-,-
"S00135637",57,1,38,15,-,-
"S00135638",45,-,38,6,-,-
"S00135639",37,-,24,8,4,2
"S00135640",72,25,32,12,2,1
"S00135641",44,8,16,20,-,-
"S00135642",79,3,49,15,6,2
"S00135643",44,-,19,21,-,-
"S00135644",41,1,34,6,-,-
"S00135645",49,22,6,19,-,1
"S00135646",47,26,3,18,-,-
"S00135647",71,21,12,37,-,2
"S00135648",58,1,55,2,-,-
"S00135649",50,2,43,2,-,-
"S00135650",52,-,20,27,3,-
"S00135651",67,25,14,22,2,1
"S00135652",51,2,34,11,4,-
"S00135653",32,-,18,10,5,-
"S00135654",43,3,43,1,-,-
"S00135655",52,9,22,12,6,1
"S00135656",61,2,56,3,1,-
"S00135657",67,16,45,2,1,-
"S00135658",40,5,27,6,-,1
"S00135659",70,4,64,2,-,-
"S00135660",63,-,67,-,-,1
"S00135661",38,13,5,19,-,1
"S00135662",55,-,34,18,2,-
"S00135663",52,5,15,31,-,1
"S00135664",75,-,40,35,-,-
"S00135665",83,70,9,4,-,2
"S00135666",50,21,15,15,-,-
"S00135667",73,6,29,33,5,-
"S00135668",62,12,16,33,1,1
"S00135669",66,9,37,16,2,2
"S00135670",82,1,76,3,2,-
"S00135671",44,-,25,19,3,-
"S00135672",60,31,27,1,-,1
"S00135673",47,18,1,23,-,1
"S00135674",48,-,40,7,1,-
"S00135675",49,2,4,38,4,2
"S00135676",58,51,6,-,1,-
"S00135677",42,25,14,5,-,-
"S00135678",56,10,31,14,1,-
"S00135679",38,3,20,3,3,13
"S00135680",52,-,29,17,1,-
"S00135681",61,6,53,4,-,-
"S00135682",41,11,10,21,-,1
"S00135683",45,10,21,14,-,-
"S00135684",54,41,4,8,1,-
"S00135685",67,2,35,29,-,1
"S00135686",90,85,5,-,-,-
"S00135687",74,42,30,7,1,-
"S00135688",57,25,9,18,-,1
"S00135689",47,4,41,2,-,-
"S00135690",68,-,62,5,1,-
"S00135691",65,3,59,1,-,1
"S00135692",39,-,38,1,-,-
"S00135693",50,1,32,13,-,-
"S00135694",44,7,7,23,-,-
"S00135695",45,24,11,9,4,-
"S00135696",36,2,29,4,2,-
"S00135697",69,23,34,8,4,1
"S00135698",78,31,37,11,-,2
"S00135699",64,1,15,43,5,-
"S00135700",32,-,23,5,-,1
"S00135701",46,-,36,11,1,-
"S00135702",77,55,4,18,-,-
"S00135703",40,26,10,4,2,-
"S00135704",52,46,6,-,-,-
"S00135705",48,4,31,10,-,1
"S00135706",59,-,43,12,2,-
"S00135707",46,2,37,4,-,-
"S00135708",64,-,59,2,1,-
"S00135709",48,3,32,14,-,-
"S00135710",36,11,23,1,-,-
"S00135711",53,29,19,5,-,-
"S00135712",54,2,23,24,5,1
"S00135713",39,3,31,7,1,-
"S00135714",74,2,63,6,1,1
"S00135715",46,-,4,40,2,-
"S00135716",71,35,29,7,2,3
"S00135717",68,34,26,5,3,2
"S00135718",33,-,32,1,-,-
"S00135719",67,2,33,26,4,2
"S00135720",79,-,2,76,1,-
"S00135721",73,9,33,31,-,-
"S00135722",37,-,35,2,1,-
"S00135723",44,21,22,2,-,-
"S00135724",38,-,21,15,2,-
"S00135725",53,15,10,23,5,-
"S00135726",66,1,27,36,-,-
"S00135727",51,2,32,17,-,2
"S00135728",65,9,46,10,-,-
"S00135729",82,74,11,-,-,-
"S00135730",43,-,-,40,2,-
"S00135731",45,2,42,-,-,2
"S00135732",61,7,45,3,2,1
"S00135733",48,7,36,5,-,-
"S00135734",65,20,17,18,4,4
"S00135735",50,7,26,16,1,-
"S00135736",57,36,10,9,5,-
"S00135737",46,-,43,3,-,-
"S00135738",73,1,31,39,-,2
"S00135739",44,1,22,19,-,2
"S00135740",41,1,8,24,4,-
"S00135741",36,1,29,1,3,2
"S00135742",51,1,50,-,-,2
"S00135743",38,8,13,16,1,2
"S00135744",38,-,17,21,-,-
"S00135745",66,1,57,4,-,-
"S00135746",38,2,35,-,2,-
"S00135747",41,1,2,34,2,-
"S00135748",65,3,43,16,1,-
"S00135749",52,43,12,1,-,-
"S00135750",59,2,42,9,4,-
"S00135751",78,47,25,6,-,-
"S00135752",35,-,19,16,1,-
"S00135753",63,27,35,-,-,1
"S00135754",46,4,18,21,1,-
"S00135755",62,1,34,27,3,-
"S00135756",55,31,17,4,2,2
"S00135757",63,18,33,6,5,-
"S00135758",78,54,11,11,1,1
"S00135759",27,1,4,22,-,-
"S00135760",27,-,14,13,-,-
"S00135761",45,-,19,25,2,-
"S00135762",68,10,51,-,-,-
"S00135763",46,3,39,3,-,-
"S00135764",42,-,13,26,1,-
"S00135765",69,4,61,6,-,-
"S00135766",45,10,19,8,3,7
"S00135767",56,1,19,32,3,-
"S00135768",67,3,28,36,-,-
"S00135769",45,1,4,40,-,-
"S00135770",73,33,38,1,1,-
"S00135771",63,18,28,17,1,1
"S00135772",76,2,38,34,4,-
"S00135773",79,11,51,17,-,-
"S00135774",32,-,10,22,-,2
"S00135775",81,-,66,18,2,-
"S00135776",48,8,34,2,2,1
"S00135777",41,-,1,41,1,-
"S00135778",36,4,19,13,-,-
"S00135779",63,2,56,5,-,1
"S00135780",39,2,13,17,6,1
"S00135781",48,-,13,33,6,-
"S00135782",58,2,50,3,1,1
"S00135783",96,33,61,2,-,-
"S00135784",36,1,4,29,-,-
"S00135785",27,-,16,5,6,-
"S00135786",54,-,4,50,1,1
"S00135787",35,8,14,9,1,-
"S00135788",47,-,24,20,5,-
"S00135789",47,18,13,21,-,-
"S00135790",53,2,37,9,3,-
"S00135791",107,37,69,2,-,2
"S00135792",37,-,4,21,7,1
"S00135793",46,3,24,15,2,-
"S00135794",58,-,2,28,21,7
"S00135795",47,7,18,17,1,-
"S00135796",56,1,48,7,-,-
"S00135797",71,15,25,21,4,6
"S00135798",50,28,5,14,2,-
"S00135799",70,-,23,45,-,-
"S00135800",57,5,44,6,2,-
"S00135801",43,16,19,6,4,-
"S00135802",42,6,24,8,-,4
"S00135803",45,2,33,15,-,-
"S00135804",51,1,33,14,3,2
"S00135805",54,42,4,2,1,1
