Scotland's Census 2022 - National Records of Scotland
Table UV408 - Number of bedrooms
All occupied households
,"All occupied households","One bedroom","Two bedrooms","Three bedrooms","Four bedrooms","Five or more bedrooms"
"S00164098",56,10,25,14,5,-
"S00164099",56,34,17,4,1,-
"S00164100",58,8,50,-,-,-
"S00164101",74,32,29,11,-,2
"S00164102",84,33,34,8,5,-
"S00164103",77,23,36,11,4,-
"S00164104",53,18,26,7,1,1
"S00164105",55,12,30,11,1,-
"S00164106",57,-,23,21,7,6
"S00164107",46,14,26,4,2,-
"S00164108",26,-,2,20,4,-
"S00164109",65,10,49,2,3,1
"S00164110",53,45,3,4,-,1
"S00164111",41,9,17,15,4,1
"S00164112",44,-,12,13,11,6
"S00164113",78,6,66,5,-,1
"S00164114",47,-,17,17,9,2
"S00164115",80,29,43,8,1,2
"S00164116",57,-,14,21,13,9
"S00164117",75,21,50,3,1,-
"S00164118",36,1,19,16,-,-
"S00164119",44,23,15,6,2,-
"S00164120",55,30,22,4,2,1
"S00164121",49,1,11,16,16,2
"S00164122",58,-,4,36,12,6
"S00164123",36,-,11,20,4,2
"S00164124",47,-,5,29,11,2
"S00164125",53,3,30,12,10,-
"S00164126",32,2,10,10,4,5
"S00164127",50,3,10,25,9,5
"S00164128",51,-,5,27,17,1
"S00164129",36,-,2,33,2,-
"S00164130",58,18,6,18,11,5
"S00164131",43,18,22,1,2,-
"S00164132",42,1,14,19,7,1
"S00164133",45,-,29,13,4,1
"S00164134",70,20,39,6,3,-
"S00164135",52,11,6,34,7,-
"S00164136",54,2,12,25,17,1
"S00164137",61,15,37,4,1,1
"S00164138",44,1,4,30,6,2
"S00164139",55,10,11,25,7,4
"S00164140",67,5,46,11,3,2
"S00164141",53,1,4,22,19,7
"S00164142",47,1,18,21,7,-
"S00164143",56,33,11,11,-,-
"S00164144",46,18,22,5,-,-
"S00164145",68,52,15,1,-,-
"S00164146",51,10,10,20,8,3
"S00164147",49,1,13,22,10,2
"S00164148",81,16,47,14,3,2
"S00164149",25,1,4,11,8,1
"S00164150",79,24,51,5,-,-
"S00164151",80,20,54,2,-,-
"S00164152",62,12,39,12,-,2
"S00164153",46,12,32,-,-,-
"S00164154",43,24,18,-,-,-
"S00164155",79,41,32,6,-,-
"S00164156",54,13,37,5,1,-
"S00164157",47,-,3,17,19,10
"S00164158",49,-,22,26,-,2
"S00164159",51,-,22,23,2,4
"S00164160",43,4,10,18,6,6
"S00164161",48,-,4,22,15,3
"S00164162",68,9,25,21,13,3
"S00164163",48,15,25,2,-,-
"S00164164",42,-,28,11,3,-
"S00164165",68,4,31,18,9,6
"S00164166",56,19,13,16,8,5
"S00164167",58,1,20,31,4,-
"S00164168",51,4,15,18,10,7
"S00164169",48,2,13,28,5,-
"S00164170",44,-,4,34,3,2
"S00164171",52,-,23,24,5,-
"S00164172",46,1,25,15,4,-
"S00164173",81,-,3,44,31,3
"S00164174",67,3,13,27,20,7
"S00164175",36,6,10,12,5,1
"S00164176",41,-,16,21,2,-
"S00164177",54,-,4,24,24,4
"S00164178",51,2,46,2,1,-
"S00164179",53,7,45,6,1,-
"S00164180",33,1,10,9,10,3
"S00164181",38,1,6,13,15,3
"S00164182",30,-,3,20,5,1
"S00164183",52,2,13,15,19,2
"S00164184",41,1,7,23,9,1
"S00164185",61,-,11,36,9,2
"S00164186",62,4,23,24,7,8
"S00164187",74,16,38,14,3,-
"S00164188",40,-,22,14,4,-
"S00164189",74,-,3,45,24,2
"S00164190",48,-,7,23,17,5
"S00164191",48,6,28,13,-,-
"S00164192",40,-,-,21,15,3
"S00164193",40,3,21,17,2,-
"S00164194",41,-,6,35,1,-
"S00164195",47,7,24,14,2,-
"S00164196",49,-,4,41,2,4
"S00164197",51,-,17,24,9,2
"S00164198",43,-,9,30,4,-
"S00164199",76,5,38,24,8,2
"S00164200",61,-,3,37,16,6
"S00164201",69,1,38,27,4,-
"S00164202",46,1,20,20,5,-
"S00164203",67,-,27,32,7,1
"S00164204",43,-,27,8,1,4
"S00164205",48,3,10,23,11,3
"S00164206",69,-,48,15,6,-
"S00164207",40,-,13,24,3,-
"S00164208",48,2,7,20,20,3
"S00164209",49,-,11,24,12,-
"S00164210",46,2,8,19,14,5
"S00164211",42,-,2,25,13,-
"S00164212",42,-,6,16,10,4
"S00164213",47,4,34,8,-,-
"S00164214",44,-,3,35,7,-
"S00164215",55,10,38,4,-,2
"S00164216",52,6,23,11,6,1
"S00164217",57,-,4,41,11,2
"S00164218",58,1,29,26,1,2
"S00164219",58,-,8,18,21,8
"S00164220",73,1,21,47,3,2
"S00164221",51,-,15,30,1,-
"S00164222",83,8,37,27,10,1
"S00164223",78,16,39,14,8,1
"S00164224",41,-,1,32,6,1
"S00164225",34,-,10,12,11,1
"S00164226",62,1,17,31,8,5
"S00164227",53,-,2,43,6,-
"S00164228",53,1,17,28,5,4
"S00164229",54,-,47,10,1,-
"S00164230",63,1,17,26,17,6
"S00164231",28,2,4,17,7,-
"S00164232",58,-,7,32,19,-
"S00164233",61,33,20,6,1,-
"S00164234",66,46,18,2,-,1
"S00164235",46,8,34,3,3,1
"S00164236",37,-,6,16,16,-
"S00164237",37,-,5,26,4,2
"S00164238",76,2,37,15,15,10
"S00164239",47,-,2,28,13,4
"S00164240",55,-,8,23,21,3
"S00164241",88,29,39,18,4,1
"S00164242",41,9,12,13,6,1
"S00164243",45,10,24,5,3,1
"S00164244",31,-,8,22,3,-
"S00164245",30,1,6,9,11,1
"S00164246",29,1,8,8,6,3
"S00164247",81,47,26,2,2,5
"S00164248",56,3,37,7,5,-
"S00164249",68,4,26,35,2,-
"S00164250",32,-,17,15,-,-
"S00164251",25,-,6,10,6,-
"S00164252",81,21,47,8,1,1
"S00164253",55,18,31,3,-,-
"S00164254",50,1,12,37,-,-
"S00164255",79,9,57,8,4,1
"S00164256",51,1,4,20,23,1
"S00164257",48,-,4,27,15,-
"S00164258",70,4,48,12,5,1
"S00164259",68,46,16,5,-,-
"S00164260",49,24,20,6,-,1
"S00164261",68,23,36,9,-,-
"S00164262",48,4,31,12,-,1
"S00164263",75,6,27,22,18,2
"S00164264",53,2,32,16,2,1
"S00164265",62,13,39,7,1,2
"S00164266",55,33,19,1,1,-
"S00164267",52,1,32,18,1,-
"S00164268",37,8,25,4,1,1
"S00164269",44,10,20,9,2,4
"S00164270",31,-,11,14,4,-
"S00164271",86,16,53,8,7,2
"S00164272",56,2,26,12,16,1
"S00164273",54,-,19,20,13,2
"S00164274",58,7,48,2,1,-
"S00164275",40,4,25,4,4,3
"S00164276",48,6,40,6,-,-
"S00164277",34,-,3,9,28,1
"S00164278",74,46,17,5,-,2
"S00164279",69,25,24,20,-,-
"S00164280",51,1,3,37,12,-
"S00164281",79,-,21,33,18,3
"S00164282",41,2,24,14,1,-
"S00164283",80,21,50,2,-,-
"S00164284",57,14,32,11,-,-
"S00164285",73,11,47,11,1,-
"S00164286",42,-,22,19,1,-
"S00164287",67,20,37,9,-,1
"S00164288",68,34,29,3,-,-
"S00164289",51,6,15,29,-,1
"S00164290",41,1,18,23,3,-
"S00164291",46,14,14,15,3,-
"S00164292",80,10,62,6,1,-
"S00164293",77,12,23,33,3,2
"S00164294",52,21,24,3,-,-
"S00164295",83,47,31,5,-,-
"S00164296",82,20,56,9,-,-
"S00164297",54,11,29,14,1,-
"S00164298",45,-,15,28,5,-
"S00164299",26,-,4,13,12,-
"S00164300",53,24,12,12,3,2
"S00164301",81,-,5,9,38,26
"S00164302",55,19,24,10,1,-
"S00164303",49,16,17,13,2,-
"S00164304",57,31,18,7,-,1
"S00164305",63,4,54,5,-,-
"S00164306",46,1,34,10,3,2
"S00164307",64,9,25,24,2,-
"S00164308",81,-,7,71,3,-
"S00164309",75,31,15,11,16,4
"S00164310",69,-,52,15,2,-
"S00164311",56,17,25,9,4,-
"S00164312",72,19,40,9,4,-
"S00164313",82,48,29,-,3,2
"S00164314",71,9,50,5,-,2
"S00164315",39,4,17,15,3,-
"S00164316",62,1,54,6,1,-
"S00164317",72,1,44,26,-,-
"S00164318",39,-,15,24,-,-
"S00164319",38,-,19,20,1,-
"S00164320",43,-,5,35,5,-
"S00164321",57,10,25,21,-,1
"S00164322",72,18,26,13,13,1
"S00164323",64,-,28,29,3,-
"S00164324",65,-,39,25,2,-
"S00164325",55,38,12,2,2,1
"S00164326",51,-,20,23,8,-
"S00164327",50,1,25,23,1,-
"S00164328",50,21,26,3,-,-
"S00164329",61,14,43,3,2,2
"S00164330",35,10,19,5,1,-
"S00164331",45,6,1,36,-,-
"S00164332",45,1,7,35,2,-
"S00164333",59,15,34,8,-,-
"S00164334",34,1,8,21,3,2
"S00164335",46,17,19,6,7,4
"S00164336",78,31,44,2,-,1
"S00164337",48,18,23,3,4,-
"S00164338",49,19,23,1,-,3
"S00164339",57,-,29,28,-,-
"S00164340",38,4,12,23,-,-
"S00164341",81,23,60,-,-,-
"S00164342",45,-,23,17,2,-
"S00164343",52,1,26,25,-,-
"S00164344",59,36,17,1,7,1
"S00164345",54,3,53,-,-,-
"S00164346",77,-,68,9,-,-
"S00164347",46,-,2,33,10,1
"S00164348",69,12,39,9,5,1
"S00164349",70,39,7,27,-,-
"S00164350",48,1,28,17,2,-
"S00164351",54,11,22,14,1,1
"S00164352",66,1,35,24,6,-
"S00164353",53,1,32,19,-,-
"S00164354",67,-,45,20,-,-
"S00164355",61,29,31,1,-,-
"S00164356",45,1,4,35,7,-
"S00164357",67,28,27,6,4,-
"S00164358",38,1,25,3,8,2
"S00164359",41,-,16,22,-,3
"S00164360",42,16,12,8,7,2
"S00164361",65,2,26,38,2,-
"S00164362",40,6,31,3,-,-
"S00164363",42,17,25,-,-,-
"S00164364",76,25,32,8,7,2
"S00164365",44,2,7,28,8,-
"S00164366",58,10,42,6,2,-
"S00164367",51,-,26,22,5,-
"S00164368",44,15,27,2,-,-
"S00164369",35,1,4,28,5,-
"S00164370",58,4,43,5,4,2
"S00164371",70,-,56,15,-,-
"S00164372",43,4,23,17,1,-
"S00164373",78,17,44,16,1,-
"S00164374",37,4,28,4,2,3
"S00164375",48,-,16,30,1,-
"S00164376",75,1,38,24,9,3
"S00164377",63,2,34,25,1,1
"S00164378",43,15,22,5,1,-
"S00164379",32,-,20,9,6,-
"S00164380",61,25,31,6,-,-
"S00164381",88,52,27,9,-,-
"S00164382",68,34,26,5,1,3
"S00164383",40,6,20,14,-,-
"S00164384",57,15,38,4,-,-
"S00164385",51,-,8,41,1,-
"S00164386",68,11,21,35,1,-
"S00164387",61,2,32,25,3,-
"S00164388",49,1,32,14,3,-
"S00164389",63,1,37,23,2,-
"S00164390",59,43,7,4,-,-
"S00164391",47,23,7,12,3,-
"S00164392",78,25,28,22,1,1
"S00164393",53,1,31,15,1,-
"S00164394",63,-,11,47,6,1
"S00164395",90,27,56,3,3,1
"S00164396",64,57,9,1,-,1
"S00164397",66,21,24,18,2,1
"S00164398",50,-,9,33,3,-
"S00164399",58,21,25,12,-,-
"S00164400",56,21,15,17,1,2
"S00164401",35,-,18,13,-,-
"S00164402",63,-,52,11,-,-
"S00164403",54,5,31,15,3,-
"S00164404",67,-,50,17,-,-
"S00164405",94,-,92,3,-,1
"S00164406",57,19,22,13,3,-
"S00164407",74,29,13,25,4,-
"S00164408",56,2,3,47,5,-
"S00164409",35,2,25,10,-,-
"S00164410",57,1,39,10,-,7
"S00164411",43,-,26,20,-,-
"S00164412",77,27,47,1,2,-
"S00164413",35,2,25,4,2,-
"S00164414",55,7,27,21,2,1
"S00164415",55,17,32,8,-,2
"S00164416",54,11,31,12,-,-
"S00164417",47,2,36,9,-,-
"S00164418",30,-,5,20,2,-
"S00164419",52,1,5,31,14,1
"S00164420",90,26,62,8,-,-
"S00164421",72,8,56,10,-,-
"S00164422",72,4,47,14,3,1
"S00164423",66,5,26,25,9,-
"S00164424",53,2,36,14,-,2
"S00164425",41,2,23,13,1,1
"S00164426",40,-,4,42,1,-
"S00164427",36,-,34,4,1,-
"S00164428",57,10,20,23,4,-
"S00164429",40,1,30,8,3,-
"S00164430",29,-,15,14,-,-
"S00164431",56,27,23,5,4,1
"S00164432",79,49,17,12,-,1
"S00164433",59,-,17,35,10,-
"S00164434",64,8,47,9,-,-
"S00164435",49,-,33,9,2,-
"S00164436",69,15,10,36,7,1
"S00164437",47,6,27,15,1,-
"S00164438",46,1,31,9,2,-
"S00164439",39,-,10,27,1,2
"S00164440",74,8,63,3,-,-
"S00164441",33,-,8,16,8,1
"S00164442",48,-,6,32,5,1
"S00164443",88,5,71,12,-,-
"S00164444",49,-,17,22,10,-
"S00164445",46,8,12,20,4,-
"S00164446",88,27,61,-,-,-
"S00164447",46,15,11,20,-,-
"S00164448",37,2,25,7,-,-
"S00164449",53,4,25,16,5,-
"S00164450",55,-,15,40,-,-
"S00164451",70,11,37,7,11,1
"S00164452",55,-,9,24,15,7
"S00164453",44,2,20,21,1,1
"S00164454",75,10,10,9,44,1
"S00164455",68,28,26,13,-,1
"S00164456",39,16,6,16,3,-
"S00164457",39,1,14,23,-,-
"S00164458",49,3,24,18,4,-
"S00164459",48,1,33,13,1,-
"S00164460",66,21,41,4,-,-
"S00164461",43,-,16,26,1,-
"S00164462",71,-,1,13,48,9
"S00164463",68,2,10,29,15,12
"S00164464",46,-,28,18,-,-
"S00164465",80,-,5,63,7,2
"S00164466",45,-,25,19,1,-
"S00164467",39,-,32,7,-,-
"S00164468",40,1,17,21,1,-
"S00164469",69,33,23,9,4,-
"S00164470",49,18,17,12,1,2
"S00164471",64,-,37,25,4,-
"S00164472",59,1,21,36,-,1
"S00164473",59,2,42,15,-,-
"S00164474",64,1,48,12,3,-
"S00164475",82,16,34,31,1,-
"S00164476",48,-,23,24,1,-
"S00164477",52,-,42,3,-,1
"S00164478",36,1,21,16,1,-
"S00164479",57,3,33,19,1,-
"S00164480",76,-,42,32,1,1
"S00164481",79,5,33,32,7,2
"S00164482",67,11,41,14,1,-
"S00164483",78,6,60,12,-,1
"S00164484",37,-,31,9,-,-
"S00164485",70,3,23,31,14,1
"S00164486",82,27,42,13,-,-
"S00164487",48,-,3,14,28,5
"S00164488",71,1,26,37,10,-
"S00164489",40,1,13,32,-,-
"S00164490",53,-,18,32,3,2
"S00164491",58,1,23,32,4,-
"S00164492",48,1,33,14,-,-
"S00164493",46,4,27,14,-,-
"S00164494",60,8,34,15,2,1
"S00164495",60,-,16,44,-,-
"S00164496",67,-,28,39,-,-
"S00164497",74,2,40,31,2,-
"S00164498",29,-,12,18,-,-
"S00164499",45,-,5,33,6,1
"S00164500",33,6,22,4,2,-
"S00164501",80,7,36,34,2,1
"S00164502",43,1,13,26,2,-
"S00164503",54,-,48,5,1,-
"S00164504",51,-,1,49,-,-
"S00164505",28,1,15,12,-,-
"S00164506",31,-,16,16,-,-
"S00164507",69,2,26,41,-,-
"S00164508",59,1,37,21,1,-
"S00164509",69,-,4,26,34,5
"S00164510",41,-,19,20,-,1
"S00164511",51,-,20,30,2,-
"S00164512",35,-,3,31,1,-
"S00164513",58,-,7,51,4,-
"S00164514",52,-,41,6,1,-
"S00164515",61,6,30,19,4,-
"S00164516",28,-,19,9,1,-
"S00164517",53,3,38,12,-,1
"S00164518",31,-,20,10,1,-
"S00164519",64,9,40,9,5,1
"S00164520",55,1,10,38,1,1
"S00164521",64,1,17,36,7,4
"S00164522",86,17,57,11,2,1
"S00164523",33,2,29,4,-,-
"S00164524",52,-,8,39,3,-
"S00164525",26,-,11,14,-,1
"S00164526",54,26,26,4,-,-
"S00164527",37,-,-,-,32,3
"S00164528",58,4,14,36,4,1
"S00164529",64,4,25,32,-,-
"S00164530",56,16,36,-,-,-
"S00164531",57,12,29,14,3,-
"S00164532",70,7,44,18,-,-
"S00164533",51,2,23,25,3,-
"S00164534",51,10,22,14,-,-
"S00164535",63,1,37,25,-,-
"S00164536",64,2,13,43,3,-
"S00164537",53,10,33,8,4,-
"S00164538",68,4,20,16,17,10
"S00164539",74,10,29,29,4,1
"S00164540",67,5,29,26,6,2
"S00164541",89,19,48,15,3,-
"S00164542",37,1,17,18,-,-
"S00164543",35,4,23,6,2,-
"S00164544",72,4,40,27,-,-
"S00164545",27,4,15,10,-,-
"S00164546",51,1,41,8,1,-
"S00164547",45,-,33,9,-,-
"S00164548",45,-,22,17,6,4
"S00164549",64,1,35,22,1,-
"S00164550",61,3,26,32,-,-
"S00164551",67,3,40,24,3,-
"S00164552",44,-,16,28,4,-
"S00164553",61,23,36,3,-,2
"S00164554",60,1,28,31,-,-
"S00164555",41,1,4,23,7,3
"S00164556",41,12,26,1,-,-
"S00164557",68,5,53,10,-,-
"S00164558",39,-,3,24,11,1
"S00164559",42,-,5,33,6,1
"S00164560",40,1,25,13,-,-
"S00164561",70,8,40,16,5,1
"S00164562",39,4,29,5,1,-
"S00164563",73,31,26,12,1,1
"S00164564",58,20,34,4,-,-
"S00164565",51,1,27,20,1,2
"S00164566",44,1,28,13,1,2
"S00164567",30,-,8,15,7,-
"S00164568",41,3,21,12,-,-
"S00164569",60,11,27,20,1,1
"S00164570",44,4,7,30,3,-
"S00164571",53,22,22,7,-,-
"S00164572",74,1,61,9,2,-
"S00164573",54,21,29,2,2,-
"S00164574",55,2,17,27,7,2
"S00164575",64,1,30,30,2,4
"S00164576",71,3,26,36,6,-
"S00164577",46,2,41,2,-,-
"S00164578",77,3,46,25,3,-
"S00164579",33,-,-,31,-,-
"S00164580",51,11,38,1,-,1
"S00164581",89,17,60,15,-,-
"S00164582",42,8,1,30,3,-
"S00164583",42,2,5,36,-,-
"S00164584",46,4,37,6,-,-
"S00164585",41,8,18,10,3,2
"S00164586",70,19,40,10,1,-
"S00164587",41,3,16,22,-,-
"S00164588",53,-,11,35,5,2
"S00164589",48,19,26,-,-,-
"S00164590",69,-,10,44,10,4
"S00164591",51,40,10,-,-,-
"S00164592",53,22,28,1,1,1
"S00164593",39,-,3,29,8,2
"S00164594",38,3,21,18,-,-
"S00164595",62,2,10,43,4,3
"S00164596",56,-,21,24,10,1
"S00164597",70,7,26,37,-,-
"S00164598",52,-,17,35,-,-
"S00164599",28,1,12,13,2,-
"S00164600",57,4,27,15,10,1
"S00164601",48,1,10,29,6,1
"S00164602",42,-,20,29,1,-
"S00164603",41,-,24,13,6,1
"S00164604",28,4,7,17,1,-
"S00164605",37,2,15,19,1,-
"S00164606",66,12,22,16,13,-
"S00164607",36,9,16,9,1,1
"S00164608",58,-,37,19,5,-
"S00164609",58,6,21,25,5,1
"S00164610",63,22,13,20,7,-
"S00164611",42,3,29,7,2,1
"S00164612",40,-,1,37,2,-
"S00164613",56,-,29,26,1,-
"S00164614",51,-,20,33,-,-
"S00164615",71,11,26,15,13,6
"S00164616",47,15,2,21,8,1
"S00164617",53,2,28,20,3,-
"S00164618",69,2,17,16,24,10
"S00164619",42,-,23,18,2,-
"S00164620",42,13,14,18,-,-
"S00164621",43,-,2,37,3,-
"S00164622",42,8,5,25,1,1
"S00164623",34,-,3,31,-,-
"S00164624",67,-,7,60,-,-
"S00164625",44,-,2,39,4,-
"S00164626",36,-,2,33,1,-
"S00164627",56,-,19,31,4,1
"S00164628",74,4,30,37,3,-
"S00164629",80,2,10,65,1,-
"S00164630",49,4,21,27,1,-
"S00164631",41,4,2,26,2,3
"S00164632",39,-,-,37,-,1
"S00164633",55,1,18,35,4,-
"S00164634",55,1,6,45,1,-
"S00164635",56,-,3,52,1,-
"S00164636",39,-,17,21,1,-
"S00164637",47,-,2,40,5,1
"S00164638",55,-,6,45,3,2
"S00164639",58,1,16,41,-,-
"S00164640",56,-,18,37,-,-
"S00164641",41,-,2,37,2,-
"S00164642",46,1,4,41,-,-
"S00164643",41,-,20,20,-,2
"S00164644",53,40,4,12,-,-
"S00164645",38,-,19,19,-,-
"S00164646",67,17,13,36,2,-
"S00164647",60,-,28,30,2,-
"S00164648",45,-,26,18,1,-
"S00164649",73,-,41,34,-,-
"S00164650",67,-,9,53,5,-
"S00164651",40,-,20,23,3,-
"S00164652",75,24,44,6,-,1
"S00164653",53,-,12,36,3,-
"S00164654",52,14,15,20,5,1
"S00164655",47,-,5,41,1,-
"S00164656",63,1,40,21,-,-
"S00164657",50,9,27,11,3,-
"S00164658",44,-,22,22,2,1
"S00164659",49,-,6,42,-,-
"S00164660",54,-,25,27,2,-
"S00164661",74,7,32,31,8,-
"S00164662",43,2,16,23,1,-
"S00164663",42,-,5,33,2,-
"S00164664",44,-,13,28,1,-
"S00164665",35,3,5,26,1,-
"S00164666",66,16,21,21,7,-
"S00164667",47,-,31,14,2,-
"S00164668",49,1,21,14,7,4
"S00164669",26,-,10,16,2,-
"S00164670",60,19,16,25,1,-
"S00164671",66,4,12,48,1,-
"S00164672",54,3,26,18,7,-
"S00164673",59,4,12,40,7,-
"S00164674",31,-,5,26,-,-
"S00164675",43,3,19,21,2,-
"S00164676",54,4,20,26,6,-
"S00164677",39,3,9,22,1,-
"S00164678",45,5,14,28,1,-
"S00164679",45,2,13,27,3,-
"S00164680",51,2,6,40,-,1
"S00164681",56,8,19,28,-,-
"S00164682",66,-,21,38,9,-
"S00164683",27,-,6,20,1,-
"S00164684",36,-,9,22,5,-
"S00164685",34,5,15,18,-,-
"S00164686",36,4,12,19,1,2
"S00164687",32,4,20,5,-,-
"S00164688",65,-,16,42,10,-
"S00164689",52,2,12,37,2,-
"S00164690",40,13,12,11,-,-
"S00164691",38,1,15,18,4,-
"S00164692",41,-,15,21,3,3
"S00164693",45,4,21,21,-,-
"S00164694",35,-,1,4,25,6
"S00164695",71,2,2,25,37,3
"S00164696",60,1,2,29,19,13
"S00164697",38,19,16,3,-,-
"S00164698",32,-,16,17,-,-
"S00164699",54,5,24,16,8,3
"S00164700",34,-,1,16,16,1
"S00164701",68,4,22,24,18,-
"S00164702",84,7,41,29,10,-
"S00164703",57,4,23,21,9,3
"S00164704",56,17,21,14,4,3
"S00164705",48,8,12,15,5,4
"S00164706",51,1,3,29,22,-
"S00164707",44,1,8,22,14,-
"S00164708",78,16,37,20,4,1
"S00164709",47,-,17,26,4,1
"S00164710",46,-,13,22,8,8
"S00164711",56,10,23,13,3,-
"S00164712",66,-,18,29,12,6
"S00164713",27,-,5,6,9,7
"S00164714",50,1,4,10,35,3
"S00164715",31,-,2,1,18,6
"S00164716",30,-,-,10,13,5
"S00164717",35,-,-,6,26,6
"S00164718",90,-,-,29,47,14
"S00164719",26,-,4,7,11,1
"S00164720",64,-,5,40,18,2
"S00164721",45,-,1,13,26,1
"S00164722",43,-,5,22,12,1
"S00164723",40,-,1,16,12,4
"S00164724",53,-,-,15,34,2
"S00164725",57,2,34,23,4,-
"S00164726",77,19,34,21,5,-
"S00164727",70,-,1,7,56,3
"S00164728",53,-,2,6,31,12
"S00164729",63,1,22,32,6,2
"S00164730",54,-,15,36,3,-
"S00164731",69,2,1,15,43,2
"S00164732",60,-,2,45,13,-
"S00164733",52,-,2,14,38,3
"S00164734",52,6,30,12,3,2
"S00164735",25,-,-,3,19,-
"S00164736",46,-,-,10,22,14
"S00164737",47,-,21,11,13,4
"S00164738",45,3,30,10,4,1
"S00164739",77,25,16,15,12,4
"S00164740",32,7,13,3,8,1
"S00164741",38,2,-,23,12,2
"S00164742",58,-,1,16,38,7
"S00164743",76,-,4,28,25,18
"S00164744",73,-,2,59,10,-
"S00164745",54,15,11,14,7,7
"S00164746",68,-,23,26,17,7
"S00164747",49,2,3,32,7,4
"S00164748",59,11,25,17,5,-
"S00164749",65,17,38,8,2,-
"S00164750",52,3,11,27,10,1
"S00164751",74,-,8,39,25,4
"S00164752",30,3,12,5,6,3
"S00164753",44,15,15,6,7,1
"S00164754",37,1,5,9,14,6
"S00164755",55,1,-,19,26,8
"S00164756",52,-,2,41,10,-
"S00164757",71,1,7,40,19,6
"S00164758",32,3,14,7,6,2
"S00164759",75,-,1,51,17,6
"S00164760",56,18,20,12,5,1
"S00164761",61,27,35,1,-,-
"S00164762",33,1,11,10,10,3
"S00164763",48,1,2,12,12,21
"S00164764",40,4,4,17,14,2
"S00164765",44,-,7,11,17,7
"S00164766",35,2,4,5,17,8
"S00164767",63,-,7,20,23,10
"S00164768",46,-,7,21,11,5
"S00164769",35,-,1,31,3,1
"S00164770",56,1,8,5,15,27
"S00164771",63,1,5,12,32,13
"S00164772",43,1,28,13,5,2
"S00164773",48,-,2,16,24,6
"S00164774",62,-,2,21,33,6
"S00164775",51,1,1,30,15,4
"S00164776",33,-,2,9,12,10
"S00164777",48,4,24,22,2,2
"S00164778",57,1,16,19,15,7
"S00164779",48,16,11,4,18,3
"S00164780",58,6,22,17,9,4
"S00164781",61,5,16,13,15,11
"S00164782",53,-,13,14,19,6
"S00164783",60,3,22,16,20,1
"S00164784",44,1,21,10,12,-
"S00164785",50,7,7,12,25,1
"S00164786",83,1,13,27,29,9
"S00164787",41,1,15,22,4,-
"S00164788",29,2,11,11,6,-
"S00164789",55,2,18,22,11,-
"S00164790",41,3,27,9,2,-
"S00164791",53,3,15,20,6,9
"S00164792",41,-,29,9,1,1
"S00164793",57,1,37,17,-,1
"S00164794",40,-,26,14,2,-
"S00164795",51,2,8,35,5,-
"S00164796",54,-,35,18,2,-
"S00164797",35,2,10,19,5,-
"S00164798",57,1,17,31,7,1
"S00164799",65,-,19,44,2,2
"S00164800",67,-,30,21,12,1
"S00164801",47,4,25,10,2,4
"S00164802",76,2,41,8,20,6
"S00164803",46,-,10,33,1,-
"S00164804",45,2,18,28,1,-
"S00164805",57,6,8,18,21,1
"S00164806",32,-,18,7,4,2
"S00164807",53,-,3,10,26,10
"S00164808",43,-,1,39,2,1
"S00164809",41,2,1,35,1,2
"S00164810",67,1,21,42,3,-
"S00164811",65,3,33,11,15,1
"S00164812",54,-,19,28,3,1
"S00164813",81,-,3,28,49,-
"S00164814",70,2,23,20,24,-
"S00164815",66,10,12,37,4,3
"S00164816",42,-,12,29,2,-
"S00164817",29,-,1,14,13,-
"S00164818",44,12,5,18,6,-
"S00164819",55,16,26,8,3,1
"S00164820",86,-,22,31,30,7
"S00164821",51,4,12,30,3,1
"S00164822",50,-,38,11,1,-
"S00164823",29,-,4,4,24,-
"S00164824",55,12,35,3,3,-
"S00164825",61,-,11,21,9,22
"S00164826",81,-,11,49,20,1
"S00164827",63,-,10,27,26,-
"S00164828",77,4,11,26,28,4
"S00164829",55,-,3,15,33,6
"S00164830",39,-,2,22,13,1
"S00164831",56,-,4,14,29,8
"S00164832",92,6,54,19,11,4
"S00164833",73,7,45,10,8,2
"S00164834",44,1,27,14,3,1
"S00164835",60,6,24,19,8,1
"S00164836",74,1,16,22,34,1
"S00164837",55,1,34,16,3,1
"S00164838",80,17,51,11,1,-
"S00164839",43,6,19,14,2,-
"S00164840",55,-,5,15,28,7
"S00164841",88,9,29,21,24,3
"S00164842",79,22,34,12,10,5
"S00164843",69,49,14,8,-,-
"S00164844",47,-,10,27,11,1
"S00164845",71,1,52,12,5,1
"S00164846",43,4,19,17,2,-
"S00164847",48,-,13,12,22,3
"S00164848",78,-,44,25,9,-
"S00164849",64,-,41,20,3,-
"S00164850",41,1,23,14,6,-
"S00164851",75,-,18,13,36,8
"S00164852",53,12,32,5,2,2
"S00164853",31,1,6,13,6,5
"S00164854",43,-,22,18,2,1
"S00164855",29,4,18,9,1,-
"S00164856",68,17,33,14,4,-
"S00164857",56,2,33,13,5,-
"S00164858",72,19,14,27,7,5
"S00164859",50,-,23,23,4,-
"S00164860",57,-,17,36,4,1
"S00164861",42,4,26,10,-,-
"S00164862",45,-,7,27,10,1
"S00164863",63,4,20,22,13,4
"S00164864",62,37,22,2,2,-
"S00164865",51,2,25,22,3,-
"S00164866",48,2,46,-,-,-
"S00164867",41,-,1,34,2,3
"S00164868",84,30,49,6,-,-
"S00164869",32,1,11,8,2,3
