Scotland's Census 2022 - National Records of Scotland
Table UV111 - Household lifestage
All households
,"All households","HRP aged under 35: Total","HRP aged under 35: One person household","HRP aged under 35: Two or more person household – no dependent child(ren)","HRP aged under 35: Two or more person household – with dependent child(ren)","HRP aged 35 to 54: Total","HRP aged 35 to 54: One person household","HRP aged 35 to 54: Two or more person household – no dependent child(ren)","HRP aged 35 to 54: Two or more person household – with dependent child(ren)","HRP aged 55 to 64: Total","HRP aged 55 to 64: One person household","HRP aged 55 to 64: Two or more person household – no dependent child(ren)","HRP aged 55 to 64: Two or more person household – with dependent child(ren)","HRP aged 65 to 74: Total","HRP aged 65 to 74: One person household","HRP aged 65 to 74: Two or more person household – no dependent child(ren)","HRP aged 65 to 74: Two or more person household – with dependent child(ren)","HRP aged 75 and over: Total","HRP aged 75 and over: One person household","HRP aged 75 and over: Two or more person household – no dependent child(ren)","HRP aged 75 and over: Two or more person household – with dependent child(ren)"
"S00163379",46,2,1,-,2,21,2,7,11,12,3,4,2,3,1,2,-,7,5,-,-
"S00163380",74,12,6,1,4,25,10,5,7,21,7,8,3,10,4,6,-,6,4,2,-
"S00163381",65,16,5,4,4,19,12,3,4,17,10,6,-,5,2,4,-,11,8,3,-
"S00163382",46,7,2,4,3,9,4,3,4,16,3,9,-,6,3,1,-,11,7,2,-
"S00163383",46,4,1,2,1,13,2,5,6,12,4,13,-,6,3,3,-,12,5,7,-
"S00163384",68,16,13,-,6,20,5,4,11,21,8,8,2,8,3,7,1,2,1,1,-
"S00163385",45,5,2,-,4,29,5,8,16,7,5,4,-,5,3,3,-,3,1,1,-
"S00163386",46,7,1,2,2,12,5,-,5,12,4,4,1,10,6,5,-,4,1,4,-
"S00163387",42,3,1,2,2,10,2,3,4,14,6,7,-,5,-,5,-,10,9,2,-
"S00163388",80,18,6,6,5,16,7,1,1,7,4,3,-,6,6,-,-,37,30,8,-
"S00163389",38,5,-,2,4,16,5,4,7,10,4,4,1,4,-,4,-,4,1,1,-
"S00163390",75,11,4,1,7,22,15,9,3,21,11,8,-,7,6,1,-,15,11,4,-
"S00163391",41,-,-,-,-,11,-,5,6,9,4,5,-,6,-,5,-,12,3,9,-
"S00163392",73,7,1,3,2,18,7,3,10,20,6,8,3,14,4,10,-,15,10,9,-
"S00163393",48,-,-,-,-,13,1,2,10,17,5,6,2,7,2,2,-,13,4,9,-
"S00163394",60,12,6,4,-,22,11,6,5,14,8,5,-,7,2,4,-,6,4,2,-
"S00163395",63,6,5,1,1,20,4,2,12,15,1,8,1,15,6,10,-,10,4,6,-
"S00163396",77,26,11,6,9,26,14,-,13,14,7,7,-,6,4,1,1,2,2,-,-
"S00163397",65,16,3,4,9,34,4,7,23,11,3,8,1,3,-,3,-,1,-,1,-
"S00163398",43,3,-,-,1,15,5,1,8,11,-,11,-,8,4,7,-,6,4,5,-
"S00163399",43,1,-,1,-,9,2,2,4,13,2,9,3,8,-,8,-,12,6,6,-
"S00163400",70,20,6,5,7,31,8,8,15,13,4,9,-,4,2,1,1,2,1,2,-
"S00163401",45,3,2,1,-,7,-,3,4,14,1,13,-,12,7,5,-,6,5,4,-
"S00163402",62,12,3,3,6,22,14,6,4,13,9,3,2,14,10,4,-,1,-,1,-
"S00163403",48,5,2,2,3,7,-,2,8,12,4,6,-,12,5,7,-,6,4,-,-
"S00163404",61,9,6,2,5,18,7,9,5,13,3,9,3,6,4,4,-,12,8,4,-
"S00163405",40,-,-,-,-,13,-,9,4,8,2,6,-,9,3,4,-,10,5,5,-
"S00163406",30,6,-,1,5,15,-,7,9,4,1,3,-,5,1,4,-,-,-,-,-
"S00163407",83,12,4,3,5,39,9,11,17,9,4,2,2,16,6,10,-,7,7,-,-
"S00163408",77,10,4,4,2,17,7,3,5,14,1,8,2,11,1,8,-,25,20,5,-
"S00163409",62,6,1,4,1,21,7,8,6,14,5,7,2,16,5,9,1,4,4,1,-
"S00163410",35,6,-,5,3,18,3,4,11,6,-,5,1,1,-,1,-,4,2,5,-
"S00163411",78,5,4,1,-,21,8,6,6,14,2,12,-,20,11,11,-,18,10,8,-
"S00163412",74,16,3,4,6,26,15,4,12,17,11,8,1,7,6,1,-,9,5,4,-
"S00163413",57,3,2,1,3,14,2,3,9,22,11,11,-,9,5,4,2,9,4,6,-
"S00163414",51,10,1,4,-,21,1,5,15,4,1,3,-,7,1,3,-,12,8,5,-
"S00163415",70,6,4,-,-,17,3,4,8,20,2,9,1,14,5,9,-,11,7,5,-
"S00163416",31,2,-,-,2,9,3,2,4,11,2,13,-,5,-,5,-,3,3,-,-
"S00163417",66,3,3,2,1,15,5,3,4,7,3,5,-,13,6,7,-,26,16,10,-
"S00163418",73,-,-,-,-,17,5,1,11,17,8,6,1,16,6,10,-,23,5,18,-
"S00163419",40,1,-,-,1,9,2,2,6,11,-,10,-,8,1,7,1,10,3,6,-
"S00163420",61,6,3,2,1,18,6,6,7,16,2,15,-,5,3,2,-,16,10,6,-
"S00163421",35,1,-,1,-,8,2,1,8,6,2,4,-,11,4,8,-,9,4,5,-
"S00163422",37,7,2,-,4,15,2,3,8,12,1,11,-,3,1,1,-,4,4,2,-
"S00163423",43,10,3,2,5,28,9,7,14,2,5,1,-,-,-,-,-,1,1,-,-
"S00163424",82,22,7,10,5,27,8,8,11,17,10,6,1,11,7,4,-,5,5,-,-
"S00163425",40,2,-,1,1,8,-,-,6,7,-,7,-,8,2,6,-,15,4,11,-
"S00163426",41,4,2,3,1,7,-,5,4,11,4,7,-,10,4,8,-,6,4,2,-
"S00163427",62,6,-,3,3,21,2,8,9,14,2,11,1,13,3,7,-,11,5,8,-
"S00163428",50,-,1,-,2,8,1,3,4,19,4,8,6,7,1,6,-,13,5,8,-
"S00163429",61,9,5,4,-,23,4,7,9,19,3,14,2,8,7,4,-,3,1,2,-
"S00163430",44,13,10,6,1,15,7,6,3,8,4,3,1,2,1,1,-,3,3,-,-
"S00163431",47,12,4,9,2,11,9,3,-,11,4,6,1,8,5,1,-,5,1,5,-
"S00163432",52,8,4,-,4,13,14,1,2,10,7,3,-,8,3,2,-,9,6,3,-
"S00163433",58,14,7,2,7,23,9,4,10,10,4,7,-,7,4,-,2,4,-,2,-
"S00163434",55,5,-,1,4,21,5,-,14,13,6,8,1,9,5,7,-,7,3,4,-
"S00163435",68,5,-,1,4,19,4,5,10,17,5,12,-,15,9,5,1,14,5,9,-
"S00163436",49,1,-,1,-,6,2,3,-,14,7,3,-,8,4,4,-,21,13,8,-
"S00163437",38,2,1,-,1,11,2,1,9,7,2,1,1,8,4,4,-,8,4,5,-
"S00163438",70,10,-,3,5,20,7,6,12,11,4,7,-,9,6,3,-,16,7,7,-
"S00163439",55,3,1,1,1,2,2,-,-,12,10,1,1,15,15,-,-,23,21,-,-
"S00163440",64,11,2,-,9,19,4,4,11,11,6,5,-,15,9,6,-,8,3,5,-
"S00163441",51,3,2,-,1,13,2,4,7,11,2,9,-,10,3,7,-,14,9,5,-
"S00163442",66,10,3,1,3,36,5,11,20,14,4,10,2,3,1,4,-,3,1,2,-
"S00163443",39,21,11,2,8,10,4,4,6,2,1,1,-,-,-,-,-,2,2,-,-
"S00163444",43,2,-,-,2,11,1,3,7,11,3,6,2,9,-,9,-,10,1,8,-
"S00163445",51,10,5,3,2,16,5,2,8,13,7,5,1,9,10,2,-,3,4,1,-
"S00163446",71,16,6,4,8,22,5,8,9,26,13,11,2,7,4,-,-,4,4,-,-
"S00163447",41,4,2,1,-,11,8,2,2,13,6,6,-,6,2,3,-,8,4,4,-
"S00163448",72,20,6,4,10,15,7,3,5,16,7,8,1,11,2,10,-,10,9,4,-
"S00163449",48,15,7,6,3,22,10,6,6,4,4,-,-,6,6,1,-,2,2,-,-
"S00163450",34,-,-,2,2,13,-,3,10,7,2,5,-,4,-,4,-,8,3,5,-
"S00163451",42,-,-,-,-,8,-,3,4,10,-,8,-,12,3,8,2,9,4,11,-
"S00163452",53,8,1,4,-,16,1,6,8,12,-,11,1,9,1,5,-,11,3,6,-
"S00163453",36,5,2,2,1,10,3,1,6,6,3,2,-,5,3,2,-,10,5,5,-
"S00163454",34,8,3,1,1,8,5,1,2,11,7,5,1,-,1,1,-,8,6,4,-
"S00163455",47,4,1,1,2,13,2,3,8,6,3,2,-,19,8,8,-,9,7,2,-
"S00163456",27,1,1,-,-,7,1,1,5,9,1,6,3,5,-,5,-,6,3,1,-
"S00163457",55,3,1,1,1,37,3,7,27,10,2,7,1,3,3,-,-,2,1,2,-
"S00163458",46,4,2,2,-,9,2,4,2,18,6,6,2,8,2,6,-,8,3,5,-
"S00163459",44,11,2,5,3,13,3,5,7,10,7,1,-,5,2,3,-,2,-,2,-
"S00163460",40,10,5,2,4,9,1,2,6,10,3,7,-,7,2,5,-,4,1,1,-
"S00163461",31,2,-,-,2,6,1,2,4,12,1,9,2,6,-,8,1,5,-,5,-
"S00163462",43,14,3,1,7,20,7,7,8,8,1,4,3,3,-,3,-,1,-,1,-
"S00163463",46,10,3,3,4,28,5,7,16,6,2,3,1,4,1,1,-,-,-,-,-
"S00163464",50,10,9,-,4,20,9,5,6,18,10,3,1,4,3,-,-,2,1,2,-
"S00163465",45,9,6,1,2,26,5,9,15,3,2,1,-,6,3,2,-,3,1,2,-
"S00163466",81,20,10,6,4,23,13,3,4,14,10,4,-,11,10,2,-,13,9,2,-
"S00163467",36,5,3,-,1,9,1,4,5,8,6,4,-,6,4,3,-,6,6,-,-
"S00163468",59,10,3,6,1,18,12,1,4,21,9,12,-,6,3,5,1,-,-,-,-
"S00163469",57,3,-,-,3,21,9,-,12,10,3,6,1,11,11,1,-,9,5,6,-
"S00163470",77,8,4,2,4,26,7,6,13,15,5,11,2,11,6,5,-,14,8,6,-
"S00163471",43,10,5,-,5,9,5,2,2,6,4,4,-,7,5,2,-,12,9,4,-
"S00163472",41,6,-,4,3,14,1,3,10,8,-,7,1,6,1,5,-,8,4,4,-
"S00163473",42,2,-,2,1,15,2,6,9,6,2,4,1,8,2,6,-,6,2,4,-
"S00163474",42,6,-,1,5,13,2,4,7,11,9,4,-,6,4,2,-,6,4,2,-
"S00163475",47,12,8,1,-,10,9,-,2,13,8,4,-,12,10,3,-,5,1,4,-
"S00163476",57,18,8,11,2,17,9,2,5,16,4,8,-,4,1,3,-,6,1,4,-
"S00163477",43,2,-,-,1,14,3,2,9,8,3,6,-,13,5,8,-,5,2,3,-
"S00163478",53,7,1,1,5,30,3,12,15,11,5,3,3,3,-,3,-,-,-,-,-
"S00163479",68,19,5,13,5,33,5,5,24,6,1,6,1,6,4,1,1,-,-,-,-
"S00163480",46,3,2,-,-,15,-,4,11,15,-,12,1,6,-,6,-,7,4,3,-
"S00163481",34,4,2,2,2,10,3,1,4,9,2,6,-,7,3,2,-,5,5,-,-
"S00163482",78,14,9,1,4,24,10,5,9,11,10,1,-,15,12,2,-,19,13,2,-
"S00163483",54,5,2,3,-,17,4,4,10,8,1,5,4,15,2,13,-,9,3,6,-
"S00163484",62,7,1,4,1,18,4,3,10,14,4,10,-,8,3,5,-,19,11,3,-
"S00163485",33,1,1,-,-,11,5,2,6,9,2,5,2,4,3,1,-,10,1,9,-
"S00163486",40,3,-,1,1,21,2,4,19,9,1,7,1,4,-,5,1,-,-,-,-
"S00163487",50,7,-,1,2,18,5,6,7,6,3,3,-,10,5,5,-,11,6,6,-
"S00163488",57,14,11,2,1,26,13,6,7,11,-,7,-,8,8,-,-,-,-,-,-
"S00163489",42,-,-,-,-,16,1,3,9,10,2,10,-,7,4,4,-,5,2,3,-
"S00163490",62,8,1,1,6,28,7,8,15,11,3,7,-,6,4,2,-,9,4,6,-
"S00163491",70,6,-,3,3,16,2,4,10,17,4,9,1,10,3,4,-,21,12,12,-
"S00163492",51,-,-,1,2,13,1,8,5,10,-,9,-,9,1,8,-,14,7,7,-
"S00163493",50,4,3,-,2,5,4,1,2,15,6,8,1,17,6,7,-,10,9,4,-
"S00163494",32,8,4,3,4,8,-,-,8,12,2,8,3,5,2,1,-,2,-,2,-
"S00163495",35,4,-,-,4,12,3,1,8,6,1,4,1,5,2,3,-,6,7,4,-
"S00163496",57,12,8,5,2,17,5,6,6,13,1,10,2,6,5,1,-,9,6,3,-
"S00163497",53,12,4,-,4,14,2,4,7,15,7,8,-,11,6,5,-,5,2,2,-
"S00163498",31,6,-,4,2,14,2,6,8,12,-,12,-,2,-,1,-,-,-,-,-
"S00163499",47,4,3,-,1,12,5,3,4,11,4,5,2,12,9,3,-,8,2,6,-
"S00163500",42,8,5,3,-,16,3,2,7,15,8,6,1,-,-,-,-,3,3,-,-
"S00163501",51,2,-,2,1,17,5,7,6,15,6,5,1,8,5,4,-,8,4,4,-
"S00163502",62,20,5,9,7,36,6,13,17,6,3,3,-,3,1,2,-,-,-,-,-
"S00163503",54,2,1,-,1,23,9,3,14,9,4,7,-,10,6,4,-,10,4,2,1
"S00163504",46,3,1,2,-,10,2,2,1,17,4,11,2,9,2,7,-,7,4,3,-
"S00163505",38,6,1,3,2,13,3,2,7,6,2,6,-,6,3,3,-,7,5,2,-
"S00163506",40,-,-,-,-,5,-,4,3,18,7,6,1,12,5,10,-,9,7,2,-
"S00163507",50,1,1,-,-,13,2,3,8,7,-,4,3,10,3,6,-,19,10,9,-
"S00163508",53,7,5,3,1,18,2,6,8,9,1,4,-,12,7,5,-,9,2,7,-
"S00163509",73,17,12,4,1,26,12,7,7,9,2,7,-,14,9,8,-,6,3,4,-
"S00163510",69,5,4,-,-,16,8,3,5,13,6,6,1,17,12,9,2,18,9,9,-
"S00163511",56,6,1,-,4,21,7,1,11,11,5,6,-,2,1,1,-,16,10,4,-
"S00163512",51,9,3,-,7,23,3,4,16,7,5,1,-,5,2,3,-,7,3,4,-
"S00163513",70,15,4,2,4,30,7,8,15,13,8,4,2,6,3,3,-,6,4,-,-
"S00163514",35,1,-,1,-,11,1,3,5,6,-,5,-,9,3,6,-,5,-,5,-
"S00163515",48,7,2,-,5,13,2,5,5,12,5,10,-,2,-,2,-,12,7,8,-
"S00163516",52,4,5,3,-,19,17,2,-,18,18,4,-,7,7,-,-,2,2,-,-
"S00163517",67,4,-,1,3,28,4,10,20,17,3,8,3,12,3,6,1,7,1,4,-
"S00163518",38,1,1,-,-,16,2,6,8,10,3,7,-,3,-,3,-,11,3,4,-
"S00163519",60,10,2,-,9,22,6,5,11,14,3,10,2,8,5,3,-,5,4,2,-
"S00163520",39,4,2,1,2,19,3,6,10,11,6,4,1,1,1,-,-,5,4,2,-
"S00163521",65,7,4,1,2,18,7,2,9,21,12,8,2,11,-,11,-,8,6,2,-
"S00163522",65,9,5,2,3,17,10,3,2,11,2,7,-,16,7,11,-,12,8,5,-
"S00163523",47,12,5,4,5,9,3,2,4,6,3,3,-,10,4,6,-,10,8,3,-
"S00163524",75,24,23,1,-,23,21,2,1,15,12,3,-,12,10,1,-,2,2,-,-
"S00163525",48,8,3,2,4,13,4,8,7,13,5,7,2,9,5,2,-,5,2,3,-
"S00163526",72,17,4,9,3,31,8,7,20,9,3,6,-,10,-,8,-,5,1,4,-
"S00163527",79,20,8,4,8,23,4,5,18,19,6,9,2,3,2,-,-,10,6,4,-
"S00163528",69,8,4,3,1,34,16,6,12,7,2,2,1,9,3,6,-,11,7,2,-
"S00163529",74,11,3,1,5,31,8,9,10,16,7,8,1,11,6,5,-,9,8,3,-
"S00163530",46,18,5,4,9,13,4,2,7,10,9,-,1,4,2,2,-,1,1,-,-
"S00163531",71,4,-,1,3,18,9,5,9,28,4,20,4,8,-,8,-,13,7,6,-
"S00163532",70,5,3,1,2,23,9,5,9,12,3,8,3,11,2,10,-,17,10,7,-
"S00163533",59,31,17,13,5,14,6,1,5,7,2,4,-,2,2,-,-,5,5,-,-
"S00163534",34,2,-,2,-,15,1,4,10,6,1,3,2,3,-,5,-,8,2,4,-
"S00163535",45,13,4,2,4,23,7,9,7,6,4,1,-,1,1,1,-,-,-,-,-
"S00163536",78,15,11,8,1,28,16,4,8,11,8,4,-,5,-,4,-,18,13,3,-
"S00163537",70,12,8,2,1,31,10,12,8,11,5,5,1,6,3,3,-,10,5,3,-
"S00163538",50,5,1,3,1,10,6,2,5,10,7,2,1,8,6,3,-,14,9,5,-
"S00163539",68,13,3,5,4,24,12,6,6,18,9,9,-,3,2,1,-,10,8,2,-
"S00163540",43,8,3,2,3,17,8,2,10,10,8,4,-,4,4,-,-,1,1,-,-
"S00163541",47,5,1,-,4,8,2,2,2,17,13,4,-,3,3,-,-,13,13,3,-
"S00163542",45,7,6,-,3,16,3,6,8,8,5,4,1,7,2,5,-,5,3,4,-
"S00163543",39,4,-,2,-,17,8,3,6,6,3,1,1,3,2,-,-,9,7,2,-
"S00163544",66,10,1,4,7,11,3,4,4,19,8,10,2,10,5,4,2,16,11,5,-
"S00163545",53,6,1,-,5,19,9,4,7,13,7,6,-,6,2,2,-,9,7,3,-
"S00163546",65,15,5,1,8,26,4,9,15,13,6,7,-,4,3,1,-,7,7,-,-
"S00163547",48,16,14,1,-,19,16,3,4,8,4,3,-,1,-,1,-,2,-,2,-
"S00163548",87,28,10,12,4,36,19,5,8,11,5,6,-,11,10,2,-,2,2,-,-
"S00163549",66,6,4,2,2,18,-,4,14,19,2,19,2,8,1,7,-,15,5,10,-
"S00163550",72,18,10,4,4,29,9,6,14,16,10,5,1,5,3,3,-,3,3,2,-
"S00163551",77,3,1,-,2,23,3,8,12,18,4,15,-,17,7,10,-,19,11,8,-
"S00163552",43,11,-,2,7,18,5,7,8,7,3,4,-,6,1,3,-,1,1,-,-
"S00163553",44,3,-,-,3,21,3,6,7,10,4,6,-,8,6,2,-,3,4,1,-
"S00163554",34,3,3,-,-,10,2,3,6,7,5,4,-,8,1,6,1,7,5,3,-
"S00163555",43,2,-,-,2,12,3,3,6,16,1,12,3,6,4,4,-,7,7,2,-
"S00163556",44,10,7,1,3,14,5,1,8,12,2,9,1,4,2,2,-,4,2,2,-
"S00163557",61,1,-,-,1,13,3,2,9,17,3,13,-,13,5,8,-,13,12,4,-
"S00163558",44,1,1,-,-,9,1,3,5,8,3,6,-,12,8,5,-,16,14,2,-
"S00163559",39,15,4,3,11,16,5,1,10,6,3,3,1,-,-,-,-,-,-,-,-
"S00163560",51,12,-,7,5,20,9,3,8,9,3,5,2,6,6,-,-,6,2,2,-
"S00163561",68,9,5,1,3,30,13,6,11,15,7,7,2,7,8,2,-,4,4,-,-
"S00163562",48,19,13,1,5,15,14,-,1,4,2,1,-,-,-,-,-,5,2,3,-
"S00163563",37,6,1,3,-,18,3,5,10,3,2,2,1,5,3,2,-,5,2,3,-
"S00163564",31,1,-,1,-,9,-,-,8,5,-,5,-,2,-,2,-,13,6,7,-
"S00163565",63,10,3,6,1,15,7,2,6,14,3,11,-,13,6,7,-,11,4,6,-
"S00163566",46,8,-,5,1,11,3,3,3,11,3,10,1,11,4,7,-,7,4,2,-
"S00163567",39,-,-,-,-,9,2,-,6,6,3,4,-,9,5,4,-,15,8,7,-
"S00163568",67,2,-,1,-,16,3,7,6,21,6,10,5,19,8,9,-,11,4,7,-
"S00163569",48,-,-,-,-,11,2,2,7,12,1,8,-,8,1,7,-,20,10,6,-
"S00163570",48,1,-,-,1,32,4,9,20,7,-,7,-,5,-,5,-,1,-,1,-
"S00163571",39,7,-,1,6,17,4,4,9,9,3,8,-,2,1,-,-,4,2,1,-
"S00163572",69,10,3,5,2,24,2,5,15,17,7,7,3,14,6,8,-,8,5,3,-
"S00163573",40,8,2,2,3,12,5,3,4,9,4,1,4,7,6,2,-,6,1,3,-
"S00163574",42,2,-,-,2,12,1,5,6,14,3,10,1,7,2,5,-,9,6,3,-
"S00163575",69,3,3,-,-,15,5,7,5,13,2,12,-,18,2,15,2,21,6,16,-
"S00163576",41,20,12,4,5,15,5,3,7,4,2,-,1,1,1,-,-,2,2,-,-
"S00163577",65,11,4,3,7,29,8,6,11,12,5,7,-,4,-,4,-,9,6,3,-
"S00163578",57,4,1,-,3,15,2,5,11,8,3,4,1,5,1,5,-,23,12,11,-
"S00163579",63,10,3,1,5,21,7,7,9,12,5,7,-,7,4,2,-,15,9,6,-
"S00163580",58,32,16,11,7,17,10,2,5,4,1,1,-,2,2,-,-,1,1,-,-
"S00163581",78,4,-,1,4,22,5,9,8,19,5,13,1,18,4,14,-,14,4,10,-
"S00163582",36,2,-,1,-,16,-,5,11,7,3,5,-,7,3,5,-,7,-,3,-
"S00163583",74,21,14,2,1,24,7,7,10,11,4,10,1,8,3,5,-,7,2,5,-
"S00163584",61,9,6,-,3,22,6,5,9,16,2,13,1,3,2,4,-,9,6,3,-
"S00163585",44,5,4,1,-,18,2,5,16,9,2,5,-,4,2,4,-,8,2,5,-
"S00163586",41,2,-,2,-,14,3,5,7,8,-,7,-,9,2,6,1,5,4,2,-
"S00163587",77,27,9,6,15,40,11,4,22,7,4,4,-,2,-,2,-,2,-,2,-
"S00163588",46,1,1,-,1,14,-,4,9,13,4,5,4,7,3,2,-,12,7,5,-
"S00163589",29,4,1,-,3,12,2,4,6,5,1,3,1,4,1,3,-,5,2,3,-
"S00163590",59,18,4,5,8,33,2,5,23,5,1,5,-,3,3,-,-,-,-,-,-
"S00163591",35,3,2,1,7,13,5,1,5,9,4,4,1,4,2,2,-,4,5,1,-
"S00163592",57,17,4,8,4,30,13,12,10,6,2,-,2,5,5,-,-,-,-,-,-
"S00163593",43,3,-,1,1,7,1,4,4,12,5,7,-,13,-,10,-,12,8,4,-
"S00163594",40,1,2,1,-,5,2,1,2,11,3,8,-,6,2,2,-,15,8,6,-
"S00163595",42,12,5,5,2,24,4,10,10,2,-,2,-,2,-,2,-,2,1,1,-
"S00163596",44,13,10,-,2,9,3,3,4,9,-,7,-,7,-,1,-,7,4,4,-
"S00163597",68,34,14,12,8,26,12,6,8,7,5,2,-,-,-,-,-,1,1,-,-
"S00163598",46,9,-,1,4,22,2,8,11,16,3,7,2,2,-,2,-,-,-,-,-
"S00163599",54,2,-,1,1,8,2,4,3,15,6,8,1,10,6,-,-,19,11,9,-
"S00163600",39,4,4,-,-,7,2,3,2,14,2,10,2,6,-,6,-,6,1,5,-
"S00163601",56,8,1,-,5,19,10,4,6,15,4,9,2,8,5,4,1,6,5,2,-
"S00163602",46,15,4,7,5,26,5,5,16,3,1,2,-,1,1,-,-,1,-,1,-
"S00163603",39,4,1,-,2,22,-,7,13,7,-,4,3,4,2,2,-,1,-,1,-
"S00163604",64,31,18,10,4,31,20,5,7,1,1,-,-,1,1,-,-,-,-,-,-
"S00163605",63,5,2,1,2,18,2,3,13,15,1,10,1,9,4,5,-,14,5,10,-
"S00163606",54,4,-,1,3,16,3,4,9,15,7,7,1,9,4,5,-,10,3,7,-
"S00163607",44,4,2,-,2,14,1,-,11,17,5,12,-,3,-,3,-,7,2,5,-
"S00163608",28,-,-,-,-,8,2,3,3,5,-,4,1,6,-,3,1,9,3,6,-
"S00163609",28,1,-,1,-,9,2,2,6,7,2,4,-,2,1,-,-,8,7,1,-
"S00163610",65,3,1,2,-,10,4,2,6,11,2,9,-,23,8,16,-,18,11,7,-
"S00163611",66,12,5,-,4,37,12,12,14,13,4,5,2,2,2,-,-,1,1,-,-
"S00163612",47,5,2,1,2,13,1,7,5,8,3,3,-,10,5,3,-,12,6,6,-
"S00163613",52,6,-,2,4,18,6,4,4,12,2,7,1,11,4,9,-,9,4,5,-
"S00163614",61,4,1,-,3,5,2,4,2,16,7,8,1,22,16,6,-,14,11,4,-
"S00163615",35,13,6,5,1,13,4,2,7,5,3,2,1,1,-,1,-,3,2,1,-
"S00163616",43,11,4,2,7,23,6,5,13,3,-,2,-,2,1,1,-,-,-,-,-
"S00163617",51,17,10,4,3,17,7,3,7,8,5,2,-,6,5,1,-,2,2,-,-
"S00163618",42,1,-,-,1,10,-,1,7,12,3,8,1,8,3,5,-,11,5,6,-
"S00163619",43,1,1,-,-,8,3,3,3,10,3,9,-,8,1,4,-,14,9,5,-
"S00163620",56,3,-,-,3,17,-,1,20,14,2,10,2,12,4,7,1,3,1,2,-
"S00163621",51,2,1,1,-,12,6,1,5,16,8,6,2,8,2,6,-,12,6,6,-
"S00163622",62,9,1,3,5,31,-,6,25,11,3,7,-,6,1,4,1,5,2,3,-
"S00163623",51,13,5,3,5,27,5,4,16,9,6,3,-,3,3,-,-,1,-,1,-
"S00163624",56,30,10,2,18,20,4,-,14,5,3,1,1,-,-,-,-,2,-,2,-
"S00163625",59,6,1,4,2,26,3,5,14,7,-,6,-,12,2,10,-,11,6,2,-
"S00163626",71,17,8,5,4,44,10,6,25,4,4,2,1,-,-,-,-,2,-,2,-
"S00163627",34,1,-,1,-,9,-,2,6,10,2,13,1,6,1,5,-,5,1,2,-
"S00163628",47,1,-,-,1,10,-,1,8,16,4,8,4,13,4,9,-,7,4,4,-
"S00163629",44,3,1,1,1,10,-,1,6,9,2,6,1,10,8,5,-,15,8,7,-
"S00163630",76,12,4,3,5,37,20,7,10,17,8,11,-,5,2,-,-,5,3,4,-
"S00163631",67,13,5,4,4,27,9,4,15,12,8,3,1,15,7,4,-,2,-,2,-
"S00163632",65,6,4,1,1,31,1,12,18,16,5,10,1,7,1,3,-,5,1,4,-
"S00163633",45,4,4,2,1,8,4,2,3,15,6,9,-,6,-,4,-,7,5,3,-
"S00163634",52,2,-,-,2,21,2,3,16,17,1,12,4,11,-,5,-,4,1,3,-
"S00163635",67,16,9,4,3,22,8,5,9,10,5,8,-,6,4,-,-,13,6,6,-
"S00163636",79,28,15,8,5,40,8,7,28,6,3,2,2,2,2,1,-,2,-,2,-
"S00163637",49,34,20,14,-,10,5,5,-,3,2,-,1,1,1,-,-,1,1,-,-
"S00163638",71,31,22,11,2,29,9,7,17,10,6,4,-,1,-,1,-,-,-,-,-
"S00163639",63,15,4,3,6,24,7,5,6,12,2,10,-,7,3,4,-,8,6,2,-
"S00163640",58,25,11,2,12,22,6,-,14,9,5,3,2,4,-,4,-,-,-,-,-
"S00163641",49,6,3,-,3,20,7,9,4,16,4,11,1,4,2,3,-,3,-,2,-
"S00163642",46,2,-,-,2,14,4,2,10,16,3,11,2,5,-,5,-,9,2,7,-
"S00163643",54,2,-,-,2,16,3,5,8,14,4,10,4,10,5,5,-,8,3,5,-
"S00163644",43,20,8,9,3,19,5,4,6,4,4,2,-,2,2,-,-,1,-,1,-
"S00163645",59,9,-,5,4,28,-,6,20,8,2,5,1,9,5,4,-,5,2,4,-
"S00163646",41,10,1,1,7,24,3,9,5,9,-,7,1,1,1,-,-,1,-,1,-
"S00163647",36,6,3,-,1,15,1,5,14,16,-,10,1,7,-,7,-,-,-,-,-
"S00163648",80,20,3,11,6,50,10,8,31,5,-,5,-,5,-,4,-,-,-,-,-
"S00163649",61,2,-,1,1,27,1,3,23,20,1,14,5,10,1,7,-,1,-,1,-
"S00163650",50,25,4,8,10,26,1,6,19,1,-,-,1,1,-,1,-,-,-,-,-
"S00163651",63,31,18,5,10,23,7,-,14,3,-,1,2,5,-,3,1,4,1,3,-
"S00163652",47,24,12,2,14,13,4,3,10,5,1,3,1,1,1,-,-,-,-,-,-
"S00163653",72,12,3,6,3,26,9,9,8,19,8,12,4,10,3,3,1,5,4,2,-
"S00163654",74,24,-,2,22,37,6,9,22,4,2,4,2,1,1,2,-,4,4,-,-
"S00163655",51,2,-,-,2,15,-,5,10,23,3,13,6,6,3,3,-,9,5,6,-
"S00163656",33,2,-,2,1,17,-,5,13,6,3,1,1,4,-,4,-,4,-,3,-
"S00163657",69,3,-,-,3,20,1,7,10,20,4,13,2,12,2,10,-,14,4,11,-
"S00163658",49,17,5,5,7,24,5,6,9,5,1,-,3,3,-,-,1,1,-,1,-
"S00163659",34,6,2,-,4,19,5,4,12,8,4,4,-,1,-,1,-,4,3,2,-
