Scotland's Census 2022 - National Records of Scotland
Table UV111 - Household lifestage
All households
,"All households","HRP aged under 35: Total","HRP aged under 35: One person household","HRP aged under 35: Two or more person household – no dependent child(ren)","HRP aged under 35: Two or more person household – with dependent child(ren)","HRP aged 35 to 54: Total","HRP aged 35 to 54: One person household","HRP aged 35 to 54: Two or more person household – no dependent child(ren)","HRP aged 35 to 54: Two or more person household – with dependent child(ren)","HRP aged 55 to 64: Total","HRP aged 55 to 64: One person household","HRP aged 55 to 64: Two or more person household – no dependent child(ren)","HRP aged 55 to 64: Two or more person household – with dependent child(ren)","HRP aged 65 to 74: Total","HRP aged 65 to 74: One person household","HRP aged 65 to 74: Two or more person household – no dependent child(ren)","HRP aged 65 to 74: Two or more person household – with dependent child(ren)","HRP aged 75 and over: Total","HRP aged 75 and over: One person household","HRP aged 75 and over: Two or more person household – no dependent child(ren)","HRP aged 75 and over: Two or more person household – with dependent child(ren)"
"S00135379",26,-,-,-,-,7,-,4,3,9,2,9,1,-,-,-,-,6,3,2,-
"S00135380",52,6,2,5,1,13,1,4,10,18,2,14,2,8,1,6,-,4,-,4,-
"S00135381",53,19,5,8,6,23,3,7,13,6,-,2,1,3,1,1,-,1,1,-,-
"S00135382",41,7,4,3,1,22,3,6,13,4,-,4,-,6,-,4,-,3,2,-,-
"S00135383",53,5,2,3,1,41,5,9,25,8,3,5,-,2,2,-,-,-,-,-,-
"S00135384",26,6,5,4,3,11,3,5,6,4,1,3,-,-,-,-,-,-,-,-,-
"S00135385",51,19,12,2,5,27,13,-,14,6,5,1,-,-,-,-,-,-,-,-,-
"S00135386",78,8,5,-,4,13,8,2,3,12,7,2,-,17,10,8,-,29,25,3,-
"S00135387",75,5,-,1,3,11,1,2,6,31,4,22,5,17,5,9,-,11,7,6,-
"S00135388",80,4,3,1,-,43,6,9,28,13,2,7,1,8,2,6,-,8,6,2,-
"S00135389",58,-,-,-,1,15,-,4,11,10,3,7,-,22,7,15,-,9,3,6,-
"S00135390",42,11,4,4,4,22,12,3,12,6,3,3,-,3,1,2,-,-,-,-,-
"S00135391",79,16,4,1,9,40,8,10,21,17,5,11,-,9,-,5,-,-,-,-,-
"S00135392",39,11,3,6,1,12,1,4,4,11,9,2,-,4,-,1,-,2,2,-,-
"S00135393",129,77,46,3,25,43,27,6,6,10,6,4,-,-,-,-,-,3,2,1,-
"S00135394",60,9,2,6,1,21,3,8,12,13,2,15,-,10,2,9,-,6,5,3,-
"S00135395",30,1,-,1,-,11,-,2,9,11,2,10,-,2,-,2,-,3,-,3,-
"S00135396",67,10,2,-,4,22,11,2,10,16,9,7,-,8,3,5,-,9,4,7,-
"S00135397",43,11,-,5,9,22,2,3,17,9,4,6,1,-,-,-,-,1,-,1,-
"S00135398",50,12,4,1,4,22,3,7,11,8,2,5,1,6,1,5,-,2,-,2,-
"S00135399",51,17,6,6,5,26,8,3,15,6,4,1,2,1,1,-,-,-,-,-,-
"S00135400",73,5,-,4,2,34,3,19,11,18,9,6,-,10,3,8,-,6,2,4,-
"S00135401",45,6,1,2,2,14,4,4,6,17,3,12,-,6,1,5,-,2,-,2,-
"S00135402",52,8,11,1,-,21,12,3,7,13,9,4,-,3,2,1,-,4,2,4,-
"S00135403",58,8,3,5,-,26,8,4,10,12,3,8,1,8,3,2,-,7,4,2,-
"S00135404",43,15,8,4,3,14,5,2,7,7,3,4,-,3,3,-,-,6,2,2,-
"S00135405",76,10,3,1,10,23,3,5,16,17,5,9,4,14,4,10,-,10,6,4,-
"S00135406",71,5,-,4,1,17,4,4,12,27,2,24,-,11,3,8,-,11,2,9,-
"S00135407",60,3,-,1,2,28,3,10,16,10,3,6,2,13,6,7,-,6,1,5,-
"S00135408",73,3,-,1,2,22,7,6,11,13,3,8,1,14,6,8,-,21,12,10,-
"S00135409",36,3,3,-,-,6,1,-,5,12,4,10,-,7,1,6,-,6,4,4,-
"S00135410",59,13,10,2,1,23,5,10,8,10,5,9,-,7,4,2,1,2,2,-,-
"S00135411",95,23,9,11,2,34,15,9,14,22,9,13,-,7,3,4,-,5,4,2,-
"S00135412",51,2,1,-,1,17,4,3,10,6,-,4,-,18,3,15,-,6,3,5,-
"S00135413",56,8,3,2,2,11,-,5,6,12,1,9,3,19,1,18,-,9,4,4,-
"S00135414",39,2,-,2,-,7,-,3,3,12,1,8,1,11,3,8,-,6,2,5,-
"S00135415",40,2,-,-,1,14,1,3,10,14,3,11,-,6,3,1,-,4,3,2,-
"S00135416",80,6,-,3,2,29,2,7,20,18,1,16,-,21,8,13,-,9,4,2,-
"S00135417",64,14,9,4,1,25,12,8,5,22,15,7,1,1,1,-,-,2,1,1,-
"S00135418",67,5,2,-,4,40,5,6,29,16,3,15,2,4,-,4,-,2,2,-,-
"S00135419",57,17,14,3,1,30,20,2,-,9,8,1,-,2,2,1,-,2,2,2,-
"S00135420",75,16,4,5,2,15,-,3,10,13,5,8,-,22,4,16,-,13,7,6,-
"S00135421",56,8,1,6,1,19,8,3,9,13,6,7,1,9,2,6,-,-,-,-,-
"S00135422",61,12,8,1,1,24,12,2,14,16,3,10,-,4,2,1,-,4,4,-,-
"S00135423",70,6,1,3,2,23,-,3,20,19,2,15,-,11,5,6,-,11,3,8,-
"S00135424",62,5,5,3,-,23,7,4,8,13,3,6,3,11,7,4,-,14,8,6,-
"S00135425",63,4,-,1,1,25,11,7,7,8,3,6,1,18,11,6,-,10,10,2,-
"S00135426",55,1,1,1,1,23,-,7,14,15,-,13,-,9,1,8,-,6,1,4,-
"S00135427",67,2,-,-,2,4,-,2,-,18,5,10,3,20,5,16,-,24,15,9,-
"S00135428",27,7,-,3,-,11,-,1,10,10,1,6,2,3,-,3,-,1,1,-,-
"S00135429",37,-,-,-,-,8,-,1,6,6,3,7,-,10,1,9,-,9,6,3,-
"S00135430",47,2,-,-,2,15,2,6,6,12,3,9,-,13,3,10,-,6,2,6,-
"S00135431",46,9,2,6,2,15,2,-,11,10,3,6,1,9,7,-,-,3,-,3,-
"S00135432",59,2,1,-,1,12,1,3,11,22,5,11,2,12,3,12,-,16,9,5,-
"S00135433",59,4,1,-,2,15,4,3,8,19,5,12,1,13,9,7,-,8,2,5,-
"S00135434",59,-,-,-,-,6,2,3,3,13,3,10,-,23,10,9,-,17,8,9,-
"S00135435",41,-,-,-,-,4,-,4,-,9,1,7,1,16,6,10,-,10,7,2,-
"S00135436",49,2,-,2,-,17,2,4,9,12,4,9,-,6,4,3,-,12,1,9,-
"S00135437",60,17,2,8,4,24,8,6,13,10,6,4,1,1,-,1,-,5,2,3,-
"S00135438",41,8,1,1,4,15,3,2,7,8,3,4,1,10,3,6,-,6,6,-,-
"S00135439",47,-,-,-,-,5,2,1,4,15,3,10,1,8,4,2,-,16,8,5,1
"S00135440",61,5,4,4,1,12,1,-,10,17,3,11,3,13,2,13,-,9,4,5,-
"S00135441",62,5,2,2,1,13,1,4,8,17,5,11,2,9,3,6,-,13,8,5,-
"S00135442",52,-,-,-,-,2,-,-,1,8,8,-,-,20,16,4,-,22,15,7,-
"S00135443",52,6,2,4,1,23,7,7,8,6,3,3,-,10,4,6,-,6,4,3,-
"S00135444",34,6,1,4,4,24,1,10,13,-,-,-,-,-,-,-,-,1,1,-,-
"S00135445",64,7,1,4,2,20,7,5,9,10,3,7,-,17,4,13,-,10,4,6,-
"S00135446",77,6,-,1,2,17,4,2,11,19,7,10,1,23,7,12,-,14,3,11,-
"S00135447",57,12,6,4,3,26,3,6,17,10,2,8,-,6,3,3,-,5,2,1,-
"S00135448",61,24,9,5,12,31,6,4,21,4,-,3,-,-,-,-,-,1,-,1,-
"S00135449",72,2,2,1,-,7,2,1,4,9,6,4,-,13,7,6,-,41,33,8,-
"S00135450",47,4,1,1,1,10,3,-,5,6,1,5,-,10,-,9,-,18,7,11,-
"S00135451",38,1,3,1,-,6,1,3,2,7,4,5,-,6,-,5,-,15,10,8,-
"S00135452",44,7,3,1,2,15,13,2,3,13,10,3,-,2,1,1,-,8,6,1,1
"S00135453",60,20,10,5,8,20,12,4,7,10,4,6,-,2,1,1,-,8,7,1,-
"S00135454",64,26,15,8,3,26,9,3,14,7,1,3,-,3,1,2,-,-,-,-,-
"S00135455",60,11,9,1,1,19,11,1,7,10,4,6,-,12,2,12,-,8,5,3,-
"S00135456",41,3,-,4,2,17,5,3,9,10,1,8,-,4,2,5,-,5,-,6,-
"S00135457",39,4,1,-,3,10,3,5,2,5,-,5,-,7,2,7,-,8,5,2,-
"S00135458",28,3,-,2,1,12,1,3,8,10,-,10,-,-,-,-,-,3,-,2,-
"S00135459",73,6,3,-,2,13,-,3,6,13,4,9,-,15,11,4,-,26,21,5,-
"S00135460",55,5,-,5,-,16,2,3,11,11,4,6,-,10,4,9,-,13,6,8,-
"S00135461",51,9,-,-,9,15,1,-,14,11,2,9,-,14,5,9,-,4,-,4,-
"S00135462",64,4,1,-,3,25,3,9,10,17,3,10,2,10,1,8,-,8,3,6,-
"S00135463",74,7,4,1,1,22,4,7,9,25,8,19,1,10,4,6,-,10,6,4,-
"S00135464",56,15,6,6,3,20,9,4,4,9,5,6,-,2,-,1,-,10,9,3,-
"S00135465",64,3,-,2,1,16,2,9,5,19,7,10,1,8,5,3,-,18,14,3,-
"S00135466",46,4,-,2,2,12,4,2,6,13,2,9,2,9,2,7,-,7,5,2,-
"S00135467",42,5,2,1,2,11,-,1,9,13,5,6,-,8,2,3,-,8,2,6,-
"S00135468",45,38,26,11,2,8,3,4,-,4,1,2,-,-,-,-,-,-,-,-,-
"S00135469",59,3,-,2,1,10,1,4,4,14,4,11,1,17,4,14,-,16,2,12,-
"S00135470",53,2,-,2,-,16,1,4,11,22,3,16,1,6,1,8,-,4,2,2,-
"S00135471",69,13,2,5,6,24,4,6,14,7,5,3,3,8,5,4,-,9,10,5,-
"S00135472",69,5,4,1,3,24,2,5,15,11,2,9,-,11,2,9,-,14,7,7,-
"S00135473",53,6,6,3,2,16,3,4,10,11,1,7,2,11,3,6,2,6,1,5,-
"S00135474",49,15,4,6,2,22,4,4,14,5,2,3,1,4,1,3,-,3,-,3,-
"S00135475",40,7,2,1,4,13,1,4,8,9,1,7,-,6,1,5,-,7,3,4,-
"S00135476",49,5,-,2,2,10,-,1,7,9,3,5,1,18,6,10,-,8,3,8,-
"S00135477",47,16,5,6,6,24,2,8,11,6,-,6,-,5,1,4,-,1,1,-,-
"S00135478",72,4,3,-,-,13,6,4,1,5,6,-,-,11,7,3,-,39,32,7,-
"S00135479",50,4,-,1,-,16,-,5,11,21,1,20,-,8,-,8,-,1,-,1,-
"S00135480",69,14,9,4,-,27,9,7,11,11,2,6,-,8,3,5,-,9,4,5,-
"S00135481",60,3,1,-,1,11,-,1,9,12,1,11,-,16,3,13,-,17,6,11,-
"S00135482",41,1,1,-,-,11,-,3,9,5,3,2,-,13,6,8,-,9,5,3,1
"S00135483",57,8,3,-,4,12,3,3,9,10,6,8,-,15,4,11,-,12,5,7,-
"S00135484",37,1,-,-,1,3,-,-,3,11,-,10,2,14,6,6,-,5,1,4,-
"S00135485",78,9,2,4,2,21,3,6,12,19,3,13,3,14,8,6,-,15,8,7,-
"S00135486",44,2,1,-,1,23,-,5,14,9,-,8,1,11,5,8,-,3,-,2,-
"S00135487",71,3,-,3,-,21,3,8,10,17,2,14,-,16,3,13,-,14,4,10,-
"S00135488",48,4,1,2,1,20,2,3,16,6,4,2,-,12,5,8,-,8,2,4,-
"S00135489",78,49,25,3,23,20,10,2,8,6,3,2,2,2,2,-,-,-,-,-,-
"S00135490",58,6,1,2,4,13,-,4,9,17,3,16,1,11,2,9,-,11,6,5,-
"S00135491",72,31,17,10,4,28,11,10,10,7,5,3,1,2,-,2,-,2,1,1,-
"S00135492",61,2,-,-,2,22,1,4,12,19,3,12,-,15,7,6,-,9,5,4,-
"S00135493",79,38,14,17,5,31,10,3,20,3,1,4,-,2,-,2,-,1,2,1,-
"S00135494",42,2,1,1,-,11,-,2,9,12,1,11,-,4,1,3,-,13,6,6,-
"S00135495",43,5,1,3,-,16,-,1,13,8,1,7,-,9,2,6,1,5,3,2,-
"S00135496",41,2,-,-,2,12,-,-,10,9,-,5,2,11,3,8,-,9,4,6,-
"S00135497",85,2,-,1,-,32,-,8,21,20,2,18,1,17,-,16,-,13,6,7,-
"S00135498",79,41,24,17,-,30,12,3,15,6,6,1,-,-,-,-,-,2,2,-,-
"S00135499",51,6,-,2,1,15,-,7,9,10,1,6,3,8,2,4,-,14,8,6,-
"S00135500",41,14,1,5,10,26,1,5,16,-,-,-,-,1,-,1,-,-,-,-,-
"S00135501",66,4,-,3,1,12,-,2,9,18,8,13,-,19,7,10,-,17,8,4,-
"S00135502",82,42,26,11,5,28,16,6,10,4,2,4,-,5,4,1,-,2,2,-,-
"S00135503",47,6,5,1,1,10,3,1,3,6,1,4,1,8,2,6,-,18,14,7,1
"S00135504",75,5,1,3,2,10,3,4,2,16,4,12,-,20,2,16,-,23,11,15,-
"S00135505",69,13,8,3,-,38,5,9,24,10,1,6,1,3,2,3,-,8,3,4,-
"S00135506",43,6,4,2,-,13,1,4,8,19,3,14,-,3,1,2,-,2,-,2,-
"S00135507",58,4,-,2,2,36,5,7,27,13,-,8,4,4,1,3,-,5,-,5,-
"S00135508",38,7,2,1,2,13,7,4,2,12,6,3,-,7,3,4,-,5,2,3,-
"S00135509",54,7,4,2,2,16,2,4,10,12,6,11,-,13,3,10,-,9,3,6,-
"S00135510",65,15,11,3,4,17,10,3,4,14,5,7,2,9,3,6,-,10,4,6,-
"S00135511",81,17,11,6,1,36,22,8,6,11,7,4,-,8,6,3,-,7,5,2,-
"S00135512",57,5,2,3,-,18,3,7,8,13,4,12,-,14,4,10,-,2,1,1,-
"S00135513",63,7,5,1,1,17,1,7,8,12,9,4,4,13,7,8,-,12,6,4,-
"S00135514",62,12,1,3,2,21,6,8,12,10,5,4,2,9,5,4,-,10,6,2,-
"S00135515",82,7,-,2,2,21,2,4,14,7,1,2,-,14,4,10,-,33,23,9,-
"S00135516",64,36,11,13,12,22,2,6,12,6,-,6,-,1,-,1,-,1,1,-,-
"S00135517",66,18,10,6,2,31,15,6,10,10,5,5,-,2,2,-,-,4,1,3,-
"S00135518",41,4,3,1,-,12,2,5,5,8,1,5,2,8,3,7,-,9,6,3,-
"S00135519",54,3,-,-,-,14,-,6,7,19,1,17,1,13,-,12,-,4,-,4,-
"S00135520",70,12,2,6,2,25,6,5,16,16,7,12,-,8,1,7,-,2,1,4,-
"S00135521",74,35,24,9,2,22,9,8,2,17,11,2,-,2,1,1,-,4,1,-,-
"S00135522",51,11,6,3,2,17,6,5,4,12,2,6,-,10,5,5,-,6,3,3,-
"S00135523",42,5,4,-,-,5,1,1,3,1,2,1,-,8,6,2,-,21,8,17,-
"S00135524",72,12,9,2,2,23,12,7,4,13,7,5,-,13,7,6,-,11,4,6,-
"S00135525",45,19,1,8,10,23,4,11,10,3,-,3,-,-,-,-,-,-,-,-,-
"S00135526",63,11,5,3,3,21,10,4,6,7,4,3,-,9,6,6,-,12,8,4,-
"S00135527",40,4,1,-,1,6,3,-,4,13,7,6,-,8,1,5,-,9,6,3,-
"S00135528",94,10,3,2,5,18,7,3,8,21,8,11,-,17,12,5,-,28,11,17,-
"S00135529",78,6,3,2,2,17,4,8,5,22,6,20,-,15,6,7,-,18,13,5,-
"S00135530",40,3,1,1,3,10,4,4,4,9,2,6,-,10,4,6,-,6,1,5,-
"S00135531",55,9,5,4,3,15,8,2,5,11,4,8,-,8,-,6,-,12,9,3,-
"S00135532",41,7,4,2,1,27,3,8,15,2,2,-,1,3,-,3,-,1,1,-,-
"S00135533",75,14,11,2,2,25,15,2,11,20,13,7,-,6,3,4,-,6,3,1,-
"S00135534",47,11,5,-,2,21,3,6,12,13,2,12,-,4,2,4,-,3,2,1,-
"S00135535",51,9,-,3,4,25,4,3,20,15,2,6,3,6,2,3,2,2,2,-,-
"S00135536",69,13,-,-,13,47,8,8,29,5,3,3,2,-,-,-,-,2,2,-,-
"S00135537",71,3,-,3,-,16,5,4,9,23,9,13,-,15,2,14,-,13,4,9,-
"S00135538",46,1,-,1,-,10,2,4,4,9,3,-,4,9,4,5,-,16,4,12,-
"S00135539",54,6,3,2,2,13,7,2,5,15,7,5,1,9,5,3,-,14,14,-,-
"S00135540",65,5,-,1,3,21,2,8,11,10,2,9,-,6,2,4,-,23,14,9,-
"S00135541",43,3,3,-,-,8,4,3,-,16,5,8,1,12,3,7,-,11,5,6,-
"S00135542",76,43,7,13,24,29,8,6,19,3,3,-,-,1,1,-,-,-,-,-,-
"S00135543",71,28,11,13,9,38,9,7,22,2,-,2,-,2,2,1,-,-,-,-,-
"S00135544",55,4,5,-,1,19,11,5,8,9,5,3,1,12,9,6,-,11,7,4,-
"S00135545",79,13,6,3,1,27,16,7,2,15,8,6,1,11,4,3,-,13,4,9,-
"S00135546",53,7,4,-,3,12,4,3,4,14,7,6,1,10,6,2,-,10,7,3,-
"S00135547",74,8,-,3,4,33,7,8,26,17,5,11,1,7,-,6,1,10,7,3,-
"S00135548",48,6,2,1,4,16,7,3,6,9,3,4,-,9,7,1,-,11,6,4,-
"S00135549",39,3,2,-,1,13,6,1,5,7,5,5,-,6,6,2,-,7,6,1,-
"S00135550",70,15,7,-,6,24,12,7,12,9,8,1,-,12,5,4,-,8,4,3,-
"S00135551",56,9,1,4,4,24,7,6,11,12,2,10,-,7,4,3,-,4,3,1,-
"S00135552",73,46,24,11,15,19,8,4,5,2,1,1,-,1,-,1,-,2,-,2,-
"S00135553",83,4,-,3,2,21,-,4,16,23,3,17,3,23,5,17,1,11,3,8,-
"S00135554",41,3,-,1,-,11,2,1,8,8,1,7,-,8,3,5,-,15,7,5,-
"S00135555",72,8,2,1,2,16,-,7,8,24,6,15,3,16,3,14,-,8,3,5,-
"S00135556",69,28,16,11,1,18,14,5,1,16,10,6,-,4,4,-,-,7,5,2,-
"S00135557",43,9,-,1,5,9,-,2,6,15,4,7,-,3,1,5,-,11,6,5,-
"S00135558",62,10,3,1,3,23,4,10,11,17,5,12,-,8,4,8,-,5,-,3,-
"S00135559",63,26,14,8,4,15,8,5,3,12,7,7,-,5,5,2,-,3,2,1,-
"S00135560",63,12,7,2,3,15,9,-,5,20,14,4,2,3,-,2,-,13,7,6,-
"S00135561",48,9,4,-,6,23,7,3,12,7,4,2,-,3,2,1,-,7,5,2,-
"S00135562",45,10,1,3,4,19,11,3,6,8,1,6,1,5,-,5,-,5,4,1,-
"S00135563",36,16,6,-,9,13,8,1,4,4,3,-,-,-,1,1,-,1,1,-,-
"S00135564",55,1,-,-,1,15,3,11,4,9,2,6,1,6,3,4,-,24,12,15,-
"S00135565",33,-,-,-,-,8,4,-,4,9,1,10,1,5,2,5,-,9,6,3,-
"S00135566",50,9,6,4,1,12,5,2,6,10,4,5,-,13,1,10,-,6,1,5,-
"S00135567",57,7,-,1,3,17,-,3,14,12,5,6,1,13,4,9,-,11,9,2,-
"S00135568",80,16,8,6,3,24,3,5,15,13,6,7,-,10,7,5,-,15,10,5,-
