OA_Code,Latitude,Longitude,All people,Born in the UK,Arrived before 1941,Arrived 1941 - 1950,Arrived 1951 - 1960,Arrived 1961 - 1970,Arrived 1971 - 1980,Arrived 1981 - 1990,Arrived 1991 - 2000,Arrived 2001 - 2010,Arrived 2011 - 2013,Arrived 2014 - 2016,Arrived 2017 - 2019,Arrived 2020 - 2022
S00173278,55.83294172,-4.427633727,97,88,-,-,-,4,-,-,2,1,-,-,3,-
S00173279,55.83284487,-4.466370843,83,79,-,-,-,-,-,1,-,3,-,-,-,-
S00173280,55.8310481,-4.503242197,139,135,-,-,-,-,-,-,-,-,-,-,1,-
S00173281,55.83342882,-4.386684972,128,121,-,-,-,2,2,-,-,1,-,-,3,-
S00173282,55.83234212,-4.424769719,117,113,-,-,-,-,1,-,1,-,-,-,-,-
S00173283,55.83212228,-4.466995813,168,158,-,-,-,-,1,2,-,1,4,2,-,-
S00173284,55.83310817,-4.398083759,85,77,-,-,-,-,-,-,1,4,1,-,-,-
S00173285,55.83221255,-4.452149646,123,119,-,-,-,-,1,-,-,-,-,-,-,-
S00173286,55.8317678,-4.441980991,117,115,-,-,-,-,-,-,-,-,-,-,-,-
S00173287,55.83080496,-4.522613457,84,84,-,-,-,-,-,-,-,-,-,-,-,-
S00173288,55.83240227,-4.41119925,137,122,1,-,-,1,-,-,1,5,3,-,2,4
S00173289,55.83036158,-4.539783708,120,117,-,1,1,1,-,-,-,-,-,-,-,-
S00173290,55.8317076,-4.490684471,112,109,-,-,-,-,2,1,-,1,-,-,-,-
S00173291,55.8310957,-4.493823261,118,117,-,-,-,1,1,-,-,-,-,-,-,-
S00173292,55.83376829,-4.391416955,128,120,-,-,-,-,1,-,2,6,-,-,-,-
S00173293,55.83026245,-4.543274529,131,129,-,-,1,-,-,2,-,-,-,-,-,-
S00173294,55.83183103,-4.445130955,148,141,-,-,-,1,2,-,1,1,2,-,-,-
S00173295,55.83192314,-4.454942077,95,87,-,-,1,-,-,-,1,3,-,-,4,-
S00173296,55.82966922,-4.516631369,190,182,-,-,1,4,-,-,-,1,-,-,-,7
S00173297,55.83334276,-4.385561804,112,106,-,-,-,-,-,-,-,4,-,1,1,-
S00173298,55.83152262,-4.463731987,88,84,-,-,-,1,-,-,-,3,-,-,-,-
S00173299,55.83253852,-4.413874624,61,59,-,-,-,-,-,-,-,-,-,-,1,-
S00173300,55.8327076,-4.423099673,64,56,-,-,-,-,-,-,1,5,3,-,-,-
S00173301,55.83200261,-4.450507524,79,78,-,-,-,1,-,-,-,-,-,-,-,-
S00173302,55.83035356,-4.527087562,104,102,-,-,-,-,-,-,-,-,-,-,-,-
S00173303,55.83258691,-4.417359024,81,74,-,-,-,-,-,-,3,2,1,-,1,-
S00173304,55.83224535,-4.433307456,64,64,-,-,-,-,-,-,-,-,-,-,-,-
S00173305,55.83149997,-4.457678121,93,94,-,-,-,-,-,-,-,-,1,2,1,-
S00173306,55.83257123,-4.423634161,67,63,-,-,-,-,-,-,-,-,-,-,3,1
S00173307,55.83261979,-4.425729224,132,119,-,-,-,1,1,1,-,3,4,-,-,-
S00173308,55.83062351,-4.524885329,62,61,-,-,-,-,-,-,-,2,-,-,-,-
S00173309,55.82983613,-4.535629404,178,170,-,-,-,-,-,1,1,3,1,-,1,1
S00173310,55.8319445,-4.385364373,105,103,-,-,-,-,1,-,-,-,-,-,-,-
S00173311,55.83062113,-4.459826401,62,61,-,-,-,-,-,-,-,-,-,-,2,3
S00173312,55.83155157,-4.3995529,105,100,-,-,-,3,-,-,-,2,-,-,-,-
S00173313,55.83101143,-4.433437964,153,145,-,-,-,2,-,-,2,1,-,1,-,3
S00173314,55.83120913,-4.48822523,102,101,1,-,-,-,-,-,-,1,-,-,-,-
S00173315,55.83257366,-4.421686002,111,108,-,-,-,-,-,-,-,-,1,1,-,1
S00173316,55.83201772,-4.40467587,87,78,-,-,-,-,-,-,1,8,-,-,2,-
S00173317,55.83082846,-4.514885758,67,59,-,-,-,2,-,1,-,2,-,-,1,-
S00173318,55.83082857,-4.45033784,88,86,-,-,-,-,-,-,-,2,-,-,-,-
S00173319,55.83197453,-4.40366713,65,61,-,-,-,1,-,-,-,-,-,-,-,1
S00173320,55.83107265,-4.457922633,113,93,-,-,-,1,-,1,-,1,-,5,5,7
S00173321,55.83160775,-4.453181522,77,74,-,1,-,-,-,-,-,2,-,-,-,-
S00173322,55.83051636,-4.494025704,70,70,-,-,-,-,-,-,-,-,-,-,-,-
S00173323,55.8299727,-4.526376177,75,71,-,-,-,-,-,-,-,-,-,-,4,-
S00173324,55.83135024,-4.447160818,105,106,-,-,-,-,1,1,-,1,-,-,-,-
S00173325,55.8317069,-4.422797873,112,107,-,-,-,-,-,-,1,-,-,-,1,3
S00173326,55.83005934,-4.458705037,70,70,-,-,1,1,-,-,2,-,-,1,-,-
S00173327,55.830091,-4.466547771,110,106,-,-,-,2,1,-,-,3,-,-,-,-
S00173328,55.83090795,-4.480444888,134,123,-,-,-,2,-,-,1,-,-,1,1,8
S00173329,55.83214851,-4.423192646,110,97,-,-,-,-,-,-,-,-,1,3,5,2
S00173330,55.82932832,-4.541504853,96,95,-,-,-,1,-,-,-,-,-,-,-,-
S00173331,55.82888494,-4.532501483,141,135,-,-,-,-,-,-,-,4,1,-,-,-
S00173332,55.83216389,-4.414186765,86,86,-,-,-,1,1,-,-,-,-,4,-,-
S00173333,55.82737865,-4.525329681,97,86,-,1,-,-,-,2,-,-,-,-,2,-
S00173334,55.83055023,-4.488805935,78,73,-,-,-,-,-,-,-,4,-,1,-,1
S00173335,55.83023259,-4.485847327,118,117,-,1,-,-,-,-,-,-,-,-,-,-
S00173336,55.8309024,-4.438940501,131,120,-,-,-,3,2,-,3,-,-,-,-,-
S00173337,55.83247508,-4.386275195,100,99,-,2,-,-,-,-,-,-,-,-,-,-
S00173338,55.83131096,-4.411850301,93,91,-,-,-,-,-,-,-,2,-,-,-,-
S00173339,55.83121735,-4.447966902,113,111,-,-,-,-,-,-,-,2,-,-,-,-
S00173340,55.83011804,-4.500803025,84,84,-,-,-,-,-,-,-,-,-,-,-,-
S00173341,55.83072262,-4.461940741,170,135,-,-,-,-,1,-,-,7,-,8,7,6
S00173342,55.83078419,-4.418077525,112,104,-,-,-,-,-,-,-,3,-,-,-,2
S00173343,55.83174546,-4.405729006,98,95,-,-,-,2,-,-,-,1,-,-,2,-
S00173344,55.82871688,-4.541081706,195,186,-,-,-,3,-,1,2,-,-,-,-,-
S00173345,55.82965626,-4.466264741,65,65,-,-,-,-,-,-,-,-,-,-,-,-
S00173346,55.83105387,-4.45391316,123,121,-,2,-,-,-,-,-,-,-,-,-,-
S00173347,55.83141763,-4.387503906,135,133,-,-,-,1,-,-,1,-,-,-,-,-
S00173348,55.82982679,-4.508481378,61,59,-,-,-,-,-,-,-,2,-,-,-,-
S00173349,55.82965621,-4.389807167,130,122,-,-,-,2,-,-,-,4,1,4,-,1
S00173350,55.82952127,-4.526474646,72,71,-,-,-,-,-,-,-,-,-,-,-,-
S00173351,55.82937611,-4.503693646,95,93,-,-,-,-,-,1,1,-,-,-,-,-
S00173352,55.82928815,-4.507568404,93,90,-,1,-,-,-,-,-,1,-,-,2,-
S00173353,55.83073737,-4.443177943,120,120,-,-,-,-,-,-,-,-,1,-,-,-
S00173354,55.82973377,-4.420758907,104,93,-,-,-,-,-,-,-,4,-,-,-,6
S00173355,55.82979138,-4.463111475,145,104,-,-,-,-,-,-,4,4,4,14,12,2
S00173356,55.82865197,-4.500852611,96,96,-,-,-,-,-,-,-,-,2,-,2,-
S00173357,55.83160565,-4.414695119,76,74,-,-,-,-,-,-,-,2,-,-,-,-
S00173358,55.83041505,-4.441305325,125,119,-,-,1,3,-,-,-,-,-,1,-,-
S00173359,55.83020945,-4.42808621,157,151,-,-,-,-,-,1,-,1,1,1,2,-
S00173360,55.82900032,-4.526456823,62,57,-,-,-,-,-,-,-,-,-,-,4,-
S00173361,55.82819503,-4.487489764,178,173,-,-,-,1,-,-,-,-,1,-,-,2
S00173362,55.82739682,-4.484293111,191,187,-,-,-,-,3,-,1,1,-,-,-,-
S00173363,55.83002629,-4.467980875,69,72,-,-,-,-,-,-,-,-,-,-,-,-
S00173364,55.83092621,-4.415882612,105,104,-,-,-,-,-,-,-,2,-,-,-,1
S00173365,55.82777863,-4.49517576,94,86,-,-,-,-,-,-,-,1,-,5,-,-
S00173366,55.82866411,-4.528383186,150,145,-,-,-,-,1,-,-,2,-,-,-,1
S00173367,55.82981286,-4.434959948,75,65,-,-,-,-,-,-,-,-,-,-,-,13
S00173368,55.82888858,-4.506887966,120,113,-,-,1,-,-,-,-,-,-,-,-,-
S00173369,55.82902487,-4.483343025,179,169,-,-,-,1,-,-,2,3,2,-,-,1
S00173370,55.83122461,-4.40018749,87,79,-,-,-,3,-,1,-,2,1,1,-,-
S00173371,55.82886713,-4.492914081,102,101,-,-,1,-,-,-,-,-,-,-,-,-
S00173372,55.83072568,-4.396276303,159,151,-,-,-,1,2,-,-,1,2,-,2,-
S00173373,55.83029207,-4.416593811,99,91,-,-,2,-,4,-,-,-,2,-,-,1
S00173374,55.82962378,-4.454413901,87,87,-,-,-,-,-,-,-,-,-,-,-,-
S00173375,55.83002281,-4.447923762,127,124,-,-,-,-,2,-,2,-,-,-,-,-
S00173376,55.83006039,-4.463591585,110,104,-,-,-,2,1,-,-,2,4,-,-,3
S00173377,55.82848146,-4.421367706,97,94,-,-,-,1,-,-,-,-,-,2,-,-
S00173378,55.82934439,-4.451298394,142,145,-,-,-,-,1,1,-,-,-,-,-,-
S00173379,55.8287232,-4.504418166,85,83,-,-,-,-,-,-,1,-,1,-,-,-
S00173380,55.82875023,-4.49025583,161,154,-,-,-,-,-,1,1,3,-,1,-,1
S00173381,55.83015636,-4.430318531,142,136,-,-,-,-,-,2,-,4,-,-,-,-
S00173382,55.83094167,-4.406845097,68,66,-,-,-,-,2,-,1,-,-,-,-,-
S00173383,55.82716936,-4.501715495,174,169,-,-,-,-,2,-,-,-,-,-,-,3
S00173384,55.83051795,-4.411497787,81,76,-,-,-,-,-,-,-,-,4,1,2,-
S00173385,55.8275927,-4.52628568,146,146,-,-,-,-,-,-,-,-,-,-,-,-
S00173386,55.82817957,-4.502866223,92,88,-,-,1,1,-,-,-,-,-,1,-,-
S00173387,55.82773687,-4.53194779,213,186,-,-,2,1,1,1,-,8,2,9,2,-
S00173388,55.82867325,-4.488286789,239,234,-,-,-,-,-,-,-,2,1,1,-,-
S00173389,55.83043729,-4.413776336,68,62,-,-,-,1,-,-,-,1,-,-,2,-
S00173390,55.83005426,-4.402127416,113,107,-,-,-,2,-,2,-,2,-,-,-,-
S00173391,55.82871693,-4.455266952,109,105,-,-,-,-,-,-,-,-,-,-,-,-
S00173392,55.83016928,-4.426023732,163,154,-,-,-,-,2,-,-,2,-,1,4,-
S00173393,55.82954525,-4.397353406,207,192,1,-,-,-,-,1,-,5,-,7,-,-
S00173394,55.82877569,-4.441937116,126,123,-,-,1,-,2,-,-,-,-,1,-,-
S00173395,55.82876029,-4.468810857,95,90,-,-,-,-,-,-,-,4,-,-,1,-
S00173396,55.82998547,-4.400127099,184,179,-,-,-,2,1,-,-,-,-,1,1,-
S00173397,55.82779311,-4.504629824,80,77,-,-,1,-,-,1,-,1,1,2,-,-
S00173398,55.82938441,-4.444322654,87,73,-,-,-,-,1,3,-,6,-,-,-,2
S00173399,55.82727082,-4.508204997,72,71,-,1,-,-,-,-,-,-,-,-,-,-
S00173400,55.82820762,-4.470819753,91,91,-,-,-,-,1,-,-,1,-,-,-,-
S00173401,55.83027473,-4.388503749,120,114,-,1,-,2,-,1,-,1,1,-,-,-
S00173402,55.83000159,-4.413078651,69,65,-,-,-,-,-,-,4,-,-,3,-,-
S00173403,55.83029416,-4.406405865,86,80,-,-,-,1,-,-,-,2,-,2,-,-
S00173404,55.82816252,-4.49264543,108,97,-,-,-,4,1,-,-,3,2,2,-,1
S00173405,55.82846948,-4.467626741,79,65,-,-,-,-,2,1,-,5,-,-,-,2
