Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00162536",144,127,-,-,-,-,-,2,4,5,4,-,1,1
"S00162537",122,113,-,-,1,-,-,-,-,5,-,4,2,-
"S00162538",130,125,-,-,-,-,-,-,1,4,1,-,-,-
"S00162539",144,137,-,-,-,1,-,-,-,1,-,-,-,-
"S00162540",129,125,-,-,-,-,1,1,-,1,-,-,-,-
"S00162541",94,83,-,-,-,-,2,-,-,2,-,5,-,-
"S00162542",93,86,-,-,1,-,-,-,1,3,1,-,-,-
"S00162543",81,75,-,-,-,-,-,-,1,2,2,-,-,1
"S00162544",105,97,-,-,-,1,-,-,1,5,-,-,-,-
"S00162545",188,181,-,-,-,-,-,-,-,2,-,4,1,-
"S00162546",83,80,-,-,-,-,-,-,-,1,-,-,-,-
"S00162547",126,118,-,-,2,1,-,-,-,3,3,1,2,-
"S00162548",126,114,-,-,-,-,-,1,-,4,4,1,1,-
"S00162549",141,128,-,-,1,-,1,-,-,4,3,-,-,-
"S00162550",122,116,-,-,-,1,1,-,-,4,-,-,-,-
"S00162551",126,115,-,-,-,1,-,-,-,5,1,3,-,1
"S00162552",81,78,-,-,-,-,-,1,-,1,-,1,-,-
"S00162553",121,106,-,-,1,-,1,1,1,2,-,4,1,-
"S00162554",146,138,-,-,-,-,-,1,-,4,-,-,1,-
"S00162555",73,66,-,-,-,-,-,-,-,4,1,-,-,1
"S00162556",96,78,-,-,-,-,1,2,-,9,1,-,3,-
"S00162557",110,99,-,-,-,1,-,-,-,2,1,-,2,-
"S00162558",113,107,-,-,-,-,-,-,-,2,-,-,4,-
"S00162559",87,76,-,1,-,-,1,-,-,2,1,-,-,-
"S00162560",122,108,-,-,-,1,1,-,-,5,1,3,2,-
"S00162561",101,95,-,-,-,-,-,-,-,1,-,3,-,5
"S00162562",138,128,-,-,-,-,1,-,3,4,-,-,2,-
"S00162563",101,89,-,-,-,-,-,-,1,4,2,6,-,-
"S00162564",103,91,-,-,-,2,-,1,-,6,-,2,2,1
"S00162565",106,95,-,-,-,-,-,-,-,-,1,2,4,-
"S00162566",103,101,-,-,-,2,-,1,-,3,-,-,-,-
"S00162567",123,113,-,-,-,-,-,-,-,9,-,-,1,-
"S00162568",74,65,-,-,-,-,-,-,-,1,1,6,-,-
"S00162569",160,146,-,-,-,1,-,-,-,10,-,-,-,-
"S00162570",139,135,-,-,-,-,-,-,-,3,4,-,-,-
"S00162571",198,192,1,-,1,-,1,2,-,2,-,-,-,-
"S00162572",157,142,-,-,1,-,1,-,-,6,1,3,-,2
"S00162573",128,120,-,-,-,1,-,-,-,2,-,-,-,-
"S00162574",119,110,-,-,-,-,1,1,1,2,-,-,-,-
"S00162575",63,61,-,-,-,-,1,-,-,2,-,-,-,-
"S00162576",124,120,-,-,1,4,-,-,3,-,-,-,-,-
"S00162577",125,113,-,-,-,1,-,-,1,4,2,4,1,-
"S00162578",94,92,-,-,-,-,-,-,-,2,-,-,4,-
"S00162579",101,89,-,-,-,-,-,-,-,4,1,1,1,3
"S00162580",90,88,-,-,1,-,-,-,-,-,-,-,-,-
"S00162581",88,77,-,-,-,-,-,-,1,4,1,1,-,1
"S00162582",88,85,-,-,-,1,-,-,-,1,-,-,-,1
"S00162583",96,94,-,-,-,-,-,-,-,-,-,-,1,-
"S00162584",77,75,-,-,-,-,-,-,-,2,-,-,-,-
"S00162585",158,151,-,-,-,-,-,-,-,2,4,3,-,-
"S00162586",181,164,-,-,1,-,-,-,-,8,1,5,-,-
"S00162587",62,58,-,-,-,1,-,-,-,-,1,1,-,-
"S00162588",139,136,-,-,-,1,-,-,-,-,-,2,1,-
"S00162589",83,77,-,-,-,-,1,-,-,1,-,4,-,-
"S00162590",112,100,-,-,-,2,-,1,-,3,-,7,-,-
"S00162591",189,176,-,-,-,1,-,-,-,6,2,5,-,-
"S00162592",108,100,-,-,-,1,3,-,2,2,2,2,1,-
"S00162593",83,79,-,1,-,-,-,-,-,2,-,-,-,2
"S00162594",121,117,-,-,-,-,-,-,1,2,-,-,-,-
"S00162595",82,71,-,-,-,-,-,-,-,2,4,-,4,2
"S00162596",99,92,-,-,-,-,-,-,-,2,4,2,-,-
"S00162597",69,60,-,-,1,-,-,-,-,1,4,1,1,-
"S00162598",130,120,-,-,-,-,3,-,-,1,-,1,1,-
"S00162599",160,157,-,1,-,-,-,-,-,-,1,-,-,2
"S00162600",98,93,-,-,-,-,1,-,-,-,-,1,3,-
"S00162601",127,127,-,-,-,2,-,1,2,-,-,-,-,-
"S00162602",68,57,-,-,1,-,1,-,3,1,1,-,-,-
"S00162603",69,63,-,-,-,-,-,1,-,4,-,-,3,1
"S00162604",97,91,-,-,-,-,-,-,-,4,1,-,1,-
"S00162605",96,85,-,-,-,3,-,-,1,7,1,-,-,-
"S00162606",129,118,-,2,-,-,-,2,1,3,1,-,-,-
"S00162607",103,98,-,-,-,-,1,1,1,-,1,-,-,-
"S00162608",115,104,-,1,-,-,2,-,-,2,-,-,-,4
"S00162609",73,76,-,-,-,1,-,-,-,-,-,-,-,-
"S00162610",115,111,-,-,-,1,-,-,-,-,-,-,5,-
"S00162611",111,101,-,3,-,-,1,1,-,1,-,-,-,2
"S00162612",156,141,-,-,-,-,-,4,-,6,4,2,-,-
"S00162613",172,162,-,1,1,-,1,-,2,-,-,-,2,1
"S00162614",127,121,-,-,-,-,-,-,-,1,-,1,1,-
"S00162615",123,119,-,-,-,2,-,-,-,-,-,-,-,2
"S00162616",68,64,-,-,-,3,-,-,1,-,-,-,-,1
"S00162617",89,86,-,-,-,1,-,-,-,3,-,1,-,-
"S00162618",98,94,-,-,-,1,-,-,-,1,1,-,1,-
"S00162619",131,123,-,1,-,4,1,-,-,2,-,1,-,-
"S00162620",93,87,-,-,1,1,1,-,1,-,-,-,-,-
"S00162621",149,128,-,-,1,-,-,1,1,11,5,1,-,-
"S00162622",105,92,-,-,-,-,4,-,4,2,-,2,3,2
"S00162623",77,72,-,2,-,-,1,2,-,1,-,-,-,-
"S00162624",141,128,-,-,-,-,-,-,1,3,1,3,1,-
"S00162625",75,68,-,-,2,-,3,1,-,-,-,-,1,-
"S00162626",75,69,-,-,-,2,1,-,2,-,-,-,-,-
"S00162627",72,66,-,-,1,-,1,-,-,-,-,-,-,2
"S00162628",133,127,-,-,1,1,-,-,-,1,-,-,-,1
"S00162629",107,104,-,-,-,-,1,-,-,-,-,1,-,-
"S00162630",73,67,-,-,-,3,-,1,-,1,1,-,-,-
"S00162631",98,94,-,-,3,2,-,-,1,-,-,1,-,-
"S00162632",212,210,-,-,-,-,-,-,-,-,-,-,-,-
"S00162633",152,143,-,-,2,-,1,1,1,6,-,-,-,-
"S00162634",122,114,-,-,-,2,1,-,1,4,-,-,1,-
"S00162635",120,110,-,1,1,2,1,2,1,2,-,-,-,-
"S00162636",111,101,-,-,-,2,1,1,-,-,1,1,-,-
"S00162637",99,94,-,-,-,-,-,-,3,-,-,-,-,-
"S00162638",93,93,-,-,-,-,-,-,-,-,-,-,-,-
"S00162639",89,79,-,-,2,-,2,-,-,6,-,-,1,-
"S00162640",114,101,-,2,1,-,2,-,-,1,1,2,-,1
"S00162641",98,90,-,-,-,1,2,-,1,4,-,1,2,-
"S00162642",96,87,-,1,-,3,-,1,2,-,-,-,1,-
"S00162643",125,110,-,1,2,1,1,1,-,-,-,1,2,4
"S00162644",87,81,-,3,-,2,-,1,-,1,-,-,-,-
"S00162645",70,62,-,-,1,-,-,1,1,-,1,-,5,1
"S00162646",140,125,1,-,1,-,1,1,2,-,-,4,3,-
"S00162647",163,153,-,-,1,-,-,-,1,-,-,-,5,2
"S00162648",162,148,-,-,-,2,-,-,1,5,4,-,-,-
"S00162649",79,76,-,-,-,1,-,-,-,2,-,-,-,-
"S00162650",118,112,-,-,-,-,1,1,-,3,-,-,-,-
"S00162651",132,117,-,-,-,4,1,4,-,3,-,1,2,-
"S00162652",164,164,-,-,-,-,-,-,-,-,-,-,-,-
"S00162653",114,109,-,-,1,-,-,-,1,1,1,-,-,1
"S00162654",120,110,-,4,-,-,-,1,-,1,3,-,-,1
"S00162655",112,109,-,-,-,-,-,1,-,1,-,-,-,-
"S00162656",106,89,-,1,-,-,2,1,1,-,2,1,6,5
"S00162657",190,179,-,-,4,1,1,1,-,4,-,3,1,-
"S00162658",113,106,-,-,1,-,-,-,1,7,-,-,1,-
"S00162659",142,138,-,-,-,1,-,1,2,-,-,-,-,-
"S00162660",95,84,-,-,-,-,-,4,1,4,1,4,-,-
"S00162661",204,186,-,-,-,-,-,1,-,4,-,1,5,-
"S00162662",131,126,-,1,-,1,-,1,-,-,-,-,-,-
"S00162663",148,140,-,-,-,-,-,-,-,1,1,-,2,-
"S00162664",160,140,-,-,-,-,1,-,-,13,4,1,1,-
"S00162665",94,90,-,-,-,-,-,2,-,3,-,-,-,-
"S00162666",182,174,-,-,-,-,-,4,1,1,3,-,-,-
"S00162667",172,151,-,-,1,2,1,-,5,6,2,1,2,1
"S00162668",69,64,-,1,2,-,-,1,1,1,-,-,-,-
"S00162669",108,91,-,-,-,-,-,-,2,6,4,3,3,-
"S00162670",71,56,-,1,-,-,1,3,-,8,1,1,-,1
"S00162671",87,84,-,-,-,-,-,-,1,-,-,-,-,-
"S00162672",201,179,-,-,-,-,1,1,-,5,-,7,6,-
"S00162673",67,64,-,-,1,2,2,-,-,-,-,-,-,-
"S00162674",71,63,-,-,-,-,-,1,4,-,-,1,-,1
"S00162675",111,86,-,-,-,-,4,-,1,6,9,2,5,-
"S00162676",89,85,-,2,1,-,1,-,-,-,-,-,-,-
"S00162677",68,61,-,-,-,-,-,-,-,1,2,3,-,-
"S00162678",157,149,-,-,2,2,1,-,-,1,2,2,-,-
"S00162679",142,134,-,-,-,-,1,-,1,4,-,3,-,1
"S00162680",137,135,-,-,-,-,-,-,-,-,1,-,-,-
"S00162681",169,145,-,-,3,-,-,-,-,11,6,7,-,-
"S00162682",184,165,-,-,1,-,-,-,-,3,2,6,-,2
"S00162683",131,115,-,-,-,1,-,-,-,3,1,1,5,5
"S00162684",102,101,-,-,-,-,-,-,-,-,-,-,-,-
"S00162685",145,139,-,-,1,-,-,-,-,6,-,-,-,-
"S00162686",71,70,-,-,-,-,-,-,-,1,-,-,-,-
"S00162687",67,62,-,-,-,1,1,1,-,4,-,-,-,-
"S00162688",169,160,-,-,-,-,-,-,1,2,2,2,3,-
"S00162689",91,79,-,1,-,2,1,2,2,6,-,-,-,-
"S00162690",143,133,-,-,-,1,-,4,1,2,-,2,-,-
"S00162691",88,83,-,-,-,2,-,-,-,1,-,-,-,-
"S00162692",83,77,-,-,-,-,-,-,-,6,-,-,-,-
"S00162693",123,107,-,-,-,-,2,1,-,3,2,1,2,6
"S00162694",125,116,-,-,-,-,4,-,-,-,-,3,-,-
"S00162695",90,87,-,-,-,-,-,-,-,-,-,-,1,-
"S00162696",72,60,-,-,-,-,1,-,-,3,-,-,-,-
"S00162697",115,112,-,-,-,-,-,1,-,-,-,1,-,-
"S00162698",76,75,-,-,-,-,-,-,-,-,-,-,-,-
"S00162699",68,68,-,-,-,-,-,-,-,-,-,-,-,-
"S00162700",72,65,-,-,-,-,-,-,-,1,3,3,-,-
"S00162701",85,70,-,-,-,-,-,-,-,1,5,-,6,2
"S00162702",123,115,-,-,-,-,1,-,2,4,-,-,-,1
"S00162703",121,114,-,-,-,1,1,-,1,2,-,1,2,-
"S00162704",115,104,-,-,-,1,-,-,1,-,-,7,1,-
"S00162705",150,141,-,-,1,-,-,-,3,-,-,4,-,-
"S00162706",80,72,-,-,-,-,-,-,-,2,1,2,-,1
"S00162707",130,119,-,-,-,1,-,-,-,5,2,-,-,-
"S00162708",61,57,-,1,-,2,-,-,-,-,-,-,1,1
"S00162709",87,71,-,-,-,1,-,1,-,5,1,1,2,-
"S00162710",313,214,-,-,-,1,-,9,5,3,-,-,36,47
"S00162711",93,83,-,-,-,-,-,-,-,2,2,2,4,1
"S00162712",122,115,-,-,-,-,-,-,1,1,3,-,-,-
"S00162713",124,108,-,-,-,-,2,-,2,5,3,2,-,3
"S00162714",86,75,-,1,-,1,3,-,-,4,1,-,1,-
"S00162715",114,108,-,-,-,-,-,-,-,2,-,2,-,-
"S00162716",69,52,-,-,-,1,-,-,3,6,2,-,1,1
"S00162717",100,99,-,-,1,-,-,-,-,2,-,-,2,-
"S00162718",116,110,-,-,-,1,-,-,1,3,-,1,-,-
"S00162719",117,112,-,-,-,1,-,-,-,-,5,-,-,-
"S00162720",164,154,-,-,1,-,1,-,2,2,-,-,1,-
"S00162721",82,81,-,-,-,-,-,1,-,-,-,1,-,-
"S00162722",80,69,-,-,-,-,-,-,1,6,2,-,-,3
"S00162723",149,142,-,-,-,1,2,1,-,1,-,-,-,-
"S00162724",92,71,-,-,-,-,-,-,-,4,6,2,2,5
"S00162725",180,156,-,1,2,-,-,1,2,12,1,-,4,-
"S00162726",79,71,-,-,-,1,1,-,-,1,-,1,-,2
"S00162727",90,85,-,-,-,1,1,1,-,-,-,-,2,-
"S00162728",68,66,-,-,-,-,-,-,-,4,-,-,-,2
"S00162729",146,135,-,1,-,1,1,-,-,-,-,4,-,-
"S00162730",95,87,-,-,-,1,-,2,1,2,-,-,-,-
"S00162731",157,148,-,-,1,-,-,1,1,5,-,4,2,-
"S00162732",110,104,-,-,-,1,-,-,-,-,-,-,1,-
"S00162733",85,84,-,-,-,-,-,-,2,1,-,-,-,-
"S00162734",187,175,-,-,-,2,-,-,-,3,4,2,2,-
"S00162735",187,176,-,-,1,1,1,4,2,-,-,1,-,1
"S00162736",126,124,-,-,-,-,-,-,-,-,-,-,-,-
"S00162737",76,73,-,-,2,-,-,-,-,-,-,-,-,-
"S00162738",142,129,-,2,-,2,-,-,-,-,6,-,-,3
"S00162739",142,134,-,-,-,-,-,1,-,-,-,4,1,-
"S00162740",102,92,-,-,-,1,-,-,-,2,2,1,-,2
"S00162741",87,82,-,-,-,1,-,-,2,-,-,-,-,-
"S00162742",130,117,-,-,-,-,-,2,1,1,-,-,2,5
"S00162743",135,127,-,1,2,1,2,-,-,3,-,-,-,-
"S00162744",107,100,-,-,-,-,-,-,1,4,1,-,-,-
"S00162745",84,82,-,-,-,-,-,1,-,1,-,-,-,-
"S00162746",68,70,-,-,-,-,-,-,-,-,-,-,-,-
"S00162747",156,148,-,-,-,1,2,-,-,4,1,-,1,4
"S00162748",135,122,-,-,-,1,-,-,-,3,1,1,-,2
"S00162749",127,119,-,-,-,-,-,-,-,5,-,-,2,1
"S00162750",72,68,-,-,-,-,1,-,-,2,-,-,1,-
"S00162751",63,60,-,-,-,-,1,-,-,-,-,-,-,1
"S00162752",74,67,-,-,-,-,2,-,1,-,2,-,-,-
"S00162753",98,95,-,-,-,-,-,1,-,-,-,-,-,-
"S00162754",113,103,-,-,1,1,2,2,-,2,-,1,-,-
"S00162755",122,115,-,-,-,1,-,-,1,1,-,1,3,-
"S00162756",152,142,-,-,-,5,1,1,3,2,-,-,-,-
"S00162757",157,144,-,2,2,-,1,1,1,4,1,-,-,2
"S00162758",130,122,-,-,-,-,-,-,3,4,-,-,-,-
"S00162759",146,129,-,-,2,2,1,1,-,3,4,-,4,-
"S00162760",87,77,-,-,-,-,1,2,-,-,4,2,-,-
"S00162761",99,95,-,-,-,2,-,-,2,1,-,-,-,-
"S00162762",93,89,-,-,1,-,-,1,-,1,-,2,-,-
"S00162763",154,149,-,-,-,-,1,-,-,3,-,1,-,-
"S00162764",106,98,-,-,-,1,2,-,1,2,-,-,-,-
"S00162765",110,100,-,-,-,-,1,1,-,3,-,-,-,3
"S00162766",72,63,-,-,-,-,1,1,-,4,2,-,1,-
"S00162767",73,67,-,-,1,-,2,1,2,-,-,-,-,-
"S00162768",119,113,-,-,-,-,-,-,1,2,1,-,1,-
"S00162769",143,142,-,-,-,-,1,-,-,-,-,-,-,-
"S00162770",116,106,-,-,-,-,1,-,-,6,2,-,-,-
"S00162771",134,127,-,-,-,1,-,-,1,4,1,-,-,-
"S00162772",78,74,-,-,-,-,2,1,1,-,-,-,1,-
"S00162773",80,71,-,-,1,-,-,-,1,1,2,3,-,1
"S00162774",112,102,-,-,-,-,2,-,-,2,-,-,-,2
"S00162775",121,111,-,-,2,-,-,-,2,1,1,1,2,1
"S00162776",87,75,-,-,-,-,-,1,1,2,-,3,-,3
"S00162777",140,136,-,-,-,1,2,-,-,1,-,-,-,-
"S00162778",167,152,-,-,-,-,5,-,3,7,-,1,-,-
"S00162779",116,110,-,1,-,1,1,2,-,1,-,-,-,-
"S00162780",97,90,-,-,-,-,1,-,1,1,-,-,1,-
"S00162781",136,132,-,-,-,1,-,-,1,1,-,-,-,2
"S00162782",121,110,-,-,-,4,2,-,2,4,-,-,-,-
"S00162783",128,121,-,-,-,1,3,-,-,-,1,1,1,-
"S00162784",120,116,-,-,-,-,-,-,1,1,1,-,1,3
"S00162785",72,71,-,-,-,-,-,-,-,-,1,-,-,-
"S00162786",73,65,-,-,2,-,-,-,-,2,-,-,2,2
"S00162787",82,76,-,-,-,1,1,2,-,2,-,-,-,-
"S00162788",182,168,-,-,-,4,1,1,10,-,1,-,1,-
"S00162789",65,61,-,-,1,2,-,-,1,-,-,-,-,-
"S00162790",68,67,-,-,-,-,-,-,-,-,-,-,-,-
"S00162791",85,77,-,-,-,-,-,-,-,4,-,1,1,4
"S00162792",131,127,-,-,-,1,-,-,1,-,1,1,-,-
"S00162793",75,72,-,-,2,2,-,-,-,-,-,-,-,-
"S00162794",120,113,-,1,-,1,2,-,4,2,-,-,-,-
"S00162795",122,120,-,-,-,-,-,1,-,-,-,1,-,-
"S00162796",125,113,-,-,-,1,2,-,1,1,2,4,-,-
"S00162797",72,70,-,-,-,-,-,1,-,1,-,3,-,1
"S00162798",121,118,-,-,-,-,-,-,2,1,-,-,-,-
"S00162799",121,114,-,-,1,-,-,1,-,5,-,1,-,-
"S00162800",111,104,-,-,1,-,-,1,-,2,-,1,-,-
"S00162801",161,155,-,-,-,-,-,1,2,2,-,-,-,-
"S00162802",153,150,-,-,-,-,-,2,-,-,-,-,-,1
"S00162803",163,146,-,-,3,2,2,4,1,1,-,-,2,-
"S00162804",71,70,-,-,-,-,-,-,-,-,-,-,-,-
"S00162805",67,64,-,-,1,-,-,-,-,-,-,-,-,-
"S00162806",73,65,-,1,-,-,-,-,-,5,-,4,-,1
"S00162807",147,130,-,-,2,4,-,-,-,-,-,-,-,12
"S00162808",137,126,-,-,-,-,1,1,2,2,-,1,-,-
"S00162809",65,64,-,-,-,-,-,-,-,1,-,-,-,-
"S00162810",133,115,-,1,-,-,-,4,-,5,3,-,4,3
"S00162811",129,118,-,-,-,-,-,-,-,4,-,4,1,-
"S00162812",103,102,-,-,1,-,-,-,-,-,-,-,-,-
"S00162813",200,190,-,-,1,-,-,-,2,4,-,2,-,1
"S00162814",82,78,-,-,1,-,-,-,-,1,1,-,1,-
"S00162815",103,96,-,-,-,-,-,-,1,2,1,-,-,3
"S00162816",179,168,-,-,-,2,-,-,4,1,2,4,-,3
"S00162817",130,121,-,-,-,-,1,3,1,1,4,-,-,-
"S00162818",64,59,-,-,-,-,-,-,2,2,-,-,2,1
"S00162819",104,100,-,-,-,-,-,-,-,1,-,-,-,-
"S00162820",65,65,-,-,-,-,-,-,-,1,-,-,-,-
"S00162821",98,89,-,-,1,3,1,1,1,-,-,2,-,-
"S00162822",136,131,-,-,-,-,1,-,1,2,1,-,-,-
"S00162823",92,85,-,-,-,-,-,-,1,5,1,-,-,-
"S00162824",114,109,-,-,-,-,-,-,1,4,-,-,-,-
"S00162825",105,88,-,-,-,2,4,-,1,1,3,-,1,4
"S00162826",169,162,-,1,-,-,1,-,-,3,-,-,-,1
"S00162827",88,80,-,-,-,-,2,1,-,4,-,-,2,-
"S00162828",80,75,-,-,-,2,1,-,-,3,2,-,-,-
"S00162829",91,83,-,1,1,-,2,1,-,-,-,-,1,-
"S00162830",105,103,-,-,1,-,-,-,-,2,-,-,-,1
"S00162831",101,97,-,-,1,-,2,-,-,2,-,-,-,-
"S00162832",117,112,-,-,-,-,1,-,-,-,-,-,-,-
"S00162833",103,94,-,1,-,-,-,-,2,2,-,3,-,-
"S00162834",95,94,-,-,-,-,-,-,-,1,-,-,-,-
"S00162835",80,79,-,-,-,-,-,-,-,1,-,-,-,-
"S00162836",155,152,-,-,1,1,1,1,-,3,-,-,-,-
"S00162837",60,58,-,-,-,-,1,-,-,-,-,-,1,-
"S00162838",113,111,-,2,-,1,-,-,-,-,-,-,-,-
"S00162839",99,96,-,1,1,-,-,-,-,-,-,-,-,-
"S00162840",96,90,-,2,-,-,-,-,1,2,-,2,-,-
"S00162841",114,112,-,-,1,1,-,-,-,-,-,-,-,-
"S00162842",109,99,-,-,2,-,2,-,-,2,-,-,3,1
"S00162843",157,137,-,-,1,4,-,-,6,6,2,-,3,2
"S00162844",105,105,-,-,1,-,-,-,2,-,-,-,1,-
"S00162845",115,107,-,-,-,-,2,-,2,3,-,1,-,-
"S00162846",92,92,-,-,-,-,-,-,-,-,-,-,-,-
"S00162847",124,123,-,-,-,-,-,-,-,-,-,-,-,-
"S00162848",121,115,-,-,2,-,-,-,2,4,-,-,-,-
"S00162849",76,73,-,-,-,-,1,-,1,-,-,-,-,-
"S00162850",95,90,-,-,-,2,2,2,-,-,-,-,-,-
"S00162851",152,150,-,-,-,-,-,-,-,1,-,-,-,-
"S00162852",120,119,-,-,-,-,-,2,-,2,2,-,-,-
"S00162853",154,145,-,-,-,-,2,-,-,3,1,1,2,-
"S00162854",165,149,-,-,-,-,-,-,-,10,4,2,-,-
"S00162855",77,77,-,-,1,-,-,-,-,-,-,-,-,-
"S00162856",105,98,-,-,-,-,1,-,3,1,-,-,1,-
"S00162857",98,89,-,-,-,-,-,1,-,2,1,1,-,4
"S00162858",139,125,-,-,-,-,1,1,-,-,4,5,-,4
"S00162859",89,84,-,-,-,-,-,-,-,3,-,-,-,1
"S00162860",125,119,-,-,-,-,-,-,-,3,-,3,-,-
"S00162861",94,88,-,-,-,-,-,-,-,2,-,-,-,-
"S00162862",86,78,-,-,-,-,1,-,1,-,2,-,2,-
"S00162863",108,106,-,-,-,-,-,-,-,-,-,-,-,-
"S00162864",89,86,-,-,-,1,-,-,1,1,-,-,-,-
"S00162865",111,103,1,-,-,1,1,-,-,-,3,2,-,-
"S00162866",202,195,-,-,-,-,-,-,-,6,-,-,-,-
"S00162867",113,113,-,-,-,-,-,-,-,-,-,-,-,-
"S00162868",129,121,-,-,1,1,1,-,1,2,-,-,-,1
"S00162869",159,151,-,-,-,-,1,-,2,4,-,-,2,-
"S00162870",69,68,-,-,-,1,-,-,1,-,-,-,-,-
"S00162871",90,87,-,-,-,1,-,3,-,-,-,-,-,-
"S00162872",159,152,-,2,-,1,-,-,-,4,-,-,-,-
"S00162873",143,140,-,-,-,1,-,-,1,-,-,-,-,-
"S00162874",98,91,-,1,-,-,1,1,2,-,-,-,-,-
"S00162875",182,178,-,-,-,-,-,-,1,3,-,-,-,-
"S00162876",88,91,-,-,-,-,-,-,-,2,-,-,-,-
"S00162877",131,117,-,-,-,1,2,4,-,9,-,-,-,2
"S00162878",161,151,-,-,-,1,-,-,3,3,-,-,-,-
"S00162879",70,67,-,-,-,-,-,-,-,2,-,-,-,-
"S00162880",86,87,-,-,-,-,-,1,-,2,-,-,-,-
"S00162881",87,78,-,1,-,4,2,1,-,1,1,-,-,-
"S00162882",90,87,-,-,-,3,-,-,-,-,-,-,-,-
"S00162883",84,79,-,-,-,2,-,-,-,1,-,-,1,-
"S00162884",114,109,-,-,-,-,1,-,-,-,-,1,1,-
"S00162885",64,59,1,-,-,-,2,-,-,-,-,2,-,-
"S00162886",163,158,-,-,-,2,-,1,1,-,-,-,-,-
"S00162887",101,95,-,-,1,-,-,-,-,2,1,2,-,-
"S00162888",82,77,-,-,-,-,-,-,-,1,1,-,-,-
"S00162889",164,154,-,1,-,-,-,-,-,4,-,-,2,-
"S00162890",130,122,-,-,-,1,-,-,3,2,-,-,-,1
"S00162891",68,67,-,-,-,-,-,-,-,-,2,-,-,-
"S00162892",117,113,-,-,-,-,1,-,4,4,-,-,-,-
"S00162893",92,90,-,-,-,1,-,-,-,1,-,-,-,-
"S00162894",184,176,-,-,-,-,-,-,2,7,2,2,-,-
"S00162895",196,187,-,-,1,-,1,4,1,3,-,-,1,-
"S00162896",126,119,-,-,-,-,-,-,-,-,-,5,-,1
"S00162897",112,106,-,-,-,1,-,-,-,-,2,-,-,4
"S00162898",141,126,1,-,-,-,4,-,-,-,5,-,-,2
"S00162899",195,185,-,-,-,-,1,2,-,6,2,1,-,-
"S00162900",87,86,-,-,-,1,-,-,2,3,-,-,-,-
"S00162901",65,63,-,-,-,-,1,-,-,1,-,-,-,-
"S00162902",122,112,-,-,2,-,-,-,-,3,1,-,-,-
"S00162903",112,109,-,-,-,-,-,1,-,1,-,1,-,-
"S00162904",182,176,-,-,-,-,-,1,2,-,-,-,3,-
"S00162905",104,100,-,-,-,-,2,-,-,1,-,-,-,1
"S00162906",104,92,-,-,-,-,2,-,-,4,2,-,2,2
"S00162907",88,84,-,-,-,-,-,3,-,-,-,-,-,-
"S00162908",70,66,-,-,-,2,1,-,-,1,-,-,-,-
"S00162909",124,117,-,-,-,-,-,1,-,6,-,-,-,-
"S00162910",94,92,-,-,1,-,2,-,-,1,-,2,-,-
"S00162911",63,58,-,-,1,-,1,1,-,2,-,-,-,-
"S00162912",95,89,-,-,-,-,-,-,2,4,-,-,-,-
"S00162913",133,131,-,-,-,-,1,-,1,-,-,-,-,-
"S00162914",68,65,-,-,-,-,1,-,1,1,-,-,-,-
"S00162915",74,73,-,-,-,-,-,-,-,-,-,-,-,-
"S00162916",109,106,-,-,-,1,1,-,-,1,-,-,-,-
"S00162917",77,77,-,-,-,-,-,-,-,-,-,-,-,-
"S00162918",123,111,-,-,-,2,-,-,1,1,6,-,-,-
"S00162919",113,113,-,-,-,-,-,-,1,-,-,-,-,1
"S00162920",100,95,-,-,-,2,2,-,-,-,-,-,-,4
"S00162921",186,170,-,2,-,-,-,1,2,1,1,5,5,-
"S00162922",127,115,-,-,-,-,-,-,-,3,-,2,1,-
"S00162923",167,164,-,-,-,-,-,-,-,2,-,-,-,-
"S00162924",177,159,-,-,-,-,-,3,2,4,3,-,2,3
"S00162925",128,120,-,-,1,1,1,-,-,3,1,-,-,-
"S00162926",153,144,-,1,-,1,-,1,1,2,-,1,1,1
"S00162927",187,181,-,-,-,-,-,-,1,3,-,1,-,-
"S00162928",125,119,-,-,-,-,-,-,5,2,-,-,2,-
"S00162929",160,147,-,-,2,-,-,-,1,2,-,-,5,-
"S00162930",79,72,-,-,1,2,-,-,1,-,-,-,-,-
"S00162931",130,123,-,-,-,-,3,-,3,1,-,2,-,-
"S00162932",91,87,-,-,-,-,1,1,2,-,-,-,-,1
"S00162933",115,107,-,-,-,1,1,-,4,1,-,2,-,-
"S00162934",182,167,-,1,-,2,-,1,-,-,7,2,-,5
"S00162935",103,95,-,-,-,-,-,-,2,2,1,-,-,-
"S00162936",95,82,-,-,-,-,-,1,-,-,3,9,-,-
"S00162937",96,92,-,-,-,2,-,-,-,-,-,1,-,-
"S00162938",78,74,-,-,-,2,3,-,-,-,-,-,-,-
"S00162939",74,68,-,-,-,1,-,-,3,-,-,-,-,2
"S00162940",64,66,-,-,1,-,-,-,-,-,1,-,-,-
