Scotland's Census 2022 - National Records of Scotland
Table UV801 - Year of arrival in UK
All people
,"All people","Born in the UK","Arrived before 1941","Arrived 1941 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2013","Arrived 2014 - 2016","Arrived 2017 - 2019","Arrived 2020 - 2022"
"S00135408",152,142,-,-,-,-,-,-,1,9,-,-,-,-
"S00135409",70,65,-,1,-,-,-,-,-,1,-,-,3,-
"S00135410",111,92,-,-,-,-,-,1,-,15,1,1,-,-
"S00135411",183,160,-,-,-,-,3,-,-,8,4,-,2,-
"S00135412",113,105,-,-,-,2,4,-,-,-,-,-,-,-
"S00135413",134,124,-,-,2,3,-,1,1,4,4,-,-,1
"S00135414",89,84,-,-,-,1,-,-,3,-,-,1,-,-
"S00135415",104,85,-,-,1,-,1,-,1,9,1,-,6,-
"S00135416",199,173,-,-,3,-,4,-,1,8,1,-,6,1
"S00135417",107,101,-,-,-,-,-,-,2,4,-,-,-,-
"S00135418",178,151,-,-,-,2,-,-,2,7,4,4,3,6
"S00135419",77,71,-,-,-,-,-,-,-,1,3,-,1,-
"S00135420",142,128,-,-,-,-,1,-,-,8,4,1,-,3
"S00135421",116,100,-,-,1,-,2,1,4,7,2,2,-,-
"S00135422",109,96,-,1,-,-,-,-,-,7,1,4,4,-
"S00135423",190,165,-,-,-,-,3,-,-,18,-,-,-,1
"S00135424",115,114,-,-,-,-,-,-,-,-,-,2,-,-
"S00135425",116,106,-,-,-,-,-,1,-,4,-,2,3,-
"S00135426",141,127,-,-,1,-,3,-,3,4,6,-,-,-
"S00135427",126,116,-,-,-,-,2,2,-,4,-,-,-,1
"S00135428",75,71,-,-,-,2,-,1,4,-,-,-,-,-
"S00135429",85,66,1,2,-,-,1,-,2,2,1,3,2,4
"S00135430",113,95,-,-,-,1,1,1,5,-,3,6,-,-
"S00135431",109,94,-,-,-,-,-,-,2,5,1,1,3,-
"S00135432",117,99,-,2,-,2,-,1,-,6,2,3,2,-
"S00135433",128,120,-,-,-,-,1,1,-,1,1,2,-,3
"S00135434",111,103,-,-,2,1,-,-,-,2,-,-,-,-
"S00135435",77,74,1,-,-,-,-,-,1,-,-,-,-,-
"S00135436",109,101,-,-,-,2,-,-,1,2,-,-,-,-
"S00135437",127,111,-,-,-,-,-,-,1,9,-,1,5,1
"S00135438",82,64,-,-,-,2,-,-,3,7,-,-,4,4
"S00135439",92,85,-,-,-,2,-,-,-,2,-,-,5,-
"S00135440",131,115,1,-,-,-,-,-,1,3,1,-,1,-
"S00135441",127,117,-,1,-,-,3,1,1,1,3,1,-,-
"S00135442",67,65,-,-,-,-,1,-,-,1,-,-,-,-
"S00135443",99,85,-,-,-,-,-,-,2,5,-,5,-,2
"S00135444",99,83,-,-,-,-,-,1,-,8,2,1,-,3
"S00135445",141,124,-,-,-,-,-,1,3,3,2,2,1,3
"S00135446",159,150,-,-,-,-,1,-,1,2,-,-,4,-
"S00135447",137,119,-,-,-,1,1,-,-,4,4,1,-,7
"S00135448",170,150,-,-,-,-,-,2,1,9,-,-,1,2
"S00135449",98,98,-,-,-,-,-,-,1,-,-,-,-,-
"S00135450",92,92,-,-,-,-,-,-,-,-,-,-,-,-
"S00135451",70,60,-,1,-,-,-,1,-,4,4,2,-,1
"S00135452",64,61,-,-,-,-,-,-,-,1,-,-,-,-
"S00135453",110,86,-,-,-,-,-,2,-,9,-,2,3,6
"S00135454",123,100,-,-,-,-,-,4,2,5,6,7,1,-
"S00135455",106,98,-,1,1,-,-,2,1,3,-,-,-,-
"S00135456",89,77,-,-,1,-,-,1,-,5,1,4,-,-
"S00135457",69,63,-,-,-,1,-,2,-,1,-,-,-,-
"S00135458",79,73,-,-,-,-,1,-,-,-,-,2,2,-
"S00135459",121,114,-,-,-,-,-,-,1,3,-,-,3,-
"S00135460",121,104,-,-,-,-,-,1,-,11,2,2,1,-
"S00135461",135,120,-,-,-,2,1,-,1,11,4,-,-,-
"S00135462",159,147,-,-,-,-,-,-,1,3,2,-,5,4
"S00135463",149,135,-,-,-,1,-,1,-,7,3,1,1,-
"S00135464",109,100,-,-,-,-,-,-,-,2,1,4,1,-
"S00135465",106,101,-,-,-,-,-,-,-,1,-,-,-,-
"S00135466",101,94,-,-,-,-,1,1,-,5,-,-,-,-
"S00135467",95,89,-,-,1,-,1,-,-,-,1,2,-,1
"S00135468",69,62,-,-,-,-,-,-,-,3,1,-,-,3
"S00135469",121,115,-,-,-,-,-,-,-,-,-,-,-,-
