Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00163004",94,87,-,-,-,7
"S00163005",128,125,-,4,-,3
"S00163006",90,84,-,5,-,-
"S00163007",85,77,-,-,2,5
"S00163008",174,171,-,-,-,3
"S00163009",170,170,-,2,-,2
"S00163010",184,177,-,5,-,2
"S00163011",187,185,1,-,-,2
"S00163012",138,136,-,1,-,-
"S00163013",210,208,-,-,-,-
"S00163014",162,159,-,1,-,1
"S00163015",65,63,-,-,-,-
"S00163016",132,132,-,-,-,-
"S00163017",77,76,-,-,-,-
"S00163018",135,127,-,-,-,8
"S00163019",176,174,-,3,-,-
"S00163020",146,135,-,2,-,6
"S00163021",124,118,-,-,-,8
"S00163022",75,74,-,2,-,-
"S00163023",79,78,-,-,-,-
"S00163024",168,165,-,-,-,1
"S00163025",144,144,-,-,-,-
"S00163026",99,99,-,-,-,-
"S00163027",122,120,-,-,-,1
"S00163028",95,95,-,-,-,-
"S00163029",90,86,-,-,-,4
"S00163030",139,136,-,2,-,2
"S00163031",71,68,-,-,-,3
"S00163032",98,98,-,-,-,-
"S00163033",76,72,-,-,-,3
"S00163034",89,80,-,-,-,9
"S00163035",121,121,-,-,-,-
"S00163036",142,138,-,-,-,5
"S00163037",173,173,-,-,-,-
"S00163038",115,109,-,-,-,6
"S00163039",105,100,-,-,-,6
"S00163040",86,82,-,2,-,2
"S00163041",95,86,3,3,-,3
"S00163042",123,122,-,-,-,-
"S00163043",112,108,-,-,-,4
"S00163044",90,90,-,-,-,-
"S00163045",119,118,-,-,-,1
"S00163046",99,94,-,-,-,5
"S00163047",192,182,-,-,-,13
"S00163048",105,107,-,1,-,2
"S00163049",70,64,-,-,-,2
"S00163050",110,107,-,1,-,7
"S00163051",115,113,-,-,-,3
"S00163052",172,165,-,-,-,8
"S00163053",106,105,-,1,-,-
"S00163054",156,149,1,-,-,9
"S00163055",129,109,-,-,-,20
"S00163056",199,195,-,-,-,5
"S00163057",105,102,-,-,-,1
"S00163058",117,117,-,-,-,-
"S00163059",135,123,-,-,1,11
"S00163060",94,87,-,-,-,8
"S00163061",149,141,-,-,-,8
"S00163062",87,80,-,4,-,2
"S00163063",122,111,-,-,-,11
"S00163064",93,89,-,-,-,4
"S00163065",115,112,1,-,-,2
"S00163066",60,47,-,-,-,13
"S00163067",121,106,-,-,-,14
"S00163068",112,111,1,-,-,-
"S00163069",114,106,-,-,-,8
"S00163070",77,74,-,-,-,6
"S00163071",99,79,-,-,-,20
"S00163072",94,92,-,-,-,1
"S00163073",84,79,2,-,-,3
"S00163074",120,105,-,-,-,15
"S00163075",154,144,-,-,-,10
"S00163076",77,60,3,-,-,10
"S00163077",65,55,-,-,-,7
"S00163078",89,84,-,-,-,6
"S00163079",137,132,-,-,-,6
"S00163080",70,68,-,-,-,2
"S00163081",88,81,1,-,-,3
"S00163082",77,66,-,-,-,7
"S00163083",172,165,-,-,-,5
"S00163084",124,112,-,-,-,12
"S00163085",157,153,-,-,1,3
"S00163086",96,92,-,1,-,3
"S00163087",142,123,1,-,-,18
"S00163088",92,90,-,-,-,4
"S00163089",97,93,-,-,-,4
"S00163090",69,69,-,-,-,-
"S00163091",97,94,-,-,-,3
"S00163092",156,154,1,-,-,-
"S00163093",132,131,-,-,-,2
"S00163094",55,58,-,-,-,1
"S00163095",103,101,-,-,-,2
"S00163096",160,159,-,-,1,-
"S00163097",120,116,-,4,-,4
"S00163098",131,128,-,-,1,2
"S00163099",99,94,-,3,-,2
"S00163100",165,161,-,-,-,7
"S00163101",138,125,-,-,1,12
"S00163102",169,164,-,-,-,1
"S00163103",169,162,-,-,-,7
"S00163104",78,72,-,-,-,7
"S00163105",118,107,-,-,-,11
"S00163106",75,68,-,-,-,7
"S00163107",90,74,-,-,-,16
"S00163108",176,176,2,-,-,-
"S00163109",82,75,-,-,-,7
"S00163110",110,99,-,-,-,11
"S00163111",123,121,-,-,-,2
"S00163112",144,136,-,-,-,8
"S00163113",156,147,-,-,-,5
"S00163114",67,55,-,-,-,13
"S00163115",122,122,-,-,-,-
"S00163116",121,108,1,-,-,12
"S00163117",61,58,-,-,-,5
"S00163118",120,111,1,-,-,8
"S00163119",108,98,-,-,-,10
"S00163120",147,141,-,-,-,4
"S00163121",84,79,-,-,-,5
"S00163122",70,64,-,-,-,8
"S00163123",150,136,-,-,2,12
"S00163124",140,134,-,1,-,5
"S00163125",114,87,1,-,-,29
"S00163126",80,77,-,-,-,3
"S00163127",128,103,-,-,-,28
"S00163128",79,75,2,-,-,-
"S00163129",125,124,-,-,-,1
"S00163130",109,102,-,-,1,4
"S00163131",84,83,-,-,-,-
"S00163132",146,145,-,-,-,1
"S00163133",117,116,-,-,-,-
"S00163134",103,102,-,-,-,1
"S00163135",66,52,-,-,-,14
"S00163136",96,96,-,-,-,-
"S00163137",118,110,2,-,-,6
"S00163138",115,101,-,-,-,14
"S00163139",112,112,-,-,-,-
"S00163140",107,85,-,-,-,22
"S00163141",141,131,-,-,-,10
"S00163142",89,71,4,-,2,11
"S00163143",86,79,-,-,-,8
"S00163144",62,61,1,-,-,-
"S00163145",66,64,-,-,-,2
"S00163146",183,181,1,-,-,3
"S00163147",137,126,-,-,-,11
"S00163148",132,126,1,-,-,5
"S00163149",114,113,-,-,-,1
"S00163150",120,115,-,-,-,5
"S00163151",62,57,-,-,-,4
"S00163152",132,122,-,-,-,13
"S00163153",149,143,-,-,-,6
"S00163154",150,143,-,2,-,5
"S00163155",65,65,-,-,-,-
"S00163156",77,65,-,-,-,11
"S00163157",122,120,-,-,-,2
"S00163158",120,113,-,2,-,3
"S00163159",121,115,-,-,-,6
"S00163160",110,98,-,2,2,12
"S00163161",146,144,-,-,-,2
"S00163162",109,102,-,-,-,7
"S00163163",58,57,1,-,-,-
"S00163164",166,161,-,1,-,-
"S00163165",96,89,-,-,-,10
"S00163166",82,82,-,-,-,-
"S00163167",81,80,-,-,-,2
"S00163168",129,125,-,-,1,-
"S00163169",68,64,-,-,-,4
"S00163170",86,80,-,-,-,6
"S00163171",152,151,-,-,-,1
"S00163172",82,79,-,-,-,1
"S00163173",172,163,-,-,-,7
"S00163174",93,82,-,-,-,15
"S00163175",108,99,-,-,1,12
"S00163176",78,75,-,-,-,3
"S00163177",188,184,-,1,-,2
"S00163178",104,103,-,-,-,1
"S00163179",107,96,-,-,-,11
"S00163180",94,93,-,-,-,-
"S00163181",129,114,-,-,-,15
"S00163182",104,103,-,-,-,2
"S00163183",148,148,-,-,-,-
"S00163184",146,146,-,-,-,-
"S00163185",123,119,-,-,-,4
"S00163186",76,70,-,-,-,6
"S00163187",125,114,-,-,-,11
"S00163188",114,100,-,-,-,14
"S00163189",70,64,-,-,-,6
"S00163190",86,71,1,-,-,11
"S00163191",120,107,-,-,-,17
"S00163192",75,59,-,-,-,16
"S00163193",88,83,-,-,-,5
"S00163194",107,98,-,-,-,7
"S00163195",66,54,-,-,-,12
"S00163196",129,121,1,-,-,7
"S00163197",88,81,-,-,1,7
"S00163198",136,132,-,-,-,-
"S00163199",95,91,2,2,-,-
"S00163200",66,56,-,-,-,10
"S00163201",108,92,-,-,-,14
"S00163202",111,99,1,2,1,5
"S00163203",79,73,-,-,-,6
"S00163204",93,76,-,-,-,17
"S00163205",101,93,-,-,-,10
"S00163206",159,153,-,-,-,8
"S00163207",116,116,-,-,-,3
"S00163208",112,109,-,-,1,2
"S00163209",116,112,3,-,-,5
"S00163210",71,56,-,2,-,13
"S00163211",66,62,-,-,-,4
"S00163212",124,117,-,-,-,1
"S00163213",103,95,-,-,1,7
"S00163214",125,122,-,-,-,4
"S00163215",99,89,-,-,-,10
"S00163216",94,86,-,-,-,8
"S00163217",73,64,-,-,-,8
"S00163218",80,73,-,-,-,7
"S00163219",121,120,-,-,-,5
"S00163220",761,690,14,2,-,60
"S00163221",79,74,-,-,-,4
"S00163222",129,112,1,-,-,18
"S00163223",77,72,-,-,-,1
"S00163224",114,102,-,-,-,8
"S00163225",126,125,2,-,-,1
"S00163226",93,91,-,1,-,1
"S00163227",71,71,-,-,-,-
"S00163228",119,115,-,2,-,3
"S00163229",91,85,-,-,1,5
"S00163230",78,66,-,-,-,16
"S00163231",108,97,-,1,-,7
"S00163232",123,111,-,1,-,11
"S00163233",102,97,-,-,-,4
"S00163234",94,86,-,-,-,8
"S00163235",128,104,-,2,-,22
"S00163236",73,73,-,-,-,-
"S00163237",95,95,-,-,-,-
"S00163238",102,98,-,1,-,3
"S00163239",76,71,-,-,-,5
"S00163240",69,59,-,-,-,5
"S00163241",74,67,1,-,-,3
"S00163242",100,94,-,-,-,6
"S00163243",105,105,-,-,-,-
"S00163244",156,135,-,-,-,21
"S00163245",91,72,-,-,-,19
"S00163246",86,78,-,1,-,7
"S00163247",76,66,-,-,-,11
"S00163248",146,137,-,-,-,9
"S00163249",134,119,3,-,-,9
"S00163250",85,86,-,-,-,4
"S00163251",78,72,1,3,-,1
"S00163252",106,104,-,-,-,3
"S00163253",93,88,-,-,-,9
"S00163254",87,83,-,-,-,4
"S00163255",90,80,-,-,-,8
"S00163256",86,78,1,-,-,7
"S00163257",136,135,-,-,-,1
"S00163258",116,109,-,-,-,7
"S00163259",88,87,-,-,-,1
"S00163260",253,248,-,1,-,4
"S00163261",71,55,-,-,-,16
"S00163262",121,118,-,-,-,3
"S00163263",125,118,-,-,-,7
"S00163264",69,68,-,1,-,-
"S00163265",85,81,-,-,-,8
"S00163266",123,116,-,-,-,7
"S00163267",127,116,-,-,-,11
"S00163268",82,82,-,-,-,-
"S00163269",59,52,-,-,-,6
"S00163270",135,125,-,-,1,9
"S00163271",147,132,4,-,-,11
"S00163272",106,93,-,-,-,10
"S00163273",89,78,-,-,-,7
"S00163274",152,134,-,1,1,12
"S00163275",135,129,-,-,-,5
"S00163276",75,68,-,-,-,7
"S00163277",74,70,-,-,-,4
"S00163278",166,159,-,-,-,6
"S00163279",140,131,-,1,-,8
"S00163280",83,79,-,1,-,3
"S00163281",80,77,-,-,-,3
"S00163282",133,114,4,-,-,15
"S00163283",81,72,-,-,-,9
"S00163284",123,114,-,-,-,9
"S00163285",91,82,-,1,-,8
"S00163286",99,76,-,-,-,23
"S00163287",93,82,-,-,-,7
"S00163288",125,121,1,-,-,3
"S00163289",69,51,-,-,-,18
"S00163290",124,113,2,-,-,9
"S00163291",105,103,-,-,-,6
"S00163292",142,125,3,-,-,15
"S00163293",125,110,-,1,-,11
"S00163294",119,112,-,-,-,7
"S00163295",80,78,2,-,-,1
"S00163296",129,117,1,-,-,9
"S00163297",73,68,-,-,-,2
"S00163298",90,89,-,-,-,-
"S00163299",83,70,-,-,-,13
"S00163300",61,59,-,2,-,1
"S00163301",109,105,-,-,-,8
"S00163302",111,108,-,-,-,3
"S00163303",159,144,-,-,-,18
"S00163304",73,66,-,-,-,7
"S00163305",139,121,-,-,-,15
"S00163306",78,80,-,-,-,3
"S00163307",114,110,-,-,-,4
"S00163308",80,72,-,1,-,7
"S00163309",104,97,-,-,-,6
"S00163310",126,118,-,-,-,8
"S00163311",138,129,-,1,-,6
"S00163312",135,121,-,-,-,14
"S00163313",89,84,-,3,-,4
"S00163314",198,194,-,-,-,4
"S00163315",146,125,-,-,-,21
"S00163316",140,139,-,-,-,1
"S00163317",174,161,3,1,-,4
"S00163318",76,72,-,-,-,4
"S00163319",132,128,-,-,-,4
"S00163320",143,139,-,-,-,3
"S00163321",164,154,-,3,-,7
"S00163322",129,122,-,-,-,7
"S00163323",139,125,-,3,-,6
"S00163324",152,136,-,-,2,14
"S00163325",85,81,-,-,-,4
"S00163326",90,86,-,-,-,4
"S00163327",137,138,-,-,-,2
"S00163328",110,106,-,-,-,4
"S00163329",64,63,-,-,-,5
"S00163330",149,148,-,1,-,-
"S00163331",126,121,2,-,-,3
"S00163332",99,88,1,-,-,10
"S00163333",69,62,-,3,-,4
"S00163334",57,53,-,-,-,4
"S00163335",91,82,-,-,-,9
"S00163336",87,84,-,-,-,3
"S00163337",162,147,-,-,-,12
"S00163338",80,73,-,-,-,4
"S00163339",161,160,-,-,-,3
"S00163340",139,130,-,-,-,8
"S00163341",94,87,-,-,-,7
"S00163342",79,69,-,1,-,9
"S00163343",151,140,-,1,2,8
"S00163344",100,100,-,-,-,-
"S00163345",131,110,-,-,-,20
"S00163346",102,104,-,-,-,-
"S00163347",120,110,-,-,-,11
"S00163348",170,167,-,1,-,2
"S00163349",83,83,-,-,-,-
"S00163350",121,117,-,-,-,4
"S00163351",74,71,-,1,-,-
"S00163352",90,88,-,-,1,1
"S00163353",98,88,-,-,-,10
"S00163354",101,94,-,-,-,4
"S00163355",76,76,-,-,-,-
"S00163356",81,72,-,-,-,9
"S00163357",98,93,-,-,-,5
"S00163358",103,95,-,-,-,8
"S00163359",112,110,-,-,-,2
"S00163360",109,97,-,-,-,13
"S00163361",76,71,2,-,-,3
"S00163362",75,75,-,-,-,1
"S00163363",180,175,-,1,-,4
"S00163364",131,126,-,-,-,3
"S00163365",161,152,-,-,-,9
"S00163366",120,105,-,-,-,15
"S00163367",121,121,-,-,-,-
"S00163368",98,94,-,-,-,4
"S00163369",214,208,-,-,-,3
"S00163370",141,140,-,-,-,1
"S00163371",128,128,-,-,-,-
"S00163372",133,132,-,-,-,1
"S00163373",90,88,-,-,-,2
"S00163374",90,88,-,-,-,-
"S00163375",133,127,-,-,-,3
"S00163376",92,92,-,-,-,2
"S00163377",76,78,-,-,-,-
"S00163378",56,56,-,1,1,1
"S00163379",103,90,-,-,-,9
"S00163380",140,135,-,3,-,4
"S00163381",102,87,-,-,-,15
"S00163382",86,83,-,-,-,5
"S00163383",102,102,-,-,-,-
"S00163384",133,126,-,-,-,7
"S00163385",107,93,-,-,-,13
"S00163386",85,79,1,-,-,6
"S00163387",75,66,-,-,-,9
"S00163388",104,97,-,2,-,5
"S00163389",83,83,-,-,-,2
"S00163390",134,127,-,-,-,7
"S00163391",82,82,-,-,-,-
"S00163392",165,159,-,-,-,6
"S00163393",96,94,-,-,-,4
"S00163394",122,114,-,-,-,8
"S00163395",142,142,-,1,-,-
"S00163396",152,150,-,-,-,-
"S00163397",172,162,-,-,-,10
"S00163398",95,94,-,-,-,1
"S00163399",94,93,-,-,-,-
"S00163400",161,156,-,2,-,3
"S00163401",85,83,-,-,-,2
"S00163402",95,92,-,-,-,3
"S00163403",95,85,-,-,-,8
"S00163404",116,110,-,-,-,5
"S00163405",84,83,-,-,-,-
"S00163406",81,78,-,-,-,2
"S00163407",176,164,-,-,1,10
"S00163408",127,121,-,-,-,5
"S00163409",126,118,-,-,-,6
"S00163410",93,89,-,4,-,2
"S00163411",148,142,-,4,-,-
"S00163412",122,100,-,-,-,22
"S00163413",124,116,-,3,2,4
"S00163414",113,108,-,-,-,5
"S00163415",141,138,-,4,-,1
"S00163416",73,71,-,-,-,1
"S00163417",112,107,-,1,-,4
"S00163418",156,146,-,-,-,6
"S00163419",95,89,-,-,-,2
"S00163420",126,126,-,-,-,-
"S00163421",70,70,-,-,-,-
"S00163422",83,79,-,-,-,4
"S00163423",101,92,5,-,-,4
"S00163424",151,116,-,-,-,33
"S00163425",90,87,-,1,-,4
"S00163426",83,81,-,-,-,2
"S00163427",152,145,-,-,-,7
"S00163428",116,107,-,5,-,4
"S00163429",130,110,1,4,-,11
"S00163430",63,52,-,-,-,8
"S00163431",73,66,-,-,-,6
"S00163432",81,84,-,1,-,-
"S00163433",120,112,2,2,-,4
"S00163434",140,131,-,-,-,8
"S00163435",142,137,-,1,-,1
"S00163436",77,75,-,-,-,1
"S00163437",85,83,-,-,-,2
"S00163438",148,145,-,1,-,2
"S00163439",64,64,-,-,-,-
"S00163440",136,124,-,2,-,10
"S00163441",111,111,-,-,-,-
"S00163442",156,150,-,-,-,6
"S00163443",63,60,-,-,-,3
"S00163444",104,100,-,1,-,3
"S00163445",99,91,2,3,-,3
"S00163446",142,118,-,-,-,21
"S00163447",65,63,-,-,-,2
"S00163448",145,139,-,-,1,5
"S00163449",76,72,-,1,-,3
"S00163450",89,89,-,-,-,-
"S00163451",97,97,-,-,-,-
"S00163452",119,114,-,-,1,4
"S00163453",67,66,-,1,-,-
"S00163454",58,58,-,-,-,2
"S00163455",99,96,-,-,-,2
"S00163456",62,60,-,1,-,1
"S00163457",150,147,-,-,-,1
"S00163458",81,81,-,-,-,-
"S00163459",69,66,-,-,-,5
"S00163460",85,83,-,1,-,1
"S00163461",77,77,-,-,-,-
"S00163462",101,92,-,-,-,8
"S00163463",110,103,-,-,-,7
"S00163464",87,73,-,-,-,9
"S00163465",93,87,-,-,-,5
"S00163466",120,115,-,1,-,3
"S00163467",62,56,-,-,-,6
"S00163468",102,101,-,-,-,-
"S00163469",123,116,-,-,-,7
"S00163470",164,152,-,-,-,12
"S00163471",79,63,-,2,-,17
"S00163472",104,102,-,2,-,-
"S00163473",106,100,-,-,-,6
"S00163474",80,75,-,2,-,3
"S00163475",72,69,-,1,-,2
"S00163476",97,93,-,-,-,4
"S00163477",103,99,-,3,-,2
"S00163478",145,138,-,-,-,7
"S00163479",155,140,-,-,-,15
"S00163480",107,107,-,-,-,-
"S00163481",71,65,-,-,-,6
"S00163482",119,109,2,3,-,6
"S00163483",121,118,-,-,-,2
"S00163484",114,114,-,-,-,-
"S00163485",75,73,-,-,-,2
"S00163486",119,110,-,3,-,6
"S00163487",97,92,-,-,-,5
"S00163488",94,86,4,-,-,4
"S00163489",87,82,-,2,-,2
"S00163490",141,140,-,1,-,3
"S00163491",147,137,-,4,-,2
"S00163492",113,108,-,-,1,2
"S00163493",86,82,-,-,-,2
"S00163494",75,69,-,-,-,8
"S00163495",81,71,-,-,-,6
"S00163496",111,103,-,-,-,8
"S00163497",104,104,-,-,-,-
"S00163498",79,78,-,-,-,1
"S00163499",80,79,-,-,-,-
"S00163500",83,74,-,1,-,8
"S00163501",103,102,-,1,-,4
"S00163502",150,141,-,-,-,7
"S00163503",117,93,-,-,-,25
"S00163504",91,90,-,1,-,-
"S00163505",72,70,-,-,-,2
"S00163506",76,73,-,1,-,-
"S00163507",106,105,-,-,-,1
"S00163508",118,116,-,-,-,2
"S00163509",121,117,1,-,2,1
"S00163510",115,107,-,3,-,5
"S00163511",101,96,-,-,-,5
"S00163512",127,121,-,-,-,6
"S00163513",151,136,1,-,-,11
"S00163514",71,69,1,1,-,-
"S00163515",98,89,-,-,-,9
"S00163516",60,53,-,-,-,6
"S00163517",170,165,-,-,-,4
"S00163518",89,82,-,-,-,6
"S00163519",137,132,-,-,-,6
"S00163520",84,79,-,-,-,5
"S00163521",121,120,-,-,-,-
"S00163522",113,107,2,-,-,4
"S00163523",78,74,-,1,-,6
"S00163524",82,77,-,-,-,5
"S00163525",97,97,-,-,-,-
"S00163526",159,151,-,-,-,4
"S00163527",169,156,-,-,-,16
"S00163528",126,114,-,-,-,12
"S00163529",138,127,-,-,-,8
"S00163530",86,82,-,-,-,4
"S00163531",147,144,1,1,-,1
"S00163532",137,134,-,-,-,3
"S00163533",92,77,-,-,-,11
"S00163534",82,78,-,-,-,1
"S00163535",78,76,-,-,-,-
"S00163536",128,124,-,-,-,-
"S00163537",123,112,1,-,-,13
"S00163538",82,82,-,-,-,-
"S00163539",127,112,-,-,-,14
"S00163540",85,74,-,-,-,7
"S00163541",64,60,-,-,-,4
"S00163542",87,87,-,-,-,-
"S00163543",63,61,-,-,-,2
"S00163544",114,110,-,-,-,4
"S00163545",85,76,-,-,-,9
"S00163546",144,134,-,-,-,13
"S00163547",71,68,-,-,-,3
"S00163548",152,145,-,-,-,7
"S00163549",161,160,-,-,-,2
"S00163550",130,122,-,-,-,8
"S00163551",153,145,-,4,-,4
"S00163552",87,82,-,-,-,5
"S00163553",93,86,-,-,-,8
"S00163554",77,71,-,1,-,2
"S00163555",98,98,-,-,-,-
"S00163556",88,80,-,-,-,8
"S00163557",121,117,-,1,-,1
"S00163558",79,77,-,1,-,3
"S00163559",98,88,-,-,-,10
"S00163560",95,88,-,-,-,7
"S00163561",126,119,-,-,-,7
"S00163562",62,58,-,-,-,4
"S00163563",80,81,-,-,-,2
"S00163564",71,71,-,-,-,-
"S00163565",121,117,-,-,-,4
"S00163566",87,83,-,1,-,3
"S00163567",74,73,-,-,-,-
"S00163568",142,142,-,-,-,-
"S00163569",86,86,-,-,-,-
"S00163570",134,131,-,1,2,-
"S00163571",78,74,-,-,-,4
"S00163572",153,151,-,-,-,2
"S00163573",82,73,-,-,-,6
"S00163574",92,92,-,-,-,-
"S00163575",150,142,-,5,-,3
"S00163576",73,69,-,-,-,4
"S00163577",144,139,-,-,-,5
"S00163578",127,128,-,-,-,3
"S00163579",119,114,-,-,-,5
"S00163580",100,95,-,-,-,3
"S00163581",164,150,-,5,-,7
"S00163582",95,94,-,-,1,-
"S00163583",139,134,-,-,-,4
"S00163584",136,131,-,-,-,3
"S00163585",103,102,-,-,-,2
"S00163586",98,93,-,1,-,4
"S00163587",181,177,-,-,-,4
"S00163588",103,97,-,-,-,3
"S00163589",79,79,-,-,-,-
"S00163590",154,148,-,-,-,10
"S00163591",64,65,-,1,-,-
"S00163592",113,108,-,-,-,5
"S00163593",93,93,-,-,-,-
"S00163594",69,69,-,-,-,-
"S00163595",101,99,-,-,-,1
"S00163596",83,83,-,-,-,-
"S00163597",113,103,-,-,-,9
"S00163598",121,113,-,-,-,4
"S00163599",90,87,-,-,-,4
"S00163600",84,76,-,-,-,4
"S00163601",144,142,-,-,-,2
"S00163602",109,106,-,2,-,-
"S00163603",112,107,-,4,-,3
"S00163604",96,93,-,-,-,3
"S00163605",142,133,-,-,1,8
"S00163606",119,115,-,-,-,3
"S00163607",103,103,-,-,-,-
"S00163608",61,60,-,1,-,-
"S00163609",65,65,-,-,-,-
"S00163610",125,119,-,-,-,6
"S00163611",146,134,-,1,-,7
"S00163612",94,94,-,-,-,-
"S00163613",102,102,-,-,-,-
"S00163614",150,150,-,-,-,-
"S00163615",67,64,-,-,-,4
"S00163616",88,88,-,-,-,-
"S00163617",77,62,-,-,-,13
"S00163618",88,85,-,-,-,3
"S00163619",78,73,-,-,-,5
"S00163620",145,142,-,2,-,3
"S00163621",94,92,1,-,-,1
"S00163622",175,154,-,-,-,21
"S00163623",106,96,-,-,-,13
"S00163624",124,117,-,-,-,6
"S00163625",134,133,-,-,-,-
"S00163626",168,156,-,-,-,12
"S00163627",69,69,-,-,-,-
"S00163628",108,108,-,-,-,-
"S00163629",83,83,-,-,-,-
"S00163630",138,124,1,-,-,13
"S00163631",140,140,-,-,-,-
"S00163632",165,163,-,-,-,1
"S00163633",80,80,-,-,-,-
"S00163634",145,143,-,-,-,2
"S00163635",119,115,-,-,-,5
"S00163636",182,180,-,-,-,2
"S00163637",70,65,-,-,-,5
"S00163638",122,110,-,-,-,9
"S00163639",118,116,-,-,-,2
"S00163640",119,117,-,1,-,1
"S00163641",92,92,-,-,-,-
"S00163642",116,113,-,-,-,3
"S00163643",111,111,-,-,-,-
"S00163644",88,83,-,1,-,4
"S00163645",158,155,-,1,-,1
"S00163646",91,84,-,-,-,7
"S00163647",100,99,1,-,-,2
"S00163648",195,184,-,-,-,12
"S00163649",185,181,-,-,-,4
"S00163650",126,116,-,-,-,10
"S00163651",142,142,-,-,-,-
"S00163652",81,71,1,-,-,9
"S00163653",150,145,-,1,-,3
"S00163654",190,184,-,-,-,6
"S00163655",122,121,-,-,-,2
"S00163656",90,85,-,-,-,7
"S00163657",167,166,-,-,-,-
"S00163658",125,111,-,2,-,12
"S00163659",84,83,-,-,-,1
"S00163660",91,87,-,-,-,4
"S00163661",81,71,-,-,-,10
"S00163662",78,66,-,1,-,12
"S00163663",205,201,-,2,-,1
"S00163664",154,149,-,-,-,8
"S00163665",215,203,-,4,-,8
"S00163666",152,145,-,-,-,7
"S00163667",96,87,-,-,-,9
"S00163668",144,128,-,-,-,20
"S00163669",172,169,-,1,-,2
"S00163670",199,199,-,-,-,-
"S00163671",159,147,4,1,-,7
"S00163672",64,59,-,-,-,8
"S00163673",212,211,-,-,-,5
"S00163674",171,164,-,5,-,3
"S00163675",150,141,-,3,-,7
"S00163676",165,153,-,-,-,19
"S00163677",64,63,-,-,-,1
"S00163678",181,168,-,-,-,8
"S00163679",81,73,-,-,-,8
"S00163680",109,109,-,-,-,-
"S00163681",57,53,-,-,-,4
"S00163682",113,112,-,-,-,2
"S00163683",101,102,-,-,-,1
"S00163684",129,123,-,3,-,3
"S00163685",140,128,-,-,-,13
"S00163686",108,108,-,-,-,-
"S00163687",118,116,-,-,-,-
"S00163688",104,101,-,-,-,3
"S00163689",127,116,-,1,-,7
"S00163690",109,108,2,-,-,-
"S00163691",107,103,-,3,-,2
"S00163692",194,193,-,-,-,1
"S00163693",132,132,-,-,-,-
"S00163694",70,65,-,-,-,4
"S00163695",118,112,-,-,-,6
"S00163696",176,176,-,-,-,-
"S00163697",76,74,-,2,-,1
"S00163698",107,107,-,-,-,-
"S00163699",85,82,1,-,-,2
"S00163700",98,97,-,-,-,1
"S00163701",158,156,-,2,-,-
"S00163702",188,186,-,-,-,2
"S00163703",121,115,-,3,-,3
"S00163704",171,167,-,-,-,4
"S00163705",126,125,-,2,-,-
"S00163706",201,192,-,2,-,6
"S00163707",82,80,-,-,-,2
"S00163708",145,144,-,-,-,1
"S00163709",187,178,-,4,-,3
"S00163710",113,109,-,1,-,2
"S00163711",86,81,-,-,-,5
"S00163712",65,65,-,-,-,-
"S00163713",117,113,-,-,-,4
"S00163714",87,87,-,-,-,-
"S00163715",131,126,-,-,-,3
"S00163716",106,104,-,2,-,-
"S00163717",68,70,-,1,-,2
"S00163718",131,124,-,-,-,11
"S00163719",164,158,-,-,-,6
"S00163720",115,114,-,-,-,2
"S00163721",92,90,-,1,-,-
"S00163722",124,124,-,-,-,-
"S00163723",168,160,-,1,-,5
"S00163724",101,101,-,-,-,2
"S00163725",127,127,-,-,-,-
"S00163726",68,67,-,-,-,1
"S00163727",66,66,-,-,-,-
"S00163728",66,61,-,-,-,1
"S00163729",177,170,-,2,-,5
"S00163730",152,152,-,-,-,-
"S00163731",75,75,-,-,-,-
"S00163732",150,145,-,-,-,5
"S00163733",148,145,-,-,-,2
"S00163734",175,173,-,-,-,4
"S00163735",144,140,1,-,2,1
"S00163736",136,130,-,-,-,2
"S00163737",104,104,-,-,-,-
"S00163738",95,94,-,1,-,-
"S00163739",137,136,-,1,-,-
"S00163740",135,136,-,-,-,1
"S00163741",106,104,-,-,-,4
"S00163742",94,91,-,-,-,3
"S00163743",114,112,-,-,-,1
"S00163744",138,132,-,-,-,8
"S00163745",171,166,-,-,-,5
"S00163746",62,62,-,-,-,-
"S00163747",87,84,-,-,-,2
"S00163748",70,70,-,-,-,-
"S00163749",93,86,-,-,-,6
"S00163750",114,111,-,-,-,3
"S00163751",181,180,-,-,-,1
"S00163752",112,115,-,-,-,-
"S00163753",140,137,-,-,-,3
"S00163754",162,155,-,-,-,13
"S00163755",96,92,-,-,-,4
"S00163756",93,88,-,-,-,8
"S00163757",113,112,-,-,-,1
"S00163758",136,134,-,-,-,2
"S00163759",154,150,2,-,-,3
"S00163760",148,147,-,-,-,2
"S00163761",96,96,-,-,-,-
"S00163762",117,108,-,-,-,8
"S00163763",101,94,-,1,-,4
"S00163764",128,126,-,-,-,2
"S00163765",121,115,-,-,-,1
"S00163766",71,71,-,-,-,-
"S00163767",57,43,-,-,-,16
"S00163768",78,74,-,-,-,6
"S00163769",59,59,-,-,-,-
"S00163770",106,106,-,-,-,-
"S00163771",95,92,-,-,-,4
"S00163772",97,97,-,-,-,-
"S00163773",98,98,-,-,-,-
"S00163774",88,94,-,-,-,2
"S00163775",111,106,-,-,-,5
"S00163776",136,136,-,1,-,5
