Scotland's Census 2022 - National Records of Scotland
Table UV212 - Main language
All people aged 3 and over

,"All people aged 3 and over","English","Scots","Gaelic","Sign Language","Other language"
"S00135598",89,87,-,-,-,1
"S00135599",123,106,-,-,-,15
"S00135600",60,54,-,-,-,6
"S00135601",128,120,-,-,-,8
"S00135602",124,104,-,-,-,20
"S00135603",80,80,-,-,-,-
"S00135604",83,73,1,-,-,9
"S00135605",82,71,-,-,-,7
"S00135606",270,255,-,-,-,11
"S00135607",1711,1439,2,1,-,272
"S00135608",95,86,-,-,-,9
"S00135609",108,91,-,-,-,14
"S00135610",156,146,1,-,-,8
"S00135611",87,86,1,-,-,-
"S00135612",149,142,-,-,-,7
"S00135613",114,105,-,-,-,9
"S00135614",110,110,-,-,-,-
"S00135615",153,141,-,-,-,10
"S00135616",72,60,-,-,-,9
"S00135617",105,95,-,-,-,8
"S00135618",74,73,-,-,-,1
"S00135619",63,61,-,-,-,5
"S00135620",122,111,1,-,-,7
"S00135621",129,109,1,-,-,18
"S00135622",89,80,-,-,-,13
"S00135623",128,127,-,-,-,1
"S00135624",90,80,-,-,-,10
"S00135625",129,111,-,-,-,18
"S00135626",58,57,-,-,-,2
"S00135627",127,123,-,-,-,8
"S00135628",151,131,2,-,-,18
"S00135629",152,131,-,-,-,19
"S00135630",110,96,-,-,-,17
"S00135631",157,149,-,-,-,5
"S00135632",159,100,3,-,-,56
"S00135633",64,61,-,-,-,3
"S00135634",75,70,-,-,-,3
"S00135635",114,105,-,-,-,9
"S00135636",101,85,-,1,-,15
"S00135637",121,107,-,-,-,18
"S00135638",76,61,-,-,-,15
"S00135639",69,62,-,-,-,5
"S00135640",126,124,-,-,-,2
"S00135641",86,81,2,-,-,5
"S00135642",179,138,-,-,-,39
"S00135643",90,69,1,-,-,17
"S00135644",74,71,-,-,-,1
"S00135645",81,78,-,-,-,3
"S00135646",74,67,-,-,-,5
"S00135647",147,139,-,-,-,8
"S00135648",112,57,-,-,-,55
"S00135649",85,60,-,-,-,25
"S00135650",108,89,-,-,-,23
"S00135651",114,109,-,-,-,5
"S00135652",85,84,-,-,-,1
"S00135653",82,66,-,-,-,16
"S00135654",69,43,-,-,-,26
"S00135655",106,96,-,-,-,12
"S00135656",104,51,-,-,-,53
"S00135657",116,94,2,-,1,23
"S00135658",84,65,-,-,-,19
"S00135659",132,78,-,-,1,53
"S00135660",108,76,1,-,-,31
"S00135661",63,58,3,-,-,4
"S00135662",111,98,-,-,2,15
"S00135663",107,91,3,-,-,13
"S00135664",169,108,2,-,-,59
"S00135665",100,87,-,-,-,13
"S00135666",86,81,-,-,-,5
"S00135667",157,125,4,-,-,30
"S00135668",128,90,-,-,-,38
