OA_Code,Latitude,Longitude,All people in households,"Whole house or bungalow, Total","Whole house or bungalow, Detached","Whole house or bungalow, Semi-detached","Whole house or bungalow, Terraced (including end-terrace)","Flat, maisonette or apartment, Total","Flat, maisonette or apartment, Purpose-built block of flats or tenement","Flat, maisonette or apartment, Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment, In a commercial building",Caravan or other mobile or temporary structure
S00143132,55.94750629,-3.305982791,89,70,41,25,7,19,19,-,-,-
S00143133,55.94774216,-3.3116915,123,114,69,4,43,11,11,-,-,-
S00143134,55.94850785,-3.194914342,96,1,-,1,-,92,89,1,2,-
S00143135,55.94963661,-3.148989321,89,78,57,23,2,8,8,-,-,-
S00143136,55.94824482,-3.287896307,89,84,39,42,3,3,3,-,-,-
S00143137,55.94966835,-3.130013896,177,100,13,14,73,71,71,-,-,-
S00143138,55.94965126,-3.101140599,99,72,12,25,35,30,21,7,-,-
S00143139,55.94893803,-3.13809545,71,4,-,2,2,67,67,-,-,-
S00143140,55.94967993,-3.118900667,125,34,13,15,6,92,71,17,-,-
S00143141,55.94793494,-3.290031817,103,99,81,15,3,3,3,-,-,-
S00143142,55.94814618,-3.284434115,104,98,38,54,6,6,6,-,-,-
S00143143,55.94827272,-3.22706198,107,-,-,-,-,107,81,26,-,-
S00143144,55.94924312,-3.178282709,109,-,-,-,-,109,107,1,1,-
S00143145,55.94828487,-3.21950403,128,8,-,-,8,122,58,62,-,-
S00143146,55.94965437,-3.106809549,94,59,9,30,20,33,8,32,-,-
S00143147,55.94572828,-3.3033289,94,88,1,88,-,6,6,-,-,-
S00143148,55.94750091,-3.235060135,93,75,7,20,45,18,4,14,-,-
S00143149,55.94783535,-3.30884426,144,76,7,6,61,70,70,-,-,-
S00143150,55.94868483,-3.139240986,87,60,12,43,5,27,27,-,-,-
S00143151,55.93907857,-3.409443505,92,84,42,17,25,8,10,1,-,-
S00143152,55.94909821,-3.187758398,123,11,5,-,4,112,112,-,-,-
S00143153,55.9479271,-3.192718656,83,-,-,-,-,83,81,-,2,-
S00143154,55.94614999,-3.223664225,62,2,1,1,-,60,54,6,-,-
S00143155,55.94899453,-3.14363779,115,112,42,60,10,3,3,-,-,-
S00143156,55.94915912,-3.136532604,92,6,-,6,-,86,85,1,-,-
S00143157,55.94783421,-3.241235854,180,163,11,18,134,17,8,9,-,-
S00143158,55.94935463,-3.176956954,147,5,1,2,2,139,137,2,-,4
S00143159,55.94928083,-3.188388526,91,3,-,-,3,88,88,-,-,-
S00143160,55.94877552,-3.185810878,124,2,2,-,-,123,112,9,2,-
S00143161,55.94782487,-3.28163715,75,76,36,36,-,1,1,-,-,-
S00143162,55.93923236,-3.399106557,79,78,40,8,25,2,2,-,-,-
S00143163,55.94856722,-3.181304731,84,-,-,-,-,84,84,-,-,-
S00143164,55.94890217,-3.135163929,170,30,-,9,21,140,137,1,-,-
S00143165,55.94927813,-3.135319055,76,6,4,3,-,70,70,-,-,-
S00143166,55.94810308,-3.248418457,65,7,2,3,5,55,43,12,-,-
S00143167,55.94709403,-3.202621021,71,1,1,-,-,67,67,-,-,-
S00143168,55.94792857,-3.214640811,145,-,-,-,-,145,115,26,-,-
S00143169,55.94912174,-3.098050974,101,41,1,8,29,60,31,29,-,-
S00143170,55.94940784,-3.124113274,167,154,87,58,7,15,9,2,-,-
S00143171,55.94836412,-3.088245476,96,90,10,-,79,6,-,5,-,-
S00143172,55.94754829,-3.301164202,98,87,78,6,5,12,12,-,-,-
S00143173,55.94823992,-3.194745955,78,-,-,-,-,78,71,2,5,-
S00143174,55.94733253,-3.30796258,100,98,7,88,3,2,2,-,-,-
S00143175,55.94731919,-3.303286273,144,103,20,69,15,37,37,-,-,-
S00143176,55.94703033,-3.292323627,127,117,82,31,4,10,10,-,-,-
S00143177,55.94853793,-3.128844018,146,145,123,21,-,2,2,-,-,-
S00143178,55.94716396,-3.27692348,162,157,117,40,-,2,2,-,-,-
S00143179,55.94770322,-3.212888321,97,6,-,4,4,91,74,17,-,-
S00143180,55.94835452,-3.127285396,106,106,51,54,2,-,-,-,-,-
S00143181,55.94869504,-3.141050801,112,110,12,64,33,3,3,-,-,-
S00143182,55.94902365,-3.102996358,116,88,8,64,16,28,2,26,-,-
S00143183,55.94775717,-3.204643226,117,5,5,3,-,109,101,7,1,-
S00143184,55.94754,-3.223035523,112,15,-,-,15,97,43,54,-,-
S00143185,55.94794573,-3.221991439,66,20,-,4,16,42,21,21,-,-
S00143186,55.94751764,-3.118550064,132,119,35,70,15,15,1,12,-,-
S00143187,55.94795916,-3.218821233,104,12,-,-,12,92,41,51,-,-
S00143188,55.94786411,-3.211147911,70,21,-,-,20,49,46,1,-,-
