OA_Code,Latitude,Longitude,All people in households,"Whole house or bungalow, Total","Whole house or bungalow, Detached","Whole house or bungalow, Semi-detached","Whole house or bungalow, Terraced (including end-terrace)","Flat, maisonette or apartment, Total","Flat, maisonette or apartment, Purpose-built block of flats or tenement","Flat, maisonette or apartment, Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment, In a commercial building",Caravan or other mobile or temporary structure
S00143189,55.94761802,-3.285105198,125,125,120,5,-,-,-,-,-,-
S00143190,55.9465762,-3.297913005,139,134,95,23,16,5,5,-,-,-
S00143191,55.9484514,-3.178386766,99,-,-,-,-,99,99,-,-,-
S00143192,55.94858563,-3.179383678,105,12,-,2,10,97,96,1,-,-
S00143193,55.94658798,-3.308690083,112,31,19,16,-,84,84,-,-,-
S00143194,55.94740781,-3.081541324,118,84,5,14,65,34,21,10,3,-
S00143195,55.94839063,-3.18938611,113,2,2,-,-,110,101,6,3,-
S00143196,55.94820473,-3.178811632,113,2,-,-,2,111,110,1,-,-
S00143197,55.94556991,-3.3123226,217,184,162,11,9,31,31,-,-,-
S00143198,55.9482806,-3.133384284,63,-,-,-,-,63,63,-,-,-
S00143199,55.94714411,-3.22127763,185,22,-,7,15,160,100,57,-,-
S00143200,55.94849003,-3.188396325,88,-,-,-,-,88,88,-,-,-
S00143201,55.94580869,-3.309304297,256,246,221,15,11,6,3,5,-,-
S00143202,55.94821732,-3.194296886,68,1,-,-,1,67,65,-,2,-
S00143203,55.9462251,-3.28770115,118,115,62,53,4,1,1,-,-,-
S00143204,55.9466974,-3.183265387,82,1,-,-,1,81,80,-,-,-
S00143205,55.94737033,-3.21657692,168,21,-,3,18,144,113,33,-,-
S00143206,55.94585502,-3.131375939,125,121,71,34,16,4,4,-,-,-
S00143207,55.94648653,-3.303002093,153,121,44,72,-,31,30,3,-,-
S00143208,55.94653126,-3.235877937,105,29,4,8,17,79,61,17,-,-
S00143209,55.94190269,-3.316633602,78,56,26,12,18,22,22,-,-,-
S00143210,55.94819263,-3.097448201,98,77,52,26,3,20,19,-,-,-
S00143211,55.94875643,-3.097704353,106,78,13,3,66,28,25,3,-,-
S00143212,55.94846431,-3.119185867,124,4,4,-,-,120,102,17,1,-
S00143213,55.94619352,-3.293288538,130,115,68,28,19,19,19,-,-,-
S00143214,55.94590112,-3.280853027,187,149,28,77,40,38,28,10,1,-
S00143215,55.94691343,-3.238980599,171,148,16,13,119,27,8,15,-,-
S00143216,55.94686619,-3.234735682,106,25,4,4,17,81,76,2,-,-
S00143217,55.94806879,-3.182682704,93,21,-,12,9,70,72,2,-,-
S00143218,55.94691175,-3.306122905,91,91,6,89,-,-,-,-,-,-
S00143219,55.94797883,-3.139796723,128,118,55,51,13,12,12,-,-,-
S00143220,55.94600103,-3.284202962,109,105,63,43,3,7,7,-,-,-
S00143221,55.94655412,-3.230001995,130,98,29,61,3,28,16,15,-,-
S00143222,55.94809786,-3.102025261,102,55,11,26,17,45,17,31,-,-
S00143223,55.94646158,-3.285707399,109,106,104,2,-,3,1,-,2,-
S00143224,55.94519426,-3.295176701,146,115,104,9,2,35,35,-,-,-
S00143225,55.94827072,-3.134456881,102,16,-,9,8,86,86,-,-,-
S00143226,55.94693951,-3.221975754,106,6,4,2,-,100,58,35,-,-
S00143227,55.94774165,-3.196091725,67,-,-,-,-,67,67,-,-,-
S00143228,55.9470057,-3.237846629,72,29,4,8,19,46,21,25,-,-
