OA_Code,Latitude,Longitude,All People (16+),UK Armed Forces veteran,Not a UK Armed Forces veteran
S00135523,57.18154975,-2.096404198,65,7,58
S00135524,57.18260596,-2.146612269,104,4,100
S00135525,57.18268094,-2.202442367,87,1,85
S00135526,57.18220758,-2.176882452,96,1,92
S00135527,57.18304469,-2.102958854,58,5,53
S00135528,57.18295406,-2.114240426,152,9,143
S00135529,57.18251091,-2.09642325,130,5,122
S00135530,57.18240025,-2.110748347,73,1,72
S00135531,57.18285554,-2.092073547,86,3,84
S00135532,57.18298606,-2.118475349,77,2,76
S00135533,57.18276695,-2.139350886,110,3,107
S00135534,57.18233667,-2.138538706,97,1,99
S00135535,57.18184392,-2.137345851,194,9,189
S00135536,57.18164661,-2.191833468,124,-,124
S00135537,57.18191921,-2.142325216,129,4,124
S00135538,57.18201801,-2.094900113,81,10,78
S00135539,57.18186148,-2.110515147,72,5,66
S00135540,57.18093103,-2.189828248,124,4,116
S00135541,57.18127146,-2.14318288,73,5,68
S00135542,57.1804713,-2.165609605,124,-,124
S00135543,57.18016017,-2.163110515,131,1,130
S00135544,57.18154174,-2.177656724,83,5,78
S00135545,57.18203083,-2.130564383,125,6,119
S00135546,57.18024341,-2.101230775,76,4,73
S00135547,57.18091836,-2.192243224,146,2,144
S00135548,57.18128825,-2.108594616,71,5,66
S00135549,57.18150282,-2.109769701,55,-,55
S00135550,57.18128499,-2.187415,98,6,94
S00135551,57.17561093,-2.191256372,104,3,101
S00135552,57.18033814,-2.164401507,104,-,104
S00135553,57.1806339,-2.134876709,175,9,166
S00135554,57.18081477,-2.094268451,72,2,67
S00135555,57.18096248,-2.138351599,142,6,138
S00135556,57.18082625,-2.131387193,98,3,95
S00135557,57.18012995,-2.108012275,74,5,69
S00135558,57.18030125,-2.096235528,124,3,121
S00135559,57.17867682,-2.170729081,95,1,96
S00135560,57.18019982,-2.129102302,91,8,83
S00135561,57.18044558,-2.095441929,73,6,67
S00135562,57.17998141,-2.18203258,78,-,76
S00135563,57.18049119,-2.17086979,44,-,44
S00135564,57.17962333,-2.193212399,94,8,86
S00135565,57.17958344,-2.189920574,59,1,57
S00135566,57.17785839,-2.177887126,87,4,83
S00135567,57.17910579,-2.097175224,98,-,97
S00135568,57.17989699,-2.107316876,136,10,126
S00135569,57.17999701,-2.183653671,89,6,85
S00135570,57.17864049,-2.134125119,102,4,97
S00135571,57.17878372,-2.095454175,91,3,88
S00135572,57.17945137,-2.188150038,103,3,99
S00135573,57.17951049,-2.096564282,86,3,83
S00135574,57.1792758,-2.185403398,69,5,64
S00135575,57.17918135,-2.103758572,126,6,120
S00135576,57.17974071,-2.100799336,111,3,108
S00135577,57.17932878,-2.166878118,105,3,102
S00135578,57.17860317,-2.126830699,101,3,99
S00135579,57.17927946,-2.093239013,76,7,70
S00135580,57.17947989,-2.121408353,122,4,117
S00135581,57.17844291,-2.105956351,105,3,101
S00135582,57.17891704,-2.127361071,77,3,74
S00135583,57.17836807,-2.166526436,106,4,104
S00135584,57.17915323,-2.115369972,97,4,93
S00135585,57.17896784,-2.161252718,82,2,76
S00135586,57.17879113,-2.191107416,95,6,93
S00135587,57.17873467,-2.088870978,67,3,65
S00135588,57.17797983,-2.089249582,82,2,79
S00135589,57.17829365,-2.174994684,75,4,73
S00135590,57.17876395,-2.166048548,62,1,58
S00135591,57.17841495,-2.184373585,68,4,68
S00135592,57.17813906,-2.163068518,81,2,79
S00135593,57.17813379,-2.129045464,78,-,78
S00135594,57.17744721,-2.092870511,85,3,83
S00135595,57.17786466,-2.191913088,119,3,116
S00135596,57.17615053,-2.143741917,185,12,173
S00135597,57.17724761,-2.190090515,113,4,106
S00135598,57.17780556,-2.094161529,79,4,76
S00135599,57.17811594,-2.160091194,110,2,106
S00135600,57.17716302,-2.186600203,59,4,55
S00135601,57.17777209,-2.162041421,96,-,96
S00135602,57.16469496,-2.087911288,115,4,111
S00135603,57.17754828,-2.130614705,69,-,69
S00135604,57.17786261,-2.16832702,74,4,74
S00135605,57.17723874,-2.171317871,72,1,71
S00135606,57.17586422,-2.125977805,216,4,212
S00135607,57.17488119,-2.10047184,1706,6,1700
S00135608,57.17672589,-2.190550939,79,1,79
S00135609,57.17675194,-2.085277136,91,3,88
S00135610,57.17337661,-2.133990252,150,6,142
S00135611,57.17706834,-2.177569071,74,5,69
S00135612,57.17726387,-2.159062041,122,3,117
S00135613,57.17685694,-2.161177353,86,2,84
S00135614,57.17501146,-2.189682091,94,3,91
S00135615,57.17611802,-2.123696258,136,-,131
S00135616,57.17690823,-2.123996616,58,2,59
S00135617,57.17714582,-2.087262806,91,3,88
S00135618,57.17696379,-2.090603372,65,4,61
S00135619,57.17649834,-2.1674773,54,4,54
S00135620,57.17708382,-2.166289097,77,3,78
S00135621,57.17442832,-2.115222911,112,6,105
S00135622,57.17660362,-2.123168622,79,4,78
S00135623,57.1761923,-2.146454517,116,4,112
S00135624,57.17632956,-2.179103681,70,2,69
S00135625,57.17615535,-2.122274009,92,-,91
S00135626,57.17644897,-2.164053426,51,3,50
S00135627,57.17568678,-2.188627056,98,2,96
S00135628,57.17533136,-2.179859635,136,6,134
S00135629,57.17529794,-2.164974495,136,3,133
S00135630,57.1754097,-2.181596602,93,5,88
S00135631,57.17446609,-2.113205335,117,2,115
S00135632,57.17485471,-2.120318145,134,12,123
S00135633,57.17533621,-2.163188467,57,4,50
S00135634,57.1754386,-2.14570728,73,1,76
S00135635,57.1755202,-2.185880737,101,1,97
S00135636,57.17464336,-2.183511314,89,5,86
S00135637,57.1749391,-2.183992404,98,2,96
S00135638,57.17333122,-2.095241627,75,4,71
S00135639,57.17392899,-2.16078421,59,1,58
S00135640,57.17418265,-2.185262095,114,6,108
S00135641,57.17440239,-2.188504736,62,2,64
S00135642,57.17418847,-2.112261799,128,-,129
S00135643,57.17352045,-2.115865065,75,3,72
S00135644,57.17375632,-2.122861446,70,4,68
S00135645,57.17436028,-2.19257298,73,4,69
S00135646,57.1738958,-2.190850584,67,5,62
S00135647,57.17333133,-2.189888468,125,5,123
S00135648,57.17449622,-2.119456976,86,2,84
S00135649,57.17411824,-2.120183441,60,3,60
S00135650,57.17406269,-2.121886705,91,3,90
S00135651,57.17239386,-2.128860048,103,5,98
