OA_Code,Latitude,Longitude,Constituency
S00177597,55.75284033,-4.210121669,"East Kilbride, Strathaven and Lesmahagow"
S00177598,55.75197111,-4.227888868,"East Kilbride, Strathaven and Lesmahagow"
S00177599,55.72051683,-4.16191125,"East Kilbride, Strathaven and Lesmahagow"
S00177600,55.75338505,-4.043715286,Lanark and Hamilton East
S00177601,55.75226228,-4.230168397,"East Kilbride, Strathaven and Lesmahagow"
S00177602,55.75281688,-4.207427119,"East Kilbride, Strathaven and Lesmahagow"
S00177603,55.75381752,-4.17349095,"East Kilbride, Strathaven and Lesmahagow"
S00177604,55.75372929,-4.15144596,"East Kilbride, Strathaven and Lesmahagow"
S00177605,55.7531145,-4.180702823,"East Kilbride, Strathaven and Lesmahagow"
S00177606,55.75234301,-4.224228835,"East Kilbride, Strathaven and Lesmahagow"
S00177607,55.75245295,-4.220139506,"East Kilbride, Strathaven and Lesmahagow"
S00177608,55.73405017,-3.891359567,Lanark and Hamilton East
S00177609,55.75299885,-4.196776026,"East Kilbride, Strathaven and Lesmahagow"
S00177610,55.75490407,-4.074265378,Rutherglen and Hamilton West
S00177611,55.75506618,-4.039356943,Lanark and Hamilton East
S00177612,55.75530437,-4.04611057,Lanark and Hamilton East
S00177613,55.75268803,-4.184471805,"East Kilbride, Strathaven and Lesmahagow"
S00177614,55.75337048,-4.169800725,"East Kilbride, Strathaven and Lesmahagow"
S00177615,55.74790423,-4.220693691,"East Kilbride, Strathaven and Lesmahagow"
S00177616,55.75314074,-4.194871647,"East Kilbride, Strathaven and Lesmahagow"
S00177617,55.75516813,-4.038087342,Lanark and Hamilton East
S00177618,55.75281742,-4.190327609,"East Kilbride, Strathaven and Lesmahagow"
S00177619,55.75219341,-4.174866692,"East Kilbride, Strathaven and Lesmahagow"
S00177620,55.75241224,-4.202432205,"East Kilbride, Strathaven and Lesmahagow"
S00177621,55.75296268,-4.153650729,"East Kilbride, Strathaven and Lesmahagow"
S00177622,55.75466086,-4.067367912,Rutherglen and Hamilton West
S00177623,55.75479564,-4.052362882,Lanark and Hamilton East
S00177624,55.75259449,-4.189725475,"East Kilbride, Strathaven and Lesmahagow"
S00177625,55.75321653,-4.166812097,"East Kilbride, Strathaven and Lesmahagow"
S00177626,55.75600073,-3.880517685,Lanark and Hamilton East
S00177627,55.75315019,-4.170569365,"East Kilbride, Strathaven and Lesmahagow"
S00177628,55.75284409,-4.061566793,Lanark and Hamilton East
S00177629,55.75282572,-4.176208654,"East Kilbride, Strathaven and Lesmahagow"
S00177630,55.75172972,-4.202903674,"East Kilbride, Strathaven and Lesmahagow"
S00177631,55.75085506,-4.210567103,"East Kilbride, Strathaven and Lesmahagow"
S00177632,55.75251109,-4.179760789,"East Kilbride, Strathaven and Lesmahagow"
S00177633,55.75329818,-4.062355677,Lanark and Hamilton East
S00177634,55.75481146,-4.050339783,Lanark and Hamilton East
S00177635,55.75270708,-4.191978779,"East Kilbride, Strathaven and Lesmahagow"
S00177636,55.7536808,-4.048081278,Lanark and Hamilton East
S00177637,55.75139439,-4.226485507,"East Kilbride, Strathaven and Lesmahagow"
S00177638,55.75115108,-4.222551479,"East Kilbride, Strathaven and Lesmahagow"
S00177639,55.75132255,-4.203056007,"East Kilbride, Strathaven and Lesmahagow"
S00177640,55.75059457,-4.228463723,"East Kilbride, Strathaven and Lesmahagow"
S00177641,55.75216811,-4.178323362,"East Kilbride, Strathaven and Lesmahagow"
S00177642,55.75199443,-4.193133982,"East Kilbride, Strathaven and Lesmahagow"
S00177643,55.75175391,-4.189487133,"East Kilbride, Strathaven and Lesmahagow"
S00177644,55.75185825,-4.164330476,"East Kilbride, Strathaven and Lesmahagow"
S00177645,55.75188531,-4.17094529,"East Kilbride, Strathaven and Lesmahagow"
S00177646,55.75160879,-4.167264738,"East Kilbride, Strathaven and Lesmahagow"
S00177647,55.75361109,-4.066196838,Rutherglen and Hamilton West
S00177648,55.75187681,-4.172442774,"East Kilbride, Strathaven and Lesmahagow"
S00177649,55.7503192,-4.229770646,"East Kilbride, Strathaven and Lesmahagow"
S00177650,55.74986654,-4.207563193,"East Kilbride, Strathaven and Lesmahagow"
S00177651,55.75124665,-4.199769,"East Kilbride, Strathaven and Lesmahagow"
S00177652,55.7514885,-4.197806596,"East Kilbride, Strathaven and Lesmahagow"
S00177653,55.75133428,-4.201399365,"East Kilbride, Strathaven and Lesmahagow"
S00177654,55.7554882,-3.879361548,Lanark and Hamilton East
S00177655,55.75351662,-4.068072288,Rutherglen and Hamilton West
S00177656,55.75084539,-4.194567407,"East Kilbride, Strathaven and Lesmahagow"
S00177657,55.7528657,-4.051687812,Lanark and Hamilton East
S00177658,55.75343955,-4.046379427,Lanark and Hamilton East
S00177659,55.75086866,-4.192258083,"East Kilbride, Strathaven and Lesmahagow"
S00177660,55.75119853,-4.19140014,"East Kilbride, Strathaven and Lesmahagow"
S00177661,55.72283319,-4.216483229,"East Kilbride, Strathaven and Lesmahagow"
S00177662,55.75281684,-4.040052244,Lanark and Hamilton East
S00177663,55.75283375,-4.039575059,Lanark and Hamilton East
S00177664,55.75342772,-4.037900933,Lanark and Hamilton East
S00177665,55.75311188,-4.068624553,Rutherglen and Hamilton West
S00177666,55.75146263,-4.176547051,"East Kilbride, Strathaven and Lesmahagow"
S00177667,55.75271195,-4.049592176,Lanark and Hamilton East
S00177668,55.75075038,-4.202386328,"East Kilbride, Strathaven and Lesmahagow"
S00177669,55.75064603,-4.19516175,"East Kilbride, Strathaven and Lesmahagow"
S00177670,55.75022838,-4.222881435,"East Kilbride, Strathaven and Lesmahagow"
S00177671,55.74872458,-4.247239666,"East Kilbride, Strathaven and Lesmahagow"
S00177672,55.75077642,-4.171648565,"East Kilbride, Strathaven and Lesmahagow"
S00177673,55.75005735,-4.224385545,"East Kilbride, Strathaven and Lesmahagow"
S00177674,55.75114096,-4.170346189,"East Kilbride, Strathaven and Lesmahagow"
S00177675,55.74969805,-4.219903285,"East Kilbride, Strathaven and Lesmahagow"
S00177676,55.75117329,-4.168515413,"East Kilbride, Strathaven and Lesmahagow"
S00177677,55.75058539,-4.19955648,"East Kilbride, Strathaven and Lesmahagow"
S00177678,55.75456622,-3.877946722,Lanark and Hamilton East
S00177679,55.74988128,-4.189669022,"East Kilbride, Strathaven and Lesmahagow"
S00177680,55.74875261,-4.224470613,"East Kilbride, Strathaven and Lesmahagow"
S00177681,55.75274603,-4.041068424,Lanark and Hamilton East
S00177682,55.75203901,-4.052218072,Lanark and Hamilton East
S00177683,55.7496817,-4.214835029,"East Kilbride, Strathaven and Lesmahagow"
S00177684,55.75164841,-4.066937609,Lanark and Hamilton East
S00177685,55.7493247,-4.213699353,"East Kilbride, Strathaven and Lesmahagow"
S00177686,55.74826888,-4.203441532,"East Kilbride, Strathaven and Lesmahagow"
S00177687,55.74833345,-4.218327917,"East Kilbride, Strathaven and Lesmahagow"
S00177688,55.75168647,-4.067879802,Lanark and Hamilton East
S00177689,55.75482985,-3.881274054,Lanark and Hamilton East
S00177690,55.75453507,-3.882917177,Lanark and Hamilton East
S00177691,55.75255006,-4.041504379,Lanark and Hamilton East
S00177692,55.74958909,-4.221952705,"East Kilbride, Strathaven and Lesmahagow"
S00177693,55.74932511,-4.197159055,"East Kilbride, Strathaven and Lesmahagow"
S00177694,55.75380662,-3.875902346,Lanark and Hamilton East
S00177695,55.75231032,-4.045650993,Lanark and Hamilton East
S00177696,55.75184562,-4.047650436,Lanark and Hamilton East
S00177697,55.7484704,-4.184108529,"East Kilbride, Strathaven and Lesmahagow"
S00177698,55.74547328,-3.974680269,Lanark and Hamilton East
