OA_Code,Latitude,Longitude
S00177576,55.756726754497926,-4.049739073678481
S00177577,55.75438794402691,-4.196997572626035
S00177578,55.75408883985016,-4.18353019028779
S00177579,55.756161686932096,-4.053438682925342
S00177580,55.75548326391142,-4.063889406001231
S00177581,55.75638968729514,-4.059682080800209
S00177582,55.75373895345196,-4.2280374979954995
S00177583,55.75340804546605,-4.225468777213283
S00177584,55.75584943979336,-4.076291759341854
S00177585,55.75266968173206,-4.193570292072904
S00177586,55.754920234511545,-4.1563085513562505
S00177587,55.75448894964722,-4.058338831988165
S00177588,55.75363918830605,-4.199664673530902
S00177589,55.75579809938603,-4.0439849575019196
S00177590,55.753386907224154,-4.1759849330884915
S00177591,55.75246854043145,-4.232172194841849
S00177592,55.75413187183433,-4.17197852266291
S00177593,55.75505650687724,-4.05664758602124
S00177594,55.75414880301022,-4.182178924213346
S00177595,55.75467759642658,-4.157331049659141
S00177596,55.753786718990824,-4.153297746280808
S00177597,55.752840327664295,-4.210121669249505
S00177598,55.75197110609364,-4.227888867590668
S00177599,55.72051683489701,-4.161911250185651
S00177600,55.75338504760985,-4.043715285556631
S00177601,55.75226227632437,-4.230168397107667
S00177602,55.75281688277864,-4.207427118875985
S00177603,55.75381752203864,-4.173490949739728
S00177604,55.753729293829,-4.1514459597763445
S00177605,55.75311450183921,-4.180702823310014
S00177606,55.75234301499554,-4.224228834817645
S00177607,55.75245294910987,-4.220139505526636
S00177608,55.73405017273386,-3.891359566702577
S00177609,55.752998850251664,-4.196776026324275
S00177610,55.75490406964819,-4.074265377557939
S00177611,55.75506617781549,-4.039356943371989
S00177612,55.75530436842186,-4.0461105695323445
S00177613,55.752688032893836,-4.184471805446037
S00177614,55.75337048268559,-4.169800725023975
S00177615,55.74790423478291,-4.220693690584719
S00177616,55.753140744351505,-4.19487164715467
S00177617,55.75516813290991,-4.038087341527869
S00177618,55.75281742358606,-4.190327608775272
S00177619,55.7521934114066,-4.174866691563964
S00177620,55.75241223673975,-4.202432205256258
S00177621,55.75296268031444,-4.153650728757075
S00177622,55.75466086018238,-4.067367911601315
S00177623,55.75479564455795,-4.052362881763045
S00177624,55.75259448595881,-4.189725474885945
S00177625,55.75321653000153,-4.166812097003427
S00177626,55.75600072586159,-3.8805176845034777
S00177627,55.75315019208287,-4.170569364712058
S00177628,55.75284408869201,-4.061566793191671
S00177629,55.752825724021584,-4.176208653506662
S00177630,55.751729721303576,-4.202903673502441
S00177631,55.75085506361008,-4.210567103484155
S00177632,55.75251109069804,-4.1797607893002295
S00177633,55.75329817916497,-4.062355676941572
S00177634,55.75481145500317,-4.050339782762721
S00177635,55.75270708128121,-4.191978779096702
S00177636,55.75368080306959,-4.04808127766326
